"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Arrange the sentences into a logical cause-and-effect paragraph:

1. As a direct consequence, severe soil erosion stripped topsoil across agricultural valleys during monsoon rains.
2. Widespread illegal logging operations depleted primary forest cover across the mountain range.
3. This catastrophic agricultural degradation led to nationwide crop shortages and skyrocketing vegetable prices.
4. Without deep tree root systems to absorb moisture, hillsides became increasingly unstable and saturated.","2 - 4 - 1 - 3","2 - 1 - 4 - 3","4 - 2 - 1 - 3","2 - 4 - 3 - 1","A","Step-by-Step Solution:
1. Root cause: Sentence 2 ('Widespread illegal logging depleted primary forest cover...') establishes the fundamental triggering cause.
2. Immediate physical mechanism: Sentence 4 ('Without deep tree root systems to absorb moisture, hillsides became unstable...').
3. Primary environmental effect: Sentence 1 ('As a direct consequence, severe soil erosion stripped topsoil...').
4. Ultimate macroeconomic impact: Sentence 3 ('This catastrophic agricultural degradation led to nationwide crop shortages...').
5. Proper order: 2 - 4 - 1 - 3 (Option A).

Common Trap: Placing the economic effect (3) before the physical mechanism of soil erosion (1).
Exam Tip: Follow the causal chain: Human action -> Physical/Geological impact -> Biological/Soil degradation -> Socioeconomic impact.","Correct. 2 - 4 - 1 - 3 connects root logging cause, hillside destabilization, topsoil loss, and resulting agricultural shortages in unbroken causal progression.","Eliminated because the loss of root absorption (4) is the direct physical cause of erosion (1).","Eliminated because the root cause (2) must precede the explanation of missing root systems (4).","Eliminated because economic fallout (3) stems from the agricultural soil erosion (1).","Verbal Ability","Verbal Ability | Paragraph Organization | Logical Sequencing and Text Cohesion | Cause-effect and problem-solution ordering | Difficult | Batch VA-016"
"Isaayos ang mga pangungusap upang makabuo ng isang talatang may balangkas na Sanhi at Bunga ukol sa trapiko sa kalakhang lungsod:

1. Bunga nito, bilyun-bilyong piso ang nawawala sa pambansang ekonomiya araw-araw dahil sa nasasayang na produktibong oras ng mga manggagawa.
2. Ang mabilis na pagdami ng mga pribadong sasakyan at kakulangan sa malawakang mass transit system ang pangunahing dahilan ng pagsisikip ng mga pangunahing lansangan.
3. Dahil sa matinding pagsisikip na ito, ang dating tatlumpung minutong biyahe ay umaabot na ngayon sa halos tatlong oras.
4. Ang araw-araw na pagkaipit sa lansangan ay nagdudulot din ng matinding pagod at tensyon sa kalusugang pangkaisipan ng mga komyuter.","2 - 3 - 4 - 1","2 - 4 - 3 - 1","3 - 2 - 4 - 1","2 - 3 - 1 - 4","A","Step-by-Step Solution:
1. Pangunahing sanhi: Pangungusap 2 ('Ang mabilis na pagdami ng sasakyan at kawalan ng mass transit ang pangunahing dahilan...').
2. Direktang epekto sa biyahe: Pangungusap 3 ('Dahil sa matinding pagsisikip na ito, ang tatlumpung minutong biyahe ay umaabot sa tatlong oras').
3. Epekto sa kalusugan ng manggagawa: Pangungusap 4 ('Ang araw-araw na pagkaipit ay nagdudulot ng matinding pagod at tensyon...').
4. Pangkalahatang epekto sa ekonomiya: Pangungusap 1 ('Bunga nito, bilyun-bilyong piso ang nawawala sa ekonomiya araw-araw...').
5. Tamang daloy: 2 - 3 - 4 - 1 (Option A).

Common Trap: Pagsisimula sa epekto sa ekonomiya bago mailahad ang ugat ng suliranin.
Exam Tip: Ang talatang Sanhi-at-Bunga ay nagsisimula sa pinagmulan ng problema patungo sa mga indibidwal at pambansang epekto.","Correct. Ang 2 - 3 - 4 - 1 ay maayos na nag-uugnay ng ugat ng suliranin (kakulangan ng mass transit), paghaba ng oras ng biyahe, epekto sa kalusugan, at kabuuang pagkalugi ng ekonomiya.","Eliminated dahil dapat munang ilarawan ang paghaba ng oras ng biyahe (3) bago ang epekto ng pagkaipit (4).","Eliminated dahil hindi maaaring magsimula sa panghalip na pamatlig ('sa matinding pagsisikip na ito') sa Pangungusap 3 nang walang naunang sanhi.","Eliminated dahil ang epekto sa kalusugan (4) ay nagpapatibay sa pagkawala ng produktibidad (1).","Verbal Ability","Verbal Ability | Paragraph Organization | Logical Sequencing and Text Cohesion | Cause-effect and problem-solution ordering | Difficult | Batch VA-016"
"Arrange the sentences to form a coherent problem-solution paragraph:

1. To address this crisis, the municipal council enacted a zero-waste ordinance mandating household source segregation and community composting.
2. Within eighteen months of implementation, municipal landfill volume dropped by forty-five percent, extending the facility's lifespan.
3. The municipality faced a catastrophic waste management crisis as its sole sanitary landfill reached maximum capacity three years ahead of schedule.
4. Uncollected garbage began accumulating along residential drainage channels, triggering flash floods during heavy rainstorms.","3 - 4 - 1 - 2","3 - 1 - 4 - 2","4 - 3 - 1 - 2","3 - 4 - 2 - 1","A","Step-by-Step Solution:
1. Problem identification: Sentence 3 ('The municipality faced a catastrophic waste management crisis as its landfill reached capacity...').
2. Immediate escalation of the problem: Sentence 4 ('Uncollected garbage began accumulating along drainage channels, triggering floods...').
3. Strategic policy solution: Sentence 1 ('To address this crisis, the municipal council enacted a zero-waste ordinance...').
4. Measurable solution outcome: Sentence 2 ('Within eighteen months of implementation, landfill volume dropped by forty-five percent...').
5. Proper order: 3 - 4 - 1 - 2 (Option A).

Common Trap: Introducing the solution (1) before describing the severe flooding consequences of the problem (4).
Exam Tip: Problem-Solution format: Define Problem -> Show Negative Impact/Escalation -> Introduce Action/Policy -> Present Positive Results.","Correct. 3 - 4 - 1 - 2 defines the landfill capacity crisis, details the flooding fallout, introduces the legislative solution, and validates its success with quantitative results.","Eliminated because the escalation of uncollected garbage and flooding (4) must precede the enacted solution (1).","Eliminated because the general crisis context (3) must precede specific garbage accumulation (4).","Eliminated because positive outcomes (2) cannot occur prior to the ordinance's enactment (1).","Verbal Ability","Verbal Ability | Paragraph Organization | Logical Sequencing and Text Cohesion | Cause-effect and problem-solution ordering | Difficult | Batch VA-016"
"Isaayos ang mga pangungusap upang makabuo ng talatang Suliranin at Solusyon ukol sa kawalan ng malinis na tubig sa kanayunan:

1. Bilang tugon, nagpatayo ang pamahalaang panlalawigan ng solar-powered filtration stations at communal water tanks sa bawat purok.
2. Bunga nito, bumaba nang walumpung porsyento ang naitalang kaso ng impeksyon sa tiyan at gumaan ang buhay ng mga mamamayan.
3. Maraming liblib na komunidad sa lalawigan ang matagal nang nagtitiis sa kawalan ng ligtas at malinis na maiinom na tu
4. Dahil sa pag-inom mula sa kontaminadong bukal at ilog, madalas magkasakit ng diarrhea at cholera ang mga bata sa pamayanan.","3 - 4 - 1 - 2","3 - 1 - 4 - 2","4 - 3 - 1 - 2","3 - 4 - 2 - 1","A","Step-by-Step Solution:
1. Suliranin: Pangungusap 3 ('Maraming liblib na komunidad ang matagal nang nagtitiis sa kawalan ng ligtas na tu..').
2. Epekto ng suliranin: Pangungusap 4 ('Dahil sa pag-inom mula sa kontaminadong bukal, madalas magkasakit ng diarrhea ang mga bata...').
3. Solusyon: Pangungusap 1 ('Bilang tugon, nagpatayo ang pamahalaan ng solar-powered filtration stations...').
4. Positibong resulta: Pangungusap 2 ('Bunga nito, bumaba nang walumpung porsyento ang kaso ng impeksyon...').
5. Tamang daloy: 3 - 4 - 1 - 2 (Option A).

Common Trap: Paglalagay ng solusyon bago maipakita ang epekto ng kontaminasyon sa kalusugan ng mga bata.
Exam Tip: Ang maayos na talatang Suliranin-Solusyon ay nagpapakita ng: Suliranin -> Masamang Epekto -> Solusyon -> Magandang Bunga.","Correct. Ang 3 - 4 - 1 - 2 ay sumusunod sa lohikal na balangkas ng problema sa tubig, epekto sa kalusugan, inilatag na solusyon, at tagumpay sa pagbaba ng sakit.","Eliminated dahil dapat munang ilahad ang sakit na idinulot ng kontaminadong tubig (4) bago ang inilatag na tugon (1).","Eliminated dahil dapat magsimula sa pangkalahatang suliranin sa komunidad (3).","Eliminated dahil ang resulta ng pagbaba ng sakit (2) ay bunga ng solusyon (1).","Verbal Ability","Verbal Ability | Paragraph Organization | Logical Sequencing and Text Cohesion | Cause-effect and problem-solution ordering | Difficult | Batch VA-016"
"Arrange the sentences into a coherent cause-and-effect analysis of inflation:

1. Higher manufacturing and transportation costs compelled corporations to raise wholesale and retail prices across consumer goods.
2. Geopolitical conflicts in oil-producing regions caused global crude oil prices to surge exponentially.
3. Ultimately, diminished household purchasing power prompted the central bank to aggressively hike benchmark interest rates.
4. Consequently, electricity tariffs and freight shipping rates rose sharply across domestic industrial sectors.","2 - 4 - 1 - 3","2 - 1 - 4 - 3","4 - 2 - 1 - 3","2 - 4 - 3 - 1","A","Step-by-Step Solution:
1. Primary exogenous shock: Sentence 2 ('Geopolitical conflicts... caused crude oil prices to surge').
2. Secondary sector impact: Sentence 4 ('Consequently, electricity tariffs and freight shipping rates rose sharply...').
3. Tertiary consumer market impact: Sentence 1 ('Higher manufacturing costs compelled corporations to raise retail prices...').
4. Final macroeconomic response: Sentence 3 ('Ultimately, diminished purchasing power prompted the central bank to hike rates').
5. Proper order: 2 - 4 - 1 - 3 (Option A).

Common Trap: Placing central bank rate hikes before corporate retail price increases.
Exam Tip: Economic transmission mechanisms: Global price shock -> Domestic industrial energy costs -> Consumer retail inflation -> Monetary policy intervention.","Correct. 2 - 4 - 1 - 3 models the economic transmission of inflation from global oil surge to domestic freight, retail consumer prices, and central bank interest rate response.","Eliminated because freight and energy increases (4) directly drive corporate production costs (1).","Eliminated because the global crude oil shock (2) is the initial catalyst.","Eliminated because the central bank policy response (3) occurs at the end of the inflationary cycle.","Verbal Ability","Verbal Ability | Paragraph Organization | Logical Sequencing and Text Cohesion | Cause-effect and problem-solution ordering | Difficult | Batch VA-016"
"Isaayos ang mga pangungusap upang makabuo ng talatang Sanhi at Bunga ukol sa pagbaha sa kapatagan:

1. Sa pagkawala ng mga likas na daluyan ng tubig, ang ulan mula sa bagyo ay mabilis na nag-ipon sa mga lansangan at kabahayan.
2. Ang walang habas na pagtatayo ng mga subdibisyon at pagsesemento sa dating latian at palayan ang nag-alis sa natural na sumisipsip ng tu
3. Dahil dito, napilitang lumikas ang libo-libong residente at naparalisa ang transportasyon at komersyo sa buong kapatagan.
4. Dagdag pa rito, ang mga hindi napanatiling estero ay barado na rin ng mga basurang plastik at burak.","2 - 4 - 1 - 3","2 - 1 - 4 - 3","4 - 2 - 1 - 3","2 - 4 - 3 - 1","A","Step-by-Step Solution:
1. Ugat na sanhi: Pangungusap 2 ('Ang walang habas na pagtatayo ng subdibisyon at pagsesemento sa dating latian...').
2. Karagdagang sanhi: Pangungusap 4 ('Dagdag pa rito, ang mga hindi napanatiling estero ay barado na rin ng plastik...').
3. Direktang pisikal na bunga: Pangungusap 1 ('Sa pagkawala ng likas na daluyan, ang ulan ay mabilis na nag-ipon sa lansangan...').
4. Panlipunang bunga: Pangungusap 3 ('Dahil dito, napilitang lumikas ang libo-libong residente at naparalisa ang komersyo...').
5. Tamang daloy: 2 - 4 - 1 - 3 (Option A).

Common Trap: Paglalagay ng paglikas ng tao bago ang mismong pag-apaw ng baha sa lansangan.
Exam Tip: Igrupo muna ang lahat ng magkakasamang sanhi (Sanhi 1 + Karagdagang Sanhi 2) bago ilahad ang serye ng mga naging bunga.","Correct. Ang 2 - 4 - 1 - 3 ay pinagsasama muna ang mga sanhi (pagsesemento ng latian + baradong estero) bago ang pag-ipon ng baha at paglikas ng mamamayan.","Eliminated dahil dapat munang isama ang karagdagang sanhi ng baradong estero (4) bago ang resulta ng pag-ipon ng tubig (1).","Eliminated dahil ang panimula ay dapat ang pangkalahatang urbanisasyon (2).","Eliminated dahil ang paglikas ng residente (3) ay resulta ng pagkaipon ng baha (1).","Verbal Ability","Verbal Ability | Paragraph Organization | Logical Sequencing and Text Cohesion | Cause-effect and problem-solution ordering | Difficult | Batch VA-016"
"Arrange the sentences into a logical problem-solution paragraph on government document backlogs:

1. As a result, the average processing time per document plummeted from forty-five days to less than forty-eight hours.
2. The licensing bureau suffered from chronic processing backlogs, leaving over fifty thousand professional permit applications pending for months.
3. In response, the agency deployed an automated end-to-end digital portal and hired specialized data-entry contractors.
4. This severe administrative bottleneck triggered public outrage, widespread complaints, and lost business opportunities.","2 - 4 - 3 - 1","2 - 3 - 4 - 1","4 - 2 - 3 - 1","2 - 4 - 1 - 3","A","Step-by-Step Solution:
1. Identify baseline problem: Sentence 2 ('The licensing bureau suffered from chronic processing backlogs...').
2. Describe severity/consequence of problem: Sentence 4 ('This severe administrative bottleneck triggered public outrage...').
3. Implement administrative solution: Sentence 3 ('In response, the agency deployed an automated digital portal...').
4. Highlight measurable positive outcome: Sentence 1 ('As a result, the average processing time plummeted... to less than forty-eight hours').
5. Proper order: 2 - 4 - 3 - 1 (Option A).

Common Trap: Jumping to the solution (3) before establishing the public crisis caused by the backlog (4).
Exam Tip: Problem -> Fallout/Impact -> Intervention -> Quantitative Result.","Correct. 2 - 4 - 3 - 1 moves cleanly from the permit backlog problem to public outrage, the digital portal intervention, and the dramatic reduction in turnaround time.","Eliminated because public outrage (4) explains why the agency was forced to respond with the digital portal (3).","Eliminated because the specific bottleneck (2) must be defined before referring to 'This severe bottleneck' (4).","Eliminated because positive results (1) are the consequence of the portal deployment (3).","Verbal Ability","Verbal Ability | Paragraph Organization | Logical Sequencing and Text Cohesion | Cause-effect and problem-solution ordering | Difficult | Batch VA-016"
"Isaayos ang mga pangungusap upang makabuo ng talatang Sanhi at Bunga ukol sa malnutrisyon sa mga bata:

1. Bunga nito, mataas ang antas ng pagkabansot (stunting) at paghina ng resistensya sa mga sakit sa hanay ng mga kabataan.
2. Ang labis na kahirapan at kawalan ng sapat na kaalaman sa wastong nutrisyon ang ugat kung bakit hindi nakakakain ng masusustansyang pagkain ang maraming pamilya.
3. Ang mahinang kalusugang ito ay nagdudulot din ng mababang marka at madalas na pagliban sa klase sa paaralan.
4. Madalas na kanin at kape o instant noodles lamang ang kinakain ng mga sanggol at bata sa kanilang formative years.","2 - 4 - 1 - 3","2 - 1 - 4 - 3","4 - 2 - 1 - 3","2 - 4 - 3 - 1","A","Step-by-Step Solution:
1. Ugat na sanhi: Pangungusap 2 ('Ang labis na kahirapan at kawalan ng kaalaman sa nutrisyon ang ugat...').
2. Konkretong manipestasyon: Pangungusap 4 ('Madalas na kanin at kape o instant noodles lamang ang kinakain...').
3. Pisikal na bunga: Pangungusap 1 ('Bunga nito, mataas ang antas ng pagkabansot at paghina ng resistensya...').
4. Akademiko at pangmatagalang bunga: Pangungusap 3 ('Ang mahinang kalusugang ito ay nagdudulot din ng mababang marka at pagliban sa klase...').
5. Tamang daloy: 2 - 4 - 1 - 3 (Option A).

Common Trap: Paglalagay ng epekto sa marka sa paaralan bago ang pisikal na pagkabansot at pagkakasakit ng bata.
Exam Tip: Sundan ang daloy ng epekto: Ugat ng kahirapan -> Maling pagkain -> Pisikal na karamdaman -> Epekto sa edukasyon.","Correct. Ang 2 - 4 - 1 - 3 ay sumusunod sa tamang ugnayang sanhi at bunga mula sa kahirapan patungo sa diyeta, pagkabansot, at pagliban sa paaralan.","Eliminated dahil dapat munang ilarawan ang hindi sapat na pagkain (4) bago ang pagkabansot (1).","Eliminated dahil dapat magsimula sa ugat na sanhi (2).","Eliminated dahil ang epekto sa pag-aaral (3) ay resulta ng pisikal na kahinaan (1).","Verbal Ability","Verbal Ability | Paragraph Organization | Logical Sequencing and Text Cohesion | Cause-effect and problem-solution ordering | Difficult | Batch VA-016"
"Arrange the sentences into a coherent cause-and-effect paragraph on coastal ecosystem degradation:

1. Consequently, commercial fish catches plummeted by sixty percent, impoverishing coastal municipal fisherfolk.
2. Destructive dynamite and cyanide fishing methods fractured extensive shallow coral reef ecosystems.
3. Furthermore, the absence of natural barrier reefs left shoreline settlements completely defenseless against powerful storm surges.
4. With their primary breeding and feeding habitats obliterated, marine fish populations experienced severe reproductive collapse.","2 - 4 - 1 - 3","2 - 1 - 4 - 3","4 - 2 - 1 - 3","2 - 4 - 3 - 1","A","Step-by-Step Solution:
1. Physical anthropogenic cause: Sentence 2 ('Destructive dynamite and cyanide fishing fractured extensive coral reef ecosystems').
2. Ecological biological consequence: Sentence 4 ('With breeding habitats obliterated, fish populations experienced reproductive collapse').
3. Socioeconomic impact: Sentence 1 ('Consequently, commercial fish catches plummeted... impoverishing fisherfolk').
4. Secondary disaster vulnerability impact: Sentence 3 ('Furthermore, the absence of natural barrier reefs left settlements defenseless against storm surges').
5. Proper order: 2 - 4 - 1 - 3 (Option A).

Common Trap: Placing the loss of storm protection (3) before the fish population collapse (4).
Exam Tip: Group primary ecological/economic impacts first, then transition with 'Furthermore' to secondary shoreline hazards.","Correct. 2 - 4 - 1 - 3 traces blast fishing destruction to habitat loss, fishery collapse, poverty among fisherfolk, and heightened storm vulnerability.","Eliminated because fish reproductive collapse (4) must logically precede the drop in fish catches (1).","Eliminated because habitat destruction (2) is the initial cause.","Eliminated because primary fishery collapse and poverty (1) naturally follow from reproductive failure (4) before introducing structural storm surges (3).","Verbal Ability","Verbal Ability | Paragraph Organization | Logical Sequencing and Text Cohesion | Cause-effect and problem-solution ordering | Difficult | Batch VA-016"
"Isaayos ang mga pangungusap upang makabuo ng talatang Suliranin at Solusyon ukol sa cybercrime at panloloko sa bangko:

1. Dahil dito, nakapagtala ang kapulisan ng pitumpung porsyentong pagbaba sa mga matagumpay na phishing scam sa buong bansa.
2. Lumobo ang bilang ng mga mamamayang nabibiktima ng online financial scams at phishing dahil sa mabilis na paglaganap ng digital banking.
3. Nagpasa ang Kongreso ng batas na nag-aatas ng SIM registration at naglagay ang mga bangko ng multi-factor authentication at AI fraud detection.
4. Milyun-milyong piso sa pinaghirapang ipon ng mga ordinaryong manggagawa ang nanakaw ng mga sindikato sa loob lamang ng ilang buwan.","2 - 4 - 3 - 1","2 - 3 - 4 - 1","4 - 2 - 3 - 1","2 - 4 - 1 - 3","A","Step-by-Step Solution:
1. Suliranin: Pangungusap 2 ('Lumobo ang bilang ng mga nabibiktima ng online financial scams...').
2. Bigat ng pinsala: Pangungusap 4 ('Milyun-milyong piso sa pinaghirapang ipon... ang nanakaw ng sindikato...').
3. Solusyon ng batas at bangko: Pangungusap 3 ('Nagpasa ang Kongreso ng SIM registration at naglagay ang mga bangko ng MFA at AI...').
4. Positibong resulta: Pangungusap 1 ('Dahil dito, nakapagtala ang kapulisan ng pitumpung porsyentong pagbaba sa mga scam...').
5. Tamang serye: 2 - 4 - 3 - 1 (Option A).

Common Trap: Paglalagay ng SIM registration bago ipakita ang matinding pinsala ng scam sa ipon ng mga manggagawa.
Exam Tip: Ipakita ang bigat ng suliranin bago ipakilala ang mga estratehikong solusyon.","Correct. Ang 2 - 4 - 3 - 1 ay maayos na nag-uugnay ng pagdami ng cybercrime, laki ng ninakaw na pera, pagpapatupad ng SIM registration/MFA, at pagbaba ng scam.","Eliminated dahil dapat munang ipakita ang pinsala ng pagnanakaw (4) bago ang naging tugon ng Kongreso at mga bangko (3).","Eliminated dahil dapat magsimula sa pangkalahatang pagdami ng biktima (2).","Eliminated dahil ang pagbaba ng krimen (1) ay bunga ng mga inilatag na solusyon (3).","Verbal Ability","Verbal Ability | Paragraph Organization | Logical Sequencing and Text Cohesion | Cause-effect and problem-solution ordering | Difficult | Batch VA-016"
