"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Philippine constitutional doctrine, how does the system of CHECKS AND BALANCES operate in relation to the Principle of Separation of Powers?","Checks and balances provides each branch of government with specific constitutional mechanisms and veto powers to restrain, check, and balance the arbitrary actions or unconstitutional encroachments of the other two coordinate branches.","Checks and balances establishes a rotating weekly presidency among the members of the Supreme Court.","Checks and balances requires that all judicial court rulings must be countersigned by the House Speaker.","Checks and balances eliminates all congressional oversight committees to guarantee executive supremacy.","A","Step-by-Step Solution:
1. Foundational Jurisprudence (Angara v. Electoral Commission, 63 Phil. 139; Marcos v. Manglapus, 177 SCRA 668):
   - The principle of Separation of Powers prevents tyranny by dividing governmental powers (Legislative, Executive, Judicial).
   - However, separation without mutual restraint would allow branches to act with unchecked power within their domains.
   - THE SYSTEM OF CHECKS AND BALANCES ensures that no single branch becomes supreme or despotic.
   - Each branch is armed with explicit constitutional weapons to check the other branches:
     1. Executive checks Legislative (Presidential Veto) and checks Judiciary (Appointment, Clemency).
     2. Legislative checks Executive (Veto Override, CA confirmation, Treaty concurrence, Impeachment, Power of Purse, Martial law revocation) and checks Judiciary (Impeachment, Court creation/jurisdiction).
     3. Judiciary checks both Legislative and Executive (Judicial Review, striking down unconstitutional laws/orders, Grave abuse of discretion review).
2. Option A is the classic jurisprudential definition.

Common Trap: Viewing checks and balances as one branch controlling another; it is a system of reciprocal constitutional counterweights designed to maintain equilibrium.
Exam Tip: Checks and Balances = Reciprocal constitutional mechanisms enabling each branch to restrain the excesses or unconstitutional acts of the other branches.","Correct. Survives elimination because checks and balances is the constitutional system of reciprocal counterweights—such as vetoes, confirmations, and judicial review—that prevents any single branch from exceeding its constitutional limits.","Eliminated because the Executive branch is headed by an elected President with a fixed 6-year term, not a rotating Supreme Court committee.","Eliminated because judicial decisions are independent adjudications that do not require legislative approval.","Eliminated because congressional oversight is a core legislative check on the Executive under Article VI.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Checks and balances | Very Difficult | Batch 143"
"Under Article VI, Section 27(1) of the 1987 Constitution, what is the mandatory voting threshold required for Congress to OVERRIDE A PRESIDENTIAL VETO of a legislative bill?","Two-thirds (2/3) of all the Members of the House where the bill originated and two-thirds (2/3) of all the Members of the other House, voting separately.","A simple majority (50% + 1) of both Houses voting jointly.","Three-fourths (3/4) of all the Members of the Senate alone.","A unanimous vote of the Commission on Appointments.","A","Step-by-Step Solution:
1. Constitutional Text: Article VI, Section 27(1):
   'If the President vetos a bill, he shall return it with his objections to the House where it originated, which shall enter the objections at large in its Journal and proceed to reconsider it. If, after such reconsideration, TWO-THIRDS OF ALL THE MEMBERS OF SUCH HOUSE SHALL AGREE TO PASS THE BILL, it shall be sent, together with the objections, to the other House by which it shall likewise be reconsidered, and if APPROVED BY TWO-THIRDS OF ALL THE MEMBERS OF THAT HOUSE, IT SHALL BECOME A LAW.'
2. Breakdown of the Veto Override:
   - 1. Executive Check: President vetoes the bill.
   - 2. Legislative Counter-Check (Veto Override):
     - House of Origin: 2/3 of ALL its Members.
     - Second House: 2/3 of ALL its Members.
     - Voting: SEPARATELY (in each respective House).
   - 3. Legal Effect: The bill BECOMES LAW despite the President's veto, with no further executive signature needed.
3. Option A matches the constitutional text and procedure verbatim.

Common Trap: Thinking Congress votes jointly on a veto override; the Constitution specifically requires 2/3 of each House voting SEPARATELY in sequence.
Exam Tip: Veto Override = 2/3 OF ALL MEMBERS OF EACH HOUSE, voting separately.","Correct. Survives elimination because Article VI, Section 27(1) explicitly commands that overriding a presidential veto requires a supermajority vote of two-thirds (2/3) of all the Members of each House voting separately.","Eliminated because a simple majority cannot override a presidential veto (a 2/3 supermajority in each House is mandatory).","Eliminated because the House of Representatives must also vote by a 2/3 margin; the Senate cannot override a veto alone.","Eliminated because the Commission on Appointments handles confirmations, not legislative veto overrides.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Checks and balances | Very Difficult | Batch 143"
"Under Article VII, Section 16 of the 1987 Constitution and settled jurisprudence (Sarmiento v. Mison, Calderon v. Carale), which specific group of presidential appointees requires mandatory CONFIRMATION by the Commission on Appointments?","Heads of executive departments, ambassadors, other public ministers and consuls, officers of the armed forces from the rank of colonel or naval captain, and other officers whose appointments are vested in him in this Constitution (such as regular members of the JBC and Constitutional Commissioners).","All civil service career division chiefs, barangay captains, and regional trial judges.","All bureau directors, assistant secretaries, and presidents of state universities.","Every public employee receiving a government salary above Salary Grade 15.","A","Step-by-Step Solution:
1. Constitutional Text: Article VII, Section 16:
   'The President shall nominate and, with the consent of the Commission on Appointments, appoint the heads of the executive departments, ambassadors, other public ministers and consuls, or officers of the armed forces from the rank of colonel or naval captain, and other officers whose appointments are vested in him in this Constitution...'
2. Landmark Case: Sarmiento v. Mison (156 SCRA 549, 1987), penned by Justice Pedro Yap:
   - Established the FOUR GROUPS of Presidential Appointees under Section 16:
     - GROUP 1 (CA Confirmation REQUIRED):
       1. Heads of Executive Departments (Cabinet Secretaries).
       2. Ambassadors, other public ministers, and consuls.
       3. Officers of the AFP from the rank of Colonel or Naval Captain.
       4. Other officers whose appointments are vested in the President IN THE CONSTITUTION (e.g., Chairmen and Commissioners of CSC, COMELEC, COA; regular members of JBC).
     - GROUPS 2, 3, and 4 (CA Confirmation NOT REQUIRED):
       - Bureau Directors, Undersecretaries, Assistant Secretaries, heads of statutory agencies (e.g., Customs Commissioner, NLRC Commissioners, CHED/DepEd directors) DO NOT require CA confirmation. Congress cannot expand the list of CA-confirmable positions by statute (Calderon v. Carale).
3. Option A is the exact constitutional enumeration of CA-confirmable officials.

Common Trap: Believing Bureau Directors (like BIR or Customs head) or Judges require CA confirmation; the 1987 Constitution strictly limited CA confirmation to the 4 groups in Sarmiento v. Mison.
Exam Tip: CA Confirmation required for: Cabinet Secretaries, Ambassadors/Consuls, Military Colonels/Naval Captains/Generals, and Constitutional Commissioners/JBC regular members.","Correct. Survives elimination because Article VII, Section 16 and Sarmiento v. Mison strictly limit mandatory Commission on Appointments confirmation to Cabinet Secretaries, Ambassadors, military Colonels/Naval Captains and above, and constitutional officers.","Eliminated because trial judges are vetted by the JBC under Article VIII (not the CA), and career division chiefs are appointed under civil service rules.","Eliminated because Calderon v. Carale held that bureau directors and statutory agency heads do not require CA confirmation.","Eliminated because salary grade does not determine CA confirmation requirements under Article VII, Section 16.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Checks and balances | Very Difficult | Batch 143"
"Which of the following is an explicit constitutional check exercised by the EXECUTIVE branch over the JUDICIAL branch?","The power of the President to appoint Supreme Court Justices and lower court judges from a list of nominees submitted by the Judicial and Bar Council, and the power to grant executive clemency (pardons/commutations) to convicted persons.","The power of the President to remove Supreme Court Justices through an executive administrative dismissal order.","The power of the President to reverse final decisions of the Supreme Court through executive proclamations.","The power of the Cabinet to reduce the salaries of sitting judges during economic recessions.","A","Step-by-Step Solution:
1. Constitutional Checks by Executive on Judiciary:
   - 1. APPOINTMENT POWER (Article VIII, Section 9): The President appoints the Chief Justice, Associate Justices of the Supreme Court, and all lower court judges from the shortlist of nominees prepared by the Judicial and Bar Council (JBC).
   - 2. EXECUTIVE CLEMENCY (Article VII, Section 19): The President has the power to grant reprieves, commutations, and pardons after conviction by final judgment, serving as a humanitarian and justice check mitigating harsh judicial penal sentences.
2. Unconstitutional Actions:
   - Option B is unconstitutional: Supreme Court Justices can be removed ONLY BY IMPEACHMENT by Congress under Article XI, Section 2 (the President has ZERO power to dismiss a justice).
   - Option C is unconstitutional: Executive cannot modify or reverse final judicial judgments (violates Separation of Powers).
   - Option D is unconstitutional: Judicial salaries cannot be decreased during their continuance in office (Article VIII, Section 10).
3. Option A correctly identifies legitimate constitutional checks.

Common Trap: Confusing executive clemency with judicial reversal; a pardon does not overturn the court's verdict of guilt, but remits the punishment as an executive check.
Exam Tip: Executive Checks on Judiciary: (1) Judicial Appointments (from JBC list) and (2) Executive Clemency (Pardon/Commutation).","Correct. Survives elimination because the President checks the Judiciary through the appointment of judges from JBC shortlists and the exercise of executive clemency to remit criminal sentences after final judicial conviction.","Eliminated because the President has no power to dismiss Supreme Court Justices; removal is exclusively through congressional impeachment under Article XI.","Eliminated because the Executive cannot overturn or reverse final judgments of the Judiciary.","Eliminated because judicial salaries are constitutionally protected against diminution during incumbency under Article VIII, Section 10.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Checks and balances | Very Difficult | Batch 143"
"Which of the following represents a prominent constitutional check exercised by the LEGISLATIVE branch over the EXECUTIVE branch regarding INTERNATIONAL RELATIONS and MILITARY ACTION?","The requirement that no treaty or international agreement shall be valid and effective without the concurrence of at least two-thirds (2/3) of all the Members of the Senate, and Congress's power to revoke a proclamation of martial law by joint majority vote.","The requirement that the President must seek prior congressional approval before speaking with foreign diplomats.","The power of the House Speaker to command frontline military naval vessels.","The authority of congressional committees to sign foreign extradition agreements directly.","A","Step-by-Step Solution:
1. Constitutional Checks by Congress on Executive in Foreign Relations & Military:
   - 1. TREATY CONCURRENCE (Article VII, Section 21): While the President negotiates and signs treaties as the chief architect of foreign policy, NO TREATY IS VALID AND EFFECTIVE WITHOUT CONCURRENCE BY AT LEAST 2/3 OF ALL MEMBERS OF THE SENATE (Saguisag v. Ochoa, Pimentel v. Executive Secretary).
   - 2. MARTIAL LAW REVOCATION (Article VII, Section 18): Congress, voting JOINTLY by a majority of all its Members, can REVOKE the President's declaration of martial law or suspension of habeas corpus, which revocation CANNOT be vetoed by the President.
   - 3. DECLARATION OF STATE OF WAR (Article VI, Section 23[1]): Congress has the SOLE power to declare the existence of a state of war by 2/3 vote of both Houses in joint session voting separately.
2. Option A is the complete, accurate constitutional statement.

Common Trap: Believing the President has unchecked power over military martial law and treaties; Congress holds decisive checks through 2/3 Senate treaty concurrence and joint majority martial law revocation.
Exam Tip: Legislative Checks in Foreign/Military Affairs: 2/3 Senate Treaty Concurrence (Art. VII, Sec. 21) + Joint Majority Martial Law Revocation (Art. VII, Sec. 18).","Correct. Survives elimination because the Constitution checks executive foreign relations and military powers by requiring a 2/3 Senate concurrence for treaties (Article VII, Section 21) and empowering a joint congressional majority to revoke martial law (Article VII, Section 18).","Eliminated because the President is the sole organ of foreign relations and does not require legislative permission for routine diplomatic discussions.","Eliminated because military field command belongs to the civilian President as Commander-in-Chief, not the House Speaker.","Eliminated because signing foreign treaties and extradition pacts is an executive prerogative, subject to Senate concurrence.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Checks and balances | Very Difficult | Batch 143"
"How does the JUDICIAL branch exercise checks on BOTH the Legislative and Executive branches under Article VIII, Section 1 and Section 4(2) of the 1987 Constitution?","Through the power of JUDICIAL REVIEW, whereby courts determine whether an Act of Congress or an Executive proclamation, order, or regulation conforms with the Constitution, declaring unconstitutional any act committed with grave abuse of discretion amounting to lack or excess of jurisdiction.","By drafting substitute legislative bills when Congress fails to pass essential economic laws.","By commanding the military to disregard presidential executive orders without filing a court case.","By executing the national budget when the Department of Budget and Management experiences operational delays.","A","Step-by-Step Solution:
1. Foundational Doctrine of Judicial Review (Marbury v. Madison; Angara v. Electoral Commission; Francisco v. House of Representatives):
   - The supreme check possessed by the Judiciary over both political branches (Legislative and Executive) is JUDICIAL REVIEW.
   - Mechanism: When an actual case or controversy is filed, the Supreme Court and lower courts have the power and duty to interpret the Constitution and declare NULL AND VOID:
     (1) Any legislative statute or treaty that violates the Constitution (Article VIII, Section 4[2]).
     (2) Any presidential executive order, proclamation, decree, or administrative circular that exceeds constitutional/statutory bounds or is tainted with GRAVE ABUSE OF DISCRETION (Article VIII, Section 1[2]).
2. Option A is the precise legal description of this judicial check.

Common Trap: Believing judicial review is an act of judicial superiority; the Judiciary does not claim superiority over the other branches, but asserts the SUPERIORITY OF THE CONSTITUTION over all governmental acts.
Exam Tip: Judicial Review = The ultimate judicial check; courts invalidate legislative acts or executive orders that violate the Constitution or exhibit Grave Abuse of Discretion.","Correct. Survives elimination because the power of judicial review enables the Judiciary to check both the Legislative and Executive branches by invalidating unconstitutional statutes, executive orders, and acts tainted with grave abuse of discretion.","Eliminated because drafting and enacting statutes is an exclusive legislative function belonging to Congress.","Eliminated because the Judiciary acts only through formal judicial proceedings and binding written judgments, not informal military commands.","Eliminated because executing the national budget is an exclusive executive function under Article VII.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Checks and balances | Very Difficult | Batch 143"
"Which of the following is a classic constitutional check exercised by CONGRESS over the MEMBERS OF THE SUPREME COURT?","The power of the House of Representatives to initiate and the Senate to try and convict Supreme Court Justices through IMPEACHMENT, and Congress's power to create lower courts and define their statutory jurisdiction.","The power of the Senate President to reduce the monthly salary of an Associate Justice during an ongoing trial.","The power of congressional committees to overturn a final en banc decision of the Supreme Court.","The authority of the House of Representatives to reassign trial judges to different judicial regions.","A","Step-by-Step Solution:
1. Constitutional Checks by Congress on Judiciary:
   - 1. IMPEACHMENT (Article XI, Section 2 & 3): Congress can remove Supreme Court Justices for culpable violation of the Constitution, treason, bribery, graft and corruption, other high crimes, or betrayal of public trust (House initiates by 1/3 vote; Senate convicts by 2/3 vote).
   - 2. COURT CREATION & JURISDICTION (Article VIII, Section 2): Congress creates lower statutory courts (Court of Appeals, Sandiganbayan, CTA, RTCs, MTCs) and defines their jurisdiction, provided it does not diminish the Supreme Court's minimum constitutional jurisdiction under Article VIII, Section 5.
   - 3. REVENUE & APPROPRIATION (Article VI): Congress passes the annual appropriations for the Judiciary (subject to the fiscal autonomy rule that it cannot be reduced below the previous year's level).
2. Prohibited Acts:
   - Judicial salaries cannot be reduced during incumbency (Art. VIII, Sec. 10).
   - Congress cannot overturn final judicial rulings or reassign judges (administrative supervision over courts belongs EXCLUSIVELY to the Supreme Court under Art. VIII, Sec. 6).
3. Option A correctly specifies the constitutional checks.

Common Trap: Believing Congress can reassign or discipline judges; administrative supervision and disciplining of judges belong EXCLUSIVELY to the Supreme Court.
Exam Tip: Congressional Checks on Judiciary: (1) Impeachment of SC Justices, (2) Creation of lower courts and statutory jurisdiction definition, (3) Budget appropriations.","Correct. Survives elimination because Congress checks the Judiciary through the impeachment and removal of Supreme Court Justices (Article XI) and the power to create and define the statutory jurisdiction of lower courts (Article VIII, Section 2).","Eliminated because judicial salaries are constitutionally protected from diminution during incumbency under Article VIII, Section 10.","Eliminated because final judicial judgments are res judicata and cannot be reversed by legislative committees.","Eliminated because the assignment and discipline of judges is the exclusive administrative power of the Supreme Court under Article VIII, Section 6.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Checks and balances | Very Difficult | Batch 143"
"Under Article VII, Section 19 of the 1987 Constitution, what is the mandatory LEGISLATIVE CHECK required before a presidential grant of AMNESTY can take legal effect?","The concurrence of a MAJORITY OF ALL THE MEMBERS OF THE CONGRESS.","The concurrence of at least two-thirds (2/3) of all the Members of the Senate alone.","The unanimous approval of the House Committee on National Defense.","A signed resolution of the Commission on Appointments.","A","Step-by-Step Solution:
1. Constitutional Text: Article VII, Section 19, second sentence:
   'He shall also have the power to grant amnesty with the concurrence of a majority of all the Members of the Congress.'
2. Meaning of the Amnesty Legislative Check:
   - While ordinary individual Pardons do not require legislative approval, an AMNESTY (which applies to classes of persons for political offenses and completely extinguishes the crime) REQUIRES CONGRESSIONAL CONCURRENCE.
   - Voting Threshold: A MAJORITY OF ALL THE MEMBERS OF CONGRESS (Senate and House voting separately in regular or special session; Trillanes v. Castillo-Marigomen).
3. Contrast with Other Supermajorities:
   - Treaty concurrence = 2/3 of the Senate (Art. VII, Sec. 21).
   - Veto override = 2/3 of each House (Art. VI, Sec. 27).
   - Amnesty concurrence = MAJORITY OF ALL MEMBERS OF CONGRESS (Art. VII, Sec. 19).
4. Option A matches the constitutional text and threshold verbatim.

Common Trap: Confusing the 2/3 Senate treaty concurrence vote with the simple majority concurrence vote of all Members of Congress for Amnesty.
Exam Tip: Amnesty Concurrence = Concurrence of a MAJORITY OF ALL THE MEMBERS OF CONGRESS.","Correct. Survives elimination because Article VII, Section 19 explicitly mandates that a presidential proclamation of amnesty requires the concurrence of a majority of all the Members of Congress to take legal effect.","Eliminated because 2/3 Senate concurrence applies to international treaties (Article VII, Section 21), whereas amnesty requires a majority concurrence of all Members of Congress.","Eliminated because committee approval cannot substitute for the plenary vote of the full membership of Congress.","Eliminated because the Commission on Appointments handles executive appointments, not amnesty concurrence.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Checks and balances | Very Difficult | Batch 143"
"What is the constitutional check exercised by the SENATE in the ratification of INTERNATIONAL TREATIES negotiated by the President under Article VII, Section 21?","No treaty or international agreement shall be valid and effective unless concurred in by at least TWO-THIRDS (2/3) of all the Members of the Senate.","Treaties take effect automatically upon presidential signature unless vetoed by the House of Representatives within sixty days.","Treaties must be approved by a majority vote of both the Senate and the House meeting in joint session.","Treaties require the prior unanimous endorsement of the Judicial and Bar Council.","A","Step-by-Step Solution:
1. Constitutional Text: Article VII, Section 21 states:
   'No treaty or international agreement shall be valid and effective unless concurred in by at least two-thirds of all the Members of the Senate.'
2. Landmark Legal Analysis (Pimentel v. Executive Secretary; Pangilinan v. Cayetano / ICC Withdrawal, G.R. No. 238875, 2021):
   - Foundational Check: While the Executive represents the State in foreign negotiations, the Senate exercises a sovereign legislative check to prevent the President from binding the Republic to detrimental or unequal international obligations.
   - Voting Requirement: Supermajority of AT LEAST TWO-THIRDS (16 out of 24 Senators).
   - Without Senate concurrence, a formal treaty is legally non-binding in Philippine domestic law.
3. Option A is the verbatim constitutional requirement.

Common Trap: Including the House of Representatives in treaty concurrence; treaty concurrence is the SOLE prerogative of the SENATE.
Exam Tip: Treaty Ratification Check = Concurrence by AT LEAST TWO-THIRDS (2/3) OF ALL MEMBERS OF THE SENATE.","Correct. Survives elimination because Article VII, Section 21 establishes that the Senate checks the Executive's treaty-making power by requiring a two-thirds concurrence of all Senate members for any treaty to become valid and effective.","Eliminated because presidential signature alone cannot enforce a formal treaty without the mandatory 2/3 Senate concurrence check.","Eliminated because the House of Representatives has no constitutional role in treaty ratification under Section 21.","Eliminated because the JBC vets judicial nominees and has zero jurisdiction over international treaties.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Checks and balances | Very Difficult | Batch 143"
"Under Article VI, Section 22 of the 1987 Constitution, how does Congress exercise oversight and checks over Cabinet Secretaries through the 'QUESTION HOUR'?","The heads of departments may, upon their own initiative, with the consent of the President, or upon the request of either House, appear before and be heard by such House on any matter pertaining to their departments; when requested by either House, the appearance is mandatory unless the public interest requires otherwise and the President so states in writing.","Congress can detain Cabinet Secretaries indefinitely without filing formal criminal or administrative charges.","Congressional committees can assume the operational management of an executive department during question hour.","Question hour permits legislators to dismiss department directors without civil service due process.","A","Step-by-Step Solution:
1. Constitutional Text: Article VI, Section 22:
   'The heads of departments may, upon their own initiative, with the consent of the President, or upon the request of either House, as the rules of each House shall provide, appear before and be heard by such House on any matter pertaining to their departments. Written questions shall be submitted to the President of the Senate or the Speaker of the House of Representatives at least three days before their scheduled appearance. Interpellations shall not be limited to written questions, but may cover matters related thereto. When the security of the State or the public interest so requires and the President so states in writing, the appearance shall be conducted in executive session.'
2. Landmark Case: Senate v. Ermita (488 SCRA 1, 2006):
   - Distinguishes Section 22 (Question Hour) from Section 21 (Legislative Inquiries in Aid of Legislation).
   - In Question Hour (Sec. 22): Oversight mechanism where Congress invites department heads to report on the routine administration of their departments.
   - If requested by Congress, department heads must appear, subject to executive session rules when state security requires it.
3. Option A matches the constitutional text and doctrine verbatim.

Common Trap: Confusing Question Hour (Art. VI, Sec. 22: routine departmental oversight) with Legislative Inquiries in Aid of Legislation (Art. VI, Sec. 21: mandatory investigative powers to craft new laws).
Exam Tip: Article VI, Section 22 = Question Hour (Department heads appear before either House on departmental matters).","Correct. Survives elimination because Article VI, Section 22 establishes the Question Hour as an oversight mechanism allowing either House of Congress to request the appearance and interpellation of Cabinet department heads regarding their departmental administration.","Eliminated because arbitrary detention without legal process violates due process and the Bill of Rights.","Eliminated because question hour is an oversight interpellation mechanism, not an executive takeover of departmental operations.","Eliminated because disciplining and removing Cabinet officers belongs exclusively to the Executive branch.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Checks and balances | Very Difficult | Batch 143"
