"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Find the 8th term in the sequence defined by the explicit positional formula Tₙ = n³ - n² + n:

1, 6, 21, 52, 105, 186, 301, ?","456","448","464","440","A","Step-by-Step Solution:
1. Verify the polynomial formula Tₙ = n³ - n² + n with initial terms:
 - n=1: 1³ - 1² + 1 = 1
 - n=2: 2³ - 2² + 2 = 8 - 4 + 2 = 6
 - n=3: 3³ - 3² + 3 = 27 - 9 + 3 = 21
 - n=4: 4³ - 4² + 4 = 64 - 16 + 4 = 52
 - n=5: 5³ - 5² + 5 = 125 - 25 + 5 = 105
 - n=6: 6³ - 6² + 6 = 216 - 36 + 6 = 186
 - n=7: 7³ - 7² + 7 = 343 - 49 + 7 = 301.
2. Compute the 8th term (n = 8):
 - T₈ = 8³ - 8² + 8.
 - 8³ = 512.
 - 8² = 64.
 - T₈ = 512 - 64 + 8 = 448 + 8 = 456.

Common Trap: Forgetting the +8 linear term (512 - 64 = 448, Option B).
Exam Tip: Factoring as n(n² - n + 1) gives 8(64 - 8 + 1) = 8(57) = 456.","Correct. Survives elimination because T8 = 8³ - 8² + 8 = 512 - 64 + 8 = 456 (or 8 * 57 = 456).","Eliminated because 448 is 8³ - 8² without adding +8.","Eliminated because adding 16 yields 464.","Eliminated because subtracting 8 yields 440.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Position-based patterns | Very Difficult | Batch 030"
"Identify the next number in the positional factorial-offset sequence:

2, 4, 9, 28, 125, ?","726","720","732","725","A","Step-by-Step Solution:
1. Examine each term relative to its position index n:
 - n=1: 1! + 1 = 1 + 1 = 2
 - n=2: 2! + 2 = 2 + 2 = 4
 - n=3: 3! + 3 = 6 + 3 = 9
 - n=4: 4! + 4 = 24 + 4 = 28
 - n=5: 5! + 5 = 120 + 5 = 125.
2. Formulate general term: Tₙ = n! + n.
3. Compute the 6th term (n = 6):
 - T₆ = 6! + 6.
 - 6! = 720.
 - T₆ = 720 + 6 = 726.

Common Trap: Providing 6! = 720 (Option B), forgetting to add the position index n = 6.
Exam Tip: Always check if the added constant matches the term's index n (5!+5, 6!+6).","Correct. Survives elimination because T6 = 6! + 6 = 720 + 6 = 726.","Eliminated because 720 is 6! without the +6 positional offset.","Eliminated because adding 12 yields 732.","Eliminated because adding 5 yields 725.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Position-based patterns | Very Difficult | Batch 030"
"What is the 9th term in the alternating signed polynomial sequence:

0, -3, 8, -15, 24, -35, 48, -63, ?","80","-80","81","-81","A","Step-by-Step Solution:
1. Examine absolute magnitudes:
 - Magnitudes are n² - 1:
 - n=1: 1² - 1 = 0
 - n=2: 2² - 1 = 3
 - n=3: 3² - 1 = 8
 - n=4: 4² - 1 = 15
 - n=5: 5² - 1 = 24
 - n=6: 6² - 1 = 35
 - n=7: 7² - 1 = 48
 - n=8: 8² - 1 = 63.
2. Examine sign rule:
 - Odd indices (n = 1, 3, 5, 7, 9): Positive (+).
 - Even indices (n = 2, 4, 6, 8): Negative (-).
3. Formulate general term: Tₙ = (-1)ⁿ⁺¹ · (n² - 1).
4. Compute the 9th term (n = 9, an odd position):
 - T₉ = (-1)¹⁰ · (9² - 1) = +1 × (81 - 1) = 80.

Common Trap: Giving -80 (Option B) by assuming terms alternate sign regardless of index parity.
Exam Tip: Odd position = Positive sign in this sequence. 9² - 1 = 80.","Correct. Survives elimination because the 9th term is at an odd index, yielding + (9² - 1) = +80.","Eliminated because -80 carries the incorrect negative sign.","Eliminated because 81 is 9² without subtracting 1.","Eliminated because -81 is -9².","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Position-based patterns | Very Difficult | Batch 030"
"Find the missing number in the self-exponential sequence (Tₙ = nⁿ):

1, 4, 27, 256, 3,125, ?","46,656","36,000","45,556","48,256","A","Step-by-Step Solution:
1. Examine each term as a self-power of its positional index n:
 - n=1: 1¹ = 1
 - n=2: 2² = 4
 - n=3: 3³ = 27
 - n=4: 4⁴ = 256
 - n=5: 5⁵ = 3,125.
2. Formulate general term: Tₙ = nⁿ.
3. Compute the 6th term (n = 6):
 - T₆ = 6⁶ = (6³)² = 216².
4. Evaluate 216²:
 - 216² = (200 + 16)² = 40,000 + 6,400 + 256 = 46,656.

Common Trap: Multiplying 3,125 × 6 = 18,750 or arithmetic error in evaluating 6⁶.
Exam Tip: Express 6⁶ as 216 × 216 = 46,656.","Correct. Survives elimination because T6 = 6⁶ = 216² = 46,656.","Eliminated because 36,000 is an underestimate.","Eliminated because arithmetic error gives 45,556.","Eliminated because calculation slip gives 48,256.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Position-based patterns | Very Difficult | Batch 030"
"Determine the 7th term in the rational sequence where Tₙ = n²/2n + 1:

1/3, 4/5, 9/7, 16/9, 25/11, 36/13, ?","49/15 (or 34/15)","49/14","48/15","49/17","A","Step-by-Step Solution:
1. Analyze numerators:
 - 1, 4, 9, 16, 25, 36 implies n².
 - For n = 7: Numerator = 7² = 49.
2. Analyze denominators:
 - 3, 5, 7, 9, 11, 13 implies 2n + 1 (consecutive odd numbers starting from 3).
 - For n = 7: Denominator = 2(7) + 1 = 14 + 1 = 15.
3. Formulate the 7th term:
 - T₇ = 49/15 = 34/15.

Common Trap: Setting denominator to 2n = 14 (49/14, Option B) or skipping to 17 (Option D).
Exam Tip: Check: Numerator is 7² = 49, denominator is the 7th odd number in the sequence (15).","Correct. Survives elimination because T7 = 7² / (2*7 + 1) = 49/15 = 3 4/15.","Eliminated because 49/14 uses an even denominator.","Eliminated because 48/15 has an incorrect numerator.","Eliminated because 49/17 skips to the 8th denominator.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Position-based patterns | Very Difficult | Batch 030"
"What is the 8th term in the consecutive-integer triplet product sequence:

0, 6, 24, 60, 120, 210, 336, ?","504","512","496","520","A","Step-by-Step Solution:
1. Identify the positional formula:
 - Tₙ = n³ - n = (n - 1) · n · (n + 1).
2. Verify initial terms:
 - n=1: 0 × 1 × 2 = 0
 - n=2: 1 × 2 × 3 = 6
 - n=3: 2 × 3 × 4 = 24
 - n=4: 3 × 4 × 5 = 60
 - n=5: 4 × 5 × 6 = 120
 - n=6: 5 × 6 × 7 = 210
 - n=7: 6 × 7 × 8 = 336.
3. Compute the 8th term (n = 8):
 - T₈ = 8³ - 8 = 512 - 8 = 504.
 - (Alternatively: 7 × 8 × 9 = 56 × 9 = 504).

Common Trap: Selecting 8³ = 512 (Option B), forgetting to subtract n = 8.
Exam Tip: Product of 3 consecutive integers around 8 is 7 × 8 × 9 = 504.","Correct. Survives elimination because T8 = 8³ - 8 = 512 - 8 = 504 (or 7 * 8 * 9 = 504).","Eliminated because 512 is 8³ without subtracting n = 8.","Eliminated because subtracting 16 yields 496.","Eliminated because adding 8 yields 520.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Position-based patterns | Very Difficult | Batch 030"
"Identify the next number in the prime-base positional-exponent sequence:

2, 9, 125, 2,401, ?","161,051","146,410","177,156","155,000","A","Step-by-Step Solution:
1. Deconstruct terms into base and exponent:
 - T₁ = 2¹ = 2 (Base: 1st prime 2, Exponent: 1)
 - T₂ = 3² = 9 (Base: 2nd prime 3, Exponent: 2)
 - T₃ = 5³ = 125 (Base: 3rd prime 5, Exponent: 3)
 - T₄ = 7⁴ = 2,401 (Base: 4th prime 7, Exponent: 4).
2. Formulate general term: Tₙ = (pₙ)ⁿ, where pₙ is the n-th prime number.
3. Determine the 5th term (n = 5):
 - The 5th prime number is 11.
 - T₅ = 11⁵.
4. Evaluate 11⁵:
 - 11¹ = 11
 - 11² = 121
 - 11³ = 1,331
 - 11⁴ = 14,641
 - 11⁵ = 14,641 × 11 = 161,051.

Common Trap: Selecting 11⁴ = 14,641 × 10 = 146,410 (Option B) due to multiplication slip.
Exam Tip: Use Pascal's triangle coefficients for (10+1)⁵ = 10⁵ + 5(10⁴) + 10(10³) + 10(10²) + 5(10) + 1 = 161,051.","Correct. Survives elimination because the 5th prime is 11, and 11⁵ = 161,051.","Eliminated because 146,410 is 10 * 11⁴.","Eliminated because arithmetic error gives 177,156.","Eliminated because rounding gives 155,000.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Position-based patterns | Very Difficult | Batch 030"
"Find the 8th term in the sequence Tₙ = n³ + n:

2, 10, 30, 68, 130, 222, 350, ?","520","512","528","516","A","Step-by-Step Solution:
1. Verify terms with formula Tₙ = n³ + n:
 - n=1: 1³ + 1 = 2
 - n=2: 2³ + 2 = 10
 - n=3: 3³ + 3 = 30
 - n=4: 4³ + 4 = 68
 - n=5: 5³ + 5 = 130
 - n=6: 6³ + 6 = 222
 - n=7: 343 + 7 = 350.
2. Compute the 8th term (n = 8):
 - T₈ = 8³ + 8 = 512 + 8 = 520.

Common Trap: Selecting 8³ = 512 (Option B), forgetting to add n = 8.
Exam Tip: Notice Tₙ = n(n² + 1) implies 8(64 + 1) = 8(65) = 520.","Correct. Survives elimination because T8 = 8³ + 8 = 512 + 8 = 520 (or 8 * 65 = 520).","Eliminated because 512 is 8³ without the +8 offset.","Eliminated because adding 16 yields 528.","Eliminated because arithmetic slip gives 516.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Position-based patterns | Very Difficult | Batch 030"
"Determine the missing number in the triangular combination sequence:

1, 3, 6, 10, 15, 21, ?","28","27","30","26","A","Step-by-Step Solution:
1. Identify the formula for triangular numbers:
 - Tₙ = n(n + 1)/2 = binom{n+1}{2}.
2. Verify terms:
 - n=1: 1 × 2/2 = 1
 - n=2: 2 × 3/2 = 3
 - n=3: 3 × 4/2 = 6
 - n=4: 4 × 5/2 = 10
 - n=5: 5 × 6/2 = 15
 - n=6: 6 × 7/2 = 21.
3. Compute the 7th term (n = 7):
 - T₇ = 7 × 8/2 = 7 × 4 = 28.

Common Trap: Adding 6 instead of 7 (21 + 6 = 27, Option B).
Exam Tip: Increments are consecutive integers (+2, +3, +4, +5, +6, +7 implies 21 + 7 = 28).","Correct. Survives elimination because T7 = (7 * 8) / 2 = 28 (or 21 + 7 = 28).","Eliminated because adding 6 yields 27.","Eliminated because adding 9 yields 30.","Eliminated because adding 5 yields 26.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Position-based patterns | Very Difficult | Batch 030"
"Find the 6th term in the sequence defined by Tₙ = 2ⁿ - 1/n:

1, 1.5, 7/3, 3.75, 6.2, ?","10.5 (or 21/2)","10.0","11.2","9.5","A","Step-by-Step Solution:
1. Verify terms with the defined formula Tₙ = 2ⁿ - 1/n:
 - n=1: 2¹ - 1/1 = 1/1 = 1
 - n=2: 2² - 1/2 = 3/2 = 1.5
 - n=3: 2³ - 1/3 = 7/3 = 2.333
 - n=4: 2⁴ - 1/4 = 15/4 = 3.75
 - n=5: 2⁵ - 1/5 = 31/5 = 6.2.
2. Compute the 6th term (n = 6):
 - T₆ = 2⁶ - 1/6.
 - 2⁶ = 64.
 - T₆ = 64 - 1/6 = 63/6.
3. Reduce fraction:
 - 63/6 = 21/2 = 10.5.

Common Trap: Evaluating 2⁶/6 = 64/6 ≈ 10.667 without subtracting 1.
Exam Tip: 63/6 = 10.5.","Correct. Survives elimination because T6 = (2⁶ - 1) / 6 = 63 / 6 = 21 / 2 = 10.5.","Eliminated because rounding to 10.0 drops the exact fractional half.","Eliminated because arithmetic error gives 11.2.","Eliminated because underestimating quotient gives 9.5.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Position-based patterns | Very Difficult | Batch 030"
