"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Passage: A nationwide audit of the Government Service Insurance System (GSIS) found that while 92% of pension processing requests submitted via the online mobile portal were disbursed within 48 hours, only 58% of claims processed through physical branch kiosks met the same 48-hour standard. However, 84% of pensioners over the age of 75 continued to submit their claims via physical branch kiosks due to limited smartphone access or digital biometric barriers. Which of the following INFERENCES is most strongly supported by the passage?","The majority of pensioners over 75 years old rely on a claim submission method that has a lower rate of 48-hour disbursement than the mobile portal.","Pensioners under the age of 75 never visit physical branch kiosks to process their pension claims.","The GSIS will completely decommission all physical branch kiosks by the end of the current fiscal year.","Paper-based claims at branch kiosks are more susceptible to fraudulent tampering than digital mobile claims.","A","Step-by-Step Solution:
1. Synthesize the relevant factual data points:
   - Mobile portal: 92% disbursed within 48 hours.
   - Physical branch kiosks: 58% disbursed within 48 hours ($58\% < 92\%$).
   - Pensioners over 75: 84% (a clear majority) use physical branch kiosks.
2. Formulate the deductive inference:
   - Because 84% of pensioners over 75 use branch kiosks, and branch kiosks achieve a lower 48-hour disbursement rate (58%) compared to the mobile app (92%), the majority of pensioners over 75 rely on a method with lower 48-hour turnaround.
   - Option A is a direct, mathematically airtight synthesis.
3. Evaluate incorrect alternatives:
   - Option B: Extreme absolutist claim (\"never visit\") unsupported by the text.
   - Option C: Total kiosk closure is speculative and unmentioned.
   - Option D: Fraud susceptibility was not evaluated in the audit data.

Common Trap: Choosing speculative policy predictions (Option C) rather than integrating the stated statistical percentages.
Exam Tip: An inference is a factual conclusion directly derived from combining two or more explicit premises in the text.","Correct. Survives elimination because 84% of over-75 pensioners use kiosks, which have a lower 48-hour disbursement rate (58%) than the app (92%).","Eliminated because the passage does not claim younger pensioners never use kiosks.","Eliminated because future kiosk decommissioning is unstated speculation.","Eliminated because fraud rates were not analyzed in the passage.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Inference | Very Difficult | Batch 092"
"Passage: Under Republic Act No. 7305 (Magna Carta for Public Health Workers), public health personnel assigned to hazard zones are entitled to monthly hazard allowances ranging from 15% to 25% of their basic salary based on risk severity. Hospital X is classified as a low-risk facility (qualifying for a 15% hazard allowance), while Hospital Y is a high-risk infectious disease facility (qualifying for a 25% hazard allowance). Nurse Althea and Nurse Brian earn the same basic salary of PHP 35,000, but Nurse Althea works at Hospital Y while Nurse Brian works at Hospital X. What can be INFERRED regarding their compensation?","Nurse Althea receives a higher monthly hazard allowance than Nurse Brian.","Nurse Brian does not receive any monthly hazard allowance.","Nurse Althea's take-home pay is completely exempt from statutory withholding taxes.","Hospital X has a larger patient bed capacity than Hospital Y.","A","Step-by-Step Solution:
1. Compute the hazard allowance for each nurse:
   - Common base salary = PHP 35,000.
   - Nurse Althea (Hospital Y, high-risk): Allowance $= 25\% \times \text{PHP } 35,000 = \text{PHP } 8,750$.
   - Nurse Brian (Hospital X, low-risk): Allowance $= 15\% \times \text{PHP } 35,000 = \text{PHP } 5,250$.
2. Compare the allowances:
   - $\text{PHP } 8,750 > \text{PHP } 5,250$.
   - Nurse Althea receives a higher monthly hazard allowance than Nurse Brian.
3. Conclude:
   - Option A is mathematically and legally proven.
4. Evaluate incorrect alternatives:
   - Option B: Brian receives a 15% allowance (PHP 5,250), not zero.
   - Option C: Tax exemption rules are unmentioned.
   - Option D: Bed capacity is unstated.

Common Trap: Assuming low-risk means zero hazard pay.
Exam Tip: Apply the quantitative rates from the law to identical baseline salaries to deduce the comparative financial outcome.","Correct. Survives elimination because 25% of PHP 35,000 (PHP 8,750) is mathematically greater than 15% of PHP 35,000 (PHP 5,250).","Eliminated because Nurse Brian is entitled to a 15% hazard allowance.","Eliminated because tax exemption status is unmentioned.","Eliminated because physical bed capacity is outside the scope of the passage.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Inference | Very Difficult | Batch 092"
"Passage: In a government agency with 200 total personnel, all 40 division chiefs are required to attend the quarterly budget performance review, while non-supervisory staff may attend voluntarily. At yesterday's review meeting, exactly 75 employees were present in the conference hall, and all 40 division chiefs were confirmed to be in attendance. Which of the following can be INFERRED with mathematical certainty?","Exactly 35 non-supervisory employees attended yesterday's budget performance review meeting.","Exactly 125 employees were on approved official leave yesterday.","None of the non-supervisory employees attended the review meeting.","All division chiefs voted against the proposed budget realignment.","A","Step-by-Step Solution:
1. Identify the constituent groups present at the meeting:
   - Total attendees present = 75.
   - Division chiefs present = 40 (all 40 attended).
2. Calculate the non-supervisory attendees:
   - $\text{Non-supervisory attendees} = \text{Total attendees} - \text{Division chiefs present}$.
   - $\text{Non-supervisory attendees} = 75 - 40 = 35$.
3. Conclude:
   - Exactly 35 non-supervisory employees attended the meeting.
   - Option A is a mathematical certainty.
4. Evaluate incorrect alternatives:
   - Option B: Absent from the meeting ($200 - 75 = 125$) does not mean on official leave; they could simply be working at their desks.
   - Option C: Factually false (35 attended).
   - Option D: Voting behavior is unmentioned.

Common Trap: Assuming employees not in the meeting are absent on leave (they could simply be working at their desks).
Exam Tip: Use basic set subtraction: $\text{Total Present} (75) - \text{Mandatory Chiefs} (40) = \text{Voluntary Staff} (35)$.","Correct. Survives elimination because subtracting the 40 confirmed division chiefs from the 75 total attendees leaves exactly 35 non-supervisory employees.","Eliminated because non-attendees could be working at their desks rather than on leave.","Eliminated because 35 non-supervisory employees were confirmed present.","Eliminated because voting outcomes are unmentioned.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Inference | Very Difficult | Batch 092"
"Passage: A regional energy assessment observed that in provinces where rooftop solar adoption grew by more than 30% between 2021 and 2024, peak daytime grid electricity demand dropped by an average of 18%. In contrast, in provinces where rooftop solar adoption grew by less than 5%, peak daytime grid demand rose by an average of 12% over the same period. Which inference is most strongly supported by the observations?","There is an inverse relationship between substantial rooftop solar adoption and peak daytime electricity demand on the regional utility grid.","Rooftop solar panels generate more electrical energy during evening hours than during midday hours.","Fossil-fuel power plants in the province will be completely decommissioned within three years.","Provinces with high solar adoption experience cooler average ambient temperatures than low adoption provinces.","A","Step-by-Step Solution:
1. Analyze the comparative empirical trends:
   - High Solar Growth ($>30\%$) $\implies$ Peak Grid Demand Decreased ($-18\%$).
   - Low Solar Growth ($<5\%$) $\implies$ Peak Grid Demand Increased ($+12\%$).
2. Identify the mathematical relationship:
   - As solar adoption goes up, daytime grid demand goes down; as solar adoption remains low, grid demand goes up.
   - This represents an INVERSE (negative) statistical correlation.
3. Conclude:
   - Option A accurately describes this inverse relationship.
4. Evaluate incorrect alternatives:
   - Option B: Solar panels generate power from sunlight during the day, not at night.
   - Option C: Total decommissioning of fossil plants is an unstated, unrealistic extreme.
   - Option D: Temperature differences are completely unmentioned.

Common Trap: Selecting unmentioned technical or weather claims instead of summarizing the correlation.
Exam Tip: When variable $X$ increases while variable $Y$ decreases, the variables exhibit an inverse relationship.","Correct. Survives elimination because the data demonstrates an inverse relationship: high solar growth correlates with declining peak daytime grid demand.","Eliminated because solar panels do not generate more energy at night.","Eliminated because complete decommissioning of power plants is unstated speculation.","Eliminated because ambient temperature data was not measured in the study.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Inference | Very Difficult | Batch 092"
"Passage: Under Philippine environmental regulations, industrial facilities generating more than 100 kilograms of hazardous waste per month must employ a full-time certified Pollution Control Officer (PCO). Facility Alpha generates 85 kg per month, Facility Beta generates 140 kg per month, and Facility Gamma generates 220 kg per month. Which statement can be properly INFERRED?","Both Facility Beta and Facility Gamma are legally mandated to employ a full-time certified Pollution Control Officer.","Facility Alpha is legally prohibited from employing a Pollution Control Officer.","Facility Gamma generates a higher volume of municipal solid plastic waste than Facility Beta.","Facility Alpha will be penalized for environmental regulatory non-compliance.","A","Step-by-Step Solution:
1. Apply the regulatory threshold ($> 100\text{ kg/month}$):
   - Facility Alpha: $85\text{ kg} \le 100\text{ kg} \implies$ Not mandated under this threshold.
   - Facility Beta: $140\text{ kg} > 100\text{ kg} \implies$ Legally mandated to employ full-time PCO.
   - Facility Gamma: $220\text{ kg} > 100\text{ kg} \implies$ Legally mandated to employ full-time PCO.
2. Derive the valid inference:
   - Both Facility Beta and Facility Gamma exceed the 100 kg threshold and are legally mandated to employ a full-time certified PCO.
   - Option A is directly supported.
3. Evaluate incorrect alternatives:
   - Option B: Alpha is not required, but is certainly not *prohibited* from voluntarily hiring one.
   - Option C: Hazardous waste is distinct from municipal solid plastic waste.
   - Option D: Alpha is below the threshold, so it is not in violation.

Common Trap: Assuming not being required to hire a PCO means being legally prohibited from hiring one.
Exam Tip: A mandatory minimum threshold ($>100\text{ kg}$) creates an obligation for entities above it without prohibiting voluntary compliance below it.","Correct. Survives elimination because Beta (140 kg) and Gamma (220 kg) both exceed the statutory 100 kg/month threshold requiring a full-time certified PCO.","Eliminated because Alpha is not prohibited from voluntarily employing a PCO.","Eliminated because hazardous waste volume does not measure municipal plastic waste.","Eliminated because Alpha is fully compliant with the regulation.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Inference | Very Difficult | Batch 092"
