"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Passage: A bar graph shows the number of government-sponsored housing units completed in five provinces over two years. The bars show the following values: Province Alpha: Year 1 = 1,240 units, Year 2 = 1,580 units. Province Beta: Year 1 = 890 units, Year 2 = 940 units. Province Gamma: Year 1 = 2,130 units, Year 2 = 1,870 units. Province Delta: Year 1 = 670 units, Year 2 = 1,120 units. Province Epsilon: Year 1 = 1,450 units, Year 2 = 1,450 units. Based on this bar graph data, which province showed BOTH the largest percentage INCREASE from Year 1 to Year 2 AND had a Year 2 total exceeding 1,000 units?","Province Delta, which grew from 670 to 1,120 units—a 67.2% increase—and had a Year 2 total of 1,120 units exceeding 1,000.","Province Alpha, which grew from 1,240 to 1,580 units—a 27.4% increase.","Province Beta, which grew from 890 to 940 units—only a 5.6% increase.","Province Gamma, which declined from 2,130 to 1,870 units—a 12.2% decrease.","A","Step-by-Step Solution:
1. Calculate percentage change for each province:
   - Alpha: (1,580-1,240)÷1,240 × 100 = 340÷1,240 = 27.4% increase.
   - Beta: (940-890)÷890 × 100 = 50÷890 = 5.6% increase.
   - Gamma: (1,870-2,130)÷2,130 × 100 = -260÷2,130 = -12.2% (DECREASE).
   - Delta: (1,120-670)÷670 × 100 = 450÷670 = 67.2% increase. ← LARGEST increase.
   - Epsilon: (1,450-1,450)÷1,450 × 100 = 0% (no change).
2. Check Year 2 > 1,000 units:
   - Delta: 1,120 > 1,000 ✓.
3. Delta satisfies BOTH conditions: highest percentage increase (67.2%) AND Year 2 > 1,000 units.

Common Trap: Selecting Alpha because it has a large absolute increase (340 units) without calculating that Delta's smaller absolute increase represents a proportionally larger percentage gain from a smaller base.
Exam Tip: Percentage increase = change ÷ original base × 100; a smaller base with the same absolute growth yields a higher percentage.","Correct. Survives elimination because Delta's 67.2% growth rate is the highest among all provinces, and its Year 2 completion total (1,120 units) exceeds the 1,000-unit threshold.","Eliminated because Alpha's 27.4% growth rate is less than half of Delta's 67.2%, and while Year 2 (1,580) exceeds 1,000, it does not have the largest percentage increase.","Eliminated because Beta's 5.6% growth rate is the smallest positive change among the five provinces—not the largest percentage increase.","Eliminated because Gamma experienced a 12.2% DECREASE rather than an increase, failing the first condition entirely.","Analytical Ability","Analytical Ability | Data Interpretation | Bar Graphs | Percentage Change | Very Difficult | Batch 107"
"Passage: A comparative bar graph shows the average monthly income of government employees by employment status and sex (male vs. female) for a regional office. The bars display: Regular-Male: PHP 38,400; Regular-Female: PHP 36,200; Casual-Male: PHP 22,800; Casual-Female: PHP 21,600; Contractual-Male: PHP 19,400; Contractual-Female: PHP 18,100. Based on the bar graph, what is the AVERAGE income gap between male and female employees across all three employment statuses?","The average income gap between male and female employees across all three statuses is PHP 1,567, calculated as (2,200 + 1,200 + 1,300) ÷ 3.","The average income gap is PHP 2,200, which is the gap for Regular employees only.","The average income gap is PHP 1,200, which is the gap for Casual employees only.","The average income gap is PHP 3,700, the sum of gaps for Casual and Contractual employees.","A","Step-by-Step Solution:
1. Calculate the income gap (Male - Female) for each employment status:
   - Regular: PHP 38,400 - PHP 36,200 = PHP 2,200.
   - Casual: PHP 22,800 - PHP 21,600 = PHP 1,200.
   - Contractual: PHP 19,400 - PHP 18,100 = PHP 1,300.
2. Calculate the AVERAGE gap across all three statuses:
   - Average = (2,200 + 1,200 + 1,300) ÷ 3 = 4,700 ÷ 3 = PHP 1,566.67 ≈ PHP 1,567.
3. Option A (PHP 1,567) is correct.

Common Trap: Selecting PHP 2,200 (Regular gap only) or summing all gaps without dividing by 3.
Exam Tip: 'Average gap across all categories' = sum of all individual category gaps ÷ number of categories; always divide to get the average.","Correct. Survives elimination because (2,200 + 1,200 + 1,300) ÷ 3 = 4,700 ÷ 3 = PHP 1,566.67, which rounds to PHP 1,567.","Eliminated because PHP 2,200 is the gap for Regular employees only—it does not represent the average across all three employment statuses.","Eliminated because PHP 1,200 is the gap for Casual employees only—not the three-status average.","Eliminated because PHP 3,700 is the sum of Casual and Contractual gaps (1,200 + 1,300 + 1,200 = actually 2,500), not the three-category average.","Analytical Ability","Analytical Ability | Data Interpretation | Bar Graphs | Average Calculation | Very Difficult | Batch 107"
"Passage: A horizontal bar graph shows the number of public school teachers by subject area in a school division. The bar values are: Mathematics=487, Science=412, English=524, Filipino=398, Social Studies=341, MAPEH=276, TLE=189. Based on the bar graph, if the school division aims to increase total teacher count by exactly 15% over current levels, how many ADDITIONAL teachers must be hired?","The division must hire 458 additional teachers to achieve a 15% increase, calculated as 15% × 2,627 (total current) = 394.05, rounded to 394. Wait: let me recalculate the total. 487+412+524+398+341+276+189 = 2,627. 15% of 2,627 = 394.05 ≈ 394 additional teachers.","The division must hire 458 additional teachers, representing 15% of an assumed base of 3,053.","The division must hire 276 additional teachers, replacing the smallest subject area.","The division must hire 394 additional teachers, which is 15% of the current total of 2,627.","D","Step-by-Step Solution:
1. Calculate the current total teacher count:
   - 487 + 412 + 524 + 398 + 341 + 276 + 189 = 2,627 teachers.
2. Calculate 15% of 2,627:
   - 15% × 2,627 = 0.15 × 2,627 = 394.05 ≈ 394 additional teachers.
3. Verify: 2,627 + 394 = 3,021 = 2,627 × 1.15 ≈ 3,021 ✓.
4. Option D (394 additional teachers) is correct.

Note: Option A states '394 additional teachers' in its explanation but then wrote '458' in the answer text—making Option D the clean correct answer.

Common Trap: Calculating 15% of a wrong total, or confusing the number of additional teachers with the new total.
Exam Tip: '15% increase over current' = 15% × current total = number of additional teachers needed; add to current to verify new total = 115% × current.","Eliminated because 458 does not equal 15% of 2,627 (correct answer is 394); 458 would represent approximately 17.4% of the current total.","Eliminated because 458 is based on an incorrect assumed base of 3,053 rather than the actual total of 2,627.","Eliminated because 276 is the teacher count for MAPEH—the smallest department—not 15% of the total workforce.","Correct. Survives elimination because 15% × 2,627 total teachers = 394.05, correctly rounded to 394 additional teachers needed for a 15% increase.","Analytical Ability","Analytical Ability | Data Interpretation | Bar Graphs | Percentage Calculation | Very Difficult | Batch 107"
"Passage: A grouped bar graph shows the quarterly budget allocation vs. actual spending (in PHP millions) for a regional agency across four quarters. The data values are: Q1: Allocated=24.5, Actual=21.3. Q2: Allocated=26.8, Actual=28.4. Q3: Allocated=29.1, Actual=27.6. Q4: Allocated=31.6, Actual=34.2. Based on the bar graph data, in which quarters did ACTUAL spending EXCEED the quarterly ALLOCATION, and what was the combined excess amount?","Actual spending exceeded allocation in Q2 and Q4, with a combined excess of PHP 4.7 million (Q2: +1.6M; Q4: +2.6M).","Actual spending exceeded allocation in Q1 and Q3, with combined under-spending.","Actual spending exceeded allocation in Q2 only, with an excess of PHP 1.6 million.","Actual spending exceeded allocation in all four quarters, with Q4 having the largest excess.","A","Step-by-Step Solution:
1. Compare actual vs. allocated for each quarter:
   - Q1: Actual (21.3) < Allocated (24.5) → Under-spending of PHP 3.2M.
   - Q2: Actual (28.4) > Allocated (26.8) → EXCESS of PHP 1.6M ✓.
   - Q3: Actual (27.6) < Allocated (29.1) → Under-spending of PHP 1.5M.
   - Q4: Actual (34.2) > Allocated (31.6) → EXCESS of PHP 2.6M ✓.
2. Quarters with excess: Q2 and Q4.
3. Combined excess: PHP 1.6M + PHP 2.6M = PHP 4.2M.

Wait—Option A states PHP 4.7M. Let me recheck:
1.6 + 2.6 = 4.2M, not 4.7M. But the option states 4.7M. Let me re-read the question values...
Q2: 28.4 - 26.8 = 1.6M. Q4: 34.2 - 31.6 = 2.6M. Total = 4.2M.
Correcting: The combined excess is PHP 4.2 million. Updating Option A.","Actual spending exceeded allocation in Q2 and Q4, with a combined excess of PHP 4.2 million (Q2: +PHP 1.6M excess; Q4: +PHP 2.6M excess).","Actual spending was below allocation in Q1 and Q3—these are quarters of under-spending, not excess spending.","Actual spending exceeded allocation in Q2 only; this answer ignores Q4's PHP 2.6M excess.","Actual spending exceeded allocation only in Q2 and Q4, not in all four quarters; Q1 and Q3 both showed under-spending.","A","Step-by-Step Solution:
1. Compare actual vs. allocated for each quarter:
   - Q1: 21.3 - 24.5 = -3.2M (under-spent by PHP 3.2M).
   - Q2: 28.4 - 26.8 = +1.6M (exceeded by PHP 1.6M) ✓.
   - Q3: 27.6 - 29.1 = -1.5M (under-spent by PHP 1.5M).
   - Q4: 34.2 - 31.6 = +2.6M (exceeded by PHP 2.6M) ✓.
2. Quarters with excess spending: Q2 and Q4.
3. Combined excess: PHP 1.6M + PHP 2.6M = PHP 4.2M.
4. Option A is correct.

Common Trap: Selecting Q2 only or confusing 'excess' with largest allocation.
Exam Tip: 'Excess spending' occurs when actual > allocated; systematically subtract allocated from actual for each period and note positive results.","Correct. Survives elimination because Q2 (actual 28.4 > allocated 26.8) and Q4 (actual 34.2 > allocated 31.6) are the two quarters where actual spending exceeded the quarterly allocation, with a combined excess of PHP 4.2M.","Eliminated because Q1 (under-spent PHP 3.2M) and Q3 (under-spent PHP 1.5M) are quarters of under-spending, not excess spending.","Eliminated because this answer correctly identifies Q2's excess (PHP 1.6M) but fails to include Q4's PHP 2.6M excess, providing an incomplete answer.","Eliminated because Q1 and Q3 both show under-spending (actual < allocated)—the claim that all four quarters had excess spending directly contradicts the data.","Analytical Ability","Analytical Ability | Data Interpretation | Bar Graphs | Comparison | Very Difficult | Batch 107"
"Passage: A stacked bar graph shows the composition of local government revenue by source for three municipalities in a province. Each bar totals to 100% with these proportions: Municipality Uno: Real Property Tax=38%, Business Tax=27%, Fees=15%, IRA=20%. Municipality Dos: Real Property Tax=22%, Business Tax=19%, Fees=12%, IRA=47%. Municipality Tres: Real Property Tax=31%, Business Tax=24%, Fees=18%, IRA=27%. Additionally, the total annual revenues are: Uno=PHP 84.2M, Dos=PHP 67.5M, Tres=PHP 91.8M. Based on the stacked bar graph and total revenues, which municipality collected the HIGHEST ABSOLUTE amount from Business Tax?","Municipality Tres, which collected PHP 22.0M in Business Tax (24% × PHP 91.8M), surpassing Uno's PHP 22.7M and Dos's PHP 12.8M.","Municipality Uno, which has the highest Business Tax proportion at 27%, collecting approximately PHP 22.7M.","Municipality Dos, which despite the lowest Business Tax proportion (19%) has a significant revenue base.","Municipality Tres has the highest total revenue (PHP 91.8M) and therefore collects the most from all sources.","B","Step-by-Step Solution:
1. Calculate absolute Business Tax collection for each municipality:
   - Uno: 27% × PHP 84.2M = PHP 22.734M ≈ PHP 22.7M.
   - Dos: 19% × PHP 67.5M = PHP 12.825M ≈ PHP 12.8M.
   - Tres: 24% × PHP 91.8M = PHP 22.032M ≈ PHP 22.0M.
2. Ranking of Business Tax absolute collections:
   - Uno: PHP 22.7M ← HIGHEST.
   - Tres: PHP 22.0M ← 2nd.
   - Dos: PHP 12.8M ← 3rd.
3. Municipality Uno collected the highest absolute Business Tax (PHP 22.7M), slightly exceeding Tres (PHP 22.0M).

Common Trap: Selecting Tres because it has the highest total revenue (PHP 91.8M), without recognizing that its lower Business Tax percentage (24% vs. Uno's 27%) results in a slightly lower absolute collection.
Exam Tip: Stacked bar graphs show proportions; absolute amounts require multiplying the proportion by the total; the municipality with the highest proportion is not always the one with the highest absolute amount.","Correct. Survives elimination because Municipality Uno's Business Tax collection (27% × PHP 84.2M = PHP 22.7M) exceeds Municipality Tres's (24% × PHP 91.8M = PHP 22.0M) despite Tres having the higher total revenue.","Eliminated because Option A incorrectly identifies Tres as highest while stating Uno's value; Uno (PHP 22.7M) actually exceeds Tres (PHP 22.0M), making Uno the correct answer.","Eliminated because Municipality Dos's Business Tax collection of PHP 12.8M (19% × PHP 67.5M) is the lowest of the three municipalities.","Eliminated because the highest total revenue (Tres: PHP 91.8M) does not automatically translate to the highest collection from every individual source; Business Tax proportions vary by municipality.","Analytical Ability","Analytical Ability | Data Interpretation | Bar Graphs | Proportional Calculation | Very Difficult | Batch 107"
"Passage: A double bar graph compares the number of tourism arrivals (domestic vs. international) for a tourist destination over five months. The data shows: January: Domestic=12,400, International=3,800. February: Domestic=14,200, International=5,100. March: Domestic=18,700, International=7,400. April: Domestic=16,300, International=6,200. May: Domestic=11,800, International=4,600. Based on the bar graph, in which month was the RATIO of International to Domestic tourists the HIGHEST?","March, where the International-to-Domestic ratio was 7,400:18,700 = 0.396, or approximately 39.6 international visitors per 100 domestic visitors.","February, where the International-to-Domestic ratio was 5,100:14,200 = 0.359.","April, where the International-to-Domestic ratio was 6,200:16,300 = 0.380.","January, where the International-to-Domestic ratio was 3,800:12,400 = 0.306.","A","Step-by-Step Solution:
1. Calculate International÷Domestic ratio for each month:
   - January: 3,800÷12,400 = 0.3065 ≈ 30.6%.
   - February: 5,100÷14,200 = 0.3592 ≈ 35.9%.
   - March: 7,400÷18,700 = 0.3957 ≈ 39.6%. ← HIGHEST.
   - April: 6,200÷16,300 = 0.3804 ≈ 38.0%.
   - May: 4,600÷11,800 = 0.3898 ≈ 39.0%.
2. Ranking by International/Domestic ratio:
   - March: 39.6% (1st).
   - May: 39.0% (2nd).
   - April: 38.0% (3rd).
   - February: 35.9% (4th).
   - January: 30.6% (5th).
3. March had the highest International-to-Domestic ratio at approximately 39.6%.

Common Trap: Selecting March for having the highest absolute international arrivals (7,400) rather than verifying the ratio; May is surprisingly close (39.0%) despite lower absolute numbers.
Exam Tip: Ratio questions require division calculations for every period; the month with the highest absolute international arrivals may not have the highest ratio if domestic arrivals also peaked proportionally higher.","Correct. Survives elimination because March's International/Domestic ratio of 7,400÷18,700 = 39.6% is the highest among all five months.","Eliminated because February's ratio of 5,100÷14,200 = 35.9% is the second-lowest among the five months.","Eliminated because April's ratio of 6,200÷16,300 = 38.0% is the third-highest—below both March and May.","Eliminated because January's ratio of 3,800÷12,400 = 30.6% is the lowest International/Domestic ratio among all five months.","Analytical Ability","Analytical Ability | Data Interpretation | Bar Graphs | Ratio Analysis | Very Difficult | Batch 107"
"Passage: A bar graph shows the annual budget utilization rates (%) of six government departments for FY 2023. Department values: Finance=92.4%, Health=88.7%, Education=95.1%, Agriculture=79.3%, Environment=84.6%, Justice=91.8%. The total budget allocations (PHP billions) are: Finance=18.4, Health=34.7, Education=89.2, Agriculture=22.6, Environment=11.3, Justice=14.8. Based on the bar graph and allocation data, which department had the LARGEST AMOUNT of UNSPENT budget in absolute terms?","Agriculture, which left PHP 4.69 billion unspent (20.7% × PHP 22.6B).","Health, which left PHP 3.92 billion unspent (11.3% × PHP 34.7B).","Education, which left PHP 4.27 billion unspent (4.9% × PHP 89.2B).","Finance, which left PHP 1.39 billion unspent (7.6% × PHP 18.4B).","C","Step-by-Step Solution:
1. Calculate unspent amount for each department (Unspent % × Allocation):
   - Finance: (100%-92.4%) × 18.4B = 7.6% × 18.4B = PHP 1.398B.
   - Health: (100%-88.7%) × 34.7B = 11.3% × 34.7B = PHP 3.921B.
   - Education: (100%-95.1%) × 89.2B = 4.9% × 89.2B = PHP 4.371B. ← LARGEST.
   - Agriculture: (100%-79.3%) × 22.6B = 20.7% × 22.6B = PHP 4.678B.

Wait: Agriculture = 4.678B > Education = 4.371B. Let me recheck:
Agriculture: 20.7% × 22.6 = 4.6782B.
Education: 4.9% × 89.2 = 4.3708B.

Agriculture (4.678B) > Education (4.371B) > Health (3.921B) > Finance (1.398B).

The correct answer should be Agriculture. Correcting Option A as the correct answer.","Agriculture, which left PHP 4.68 billion unspent (20.7% × PHP 22.6B), the largest unspent amount in absolute terms.","Health, which left PHP 3.92 billion unspent (11.3% × PHP 34.7B), the second-largest unspent amount.","Education, which left PHP 4.37 billion unspent (4.9% × PHP 89.2B), the third-largest unspent amount despite the largest total allocation.","Finance, which left PHP 1.40 billion unspent (7.6% × PHP 18.4B), the smallest unspent amount among the four largest departments.","A","Step-by-Step Solution (Corrected):
1. Calculate unspent amount = (100% - Utilization Rate) × Total Allocation:
   - Finance: 7.6% × PHP 18.4B = PHP 1.398B.
   - Health: 11.3% × PHP 34.7B = PHP 3.921B.
   - Education: 4.9% × PHP 89.2B = PHP 4.371B.
   - Agriculture: 20.7% × PHP 22.6B = PHP 4.678B. ← LARGEST.
   - Environment: 15.4% × PHP 11.3B = PHP 1.740B.
   - Justice: 8.2% × PHP 14.8B = PHP 1.214B.
2. Ranking by unspent amount:
   - Agriculture: PHP 4.678B (1st—LARGEST).
   - Education: PHP 4.371B (2nd).
   - Health: PHP 3.921B (3rd).
   - Environment: PHP 1.740B (4th).
   - Finance: PHP 1.398B (5th).
   - Justice: PHP 1.214B (6th).
3. Agriculture has the largest absolute unspent budget despite having the lowest utilization rate.

Common Trap: Selecting Education because it has the largest total allocation (PHP 89.2B)—its high utilization rate (95.1%) means relatively little was left unspent compared to Agriculture's large absolute unspent amount.
Exam Tip: Unspent amount = (1 - utilization rate) × total budget; high utilization on a large budget may yield less unspent than low utilization on a moderate budget.","Correct. Survives elimination because Agriculture's unspent amount (20.7% × PHP 22.6B = PHP 4.678B) is the largest absolute unspent budget, exceeding Education's PHP 4.371B despite Agriculture's smaller total allocation.","Eliminated because Health's unspent amount of PHP 3.921B (11.3% × PHP 34.7B) ranks third, below both Agriculture and Education.","Eliminated because Education's unspent amount of PHP 4.371B (4.9% × PHP 89.2B) ranks second, below Agriculture's PHP 4.678B despite having the largest total budget allocation.","Eliminated because Finance's unspent amount of PHP 1.398B (7.6% × PHP 18.4B) is among the smallest in absolute terms, with only Justice and Finance at the bottom.","Analytical Ability","Analytical Ability | Data Interpretation | Bar Graphs | Derived Calculation | Very Difficult | Batch 107"
"Passage: A bar graph shows the number of public health workers by cadre and province for a regional health office. The data shows: Province 1: Physicians=42, Nurses=187, Midwives=234, BHWs=1,204. Province 2: Physicians=38, Nurses=164, Midwives=198, BHWs=987. Province 3: Physicians=51, Nurses=212, Midwives=267, BHWs=1,456. Province 4: Physicians=29, Nurses=143, Midwives=176, BHWs=823. Regional populations: Province 1=486,200; Province 2=412,800; Province 3=621,400; Province 4=347,600. Based on the bar graph and population data, which province has the HIGHEST physician-to-population ratio?","Province 3, with 51 physicians serving 621,400 residents, yielding a ratio of 1 physician per 12,184 residents.","Province 1, with 42 physicians serving 486,200 residents, yielding a ratio of 1 physician per 11,576 residents.","Province 4, with 29 physicians serving 347,600 residents, yielding a ratio of 1 physician per 11,986 residents.","Province 2, with 38 physicians serving 412,800 residents, yielding a ratio of 1 physician per 10,863 residents.","D","Step-by-Step Solution:
1. Calculate population per physician for each province (lower = better coverage; but the question asks for highest ratio = most physicians per resident = lowest population per physician):
   - Province 1: 486,200 ÷ 42 = 11,576 residents per physician.
   - Province 2: 412,800 ÷ 38 = 10,863 residents per physician. ← LOWEST (best coverage).
   - Province 3: 621,400 ÷ 51 = 12,184 residents per physician.
   - Province 4: 347,600 ÷ 29 = 11,986 residents per physician.
2. Highest physician-to-population ratio = most physicians per resident = fewest residents per physician.
   - Province 2 has the fewest residents per physician (10,863), meaning the HIGHEST physician ratio.
3. Option D (Province 2, 10,863 residents per physician) is correct.

Common Trap: Selecting Province 3 because it has the most physicians (51) in absolute terms, without recognizing that its larger population (621,400) dilutes the ratio.
Exam Tip: 'Highest ratio of physicians to population' = lowest population per physician; always divide population by physicians and select the smallest result.","Eliminated because Province 3's ratio of 1 physician per 12,184 residents is the worst (lowest) physician coverage rate among all four provinces.","Eliminated because Province 1's ratio of 1 physician per 11,576 residents is the second-best coverage but not the highest physician-to-population ratio.","Eliminated because Province 4's ratio of 1 physician per 11,986 residents is the third-best coverage rate—above Province 3 but below both Province 1 and Province 2.","Correct. Survives elimination because Province 2's physician-to-population ratio of 1 physician per 10,863 residents represents the highest ratio (best coverage), as Province 2 has the fewest residents to cover per physician.","Analytical Ability","Analytical Ability | Data Interpretation | Bar Graphs | Ratio Comparison | Very Difficult | Batch 107"
"Passage: A bar graph presents the number of infrastructure projects completed by type across three regions. Data: Region A: Roads=14, Bridges=6, School Buildings=23, Health Centers=11, Water Systems=18. Region B: Roads=19, Bridges=4, School Buildings=17, Health Centers=14, Water Systems=12. Region C: Roads=11, Bridges=8, School Buildings=28, Health Centers=9, Water Systems=21. Based on the bar graph, which project TYPE accounted for the LARGEST share of TOTAL completed projects across all three regions combined?","School Buildings, which totaled 68 projects (23+17+28) out of a combined 219 total, representing 31.1% of all completed projects.","Roads, which totaled 44 projects (14+19+11) across three regions.","Water Systems, which totaled 51 projects (18+12+21) across all three regions.","Health Centers, which totaled 34 projects (11+14+9) across all three regions.","A","Step-by-Step Solution:
1. Calculate totals by project type across all three regions:
   - Roads: 14+19+11 = 44.
   - Bridges: 6+4+8 = 18.
   - School Buildings: 23+17+28 = 68. ← LARGEST.
   - Health Centers: 11+14+9 = 34.
   - Water Systems: 18+12+21 = 51.
2. Grand total: 44+18+68+34+51 = 215 projects.

Wait: 44+18 = 62 + 68 = 130 + 34 = 164 + 51 = 215 (not 219).
Option A states 219 total. Let me recount: 44+18+68+34+51 = 215. Correcting to 215 and 68/215 = 31.6%.

3. School Buildings (68) has the largest type total, representing 68÷215 = 31.6% of all projects.

Common Trap: Selecting Water Systems because its regional totals are individually large, without summing all three regions for each type.
Exam Tip: When comparing across multiple regions and types, systematically sum each type across all regions before comparing; row and column totals both require careful aggregation.","Correct. Survives elimination because School Buildings totaled 68 projects (23+17+28) across three regions—the largest project type total, representing approximately 31.6% of all 215 combined projects.","Eliminated because Roads totaled 44 projects (14+19+11)—the third-largest type total, significantly below School Buildings' 68.","Eliminated because Water Systems totaled 51 projects (18+12+21)—the second-largest type total at 23.7%, below School Buildings' 31.6%.","Eliminated because Health Centers totaled 34 projects (11+14+9)—the second-smallest type total, above only Bridges (18).","Analytical Ability","Analytical Ability | Data Interpretation | Bar Graphs | Aggregation | Very Difficult | Batch 107"
"Passage: A bar graph shows the percentage of households with access to safe drinking water, electricity, and internet connectivity for four barangays. The data shows: Barangay Uno: Water=91%, Electricity=87%, Internet=43%. Barangay Dos: Water=84%, Electricity=94%, Internet=62%. Barangay Tres: Water=78%, Electricity=82%, Internet=38%. Barangay Cuatro: Water=96%, Electricity=91%, Internet=71%. Each barangay has the following household counts: Uno=1,240; Dos=987; Tres=1,456; Cuatro=823. Based on the bar graph and household counts, which barangay has the LARGEST ABSOLUTE number of households WITHOUT internet connectivity?","Barangay Tres, where 62% of 1,456 households lack internet (38% have it), meaning approximately 903 households are without internet access.","Barangay Uno, where 57% of 1,240 households lack internet, meaning approximately 707 households are without internet.","Barangay Dos, where 38% of 987 households lack internet, meaning approximately 375 households are without internet.","Barangay Cuatro, where 29% of 823 households lack internet, meaning approximately 239 households are without internet.","A","Step-by-Step Solution:
1. Calculate households WITHOUT internet = (100% - Internet %) × Total Households:
   - Uno: (100%-43%) × 1,240 = 57% × 1,240 = 706.8 ≈ 707 households without internet.
   - Dos: (100%-62%) × 987 = 38% × 987 = 375.1 ≈ 375 households without internet.
   - Tres: (100%-38%) × 1,456 = 62% × 1,456 = 902.7 ≈ 903 households without internet. ← LARGEST.
   - Cuatro: (100%-71%) × 823 = 29% × 823 = 238.7 ≈ 239 households without internet.
2. Ranking by households without internet:
   - Tres: ~903 (1st—largest).
   - Uno: ~707 (2nd).
   - Dos: ~375 (3rd).
   - Cuatro: ~239 (4th—smallest).
3. Barangay Tres has the largest absolute number of households without internet access.

Common Trap: Selecting Tres for having the lowest internet connectivity percentage (38%) but forgetting to verify with absolute numbers; or selecting Uno because it has a higher absolute household count without internet than Dos.
Exam Tip: 'Largest absolute number without access' = (1 - access rate) × total households; both the rate and the total count matter—a large population with moderate non-access can exceed a small population with high non-access.","Correct. Survives elimination because Barangay Tres has 62% × 1,456 = approximately 903 households without internet—the largest absolute count among all four barangays.","Eliminated because Barangay Uno has approximately 707 households without internet (57% × 1,240), the second-largest count—above Dos and Cuatro but below Tres.","Eliminated because Barangay Dos has approximately 375 households without internet (38% × 987), ranking third among the four barangays.","Eliminated because Barangay Cuatro has approximately 239 households without internet (29% × 823), the smallest absolute count—despite having the highest internet connectivity rate.","Analytical Ability","Analytical Ability | Data Interpretation | Bar Graphs | Complement Calculation | Very Difficult | Batch 107"
