"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article XVII, Section 1 of the 1987 Constitution, what are the TWO MODES by which Congress or a constituent body may propose ANY AMENDMENT TO, OR REVISION OF, the Constitution?","(1) By Congress, upon a vote of three-fourths (3/4) of all its Members, or (2) By a Constitutional Convention.","(1) By the President through an executive decree, or (2) By the Judicial and Bar Council.","(1) By a simple majority of the Senate, or (2) By the Commission on Elections.","(1) By the League of Provincial Governors, or (2) By the Integrated Bar of the Philippines.","A","Step-by-Step Solution:
1. Constitutional Text: Article XVII, Section 1 states:
 'Any amendment to, or revision of, this Constitution may be proposed by:
 (1) The Congress, upon a vote of three-fourths of all its Members; or
 (2) A constitutional convention.'
2. Meaning of the Modes:
 - 1. Constituent Assembly (Con-Ass): Congress itself directly convenes as a constituent body and proposes changes by a vote of THREE-FOURTHS (3/4) of all its Members. (Debate on voting jointly vs separately in bicameral Congress).
 - 2. Constitutional Convention (Con-Con): Congress creates an independent body of elected delegates specifically tasked with drafting amendments or revisions (Article XVII, Section 3).
3. Both Con-Ass and Con-Con can propose BOTH AMENDMENTS (piecemeal changes) AND REVISIONS (structural/holistic overhauls).
4. Option A is the verbatim constitutional provision.

Common Trap: Confusing the 3/4 voting requirement for Constituent Assembly with the 2/3 requirement to call a Constitutional Convention (Art. XVII, Sec. 3).
Exam Tip: Proposing Amendments/Revisions under Section 1: (1) Congress by 3/4 vote of all members (Con-Ass), OR (2) Constitutional Convention (Con-Con).","Correct. Survives elimination because Article XVII, Section 1 explicitly specifies that amendments or revisions may be proposed either by Congress acting as a Constituent Assembly by a 3/4 vote or by a Constitutional Convention.","Eliminated because presidential decrees and JBC resolutions cannot propose constitutional amendments or revisions.","Eliminated because a simple majority of the Senate is insufficient; a 3/4 supermajority of all members of Congress is constitutionally required.","Eliminated because local government leagues and the IBP possess no constitutional power to propose formal charter changes.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Amendments/revisions | Very Difficult | Batch 141"
"In the landmark constitutional decision of Lambino v. Commission on Elections (G.R. No. 174153, October 25, 2006), how did the Supreme Court distinguish an 'AMENDMENT' from a 'REVISION' of the Constitution?","An amendment envisions simple, isolated, or piecemeal changes that do not alter the basic constitutional structure, whereas a revision implies a change that alters the basic principles of the Constitution or overhauls the system of government (evaluated via the Quantitative Test and Qualitative Test).","An amendment applies exclusively to economic provisions, while a revision applies exclusively to the Bill of Rights.","An amendment requires approval by the Supreme Court, while a revision requires approval by the United Nations.","There is no legal or constitutional distinction between an amendment and a revision in Philippine law.","A","Step-by-Step Solution:
1. Landmark Case: Lambino v. COMELEC (505 SCRA 160, 2006), penned by Justice Antonio Carpio:
 - Facts: The Lambino Group gathered signatures for a 'People's Initiative' to shift the Philippine government from a Presidential-Bicameral system to a Parliamentary-Unicameral system.
 - Core Constitutional Issue: Can a shift from presidential-bicameral to parliamentary-unicameral be accomplished through a People's Initiative under Article XVII, Section 2?
 - Supreme Court Ruling (En Banc):
 - 1. Scope of People's Initiative: Article XVII, Section 2 authorizes the people to propose AMENDMENTS ONLY, NEVER A REVISION.
 - 2. TWO-PART TEST TO DISTINGUISH AMENDMENT FROM REVISION:
 (a) QUANTITATIVE TEST: Examines the number of provisions affected. Does the change alter many articles and sections across the entire charter?
 (b) QUALITATIVE TEST: Examines the nature, scope, and structural impact. Does the change alter the fundamental principles of government, the separation of powers, or the system of checks and balances?
 - 3. A shift from Presidential-Bicameral to Parliamentary-Unicameral alters the very structure of government, affecting separation of powers and checks and balances across the entire charter. It is a REVISION, and is therefore UNCONSTITUTIONAL via People's Initiative.
2. Option A is the precise jurisprudential distinction formulated in Lambino v. COMELEC.

Common Trap: Believing a People's Initiative can change the form of government to parliamentary; Lambino strictly held that a shift in government is a REVISION that CANNOT be done via People's Initiative.
Exam Tip: Lambino v. COMELEC = People's Initiative is for AMENDMENTS ONLY (not Revision); Distinction verified by Quantitative and Qualitative Tests.","Correct. Survives elimination because Lambino v. COMELEC established the Quantitative and Qualitative tests, holding that an amendment involves piecemeal changes while a revision alters fundamental constitutional structures and systems of governance.","Eliminated because the amendment vs. revision distinction is based on structural impact and scope across all articles, not an artificial economic vs. bill of rights divide.","Eliminated because constitutional changes are approved by sovereign plebiscite, not international bodies or judicial pre-approval.","Eliminated because the distinction between amendment and revision is a crucial, substantive constitutional distinction in Article XVII.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Amendments/revisions | Very Difficult | Batch 141"
"Under Article XVII, Section 2 of the 1987 Constitution, what are the mandatory SIGNATURE AND GEOGRAPHIC THRESHOLDS required for a valid PEOPLE'S INITIATIVE to amend the Constitution?","A petition of at least twelve per centum (12%) of the total number of registered voters, of which every legislative district must be represented by at least three per centum (3%) of the registered voters therein.","A petition of at least twenty per centum (20%) of registered voters, with five per centum (5%) in every province.","A petition of at least ten per centum (10%) of registered voters, with a simple majority in the National Capital Region.","A petition signed by at least one million registered voters regardless of district distribution.","A","Step-by-Step Solution:
1. Constitutional Text: Article XVII, Section 2 states:
 'Amendments to this Constitution may likewise be directly proposed by the people through initiative upon a petition of AT LEAST TWELVE PER CENTUM OF THE TOTAL NUMBER OF REGISTERED VOTERS, of which EVERY LEGISLATIVE DISTRICT MUST BE REPRESENTED BY AT LEAST THREE PER CENTUM OF THE REGISTERED VOTERS THEREIN. No amendment under this section shall be authorized within five years following the ratification of this Constitution nor oftener than once every five years thereafter. The Congress shall provide for the implementation of the exercise of this '
2. Two Mandatory Numerical Thresholds for People's Initiative:
 - 1. National Threshold: At least 12% of the TOTAL registered voters of the Philippines.
 - 2. Local District Threshold: At least 3% of registered voters in EVERY SINGLE LEGISLATIVE DISTRICT nationwide. (If even ONE congressional district fails to achieve 3%, the entire national petition fails).
3. Additional Limits on People's Initiative:
 - Amendments ONLY (No revisions; Lambino v. COMELEC).
 - Frequency: Cannot be exercised more than ONCE EVERY FIVE (5) YEARS.
4. Option A is the verbatim constitutional threshold.

Common Trap: Mixing up the 12% national and 3% district requirements (e.g., confusing it with statutory local initiatives under RA 6735).
Exam Tip: People's Initiative for Constitutional Amendments = 12% Total Registered Voters NATIONWIDE + 3% Registered Voters in EVERY Legislative District.","Correct. Survives elimination because Article XVII, Section 2 explicitly commands that a People's Initiative requires signatures from at least 12% of all registered voters nationally, with at least 3% representation in every legislative district.","Eliminated because 20% national and 5% provincial are incorrect thresholds not found in the Constitution.","Eliminated because the requirement is 12% national and 3% in every district, not 10% or NCR majority.","Eliminated because a raw headcount of one million without meeting the 12% national and 3% per-district geographic spread is legally deficient.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Amendments/revisions | Very Difficult | Batch 141"
"In the landmark ruling of Santiago v. Commission on Elections (G.R. No. 127325, March 19, 1997), what was the Supreme Court's ruling regarding Republic Act No. 6735 (The Initiative and Referendum Act) in relation to CONSTITUTIONAL AMENDMENTS?","Republic Act No. 6735 was INCOMPLETE, INADEQUATE, AND INSUFFICIENT to govern People's Initiative on amendments to the Constitution, because it failed to provide a full and proper statutory mechanism for constitutional initiatives as distinguished from statutory laws and local ordinances.","Republic Act No. 6735 was declared a perfect and complete statute authorizing immediate constitutional revisions by popular petition.","The Supreme Court ruled that Congress has no constitutional authority to pass an enabling law on initiative and referendum.","The Supreme Court held that People's Initiative is self-executing and needs no enabling legislation from Congress.","A","Step-by-Step Solution:
1. Landmark Case: Santiago v. COMELEC (270 SCRA 106, 1997), penned by Justice Hilario G. Davide, Jr.:
 - Facts: The People's Initiative for Reforms, Modernization and Action (PIRMA) sought to amend the 1987 Constitution to lift the term limits of President Fidel V. Ramos via People's Initiative under RA 6735. Senator Miriam Defensor Santiago petitioned the Supreme Court to prohibit COMELEC from entertaining the petition.
 - Supreme Court Ruling (En Banc):
 - 1. Article XVII, Section 2 is NOT self-executing ('The Congress shall provide for the implementation of the exercise of this right').
 - 2. RA 6735 is INADEQUATE, INCOMPLETE, AND INSUFFICIENT to cover initiatives on the Constitution. While the title mentions the Constitution, the body of the Act focuses almost entirely on statutory laws, local ordinances, and resolutions, omitting vital subtitles, guidelines, and rules for constitutional amendments.
 - 3. COMELEC was permanently enjoined from entertaining or implementing any petition for initiative on the Constitution until Congress enacts a proper and sufficient enabling law.
2. Option A is the precise legal holding of Santiago v. COMELEC.

Common Trap: Assuming RA 6735 was fully adequate for charter change; Santiago v. COMELEC explicitly ruled RA 6735 is INADEQUATE for constitutional amendments.
Exam Tip: Santiago v. COMELEC = RA 6735 is INCOMPLETE and INSUFFICIENT to govern People's Initiative on CONSTITUTIONAL amendments.","Correct. Survives elimination because Santiago v. COMELEC ruled that RA 6735 lacked sufficient statutory standards and provisions to operationalize People's Initiatives on constitutional amendments, rendering such petitions unenforceable until Congress passes adequate legislation.","Eliminated because the Supreme Court explicitly held that RA 6735 was incomplete and inadequate regarding the Constitution.","Eliminated because Article XVII, Section 2 expressly commands Congress to provide for the implementation of People's Initiatives.","Eliminated because the constitutional right of initiative is explicitly non-self-executing, requiring an enabling statutory framework.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Amendments/revisions | Very Difficult | Batch 141"
"Under Article XVII, Section 3 of the 1987 Constitution, what are the TWO WAYS by which Congress may call or convene a CONSTITUTIONAL CONVENTION (Con-Con)?","(1) By a vote of two-thirds (2/3) of all its Members calling a convention directly, OR (2) By a majority vote of all its Members submitting to the electorate in a plebiscite the question of calling such a convention.","(1) By an executive proclamation of the President, or (2) By an administrative resolution of the Judicial and Bar Council.","(1) By a unanimous vote of the Senate, or (2) By a petition of forty per cent of all registered voters.","(1) By a simple majority of the House of Representatives alone, or (2) By order of the Commission on Audit.","A","Step-by-Step Solution:
1. Constitutional Text: Article XVII, Section 3 states:
 'The Congress may, by a vote of TWO-THIRDS OF ALL ITS MEMBERS, call a constitutional convention, or by a MAJORITY VOTE OF ALL ITS MEMBERS, submit to the electorate the question of calling such a convention.'
2. Two Constitutional Mechanisms for Calling a Con-Con:
 - A. Direct Call: Congress itself decides to call a convention directly -> Requires a supermajority vote of AT LEAST TWO-THIRDS (2/3) OF ALL ITS MEMBERS.
 - B. Plebiscite Referral: If Congress cannot reach a 2/3 vote, but reaches a simple MAJORITY VOTE OF ALL ITS MEMBERS, it can submit a referendum question to the people: 'Do you favor calling a Constitutional Convention to amend/revise the Constitution?'
3. Option A matches the constitutional text and voting thresholds verbatim.

Common Trap: Confusing the 2/3 vote to call a Con-Con directly with the majority vote to submit the question of a Con-Con to the electorate in a plebiscite.
Exam Tip: Calling a Con-Con: 2/3 vote of all Members of Congress directly, OR Majority vote of Congress submitting the question to a plebiscite.","Correct. Survives elimination because Article XVII, Section 3 explicitly provides that Congress may call a Constitutional Convention directly by a 2/3 vote of all its members, or submit the question of calling a convention to the electorate by a majority vote.","Eliminated because the power to call a constitutional convention belongs exclusively to Congress and the electorate, not the President or JBC.","Eliminated because unanimous Senate votes and 40% voter petitions are not constitutional mechanisms for calling a convention.","Eliminated because calling a convention requires a vote of both Houses of Congress, not the House of Representatives alone or the COA.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Amendments/revisions | Very Difficult | Batch 141"
"In the seminal case of Tolentino v. Commission on Elections (G.R. No. L-34150, October 16, 1971), what fundamental rule known as the 'DOCTRINE OF PROPER SUBMISSION' was established regarding constitutional amendments?","All proposed amendments or revisions must be submitted to the people for ratification in a SINGLE, COMPLETE, AND SIMULTANEOUS PLEBISCITE; piecemeal or fragmented submission of isolated amendments at different × is unconstitutional.","Proposed amendments can be submitted to the people one sentence at a time over a ten-year staggered schedule.","Amendments can be ratified through an informal telephone survey conducted by the Department of the Interior.","A constitutional convention can ratify its own draft amendments without submitting them to the electorate.","A","Step-by-Step Solution:
1. Landmark Case: Tolentino v. COMELEC (41 SCRA 702, 1971), penned by Justice J.B.L. Reyes:
 - Facts: The 1971 Constitutional Convention passed Organic Resolution No. 1 proposing an amendment to lower the voting age from 21 to 18, and scheduled a special plebiscite for this single isolated amendment ahead of the completion of the rest of the new constitution. Arturo Tolentino challenged the plebiscite.
 - Supreme Court Ruling (En Banc):
 - 1. DOCTRINE OF PROPER SUBMISSION: The Constitution requires that all proposed amendments must be submitted to the people in ONE SINGLE, SIMULTANEOUS, AND COMPLETE PLEBISCITE.
 - 2. The people must be given the full, complete picture of all proposed constitutional changes at one time, so they can weigh how each change interacts with the rest of the fundamental law.
 - 3. Piecemeal, fragmented, or partial submission of isolated amendments by a constitutional convention before completing the rest of its work is UNCONSTITUTIONAL.
2. Option A is the precise jurisprudential formulation of the Doctrine of Proper Submission.

Common Trap: Assuming a Con-Con can submit urgent clauses early while continuing to draft the rest; Tolentino strictly requires full, unified submission of all changes in a single plebiscite.
Exam Tip: Tolentino v. COMELEC = DOCTRINE OF PROPER SUBMISSION (All amendments/revisions must be submitted in a SINGLE, COMPLETE PLEBISCITE).","Correct. Survives elimination because Tolentino v. COMELEC established the Doctrine of Proper Submission, holding that all constitutional amendments must be submitted simultaneously in a single plebiscite to give the electorate an integrated view of the proposed charter.","Eliminated because piecemeal, staggered submission of isolated constitutional amendments was specifically ruled unconstitutional in Tolentino.","Eliminated because ratification requires a formal, secret-ballot plebiscite administered by COMELEC, not informal surveys.","Eliminated because a constituent body or convention can only propose changes; final ratification belongs exclusively to the sovereign people in a plebiscite.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Amendments/revisions | Very Difficult | Batch 141"
"Under Article XVII, Section 4 of the 1987 Constitution, within what timeframe must a PLEBISCITE be held for the ratification of any proposed amendment or revision?","Not earlier than sixty (60) days nor later than ninety (90) days after the approval of such amendment or revision by Congress or the Constitutional Convention, or the certification of the sufficiency of the petition for initiative.","Within fifteen days from the completion of the draft by the constituent assembly.","Exactly on the second Monday of May of the next regular presidential election year.","Not earlier than six months nor later than one year following legislative enactment.","A","Step-by-Step Solution:
1. Constitutional Text: Article XVII, Section 4 states:
 'Any amendment to, or revision of, this Constitution under Section 1 hereof shall be valid when approved by a majority of the votes cast in a plebiscite which shall be held NOT EARLIER THAN SIXTY DAYS NOR LATER THAN NINETY DAYS after the approval of such amendment or revision.
 Any amendment under Section 2 hereof shall be valid when approved by a majority of the votes cast in a plebiscite which shall be held NOT EARLIER THAN SIXTY DAYS NOR LATER THAN NINETY DAYS after the certification by the Commission on Elections of the sufficiency of the petition.'
2. Meaning of the 60-to-90 Day Window:
 - Minimum 60 days: Ensures the public has sufficient time to read, debate, analyze, and deliberate upon the proposed changes.
 - Maximum 90 days: Prevents undue delay or political shelving of approved constituent proposals.
3. Option A is the exact constitutional timeframe.

Common Trap: Confusing the plebiscite timeline with the 30-day bill veto period or 120-day election periods; the constitutional window for charter plebiscites is strictly 60 to 90 days.
Exam Tip: Article XVII, Section 4 = Plebiscite held NOT EARLIER THAN 60 DAYS NOR LATER THAN 90 DAYS after approval or certification.","Correct. Survives elimination because Article XVII, Section 4 explicitly prescribes a mandatory window of not earlier than 60 days nor later than 90 days following approval or certification for holding a constitutional plebiscite.","Eliminated because a 15-day window is far too brief and violates the mandatory 60-day minimum deliberation period.","Eliminated because charter change plebiscites are not restricted to regular presidential election dates.","Eliminated because a 6-month to 1-year timeline violates the 90-day constitutional maximum ceiling.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Amendments/revisions | Very Difficult | Batch 141"
"In the landmark ruling of Lambino v. Commission on Elections (2006), what fundamental requirement regarding the PHYSICAL PETITION was established as indispensable for a valid People's Initiative under Article XVII, Section 2?","The full text of the proposed constitutional amendment must be physically attached to, or clearly contained in, the signature sheet signed by each registered voter, so that every signatory had seen and read the actual text before signing.","It is sufficient if the signers signed a blank paper provided the organizers orally explained their political intentions.","Signatures can be gathered electronically on social media platforms without showing the actual text of the amendment.","The petition need only list the names of the organizing lawyers without specifying the constitutional text.","A","Step-by-Step Solution:
1. Landmark Case: Lambino v. COMELEC (505 SCRA 160, 2006):
 - Facts: The signature sheets circulated by the Lambino Group asked citizens whether they approved shifting to a parliamentary government, but DID NOT CONTAIN THE FULL TEXT OF THE 100+ SECTIONS BEING AMENDED. The full draft text was only drafted and submitted to COMELEC later.
 - Supreme Court Ruling (En Banc):
 - 1. THE 'FULL-TEXT' REQUIREMENT: Article XVII, Section 2 explicitly states that amendments are proposed by the people 'UPON A PETITION.'
 - 2. A petition is a written document containing the proposed text. The people MUST AUTHOR THE PETITION.
 - 3. For a signature to be valid, the full text of the proposed amendment MUST BE SHOWN TO, ATTACHED TO, OR PRINTED ON THE SIGNATURE SHEET at the very time the voter signs.
 - 4. Gathering signatures on a generalized question or on a blank sheet where the text is attached later is FRAUDULENT, DECEPTIVE, and UNCONSTITUTIONAL.
2. Option A is the precise legal holding of Lambino v. COMELEC.

Common Trap: Thinking a summary question on a signature sheet is enough; the Supreme Court ruled that the FULL TEXT of the proposed amendment must be physically on the signature sheet when signed.
Exam Tip: Lambino v. COMELEC = FULL-TEXT REQUIREMENT (Voters must see and read the actual text of the proposed amendment on the signature sheet at the time of signing).","Correct. Survives elimination because Lambino v. COMELEC established the indispensable 'full-text' requirement, ruling that the complete draft text of the proposed amendment must be physically present on or attached to the signature sheet when signed by the voter.","Eliminated because signing blank sheets or generalized questions without the full text renders the initiative petition null and void.","Eliminated because electronic social media petitions without authenticated verification do not meet constitutional standards.","Eliminated because the voters—not just the organizing lawyers—must author and sign the specific textual petition.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Amendments/revisions | Very Difficult | Batch 141"
"Under Article XVII, Section 1(1) of the 1987 Constitution, what is the major unresolved constitutional debate regarding how Congress votes when convening as a CONSTITUENT ASSEMBLY (Con-Ass)?","Whether the Senate and the House of Representatives must vote JOINTLY (where the House dominates due to sheer numbers) or SEPARATELY (where the Senate retains an independent veto), because the text states 'vote of three-fourths of all its Members' without explicit mention of separate voting.","Whether the Supreme Court can vote as a third house in the Constituent Assembly.","Whether the Cabinet Secretaries must cast thirty per cent of the constituent votes.","Whether the military command can veto amendments passed by a Constituent Assembly.","A","Step-by-Step Solution:
1. Constitutional Text: Article XVII, Section 1(1):
 'Any amendment to, or revision of, this Constitution may be proposed by: (1) The Congress, upon a vote of three-fourths of all its Members...'
2. The Historic Bicameral Voting Debate:
 - Textual Silence: Unlike Article VII, Section 18 (Martial law revocation: explicitly states 'voting jointly') or Article VI, Section 23 (Declaration of state of war: 'voting separately'), Article XVII, Section 1(1) merely says 'a vote of three-fourths of all its Members.'
 - The Two Competing Arguments:
 1. JOINT VOTING ARGUMENT: 'All its Members' means the total mathematical Σ of 24 Senators + 316 Representatives = 340 members. 3/4 = 255 votes. The House alone can pass amendments because 316 > 255, completely rendering the 24 Senators irrelevant.
 2. SEPARATE VOTING ARGUMENT: The Philippines is a BICAMERAL Congress. In all regular legislation, both Houses vote separately. To allow the House to obliterate the Senate's voice destroys the bicameral principle and checks and balances; thus, the Senate and the House must vote SEPARATELY (3/4 of the Senate [18 votes] AND 3/4 of the House [237 votes]).
3. Option A accurately states the core constitutional debate and its structural implications.

Common Trap: Assuming the text explicitly says 'jointly'; the text does NOT say 'jointly' or 'separately' in Section 1, which is why it remains a central constitutional debate in Philippine politics.
Exam Tip: Article XVII, Section 1(1) says 'vote of 3/4 of all its Members'—creating the famous debate between Jo∫ Voting vs. Separate Voting in a Bicameral Congress.","Correct. Survives elimination because the absence of the words 'jointly' or 'separately' in Article XVII, Section 1(1) creates the central constitutional debate over whether the Senate and House must vote separately to preserve bicameral checks, or jointly by raw headcount.","Eliminated because the Supreme Court is an independent judicial body and does not sit or vote as a legislative house in a Constituent Assembly.","Eliminated because the Executive Cabinet has no voting membership in Congress acting as a Constituent Assembly.","Eliminated because military entities have zero constitutional authority over legislative or constituent processes.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Amendments/revisions | Very Difficult | Batch 141"
"What is the legal effect of a proposed constitutional amendment that is approved by a Constituent Assembly or Constitutional Convention, but is subsequently REJECTED by the majority of the votes cast in the nationwide plebiscite?","The proposed amendment is completely NULL, VOID, AND OF NO LEGAL EFFECT, and the existing constitutional text remains in full, unmodified force.","The proposed amendment automatically takes effect as an ordinary statutory law.","The President can issue an executive order enacting the rejected amendment into law.","The Supreme Court can overrule the plebiscite results and declare the amendment adopted.","A","Step-by-Step Solution:
1. Constitutional Text: Article XVII, Section 4:
 'Any amendment to, or revision of, this Constitution... shall be valid WHEN APPROVED BY A MAJORITY OF THE VOTES CAST IN A PLEBISCITE...'
2. Fundamental Principle of Popular Sovereignty:
 - A constituent assembly or constitutional convention is merely a PROPOSING BODY.
 - The proposal has ZERO legal force or validity on its own.
 - The SOVEREIGN PEOPLE in a plebiscite are the sole ratifying and enacting authority.
 - If the majority in the plebiscite votes 'NO' (rejects the proposal), the proposed amendment dies immediately.
 - The existing 1987 Constitution remains completely unmodified and in full legal effect.
3. Option A is the foundational rule of constitutional law.

Common Trap: Believing constituent proposals carry weight after being rejected by voters; without popular plebiscite approval, a proposed amendment is a complete legal nullity.
Exam Tip: Popular Ratification in a Plebiscite is the INDISPENSABLE FINAL ACT that breathes life into any constitutional amendment or revision.","Correct. Survives elimination because under Article XVII, Section 4, a proposed constitutional amendment derives its legal validity solely from popular ratification in a plebiscite; if rejected by the electorate, it is completely void and the existing charter remains unaltered.","Eliminated because a rejected constitutional amendment cannot be converted into an ordinary statutory law without passing the regular legislative process.","Eliminated because the President cannot override the sovereign will of the people expressed in a constitutional plebiscite.","Eliminated because the Supreme Court has no jurisdiction to overturn the sovereign electoral verdict of a valid plebiscite.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Amendments/revisions | Very Difficult | Batch 141"
