"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 4(A)(c) of Republic Act No. 6713, what are the mandatory standards embodied in the norm of 'JUSTNESS AND SINCERITY'?","Public officials and employees shall remain true to the people at all times; act with justness and sincerity; NOT DISCRIMINATE against anyone, especially the POOR AND UNDERPRIVILEGED; respect the rights of others; refrain from acts contrary to law, morals, and public policy; and NOT EXTEND UNDUE FAVORS OR NEPOTISM to their relatives on account of their office.","Public servants must always ensure that their close relatives receive first priority in all government housing and cash distributions.","Public officials may charge double fees to poor citizens to encourage them to find private employment.","Public employees are permitted to falsify receipts if the proceeds are shared with charitable foundations.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 4(A)(c):
   'Justness and sincerity. — Public officials and employees shall remain true to the people at all times. They must act with justness and sincerity and shall not discriminate against anyone, especially the poor and the underprivileged. They shall at all times respect the rights of others, and shall refrain from doing acts contrary to law, good morals, good customs, public policy, public order, public safety and public interest. They shall not dispense or extend undue favors on account of their office to their relatives whether by consanguinity or affinity except with respect to appointments of such relatives to positions considered strictly confidential or as personal staff within the limits of the law.'
2. The Core Pillars of Justness & Sincerity:
   - 1. Absolute Truthfulness & Honesty ('remain true to the people at all times').
   - 2. Non-Discrimination: Special solicitude for the poor, indigent, illiterate, and marginalized.
   - 3. Moral Rectitude: Adherence to law, good morals, and public policy.
   - 4. Prohibition on Undue Favors and NEPOTISM towards relatives.
3. Option A matches the statutory text verbatim.

Common Trap: Viewing justness as merely obeying strict orders; Justness and Sincerity explicitly demands MORAL RECTITUDE, NON-DISCRIMINATION AGAINST THE POOR, and TOTAL BAN ON EXTENDING UNDUE FAVORS TO RELATIVES.
Exam Tip: RA 6713, Sec. 4(A)(c) = JUSTNESS AND SINCERITY (Remain true to people + No discrimination against poor + NO undue favors/nepotism to relatives).","Correct. Survives elimination because Section 4(A)(c) of RA 6713 explicitly defines Justness and Sincerity as the duty to be honest, non-discriminatory towards the poor, obedient to moral/legal standards, and strictly free from dispensing nepotistic favors to relatives.","Eliminated because extending preferential treatment or priority to relatives is an unlawful act of nepotism and favoritism under Section 4(A)(c).","Eliminated because charging unauthorized discriminatory fees to indigent citizens violates due process, equal protection, and RA 6713.","Eliminated because falsifying receipts is criminal falsification of public documents (Article 171, RPC) regardless of charitable intent.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Justness and sincerity | Very Difficult | Batch 156"
"In the landmark civil service case of Civil Service Commission v. Dacoycoy (G.R. No. 135805, April 29, 1999), what did the Supreme Court establish regarding the prohibition against NEPOTISM under the Administrative Code of 1987 (EO 292) and RA 6713?","NEPOTISM is an absolute statutory and ethical prohibition covering all appointments made in favor of a relative of the appointing or recommending authority within the THIRD DEGREE of consanguinity or affinity in national agencies (or FOURTH DEGREE in local government units), and the appointing authority cannot evade this ban even if the relative was originally appointed under an earlier administration.","Nepotism applies only if the relative has a criminal record, while law-abiding relatives can be appointed without limit.","Nepotism is completely legal in all government departments provided the appointment is endorsed by a religious bishop.","The prohibition against nepotism applies exclusively to the military and exempts all civilian government departments.","A","Step-by-Step Solution:
1. Statutory Basis on Nepotism:
   - Book V, Title I, Subtitle A, Chapter 8, Section 59, Executive Order No. 292 (Administrative Code of 1987).
   - Section 79, Republic Act No. 7160 (Local Government Code of 1991).
   - Section 4(A)(c), Republic Act No. 6713.
2. Landmark Case: Civil Service Commission v. Pedro O. Dacoycoy (306 SCRA 425, 1999), penned by Justice Bernardo Pardo:
   - Facts: Pedro Dacoycoy, Vocational School Administrator of Balicuatro National Vocational School, appointed his two sons as driver and utility worker in his school. Dacoycoy argued that since his sons were qualified and the CSC regional office initially attested the appointments, he was innocent.
   - Supreme Court Ruling (En Banc):
     - 1. ABSOLUTE PROHIBITION: The law prohibits ALL APPOINTMENTS made in favor of a relative of the appointing or recommending authority within the THIRD DEGREE of consanguinity or affinity (National Government) or FOURTH DEGREE (Local Government Units).
     - 2. DEGREES OF RELATIONSHIP:
        - 1st Degree: Parents, Children.
        - 2nd Degree: Grandparents, Grandchildren, Siblings (Brothers/Sisters).
        - 3rd Degree: Uncles/Aunts, Nephews/Nieces.
        - 4th Degree (for LGUs): First Cousins.
     - 3. The prohibition is designed to prevent favoritism, preserve the Merit and Fitness principle, and uphold Justness and Sincerity in public service.
     - 4. Dacoycoy was found GUILTY of Nepotism and dismissed from service.
3. Option A is the precise legal holding and statutory framework.

Common Trap: Thinking nepotism only applies to blood relatives; it applies equally to affinity (RELATIVES BY MARRIAGE: in-laws, spouse's parents/siblings).
Exam Tip: Nepotism Ban = Within 3RD DEGREE of consanguinity/affinity in National Government; Within 4TH DEGREE in Local Government Units (RA 7160).","Correct. Survives elimination because CSC v. Dacoycoy and Section 59 of EO 292 strictly outlaw nepotistic appointments within the 3rd degree of consanguinity/affinity in national agencies (and 4th degree in LGUs) to preserve meritocracy and justness.","Eliminated because nepotism is an absolute structural prohibition based on family relationship, regardless of criminal background.","Eliminated because religious endorsements have no legal authority to bypass statutory civil service prohibitions on nepotism.","Eliminated because the ban on nepotism is a core civilian civil service regulation codified in EO 292, the Local Government Code, and RA 6713.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Justness and sincerity | Very Difficult | Batch 156"
"Under Section 59 of Executive Order No. 292 (Administrative Code of 1987) and Section 4(A)(c) of RA 6713, which of the following positions are EXEMPT from the statutory prohibition against NEPOTISM?","(1) Persons employed in a CONFIDENTIAL CAPACITY, (2) Teachers, (3) Physicians, and (4) Members of the Armed Forces of the Philippines.","(1) Budget officers, (2) Cashiers, (3) Internal auditors, and (4) Procurement BAC chairmen.","(1) Regional directors, (2) Customs collectors, (3) Revenue examiners, and (4) Trial court sheriffs.","(1) City engineers, (2) Provincial treasurers, (3) Municipal accountants, and (4) Barangay captains.","A","Step-by-Step Solution:
1. Statutory Text: Section 59(b), Chapter 8, Subtitle A, Title I, Book V of EO 292 (Administrative Code of 1987):
   'The following are exempted from the operation of the rules on nepotism:
   (1) Persons employed in a CONFIDENTIAL CAPACITY;
   (2) TEACHERS;
   (3) PHYSICIANS; and
   (4) Members of the ARMED FORCES OF THE PHILIPPINES:
   Provided, however, That in each particular instance full report of such appointment shall be made to the Commission.'
2. Companion Clause in RA 6713, Section 4(A)(c):
   '...except with respect to appointments of such relatives to positions considered strictly confidential or as personal staff within the limits of the law.'
3. Rationale for the Exceptions:
   - Confidential Staff: Trust and confidence are the primary qualifications (e.g., Executive Assistant, Private Secretary).
   - Teachers & Physicians: The profound societal shortage of licensed educators and medical doctors in public schools and public hospitals warrants exemption so long as they meet PRC qualifications.
   - AFP: Military command structure and service requirements.
4. Option A is the verbatim statutory list of the 4 exemptions from nepotism.

Common Trap: Believing financial officers or engineers are exempt; only CONFIDENTIAL STAFF, TEACHERS, PHYSICIANS, and AFP PERSONNEL are statutorily exempt from nepotism rules.
Exam Tip: The 4 Nepotism Exemptions (EO 292, Sec. 59): (1) Confidential Staff, (2) Teachers, (3) Physicians, (4) Armed Forces members.","Correct. Survives elimination because Section 59 of EO 292 explicitly enumerates persons employed in a confidential capacity, teachers, physicians, and members of the Armed Forces of the Philippines as the four statutory exceptions to the nepotism rule.","Eliminated because financial officers (budget officers, cashiers, auditors) are strictly subject to the prohibition against nepotism.","Eliminated because regulatory and revenue positions are covered by the strict ban on nepotism.","Eliminated because local government department heads (engineers, treasurers, accountants) are governed by the nepotism prohibition under Section 79 of RA 7160.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Justness and sincerity | Very Difficult | Batch 156"
"An indigent farmer from a remote rural barangay visits a government land registry office wearing worn-out slippers and carrying a crumpled title document. The frontline clerk ignores the farmer for four hours while immediately accommodating wealthy, well-dressed corporate real estate agents who arrived later. How does the clerk's action violate 'JUSTNESS AND SINCERITY' under Section 4(A)(c) of RA 6713?","The clerk committed direct discrimination against the poor and underprivileged, violating the mandatory duty to act with justness and sincerity, respect the rights of all citizens equally, and provide unbiased public service without favor or social prejudice.","The clerk acted properly because government offices are encouraged to prioritize wealthy corporate clients who pay higher transaction fees.","The clerk's action is valid because indigent citizens are required to wait for at least twenty-four hours before receiving government service.","The clerk is exempt from ethical liability because the farmer was not wearing formal leather shoes.","A","Step-by-Step Solution:
1. Statutory Mandate: RA 6713, Section 4(A)(c):
   - 'Public officials and employees shall remain true to the people at all times. They must act with justness and sincerity and SHALL NOT DISCRIMINATE AGAINST ANYONE, ESPECIALLY THE POOR AND THE UNDERPRIVILEGED.'
2. Ethical Analysis:
   - Public service is a democratic trust open to ALL citizens on an equal footing.
   - Socio-Economic Discrimination: Prioritizing wealthy, well-dressed corporate agents while pushing aside or ignoring indigent, simply-dressed citizens is an egregious, discriminatory betrayal of Justness and Sincerity.
   - The law explicitly commands special solicitude, patience, and assistance towards the poor and underprivileged who may be unfamiliar with complex bureaucratic processes.
   - The clerk's conduct constitutes DISCRIMINATION, Discourtesy, and Conduct Prejudicial to the Best Interest of the Service.
3. Option A is the correct, definitive legal and ethical conclusion.

Common Trap: Believing VIP treatment for wealthy clients is acceptable in public offices; RA 6713 explicitly outlaws social discrimination and mandates equal, sincere service especially for the poor.
Exam Tip: Prioritizing wealthy clients while neglecting poor/indigent citizens is a direct violation of JUSTNESS AND SINCERITY (Sec. 4[A][c]).","Correct. Survives elimination because Section 4(A)(c) of RA 6713 explicitly commands civil servants not to discriminate against anyone, especially the poor and underprivileged, making preferential treatment based on wealth an ethical violation.","Eliminated because public service must be delivered equally without wealth-based discrimination under the Constitution and RA 6713.","Eliminated because the Citizen's Charter mandates equal, timely processing times for all citizens regardless of socio-economic status.","Eliminated because transacting citizens are not required to wear expensive attire to access fundamental public services.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Justness and sincerity | Very Difficult | Batch 156"
"Under civil service rules on degrees of relationship, a Municipal Mayor appoints his FIRST COUSIN (the child of his mother's sister) as the Municipal Budget Officer. Is this appointment valid under Section 79 of Republic Act No. 7160 (Local Government Code) and RA 6713?","NO, because in Local Government Units, the prohibition against nepotism extends up to the FOURTH DEGREE of consanguinity or affinity, and a first cousin is a relative within the fourth degree of consanguinity of the appointing Mayor.","YES, because the prohibition against nepotism in local governments is limited strictly to direct children and excludes all cousins.","YES, provided the first cousin passed the Civil Service Professional Examination with a rating above 90%.","YES, because a municipal mayor has absolute unbridled discretion to appoint any family member to any local office.","A","Step-by-Step Solution:
1. Statutory Rule for Local Government Units:
   - Section 79, Republic Act No. 7160 (Local Government Code of 1991):
     'Limitation on Appointments. — No person shall be appointed in the career service of the local government if he is related within the FOURTH CIVIL DEGREE OF CONSANGUINITY OR AFFINITY to the appointing or recommending authority.'
2. Calculation of Civil Degrees of Consanguinity:
   - Common Ancestor: Grandparents.
   - Mayor -> Parent (1 degree) -> Grandparents (2 degrees) -> Aunt/Uncle (3 degrees) -> First Cousin (4 degrees).
   - A FIRST COUSIN is a collateral relative in the FOURTH (4TH) DEGREE of consanguinity.
3. Legal Conclusion:
   - Because the Local Government Code explicitly covers up to the 4TH CIVIL DEGREE, appointing a first cousin as Municipal Budget Officer is a DIRECT VIOLATION OF THE PROHIBITION ON NEPOTISM.
   - The appointment is NULL AND VOID ab initio, and the Mayor is administratively liable for Nepotism and Grave Misconduct.
4. Option A is the precise legal calculation and holding.

Common Trap: Confusing the 3rd degree rule in National Government (EO 292) with the 4TH DEGREE RULE in Local Government Units (RA 7160).
Exam Tip: Nepotism in LGUs (RA 7160, Sec. 79) = Extends to the 4TH DEGREE of consanguinity/affinity (covers FIRST COUSINS).","Correct. Survives elimination because Section 79 of the Local Government Code (RA 7160) expands the nepotism ban in local governments to the fourth civil degree of consanguinity or affinity, rendering the appointment of a first cousin (4th degree) null and void.","Eliminated because the statutory ban in LGUs specifically extends to the fourth degree, which includes first cousins.","Eliminated because civil service eligibility does not cure or override the absolute statutory disqualification of nepotism.","Eliminated because a local chief executive's appointing authority is strictly bounded by civil service laws and the Local Government Code.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Justness and sincerity | Very Difficult | Batch 156"
"A Director of a regional environmental bureau discovers that a chemical factory owned by her BROTHER-IN-LAW (husband's brother) is secretly dumping untreated toxic waste into a public river. Instead of issuing a Cease and Desist Order, she privately tips off her brother-in-law to hide the pipes before an inspection. How does her act violate 'Justness and Sincerity' under RA 6713?","She extended unlawful undue favors to a relative by affinity, actively shielded illegal environmental destruction, and betrayed the public trust in direct violation of Section 4(A)(c), constituting Grave Misconduct and criminal graft.","She acted appropriately because familial solidarity requires protecting family businesses from government regulatory penalties.","Her action is valid because brothers-in-law are not legally recognized as relatives in Philippine law.","She is exempt from liability if her brother-in-law promised to clean the river after ten years.","A","Step-by-Step Solution:
1. Statutory Analysis under RA 6713, Section 4(A)(c):
   - 'They shall not dispense or extend undue favors on account of their office to their RELATIVES WHETHER BY CONSANGUINITY OR AFFINITY...'
2. Analysis of the Breach:
   - 1. Relationship by Affinity: A brother-in-law (spouse's brother) is a relative by affinity in the 2nd civil degree.
   - 2. Extending Undue Favors: Giving a secret tip-off to allow a relative to conceal illegal toxic dumping and evade environmental enforcement is an unlawful favor granted on account of public office.
   - 3. Violation of Public Safety & Morals: Conspiring to poison public waters directly violates Section 4(A)(c) ('refrain from doing acts contrary to law, good morals, public safety and public interest').
   - 4. Offenses Committed: Grave Misconduct, Gross Dishonesty, Violation of RA 3019 (Section 3[e]), and Violation of the Clean Water Act (RA 9275).
3. Option A is the comprehensive, correct legal evaluation.

Common Trap: Believing affinity only includes parents-in-law; AFFINITY covers all relations created by marriage, including brothers-in-law and sisters-in-law.
Exam Tip: Tipping off or protecting a relative by blood or marriage from regulatory enforcement is a grave breach of JUSTNESS AND SINCERITY (Sec. 4[A][c]) and criminal graft.","Correct. Survives elimination because tipping off a brother-in-law (relative by affinity) to conceal environmental crimes violates Section 4(A)(c)'s ban on extending undue favors to relatives and constitutes grave misconduct and graft.","Eliminated because family loyalty can never supersede a public officer's sworn constitutional duty to enforce the law and protect public safety.","Eliminated because a brother-in-law is a recognized legal relative in the second degree of affinity.","Eliminated because future promises cannot excuse active collusion in ongoing criminal environmental pollution.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Justness and sincerity | Very Difficult | Batch 156"
"Under civil service jurisprudence (e.g., Debulgado v. Civil Service Commission, 237 SCRA 184), how does the prohibition against nepotism apply to PROMOTIONS of existing career employees who are related to the newly elected appointing authority?","The prohibition against nepotism applies to ALL APPOINTMENTS, including PROMOTIONS, designative transfers, and reinstatements; hence, an appointing authority cannot promote a relative within the prohibited civil degrees even if the relative was already an employee prior to the appointing authority's election.","Promotions are completely exempt from the rule on nepotism because the relative is already an existing employee.","An appointing authority can promote all their siblings simultaneously provided the promotions occur on New Year's Day.","Nepotism applies exclusively to original entrance appointments and never affects promotional advancement.","A","Step-by-Step Solution:
1. Landmark Case: Debulgado v. Civil Service Commission (237 SCRA 184, 1994), penned by Justice Florenz Regalado:
   - Facts: Mayor Jose Debulgado of San Carlos City promoted his wife, Victoria Debulgado, from Assistant City Assessor to General Services Officer (a higher career position). Mayor Debulgado argued that the nepotism prohibition applies only to ORIGINAL entrance appointments into the service, and not to PROMOTIONS of existing employees who were already in the civil service before he became mayor.
   - Supreme Court Ruling (En Banc):
     - 1. NEPOTISM COVERS PROMOTIONS: The statutory term 'appointment' in Section 59 of EO 292 and Section 79 of RA 7160 is used in its comprehensive legal sense.
     - 2. A promotion is an 'appointment' to a higher position with higher salary and responsibilities.
     - 3. To allow an executive to promote his own spouse or close relatives would open the floodgates to rampant favoritism, destroying the integrity of the merit system.
     - 4. The promotional appointment of the Mayor's wife was declared NULL AND VOID for being NEPOTISTIC.
2. Option A is the precise legal holding of Debulgado v. CSC.

Common Trap: Assuming an existing employee can be promoted by their spouse or parent; Debulgado firmly established that PROMOTIONS ARE APPOINTMENTS subject to the absolute ban on nepotism.
Exam Tip: Debulgado v. CSC = Nepotism prohibition applies to ALL appointments, INCLUDING PROMOTIONS (An appointing authority CANNOT promote their spouse or relatives).","Correct. Survives elimination because Debulgado v. CSC settled that the statutory ban on nepotism encompasses all forms of appointment, including promotions, barring an appointing official from promoting relatives within the prohibited degrees.","Eliminated because the Supreme Court explicitly held that promotions are not exempt from the nepotism prohibition.","Eliminated because calendar dates have no legal effect on the constitutional and statutory bar against nepotism.","Eliminated because the Court rejected the restrictive argument that nepotism is confined only to initial entrance appointments.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Justness and sincerity | Very Difficult | Batch 156"
"Why does 'Justness and Sincerity' require public officials to 'REFRAIN FROM DOING ACTS CONTRARY TO GOOD MORALS AND GOOD CUSTOMS' even outside official working hours?","Because public officials carry the dignity and honor of the State at all times, and engaging in scandalous, immoral, or disgraceful private conduct destroys public trust and confidence in the integrity of the civil service.","Because the government owns the private thoughts and personal dreams of all public servants 24 hours a day.","Because civil servants are required to live in government dormitory compounds under military surveillance.","Because public employees are legally prohibited from having any personal private life outside the office.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 4(A)(c):
   'They shall at all times respect the rights of others, and shall refrain from doing acts contrary to law, good morals, good customs, public policy, public order, public safety and public interest.'
2. Civil Service Jurisprudence on Private Conduct (Office of the Court Administrator v. Dinglasan; Vitriolo v. Dasig; Santos v. Rasalan):
   - Principle of Continuous Moral Fitness: Public servants must maintain moral integrity and decorum both inside and outside the workplace.
   - Disgraceful and Immoral Conduct (Rule 10, Section 50[B][3], 2017 RACCS): Engaging in public brawls, illicit extramarital scandals, public drunkenness, or moral turpitude in private life directly tarnishes the image of public office.
   - The standard of Justness and Sincerity demands that a public servant's life reflect honesty, decency, and respect for societal morals to sustain citizen confidence in public institutions.
3. Option A captures this foundational civil service rationale accurately.

Common Trap: Believing private immoral scandals cannot be punished administratively; disgraceful and immoral conduct in private life IS an administrative offense leading to suspension or dismissal.
Exam Tip: Justness and Sincerity = Moral rectitude inside AND outside the office; Disgraceful/immoral private conduct is actionable under civil service law.","Correct. Survives elimination because long-standing civil service doctrine holds that public servants must maintain moral rectitude and good conduct at all times, as private scandalous behavior directly impairs public confidence in government.","Eliminated because the State does not control private thoughts, but regulates outward moral conduct affecting public trust.","Eliminated because civil servants are not subjected to military dormitory confinement.","Eliminated because civil servants enjoy personal private lives, provided their conduct does not violate law, good morals, and civil service ethical standards.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Justness and sincerity | Very Difficult | Batch 156"
"Under Section 4(A)(c) of RA 6713, how does 'Justness and Sincerity' govern the processing of public claims and benefits (such as GSIS pensions, disaster relief aid, and medical assistance)?","Public servants must process and release all legitimate public claims, pensions, and relief aid fairly, honestly, and promptly based strictly on merit and statutory eligibility, without demanding kickbacks, political loyalty pledges, or personal favors.","Public servants may withhold 50% of disaster relief goods to distribute among their personal campaign volunteers.","Government clerks can require senior citizens to perform manual labor before releasing their monthly social pension.","Public officials may reject pension claims of citizens who belong to minority ethnic groups.","A","Step-by-Step Solution:
1. Statutory Application under RA 6713, Section 4(A)(c):
   - 'They must act with justness and sincerity and shall not discriminate against anyone, especially the poor and the underprivileged.'
2. Ethical Mandate in Public Assistance & Benefit Distribution:
   - 1. Absolute Fairness & Objectivity: Welfare benefits, pensions, disaster relief, and medical assistance must be distributed strictly based on statutory eligibility criteria.
   - 2. No Extortion or Kickbacks: Demanding cuts, processing fees, or gifts is criminal graft and direct bribery.
   - 3. No Political Conditioning: Public aid cannot be held hostage to demand political loyalty, campaign attendance, or partisan favors.
   - 4. Non-Discrimination: Equal, compassionate treatment across all ethnic, religious, and socio-economic demographics.
3. Option A is the comprehensive, correct ethical formulation.

Common Trap: Assuming relief goods can be selectively distributed by local leaders; disaster relief and public pensions are legal entitlements that MUST be distributed with absolute justness and non-discrimination.
Exam Tip: Distributing public benefits/pensions = Strict adherence to JUSTNESS AND SINCERITY (Fair, honest, prompt distribution without kickbacks or political conditions).","Correct. Survives elimination because Section 4(A)(c) requires justness, sincerity, and non-discrimination, commanding that public pensions, relief goods, and assistance be distributed strictly according to lawful eligibility without illicit deductions or political coercion.","Eliminated because diverting disaster relief goods to political volunteers is criminal malversation and grave misconduct.","Eliminated because imposing unauthorized manual labor on senior citizens violates RA 9994 and constitutes cruel administrative abuse.","Eliminated because ethnic discrimination violates the Equal Protection Clause and Section 4(A)(c) of RA 6713.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Justness and sincerity | Very Difficult | Batch 156"
"A department director learns that an administrative assistant made an honest typographical error on an internal inventory sheet. The director uses this minor error to publicly humiliate the assistant, threaten her with immediate termination, and coerce her into doing the director's private household laundry. What norm of conduct under RA 6713 did the director violate?","JUSTNESS AND SINCERITY, because the director acted with cruelty, insincerity, and bad faith, abused official power to oppress a subordinate, and coerced personal servitude in direct violation of Section 4(A)(c).","The director acted within lawful managerial authority because directors have absolute ownership of subordinate staff.","No ethical violation occurred because internal office management is exempt from the Code of Conduct.","The director's action was a valid exercise of fiscal austerity measures.","A","Step-by-Step Solution:
1. Ethical Analysis under RA 6713, Section 4(A)(c):
   - 'Public officials and employees shall remain true to the people at all times. They must act with justness and sincerity... They shall at all times respect the rights of others, and shall refrain from doing acts contrary to law, good morals, good customs...'
2. Analysis of the Scenario:
   - 1. Oppression / Grave Abuse of Authority: Exploiting an honest typographical mistake to harass, publicly humiliate, and terrorize a subordinate is an act of administrative OPPRESSION.
   - 2. Coerced Personal Servitude: Forcing a government employee to perform private domestic chores (doing household laundry) is an illegal, corrupt abuse of public office.
   - 3. Complete Absence of Justness and Sincerity: The director acted with bad faith, malice, and cruelty.
   - 4. Administrative Offenses: Oppression, Grave Abuse of Authority, and Conduct Prejudicial to the Best Interest of the Service (punishable by suspension or dismissal under the 2017 RACCS).
3. Option A is the correct, definitive legal and ethical conclusion.

Common Trap: Believing superiors have the right to order subordinates to do personal domestic favors; compelling personal servitude is a grave abuse of authority violating Justness and Sincerity.
Exam Tip: Harassing subordinates or forcing them to do personal domestic chores = OPPRESSION & GRAVE ABUSE OF AUTHORITY (Direct breach of Justness and Sincerity).","Correct. Survives elimination because the director's abusive intimidation and coercion of personal servitude constitutes oppression, grave abuse of authority, and an egregious violation of the norm of Justness and Sincerity under Section 4(A)(c).","Eliminated because public supervisors do not own subordinates and have no legal right to exploit them for personal chores.","Eliminated because the Code of Conduct and Ethical Standards applies strictly to internal office relationships between supervisors and subordinates.","Eliminated because personal domestic laundry has no connection to legitimate government fiscal austerity.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Justness and sincerity | Very Difficult | Batch 156"
