"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"In the classic landmark decision of Calalang v. Williams (70 Phil. 726, 1940), penned by Justice Jose P. Laurel, how did the Supreme Court define the constitutional concept of 'SOCIAL JUSTICE'?","Social justice is neither communism, nor despotism, nor atomism, nor anarchy, but the humanization of laws and the equalization of social and economic forces by the State so that justice in its rational and objectively secular conception may at least be approximated.","Social justice is the absolute equal division of all private land and commercial wealth among all citizens regardless of merit.","Social justice is the judicial doctrine that labor unions must win all legal disputes regardless of statutory evidence.","Social justice is an authoritarian command requiring private businesses to surrender 50% of annual profits to the government.","A","Step-by-Step Solution:
1. Foundational Jurisprudence: Calalang v. Williams (70 Phil. 726, December 2, 1940), penned by Justice Jose P. Laurel.
2. The Celebrated Definition of Social Justice:
   - 'Social justice is neither communism, nor despotism, nor atomism, nor anarchy, but the humanization of laws and the equalization of social and economic forces by the State so that justice in its rational and objectively secular conception may at least be approximated.'
   - 'Social justice means the promotion of the welfare of all the people, the adoption by the Government of measures calculated to insure economic stability of all the competent elements of society, through the maintenance of a proper economic and social equilibrium in the interrelations of the members of the community...'
3. Constitutional Anchor: Article XIII, Section 1 of the 1987 Constitution ('The Congress shall give highest priority to the enactment of measures that protect and enhance the right of all the people to human dignity, reduce social, economic, and political inequalities...').
4. Option A is the verbatim, legendary definition crafted by Justice Laurel.

Common Trap: Viewing social justice as communism, wealth confiscation, or one-sided bias against employers; Justice Laurel established that social justice is the BALANCED HUMANIZATION OF LAWS for all elements of society.
Exam Tip: Calalang v. Williams = Social justice is the humanization of laws and equalization of social/economic forces by the State.","Correct. Survives elimination because Justice Laurel's iconic definition in Calalang v. Williams defines social justice as the humanization of laws and equalization of social and economic forces to approximate objective justice and maintain social equilibrium.","Eliminated because social justice is explicitly not communism or forced redistribution of all private property.","Eliminated because social justice does not mandate automatic judicial bias; it harmonizes rights within the framework of law (PLDT v. NLRC).","Eliminated because social justice does not authorize confiscatory profit seizures.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Social Justice and Human Rights | Very Difficult | Batch 137"
"Under Article XIII, Section 3 of the 1987 Constitution, which of the following is an EXPLICITLY GUARANTEED constitutional right of all workers?","The right to self-organization, collective bargaining and negotiations, peaceful concerted activities including the right to strike in accordance with law, security of tenure, humane conditions of work, and a living wage.","The right to automatic promotions every two years regardless of job performance or attendance.","The right to seize corporate machinery during wildcat unauthorized walkouts.","The right to total lifetime exemption from paying national income taxes.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 3, second paragraph:
   'It shall guarantee the rights of all workers to self-organization, collective bargaining and negotiations, and peaceful concerted activities, including the right to strike in accordance with law. They shall be entitled to security of tenure, humane conditions of work, and a living wage. They shall also participate in policy and decision-making processes affecting their rights and benefits as may be provided by law.'
2. The Core Constitutional Rights of Labor:
   - 1. Right to Self-Organization (forming unions and associations)
   - 2. Collective Bargaining and Negotiations (CBA negotiations)
   - 3. Peaceful Concerted Activities, including the Right to Strike in accordance with law
   - 4. Security of Tenure (cannot be dismissed without just/authorized cause and due process)
   - 5. Humane Conditions of Work (safe workplace, reasonable hours)
   - 6. A Living Wage (wage adequate to sustain a family with dignity)
   - 7. Participation in policy and decision-making processes
3. Option A matches the constitutional enumeration verbatim.

Common Trap: Believing the right to strike is absolute and unrestricted; the Constitution specifies the right to strike 'in accordance with law' (subject to cooling-off periods, strike votes, and bans in essential public health/security services).
Exam Tip: Memorize the Labor Bill of Rights in Art. XIII, Sec. 3: Self-organization, Collective bargaining, Strike, Security of tenure, Humane conditions, Living wage.","Correct. Survives elimination because Article XIII, Section 3 explicitly guarantees workers the rights to self-organization, collective bargaining, peaceful concerted activities including legal strikes, security of tenure, humane working conditions, and a living wage.","Eliminated because automatic promotions without merit are not a constitutional labor right.","Eliminated because wildcat strikes and illegal factory takeovers are unlawful and unprotected.","Eliminated because the Constitution contains no tax immunity for wages.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Social Justice and Human Rights | Very Difficult | Batch 137"
"In the seminal ruling of Association of Small Landowners in the Philippines, Inc. v. Secretary of Agrarian Reform (G.R. No. 78742, July 14, 1989), what did the Supreme Court rule regarding the mode of payment for JUST COMPENSATION under the Comprehensive Agrarian Reform Program (CARP / RA 6657)?","Payment of just compensation under CARP need not be made exclusively in cash, and the statutory combination of cash and Land Bank of the Philippines bonds is CONSTITUTIONAL because agrarian reform is an extraordinary exercise of police power combined with eminent domain.","Payment of just compensation must be made strictly in 100% immediate cash, rendering the use of government bonds unconstitutional.","Landowners are not entitled to any just compensation whatsoever because land redistribution is a revolutionary expropriation.","Just compensation is determined exclusively by the tenant farmer without judicial oversight.","A","Step-by-Step Solution:
1. Landmark Case: Association of Small Landowners v. Secretary of Agrarian Reform (175 SCRA 343, 1989), penned by Justice Isagani Cruz.
2. Facts: Landowners challenged the constitutionality of the Comprehensive Agrarian Reform Law (RA 6657 / Presidential Proclamation No. 131), arguing that paying just compensation partly in cash and partly in 10-year Land Bank bonds violated the traditional eminent domain rule requiring immediate cash payment.
3. Supreme Court Ruling (En Banc):
   - 1. CARP is an extraordinary measure involving the joint exercise of the State's POLICE POWER (social justice redistribution) and EMINENT DOMAIN (taking of private land for public benefit).
   - 2. Because of the colossal magnitude of national land redistribution, requiring 100% immediate cash payment would completely bankrupt the National Treasury and defeat the constitutional mandate of agrarian reform in Article XIII, Section 4.
   - 3. Therefore, the payment of just compensation through a COMBINATION OF CASH AND GOVERNMENT (LANDBANK) BONDS is CONSTITUTIONAL and valid.
   - 4. Final determination of just compensation remains a JUDICIAL FUNCTION vested in the Special Agrarian Courts (RTCs).
4. Option A is the precise legal holding.

Common Trap: Assuming traditional eminent domain cash rules invalidate CARP bonds; the Supreme Court established an exception for agrarian reform due to its dual police power/social justice nature.
Exam Tip: Association of Small Landowners v. DAR = Agrarian reform just compensation paid in CASH + LANDBANK BONDS is CONSTITUTIONAL.","Correct. Survives elimination because Association of Small Landowners established that paying just compensation through a mix of cash and Land Bank bonds is constitutional under the comprehensive agrarian reform program, balancing police power and eminent domain.","Eliminated because the Supreme Court explicitly rejected the argument that CARP compensation must be 100% in cash.","Eliminated because the Constitution explicitly mandates the payment of just compensation to expropriated landowners under Article XIII, Section 4.","Eliminated because the final determination of just compensation is an exclusive judicial function of the courts, not administrative or tenant discretion.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Social Justice and Human Rights | Very Difficult | Batch 137"
"Under Article XIII, Section 10 of the 1987 Constitution, what is the constitutional protection accorded to URBAN POOR DWELLERS regarding EVICTION and DEMOLITION?","Urban or rural poor dwellers shall not be evicted nor their dwellings demolished, except in accordance with law and in a just and humane manner; no eviction or demolition shall be executed without adequate consultation between them and the host communities, and the provision of adequate resettlement.","Urban poor dwellers are granted perpetual immunity from eviction even when occupying active railroad tracks and dangerous waterways.","Local governments may arbitrarily demolish informal settlements without notice provided they use private demolition contractors.","Evictions and demolitions can only be conducted during the national dry season.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 10 states:
   'Urban or rural poor dwellers shall not be evicted nor their dwellings demolished, except in accordance with law and in a just and humane manner. No resettlement of urban or rural dwellers shall be undertaken without adequate consultation with them and the communities where they are to be relocated.'
2. Statutory Implementation:
   - Republic Act No. 7279 (Urban Development and Housing Act of 1992 / UDHA, Section 28):
     - Eviction or demolition is discouraged, but permitted when:
       (a) Persons occupy danger areas (railroads, waterways, riverbanks, transmission lines);
       (b) Government infrastructure projects are about to be implemented;
       (c) Court orders of eviction exist.
     - Mandatory Procedures for Humane Demolition:
       1. 30-day notice prior to date of eviction.
       2. Adequate consultation with affected families.
       3. Presence of local government officials and CHR representatives during demolition.
       4. Proper identification of all persons participating in demolition.
       5. Execution only during regular office hours (Mondays to Fridays, daytime).
       6. Provision of relocation / resettlement sites or financial assistance.
3. Option A is the verbatim constitutional requirement.

Common Trap: Believing informal settlers can never be evicted; eviction IS permitted, but must strictly follow statutory due process, adequate consultation, and humane relocation.
Exam Tip: Article XIII, Section 10 + RA 7279 (UDHA) = Eviction/Demolition ONLY in accordance with law + Just/Humane manner + Consultation + Resettlement.","Correct. Survives elimination because Article XIII, Section 10 explicitly mandates that evictions and demolitions must be conducted in accordance with law and in a just, humane manner, accompanied by adequate consultation and resettlement.","Eliminated because the Constitution does not grant absolute immunity from eviction in hazardous public danger zones.","Eliminated because arbitrary demolitions without notice and due process violate both Article XIII, Section 10 and Section 28 of RA 7279.","Eliminated because the law establishes procedural safeguards (30-day notice, consultation, daytime execution), not seasonal weather restrictions.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Social Justice and Human Rights | Very Difficult | Batch 137"
"Under Article XIII, Section 17 of the 1987 Constitution, what is the composition and organizational status of the COMMISSION ON HUMAN RIGHTS (CHR)?","An independent office composed of a Chairman and four Members (5 total) who must be natural-born citizens of the Philippines and a majority of whom shall be members of the Philippine Bar; their terms and appointments are provided by law.","An Article IX constitutional commission composed of seven full-time commissioners appointed for 10-year terms.","A specialized division of the Department of Justice under the direct administrative control of the Secretary of Justice.","A military tribunal composed of active flag-rank officers of the Armed Forces of the Philippines.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 17:
   - Paragraph (1): 'There is hereby created an independent office called the Commission on Human Rights.'
   - Paragraph (2): 'The Commission shall be composed of a Chairman and four Members who must be natural-born citizens of the Philippines and a majority of whom shall be members of the Philippine Bar. The term of office and other qualifications and disabilities of the Members of the Commission shall be provided by law.'
2. Structural Breakdown of the CHR:
   - Total Members = 5 (1 Chairperson + 4 Commissioners).
   - Natural-born citizens of the Philippines.
   - Legal Quorum: A MAJORITY (at least 3 out of 5) MUST BE MEMBERS OF THE PHILIPPINE BAR.
   - Status: An INDEPENDENT CONSTITUTIONAL OFFICE (created by the Constitution, but categorized under Article XIII, not as an Article IX Constitutional Commission).
3. Option A matches the constitutional text and composition verbatim.

Common Trap: Confusing CHR membership (5 members: 1 Chair + 4 Commissioners, majority lawyers) with Article IX Commissions (CSC = 3, COMELEC = 7, COA = 3).
Exam Tip: CHR = 5 Members (1 Chairman + 4 Commissioners); Natural-born; Majority MUST be Philippine Bar members; Created under Article XIII.","Correct. Survives elimination because Article XIII, Section 17 establishes the CHR as an independent office composed of 5 members (a Chairman and 4 Members), a majority of whom must be members of the Philippine Bar.","Eliminated because CHR is created under Article XIII (Social Justice & Human Rights) and is not an Article IX Constitutional Commission.","Eliminated because CHR is an independent constitutional office, not a subordinate bureau of the Department of Justice.","Eliminated because CHR is a civilian human rights oversight body, not a military tribunal.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Social Justice and Human Rights | Very Difficult | Batch 137"
"In the landmark cases of Cariño v. Commission on Human Rights (G.R. No. 96681, December 2, 1991) and Simon, Jr. v. Commission on Human Rights (G.R. No. 100150, January 5, 1994), what did the Supreme Court rule regarding the ADJUDICATORY AND PUNITIVE POWERS of the CHR?","The CHR is an INVESTIGATIVE and FACT-FINDING body that has no adjudicatory power to try and decide cases on the merits, issue permanent injunctions, or impose criminal or administrative punishments; it must refer its findings to the regular courts or prosecutors for legal action.","The CHR possesses full judicial power co-equal with the Court of Appeals to issue warrants of arrest and convict human rights violators.","The CHR can unilaterally order the dismissal of cabinet secretaries without trial.","The CHR is a legislative body authorized to pass new human rights criminal penalties.","A","Step-by-Step Solution:
1. Landmark Jurisprudence:
   - Cariño v. CHR (204 SCRA 483, 1991), penned by Justice Andres Narvasa.
   - Simon, Jr. v. CHR (229 SCRA 117, 1994).
   - Export Processing Zone Authority (EPZA) v. CHR (208 SCRA 125, 1992).
2. Supreme Court Ruling on CHR Powers:
   - 1. NO ADJUDICATORY / JUDICIAL POWER: The CHR is NOT a court. It has NO power to try cases, resolve disputes with finality, or award damages.
   - 2. NO INJUNCTIVE POWER: The CHR cannot issue temporary restraining orders (TROs) or writs of preliminary injunction (Simon v. CHR).
   - 3. NO CONTEMPT PUNITIVE POWER: The CHR cannot punish for direct contempt like a regular court.
   - 4. INVESTIGATIVE & FACT-FINDING MANDATE: Under Article XIII, Section 18, the CHR's constitutional power is to INVESTIGATE all forms of human rights violations involving civil and political rights, inspect detention facilities, provide legal aid, and RECOMMEND measures to Congress or REFER findings to the prosecutor or Ombudsman for criminal/administrative prosecution.
3. Option A is the precise legal holding of Cariño v. CHR and Simon v. CHR.

Common Trap: Believing the CHR can judge, sentence, or issue injunctions against human rights violators; the CHR is strictly an INVESTIGATIVE and MONITORING body.
Exam Tip: Cariño v. CHR = CHR HAS NO ADJUDICATORY POWERS; it is an investigative, fact-finding, and recommendatory body only.","Correct. Survives elimination because Cariño v. CHR and Simon v. CHR settled that the CHR's mandate under Article XIII, Section 18 is purely investigative, fact-finding, and recommendatory, lacking judicial power to adjudicate guilt, issue injunctions, or impose penalties.","Eliminated because the Supreme Court explicitly held that the CHR is not a court and cannot issue warrants of arrest or adjudicate criminal guilt.","Eliminated because the CHR cannot execute administrative dismissals; it refers disciplinary findings to the Ombudsman or proper appointing authorities.","Eliminated because the CHR is an executive/monitoring human rights office, not a legislative body.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Social Justice and Human Rights | Very Difficult | Batch 137"
"Under Article XIII, Section 18(1) of the 1987 Constitution and settled jurisprudence (Simon, Jr. v. CHR), what is the specific JURISDICTIONAL SCOPE of human rights violations investigated by the Commission on Human Rights?","The CHR is constitutionally mandated to investigate all forms of human rights violations involving CIVIL AND POLITICAL RIGHTS.","The CHR investigates all ordinary commercial contract breaches and real estate tenancy disputes.","The CHR investigates exclusively private domestic marital disputes between spouses.","The CHR exercises jurisdiction over international maritime boundary arbitration between sovereign states.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 18(1):
   'The Commission on Human Rights shall have the following powers and functions: (1) Investigate, on its own or on complaint by any party, all forms of human rights violations involving CIVIL AND POLITICAL RIGHTS.'
2. Landmark Case: Simon, Jr. v. CHR (229 SCRA 117, 1994):
   - Facts: Quezon City Mayor Brigido Simon, Jr. ordered the demolition of illegal vendor stalls on sidewalks. Vendors filed a human rights complaint with the CHR, claiming violation of their right to livelihood.
   - Supreme Court Ruling:
     - The constitutional jurisdiction of the CHR is specifically restricted to violations of CIVIL AND POLITICAL RIGHTS (e.g., freedom of speech, freedom from torture, right against arbitrary detention, right to life and liberty, freedom of conscience).
     - It does NOT cover purely economic, social, or property disputes (such as vendor stall demolitions on public sidewalks) as standalone CHR-investigable human rights offenses under Section 18(1).
3. Option A is the verbatim constitutional limitation.

Common Trap: Thinking CHR investigates every conceivable injustice or contract dispute; the constitutional mandate under Section 18(1) is explicitly limited to CIVIL AND POLITICAL RIGHTS.
Exam Tip: CHR Investigatory Jurisdiction = Violations involving CIVIL AND POLITICAL RIGHTS.","Correct. Survives elimination because Article XIII, Section 18(1) and Simon, Jr. v. CHR explicitly limit the CHR's investigatory jurisdiction to human rights violations involving civil and political rights.","Eliminated because commercial and real estate contract disputes fall under the regular trial courts, not the CHR.","Eliminated because domestic family disputes are within the exclusive jurisdiction of Family Courts under RA 8369.","Eliminated because international boundary arbitrations are handled by the Permanent Court of Arbitration or UNCLOS tribunals, not the domestic CHR.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Social Justice and Human Rights | Very Difficult | Batch 137"
"Under Article XIII, Section 2 of the 1987 Constitution, how is the state commitment to SOCIAL JUSTICE balanced with the constitutional protection of PRIVATE PROPERTY?","The promotion of social justice shall include the commitment to create economic opportunities based on freedom of initiative and self-reliance, while respecting the constitutional right of individuals to property and regulating property ownership to achieve its social function.","Social justice completely abolishes all forms of private property rights in the Philippines.","Private property is absolute and can never be regulated or expropriated by the State for public welfare.","The State automatically confiscates all real property upon the owner reaching sixty years of age.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 2 states:
   'The promotion of social justice shall include the commitment to create economic opportunities based on freedom of initiative and self-reliance.'
2. Related Provision: Article XII, Section 6:
   'The use of property bears a social function, and all economic agents shall contribute to the common good. Individuals and private groups, including corporations, cooperatives, and similar collective organizations, shall have the right to own, establish, and operate economic enterprises, subject to the duty of the State to promote distributive justice and to intervene when the common good so demands.'
3. Harmonic Balance (Social Justice Society v. Atienza, 517 SCRA 657; Carlos v. Angeles):
   - Property rights are constitutionally protected under Article III, Section 1 (Due Process Clause) and Article III, Section 9 (Eminent Domain).
   - However, property rights are NOT absolute; property bears a 'social function.'
   - Social justice balances private initiative and enterprise with legitimate state police power regulations aimed at diffusing wealth and serving the common good.
4. Option A captures this harmonious constitutional balance accurately.

Common Trap: Viewing property rights as absolute or, conversely, viewing social justice as total abolition of private property; the Constitution establishes that property rights exist but bear a mandatory social function.
Exam Tip: Property Rights + Social Function = Social Justice regulates property for the common good while respecting private enterprise and due process.","Correct. Survives elimination because the Constitution balances the promotion of social justice and distributive equity with the protection of private enterprise and property rights, subjecting property to reasonable regulation to fulfill its social function.","Eliminated because private property rights are explicitly protected under Article III, Section 1 and Article XII, Section 6.","Eliminated because property rights are not absolute and must yield to valid police power regulations for public health, safety, and general welfare.","Eliminated because age-based property confiscation is unconstitutional and violates substantive due process.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Social Justice and Human Rights | Very Difficult | Batch 137"
"Under Article XIII, Section 7 of the 1987 Constitution, what specific protection is accorded to SUBSISTENCE FISHERMEN regarding coastal and marine resources?","The State shall protect the rights of subsistence fishermen, especially of local communities, to the preferential use of the communal marine and fishing resources, both inland and offshore; and provide support to such fishermen through appropriate technology and research, financial, production, and marketing assistance.","Subsistence fishermen are prohibited from fishing within 15 kilometers of the shoreline.","Municipal waters are auctioned off exclusively to large multinational commercial trawlers.","Subsistence fishermen are required to surrender 40% of their daily catch to the municipal treasury.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 7:
   'The State shall protect the rights of subsistence fishermen, especially of local communities, to the preferential use of the communal marine and fishing resources, both inland and offshore. It shall provide support to such fishermen through appropriate technology and research, adequate financial, production, and marketing assistance, and other services. The State shall also protect, develop, and conserve such resources. The protection shall extend to offshore fishing grounds of subsistence fishermen against foreign intrusion. Fishworkers shall receive a just share from their labor in the utilization of marine and fishing resources.'
2. Key Statutory Framework:
   - Republic Act No. 8550 (The Philippine Fisheries Code of 1998, as amended by RA 10654):
     - Reserves municipal waters (up to 15 kilometers from coastline) primarily for municipal and subsistence fisherfolk.
     - Protects against commercial encroachment and foreign intrusion.
3. Option A is the verbatim constitutional protection under Section 7.

Common Trap: Confusing commercial fishing trawlers with subsistence fisherfolk; the Constitution gives PREFERENTIAL USE to subsistence fishermen in communal marine resources.
Exam Tip: Article XIII, Section 7 = PREFERENTIAL USE of communal fishing resources for SUBSISTENCE FISHERMEN + protection against foreign intrusion.","Correct. Survives elimination because Article XIII, Section 7 explicitly mandates that the State shall protect the preferential use of communal marine and fishing resources for subsistence fishermen and local communities, backed by state technical and financial support.","Eliminated because municipal waters within 15 km are specifically reserved for small subsistence fishermen under RA 8550.","Eliminated because commercial trawlers are restricted to protect communal subsistence fishing grounds.","Eliminated because compulsory catch surrenders contradict the constitutional policy of empowering small fishermen.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Social Justice and Human Rights | Very Difficult | Batch 137"
"Under Article XIII, Section 11 of the 1987 Constitution, which sectors are explicitly given PRIORITY in the provision of comprehensive health development and healthcare services?","The underprivileged, sick, elderly, disabled, women, and children; with an endeavor to provide free medical care to paupers.","Foreign medical tourists and commercial wellness corporations.","High-ranking civil service executives and diplomatic attachés.","Private health insurance shareholders and pharmaceutical executives.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 11 states:
   'The State shall adopt an integrated and comprehensive approach to health development which shall endeavor to make essential goods, health and other social services available to all the people at affordable cost. There shall be priority for the needs of the UNDERPRIVILEGED, SICK, ELDERLY, DISABLED, WOMEN, AND CHILDREN. The State shall endeavor to provide free medical care to paupers.'
2. Key Constitutional Priorities:
   - 1. Integrated and comprehensive approach to health development.
   - 2. Affordable cost for all people.
   - 3. PRIORITY SECTORS: Underprivileged, Sick, Elderly, Disabled, Women, and Children.
   - 4. Free medical care to paupers (indigents).
3. Statutory Implementation: Universal Health Care Act (RA 11223), Expanded Senior Citizens Act (RA 9994), Magna Carta for Disabled Persons (RA 7277).
4. Option A is the verbatim constitutional list of priority sectors.

Common Trap: Believing public health prioritization is based on income or official rank; the Constitution explicitly prioritizes vulnerable demographics: underprivileged, sick, elderly, PWDs, women, children, and paupers.
Exam Tip: Article XIII, Section 11 Priority Sectors: Underprivileged, Sick, Elderly, Disabled, Women, Children + Free care for paupers.","Correct. Survives elimination because Article XIII, Section 11 explicitly commands that the healthcare needs of the underprivileged, sick, elderly, disabled, women, and children shall be prioritized, with free medical care provided to paupers.","Eliminated because commercial wellness tourists are not constitutional priority demographics for state health development.","Eliminated because official rank is not a basis for constitutional public health prioritization under Article XIII.","Eliminated because the constitutional health mandate focuses on affordable universal access and vulnerable indigents, not corporate insurance shareholders.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Social Justice and Human Rights | Very Difficult | Batch 137"
