"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 5(c) of Republic Act No. 6713 and Rule VI of its Implementing Rules and Regulations (IRR), what is the statutory restriction on the NUMBER OF SIGNATORIES on official government papers and documents?","All official papers and documents must be processed and completed within a reasonable time and must contain, as far as practicable, NOT MORE THAN THREE (3) SIGNATORIES in the absence of any applicable statutory law.","All government documents must be signed by at least twenty-five different division chiefs.","Every document must be signed by all barangay captains residing within the province.","A document can only be approved if it is signed by the Chief Justice of the Supreme Court.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 5(c):
 'Process documents and expedite expeditiously. — All official papers and documents must be processed and completed within a reasonable time from the preparation thereof and must contain, AS FAR AS PRACTICABLE, NOT MORE THAN THREE (3) SIGNATORIES in the absence of any applicable law or rule. In the absence of duly authorized signatories, the official next-in-rank or officer-in-charge shall sign for and in their behalf.'
2. Rule VI, Section 3 of the IRR of RA 6713:
 - Purpose: Eliminating bureaucratic red tape, cumbersome approval layers, and administrative paralysis caused by excessive sequential signatures.
 - Standard Rule: NOT MORE THAN 3 SIGNATORIES (e.g., Prepared by, Reviewed by, Approved by).
 - Succession Rule: In the absence of an authorized signatory, the next-in-rank officer or designated OIC must sign to prevent document stagnation.
3. Option A is the verbatim statutory and IRR mandate.

Common Trap: Thinking government documents can require ten signatures; RA 6713 explicitly restricts the number of signatories to NOT MORE THAN THREE (3) as far as practicable.
Exam Tip: RA 6713, Sec. 5(c) = Official documents must contain NOT MORE THAN THREE (3) SIGNATORIES (as far as practicable) to avoid bureaucratic delay.","Correct. Survives elimination because Section 5(c) of RA 6713 and Rule VI of its IRR explicitly cap official document approvals at not more than three signatories as far as practicable to eliminate red tape and expedite processing.","Eliminated because requiring 25 signatures creates extreme bureaucratic paralysis prohibited by anti-red tape laws.","Eliminated because barangay captains have no general authority over internal agency document approvals.","Eliminated because the Chief Justice signs Supreme Court judicial and administrative matters, not all general government agency papers.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Duties of public officials | Very Difficult | Batch 162"
"Under Section 5(a) of RA 6713, when a public official REJECTS or DISAPPROVES a written request or application submitted by a citizen, what mandatory requirement must be included in the official reply sent within 15 working days?","The reply must clearly and explicitly STATE THE SPECIFIC REASON OR LEGAL GROUND FOR DISAPPROVAL and, if applicable, specify the exact missing requirements or corrective actions needed for compliance.","The reply may consist of a blank sheet of paper bearing only a red rejection sta∓ without any explanation.","The official may discard the application in the trash and ignore the citizen's inquiry permanently.","The official must require the applicant to pay a personal rejection penalty of PHP 50,000.","A","Step-by-Step Solution:
1. Statutory Text & Rules: RA 6713, Section 5(a) & Rule VI, Section 1 of the IRR:
 'Act promptly on letters and other communications. — All public officials and employees shall, within fifteen (15) working days from receipt thereof, respond to letters, telegrams or other communications sent by the public. The reply must contain the action taken on the request.'
 'In case of disapproval or denial of the request, THE REASON FOR SUCH DISAPPROVAL MUST BE CLEARLY STATED IN THE LETTER OR NOTICE.'
2. Procedural Due Process in Public Administration:
 - 1. Right to be Informed: A citizen has the fundamental right to know why their permit, benefit, or license was denied.
 - 2. Specific Legal/Technical Grounds: The agency cannot issue arbitrary, unexplained rejections. It must cite the specific statute, regulation, or missing requirement.
 - 3. Path to Rectification: Providing clear guidance on how the citizen can correct deficiencies or appeal the denial.
3. Option A is the precise statutory and administrative rule.

Common Trap: Assuming agencies can reject applications with a simple 'DENIED' sta∓; the law STRICTLY REQUIRES THE WRITTEN STATEMENT OF REASONS/GROUNDS for any disapproval.
Exam Tip: RA 6713 & IRR = Denials/Disapprovals MUST clearly state the SPECIFIC REASONS/LEGAL GROUNDS in the written reply within 15 working days.","Correct. Survives elimination because Section 5(a) of RA 6713 and Rule VI of its IRR mandate that any disapproval or denial of a citizen's request must clearly state the specific reasons and legal grounds for the action taken.","Eliminated because issuing unexplained blank rejections violates administrative due process and Section 5(a).","Eliminated because ignoring citizen communications is an actionable administrative violation of duty.","Eliminated because imposing unauthorized arbitrary rejection penalties is illegal extortion and graft.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Duties of public officials | Very Difficult | Batch 162"
"Under Section 5(c) of RA 6713, who is legally authorized and obligated to sign official documents when the primary authorized signatory is ABSENT or unavailable?","The OFFICIAL NEXT-IN-RANK or the designated OFFICER-IN-CHARGE (OIC) shall sign for and in their behalf to ensure continuous, uninterrupted processing of public documents.","A private commercial notary public hired by the transacting citizen.","The building security guard on duty at the front gate.","The documents must remain locked in the absent official's desk until they return from a three-month vacation.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 5(c), 2nd sentence:
 'In the absence of duly authorized signatories, THE OFFICIAL NEXT-IN-RANK OR OFFICER-IN-CHARGE SHALL SIGN FOR AND IN THEIR BEHALF.'
2. Rule VI, Section 3 of the IRR of RA 6713:
 - Purpose: Ensuring continuity of public operations and preventing citizen transactions from being paralyzed whenever a director or department head is on official travel, leave of absence, or illness.
 - Legal Authority: The next-in-rank officer or duly designated Officer-in-Charge (OIC) possesses full legal authority under RA 6713 to review, approve, and sign standard official documents in an acting capacity.
3. Option A matches the statutory text verbatim.

Common Trap: Assuming documents must wait indefinitely for the head's return; RA 6713 explicitly authorizes the NEXT-IN-RANK or OIC to sign to prevent delays.
Exam Tip: RA 6713, Sec. 5(c) = In the absence of authorized signatory, the NEXT-IN-RANK or OFFICER-IN-CHARGE (OIC) must sign for and in their behalf.","Correct. Survives elimination because Section 5(c) of RA 6713 explicitly commands that in the absence of the primary signatory, the next-in-rank official or designated OIC shall sign to maintain continuous public service delivery.","Eliminated because private notary publics have no authority to approve internal government agency actions.","Eliminated because security guards lack statutory administrative authority to sign agency executive documents.","Eliminated because freezing documents during official absences violates the statutory mandate to process documents expeditiously.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Duties of public officials | Very Difficult | Batch 162"
"Under Section 5(d) of RA 6713, what is the 'EXPEDITIOUS SERVICE' mandate regarding frontline public transactions, and what structural mechanism must agencies establish to implement it?","Agencies must see to it that personal transactions are acted upon immediately and establish a transparent, orderly QUEUING AND INTAKE SYSTEM with clearly designated service windows, priority lanes for vulnerable groups, and standard workflow tracking.","Agencies must install hidden surveillance traps to photograph transacting citizens without their knowledge.","Agencies must charge an extra 'rush fee' to any citizen who requests service on the same day.","Agencies may transfer all frontline desks to private commercial call centers located outside the country.","A","Step-by-Step Solution:
1. Statutory Authority: RA 6713, Section 5(d):
 'Act immediately on the public's personal transactions. — All public officials and employees must act immediately on the public's personal transactions, and must see to it that the respective services can be EXPEDITIOUSLY PERFORMED.'
2. Companion Administrative Directives (Rule VI, IRR of RA 6713; RA 11032; CSC MC No. 25, s. 2010):
 - 1. Public Assistance Desks (PACD): Mandatory Public Assistance and Complaints Desks at the entrance of every government office.
 - 2. Orderly Queuing System: Automated ticketing or structured queue management ensuring first-come, first-served order.
 - 3. Priority Express Lanes: Mandatory dedicated lanes for Senior Citizens, Persons with Disabilities (PWDs), Pregnant Women, and Solo Parents.
 - 4. Tracking Numbers: Providing applicants with unique tracking slips showing the exact date, time, and assigned processing window.
3. Option A is the comprehensive, accurate administrative formulation.

Common Trap: Thinking expeditious service requires paying extra; charging unauthorized 'rush fees' is a CRIME (Graft / Extortion). Expeditious service is a STATUTORY CITIZEN RIGHT.
Exam Tip: RA 6713, Sec. 5(d) = Public officials must act IMMEDIATELY on personal transactions + Provide transparent queuing, PACD desks, and priority lanes.","Correct. Survives elimination because Section 5(d) of RA 6713 mandates immediate and expeditious action on personal transactions, requiring structured queuing systems, public assistance desks, and priority lanes for vulnerable sectors.","Eliminated because secret surveillance traps have no connection to expeditious service delivery and violate privacy.","Eliminated because charging unauthorized rush fees constitutes criminal extortion and graft under RA 3019.","Eliminated because government agencies must provide accessible domestic frontline service desks.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Duties of public officials | Very Difficult | Batch 162"
"Under Section 5(e) of RA 6713, which of the following records is STRICTLY EXCLUDED from mandatory public disclosure and cannot be freely inspected by ordinary citizens?","Classified national defense secrets, ongoing confidential criminal investigation records, and sensitive personal data protected by the Data Privacy Act.","Approved municipal annual budget ordinances.","Final public bidding award resolutions for provincial bridge construction.","The official published Citizen's Charter of the Civil Service Commission.","A","Step-by-Step Solution:
1. Statutory & Constitutional Analysis:
 - Section 5(e), RA 6713: 'Make documents accessible to the public. — All public documents must be made accessible to, and readily available for inspection by, the public within reasonable working hours.'
 - Executive Order No. 2 (s. 2016 - Freedom of Information in the Executive Branch) & Article III, Section 7 of the Constitution (Right to Information).
2. Recognized Exceptions to Public Disclosure (The FOI Inventory of Exceptions):
 - 1. Information covered by Executive Privilege (President-Cabinet deliberations).
 - 2. National Security, Defense, and International Diplomatic Relations.
 - 3. Law Enforcement & Ongoing Criminal Investigations (to prevent tipping off suspects or endangering witnesses).
 - 4. Sensitive Personal Information (medical records, sexual life, home addresses, passwords under RA 10173).
 - 5. Confidential Trade Secrets, Bank Deposits (RA 1405), and Proprietary Intellectual Property.
3. Public Records that MUST be Disclosed:
 - Municipal budgets, procurement bidding awards, audit reports, Citizen's Charters (Options B, C, and D are fully public).
4. Option A contains the legitimate statutory exceptions.

Common Trap: Believing public bidding results or municipal budgets are secret; ALL procurement awards and government budgets are PUBLIC DOCUMENTS open to citizen inspection.
Exam Tip: Public Document Disclosure (Sec. 5[e]) = Open to public EXCEPT: National Defense, Ongoing Police Investigations, Sensitive Personal Data, and Trade Secrets.","Correct. Survives elimination because Section 5(e) and settled FOI jurisprudence establish that classified national security records, active criminal investigation dockets, and sensitive personal data are recognized legal exceptions to mandatory public document disclosure.","Eliminated because municipal budget ordinances are public laws that must be published and accessible to all taxpayers.","Eliminated because public procurement bid awards are public accountability records under RA 9184 and RA 12009.","Eliminated because the Citizen's Charter is required by law to be publicly and prominently displayed.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Duties of public officials | Very Difficult | Batch 162"
"Under Rule VI, Section 4 of the Implementing Rules and Regulations (IRR) of RA 6713, what is the duty of public officials regarding the ESTABLISHMENT OF A VALUE SYSTEM in their respective government agencies?","Every head of department, office, and agency shall establish measures and programs to promote and inculcate a positive value system, ethical leadership, and high standards of integrity and efficiency among all agency employees.","Every agency head must require employees to purchase private commercial stocks in the head's private corporation.","Every department secretary must establish a secret paramilitary militia within the department.","Agency heads are prohibited from conducting any ethics seminars for public workers.","A","Step-by-Step Solution:
1. Statutory & Rule Authority: RA 6713, Section 12 & Rule VI, Section 4 of its IRR:
 'Establishment of Value System. — Every head of department, office and agency shall establish measures and programs to promote and inculcate a positive value system and high standards of ethics in his office.'
2. Core Components of Agency Value Systems:
 - 1. Internal Ethics Committees / Integrity Circles: Promoting peer support for ethical behavior.
 - 2. Mandatory Ethics & Anti-Corruption Training: Integrating RA 6713, RA 3019, and gender-fair laws into onboarding and regular staff development.
 - 3. Whistleblower Protection Mechanisms: Secure reporting channels for employees to expose fraud and graft without fear of retaliation.
 - 4. Systems of Incentives and Awards: Annual recognition under the Honor Awards Program (HAP) for exemplary ethical conduct (Section 6, RA 6713).
3. Option A is the verbatim rule mandate.

Common Trap: Viewing ethics as solely individual; the LAW COMMANDS AGENCY HEADS to institutionalize organizational programs and value systems that foster ethical culture.
Exam Tip: Rule VI, Sec. 4, IRR of RA 6713 = Agency heads must actively establish programs to INCULCATE A POSITIVE VALUE SYSTEM AND ETHICAL CULTURE.","Correct. Survives elimination because Rule VI, Section 4 of the IRR of RA 6713 explicitly obligates all agency heads to institutionalize programs and systems that cultivate ethical values, integrity, and efficiency throughout their organizations.","Eliminated because coercing employees to buy private commercial stock in a supervisor's business is illegal extortion and conflict of interest.","Eliminated because creating secret private militias is an unconstitutional and criminal act.","Eliminated because conducting ethics seminars is an explicit statutory obligation under RA 6713.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Duties of public officials | Very Difficult | Batch 162"
"Under Section 5 of RA 6713, what is the legal consequence for a public official or employee who HABITUALLY NEGLECTS OR REFUSES to act on citizen communications within 15 working days or delays documents without justifiable cause?","The employee is administratively liable for SIMPLE NEGLECT OF DUTY or GROSS NEGLECT OF DUTY and Violation of RA 6713, punishable by reprimand, suspension, or dismissal from public service with forfeiture of retirement benefits.","The employee receives a performance bonus of PHP 100,000 for reducing paper processing costs.","The employee is given an automatic promotion to executive regional director.","The employee is immune from all administrative complaints if they work in a regional office outside Metro Manila.","A","Step-by-Step Solution:
1. Administrative & Statutory Liability:
 - Section 5(a) & 5(c), RA 6713 (Mandatory Duties to Act Promptly).
 - Section 11, RA 6713 (Penalties).
 - 2017 Rules on Administrative Cases in the Civil Service (2017 RACCS), Rule 10, Section 50(A)(2) & 50(D)(1).
2. Schedule of Administrative Offenses:
 - 1. Simple Neglect of Duty: Inadvertent, occasional failure to act promptly without malice (1st Offense: Suspension of 1 to 6 months; 2nd Offense: Dismissal).
 - 2. Gross Neglect of Duty: Habitual, flagrant, or deliberate refusal to process documents or respond to communications, exhibiting callous indifference to public duty (1st Offense: DISMISSAL FROM SERVICE with perpetual disqualification and forfeiture of benefits).
 - 3. Violation of RA 6713: Express ground for administrative suspension or dismissal under Section 11.
3. Option A is the precise legal sanction.

Common Trap: Believing ignoring letters is a minor harmless omission; chronic failure to act on citizen communications constitutes GROSS NEGLECT OF DUTY warranting DISMISSAL FROM SERVICE.
Exam Tip: Chronic delay or refusal to act on citizen letters/documents = GROSS NEGLECT OF DUTY & Violation of RA 6713 (Penalty: DISMISSAL).","Correct. Survives elimination because Section 11 of RA 6713 and the 2017 RACCS establish that habitual neglect or deliberate delay in acting on citizen communications constitutes neglect of duty and ethical violations punishable by suspension or dismissal.","Eliminated because administrative neglect of duty cannot be rewarded with performance bonuses.","Eliminated because chronic inefficiency results in disciplinary dismissal, not executive promotion.","Eliminated because RA 6713 applies universally to all public servants across all regions of the Philippines.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Duties of public officials | Very Difficult | Batch 162"
"How does the duty to 'PROCESS DOCUMENTS AND EXPEDITE EXPEDITIOUSLY' under Section 5(c) of RA 6713 protect public servants and transacting citizens from CORRUPT FIXERS AND EXTORTION?","By establishing strict, predictable processing timelines and minimizing unnecessary approval signatures, it eliminates administrative bottlenecks and delays that corrupt fixers and dishonest employees exploit to demand bribes or 'speed money.'","By allowing fixers to operate official express processing counters inside agency lobbies.","By charging an informal cash surcharge on every document signed by a division chief.","By requiring citizens to hire private legal counsel for simple document verifications.","A","Step-by-Step Solution:
1. Governance Dynamics & Anti-Corruption Mechanics:
 - The Root of Bureaucratic Extortion ('Speed Money'):
 - In inefficient, slow bureaucracies with dozens of redundant signature layers, citizen files sit stagnant for weeks or months.
 - Corrupt officials and fixers exploit this manufactured delay by demanding 'speed money', grease money, or bribes to expedite the stagnant file.
 - Section 5(c) of RA 6713 as a Structural Preventive Tool:
 - 1. Capping signatures at not more than 3 as far as practicable.
 - 2. Requiring strict, swift workflow routing and accountability.
 - 3. By ensuring that files move automatically and rapidly by operation of standard operating procedures, the opportunity for extortion is completely eliminated.
2. Option A captures this structural anti-corruption mechanism accurately.

Common Trap: Thinking red tape is just harmless paperwork; redundant red tape is the primary incubator of public bribery and fixing.
Exam Tip: Section 5(c) (Expeditious Processing + Max 3 Signatures) = Eliminates administrative bottlenecks that breed bribery and fixers.","Correct. Survives elimination because streamlined workflows and strict signature limits under Section 5(c) eliminate the administrative delays and artificial bottlenecks that corrupt actors exploit to solicit bribes.","Eliminated because government agencies are strictly mandated to eradicate fixers, not grant them official counters.","Eliminated because charging informal surcharges is criminal direct bribery and graft under RA 3019.","Eliminated because standard government services must be designed for simple, direct citizen access without requiring lawyers.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Duties of public officials | Very Difficult | Batch 162"
"Under Section 5 of RA 6713, what must a government agency do if a citizen's written request falls OUTSIDE THE JURISDICTION of that specific agency?","The agency must promptly REFER the communication to the proper government agency within the prescribed period and INFORM THE CITIZEN IN WRITING of the referral and the contact details of the receiving office.","The agency should immediately burn the letter and block the citizen's email address.","The agency may pretend to have jurisdiction and charge the citizen a processing fee anyway.","The agency is required to sue the citizen for filing a mistaken inquiry.","A","Step-by-Step Solution:
1. Statutory and Administrative Rules:
 - Section 5(a), RA 6713 & Rule VI, Section 1 of its IRR:
 'In case of letters or communications requesting information, matters or documents falling within the jurisdiction of another department, office or agency, THE SAME SHALL BE TRANSMITTED TO THE PROPER AGENCY WITHIN THREE (3) TO FIVE (5) WORKING DAYS, AND THE SENDER DULY INFORMED THEREOF IN WRITING.'
2. Procedural Mechanism (Referral & Notification):
 - 1. Timely Transmission: Endorsing the inquiry to the correct agency (e.g., forwarding a DSWD inquiry received by DepEd to DSWD).
 - 2. Written Notice to Citizen: Sending a formal copy of the endorsement letter to the citizen so they can track the matter at the correct agency.
 - 3. Seamless Public Service: Demonstrates responsiveness and collaborative governance.
3. Option A is the verbatim administrative rule.

Common Trap: Thinking an agency can just throw away a misdirected inquiry; the agency MUST REFER it to the proper office and NOTIFY THE SENDER IN WRITING.
Exam Tip: Misdirected Citizen Letters = Promptly REFER to proper agency + INFORM THE CITIZEN IN WRITING of the referral.","Correct. Survives elimination because Section 5(a) and Rule VI of the IRR obligate receiving agencies to transmit misdirected communications to the proper department and notify the citizen in writing of the referral.","Eliminated because destroying citizen inquiries violates public records laws and civil service responsiveness rules.","Eliminated because pretending to have jurisdiction to collect unauthorized fees is criminal fraud and graft.","Eliminated because citizens cannot be sued or penalized for mistakenly sending an inquiry to an incorrect government department.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Duties of public officials | Very Difficult | Batch 162"
"Under Section 5(b) of RA 6713, what specific elements must be contained in the ANNUAL PERFORMANCE REPORT rendered by heads of government departments and agencies?","(1) Realistic performance targets, (2) Accomplishments against said targets, (3) Programs, projects, and activities executed, and (4) Problems encountered and proposed solutions.","(1) Personal horoscopes of division chiefs, (2) Private gossip regarding agency employees, and (3) Commercial advertisements for foreign luxury hotels.","(1) A list of political campaign donors, (2) A roster of excluded opposition voters, and (3) Secret military budget maps.","(1) Cash balance predictions for private cryptocurrency markets, and (2) Real estate brochures for foreign island resorts.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 5(b):
 'Submit annual performance reports. — All heads or other responsible officers of departments, offices and agencies of the government and of government-owned or controlled corporations shall, within forty-five (45) working days from the end of the year, render a full report of the performance and accomplishments of their respective offices, WHICH SHALL INCLUDE:
 (1) REALISTIC PERFORMANCE TARGETS;
 (2) ACCOMPLISHMENTS AGAINST SAID TARGETS;
 (3) PROGRAMS, PROJECTS, AND ACTIVITIES EXECUTED; AND
 (4) PROBLEMS ENCOUNTERED AND PROPOSED SOLUTIONS.'
2. Meaning & Purpose:
 - 1. Performance-Based Governance: Measuring actual programmatic outputs against planned targets.
 - 2. Self-Correction & Learning: Honest identification of operational bottlenecks and strategic proposed solutions.
 - 3. Public Transparency: Ensuring citizens and oversight bodies (Congress, DBM, COA) can evaluate agency efficacy.
3. Option A is the verbatim statutory list of the 4 required components.

Common Trap: Thinking annual reports are just generic picture books; Section 5(b) STRICTLY PRESCRIBES these four substantive reporting criteria.
Exam Tip: RA 6713, Sec. 5(b) Annual Report Content = (1) Realistic Targets, (2) Accomplishments, (3) Projects/Activities, (4) Problems & Proposed Solutions.","Correct. Survives elimination because Section 5(b) of RA 6713 explicitly specifies the four mandatory components of agency annual reports: realistic targets, actual accomplishments, executed programs/projects, and problems encountered with proposed solutions.","Eliminated because personal horoscopes and private gossip have no place in official government accountability reports.","Eliminated because partisan donor lists and political voter profiling are prohibited partisan activities under civil service laws.","Eliminated because cryptocurrency predictions and foreign real estate brochures are completely irrelevant to statutory agency performance reports.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Duties of public officials | Very Difficult | Batch 162"
