"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 20 of Republic Act No. 8749 (The Philippine Clean Air Act of 1999), what is the statutory policy regarding the 'INCINERATION OF MUNICIPAL, BIO-MEDICAL, AND HAZARDOUS WASTES'?","Incineration—defined as the burning of municipal, bio-medical, and hazardous wastes which emit poisonous and toxic fumes—is STRICTLY PROHIBITED, mandating the adoption of non-burn, environmentally sound technologies for ecological waste processing and healthcare waste disposal.","Incineration is mandatory for all residential household backyards in Metro Manila.","Incineration is allowed only if the fire is started using commercial fireworks.","Incineration is required for all imported plastic toys.","A","Step-by-Step Solution:
1. Statutory Text: Section 20, Republic Act No. 8749 (Philippine Clean Air Act of 1999):
 'Ban on Incineration. — Incineration, hereby defined as the burning of municipal, bio-medical and hazardous wastes, WHICH PROCESS EMITS POISONOUS AND TOXIC FUMES, IS HEREBY PROHIBITED: Provided, however, That the prohibition shall not apply to traditional small-scale methods of community/neighborhood burning 'siga', traditional, cultural, and religious practices...' (Note: 'siga' was subsequently banned under RA 9003 & DENR AO 2000-81).
2. Landmark Case: MMDA v. Jancom Environmental Corp. (375 SCRA 320, 2002) & MMDA v. Concerned Residents of Manila Bay:
 - Supreme Court clarification: RA 8749 strictly bans technologies and incinerators that emit poisonous and toxic fumes (such as dioxins and furans), mandating non-burn ecological treatment technologies (e.g., autoclaving, microwaving, hydroclaving for hospital/biomedical waste).
3. Option A matches the statutory text and doctrine verbatim.

Common Trap: Thinking hospitals can burn biomedical waste; INCINERATION OF MEDICAL AND HAZARDOUS WASTES EMITTING TOXIC FUMES IS BANNED under Section 20 of RA 8749.
Exam Tip: Clean Air Act (RA 8749, Sec. 20) = STRICT BAN ON INCINERATION of municipal, bio-medical, and hazardous wastes that emit toxic fumes (Mandates non-burn technologies).","Correct. Survives elimination because Section 20 of RA 8749 explicitly bans the incineration of municipal, bio-medical, and hazardous wastes that release toxic fumes, requiring non-burn ecological waste disposal alternatives.","Eliminated because burning waste in urban residential backyards violates national clean air and solid waste statutes.","Eliminated because using fireworks to ignite waste is dangerous and contrary to clean air environmental safety.","Eliminated because burning plastics generates toxic dioxins prohibited by RA 8749.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Clean Air Act (RA 8749) | Very Difficult | Batch 177"
"Under Section 8 and 9 of RA 8749 (Clean Air Act), how is an 'AIRSHED' defined and managed in the Philippines?","An AIRSHED is a designated geographic area with similar climate, meteorology, and topography which share the same air quality problem or common atmospheric mass, managed by an AIRSHED GOVERNING BOARD composed of the DENR, LGUs, and civil society to implement localized Air Quality Action Plans.","An airshed is a private commercial hangar for corporate passenger airplanes.","An airshed is an underground bunker designed for storing national gold reserves.","An airshed refers exclusively to the internal cabin air filter of an automobile.","A","Step-by-Step Solution:
1. Statutory Text: RA 8749, Section 8 & 9:
 - Section 8: 'Airsheds. — The Department, through the Environmental Management Bureau (EMB), upon the recommendation of the concerned local government units, SHALL DIVIDE THE COUNTRY INTO DIFFERENT AIRSHEDS. Airsheds are to be designated based on climate, meteorology and topology which affect the interchange and diffusion of pollutants in the atmosphere, or areas which share the same air quality problem...'
 - Section 9: 'Airshed Governing Board. — Each airshed shall be under an Airshed Governing Board, chaired by the DENR Regional Executive Director and composed of Provincial Governors, City/Municipal Mayors, representatives from national agencies, NGOs, and the private sector.'
2. Core Purpose of Airshed Management:
 - Formulating localized emissions reduction strategies, establishing ambient air quality monitoring stations, and regulating industrial stack permits across provincial boundaries sharing the same atmospheric basin (e.g., Metro Manila Airshed, Baguio-Benguet Airshed).
3. Option A is the verbatim statutory definition and operational structure.

Common Trap: Thinking air pollution is managed strictly by city political boundaries; air flows freely across borders, so RA 8749 created AIRSHEDS based on geographical and atmospheric basins.
Exam Tip: Airshed (RA 8749, Sec. 8-9) = Geographic area sharing similar topography, meteorology, and air mass, managed by an AIRSHED GOVERNING BOARD.","Correct. Survives elimination because Sections 8 and 9 of RA 8749 define an airshed as a designated geographical area sharing common meteorology and air quality conditions, overseen by an Airshed Governing Board to execute local clean air action plans.","Eliminated because airport aircraft hangars are aviation maintenance structures, not ecological atmospheric airsheds.","Eliminated because subterranean vaults for bullion storage have no relation to atmospheric air quality management.","Eliminated because automotive cabin filters are mechanical car components, not environmental geographical airsheds.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Clean Air Act (RA 8749) | Very Difficult | Batch 177"
"Under Section 41 of Republic Act No. 8749 (The Clean Air Act), what is the extraordinary legal remedy of a 'CITIZEN SUIT'?","ANY CITIZEN may file a civil, criminal, or administrative action in court or before government agencies against ANY PERSON, CORPORATION, OR PUBLIC OFFICIAL who violates the Clean Air Act, EXEMPT FROM POSTING A BOND AND EXEMPT FROM PAYMENT OF FILING FEES.","A lawsuit that can only be filed by foreign citizens residing outside the Philippines.","A commercial lawsuit requiring an advance cash deposit of ten million pesos.","A legal petition to ban all pedestrian walking on public roads.","A","Step-by-Step Solution:
1. Statutory Text: Section 41, Republic Act No. 8749 (Citizen Suits):
 'Citizen Suits. — For purposes of enforcing the provisions of this Act or its implementing rules and regulations, ANY CITIZEN MAY FILE AN APPROPRIATE CIVIL, CRIMINAL OR ADMINISTRATIVE ACTION in the proper courts against:
 (a) Any person who violates or fails to comply with the provisions of this Act or its rules;
 (b) The Department or other implementing agencies with respect to orders, rules and regulations issued inconsistent with this Act; and/or
 (c) Any public officer who willfully or grossly neglects the performance of an act specifically enjoined as a duty by this Act...
 THE COURT SHALL EXEMPT SUCH ACTION OR PROCEEDING FROM THE PAYMENT OF FILING AND OTHER LEGAL FEES, AND SHALL LIKEWISE EXEMPT THE PLAINTIFF FROM THE POSTING OF A BOND...'
2. Transformative Legal Impact:
 - Democratizes environmental justice by empowering ordinary citizens, students, and NGOs to sue corporate polluters and erring government regulators without financial barriers (no filing fees, no bond).
3. Option A matches the statutory text and protections verbatim.

Common Trap: Believing an environmental lawsuit requires paying heavy filing fees or posting a bond; CITIZEN SUITS under Section 41 ARE EXEMPT FROM FILING FEES AND INJUNCTION BONDS.
Exam Tip: Clean Air Act Citizen Suit (RA 8749, Sec. 41) = Any citizen can sue polluters or neglectful officials; 100% EXEMPT FROM FILING FEES AND BONDS.","Correct. Survives elimination because Section 41 of RA 8749 authorizes any citizen to file civil, criminal, or administrative suits against violators or neglectful officials, explicitly exempting the action from court filing fees and bond requirements.","Eliminated because citizen suits are designed for domestic citizens and Philippine residents to protect national ecology.","Eliminated because the statute expressly waives financial bonds and court filing fees to ensure open access to justice.","Eliminated because citizen suits enforce environmental clean air laws, not pedestrian bans.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Clean Air Act (RA 8749) | Very Difficult | Batch 177"
"Under Section 5 of RA 8749, what are the THREE (3) MAIN SOURCES OF AIR POLLUTION classified and regulated under the Clean Air Act?","(1) STATIONARY SOURCES (factories, power plants, industrial stacks), (2) MOBILE SOURCES (motor vehicles, cars, trucks, motorcycles), and (3) AREA SOURCES (open burning, construction dust, agricultural burning).","(1) Solar flares, (2) Lunar eclipses, and (3) Ocean oceanographic tides.","(1) Private residential whispers, (2) Library book reading, and (3) Online chess games.","(1) Deep subterranean gold mining, (2) Space satellites, and (3) Polar ice caps.","A","Step-by-Step Solution:
1. Statutory Text & Classification: RA 8749, Section 5 (Definitions):
 - 1. STATIONARY SOURCES (Section 5[z]):
 - Any building, structure, facility, or installation which emits or may emit any air pollutant (e.g., coal-fired power plants, petroleum refineries, cement manufacturing kilns, industrial boilers). Regulated via DENR Permit to Operate.
 - 2. MOBILE SOURCES (Section 5[s]):
 - Any vehicle powered by an internal combustion engine (cars, buses, jeepneys, trucks, motorcycles, motor tricycles). Regulated through LTO emission testing (PETCs / MVIS) and roadside smoke-belching apprehension.
 - 3. AREA SOURCES (Section 5[a]):
 - Sources that emit pollutants over a broad geographic area (e.g., open burning / 'siga', agricultural crop burning, dust from large civil construction sites, dry cleaning shops, unpaved roads).
2. Option A is the verbatim statutory triad of air pollution sources.

Common Trap: Forgetting 'Area Sources'; the 3 legal categories of air pollution sources are STATIONARY, MOBILE, and AREA SOURCES.
Exam Tip: 3 Sources of Air Pollution (RA 8749) = (1) Stationary Sources (Factories/Plants), (2) Mobile Sources (Vehicles), (3) Area Sources (Open burning/Dust).","Correct. Survives elimination because Section 5 of RA 8749 explicitly classifies all regulated air emissions into three distinct categories: Stationary Sources (factories/plants), Mobile Sources (vehicles), and Area Sources (open burning/dust).","Eliminated because astrophysical cosmic phenomena are natural outer-space events, not regulated air pollutants.","Eliminated because quiet indoor activities produce zero atmospheric chemical emissions.","Eliminated because space orbital satellites and polar ice caps are outside the statutory source categories of the Philippine Clean Air Act.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Clean Air Act (RA 8749) | Very Difficult | Batch 177"
"Under Section 21 and 22 of RA 8749, what is the mandatory requirement regarding EMISSION TESTING FOR MOTOR VEHICLES before registration renewal with the Land Transportation Office (LTO)?","Every motor vehicle must pass a certified EMISSION COMPLIANCE TEST conducted by an authorized Private Emission Testing Center (PETC) or Motor Vehicle Inspection System (MVIS) to prove compliance with national emission standards before the LTO can renew its annual vehicle registration.","Motor vehicles are exempt from emission testing if the driver honks the horn three ×.","Emission testing is required only once every twenty-five years.","Vehicles are tested by checking the color of the car's interior floor mats.","A","Step-by-Step Solution:
1. Statutory Authority: RA 8749, Section 21 & 22 (Mobile Sources / Emission Standards) & DOTR/LTO Regulations:
 - Section 21: 'Pollution from Motor Vehicles. — The DOTC (now DOTr) shall implement the emission standards for motor vehicles set by the Department... The DOTC shall regulate the inspection and testing of all motor vehicles.'
 - Section 22: 'No motor vehicle registration shall be issued or renewed by the LTO without a Certificate of Emission Compliance (CEC) issued by the authorized testing center certifying that the vehicle meets the emission limits.'
2. Operational Execution:
 - 1. Testing Centers: Authorized Private Emission Testing Centers (PETCs) or computer-automated Motor Vehicle Inspection Centers (MVICs / MVIS).
 - 2. Regulated Pollutants: Carbon Monoxide (CO), Hydrocarbons (HC), and Opacity (k-value / smoke density for diesel engines).
 - 3. Anti-Smoke Belching Units (ASBU): LGUs and LTO conduct roadside mobile emission apprehension on major roads.
3. Option A is the precise statutory requirement.

Common Trap: Thinking registration renewal only requires insurance; a CERTIFICATE OF EMISSION COMPLIANCE IS AN ABSOLUTE STATUTORY PREREQUISITE for LTO registration.
Exam Tip: Motor Vehicle Registration (RA 8749, Sec. 22) = Mandatory CERTIFICATE OF EMISSION COMPLIANCE (CEC) from authorized testing centers before annual LTO renewal.","Correct. Survives elimination because Section 22 of RA 8749 makes it mandatory for all motor vehicles to pass official emission tests and obtain a Certificate of Emission Compliance as an absolute condition for annual LTO registration.","Eliminated because sounding vehicle horns has no impact on tailpipe chemical emission compliance.","Eliminated because emission testing is an annual requirement corresponding with the annual vehicle registration cycle.","Eliminated because interior upholstery has zero scientific relevance to engine tailpipe hydrocarbon or carbon monoxide emissions.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Clean Air Act (RA 8749) | Very Difficult | Batch 177"
"Under Section 20 of RA 8749 and Section 48(1) of RA 9003, what is the legal status of 'SIGA' (the traditional open burning of solid waste, leaves, dried twigs, and plastics in backyards and streets)?","'Siga' or OPEN BURNING OF SOLID WASTE IS STRICTLY PROHIBITED AND ILLEGAL under environmental laws because it releases hazardous particulates, carbon monoxide, and toxic carcinogenic dioxins into the ambient air, carrying administrative and criminal fines.","'Siga' is mandatory in all urban subdivisions every Sunday morning.","'Siga' is recognized as a lawful method of disposing of industrial chemical batteries.","'Siga' is legally permitted provided the fire burns for more than twenty-four continuous hours.","A","Step-by-Step Solution:
1. Statutory & Administrative Authority:
 - Republic Act No. 8749 (Clean Air Act) & DENR Administrative Order No. 2000-81 (IRR of RA 8749, Part V, Rule XXV, Section 1).
 - Republic Act No. 9003 (Ecological Solid Waste Management Act), Section 48(1): 'The following acts are prohibited: (1) Open burning of solid waste...'
 - National Solid Waste Management Commission (NSWMC) Resolution No. 008, s. 2011.
2. Complete Prohibition of Open Burning ('Siga'):
 - 1. Comprehensive Ban: Although Section 20 of RA 8749 contained a historical proviso, subsequent environmental regulations and Section 48(1) of RA 9003 made OPEN BURNING OF ANY SOLID WASTE (including dry leaves, garden twigs, yard cuttings, trash, rubber, and plastics) STRICTLY PROHIBITED NATIONWIDE.
 - 2. Environmental & Health Hazards: Siga generates massive PM2.5 particulate matter, triggers asthma and respiratory ailments, and releases carcinogenic dioxins/furans.
 - 3. Ecological Alternative: Yard leaves and organic waste MUST BE COMPOSTED into organic soil fertilizer.
3. Option A is the precise, complete legal prohibition.

Common Trap: Believing burning dry leaves in your backyard is legal; 'SIGA' (OPEN BURNING OF LEAVES AND TRASH) IS 100% ILLEGAL under Philippine environmental law.
Exam Tip: Open Burning / Siga = STRICTLY PROHIBITED under RA 9003 (Sec. 48[1]) and Clean Air rules; Yard waste must be COMPOSTED, not burned.","Correct. Survives elimination because Section 48(1) of RA 9003 and clean air regulations explicitly outlaw 'siga' and open burning of solid waste due to the emission of hazardous pollutants, particulate matter, and carcinogenic toxins.","Eliminated because open burning is illegal nationwide and barred in all residential communities.","Eliminated because burning hazardous chemical batteries is a grave crime releasing deadly heavy metals.","Eliminated because burning waste for extended hours compounds the environmental crime and toxic pollution.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Clean Air Act (RA 8749) | Very Difficult | Batch 177"
"Under the Philippine Clean Air Act (RA 8749), what is the 'AIR QUALITY INDEX' (AQI), and what color-coded health warning indicates an 'EMERGENCY' air quality level?","The AQI is a standardized scale measuring the concentration of criteria air pollutants (PM2.5, PM10, SO2, NO2, O3, CO) and communicating health risks to the public; an 'EMERGENCY' level is indicated by MAROON / PURPLE, warning that the entire population is likely to be affected by serious health effects.","The AQI measures the price of commercial airline tickets in Metro Manila.","An emergency level is indicated by bright green, signaling perfect pristine air.","The AQI is an index measuring the loudness of vehicular stereo sound systems.","A","Step-by-Step Solution:
1. Administrative Framework: DENR Administrative Order No. 2000-81 (IRR of RA 8749, Rule VII - Ambient Air Quality Monitoring & Air Quality Indices):
2. The Six Standard Air Quality Index (AQI) Levels:
 - 1. GOOD (AQI 0-50, Green): Air quality is considered satisfactory, and air pollution poses little or no risk.
 - 2. FAIR / MODERATE (AQI 51-100, Yellow): Air quality is acceptable; however, some pollutants may pose a moderate health concern for sensitive individuals.
 - 3. UNHEALTHY FOR SENSITIVE GROUPS (AQI 101-150, Orange): Members of sensitive groups (elderly, children, asthma patients) may experience health effects.
 - 4. VERY UNHEALTHY (AQI 151-200, Red): Everyone may begin to experience health effects; sensitive groups experience more serious effects.
 - 5. ACUTELY UNHEALTHY (AQI 201-300, Purple): Health alert: everyone may experience more serious health effects.
 - 6. EMERGENCY (AQI 301-500, Maroon): Health warnings of EMERGENCY CONDITIONS; the entire population is more likely to be seriously affected.
3. Option A is the verbatim scientific and administrative definition.

Common Trap: Thinking green means dangerous; Green indicates GOOD air, while MAROON / PURPLE indicates SEVERE / EMERGENCY pollution levels.
Exam Tip: Air Quality Index (AQI) = Measures PM2.5/pollutants; Green (Good) -> Yellow (Fair) -> Orange (Sensitive) -> Red (Unhealthy) -> Purple (Acutely Unhealthy) -> Maroon (EMERGENCY).","Correct. Survives elimination because environmental air standards define the Air Quality Index (AQI) as a calibrated measurement scale of criteria pollutants where maroon/purple designates an emergency condition posing severe health hazards to the entire population.","Eliminated because airline fares are commercial aviation pricing metrics having no relation to atmospheric air pollution indices.","Eliminated because green is the universal color-code for clean, good air quality.","Eliminated because audio decibel levels measure sound noise, not atmospheric chemical air quality.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Clean Air Act (RA 8749) | Very Difficult | Batch 177"
"Under Section 19 of RA 8749, what is the statutory requirement for industrial factories and power plants before they may operate stationary fuel-burning or emission-generating machinery?","They must obtain a valid 'PERMIT TO OPERATE' (PO) issued by the Environmental Management Bureau (EMB) of the DENR, proving that their emission control systems and industrial smokestacks meet national ambient and po∫-source emission standards.","They must pay an informal monthly cash tribute to the local barangay tanod.","They are exempt from all environmental permits if they employ more than ten workers.","They must build their smokestacks at exactly zero meters above ground level.","A","Step-by-Step Solution:
1. Statutory Text: RA 8749, Section 19 (Pollution from Stationary Sources):
 - 'The Department is hereby authorized to operate a PERMIT SYSTEM to manage emissions from stationary sources... No person shall install, operate, or modify any equipment or process that may cause or increase air pollution WITHOUT A VALID PERMIT TO OPERATE ISSUED BY THE EMB-DENR.'
2. Key Compliance Elements for Industrial Plants:
 - 1. Installation & Operation Permit: Must secure an Authority to Construct (A/C) and a valid Permit to Operate (PTO) from the DENR-EMB.
 - 2. Continuous Emission Monitoring System (CEMS): Major installations (coal plants, cement factories) must install CEMS directly linked to the EMB central telemetry server.
 - 3. Pollution Control Officer (PCO): Mandatory appointment of an accredited PCO to oversee environmental compliance.
 - 4. Heavy Fines: Operating without a PTO triggers immediate Cease and Desist Orders (CDO) and daily administrative fines (Section 45).
3. Option A is the verbatim statutory requirement.

Common Trap: Assuming an LTO or Mayor's permit is enough; stationary industrial air sources MUST HAVE A 'PERMIT TO OPERATE' FROM THE DENR-EMB.
Exam Tip: Industrial Stationary Sources (RA 8749, Sec. 19) = Mandatory 'PERMIT TO OPERATE' (PTO) issued by the DENR Environmental Management Bureau (EMB).","Correct. Survives elimination because Section 19 of RA 8749 strictly requires industrial facilities operating stationary emission sources to secure an official Permit to Operate from the DENR Environmental Management Bureau.","Eliminated because informal cash payments are illegal bribery and corruption under RA 3019.","Eliminated because large industrial employers are under heightened scrutiny to comply with national emission standards.","Eliminated because smokestacks must be elevated according to atmospheric dispersion modeling to prevent localized toxic fumigation.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Clean Air Act (RA 8749) | Very Difficult | Batch 177"
"Under Section 14 and 15 of RA 8749, what is the 'AIR QUALITY MANAGEMENT FUND' (AQMF), and how are its funds legally utilized?","A special trust fund managed by the DENR comprised of emission fees, fines, penalties, and clean air donations, exclusively earmarked for AIR QUALITY MONITORING, clean technology research, emissions testing equipment, and environmental enforcement programs.","A slush fund used to finance private political election campaigns.","A commercial bank account dedicated to purchasing luxury executive yachts for cabinet officials.","A fund used exclusively to pay parking fines for government employee private cars.","A","Step-by-Step Solution:
1. Statutory Text: RA 8749, Section 14:
 'Air Quality Management Fund. — An Air Quality Management Fund to be administered by the Department as a special account in the National Treasury is hereby established. It shall be financed from:
 (a) Emission charges and fees;
 (b) Fines and penalties imposed for violations of this Act;
 (c) Grants, donations, endowments and contributions...
 THE FUND SHALL BE USED EXCLUSIVELY TO FINANCE THE FOLLOWING:
 (1) Research, development, and monitoring programs on air quality;
 (2) Procurement of automated air monitoring and laboratory equipment;
 (3) Capability-building and training of regulatory and enforcement personnel;
 (4) Supporting the operations of Airshed Governing Boards.'
2. Fiduciary Safeguard: Section 14 explicitly prohibits diverting AQMF funds to general government spending or personal expenses.
3. Option A is the verbatim statutory mandate and purpose.

Common Trap: Believing environmental fines go into the general fund; Clean Air Act fines go directly into the AIR QUALITY MANAGEMENT FUND (AQMF) to fund air monitoring.
Exam Tip: Air Quality Management Fund (RA 8749, Sec. 14) = Special Trust Fund financed by emission fees and penalties, earmarked EXCLUSIVELY for air monitoring, clean research, and enforcement.","Correct. Survives elimination because Section 14 of RA 8749 creates the Air Quality Management Fund from emission fees and penalties, strictly earmarking its resources for air quality monitoring, research, laboratory equipment, and clean air enforcement.","Eliminated because using public trust funds for partisan election campaigns constitutes criminal malversation and graft.","Eliminated because purchasing luxury private yachts with trust funds is criminal corruption and plunder.","Eliminated because private parking violations are personal obligations that cannot be settled using dedicated clean air public funds.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Clean Air Act (RA 8749) | Very Difficult | Batch 177"
"Under Section 43 of RA 8749, what special institutional division was established within the Office of the Ombudsman to investigate and prosecute environmental offenses committed by public officials?","The SPECIAL ENVIRONMENTAL OMBUDSMAN (Team), mandated to prioritize the investigation and prosecution of administrative and criminal cases against government officials who fail or neglect to enforce environmental and clean air laws.","The Municipal Traffic Ticket Processing Unit.","The Private Bank Investment Advisory Board.","The International Tourism Marketing Directorate.","A","Step-by-Step Solution:
1. Statutory Authority: RA 8749, Section 43 & Memorandum of Agreement between DENR and Office of the Ombudsman:
 - Section 43 (Roles of Local Government Units and Agencies): Directs oversight bodies to hold public officials strictly accountable for environmental dereliction.
 - Creation of the Environmental Ombudsman: The Office of the Ombudsman established the 'Environmental Ombudsman Program' (Special Team on Environmental Complaints), spearheaded by Deputy Ombudsmen.
2. Mandate of the Environmental Ombudsman:
 - 1. Fact-Finding & Investigation: Investigates complaints filed by citizens against Mayors, Governors, Barangay Captains, and DENR regional officials for non-enforcement of RA 8749 (Clean Air Act), RA 9003 (Solid Waste Act), and RA 9275 (Clean Water Act).
 - 2. Direct Administrative Sanctions: Files formal charges of Gross Neglect of Duty, Dereliction of Duty, and Conduct Prejudicial to the Service, leading to suspensions and dismissals of erring local chief executives.
3. Option A is the precise, established institutional body.

Common Trap: Thinking environmental cases only go to regular courts; the SPECIAL ENVIRONMENTAL OMBUDSMAN investigates public officials who neglect environmental laws.
Exam Tip: Environmental Ombudsman (RA 8749 / RA 9003) = Specialized anti-graft prosecutorial team investigating public officials who fail to enforce environmental protection laws.","Correct. Survives elimination because the Office of the Ombudsman established the specialized Environmental Ombudsman to investigate, discipline, and prosecute public officials who willfully neglect their statutory environmental and clean air duties.","Eliminated because municipal traffic processing handles road citations, distinct from anti-corruption environmental oversight.","Eliminated because bank advisory boards are commercial finance entities having no prosecutorial authority.","Eliminated because tourism marketing promotes leisure travel rather than investigating statutory environmental neglect.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Clean Air Act (RA 8749) | Very Difficult | Batch 177"
