"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Choose the sentence that uses 'AFFECT' and 'EFFECT' with grammatical and contextual precision.","The new tax reform policy will significantly affect consumer spending, producing an immediate deflationary effect across the retail sector.","The new tax reform policy will significantly effect consumer spending, producing an immediate deflationary affect across the retail sector.","The new tax reform policy will significantly affect consumer spending, producing an immediate deflationary affect across the retail sector.","The new tax reform policy will significantly effect consumer spending, producing an immediate deflationary effect across the retail sector.","A","Step-by-Step Solution:
1. Rule for 'affect' vs. 'effect': 'Affect' is predominantly a verb meaning to influence or alter; 'Effect' is predominantly a noun meaning the result or outcome of a cause.
2. Clause 1 analysis: 'will significantly [verb] consumer spending' -> requires the verb 'affect'.
3. Clause 2 analysis: 'producing an immediate deflationary [noun] across retail' -> requires the noun 'effect'.
4. Option A contains 'affect' (verb) and 'effect' (noun).

Common Trap: Inverting the verb and noun forms in academic or economic prose.
Exam Tip: Remember RAVEN: Remember Affect is a Verb, Effect is a Noun (in standard formal contexts).","Correct. 'Affect' is properly used as a verb (to influence), and 'effect' is properly used as a noun (a result).","Eliminated because 'effect' is incorrectly used as a verb and 'affect' as a noun.","Eliminated because 'affect' cannot function as the noun for result in this context.","Eliminated because 'effect' is incorrectly used as the verb meaning to influence.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Confusing word pairs and precise diction | Difficult | Batch VA-006"
"Select the sentence that demonstrates the correct usage of 'DISINTERESTED' versus 'UNINTERESTED'.","The commission appointed a disinterested arbitrator who had no financial stake in either competing energy consortium.","The commission appointed an uninterested arbitrator who had no financial stake in either competing energy consortium.","Because the judge was disinterested in the legal arguments, she fell asleep during the closing summation.","A public official should be completely uninterested in hearing the grievances of marginalized citizens.","A","Step-by-Step Solution:
1. Distinguish definitions:
 - 'Disinterested' means impartial, unbiased, neutral, and having no personal or financial stake in the outcome.
 - 'Uninterested' means bored, indifferent, unconcerned, or lacking interest.
2. Judicial/arbitration context: An arbitrator must be impartial and unbiased ('disinterested'), not bored ('uninterested').
3. Option A correctly uses 'disinterested' for an unbiased third party.

Common Trap: Using 'disinterested' to mean 'bored' or 'not caring'.
Exam Tip: In legal and civil service contexts, judges and auditors must be 'disinterested' (impartial and objective).","Correct. 'Disinterested' correctly signifies being neutral, unbiased, and having no personal stake in the dispute.","Eliminated because 'uninterested' means bored or indifferent, which is inappropriate for an official appointment.","Eliminated because falling asleep reflects being bored ('uninterested'), not impartial ('disinterested').","Eliminated because ignoring citizens reflects callous indifference, not impartiality.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Confusing word pairs and precise diction | Difficult | Batch VA-006"
"Choose the sentence that correctly distinguishes between 'COMPLIMENT' and 'COMPLEMENT'.","The technical audit team is designed to complement the legal division, while the director offered a gracious compliment to both units for their synergy.","The technical audit team is designed to compliment the legal division, while the director offered a gracious complement to both units for their synergy.","The technical audit team is designed to compliment the legal division, while the director offered a gracious compliment to both units for their synergy.","The technical audit team is designed to complement the legal division, while the director offered a gracious complement to both units for their synergy.","A","Step-by-Step Solution:
1. Distinguish meanings:
 - 'Complement' (with 'e'): To complete, balance, or enhance something when combined with it.
 - 'Compliment' (with 'i'): A polite expression of praise, admiration, or congratulation.
2. Context 1: 'audit team is designed to [enhance/complete] the legal division' -> requires 'complement'.
3. Context 2: 'offered a gracious [praise]' -> requires 'compliment'.
4. Option A uses 'complement' first and 'compliment' second.

Common Trap: Spelling praise with 'e' (complement) or completion with 'i' (compliment).
Exam Tip: Remember that 'complEment' with an 'E' complEtes something; 'complIment' with an 'I' is an I-directed praIse.","Correct. 'Complement' correctly denotes completing or enhancing another unit, and 'compliment' denotes verbal praise.","Eliminated because 'compliment' is incorrectly used for structural enhancement, and 'complement' for verbal praise.","Eliminated because 'compliment' is used for both completion and praise.","Eliminated because 'complement' is used for both completion and praise.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Confusing word pairs and precise diction | Difficult | Batch VA-006"
"Select the sentence that properly uses 'EMINENT' versus 'IMMINENT'.","Given the imminent arrival of the typhoon, the eminent climatologist advised the disaster agency to execute immediate mandatory evacuations.","Given the eminent arrival of the typhoon, the imminent climatologist advised the disaster agency to execute immediate mandatory evacuations.","Given the imminent arrival of the typhoon, the imminent climatologist advised the disaster agency to execute immediate mandatory evacuations.","Given the eminent arrival of the typhoon, the eminent climatologist advised the disaster agency to execute immediate mandatory evacuations.","A","Step-by-Step Solution:
1. Distinguish meanings:
 - 'Eminent': Famous, distinguished, respected, or outstanding in a profession.
 - 'Imminent': About to happen very soon; impending or threatening.
2. Analysis:
 - Typhoon arrival: Happening soon -> 'imminent'.
 - Climatologist: Distinguished expert -> 'eminent'.
3. Option A correctly pairs 'imminent arrival' with 'eminent climatologist'.

Common Trap: Confusing 'eminent' (respected), 'imminent' (about to occur), and 'immanent' (inherent/indwelling).
Exam Tip: 'Imminent danger' or 'imminent storm' means approaching immediately.","Correct. 'Imminent' properly describes the impending arrival of the storm, and 'eminent' properly describes the distinguished scientist.","Eliminated because 'eminent' cannot describe the arrival of a storm, nor can 'imminent' describe a scientist's stature.","Eliminated because 'imminent' is incorrectly applied to the climatologist.","Eliminated because 'eminent' is incorrectly applied to the storm's arrival.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Confusing word pairs and precise diction | Difficult | Batch VA-006"
"Choose the sentence that correctly employs 'ILLICIT' versus 'ELICIT'.","The investigative panel sought to elicit testimony from the key witness regarding the illicit transfer of municipal assets.","The investigative panel sought to illicit testimony from the key witness regarding the elicit transfer of municipal assets.","The investigative panel sought to elicit testimony from the key witness regarding the elicit transfer of municipal assets.","The investigative panel sought to illicit testimony from the key witness regarding the illicit transfer of municipal assets.","A","Step-by-Step Solution:
1. Distinguish meanings:
 - 'Elicit' (verb with 'E'): To draw forth, evoke, or obtain a response, fact, or testimony.
 - 'Illicit' (adjective with 'I'): Forbidden by law, illegal, or contrary to accepted rules.
2. Context 1: 'sought to [draw forth] testimony' -> requires verb 'elicit'.
3. Context 2: '[unlawful/illegal] transfer' -> requires adjective 'illicit'.
4. Option A uses 'elicit' followed by 'illicit'.

Common Trap: Confusing the homophones 'elicit' (to draw out) and 'illicit' (unlawful).
Exam Tip: 'Illicit' has two 'L's like 'iLLegal'; 'Elicit' starts with 'E' like 'Extract'.","Correct. 'Elicit' is the verb meaning to draw forth facts, and 'illicit' is the adjective meaning unlawful or illegal.","Eliminated because 'illicit' is incorrectly used as a verb and 'elicit' as an adjective.","Eliminated because 'elicit' cannot modify a noun as an adjective for illegality.","Eliminated because 'illicit' cannot function as an action verb for extracting testimony.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Confusing word pairs and precise diction | Difficult | Batch VA-006"
"Select the sentence that correctly uses 'PRINCIPAL' versus 'PRINCIPLE'.","The principal reason for updating the procurement manual is to adhere strictly to the foundational principle of transparent public bidding.","The principle reason for updating the procurement manual is to adhere strictly to the foundational principal of transparent public bidding.","The principal reason for updating the procurement manual is to adhere strictly to the foundational principal of transparent public bidding.","The principle reason for updating the procurement manual is to adhere strictly to the foundational principle of transparent public bidding.","A","Step-by-Step Solution:
1. Distinguish meanings:
 - 'Principal' (adjective/noun): Primary, main, most important; or the head of a school/capital Σ.
 - 'Principle' (noun with '≤'): A fundamental truth, doctrine, moral rule, or standard of conduct.
2. Context 1: 'The [main/primary] reason' -> requires adjective 'principal'.
3. Context 2: 'foundational [moral rule/standard]' -> requires noun 'principle'.
4. Option A correctly uses 'principal reason' and 'foundational principle'.

Common Trap: Using 'principle' as an adjective meaning 'main'. Remember 'principle' is ALWAYS a noun.
Exam Tip: 'Principle' ends in '≤' like 'ruLE'. 'Principal' is your 'PAL' or the 'PRIncipal' (primary) item.","Correct. 'Principal' is correctly used as an adjective meaning main or primary, and 'principle' as a noun meaning a fundamental rule of conduct.","Eliminated because 'principle' cannot be used as an adjective, and 'principal' is not a moral doctrine.","Eliminated because 'principal' is incorrectly used for moral doctrine.","Eliminated because 'principle' cannot modify 'reason' as an adjective.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Confusing word pairs and precise diction | Difficult | Batch VA-006"
"Choose the sentence that demonstrates precise usage of 'CONTINUAL' versus 'CONTINUOUS'.","The team endured continual interruptions throughout the morning audit, while the data server maintained a continuous stream of real-time transaction logs.","The team endured continuous interruptions throughout the morning audit, while the data server maintained a continual stream of real-time transaction logs.","The team endured continual interruptions throughout the morning audit, while the data server maintained a continual stream of real-time transaction logs.","The team endured continuous interruptions throughout the morning audit, while the data server maintained a continuous stream of real-time transaction logs.","A","Step-by-Step Solution:
1. Distinguish meanings:
 - 'Continual': Recurring frequently and repeatedly with brief intervals or interruptions.
 - 'Continuous': Unbroken, uninterrupted in time or sequence; occurring without any cessation.
2. Context 1: Phone calls or door knocks -> 'continual interruptions' (repeated occurrences).
3. Context 2: Digital server data feed -> 'continuous stream' (unbroken uninterrupted flow).
4. Option A correctly pairs 'continual interruptions' with 'continuous stream'.

Common Trap: Treating 'continual' and 'continuous' as identical interchangeable synonyms.
Exam Tip: 'ContinUous' has 'U' for Unbroken flow; 'ContinUal' indicates intermittent repetition.","Correct. 'Continual' properly describes repeated recurring interruptions, while 'continuous' describes an unbroken, uninterrupted flow without cessation.","Eliminated because 'continuous' implies interruptions never stopped for a single second, and 'continual' mischaracterizes an uninterrupted data stream.","Eliminated because 'continual' incorrectly suggests the server stream stopped and started repeatedly.","Eliminated because 'continuous' is imprecise for separate individual interruptions.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Confusing word pairs and precise diction | Difficult | Batch VA-006"
"Select the sentence that properly distinguishes between 'ADVERSE' and 'AVERSE'.","The fiscal committee was averse to approving the high-risk bond flotation due to anticipated adverse market volatility.","The fiscal committee was adverse to approving the high-risk bond flotation due to anticipated averse market volatility.","The fiscal committee was adverse to approving the high-risk bond flotation due to anticipated adverse market volatility.","The fiscal committee was averse to approving the high-risk bond flotation due to anticipated averse market volatility.","A","Step-by-Step Solution:
1. Distinguish meanings:
 - 'Averse' (usually followed by 'to'): Having a strong disinclination, reluctance, or opposition (applied to people/attitudes).
 - 'Adverse': Unfavorable, hostile, harmful, or detrimental (applied to conditions, effects, or circumstances).
2. Context 1: 'committee was [reluctant/opposed] to approving' -> requires 'averse'.
3. Context 2: '[unfavorable/harmful] market volatility' -> requires 'adverse'.
4. Option A uses 'averse to' for people and 'adverse volatility' for conditions.

Common Trap: Saying 'adverse to risk' instead of 'averse to risk'.
Exam Tip: People are 'averse' (reluctant); conditions are 'adverse' (harmful/hostile).","Correct. 'Averse' correctly expresses the committee's reluctance/disinclination, while 'adverse' describes unfavorable, harmful market conditions.","Eliminated because 'adverse' is incorrectly used for personal reluctance, and 'averse' for market conditions.","Eliminated because 'adverse' cannot describe a person's disinclination.","Eliminated because 'averse' cannot describe market volatility.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Confusing word pairs and precise diction | Difficult | Batch VA-006"
"Choose the sentence that correctly employs 'APPRAISE' versus 'APPRISE'.","The department secretary asked the chief assessor to appraise the market value of the expropriated land and promptly apprise the cabinet of the final figures.","The department secretary asked the chief assessor to apprise the market value of the expropriated land and promptly appraise the cabinet of the final figures.","The department secretary asked the chief assessor to appraise the market value of the expropriated land and promptly appraise the cabinet of the final figures.","The department secretary asked the chief assessor to apprise the market value of the expropriated land and promptly apprise the cabinet of the final figures.","A","Step-by-Step Solution:
1. Distinguish meanings:
 - 'Appraise' (with 'a'): To assess the value, quality, or worth of property/performance.
 - 'Apprise' (with 'i'): To inform, notify, or advise someone of facts or developments.
2. Context 1: 'to [evaluate/value] the market value of land' -> requires 'appraise'.
3. Context 2: 'promptly [inform/notify] the cabinet' -> requires 'apprise'.
4. Option A uses 'appraise the value' and 'apprise the cabinet'.

Common Trap: Confusing 'appraise' (valuation) with 'apprise' (notification).
Exam Tip: An 'apprAIser' evaluates property value; to keep someone 'apprISed' is to keep them informed.","Correct. 'Appraise' is the verb for estimating monetary value, and 'apprise' is the verb meaning to notify or inform someone of developments.","Eliminated because 'apprise' is incorrectly used for valuation and 'appraise' for notification.","Eliminated because 'appraise' cannot mean to notify a cabinet.","Eliminated because 'apprise' cannot mean to determine real estate value.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Confusing word pairs and precise diction | Difficult | Batch VA-006"
"Select the sentence that properly uses 'STATIONARY' versus 'STATIONERY'.","The administrative staff ordered official stationery emblazoned with the department seal, which remained stationary in the warehouse pending distribution.","The administrative staff ordered official stationary emblazoned with the department seal, which remained stationery in the warehouse pending distribution.","The administrative staff ordered official stationery emblazoned with the department seal, which remained stationery in the warehouse pending distribution.","The administrative staff ordered official stationary emblazoned with the department seal, which remained stationary in the warehouse pending distribution.","A","Step-by-Step Solution:
1. Distinguish meanings:
 - 'Stationery' (with 'e'): Writing materials, office paper, envelopes, and letterheads.
 - 'Stationary' (with 'a'): Not moving, fixed in place, immobile, or unchanging in condition.
2. Context 1: 'official [paper/writing materials]' -> requires 'stationery' (with 'e').
3. Context 2: 'remained [immobile/unmoving] in warehouse' -> requires 'stationary' (with 'a').
4. Option A correctly uses 'stationery' for writing paper and 'stationary' for remaining immobile.

Common Trap: Mixing up the 'e' and 'a' in office supplies vs. motionless objects.
Exam Tip: Remember stationEry with an 'E' is for Envelopes and papEr; stationAry with an 'A' is At rest (motionless).","Correct. 'Stationery' (with 'e') properly refers to office paper/letterheads, and 'stationary' (with 'a') refers to being fixed in place and motionless.","Eliminated because 'stationary' is incorrectly used for paper supplies, and 'stationery' for immobility.","Eliminated because 'stationery' cannot describe the physical state of being unmoving.","Eliminated because 'stationary' cannot refer to printed envelopes or letterheads.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Confusing word pairs and precise diction | Difficult | Batch VA-006"
