"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Republic Act No. 10121 (The Philippine Disaster Risk Reduction and Management Act of 2010), what are the FOUR (4) THEMATIC PILLARS of the National DRRM Framework, and who are their respective LEAD VICE-CHAIRPERSON AGENCIES in the NDRRMC?","(1) DISASTER PREVENTION AND MITIGATION (DOST), (2) DISASTER PREPAREDNESS (DILG), (3) DISASTER RESPONSE (DSWD), and (4) DISASTER REHABILITATION AND RECOVERY (NEDA).","(1) Financial speculation (SEC), (2) Aviation routes (CAAP), (3) Maritime salvage (MARINA), and (4) Postal deliveries (PhilPost).","(1) Military combat (AFP), (2) Prison surveillance (BuCor), (3) Tax auditing (BIR), and (4) Foreign treaties (DFA).","(1) Commercial marketing (DTI), (2) Tourism promotion (DOT), (3) Mining extraction (MGB), and (4) Gaming lotteries (PAGCOR).","A","Step-by-Step Solution:
1. Statutory Authority: Republic Act No. 10121 (The Philippine DRRM Act of 2010, Section 3 & 5):
 - Chaired by: SECRETARY OF NATIONAL DEFENSE (DND).
 - Executive Arm: OFFICE OF CIVIL DEFENSE (OCD).
2. The Four Thematic Pillars & Lead Vice-Chairperson Departments:
 - 1. DISASTER PREVENTION AND MITIGATION:
 - Lead Agency / Vice-Chairperson: DEPARTMENT OF SCIENCE AND TECHNOLOGY (DOST) (including PAGASA, PHIVOLCS, hazard mapping, early warning technology).
 - 2. DISASTER PREPAREDNESS:
 - Lead Agency / Vice-Chairperson: DEPARTMENT OF THE INTERIOR AND LOCAL GOVERNMENT (DILG) (including LGU contingency planning, evacuation protocols, community training).
 - 3. DISASTER RESPONSE:
 - Lead Agency / Vice-Chairperson: DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT (DSWD) (including relief distribution, emergency shelter, search and rescue coordination).
 - 4. DISASTER REHABILITATION AND RECOVERY:
 - Lead Agency / Vice-Chairperson: NATIONAL ECONOMIC AND DEVELOPMENT AUTHORITY (NEDA) (including post-disaster needs assessment [PDNA], resilient reconstruction, livelihood restoration).
3. Option A is the verbatim statutory and institutional structure.

Common Trap: Forgetting which agency leads which pillar; DOST leads Prevention/Mitigation, DILG leads Preparedness, DSWD leads Response, and NEDA leads Rehabilitation/Recovery.
Exam Tip: The 4 DRRM Pillars (RA 10121) = (1) Prevention & Mitigation (DOST), (2) Preparedness (DILG), (3) Response (DSWD), (4) Rehabilitation & Recovery (NEDA).","Correct. Survives elimination because Section 5 of RA 10121 establishes the four thematic DRRM pillars led by DOST (Prevention/Mitigation), DILG (Preparedness), DSWD (Response), and NEDA (Rehabilitation/Recovery).","Eliminated because financial trading and postal operations are unrelated to the four statutory disaster management pillars.","Eliminated because penal surveillance and tax auditing are specialized administrative functions distinct from the DRRM thematic areas.","Eliminated because commercial marketing and gaming lotteries do not constitute statutory disaster risk reduction pillars.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Disaster Risk Reduction and Management Act of 2010 (RA 10121) | Very Difficult | Batch 181"
"Under Section 21 of Republic Act No. 10121, what is the mandatory budgetary allocation for the 'LOCAL DISASTER RISK REDUCTION AND MANAGEMENT FUND' (LDRRMF), and how must it be partitioned?","LGUs must allocate NOT LESS THAN FIVE PERCENT (5%) OF ESTIMATED REVENUE from regular sources to the LDRRMF, of which THIRTY PERCENT (30%) is allocated as a QUICK RESPONSE FUND (QRF) as a standby fund for relief during calamities, and SEVENTY PERCENT (70%) is allocated for pre-disaster preparedness, prevention, and mitigation.","LGUs must allocate 0% of their revenue to disaster funds.","LGUs must spend 100% of the disaster fund on executive holiday parties.","The entire disaster fund can only be used after all municipal buildings have been completely destroyed.","A","Step-by-Step Solution:
1. Statutory Text: Section 21, Republic Act No. 10121 (LDRRMF):
 'Local Disaster Risk Reduction and Management Fund (LDRRMF). — The present Local Calamity Fund shall henceforth be known as the Local Disaster Risk Reduction and Management Fund (LDRRMF). NOT LESS THAN FIVE PERCENT (5%) OF THE ESTIMATED REVENUE FROM REGULAR SOURCES SHALL BE SET ASIDE AS THE LDRRMF to support disaster risk management activities...
 THIRTY PERCENT (30%) OF THE AMOUNT APPROPRIATED FOR LDRRMF SHALL BE ALLOCATED AS QUICK RESPONSE FUND (QRF) or stand-by fund for relief and recovery programs in order that situation and living conditions of people in communities or areas stricken by disasters, calamities, epidemics, or complex emergencies, may be normalized as quickly as possible.'
2. The 70/30 Fund Partition:
 - 70% Pre-Disaster (Mitigation, Prevention, Preparedness): Early warning equipment, drainage construction, rescue boats, training drills, evacuation center upgrades.
 - 30% Post-Disaster (Quick Response Fund / QRF): Standby emergency relief food packs, medicines, temporary shelter cash assistance upon declaration of State of Calamity.
3. Option A is the verbatim statutory allocation and percentage split.

Common Trap: Thinking the entire 5% is only spent during disasters; SEVENTY PERCENT (70%) MUST BE SPENT ON PRE-DISASTER PREPAREDNESS AND MITIGATION.
Exam Tip: LDRRMF (RA 10121, Sec. 21) = AT LEAST 5% of regular revenue (70% Pre-Disaster Preparedness/Mitigation + 30% Quick Response Fund / QRF).","Correct. Survives elimination because Section 21 of RA 10121 mandates an allocation of not less than 5% of regular local revenue for the LDRRMF, structured into a 30% Quick Response Fund (QRF) for relief and a 70% allocation for pre-disaster preparedness and mitigation.","Eliminated because allocating 0% to disaster risk reduction is an illegal violation of RA 10121 and the Local Government Code.","Eliminated because diverting calamity funds to social parties is criminal malversation of public disaster funds.","Eliminated because 70% of the fund is statutorily designated for proactive pre-disaster prevention before any calamity occurs.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Disaster Risk Reduction and Management Act of 2010 (RA 10121) | Very Difficult | Batch 181"
"Under Section 21 of RA 10121, what happens to the UNEXPENDED OR UNUSED BALANCES of the Local Disaster Risk Reduction and Management Fund (LDRRMF) at the end of the fiscal year?","Unexpended LDRRMF balances accrue to a SPECIAL TRUST FUND solely for the purpose of supporting DRRM activities of the LDRRMC within the next FIVE (5) YEARS; balances unutilized after five years revert to the general fund and are made available for other social services.","Unused funds are automatically pocketed as cash bonuses by the city councilors.","Unused funds must be physically burned in the town square.","Unused funds are forfeited and transferred to foreign international banking cartels.","A","Step-by-Step Solution:
1. Statutory Text: Section 21, Republic Act No. 10121, 3rd paragraph:
 'Unexpended LDRRMF. — The unexpended LDRRMF SHALL ACCRUE TO A SPECIAL TRUST FUND SOLELY FOR THE PURPOSE OF SUPPORTING DISASTER RISK REDUCTION AND MANAGEMENT ACTIVITIES OF THE LDRRMC WITHIN THE NEXT FIVE (5) YEARS. Any such amount in the trust fund which is not fully utilized within the five (5) years SHALL REVERT TO THE GENERAL FUND and will be available for other social services to be identified by the local sanggunian.'
2. Accounting & Public Administration Principle (COA Circular No. 2012-002):
 - 1. Cumulative Resilience Savings: Disaster funds do not expire at year-end; they accumulate in a multi-year Special Trust Fund.
 - 2. 5-Year Capital Outlay Window: Allows LGUs to save up multiple years of unspent calamity funds to buy major disaster infrastructure (e.g., heavy excavation backhoes, high-capacity drainage pumps, multi-story engineered evacuation centers).
 - 3. Sunset Reversion: Only after 5 years of non-use does the balance revert to the LGU General Fund.
3. Option A is the verbatim statutory rule.

Common Trap: Thinking unused calamity funds immediately disappear or go back to general funds on December 31; they ACCRUE TO A SPECIAL TRUST FUND VALID FOR 5 YEARS.
Exam Tip: Unexpended LDRRMF (RA 10121, Sec. 21) = Accrues to a SPECIAL TRUST FUND for DRRM for FIVE (5) YEARS (reverts to general fund after 5 years).","Correct. Survives elimination because Section 21 of RA 10121 explicitly provides that unused LDRRMF balances transfer into a dedicated Special Trust Fund for DRRM activities valid for five years before reverting to the general fund.","Eliminated because converting public disaster funds into personal bonuses constitutes criminal plunder and malversation.","Eliminated because destroying public currency is a criminal offense under BSP regulations.","Eliminated because local municipal tax funds remain within domestic local government accounts.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Disaster Risk Reduction and Management Act of 2010 (RA 10121) | Very Difficult | Batch 181"
"Under Section 16 of Republic Act No. 10121, who possesses the legal authority to DECLARE A 'STATE OF CALAMITY', and what is the scope of such declaration?","The PRESIDENT OF THE PHILIPPINES may declare a State of Calamity over a cluster of LGUs, regions, or the entire nation upon recommendation of the NDRRMC; while the LOCAL SANGGUNIAN (City, Municipal, or Provincial Council) may declare a State of Calamity over its respective locality upon recommendation of the LDRRMC.","Only the Chief of Police of a municipality may declare a state of calamity.","A state of calamity can only be declared by private foreign shipping corporations.","A state of calamity is declared automatically whenever the stock market index drops by five points.","A","Step-by-Step Solution:
1. Statutory Text: Section 16, Republic Act No. 10121:
 'Declaration of State of Calamity. — The National Council shall recommend to the President of the Philippines the declaration of a cluster of barangays, municipalities, cities, provinces, and regions under a state of calamity, and the lifting thereof.
 THE PRESIDENT SHALL DECLARE A STATE OF CALAMITY UPON RECOMMENDATION OF THE NDRRMC...
 THE LOCAL SANGGUNIAN MAY ALSO DECLARE AND LIFT THE STATE OF CALAMITY WITHIN ITS AREA, upon the recommendation of the LDRRMC based on the results of the damage assessment and needs analysis.'
2. Two Tiers of Authority:
 - Tier 1 (National / Multi-Regional): The PRESIDENT OF THE PHILIPPINES (upon NDRRMC recommendation).
 - Tier 2 (Local / City / Province / Municipality): The LOCAL SANGGUNIAN (Sangguniang Panlalawigan / Panlungsod / Bayan) through a formal legislative resolution (upon LDRRMC recommendation).
3. Option A is the precise, complete statutory allocation of authority.

Common Trap: Thinking a Mayor can unilaterally declare a State of Calamity without the Sanggunian; at the local level, the DECLARATION IS MADE BY THE LOCAL SANGGUNIAN (Council) upon the recommendation of the LDRRMC.
Exam Tip: State of Calamity Declaration (RA 10121, Sec. 16) = National/Regional: PRESIDENT (via NDRRMC) | Local: LOCAL SANGGUNIAN (via LDRRMC).","Correct. Survives elimination because Section 16 of RA 10121 allocates the authority to declare a state of calamity to the President (for national/regional scopes upon NDRRMC recommendation) and the Local Sanggunian (for local jurisdictions upon LDRRMC recommendation).","Eliminated because police chiefs are law enforcement officers without statutory authority to declare legislative states of calamity.","Eliminated because declaring a state of calamity is an exercise of sovereign governmental authority.","Eliminated because financial market fluctuations do not meet the statutory criteria for declaring a natural or human-induced state of calamity.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Disaster Risk Reduction and Management Act of 2010 (RA 10121) | Very Difficult | Batch 181"
"What are the IMMEDIATE STATUTORY AND LEGAL EFFECTS of a formal declaration of a 'STATE OF CALAMITY' under RA 10121 and the Price Act (RA 7581)?","(1) AUTOMATIC PRICE FREEZE (Price Control) on basic necessities and prime commodities, (2) Programmed release and utilization of the QUICK RESPONSE FUND (QRF), (3) Granting of NO-INTEREST LOANS by government financial institutions (GSIS, SSS, Pag-IBIG), and (4) Moratorium on certain local charges.","(1) Automatic dissolution of all civilian courts, and (2) Tripling the retail price of rice and canned goods.","(1) Seizure of all private bank accounts by the military, and (2) Banning all communication.","(1) Mandatory evacuation of all citizens to foreign countries, and (2) Abolition of the Philippine peso.","A","Step-by-Step Solution:
1. Statutory Text & Synergy: Section 17, Republic Act No. 10121 & Republic Act No. 7581 (Price Act):
 'Remedial Measures. — The declaration of a state of calamity shall make mandatory the immediate undertaking of the following remedial measures:
 (a) Mandatory imposition of PRICE CEILING ON BASIC NECESSITIES AND PRIME COMMODITIES by the DTI, DA, and DOH pursuant to RA 7581;
 (b) Monitoring, prevention and control of overpricing/profiteering and hoarding of prime commodities, medicines and petroleum products;
 (c) PROGRAMMED DISBURSEMENT OF THE QUICK RESPONSE FUND (QRF) for relief, rescue, and rehabilitation;
 (d) GRANT OF NO-INTEREST LOANS by government financial institutions (GSIS, SSS, Pag-IBIG, LandBank, DBP) to the most affected populations...'
2. Option A matches the statutory effects verbatim.

Common Trap: Believing prices can be increased during a calamity; declaring a State of Calamity TRIGGERS AN AUTOMATIC STATUTORY PRICE FREEZE on basic food, water, and medicines.
Exam Tip: Legal Effects of State of Calamity = AUTOMATIC PRICE FREEZE (RA 7581) + Release of Quick Response Fund (QRF) + Zero-interest Calamity Loans.","Correct. Survives elimination because Section 17 of RA 10121 and the Price Act establish that declaring a State of Calamity triggers an automatic price freeze on basic goods, immediate disbursement of the Quick Response Fund (QRF), and emergency calamity loan access.","Eliminated because price gouging during a calamity is a criminal offense, and civilian courts remain active.","Eliminated because private bank accounts are protected and cannot be seized due to a natural calamity declaration.","Eliminated because foreign evacuation and currency abolition are fictitious measures contrary to disaster management laws.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Disaster Risk Reduction and Management Act of 2010 (RA 10121) | Very Difficult | Batch 181"
"Under Section 12 of RA 10121, what is the 'LOCAL DISASTER RISK REDUCTION AND MANAGEMENT OFFICE' (LDRRMO), and what is its staffing status in every Province, City, and Municipality?","The LDRRMO is a PERMANENT, REGULAR DEPARTMENT in every province, city, and municipality, staffed by permanent career civil service personnel under the direct supervision of the Local Chief Executive, responsible for setting the direction and implementing local DRRM programs.","The LDRRMO is an informal volunteer club that only exists during the month of December.","The LDRRMO is a private commercial travel agency that sells airline tickets to tourists.","The LDRRMO is a temporary ad hoc committee that meets once every ten years.","A","Step-by-Step Solution:
1. Statutory Text: Section 12, Republic Act No. 10121:
 'Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO IN EVERY PROVINCE, CITY AND MUNICIPALITY, and a Barangay Disaster Risk Reduction and Management Committee (BDRRMC) in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction.
 (b) THE LDRRMO SHALL BE UNDER THE OFFICE OF THE LOCAL CHIEF EXECUTIVE...
 (c) The LDRRMO shall be staffed by PERMANENT CAREER CIVIL SERVICE PERSONNEL...'
2. Operational Structure of an LDRRMO (Sections):
 - (1) Research and Planning Section;
 - (2) Operations and Warning Section (24/7 Disaster Operations Center);
 - (3) Training and Education Section.
3. In Barangays: Functions through the Barangay Disaster Risk Reduction and Management Committee (BDRRMC) as a regular committee of the Sangguniang Barangay.
4. Option A is the verbatim statutory mandate and staffing structure.

Common Trap: Thinking local disaster management is just handled by part-time volunteers; RA 10121 MANDATES A PERMANENT, REGULAR LDRRMO with permanent career civil service personnel.
Exam Tip: LDRRMO (RA 10121, Sec. 12) = PERMANENT REGULAR OFFICE in every Province, City, and Municipality staffed by career civil service personnel.","Correct. Survives elimination because Section 12 of RA 10121 mandates the institutionalization of the LDRRMO as a permanent, regular local government office staffed by career civil service personnel under the local chief executive.","Eliminated because the LDRRMO is a permanent, year-round operational government department, not an informal December club.","Eliminated because the LDRRMO is a public emergency management agency, not a commercial travel business.","Eliminated because disaster offices operate 24/7 continuous monitoring operations rather than meeting once a decade.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Disaster Risk Reduction and Management Act of 2010 (RA 10121) | Very Difficult | Batch 181"
"Under Section 19 of Republic Act No. 10121, which of the following is a STRICTLY PROHIBITED ACT during disaster situations punishable by heavy fines, perpetual disqualification, and criminal imprisonment?","(1) Preventing the entry and distribution of relief goods, (2) Buying, selling, or stealing relief goods, (3) Tampering with or substituting relief items with substandard goods, and (4) Deliberately spreading false or misleading news about disasters.","(1) Donating certified clean drinking water to evacuation centers, and (2) Operating a mobile emergency soup kitchen.","(1) Participating in voluntary community search and rescue training under the Red Cross.","(1) Re-routing traffic around a flooded bridge to protect public motorists.","A","Step-by-Step Solution:
1. Statutory Text: Section 19, Republic Act No. 10121 (Prohibited Acts):
 'Prohibited Acts. — Any person, group or corporation who commits any of the following prohibited acts shall be held liable and be subjected to the penalties provided in Section 20 of this Act:
 (a) Dereliction of duties which leads to destruction, loss of lives, critical damage of facilities;
 (b) PREVENTING THE ENTRY AND DISTRIBUTION OF RELIEF GOODS IN DISASTER-STRICKEN AREAS, including appropriate technology, tools, equipment, accessories, disasterteams/experts;
 (c) BUYING, FOR CONSUMPTION OR RESALE, FROM PERSONS WHO RECEIVED DISASTER RELIEF PACKS;
 (d) BUYING, FOR CONSUMPTION OR RESALE, DISASTER RELIEF GOODS, EQUIPMENT OR OTHER AID COMMODITIES WHICH ARE INTENDED FOR DISTRIBUTION TO DISASTER VICTIMS;
 (e) CONVERTING, SELLING OR REDISTRIBUTING RELIEF GOODS;
 (f) TAMPERING WITH OR SUBSTITUTING RELIEF GOODS, equipment or other aid commodities with other goods or commodities;
 (g) DELIBERATELY SPREADING FALSE OR ALARMING INFORMATION BY ANY MEANS OR MEDIA...'
2. Penalties (Section 20): Fines of PHP 50,000 to PHP 500,000 and/or imprisonment of 6 to 12 years, plus perpetual disqualification from public office for public officials.
3. Option A is the verbatim statutory enumeration of prohibited disaster crimes.

Common Trap: Thinking fake news during typhoons is just a social media post; DELIBERATELY SPREADING FALSE DISASTER INFORMATION OR HOARDING RELIEF GOODS IS A MAJOR CRIME under Section 19 of RA 10121.
Exam Tip: Prohibited Acts during Disasters (RA 10121, Sec. 19) = Stealing/reselling relief goods + Tampering relief packs + Blocking relief distribution + SPREADING FALSE DISASTER INFORMATION.","Correct. Survives elimination because Section 19 of RA 10121 explicitly criminalizes blocking relief distribution, stealing or reselling relief packs, tampering with relief supplies, and deliberately disseminating false or panic-inducing disaster reports.","Eliminated because donating relief water and operating emergency kitchens are lawful humanitarian relief actions.","Eliminated because participating in disaster rescue training is encouraged under community preparedness programs.","Eliminated because rerouting traffic away from dangerous floodwaters is an authorized public safety measure.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Disaster Risk Reduction and Management Act of 2010 (RA 10121) | Very Difficult | Batch 181"
"What is the fundamental PARADIGM SHIFT institutionalized by Republic Act No. 10121 in Philippine disaster governance, moving away from Presidential Decree No. 1566?","A shift from a REACTIVE, RELIEF-AND-RESPONSE APPROACH (simply waiting for disasters to strike and distributing relief) to a PROACTIVE, HOLISTIC, AND COMPREHENSIVE DISASTER RISK REDUCTION AND MANAGEMENT (DRRM) APPROACH emphasizing prevention, mitigation, and institutional preparedness.","A shift from civilian governance to absolute military martial law during all rainy months.","A shift that makes natural disasters illegal and punishable by administrative fines against the clouds.","A shift that bans all weather forecasts and meteorological radar systems.","A","Step-by-Step Solution:
1. Historical & Statutory Background:
 - Old Law: Presidential Decree No. 1566 (Promulgated in 1978 during the Marcos Sr. regime).
 - Flaw: Highly centralized, top-down, and almost exclusively focused on REACTIVE DISASTER RESPONSE (post-disaster rescue, evacuation, and giving relief goods).
 - New Law: Republic Act No. 10121 (The Philippine DRRM Act of 2010):
 - The Monumental Paradigm Shift:
 1. From Reactive to Proactive: Recognizing that disasters are not merely natural events; disaster risk is a function of Hazard x Vulnerability x Exposure / Capacity.
 2. Comprehensive DRRM: Equal focus on DISASTER PREVENTION AND MITIGATION (drainage, zoning, reforestation) and DISASTER PREPAREDNESS (drills, early warning) BEFORE hazards occur.
 3. Building Back Better: Ensuring that post-disaster recovery builds resilient, climate-proof infrastructure rather than rebuilding previous vulnerabilities.
2. Option A is the classic, verbatim policy and academic formulation.

Common Trap: Thinking disaster management is just handing out sardine cans and noodles; RA 10121 INSTITUTIONALIZED A PROACTIVE DISASTER RISK REDUCTION PARADIGM.
Exam Tip: RA 10121 Paradigm Shift = From REACTIVE emergency relief (PD 1566) to PROACTIVE, COMPREHENSIVE DISASTER RISK REDUCTION (Prevention, Mitigation, Preparedness).","Correct. Survives elimination because RA 10121 replaced the reactive emergency response framework of PD 1566 with a proactive, comprehensive disaster risk reduction paradigm prioritizing pre-disaster mitigation and preparedness.","Eliminated because RA 10121 reinforces civilian-led disaster management through civilian local chief executives and the OCD.","Eliminated because natural weather hazards are environmental phenomena addressed through science and engineering rather than legal penalties against nature.","Eliminated because RA 10121 prioritizes Doppler radar expansion and meteorological science under DOST-PAGASA.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Disaster Risk Reduction and Management Act of 2010 (RA 10121) | Very Difficult | Batch 181"
"Under the National DRRM Framework and DOST protocols, what are the THREE (3) MAIN NATURAL GEOPHYSICAL AND HYDRO-METEOROLOGICAL EARLY WARNING SYSTEMS operated in the Philippines?","(1) PAGASA Tropical Cyclone Warning Signals and Heavy Rainfall Warning System (Color-Coded: Yellow, Orange, Red), (2) PHIVOLCS Volcano Alert Levels (0 to 5), and (3) PHIVOLCS Earthquake and Tsunami Warning Information.","(1) Stock market bell alerts, (2) Traffic light countdown timers, and (3) Airplane boarding chimes.","(1) Public library opening bells, (2) Municipal church bell chimes for noon prayer, and (3) Radio soap opera musical jingles.","(1) Commercial television commercial breaks, (2) Cinema movie start trailers, and (3) Retail supermarket sale announcements.","A","Step-by-Step Solution:
1. Scientific & Early Warning Authority: DOST (Department of Science and Technology) / NDRRMC Thematic Pillar 1 (Prevention & Mitigation):
2. Core Early Warning Systems in the Philippines:
 - 1. PAGASA (Weather & Hydrology):
 - Tropical Cyclone Wind Signals (TCWS #1 to #5, up to Super Typhoons > 185 km/h).
 - Color-Coded Heavy Rainfall Warning System (CRWS):
 - YELLOW (7.5-15 mm/hr rain): MONITOR weather condition (Possible flooding in low-lying areas).
 - ORANGE (15-30 mm/hr rain): ALERT for possible flooding/landslides.
 - RED (> 30 mm/hr rain or continuous torrential): EVACUATION advised/enforced (Severe flooding/landslides).
 - General Flood Advisories for Major River Basins.
 - 2. PHIVOLCS (Seismology & Volcanology):
 - Volcano Alert Level System (Alert 0: Normal to Alert 5: Hazardous Eruption in Progress).
 - PHIVOLCS Earthquake Intensity Scale (PEIS I to X).
 - Tsunami Warning Bulletin (Advisory vs Warning requiring immediate evacuation).
3. Option A is the precise, complete scientific and early warning framework.

Common Trap: Forgetting the Color-Coded Rainfall System; YELLOW = Monitor | ORANGE = Alert | RED = EVACUATE.
Exam Tip: Early Warning Systems = PAGASA (Wind Signals 1-5 & Rainfall: Yellow/Orange/Red) + PHIVOLCS (Volcano Alerts 0-5, PEIS Intensity & Tsunami Warnings).","Correct. Survives elimination because DOST-PAGASA and DOST-PHIVOLCS operate the national early warning frameworks: tropical cyclone wind signals, color-coded rainfall warnings (Yellow/Orange/Red), volcanic alert levels (0-5), and tsunami warning bulletins.","Eliminated because financial and transit indicators are urban commercial signals, not disaster early warning systems.","Eliminated because devotional bells and broadcast jingles are cultural media, not scientific hazard alerts.","Eliminated because retail advertisements and cinema previews are entertainment marketing, completely unrelated to early warning safety systems.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Disaster Risk Reduction and Management Act of 2010 (RA 10121) | Very Difficult | Batch 181"
"What is the principle of 'BUILDING BACK BETTER' institutionalized in post-disaster recovery under Republic Act No. 10121 and the Sendai Framework for Disaster Risk Reduction?","The principle that the recovery, rehabilitation, and reconstruction phase must NOT merely restore the previous vulnerable conditions, but must REBUILD STRONGER, SAFER, MORE RESILIENT, AND CLIMATE-PROOF INFRASTRUCTURE, housing, and socioeconomic systems to prevent future disaster losses.","The policy of building all public schools out of flammable dried grass.","The requirement to rebuild damaged bridges using the exact same defective blueprints that caused them to collapse.","The doctrine of permanently abandoning disaster-hit cities without any reconstruction assistance.","A","Step-by-Step Solution:
1. Statutory & International Framework:
 - Section 3(ee), Republic Act No. 10121 (Post-Disaster Recovery & Rehabilitation).
 - Priority 4, Sendai Framework for Disaster Risk Reduction (2015-2030): 'Enhancing disaster preparedness for effective response and to 'BUILD BACK BETTER' in recovery, rehabilitation and reconstruction.'
2. Core Tenets of 'Building Back Better' (BBB):
 - 1. Breaking the Vulnerability Cycle: Disasters occur when natural hazards expose pre-existing vulnerabilities (e.g., poorly engineered buildings, houses on landslide cliffs, clogged drainage). Simply restoring things to their pre-disaster state guarantees that the next typhoon or earthquake will destroy them again.
 - 2. Resilient Reconstruction: Upgrading structural building codes (e.g., engineering schools and evacuation centers to withstand Category 5 super typhoons and Intensity VIII earthquakes), enforcing 'No Build Zones' along dangerous shorelines and fault lines, elevating electrical substations, and restoring green coastal biosheilds.
 - 3. Socioeconomic Resilience: Rebuilding diversified sustainable livelihoods for affected farmers and fisherfolk.
3. Option A is the comprehensive scientific, international, and statutory definition.

Common Trap: Thinking disaster recovery means putting things back exactly how they were; 'BUILD BACK BETTER' MEANS REBUILDING STRONGER AND RESILIENT to prevent future disaster collapse.
Exam Tip: Build Back Better (RA 10121 / Sendai Framework) = Rebuild safer, stronger, and more resilient infrastructure and communities to avoid repeating past disaster vulnerabilities.","Correct. Survives elimination because Section 3(ee) of RA 10121 and the Sendai Framework define 'Building Back Better' as using the recovery and reconstruction phase to integrate disaster risk reduction and build stronger, more resilient infrastructure and communities.","Eliminated because constructing public infrastructure with flammable dried materials creates catastrophic fire hazards.","Eliminated because repeating defective structural designs perpetuates structural vulnerability and violates building engineering codes.","Eliminated because the State has an affirmative statutory duty to support post-disaster rehabilitation and recovery under Pillar 4.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Philippine Disaster Risk Reduction and Management Act of 2010 (RA 10121) | Very Difficult | Batch 181"
