"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Passage: A 10-year trend dataset shows annual government health expenditure (PHP billions) from 2014 to 2023: 2014=87.4, 2015=94.2, 2016=103.8, 2017=118.6, 2018=127.3, 2019=141.7, 2020=186.4, 2021=172.3, 2022=189.8, 2023=204.6. Based on the trend data, which BEST describes the dominant trend pattern over the full 10-year period?","An overall strong upward trend in health expenditure, with a single notable dip in 2021 following the exceptional 2020 surge, and resumed growth through 2023.","A perfectly linear upward trend with equal year-on-year increments throughout the decade.","A cyclical pattern alternating between growth and decline in every other year.","A downward trend following the 2020 peak that continued through 2023.","A","Step-by-Step Solution:
1. Analyze the year-over-year changes:
   - 2014→2015: +6.8B.
   - 2015→2016: +9.6B.
   - 2016→2017: +14.8B.
   - 2017→2018: +8.7B.
   - 2018→2019: +14.4B.
   - 2019→2020: +44.7B (massive surge—COVID-19 response).
   - 2020→2021: -14.1B (DECLINE).
   - 2021→2022: +17.5B.
   - 2022→2023: +14.8B.
2. Dominant pattern: Strong general upward trend across the decade with one exception—a dip in 2021 following the 2020 spike. By 2022-2023, expenditure resumed its growth above pre-dip levels.
3. Option A correctly describes this pattern.
4. Evaluate incorrect alternatives:
   - Option B: Growth increments are NOT equal; they range from 6.8B to 44.7B.
   - Option C: Cyclical alternating decline/growth does not match—most years showed growth.
   - Option D: After 2021's dip, expenditure grew again in 2022-2023; the trend resumed upward.

Common Trap: Focusing only on the 2021 dip and concluding a post-2020 downward trend.
Exam Tip: Dominant trend analysis requires viewing the full period; a single temporary reversal does not change the fundamental direction if the broader trajectory continues upward.","Correct. Survives elimination because the decade shows consistent upward growth interrupted by a single 2021 dip, with the trend fully resuming and reaching new highs by 2022-2023.","Eliminated because year-on-year increments range from 6.8B to 44.7B—far from equal; the trend is not linear.","Eliminated because the series shows decline in only one year (2021), not a regular alternating growth/decline pattern each year.","Eliminated because health expenditure in 2022 (189.8B) and 2023 (204.6B) exceeded the previous 2021 trough (172.3B) and even the 2020 level (186.4B), confirming a resumed upward trend—not a continued downward trend.","Analytical Ability","Analytical Ability | Data Interpretation | Trends | Pattern Identification | Very Difficult | Batch 111"
"Passage: Enrollment data for a university shows the following annual figures over seven years: Year 1=18,420; Year 2=19,140; Year 3=19,870; Year 4=21,320; Year 5=20,840; Year 6=21,760; Year 7=22,480. An education analyst is asked to characterize the enrollment trend for planning purposes. Which characterization is MOST ACCURATE?","A generally upward enrollment trend with a minor dip in Year 5 (20,840) that was quickly recovered and exceeded in Year 6, suggesting strong structural growth with one exception.","A steady and uninterrupted year-on-year decline throughout all seven years.","A U-shaped trend where enrollment declined first, then recovered.","An exponential growth trend doubling enrollment every three years.","A","Step-by-Step Solution:
1. Verify year-over-year changes:
   - Y1→Y2: +720. Y2→Y3: +730. Y3→Y4: +1,450. Y4→Y5: -480 (DECLINE). Y5→Y6: +920. Y6→Y7: +720.
2. One dip in Year 5; all other years showed growth.
3. Dominant trend: upward with a single Y5 interruption.
4. Option A correctly characterizes this as upward with a minor dip.
5. Evaluate incorrect alternatives:
   - Option B: Only one year declined; the series is predominantly growing.
   - Option C: U-shaped requires an initial decline then recovery—but Years 1-4 all grew (no initial decline).
   - Option D: Year 1=18,420; doubling in 3 years would require Year 4≈36,840—actual Year 4=21,320. Not exponential.

Common Trap: Describing the Year 5 dip as a trend reversal rather than a temporary fluctuation within an ongoing upward trend.
Exam Tip: A single dip within a predominantly upward trend is correctly characterized as an 'upward trend with a minor exception' rather than a cyclical or reversing pattern.","Correct. Survives elimination because six of seven year-over-year periods show growth, and Year 5's dip was immediately reversed in Year 6, confirming a dominant upward trend with a single temporary exception.","Eliminated because only one year (Year 4→5) showed decline; 'steady and uninterrupted year-on-year decline' contradicts the six growth periods in the data.","Eliminated because a U-shaped pattern requires an initial declining phase before recovery; Years 1-4 all showed consistent growth without a declining start.","Eliminated because enrollment grew from 18,420 to 22,480 over 7 years—approximately 22% total growth, far from a doubling every three years which would require exponential rates.","Analytical Ability","Analytical Ability | Data Interpretation | Trends | Trend Characterization | Very Difficult | Batch 111"
"Passage: A municipal revenue trend report presents the following annual data (PHP millions): Year 1=42.8; Year 2=45.3; Year 3=48.7; Year 4=52.1; Year 5=55.9; Year 6=60.4; Year 7=65.2; Year 8=70.8; Year 9=76.9; Year 10=83.4. Based on the trend, which statement about the GROWTH PATTERN is most accurate?","Revenue growth shows an accelerating trend—the year-on-year increments themselves are increasing, suggesting compounding growth rather than linear growth.","Revenue grows at exactly the same absolute amount each year, indicating perfectly linear growth.","Revenue growth decelerates over time, with smaller additions each year.","Revenue follows a random, unpredictable pattern with no consistent trend direction.","A","Step-by-Step Solution:
1. Calculate year-over-year increments:
   - Y1→Y2: +2.5. Y2→Y3: +3.4. Y3→Y4: +3.4. Y4→Y5: +3.8. Y5→Y6: +4.5. Y6→Y7: +4.8. Y7→Y8: +5.6. Y8→Y9: +6.1. Y9→Y10: +6.5.
2. Observe the increments: 2.5, 3.4, 3.4, 3.8, 4.5, 4.8, 5.6, 6.1, 6.5—generally increasing over time.
3. This indicates ACCELERATING growth (each year adds more than the previous), consistent with compound or near-exponential growth.
4. Option A is correct.
5. Evaluate incorrect alternatives:
   - Option B: Equal increments would require all years to add the same amount; actual increments range from 2.5 to 6.5.
   - Option C: Decelerating would mean increments shrink; they grow here.
   - Option D: All nine increments are positive; the pattern is clearly directional upward with growing increments.

Common Trap: Confusing linear growth (constant increments) with accelerating growth (growing increments); both trend upward, but the pattern of the increments distinguishes them.
Exam Tip: To identify growth pattern type, calculate year-over-year increments and check if they are constant (linear), growing (accelerating/compound), or shrinking (decelerating).","Correct. Survives elimination because the year-over-year revenue increments increase over time (from 2.5M in Y1-Y2 to 6.5M in Y9-Y10), confirming accelerating—not linear or decelerating—growth.","Eliminated because annual increments range from PHP 2.5M to PHP 6.5M—they are clearly not equal; perfectly linear growth requires identical annual additions.","Eliminated because the year-over-year increments are increasing (not decreasing) over time; decelerating growth would show shrinking annual additions.","Eliminated because all nine year-over-year changes are positive and increasing; the data has a clear, consistent upward directional trend with growing increments.","Analytical Ability","Analytical Ability | Data Interpretation | Trends | Growth Acceleration | Very Difficult | Batch 111"
"Passage: A 6-year temperature anomaly dataset (departure from historical average, in °C) is recorded: Year 1=+0.4; Year 2=+0.6; Year 3=+0.3; Year 4=+0.8; Year 5=+1.1; Year 6=+1.4. An environmental scientist is asked to interpret the trend. Which conclusion is MOST SUPPORTED by the six-year trend data?","The temperature anomaly shows an overall upward trend, with Year 3 as a temporary dip below the short-term pattern, and accelerating positive departures in Years 4-6.","Temperatures have been declining consistently over the six-year period.","The Year 3 dip (-0.3°C from Year 2) represents a structural cooling trend reversal.","The data shows temperatures are returning to historical averages since the anomaly is diminishing.","A","Step-by-Step Solution:
1. Trace the anomaly values: 0.4→0.6→0.3→0.8→1.1→1.4.
2. All values are POSITIVE (above historical average)—all years are warmer than average.
3. While Year 3 dipped from Year 2's 0.6 to 0.3, Year 4 rebounded to 0.8, and Years 5-6 reached new highs (1.1, 1.4).
4. Overall trend: upward, with Year 3 as a temporary dip within an accelerating warming trend.
5. Option A correctly identifies this pattern.
6. Evaluate incorrect alternatives:
   - Option B: All values are positive and the series ends at 1.4 (highest)—not a declining trend.
   - Option C: The Year 3 dip is -0.3 FROM Year 2 (0.6→0.3), not -0.3 in absolute terms; all values remain positive above average. The trend strongly resumes upward in Years 4-6.
   - Option D: The anomaly is INCREASING (0.4 to 1.4), not diminishing; temperatures are moving further from historical averages.

Common Trap: Interpreting the Year 3 dip from 0.6 to 0.3 as evidence of cooling, rather than a temporary reduction within a larger warming trend.
Exam Tip: A temporary dip within a long-run upward trend represents volatility, not trend reversal; evaluate the full series trajectory rather than isolated period-to-period changes.","Correct. Survives elimination because temperature anomalies rose from +0.4°C (Year 1) to +1.4°C (Year 6) with all values positive and accelerating increases in Years 4-6 after a temporary Year 3 dip.","Eliminated because all six anomaly values are positive (above historical average), and the series ends at 1.4°C—the highest anomaly recorded; there is no declining trend.","Eliminated because the Year 3 drop from 0.6 to 0.3 is a within-positive-range fluctuation; by Year 4, anomalies rebounded to 0.8 and continued rising—no structural cooling reversal occurred.","Eliminated because temperature anomalies increased from +0.4°C to +1.4°C over six years—temperatures are moving further from historical averages, not returning to them.","Analytical Ability","Analytical Ability | Data Interpretation | Trends | Trend Interpretation | Very Difficult | Batch 111"
"Passage: Monthly foreign tourist arrivals (in thousands) to a destination over a 12-month period are as follows: Jan=42.1, Feb=48.7, Mar=54.3, Apr=61.8, May=58.4, Jun=52.1, Jul=48.6, Aug=51.3, Sep=55.7, Oct=62.4, Nov=68.9, Dec=74.2. Based on the trend data, which BEST describes the seasonal pattern?","A bimodal pattern with two peak periods—April-May (peak 1) and October-December (peak 2)—separated by a trough in June-August, suggesting dual high-season tourism cycles.","A single-peak season concentrated exclusively in December, with no other high-traffic period.","A completely flat pattern with no discernible seasonality across all twelve months.","A downward trend from April through December with no recovery.","A","Step-by-Step Solution:
1. Identify peaks (local maxima) and troughs (local minima):
   - Jan-Apr: Rising (42.1→61.8). April = local peak.
   - Apr-Aug: Declining (61.8→48.6). August = local trough.
   - Aug-Dec: Rising (48.6→74.2). December = global peak.
2. Two distinct rising phases: Jan-Apr and Aug-Dec.
3. One mid-year trough: June-August (low season).
4. This is a bimodal seasonal pattern—two high seasons separated by a mid-year dip.
5. Option A correctly describes this bimodal pattern.
6. Evaluate incorrect alternatives:
   - Option B: April (61.8K) is also a local peak—not exclusively December.
   - Option C: Arrivals range from 42.1K to 74.2K—clear seasonality, not flat.
   - Option D: Arrivals rose from August through December—no sustained downward trend.

Common Trap: Missing the April-May local peak and characterizing the season as single-peaked at December.
Exam Tip: Bimodal seasonal trends have two distinct rising phases separated by a mid-period trough; identify all local maxima and minima to characterize the complete seasonal pattern.","Correct. Survives elimination because the data shows two rising phases—January to April (peak 1 at 61.8K) and August to December (peak 2 at 74.2K)—separated by a mid-year trough in June-August (minimum 48.6K).","Eliminated because April (61.8K) and the Oct-Dec surge represent two distinct peak periods—the season is not concentrated exclusively in December.","Eliminated because arrivals range from 42.1K (January) to 74.2K (December)—a 76% range difference is clear evidence of seasonal variation, not a flat pattern.","Eliminated because arrivals rose from August (48.6K) through December (74.2K); the post-August period is one of the two peak seasons, not a continued decline.","Analytical Ability","Analytical Ability | Data Interpretation | Trends | Seasonal Pattern | Very Difficult | Batch 111"
"Passage: Annual rice import volumes (metric tons) for a country over eight years are as follows: Year 1=420,000; Year 2=387,000; Year 3=351,000; Year 4=298,000; Year 5=312,000; Year 6=341,000; Year 7=378,000; Year 8=421,000. Based on the trend, which of the following is MOST LIKELY TRUE if the trend from Year 5 to Year 8 continues at the same AVERAGE ANNUAL GROWTH RATE through Year 10?","Year 10 rice imports would exceed 500,000 metric tons, given the average annual growth rate of approximately 10.5% observed from Year 5 to Year 8.","Year 10 rice imports would decline to below 300,000 metric tons due to sustained import reduction.","Year 10 rice imports would stabilize at exactly 421,000 metric tons based on the Year 8 plateau.","Year 10 rice imports would exceed 1 million metric tons due to exponential import demand.","A","Step-by-Step Solution:
1. Calculate year-over-year growth rates from Year 5 to Year 8:
   - Y5→Y6: (341-312)/312 = 9.3%.
   - Y6→Y7: (378-341)/341 = 10.9%.
   - Y7→Y8: (421-378)/378 = 11.4%.
2. Average annual growth rate Y5-Y8 ≈ (9.3+10.9+11.4)/3 = 31.6/3 ≈ 10.5%.
3. Project to Year 10 (two more years from Year 8):
   - Year 9 = 421,000 × 1.105 = 465,205 MT.
   - Year 10 = 465,205 × 1.105 = 514,051 MT.
4. Year 10 projected ≈ 514,000 MT > 500,000 MT. Option A is correct.
5. Evaluate incorrect alternatives:
   - Option B: The trend from Y5-Y8 is upward (rising from 312K to 421K), not declining.
   - Option C: The trend is rising 10.5%/year—it would not plateau at 421K.
   - Option D: 1 million MT would require approximately 140% growth—far above the 10.5% rate.

Common Trap: Using the full 8-year trend (which includes an initial decline) rather than the specific upward trend from Year 5 to Year 8 as instructed.
Exam Tip: Read projection questions carefully; when asked to project based on a specified sub-period trend (Y5-Y8), use only that sub-period's growth rate, not the entire dataset's rate.","Correct. Survives elimination because projecting Year 8's 421,000 MT forward two years at approximately 10.5% annual growth yields Year 10 ≈ 514,000 MT, exceeding 500,000 MT.","Eliminated because the Y5-Y8 trend is consistently upward (312K to 421K); a decline to below 300,000 MT contradicts the observed growth direction in that sub-period.","Eliminated because the Y5-Y8 trend shows accelerating growth (9.3%, 10.9%, 11.4%); a flat plateau at 421,000 MT in Year 10 is inconsistent with this growth trajectory.","Eliminated because at 10.5% annual growth, doubling takes approximately 7 years—reaching 1 million MT from 421,000 would require far longer than two additional years.","Analytical Ability","Analytical Ability | Data Interpretation | Trends | Trend Projection | Very Difficult | Batch 111"
"Passage: A 5-year trend shows the number of annual traffic accidents on a national highway: Year 1=1,247; Year 2=1,183; Year 3=1,098; Year 4=1,042; Year 5=987. Road safety engineers need to project when accidents could fall below 900 if the current trend continues. Based on the trend data, in which year would accidents MOST LIKELY fall below 900?","Year 7, given the average annual reduction of approximately 65 accidents per year ((1,247-987)/4=65), which would bring the count from 987 (Year 5) to approximately 857 by Year 7 (987-65-65=857<900).","Year 6, since accidents would decline by the full Year 1 amount in one year.","Year 10, because accident reduction rates slow significantly over time.","Year 20, because complex traffic systems reduce improvements to near-zero levels.","A","Step-by-Step Solution:
1. Calculate average annual reduction:
   - Total reduction Y1-Y5: 1,247-987 = 260 accidents over 4 years.
   - Average annual reduction: 260/4 = 65 accidents/year.
2. Project from Year 5 (987 accidents):
   - Year 6: 987-65 = 922 accidents (still above 900).
   - Year 7: 922-65 = 857 accidents (BELOW 900) ✓.
3. Accidents would fall below 900 in Year 7.
4. Option A is correct.
5. Evaluate incorrect alternatives:
   - Option B: Year 6 = 922 accidents—still above 900. Not yet below 900.
   - Option C: At 65/year, falling from 987 to below 900 takes 2 years, not 5.
   - Option D: 20 years is far too long given the consistent 65/year trend.

Common Trap: Selecting Year 6 because one reduction step seems sufficient, without verifying that 987-65=922 is still above 900.
Exam Tip: For linear trend projections, calculate average annual change first, then project step-by-step until the threshold is crossed.","Correct. Survives elimination because at an average decline of 65 accidents per year, Year 6 yields 922 (still above 900) and Year 7 yields 857 (below 900).","Eliminated because Year 6's projected count (987-65=922) is still above the 900 threshold; one more year of decline is needed.","Eliminated because at a consistent 65-accident annual reduction, the 900-threshold is crossed in Year 7—far earlier than Year 10.","Eliminated because the series shows consistent, structural improvement of 65 accidents per year; 20 years far overstates the time to reach 900 given the observed steady trend.","Analytical Ability","Analytical Ability | Data Interpretation | Trends | Linear Projection | Very Difficult | Batch 111"
"Passage: Annual public school teacher vacancy data over six years shows: Year 1=12,400; Year 2=14,800; Year 3=17,600; Year 4=21,200; Year 5=25,400; Year 6=30,400. The Department of Education is studying whether the vacancy trend is linear or exponential. Based on the trend data, which characterization is MOST ACCURATE, and what does this imply for future planning?","The vacancies show a near-exponential growth pattern with increasing annual additions (2,400; 2,800; 3,600; 4,200; 5,000), implying the vacancy problem is accelerating and will require increasingly large hiring batches each year.","The vacancies show a perfectly linear trend with constant annual additions of 3,600 vacancies per year.","The vacancies show a decelerating trend where annual additions are diminishing, suggesting the problem is self-correcting.","The vacancies show a random walk with no predictable trend, making future planning impossible.","A","Step-by-Step Solution:
1. Calculate year-over-year additions:
   - Y1→Y2: +2,400. Y2→Y3: +2,800. Y3→Y4: +3,600. Y4→Y5: +4,200. Y5→Y6: +5,000.
2. The additions are increasing each year: 2,400→2,800→3,600→4,200→5,000.
3. This is an accelerating (near-exponential) growth pattern—vacancies are growing at a faster rate each year.
4. Implication: Without intervention, the hiring gap will grow larger each year.
5. Option A correctly identifies accelerating growth.
6. Evaluate incorrect alternatives:
   - Option B: A linear trend would require constant additions (e.g., 3,000/year throughout). Actual additions range from 2,400 to 5,000—not constant.
   - Option C: Decelerating would show smaller additions each year; additions are increasing here.
   - Option D: All five year-over-year changes are positive and increasing—a clear, consistent pattern.

Common Trap: Confusing the consistent upward direction (present in both linear and exponential trends) with a linear trend; the KEY distinction is whether the increments themselves grow or remain constant.
Exam Tip: Linear trend = constant increments; exponential/accelerating trend = growing increments; deceleration = shrinking increments. Always compute the increments themselves to classify the growth type.","Correct. Survives elimination because annual vacancy additions increased from 2,400 (Y1-Y2) to 5,000 (Y5-Y6)—growing increments confirm an accelerating, near-exponential trend requiring escalating hiring intervention.","Eliminated because a linear trend requires constant annual additions; actual additions range from 2,400 to 5,000—clearly not constant throughout the six-year period.","Eliminated because the annual additions are increasing (2,400→5,000), not decreasing; decelerating growth would show smaller additions each year.","Eliminated because all five year-over-year changes are positive and consistently increasing—a highly predictable accelerating pattern, not a random walk.","Analytical Ability","Analytical Ability | Data Interpretation | Trends | Exponential vs Linear | Very Difficult | Batch 111"
"Passage: Monthly electricity consumption (kWh, in millions) for a province over 12 months: Jan=842; Feb=817; Mar=789; Apr=761; May=736; Jun=724; Jul=738; Aug=754; Sep=771; Oct=788; Nov=812; Dec=841. Based on the trend data, which of the following CORRECTLY identifies the INFLECTION POINTS and overall pattern?","The data has a single minimum inflection point in June (724M kWh), with declining consumption from January to June and rising consumption from June to December, forming a U-shaped seasonal pattern.","The data shows a uniformly declining trend throughout all twelve months.","The data shows a uniformly increasing trend throughout all twelve months.","The data has two inflection points in March and September, indicating a W-shaped consumption pattern.","A","Step-by-Step Solution:
1. Trace the trend:
   - Jan-Jun: 842→817→789→761→736→724 = consistently DECLINING.
   - Jun-Dec: 724→738→754→771→788→812→841 = consistently RISING.
2. June (724) = the single minimum/trough point.
3. The pattern from Jan-Dec describes a downward arc then upward arc = U-shape (or 'valley' shape).
4. There is ONE inflection point: June.
5. Option A correctly identifies June as the minimum and the U-shaped pattern.
6. Evaluate incorrect alternatives:
   - Option B: Consumption ROSE from June to December—not a uniform decline.
   - Option C: Consumption DECLINED from January to June—not a uniform increase.
   - Option D: March and September are not inflection points; the only direction change is at June.

Common Trap: Identifying the months with smallest/largest values rather than correctly identifying inflection points (where the direction of change reverses).
Exam Tip: An inflection point occurs where the trend direction reverses (from decreasing to increasing, or vice versa); a single inflection point creates a U-shape (one trough) or an inverted-U shape (one peak).","Correct. Survives elimination because consumption consistently declined from January (842M kWh) to June (724M kWh, minimum), then consistently rose from June to December (841M kWh), creating a single U-shaped inflection at June.","Eliminated because consumption rose steadily from June (724M kWh) through December (841M kWh)—the second half shows clear upward movement, contradicting a uniform full-year decline.","Eliminated because consumption declined steadily from January (842M kWh) through June (724M kWh)—the first half shows clear downward movement, contradicting a uniform full-year increase.","Eliminated because March and September are not inflection points; the consumption trend reverses only once—at June—creating a single U-shaped trough, not a W-shape.","Analytical Ability","Analytical Ability | Data Interpretation | Trends | Inflection Points | Very Difficult | Batch 111"
"Passage: A provincial poverty incidence trend over 10 years shows the following data points: Year 1=38.4%; Year 2=36.1%; Year 3=34.7%; Year 4=33.2%; Year 5=31.8%; Year 6=30.4%; Year 7=29.1%; Year 8=27.6%; Year 9=26.3%; Year 10=25.1%. A development economist is asked to evaluate the trend. Which of the following is BEST supported by the trend?","The poverty incidence shows a consistent, near-linear decline of approximately 1.4 percentage points per year, suggesting steady structural economic development over the decade.","The poverty incidence declined rapidly in the first five years and decelerated significantly in the second five years.","The poverty incidence shows an accelerating decline, with progressively larger annual reductions each year.","The poverty incidence reached zero by Year 10, indicating complete elimination of poverty.","A","Step-by-Step Solution:
1. Calculate year-over-year reductions:
   - Y1→Y2: -2.3; Y2→Y3: -1.4; Y3→Y4: -1.5; Y4→Y5: -1.4; Y5→Y6: -1.4; Y6→Y7: -1.3; Y7→Y8: -1.5; Y8→Y9: -1.3; Y9→Y10: -1.2.
2. After the initial Y1→Y2 drop (-2.3), all subsequent annual reductions range from -1.2 to -1.5—remarkably consistent.
3. Average annual reduction (Y2-Y10): (36.1-25.1)/8 = 11.0/8 = 1.375 ≈ 1.4 pp/year.
4. Pattern: Near-linear decline at approximately 1.4 pp/year after Year 1.
5. Option A is the most accurate characterization.
6. Evaluate incorrect alternatives:
   - Option B: Y1-Y5 average reduction ≈ (38.4-31.8)/4 = 1.65 pp/year; Y6-Y10 average ≈ (30.4-25.1)/4 = 1.325 pp/year. There is slight deceleration but NOT 'significant' deceleration.
   - Option C: Annual reductions are generally constant or slightly declining (1.4→1.2)—decelerating slightly, NOT accelerating.
   - Option D: Year 10 = 25.1%—clearly not zero.

Common Trap: Selecting Option B because annual reductions are slightly higher in the first half (avg ~1.65) vs. second half (avg ~1.3)—while technically true, this is not 'significant' deceleration; 'near-linear' better captures the dominant characteristic.
Exam Tip: When annual changes are consistently similar (within 0.5 pp of each other for most periods), characterize the trend as 'near-linear' rather than accelerating or decelerating.","Correct. Survives elimination because annual poverty reductions cluster closely around 1.4 percentage points per year (except for the initial Y1-Y2 larger drop), best characterized as a consistent near-linear decline.","Eliminated because the difference in average annual reduction between the first half (~1.65 pp/year) and second half (~1.33 pp/year) is modest—not 'significant deceleration'; both halves show consistent decline.","Eliminated because annual reductions range from -1.2 to -1.5 pp (after Year 1) with no upward trend in magnitude; an accelerating decline would show progressively larger annual reductions.","Eliminated because Year 10's poverty incidence is 25.1%—well above zero; complete poverty elimination has not occurred.","Analytical Ability","Analytical Ability | Data Interpretation | Trends | Slope Analysis | Very Difficult | Batch 111"
