"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"DEFECTOR: APOSTASY:: EMBEZZLER: ______","PECULATION","ARBITRATION","SUBROGATION","RECTIFICATION","A","Step-by-Step Solution:
1. Analyze the persona-to-characteristic-action relationship in the initial word pair (DEFECTOR: APOSTASY):
 - A \""defector\"" is an apostate individual whose signature defining act (ACTION) is \""apostasy\"" (the formal renunciation or abandonment of one's allegiance, faith, or state).
 - Relationship: Archetypal actor PERSON-TO-DEFINING ACT/MISCONDUCT.
2. Determine the defining criminal act (ACTION) characterizing an \""EMBEZZLER\"":
 - An \""embezzler\"" is a corrupt agent whose signature criminal act (ACTION) is \""peculation\"" (the fraudulent misappropriation or theft of public or entrusted institutional funds).
 - Therefore, EMBEZZLER is to PECULATION as DEFECTOR is to APOSTASY.
3. Evaluate incorrect alternatives:
 - Option B (Arbitration): The lawful hearing and determination of a dispute by an impartial third party.
 - Option C (Subrogation): The legal substitution of one person or creditor in the place of another.
 - Option D (Rectification): The formal act of correcting an error or making something 

Common Trap: Selecting arbitration or subrogation (legitimate legal doctrines) instead of the financial crime (peculation).
Exam Tip: Defector commits Apostasy; Embezzler commits Peculation (exact persona-to-signature act).","Correct. Survives elimination because a defector's characteristic act is apostasy, just as an embezzler's characteristic act is financial peculation.","Eliminated because arbitration is an impartial dispute settlement process.","Eliminated because subrogation is the legal substitution of a creditor.","Eliminated because rectification is corrective amendment.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Person-action | Very Difficult | Batch 067"
"ORATOR: DECLAIM:: JUGGLER: ______","MANIPULATE","RECITE","MEDITATE","COGITATE","A","Step-by-Step Solution:
1. Analyze the professional performance action in the initial word pair (ORATOR: DECLAIM):
 - An \""orator\"" is a public speaker whose characteristic professional ACTION is to \""declaim\"" (to deliver a speech impassionedly and with rhetorical elegance).
 - Relationship: Performer/practitioner PERSON-TO-CHARACTERISTIC PERFORMANCE ACTION.
2. Determine the corresponding signature physical action executed by a \""JUGGLER\"":
 - A \""juggler\"" is a performer whose characteristic physical action is to \""manipulate\"" (skillfully balance, toss, and control multiple objects concurrently in motion).
 - Therefore, JUGGLER is to MANIPULATE as ORATOR is to DECLAIM.
3. Evaluate incorrect alternatives:
 - Option B (Recite): To repeat aloud from memory (an oral performance action of an actor or poet).
 - Option C (Meditate): Quiet contemplation (an ascetic action).
 - Option D (Cogitate): To think deeply about something.

Common Trap: Selecting recite (an oratorical/verbal action) rather than the physical dexterous handling (manipulate) required for juggling.
Exam Tip: Orator's art is to Declaim; Juggler's art is to Manipulate.","Correct. Survives elimination because an orator's signature action is to declaim rhetorically, just as a juggler's signature action is to manipulate objects with physical dexterity.","Eliminated because reciting is an oral verbal performance.","Eliminated because meditating is internal mental reflection.","Eliminated because cogitating is deep intellectual thought.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Person-action | Very Difficult | Batch 067"
"ARBITRATOR: MEDIATE:: PROSECUTOR: ______","INDICT","EXCULPATE","PARDON","ADJUDICATE","A","Step-by-Step Solution:
1. Analyze the legal role action in the initial word pair (ARBITRATOR: MEDIATE):
 - An \""arbitrator\"" is a neutral dispute resolver whose primary official ACTION is to \""mediate\"" (facilitate settlement or render a binding arbitral award).
 - Relationship: Legal institutional officer PERSON-TO-CHARACTERISTIC STATUTORY ACTION.
2. Determine the corresponding primary official legal action executed by a state \""PROSECUTOR\"":
 - A state \""prosecutor\"" (fiscal) is a public legal officer whose primary official statutory action is to \""indict\"" (to formally bring criminal charges and prosecute an accused perpetrator).
 - Therefore, PROSECUTOR is to INDICT as ARBITRATOR is to MEDIATE.
3. Evaluate incorrect alternatives:
 - Option B (Exculpate): To clear from blame or guilt (the objective of defense counsel).
 - Option C (Pardon): The executive clemency prerogative of the President.
 - Option D (Adjudicate): The judicial determination performed by a judge.

Common Trap: Selecting adjudicate (a judge's duty) or pardon (a chief executive's power) instead of the prosecutor's signature action (indict).
Exam Tip: Arbitrator mediates disputes; Prosecutor indicts criminal defendants.","Correct. Survives elimination because an arbitrator's primary role is to mediate, while a prosecutor's primary statutory role is to formally indict and prosecute.","Eliminated because exculpation is the goal of defense attorneys.","Eliminated because granting a pardon is an executive clemency prerogative of the Head of State.","Eliminated because adjudicating is the constitutional role of a trial judge.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Person-action | Very Difficult | Batch 067"
"SUPPLICANT: IMPLORE:: TYRANT: ______","OPPRESS","CONCILIATE","ACQUIESCE","CAPITULATE","A","Step-by-Step Solution:
1. Analyze the archetypal behavioral action in the initial word pair (SUPPLICANT: IMPLORE):
 - A \""supplicant\"" is a humble, earnest petitioner whose defining characteristic ACTION is to \""implore\"" (to beg or plead earnestly and urgently).
 - Relationship: Archetypal persona PERSON-TO-DEFINING BEHAVIORAL ACTION.
2. Determine the defining characteristic action of a despotic \""TYRANT\"":
 - A \""tyrant\"" is an authoritarian ruler whose defining characteristic action is to \""oppress\"" (to subjugate subjects through unjust severity and cruel exercise of power).
 - Therefore, TYRANT is to OPPRESS as SUPPLICANT is to IMPLORE.
3. Evaluate incorrect alternatives:
 - Option B (Conciliate): To placate or make peace (contrary to tyrannical aggression).
 - Option C (Acquiesce): To accept something reluctantly without protest (submissive action).
 - Option D (Capitulate): To surrender or cease resisting (submissive action).

Common Trap: Selecting submissive terms like acquiesce or capitulate, which describe the victims rather than the tyrant.
Exam Tip: Supplicant implores (begs humbly); Tyrant oppresses (rules ruthlessly).","Correct. Survives elimination because a supplicant's defining action is to implore, just as a tyrant's defining action is to oppress subjects.","Eliminated because conciliation is peaceful mediation.","Eliminated because acquiescence is passive submission.","Eliminated because capitulation is surrendering to demands.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Person-action | Very Difficult | Batch 067"
"CARTOGRAPHER: DELINEATE:: LEXICOGRAPHER: ______","COMPILE","INVENT","CENSOR","SCULPT","A","Step-by-Step Solution:
1. Analyze the specialized scholar/craftsman action in the initial word pair (CARTOGRAPHER: DELINEATE):
 - A \""cartographer\"" is a professional mapmaker whose core technical ACTION is to \""delineate\"" (to accurately trace, outline, and map out geographical boundaries).
 - Relationship: Specialized professional PERSON-TO-SIGNATURE TECHNICAL ACTION.
2. Determine the corresponding signature technical action executed by a \""LEXICOGRAPHER\"":
 - A \""lexicographer\"" is a scholar who writes dictionaries, whose signature professional action is to \""compile\"" (to collect, systematize, and record vocabulary definitions based on linguistic evidence).
 - Therefore, LEXICOGRAPHER is to COMPILE as CARTOGRAPHER is to DELINEATE.
3. Evaluate incorrect alternatives:
 - Option B (Invent): To create from fiction (the creative action of a novelist).
 - Option C (Censor): To suppress or redact sensitive content (the action of a censor board).
 - Option D (Sculpt): To carve stone/clay (the physical action of a sculptor).

Common Trap: Selecting invent (lexicographers do not invent words; they compile existing usage).
Exam Tip: Cartographer delineates borders; Lexicographer compiles dictionaries.","Correct. Survives elimination because a cartographer's core action is to delineate boundaries, while a lexicographer's core action is to compile linguistic data into dictionaries.","Eliminated because lexicographers document language rather than invent it.","Eliminated because censoring is official redaction.","Eliminated because sculpting is carving 3D figures.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Person-action | Very Difficult | Batch 067"
"ICONOCLAST: CHALLENGE:: ZEALOT: ______","PROSELYTIZE","RECANT","OSCILLATE","EQUIVOCATE","A","Step-by-Step Solution:
1. Analyze the ideological behavioral disposition in the initial word pair (ICONOCLAST: CHALLENGE):
 - An \""iconoclast\"" is an individual who actively attacks or \""challenges\"" cherished beliefs, dogmas, and established institutions.
 - Relationship: Ideological persona PERSON-TO-DEFINING PASSIONATE ACTION.
2. Determine the defining passionate ideological action executed by a \""ZEALOT\"":
 - A \""zealot\"" is an uncompromising, fanatical adherent whose defining passionate action is to \""proselytize\"" (to fervently preach, recruit, and attempt to convert others to one's religious or political doctrine).
 - Therefore, ZEALOT is to PROSELYTIZE as ICONOCLAST is to CHALLENGE.
3. Evaluate incorrect alternatives:
 - Option B (Recant): To formally retract or renounce one's former beliefs (an act anathema to a zealot).
 - Option C (Oscillate): To waver unsteadily between opposing opinions.
 - Option D (Equivocate): To speak ambiguously to conceal the truth.

Common Trap: Selecting recant or oscillate, which describe indecisive or cowardly reversals directly opposite to a zealot's fervent conviction.
Exam Tip: Iconoclast challenges dogmas; Zealot proselytizes beliefs.","Correct. Survives elimination because an iconoclast's defining action is to challenge established orthodoxy, while a zealot's defining action is to proselytize fanatically.","Eliminated because recanting is the renunciation of faith.","Eliminated because oscillating is wavering in uncertainty.","Eliminated because equivocating is speaking with deceptive ambiguity.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Person-action | Very Difficult | Batch 067"
"SCIENTIST: HYPOTHESIZE:: DETECTIVE: ______","SURMISE","FABRICATE","DISREGARD","ABSOLVE","A","Step-by-Step Solution:
1. Analyze the investigative cognitive action in the initial word pair (SCIENTIST: HYPOTHESIZE):
 - A \""scientist\"" is a researcher whose foundational deductive/inductive ACTION is to \""hypothesize\"" (to formulate a provisional explanatory conjecture based on limited preliminary evidence).
 - Relationship: Professional investigator PERSON-TO-CHARACTERISTIC INFERENTIAL ACTION.
2. Determine the corresponding inferential action executed by an investigative \""DETECTIVE\"":
 - A \""detective\"" is an investigator whose characteristic analytical action is to \""surmise\"" (to infer and deduce plausible case narratives from fragmentary forensic clues).
 - Therefore, DETECTIVE is to SURMISE as SCIENTIST is to HYPOTHESIZE.
3. Evaluate incorrect alternatives:
 - Option B (Fabricate): To invent fraudulent evidence (unlawful misconduct).
 - Option C (Disregard): To ignore relevant leads.
 - Option D (Absolve): To formally declare someone free from guilt (a judicial function).

Common Trap: Selecting fabricate (criminal planting of evidence) rather than legitimate cognitive deduction (surmise).
Exam Tip: Scientist hypothesizes theories; Detective surmises motives and sequences.","Correct. Survives elimination because a scientist formulates hypotheses from data, just as a detective formulates surmises from investigative clues.","Eliminated because fabricating evidence is unlawful corruption.","Eliminated because disregarding facts violates investigative duty.","Eliminated because absolving is the prerogative of a judge.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Person-action | Very Difficult | Batch 067"
"SYCOPHANT: FLATTER:: CRITIC: ______","CENSURE","ADORE","EXTOL","CAPITULATE","A","Step-by-Step Solution:
1. Analyze the interpersonal behavioral action in the initial word pair (SYCOPHANT: FLATTER):
 - A \""sycophant\"" is a servile flatterer whose signature behavioral ACTION is to \""flatter\"" (praise insincerely and excessively to gain personal advantage).
 - Relationship: Behavioral archetype PERSON-TO-SIGNATURE APPRAISAL ACTION.
2. Determine the signature analytical appraisal action executed by an uncompromising \""CRITIC\"":
 - A \""critic\"" is a professional evaluator whose signature duty is to scrutinize, assess, and \""censure\"" (express rigorous critical judgment, po∫ out defects, or condemn aesthetic/moral faults).
 - Therefore, CRITIC is to CENSURE as SYCOPHANT is to FLATTER.
3. Evaluate incorrect alternatives:
 - Option B (Adore): To love deeply and uncritically.
 - Option C (Extol): To praise enthusiastically and without reservation (the opposite of critical scrutiny).
 - Option D (Capitulate): To surrender unconditionally.

Common Trap: Selecting extol or adore, which represent uncritical adoration contrary to the critic's analytical censure.
Exam Tip: Sycophant flatters (servile praise); Critic censures (sharp, discerning judgment).","Correct. Survives elimination because a sycophant's defining behavior is to flatter obsequiously, while a critic's defining behavior is to evaluate and censure defects.","Eliminated because adoring is emotional uncritical devotion.","Eliminated because extolling is unqualified high praise.","Eliminated because capitulating is surrendering.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Person-action | Very Difficult | Batch 067"
"SURGEON: EXCISE:: AUDITOR: ______","SCRUTINIZE","EMBEZZLE","FALSIFY","FABRICATE","A","Step-by-Step Solution:
1. Analyze the core professional procedure in the initial word pair (SURGEON: EXCISE):
 - A \""surgeon\"" is a clinical practitioner whose core operative ACTION is to \""excise\"" (surgically cut out and remove diseased or necrotic tissue).
 - Relationship: Licensed professional PERSON-TO-CORE SPECIALIZED INTERVENTION ACTION.
2. Determine the core analytical professional action executed by a financial \""AUDITOR\"":
 - An \""auditor\"" is a licensed financial inspector whose core professional action is to \""scrutinize\"" (meticulously examine, verify, and inspect accounting records for discrepancies and fraud).
 - Therefore, AUDITOR is to SCRUTINIZE as SURGEON is to EXCISE.
3. Evaluate incorrect alternatives:
 - Option B (Embezzle): To criminally misappropriate funds (the crime auditors detect).
 - Option C (Falsify): To alter records fraudulently.
 - Option D (Fabricate): To invent fraudulent data.

Common Trap: Selecting embezzlement or falsification (the illicit crimes auditors investigate rather than commit).
Exam Tip: Surgeon excises tumors; Auditor scrutinizes financial statements.","Correct. Survives elimination because a surgeon's specialized intervention is to excise diseased tissue, while an auditor's specialized intervention is to scrutinize financial ledgers.","Eliminated because embezzling is a financial crime discovered by auditors.","Eliminated because falsifying is fraudulent alteration of accounts.","Eliminated because fabricating is forging fictitious records.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Person-action | Very Difficult | Batch 067"
"CHOREOGRAPHER: BLOCK:: CONDUCTOR: ______","SYNCHRONIZE","INTONE","COMPOSE","IMPROVISE","A","Step-by-Step Solution:
1. Analyze the artistic directing action in the initial word pair (CHOREOGRAPHER: BLOCK):
 - A \""choreographer\"" is a dance director whose core technical ACTION is to \""block\"" (plan, design, and stage the physical movements and spatial positions of dancers).
 - Relationship: Creative director PERSON-TO-SIGNATURE TECHNICAL DIRECTING ACTION.
2. Determine the corresponding signature directing action executed by an orchestral \""CONDUCTOR\"":
 - A \""conductor\"" is a musical ensemble director whose signature technical action is to \""synchronize\"" (beat time, control tempo, and unify the disparate instrumental sections into precise rhythmic harmony).
 - Therefore, CONDUCTOR is to SYNCHRONIZE as CHOREOGRAPHER is to BLOCK.
3. Evaluate incorrect alternatives:
 - Option B (Intone): To chant or vocalize musical tones (the action of a singer or liturgist).
 - Option C (Compose): To write and author original musical scores (the action of a composer).
 - Option D (Improvise): To perform unscripted music spontaneously (a jazz soloist's action).

Common Trap: Selecting compose (written by composers, whereas conductors direct and synchronize the live ensemble).
Exam Tip: Choreographer blocks dancer movements; Conductor synchronizes orchestral players.","Correct. Survives elimination because a choreographer's technical role is to block stage movements, just as a conductor's technical role is to synchronize ensemble tempo and phrasing.","Eliminated because intoning is vocal chanting.","Eliminated because composing is authoring the musical score.","Eliminated because improvising is spontaneous unscripted soloing.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Person-action | Very Difficult | Batch 067"
