"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 7(a) of Republic Act No. 6713, what is the strict statutory prohibition regarding 'FINANCIAL AND MATERIAL INTEREST' in government transactions?","Public officials and employees shall not, directly or indirectly, have any financial or material interest in any transaction requiring the approval of their office.","Public officials may own a 50% share in a catering company that supplies their own office cafeteria provided they do not cook the food themselves.","Public servants are permitted to bid for government procurement contracts in their own agency under their minor child's name.","Financial interest is prohibited only if the value of the contract exceeds one billion pesos.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 7(a):
 'Prohibited Acts and Transactions. — In addition to acts and omissions of public officials and employees now prescribed in the Constitution and existing laws, the following shall constitute prohibited acts and transactions of any public official and employee and are hereby declared to be unlawful:
 (a) Financial and material interest. — Public officials and employees SHALL NOT, DIRECTLY OR INDIRECTLY, HAVE ANY FINANCIAL OR MATERIAL INTEREST IN ANY TRANSACTION REQUIRING THE APPROVAL OF THEIR OFFICE.'
2. Core Legal Rules:
 - 1. Absolute Prohibition: Having direct or indirect financial interest in transactions approved by one's office creates an inherent, incurable conflict of interest.
 - 2. Direct vs Indirect: Covers transactions entered into by the official directly, or indirectly through dummies, corporations where the official is a major stockholder, or business entities run by close family members.
 - 3. Criminal & Administrative Sanction (Section 11, RA 6713 & Section 3[h], RA 3019): Punishable by imprisonment of up to 5 years, administrative DISMISSAL FROM SERVICE, and forfeiture of retirement benefits.
3. Option A is the verbatim statutory prohibition.

Common Trap: Believing using a family member or corporate name is legal; the statute explicitly covers DIRECT OR INDIRECT financial interests.
Exam Tip: RA 6713, Sec. 7(a) = Strict ban on DIRECT OR INDIRECT financial or material interest in any transaction requiring the approval of their office.","Correct. Survives elimination because Section 7(a) of RA 6713 unequivocally prohibits public officials from having any direct or indirect financial or material interest in transactions subject to the approval of their office.","Eliminated because owning a stake in a company supplying one's own government office is an unlawful direct financial interest under Section 7(a).","Eliminated because using a minor child's name as a dummy constitutes an unlawful indirect financial interest and gross dishonesty.","Eliminated because the statutory prohibition applies to all transactions regardless of contract value.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Prohibited acts | Very Difficult | Batch 163"
"Under Section 7(b) of RA 6713, what is the 'ONE-YEAR POST-EMPLOYMENT BAN' (Revolving Door Prohibition) imposed on retired or resigned public officials?","Public officials and employees who retire, resign, or are separated from public service are prohibited for a period of ONE (1) YEAR from practicing their profession or accepting employment in any private enterprise in connection with any matter before the office they used to be with.","Former public officials are prohibited for twenty-five years from owning any private bank accounts.","Retired civil servants can immediately represent private corporate clients before their former direct subordinates on their first day of retirement.","Resigned public officers are barred for life from residing within the Philippines.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 7(b), last paragraph:
 'These prohibitions shall CONTINUE TO APPLY FOR A PERIOD OF ONE (1) YEAR AFTER RESIGNATION, RETIREMENT, OR SEPARATION FROM PUBLIC OFFICE, except in the case of subparagraph (b) (2) above, but the professional concerned cannot practice his profession in connection with any matter before the office he used to be with, in which case the one-year prohibition shall likewise apply.'
2. Meaning of the One-Year Cooling-Off / Revolving Door Rule:
 - 1. Anti-Influence Peddling: Prevents former government officials, regulators, and examiners from monetizing their insider contacts, regulatory files, and influence over former subordinates.
 - 2. Scope of 1-Year Restriction:
 (a) Cannot be employed by or consult for private entities regulated by their former office;
 (b) Cannot appear as lawyer, consultant, agent, or broker before their former agency or on cases that were pending during their incumbency.
 - 3. Criminal & Administrative Sanctions: Violating the 1-year ban is a crime under Section 11 punishable by up to 5 years imprisonment.
3. Option A is the precise statutory rule.

Common Trap: Thinking retirement immediately frees an official from all ethics restrictions; the 1-YEAR COOLING-OFF PERIOD applies strictly to former offices and regulated entities.
Exam Tip: RA 6713, Sec. 7(b) = ONE (1) YEAR post-employment ban on practicing or accepting employment in connection with matters before one's former office.","Correct. Survives elimination because Section 7(b) of RA 6713 explicitly establishes a one-year post-employment prohibition barring retired or resigned public officers from practicing before or being employed by entities connected to their former office.","Eliminated because post-employment restrictions are focused on professional regulatory cooling-off, not a 25-year ban on bank accounts.","Eliminated because appearing before former subordinates immediately upon retirement directly violates the one-year statutory cooling-off ban.","Eliminated because the Constitution guarantees liberty of abode, and RA 6713 does not banish former civil servants.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Prohibited acts | Very Difficult | Batch 163"
"Under Section 7(c) of RA 6713, what is the statutory prohibition regarding 'DISCLOSURE AND/OR MISUSE OF CONFIDENTIAL INFORMATION'?","Public officials and employees shall not use or divulge confidential or classified information officially known to them by reason of their office and not made available to the public, either to FURTHER PRIVATE INTERESTS, give undue advantage to anyone, or PREJUDICE THE PUBLIC INTEREST.","Public officials are mandated to leak classified military defense plans to commercial news blogs for advertising revenue.","Government employees may sell confidential land zoning blueprints to private real estate speculators before public announcement.","Confidential information can be shared freely with foreign corporate investors during private golf tournaments.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 7(c):
 'Disclosure and/or misuse of confidential information. — Public officials and employees shall not use or divulge, confidential or classified information officially known to them by reason of their office and not made available to the public, either:
 (1) To further their private interests, or give undue advantage to anyone; or
 (2) To prejudice the public interest.'
2. Core Applications:
 - 1. Prohibition on Insider Trading / Speculation: Using advance non-public information regarding government infrastructure routes, zoning changes, tax policy shifts, or currency devaluations to buy land or stocks for private profit.
 - 2. Leaking Classified Data: Divulging confidential military, diplomatic, intelligence, or law enforcement files.
 - 3. Criminal Liability: Punishable under Section 11 of RA 6713 (up to 5 years imprisonment) and Article 229/230 of the Revised Penal Code (Revelation of Secrets).
3. Option A is the verbatim statutory text.

Common Trap: Believing leaking information is harmless if no cash changes hands; using OR divulging confidential data to give ANYONE an undue advantage is an UNLAWFUL PROHIBITED ACT.
Exam Tip: RA 6713, Sec. 7(c) = Strict ban on using or divulging CONFIDENTIAL/CLASSIFIED INFORMATION to further private interests or prejudice public interest.","Correct. Survives elimination because Section 7(c) of RA 6713 strictly criminalizes using or divulging non-public confidential information to advance private interests, grant undue advantages, or compromise the public interest.","Eliminated because leaking classified defense secrets constitutes criminal treason/espionage and violates Section 7(c).","Eliminated because leaking land zoning maps to private speculators for profit is a classic illegal misuse of confidential public information.","Eliminated because divulging non-public government data to private investors during golf games constitutes unlawful leak and insider advantage.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Prohibited acts | Very Difficult | Batch 163"
"A Division Chief in a municipal licensing office formally RECOMMENDS his brother-in-law to a private commercial casino operator that has a pending gaming permit application in the Chief's own office. How does this act violate Section 7(b)(3) of RA 6713?","Public officials and employees are strictly prohibited from RECOMMENDING ANY PERSON to any position in a private enterprise which has a REGULAR OR PENDING TRANSACTION with their office.","The Chief acted properly because helping family members find employment is an authorized government function.","The recommendation is legal provided the Chief's brother-in-law passed a civil service exam.","The Chief is exempt from liability because casinos are private entertainment corporations.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 7(b)(3):
 'They shall not RECOMMEND ANY PERSON TO ANY POSITION IN A PRIVATE ENTERPRISE WHICH HAS A REGULAR OR PENDING TRANSACTION WITH THEIR OFFICE.'
2. Ethical & Legal Analysis:
 - 1. Leverage and Coercion: When a regulatory official recommends a relative or friend for a job in a private company that has a pending permit in the official's office, the private company feels coerced to hire the person to secure permit approval.
 - 2. Form of Indirect Extortion: Using official regulatory leverage to extract private employment favors for family or cronies is an illegal prohibited act.
 - 3. Offenses Committed: Violation of Section 7(b)(3) of RA 6713, Grave Misconduct, and Violation of Section 3(e) of RA 3019.
3. Option A is the precise statutory rule and violation.

Common Trap: Thinking recommending people for private jobs is harmless; recommending anyone to a company with PENDING OR REGULAR TRANSACTIONS in one's office is an EXPLICITLY PROHIBITED ACT.
Exam Tip: RA 6713, Sec. 7(b)(3) = Public officials CANNOT RECOMMEND ANY PERSON to a private company having regular or pending transactions with their office.","Correct. Survives elimination because Section 7(b)(3) of RA 6713 explicitly outlaws recommending any individual for employment in a private company that has pending or regular transactions with the official's public office.","Eliminated because leveraging regulatory office power to secure private corporate jobs for relatives is illegal favoritism and an express statutory violation.","Eliminated because private corporate employment is not governed by civil service eligibility and does not cure the regulatory conflict of interest.","Eliminated because the statutory ban applies to all private enterprises dealing with the regulatory office, including gaming corporations.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Prohibited acts | Very Difficult | Batch 163"
"Under Section 7(b)(1) of RA 6713, which of the following private corporate roles is a public official STRICTLY PROHIBITED from holding during their government incumbency?","Owning, controlling, managing, or accepting employment as an officer, employee, consultant, counsel, broker, agent, trustee, or nominee in ANY PRIVATE ENTERPRISE REGULATED, SUPERVISED, OR LICENSED BY THEIR OFFICE.","Holding a savings deposit account in an accredited commercial universal bank.","Holding passive shares in an open-ended mutual index fund through a licensed stockbroker.","Enrolling as a student in a private university evening graduate ° program.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 7(b)(1):
 'Public officials and employees during their incumbency shall not:
 (1) Own, control, manage or accept employment as officer, employee, consultant, counsel, broker, agent, trustee or nominee in any private enterprise REGULATED, SUPERVISED OR LICENSED BY THEIR OFFICE unless expressly allowed by law;'
2. Comprehensive Scope of the Ban:
 - Prohibits ANY operational, managerial, or advisory role (officer, employee, consultant, lawyer, agent, broker, nominee) in private businesses subject to the regulatory oversight, inspection, or licensing of the official's government department.
 - Example: A central bank bank examiner CANNOT serve as a consultant or board nominee for a regulated private commercial bank. An LTFRB officer CANNOT own a public transport bus fleet.
3. Permitted Lawful Activities:
 - Maintaining basic bank savings, passive mutual fund investing, or enrolling in graduate studies are fully lawful and do not involve managing regulated enterprises.
4. Option A is the verbatim statutory prohibition.

Common Trap: Assuming being a 'consultant' or 'nominee' is legal; Section 7(b)(1) explicitly outlaws serving as officer, employee, consultant, counsel, broker, agent, trustee, or nominee in regulated entities.
Exam Tip: RA 6713, Sec. 7(b)(1) = BAN on owning, managing, or being consultant/counsel/agent in any private business REGULATED, SUPERVISED, OR LICENSED by one's office.","Correct. Survives elimination because Section 7(b)(1) of RA 6713 strictly outlaws serving as an owner, manager, employee, consultant, counsel, broker, or agent in any private enterprise regulated or licensed by the official's agency.","Eliminated because holding an ordinary savings account in a commercial bank is a standard personal financial activity.","Eliminated because passive diversified mutual fund investments do not constitute managing or controlling a regulated enterprise.","Eliminated because enrolling in graduate evening studies is an authorized personal academic development activity.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Prohibited acts | Very Difficult | Batch 163"
"A full-time government lawyer employed in the legal division of a Department engages in private legal practice, representing private criminal defendants in Regional Trial Courts on weekdays without obtaining any written permission from her Department Secretary. How does this act violate civil service rules and RA 6713?","It constitutes UNAUTHORIZED PRIVATE PRACTICE OF PROFESSION under Section 7(b)(2) of RA 6713 and the Administrative Code of 1987, as private professional practice requires express statutory authority and prior written permission from the department head without conflicting with official work hours.","It is completely lawful because licensed lawyers have an absolute constitutional right to practice law anywhere at any time.","It is permitted provided the lawyer donates 10% of her legal appearance fees to the Supreme Court library fund.","It is authorized as long as the lawyer wins all her private court cases.","A","Step-by-Step Solution:
1. Statutory Text & Rules:
 - RA 6713, Section 7(b)(2): 'Engage in the private practice of their profession UNLESS AUTHORIZED BY THE CONSTITUTION OR BY LAW, provided, that such practice will not conflict or tend to conflict with their official functions.'
 - Section 12, Rule XVIII of the Omnibus Rules Implementing Book V of EO 292:
 'No officer or employee shall engage directly in any private business, vocation, or practice of profession without a WRITTEN PERMISSION FROM THE HEAD OF THE DEPARTMENT.'
2. Legal Preconditions for Government Personnel Practicing Profession:
 - 1. Must be authorized by law.
 - 2. Must obtain PRIOR WRITTEN PERMISSION from the Department Secretary / Agency Head.
 - 3. Must NEVER conflict with official duties, occur during official work hours (8 AM - 5 PM), or involve cases against the Government / agency.
3. In the scenario, the lawyer engaged in private court appearances on weekdays without written permission, constituting Grave Misconduct and Violation of RA 6713.
4. Option A is the precise legal holding.

Common Trap: Believing a professional license grants unlimited right to private practice; government employees CANNOT engage in private practice without PRIOR WRITTEN PERMISSION from their Department Head.
Exam Tip: Private Practice of Profession (Sec. 7[b][2] & EO 292) = Requires PRIOR WRITTEN PERMISSION from Department Head + Must NOT conflict with official hours/duties.","Correct. Survives elimination because Section 7(b)(2) of RA 6713 and EO 292 strictly condition private practice of profession upon express legal authority, prior written permit from the department head, and non-conflict with official duties.","Eliminated because a professional license is subject to statutory civil service restrictions upon entering full-time government employment.","Eliminated because private fee donations cannot cure unauthorized private practice during official government hours.","Eliminated because the legal outcome of private cases has no bearing on the statutory requirement for prior written administrative permission.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Prohibited acts | Very Difficult | Batch 163"
"Under Section 7(d) of RA 6713, what is the comprehensive scope of the prohibition on 'SOLICITATION OR ACCEPTANCE OF GIFTS'?","Public officials and employees shall NOT SOLICIT OR ACCEPT, directly or indirectly, any gift, gratuity, favor, entertainment, loan or anything of monetary value from any person in the course of their official duties or in connection with any operation being regulated by, or any transaction which may be affected by the functions of their office.","Public officials may accept cash envelopes from regulated mining companies during Christmas holidays as traditional gifts.","Civil service employees are permitted to solicit free airline tickets from government procurement suppliers for family vacations.","Public officials can accept interest-free personal loans from defense contractors bidding on military radar systems.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 7(d):
 'Solicitation or acceptance of gifts. — Public officials and employees shall not solicit or accept, directly or indirectly, any gift, gratuity, favor, entertainment, loan or anything of monetary value from any person in the course of their official duties or in connection with any operation being regulated by, or any transaction which may be affected by the functions of their office.'
2. Key Elements of the Prohibition:
 - 1. Solicit OR Accept: Both the active asking (solicitation) and the passive receiving (acceptance) are unlawful.
 - 2. Direct OR Indirect: Covers gifts received personally, through spouses, children, relatives, or personal bank accounts.
 - 3. Broad Catch-All: Covers physical gifts, cash gratuities, favors, free entertainment, luxury meals, personal loans, or discounts.
 - 4. Target Parties: Persons dealing with, regulated by, or having transactions affected by the official's office.
3. Option A matches the statutory text and scope verbatim.

Common Trap: Thinking Christmas excuses gifts from regulated clients; accepting gifts from entities regulated by one's office is an EXPLICIT STATUTORY CRIME under Section 7(d) and RA 3019.
Exam Tip: RA 6713, Sec. 7(d) = ABSOLUTE PROHIBITION on soliciting or accepting gifts, favors, entertainment, loans, or value from regulated persons or those dealing with one's office.","Correct. Survives elimination because Section 7(d) of RA 6713 comprehensively outlaws soliciting or accepting any gift, favor, entertainment, or loan from anyone in the course of official duties or connected with regulated operations.","Eliminated because accepting cash gifts from regulated mining companies is illegal bribery and graft under Section 7(d) and RA 3019.","Eliminated because soliciting free airline tickets from suppliers constitutes corrupt solicitation and grave misconduct.","Eliminated because accepting loans from bidding defense contractors creates a direct conflict of interest and violates Section 7(d).","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Prohibited acts | Very Difficult | Batch 163"
"Under Section 11 of RA 6713, what are the CRIMINAL PENALTIES imposed by a court of law on any public official or private individual who commits any of the prohibited acts enumerated in Section 7?","Imprisonment of NOT EXCEEDING FIVE (5) YEARS, or a fine not exceeding PHP 5,000, or both, and at the discretion of the court of competent jurisdiction, DISQUALIFICATION TO HOLD PUBLIC OFFICE.","A mandatory verbal lecture by the local barangay captain and five hours of community sweeping.","A civil fine of PHP 10.00 payable over a ten-year installment period.","Exile from the Philippines for a minimum period of fifty years.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 11(a), 2nd paragraph:
 'Any violation of Section 7, 8 or 9 of this Act shall be punishable with IMPRISONMENT NOT EXCEEDING FIVE (5) YEARS, or a fine not exceeding five thousand pesos (P5,000), or both, and, in the discretion of the court of competent jurisdiction, DISQUALIFICATION TO HOLD PUBLIC OFFICE.'
2. Dual Nature of Liability:
 - 1. Administrative Liability (handled by CSC / Ombudsman / Agency Head): Dismissal from service, perpetual disqualification, forfeiture of retirement benefits.
 - 2. Criminal Liability (handled by Sandiganbayan / Regular Courts): Up to 5 YEARS IMPRISONMENT + Fine + Judicial Disqualification.
 - 3. Both proceedings can proceed independently and concurrently (Independent Administrative and Criminal Actions).
3. Option A is the verbatim criminal penalty codified in Section 11.

Common Trap: Assuming RA 6713 is purely an administrative code; Section 11 explicitly attaches CRIMINAL IMPRISONMENT OF UP TO 5 YEARS for violations of Section 7 (Prohibited Acts), Section 8 (SALN), and Section 9 (Divestment).
Exam Tip: Criminal Penalties for Sec. 7, 8, 9 Violations (RA 6713, Sec. 11) = Imprisonment up to FIVE (5) YEARS + Fine + Disqualification to hold public office.","Correct. Survives elimination because Section 11 of RA 6713 explicitly prescribes criminal penalties of up to five years imprisonment, fines, and disqualification to hold public office for committing prohibited acts under Section 7.","Eliminated because committing statutory prohibited acts carries formal criminal imprisonment, not informal barangay lectures.","Eliminated because nominal ten-peso fines contradict the statutory criminal penalties of RA 6713.","Eliminated because penal exile is not a recognized statutory sanction under Philippine criminal law.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Prohibited acts | Very Difficult | Batch 163"
"A Director of an energy regulatory bureau resigns from government service. Exactly two weeks after his resignation, he is hired as the Executive Vice President of a private power distribution company whose pending electricity rate increase petition was approved by the Director's bureau just before he resigned. Is this hiring lawful under RA 6713?","NO, because it violates the ONE-YEAR POST-EMPLOYMENT PROHIBITION under Section 7(b) of RA 6713, which bars former public officials for one year from accepting employment in any private enterprise regulated by or connected with matters before their former office.","YES, because the Director is no longer a government employee and can immediately work for any private company.","YES, provided the private power company pays a transition tax directly to the Bureau of Internal Revenue.","YES, because the Director resigned voluntarily rather than being dismissed.","A","Step-by-Step Solution:
1. Statutory Application under RA 6713, Section 7(b):
 - 'These prohibitions shall CONTINUE TO APPLY FOR A PERIOD OF ONE (1) YEAR AFTER RESIGNATION, RETIREMENT, OR SEPARATION FROM PUBLIC OFFICE... the professional concerned cannot practice his profession in connection with any matter before the office he used to be with...'
2. Analysis of the Scenario:
 - 1. Regulated Enterprise: The private power distribution company is regulated by the energy bureau.
 - 2. Pending Matter: The rate increase was pending before and approved by the Director's office.
 - 3. Temporal Violation: Accepting employment two weeks after resignation directly violates the mandatory 1-YEAR COOLING-OFF PERIOD.
 - 4. Legal Consequence: Both the former Director and the hiring corporation are criminally liable under Section 11 of RA 6713.
3. Option A is the precise, correct legal conclusion.

Common Trap: Thinking resignation terminates all ethical bans instantly; the 1-YEAR POST-EMPLOYMENT RESTRICTION is designed precisely to stop this corrupt 'revolving door' practice.
Exam Tip: 1-Year Post-Employment Ban = Former regulators CANNOT be hired by regulated entities or handle matters connected to their former office within ONE (1) YEAR of separation.","Correct. Survives elimination because Section 7(b) of RA 6713 explicitly establishes a one-year post-employment ban prohibiting separated officials from accepting employment in private companies connected with matters before their former regulatory office.","Eliminated because the statutory one-year cooling-off period continues to bind former officials after resignation.","Eliminated because paying tax transfers cannot legalize an unlawful statutory post-employment violation.","Eliminated because the one-year ban applies equally to voluntary resignations, retirements, and separations from public service.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Prohibited acts | Very Difficult | Batch 163"
"Under civil service jurisprudence (e.g., Catanyag v. Guzman, Magno v. COMELEC), why does Section 7 of RA 6713 prohibit public officials from having ANY involvement in private businesses regulated by their office, even if the business is managed by a TRUSTEE OR NOMINEE?","Because using a trustee, agent, or nominee is a fraudulent legal fiction designed to conceal the true beneficial ownership of the public official and circumvent the statutory prohibition against conflicts of interest.","Because the law prohibits all Filipino citizens from creating trusts or appointing trustees under the Civil Code.","Because trustees are legally defined as international diplomats who are exempt from local laws.","Because nominal business arrangements are required to be approved by the United Nations Security Council.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 7(b)(1):
 '...officer, employee, consultant, counsel, broker, agent, TRUSTEE OR NOMINEE in any private enterprise regulated, supervised or licensed by their office...'
2. Jurisprudential Doctrine (Catanyag v. Guzman; Magno v. COMELEC; PCGG v. Peña):
 - 1. The 'Dummy / Nominee' Ruse: Corrupt public officials often attempt to bypass conflict of interest prohibitions by placing their shares, business ownership, or management titles under 'nominees', dummy partners, or trustees while retaining actual control and collecting the profits.
 - 2. Piercing the Corporate Veil: The law pierces through nominee arrangements to uncover the true beneficial owner.
 - 3. Section 7(b)(1) explicitly includes 'TRUSTEE OR NOMINEE' to close this loophole and prevent any indirect or disguised business involvement in regulated industries.
3. Option A captures this vital legal and anti-corruption rationale accurately.

Common Trap: Believing an official is safe if their name is not on the corporate DTI/SEC registration; acting through a NOMINEE or TRUSTEE is EXPLICITLY BANNED and criminalized by Section 7.
Exam Tip: Prohibited Acts under RA 6713 = Expressly includes acting as a TRUSTEE, AGENT, BROKER, OR NOMINEE in regulated private enterprises.","Correct. Survives elimination because Section 7(b)(1) explicitly outlaws acting through trustees or nominees to prevent public officials from using dummy fronts to disguise prohibited ownership and control in regulated enterprises.","Eliminated because the Civil Code recognizes lawful private trusts, but prohibits trusts designed to evade statutory anti-corruption laws.","Eliminated because commercial trustees are private fiduciary actors, not international diplomats.","Eliminated because domestic conflict of interest rules are governed by Philippine statutory law, not UN bodies.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Prohibited acts | Very Difficult | Batch 163"
