"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Choose the sentence that correctly employs pronoun case in compound objects: 'The division chief assigned the urgent audit task to _____.'","Atty. Reyes and me","Atty. Reyes and I","Atty. Reyes and myself","Atty. Reyes and he","A","Step-by-Step Solution:
1. Identify grammatical role: The compound phrase follows the preposition 'to' and serves as the object of the preposition.
2. Rule for pronoun case: Objects of prepositions require the objective case ('me', 'him', 'her', 'them', 'us').
3. Test individually: 'assigned the task to Atty. Reyes' / 'assigned the task to me'.
4. Correct pronoun: 'Atty. Reyes and me' (Option A).

Common Trap: Hypercorrectly using 'Atty. Reyes and I' in the object position because it sounds more 'formal'.
Exam Tip: Remove the other person ('Atty. Reyes and') and read the sentence with just the pronoun: 'assigned the task to me' (correct), never 'to I'.","Correct. 'Me' is in the objective case, properly serving as the compound object of the preposition 'to'.","Eliminated because 'I' is a subjective pronoun, creating a case error after the preposition 'to'.","Eliminated because the reflexive pronoun 'myself' cannot be used without an antecedent 'I' in the same clause.","Eliminated because 'he' is subjective, requiring 'him'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Pronoun-antecedent agreement and case | Difficult | Batch VA-009"
"Select the sentence that correctly distinguishes between 'WHO' and 'WHOM'.","The executive secretary asked whom the board had nominated for the position of treasurer.","The executive secretary asked who the board had nominated for the position of treasurer.","The executive secretary asked whom nominated the board for the position of treasurer.","The executive secretary asked who had whom nominated for the treasurer position.","A","Step-by-Step Solution:
1. Rule for who vs. whom:
 - 'Who' is subjective (functions as subject: 'who did it?').
 - 'Whom' is objective (functions as direct object, indirect object, or object of preposition: 'the board had nominated [whom]').
2. Clause breakdown: '[whom] the board had nominated' -> Rearrange: 'the board (subject) had nominated (verb) [him/whom] (object)'.
3. Because the pronoun functions as the direct object of 'had nominated', 'whom' is required.
4. Option A is correct.

Common Trap: Using 'who' because it appears at the beginning of the subordinate clause.
Exam Tip: Substitute 'he/she' vs. 'him/her': If 'him' fits ('the board had nominated him'), use 'whom' (both end in 'm').","Correct. 'Whom' is the objective relative pronoun serving as the direct object of the verb phrase 'had nominated'.","Eliminated because 'who' is subjective, which cannot serve as the direct object of 'had nominated'.","Eliminated because 'whom' cannot serve as the subject of the active verb 'nominated'.","Eliminated because it contains a garbled double-relative construction.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Pronoun-antecedent agreement and case | Difficult | Batch VA-009"
"Choose the sentence with correct pronoun-antecedent agreement with indefinite singular pronouns.","Every employee must ensure that he or she submits the annual Statement of Assets, Liabilities, and Net Worth (SALN) on time.","Every employee must ensure that they submits the annual Statement of Assets, Liabilities, and Net Worth (SALN) on time.","Every employee must ensure that their submits the annual Statement of Assets, Liabilities, and Net Worth (SALN) on time.","Every employee must ensure that them submits the annual Statement of Assets, Liabilities, and Net Worth (SALN) on time.","A","Step-by-Step Solution:
1. Identify antecedent: 'Every employee' is a singular antecedent.
2. Determine pronoun number: In standard formal test grammar, singular antecedents modified by 'every' or 'each' take singular pronouns ('he or she', 'his or her').
3. Match with singular verb: 'he or she submits'.
4. Option A is strictly correct and grammatical.

Common Trap: Pairing plural 'they' with a singular verb ('they submits') or using colloquial plural forms in formal grammar tests.
Exam Tip: In traditional civil service grammar standards, singular indefinite antecedents ('every', 'each', 'everyone') strictly require singular pronouns ('he or she', 'his or her').","Correct. 'Every employee' is grammatically singular, requiring the singular pronoun 'he or she' and singular verb 'submits'.","Eliminated because 'they submits' creates an ungrammatical clash between a plural pronoun and singular verb.","Eliminated because possessive 'their' cannot serve as the subject of the verb clause.","Eliminated because objective 'them' cannot serve as a subject pronoun.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Pronoun-antecedent agreement and case | Difficult | Batch VA-009"
"Select the sentence that correctly employs possessive pronouns before gerunds (-ing nouns).","The committee objected to his authorizing the procurement contract without prior public bidding.","The committee objected to him authorizing the procurement contract without prior public bidding.","The committee objected to he authorizing the procurement contract without prior public bidding.","The committee objected to himself authorizing the procurement contract without prior public bidding.","A","Step-by-Step Solution:
1. Rule for gerunds: A gerund is an -ing verb form acting as a noun ('authorizing'). Nouns and gerunds must be modified by possessive pronouns ('my', 'your', 'his', 'her', 'their', 'our'), not objective pronouns.
2. Context: The objection was to the ACT of authorizing ('his authorizing'), not to the person himself.
3. Determine pronoun: Possessive 'his'.
4. Option A is correct.

Common Trap: Using objective 'him' before a gerund ('objected to him authorizing').
Exam Tip: Whenever an action ending in -ing is the true object, precede it with a possessive pronoun (e.g., 'appreciate YOUR helping', 'objected to HIS authorizing').","Correct. A gerund ('authorizing') functions as a noun and must be modified by a possessive pronoun ('his').","Eliminated because objective 'him' incorrectly modifies a gerund in formal grammar.","Eliminated because subjective 'he' cannot modify a noun/gerund.","Eliminated because reflexive 'himself' is ungrammatical as a modifier before a gerund.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Pronoun-antecedent agreement and case | Difficult | Batch VA-009"
"Choose the sentence that correctly handles pronoun case after comparative conjunctions ('than' / 'as'): 'The senior auditor has more investigative experience than _____.'","she","her","herself","them","A","Step-by-Step Solution:
1. Rule for elliptical comparisons: In comparisons using 'than' or 'as', words are omitted at the end of the sentence (an elliptical clause).
2. Complete the implied clause: 'The senior auditor has more investigative experience than she [has]'.
3. Pronoun role: The pronoun is the subject of the omitted verb 'has', requiring subjective case 'she'.
4. Option A ('she') is correct.

Common Trap: Choosing objective 'her' in informal speech.
Exam Tip: Expand the comparison by mentally adding the omitted verb to determine the correct case: 'than she [has]' vs. 'than her [has]'.","Correct. 'She' is the subject of the elliptical clause 'than she [has experience]'.","Eliminated because objective 'her' is an informal error when the pronoun acts as the subject of an implied clause.","Eliminated because reflexive 'herself' cannot serve as the subject of a comparison.","Eliminated because 'them' is objective plural.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Pronoun-antecedent agreement and case | Difficult | Batch VA-009"
"Select the sentence with correct pronoun case following linking/copular verbs (predicate nominative).","When the whistleblower finally spoke on the phone, the investigator realized it was he.","When the whistleblower finally spoke on the phone, the investigator realized it was him.","When the whistleblower finally spoke on the phone, the investigator realized it was himself.","When the whistleblower finally spoke on the phone, the investigator realized it was them.","A","Step-by-Step Solution:
1. Rule for predicate nominatives: A pronoun following a linking verb (forms of 'to be': 'is', 'was', 'were', 'been') that renames the subject must be in the SUBJECTIVE case.
2. Sentence analysis: 'it was [subjective pronoun]' -> requires 'he' (not 'him').
3. Option A ('it was he') is strictly correct in formal prescriptive grammar.

Common Trap: Choosing 'it was him' due to colloquial prevalence.
Exam Tip: In formal standardized tests, pronouns following 'to be' verbs must be in the subjective case ('It is I', 'It was he', 'This is she').","Correct. A pronoun functioning as a predicate nominative after the linking verb 'was' must be in the subjective case ('he').","Eliminated because objective 'him' is a colloquial error in formal predicate nominative constructions.","Eliminated because reflexive 'himself' cannot serve as a predicate nominative without an antecedent.","Eliminated because plural 'them' clashes with the singular antecedent 'whistleblower'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Pronoun-antecedent agreement and case | Difficult | Batch VA-009"
"Choose the sentence that correctly avoids ambiguous pronoun reference.","The director notified the manager that the manager's proposal had been officially approved by the board.","The director notified the manager that his proposal had been officially approved by the board.","When the vehicle hit the security barrier, it was severely damaged beyond repair.","The supervisor told the subordinate that he needed to revise the liquidation report.","A","Step-by-Step Solution:
1. Ambiguous pronoun reference: A pronoun is ambiguous if it could logically refer to two or more antecedents in the same clause (e.g., 'his' could refer to director or manager; 'it' could refer to vehicle or barrier; 'he' could refer to supervisor or subordinate).
2. Option A eliminates ambiguity completely by explicitly repeating 'the manager's proposal'.
3. Options B, C, and D contain fatal pronoun reference ambiguities.

Common Trap: Tolerating pronouns where the reader cannot immediately tell which person or object is being referenced.
Exam Tip: If two nouns of the same gender/number precede a pronoun, replace the pronoun with the specific noun to ensure total clarity.","Correct. Repeating 'the manager's proposal' eliminates the fatal ambiguity of 'his proposal' between the director and the manager.","Eliminated because 'his' creates ambiguous reference as it could belong to either the director or the manager.","Eliminated because 'it' could refer ambiguously to either the vehicle or the barrier.","Eliminated because 'he' could refer ambiguously to either the supervisor or the subordinate.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Pronoun-antecedent agreement and case | Difficult | Batch VA-009"
"Select the sentence that correctly employs the compound relative pronoun 'WHOEVER' versus 'WHOMEVER'.","The human resources merit board will award the permanent appointment to whoever achieves the highest composite examination score.","The human resources merit board will award the permanent appointment to whomever achieves the highest composite examination score.","The human resources merit board will award the permanent appointment to whomever will achieve the highest score.","The human resources merit board will award the permanent appointment to whom achieves the highest score.","A","Step-by-Step Solution:
1. Rule for whoever vs. whomever: The case of the relative pronoun is determined by its grammatical function WITHIN ITS OWN SUBORDINATE CLAUSE, not by the preposition preceding the entire clause.
2. Subordinate clause analysis: '[whoever] achieves the highest composite examination score'.
3. Within this clause, the pronoun is the SUBJECT of the verb 'achieves'.
4. Subject role requires subjective 'whoever'. The entire clause ('whoever achieves...') serves as the object of the preposition 'to'.
5. Option A is correct.

Common Trap: Seeing the preposition 'to' and incorrectly choosing objective 'whomever'.
Exam Tip: Isolate the subordinate clause: If the pronoun is doing the action (subject of the clause), use 'whoever'.","Correct. 'Whoever' is the subject of the subordinate verb 'achieves'. The entire noun clause acts as the object of 'to'.","Eliminated because 'whomever' is objective, which cannot serve as the subject of 'achieves' inside the subordinate clause.","Eliminated because 'whomever' remains an objective error for the subject position.","Eliminated because 'whom' is objective and cannot act as the subject of 'achieves'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Pronoun-antecedent agreement and case | Difficult | Batch VA-009"
"Choose the sentence with correct agreement for antecedents joined by 'neither... nor': 'Neither the provincial governor nor the municipal mayors submitted _____ regional calamity response reports on time.'","their","his","its","our","A","Step-by-Step Solution:
1. Rule for pronoun agreement with 'neither... nor': When antecedents differ in number, the pronoun agrees with the CLOSER antecedent.
2. Antecedents: 'governor' (singular) and 'municipal mayors' (plural).
3. The antecedent closer to the pronoun is 'municipal mayors' (plural).
4. Determine pronoun: Plural possessive pronoun 'their'.
5. Option A is correct.

Common Trap: Using singular 'his' because the first antecedent 'governor' is singular.
Exam Tip: Proximity rule applies to both verbs and pronouns in 'neither... nor' constructions.","Correct. The pronoun agrees with the nearer plural antecedent 'municipal mayors', requiring the plural possessive 'their'.","Eliminated because singular 'his' incorrectly agrees with the distant singular antecedent 'governor'.","Eliminated because 'its' is for non-human inanimate entities.","Eliminated because 'our' introduces an unjustified first-person shift.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Pronoun-antecedent agreement and case | Difficult | Batch VA-009"
"Select the sentence that correctly uses reflexive pronouns: 'The legal counsel and _____ prepared the sworn counter-affidavit for the administrative panel.'","I","myself","me","mine","A","Step-by-Step Solution:
1. Rule for reflexive pronouns: Reflexive pronouns ('myself', 'himself', 'themselves') can ONLY be used when the subject and object are the same person, or for emphatic reinforcement ('I myself did it'). They CANNOT replace personal subject or object pronouns.
2. Sentence role: The pronoun is part of the compound subject of the active verb 'prepared'.
3. Subject role requires subjective case 'I'.
4. Option A ('The legal counsel and I prepared...') is correct.

Common Trap: Using 'myself' as a subject because it feels humble or overly formal (e.g., 'myself and Atty. Reyes').
Exam Tip: Never use 'myself' as the subject of a sentence. Use 'I' for subjects and 'me' for objects.","Correct. 'I' is the subjective pronoun correctly forming the compound subject of the active verb 'prepared'.","Eliminated because reflexive 'myself' cannot serve as the subject of a sentence without an antecedent 'I' performing the action upon itself.","Eliminated because 'me' is an objective pronoun, which is ungrammatical as a subject.","Eliminated because possessive 'mine' cannot function as a subject pronoun here.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Pronoun-antecedent agreement and case | Difficult | Batch VA-009"
