"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"A municipal real estate tax assessment increases the assessed market value of a commercial property by 25%. Concurrently, the municipal council reduces the statutory basic real property tax rate by 20%, but adds a special education fund (SEF) levy equivalent to a 10% surcharge on the newly calculated basic tax amount. What is the net overall percentage change in the final total real property tax levied on the property compared to the original basic tax?","10% increase","15% increase","5% increase","No change (0%)","A","Step-by-Step Solution:
1. Let original assessed value = V and original basic tax rate = r.
2. Original Basic Tax: T₀ = V × r.
3. New assessed value: V' = 1.25V.
4. New basic tax rate: r' = 0.80r.
5. New Basic Tax amount: Tbₐₛic = V' × r' = (1.25V) × (0.80r) = (1.25 × 0.80)Vr = 1.00Vr = T₀.
6. Calculate the final total tax with the 10% SEF surcharge:
 - Tfiₙₐₗ = Tbₐₛic × (1 + 0.10) = 1.00T₀ × 1.10 = 1.10T₀.
7. Percentage change:
 - 1.10T₀ - T₀/T₀ × 100% = +10% (a net 10% increase).

Common Trap: Adding percentages directly (+25% - 20% + 10% = +15%), which violates multiplicative compounding rules.
Exam Tip: Always multiply successive factors: (1.25) × (0.80) × (1.10) = 1.10 implies +10%.","Correct. Survives elimination because 1.25 * 0.80 * 1.10 = 1.10, representing a net 10% increase.","Eliminated because adding percentages directly (25 - 20 + 10 = 15) is mathematically invalid for successive changes.","Eliminated because subtracting the factors gives an erroneous 5%.","Eliminated because assuming the 25% increase and 20% decrease cancel out while forgetting the 10% surcharge gives 0%.","Numerical Ability","Numerical Ability | Basic Operations | Arithmetic & Number Properties | Percentages | Very Difficult | Batch 010"
"In an agricultural cooperative, 40% of the total harvested mangoes are Grade A, and the remainder are Grade B. During quality inspection, 5% of the Grade A mangoes and 15% of the Grade B mangoes are rejected due to blemishes. What percentage of the total non-rejected (accepted) mangoes are Grade A?","4262/89% (≈. 42.70%)","40.00%","44.71%","38.00%","A","Step-by-Step Solution:
1. Assume a total harvest of 100 mangoes:
 - Grade A = 40 mangoes.
 - Grade B = 60 mangoes.
2. Calculate accepted mangoes for each grade:
 - Accepted Grade A = 40 × (1 - 0.05) = 40 × 0.95 = 38 mangoes.
 - Accepted Grade B = 60 × (1 - 0.15) = 60 × 0.85 = 51 mangoes.
3. Total accepted mangoes = 38 + 51 = 89 mangoes.
4. Calculate the percentage of accepted mangoes that are Grade A:
 - Percentage = 38/89 × 100% = 3800/89% = 4262/89% ≈ 42.6966% ≈ 42.70%.

Common Trap: Taking 38 out of 100 (38%) instead of dividing by the new reduced total accepted population of 89.
Exam Tip: In conditional percentage problems, always redefine the denominator to represent the filtered sub-population.","Correct. Survives elimination because the accepted Grade A count (38) divided by total accepted (89) yields exactly 3800/89% = 42.70%.","Eliminated because 40% is the initial share before differential rejection rates.","Eliminated because dividing 38 by 85 yields 44.71%.","Eliminated because 38% represents Grade A as a share of the initial uninspected harvest, not the accepted total.","Numerical Ability","Numerical Ability | Basic Operations | Arithmetic & Number Properties | Percentages | Very Difficult | Batch 010"
"If the market price of refined sugar increases by 331/3%, by what exact percentage must a commercial bakery reduce its sugar consumption so that its total expenditure on sugar increases by only 10%?","17.5%","23.33%","15.0%","20.0%","A","Step-by-Step Solution:
1. Relationship: Expenditure = Price × Consumption (E = P × C).
2. Let initial P = 1 and C = 1, so initial E = 1.
3. New Price: P' = 1 + 1/3 = 4/3.
4. Target Expenditure: E' = 1 + 0.10 = 1.10 = 11/10.
5. Solve for new consumption C':
 - P' × C' = E' implies 4/3 C' = 1.10.
 - C' = 1.10 × 3/4 = 3.3/4 = 0.825.
6. Calculate percentage reduction:
 - Reduction = (1 - C') × 100% = (1 - 0.825) × 100% = 0.175 × 100% = 17.5% (or 171/2%).

Common Trap: Subtracting 33.33% - 10% = 23.33%, which treats multiplicative expenditure relationships as additive.
Exam Tip: Use the formula C' = 1 + % Δ E/1 + % Δ P to find the required quantity multiplier.","Correct. Survives elimination because new consumption is 1.10 / (4/3) = 0.825, requiring a 17.5% reduction.","Eliminated because subtracting percentages directly (33.33 - 10 = 23.33) is fundamentally incorrect.","Eliminated because assuming an inverse proportional split gives 15%.","Eliminated because arithmetic error in multiplying 1.10 * 0.75 gives 20%.","Numerical Ability","Numerical Ability | Basic Operations | Arithmetic & Number Properties | Percentages | Very Difficult | Batch 010"
"In a national civil service eligibility examination, 65% of the total examinees passed the Verbal Ability subtest, 70% passed the Numerical Ability subtest, and 15% failed both subtests. If exactly 3,500 examinees passed both subtests, what was the total number of examinees who took the examination?","7,000","6,500","8,000","7,500","A","Step-by-Step Solution:
1. Let total examinees = 100% = N.
2. Examinees who failed both = 15%, which means examinees who passed at least one subtest = 100% - 15% = 85%.
3. Apply the Principle of Inclusion-Exclusion for percentages:
 - P(V cup N) = P(V) + P(N) - P(V cap N).
 - 85% = 65% + 70% - P(V cap N).
 - 85% = 135% - P(V cap N).
 - P(V cap N) = 135% - 85% = 50%.
4. Exactly 50% of all examinees passed both subtests.
5. Solve for total examinees N:
 - 0.50 × N = 3,500 implies N = 3,500/0.50 = 7,000.

Common Trap: Adding 65% + 70% = 135% and assuming the overlap is 35%, forgetting the 15% who failed both.
Exam Tip: Set up a Venn diagram with 100% as the universal set to isolate the two-set intersection percentage.","Correct. Survives elimination because the overlapping pass percentage is 135% - 85% = 50%, and 3500 / 0.50 = 7,000.","Eliminated because using a 35% overlap calculation gives an erroneous population of 10,000 or 6,500.","Eliminated because miscalculating the union as 90% yields 8,000.","Eliminated because arithmetic errors in the denominator yield 7,500.","Numerical Ability","Numerical Ability | Basic Operations | Arithmetic & Number Properties | Percentages | Very Difficult | Batch 010"
"An employee's monthly basic salary is increased by 20% in Year 1. In Year 2, due to an austerity measure, the new salary is reduced by 15%. In Year 3, the salary is increased again by 10%. What is the overall percentage change in the employee's salary over the three-year period relative to the original base salary?","12.2% increase","15.0% increase","14.5% increase","10.0% increase","A","Step-by-Step Solution:
1. Let the original base salary be 100.
2. Year 1 (20% increase):
 - Salary = 100 × 1.20 = 120.
3. Year 2 (15% reduction on Year 1 salary):
 - Salary = 120 × (1 - 0.15) = 120 × 0.85 = 102.
4. Year 3 (10% increase on Year 2 salary):
 - Salary = 102 × 1.10 = 112.20.
5. Calculate overall net percentage change:
 - Net Change = 112.20 - 100 = +12.20% = 12.2% increase.

Common Trap: Adding and subtracting percentage values directly (20 - 15 + 10 = 15%), which ignores the changing base value.
Exam Tip: Compute cumulative multiplier: 1.20 × 0.85 × 1.10 = 1.122 implies +12.2%.","Correct. Survives elimination because 1.20 * 0.85 * 1.10 = 1.122, yielding an exact 12.2% increase.","Eliminated because adding percentages directly (20 - 15 + 10 = 15) is false.","Eliminated because arithmetic error in the third year multiplier gives 14.5%.","Eliminated because rounding down prematurely gives 10.0%.","Numerical Ability","Numerical Ability | Basic Operations | Arithmetic & Number Properties | Percentages | Very Difficult | Batch 010"
"A government contractor submits a bid for an infrastructure project. The estimated direct cost is ₱15,000,000. The contractor adds 15% for overhead and contingencies, and then adds a 10% profit margin calculated on the combined Σ of direct cost and overhead. If an additional 12% Value Added Tax (VAT) is finally applied to the total contract price including profit, what is the final total bid amount?","₱21,252,000","₱20,550,000","₱21,870,000","₱22,140,000","A","Step-by-Step Solution:
1. Direct Cost = ₱15,000,000.
2. Overhead (15% of Direct Cost):
 - 0.15 × 15,000,000 = ₱2,250,000.
 - Cost with Overhead = 15,000,000 + 2,250,000 = ₱17,250,000.
3. Profit (10% of Subtotal):
 - 0.10 × 17,250,000 = ₱1,725,000.
 - Price before VAT = 17,250,000 + 1,725,000 = ₱18,975,000.
4. VAT (12% of Price before VAT):
 - 0.12 × 18,975,000 = ₱2,277,000.
5. Final Total Bid:
 - 18,975,000 + 2,277,000 = ₱21,252,000.
 - (Equivalently: 15,000,000 × 1.15 × 1.10 × 1.12 = ₱21,252,000).

Common Trap: Applying 15%, 10%, and 12% simultaneously to the original 15M base (15M × 1.37 = 20.55M), which omits cumulative tier compounding.
Exam Tip: In DPWH procurement bidding, markups compound cumulatively: Direct -> Overhead -> Profit -> VAT.","Correct. Survives elimination because 15,000,000 * 1.15 * 1.10 * 1.12 = ₱21,252,000.","Eliminated because adding percentages without compounding (15 + 10 + 12 = 37%) yields ₱20,550,000.","Eliminated because calculating profit only on direct cost yields ₱21,870,000.","Eliminated because rounding errors in the VAT calculation yield ₱22,140,000.","Numerical Ability","Numerical Ability | Basic Operations | Arithmetic & Number Properties | Percentages | Very Difficult | Batch 010"
"Fresh seaweed harvested from a coastal farm contains 80% water by weight. After being dried in the sun, the moisture content is reduced so that the dried seaweed contains only 20% water by weight. How many kilograms of dried seaweed will be obtained from 600 kilograms of fresh seaweed?","150 kg","120 kg","240 kg","180 kg","A","Step-by-Step Solution:
1. Key Insight: The dry solid matter (non-water component) remains completely constant during the drying process.
2. Calculate dry solid matter in fresh seaweed:
 - Fresh weight = 600 kg.
 - Water content = 80%, so Dry Solid Matter = 100% - 80% = 20%.
 - Weight of Dry Solids = 0.20 × 600 = 120 kg.
3. In dried seaweed:
 - Water content = 20%, so Dry Solid Matter = 100% - 20% = 80%.
 - Let total weight of dried seaweed be W.
 - The 120 kg of dry solids represents 80% of W.
4. Solve for W:
 - 0.80 × W = 120 implies W = 120/0.80 = 1200/8 = 150 kg.

Common Trap: Subtracting 60% of the initial weight (600 - 360 = 240 kg), which erroneously treats the percentage reduction as absolute weight loss.
Exam Tip: In evaporation/drying questions, always set up the equation: Constant Dry Solid Weight = (1 - % Waterₙₑw) × Wₙₑw.","Correct. Survives elimination because 120 kg of constant solids / 0.80 = 150 kg of dried seaweed.","Eliminated because 120 kg is the dry solid mass alone without the remaining 20% water.","Eliminated because subtracting 60% directly yields 240 kg, ignoring mass balance.","Eliminated because miscalculating the ratio as 120 / 0.66 gives 180 kg.","Numerical Ability","Numerical Ability | Basic Operations | Arithmetic & Number Properties | Percentages | Very Difficult | Batch 010"
"In an election for the Board of Directors of an electric cooperative, Candidate A received 45% of the total votes cast, Candidate B received 35%, and Candidate C received the remaining 1,200 votes. By how many votes did Candidate A defeat Candidate B?","600 votes","800 votes","500 votes","1,200 votes","A","Step-by-Step Solution:
1. Total votes cast = 100%.
2. Calculate Candidate C's percentage share:
 - Share of C = 100% - (45% + 35%) = 100% - 80% = 20%.
3. Since Candidate C received 1,200 votes:
 - 20% of Total Votes = 1,200.
 - Total Votes = 1,200/0.20 = 6,000 votes.
4. Find the winning margin between Candidate A and Candidate B:
 - Percentage Margin = 45% - 35% = 10%.
5. Convert percentage margin to vote count:
 - Vote Margin = 10% of 6,000 = 0.10 × 6,000 = 600 votes.

Common Trap: Calculating Candidate A's votes (2,700) and Candidate B's votes (2,100) and then dividing by 1,200 instead of subtracting.
Exam Tip: Calculate the difference in percentages first (45% - 35% = 10%), then multiply directly by total votes (10% × 6,000 = 600).","Correct. Survives elimination because Candidate C represents 20% (6,000 total votes), and Candidate A beats B by 10% (600 votes).","Eliminated because arithmetic error in total vote calculation gives 800.","Eliminated because subtracting C's vote share incorrectly yields 500.","Eliminated because 1,200 is Candidate C's total vote tally, not the margin between A and B.","Numerical Ability","Numerical Ability | Basic Operations | Arithmetic & Number Properties | Percentages | Very Difficult | Batch 010"
"If the radius of a cylindrical fuel storage tank is increased by 20% and its height is decreased by 25%, what is the overall percentage change in the total volumetric capacity of the tank?","8% increase","5% decrease","10% increase","No change (0%)","A","Step-by-Step Solution:
1. Cylinder Volume formula: V = π r² h.
2. Initial state: V₀ = π r² h.
3. New radius: r' = r × (1 + 0.20) = 1.20r.
4. New height: h' = h × (1 - 0.25) = 0.75h.
5. New Volume V':
 - V' = π (1.20r)² (0.75h).
 - (1.20)² = 1.44.
 - V' = π (1.44r²)(0.75h) = (1.44 × 0.75) π r² h.
6. Multiply 1.44 × 0.75:
 - 1.44 × 3/4 = 1.08.
 - V' = 1.08 V₀.
7. Calculate percentage change:
 - (1.08 - 1.00) × 100% = +8% (an 8% increase).

Common Trap: Combining linear percentage changes directly (+20% - 25% = -5%), ignoring that radius is squared in the volume formula (r²).
Exam Tip: For geometric scaling, always substitute the percentage multipliers directly into the dimension powers (1.2² × 0.75 = 1.08).","Correct. Survives elimination because (1.20)² * 0.75 = 1.44 * 0.75 = 1.08, representing an 8% increase.","Eliminated because treating the radius linearly (1.20 * 0.75 = 0.90 or 20 - 25 = -5) gives -5%, ignoring r².","Eliminated because arithmetic error in 1.44 * 0.75 yields 10%.","Eliminated because assuming the changes offset each other gives 0%.","Numerical Ability","Numerical Ability | Basic Operations | Arithmetic & Number Properties | Percentages | Very Difficult | Batch 010"
"A retail merchant marks up the wholesale cost price of an imported electronic device by 50% to establish the listed retail price. During an anniversary clearance promotion, the merchant offers successive trade discounts of 20% and 10% on the listed price. What is the merchant's actual net percentage profit relative to the original wholesale cost price?","8%","12%","5%","10%","A","Step-by-Step Solution:
1. Let the original wholesale cost price be 100.
2. Listed Price (50% markup):
 - List Price = 100 × (1 + 0.50) = 150.
3. Apply first discount of 20%:
 - Price after 1st discount = 150 × (1 - 0.20) = 150 × 0.80 = 120.
4. Apply second successive discount of 10%:
 - Final Selling Price = 120 × (1 - 0.10) = 120 × 0.90 = 108.
5. Calculate profit percentage:
 - Profit = Selling Price - Cost Price = 108 - 100 = 8.
 - Percentage Profit = 8/100 × 100% = 8%.

Common Trap: Adding discounts (20% + 10% = 30%) and subtracting from markup (50% - 30% = 20%).
Exam Tip: Chain the multipliers: 1.50 × 0.80 × 0.90 = 1.08 implies +8% profit.","Correct. Survives elimination because 1.50 * 0.80 * 0.90 = 1.08, representing an exact 8% net profit on cost.","Eliminated because calculating only a single 20% discount gives 20% profit, and deducting 8 gives 12%.","Eliminated because arithmetic error in the final discount product yields 5%.","Eliminated because rounding the net result gives 10%.","Numerical Ability","Numerical Ability | Basic Operations | Arithmetic & Number Properties | Percentages | Very Difficult | Batch 010"
