"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article IX-A, Section 1 of the 1987 Constitution, which are the ONLY THREE independent CONSTITUTIONAL COMMISSIONS explicitly established in the fundamental law?","The Civil Service Commission (CSC), the Commission on Elections (COMELEC), and the Commission on Audit (COA).","The Commission on Human Rights (CHR), the National Economic and Development Authority (NEDA), and the Governance Commission for GOCCs (GCG).","The Securities and Exchange Commission (SEC), the Energy Regulatory Commission (ERC), and the Philippine Competition Commission (PCC).","The National Telecommunications Commission (NTC), the Insurance Commission (IC), and the Tariff Commission (TC).","A","Step-by-Step Solution:
1. Constitutional Text: Article IX-A, Section 1:
   'The Constitutional Commissions, which shall be independent, are the Civil Service Commission, the Commission on Elections, and the Commission on Audit.'
2. Meaning of Constitutional Commissions:
   - These three bodies (CSC, COMELEC, COA) are created directly by Article IX of the Constitution and enjoy unique constitutional safeguards of independence (e.g., fiscal autonomy, staggered 7-year terms, removal exclusively by impeachment, rule-making powers).
   - Other bodies (like the Commission on Human Rights in Art. XIII, Sec. 17 or the Ombudsman in Art. XI) are independent constitutional offices, but are NOT part of the 'Constitutional Commissions' under Article IX.
   - Bodies like SEC, ERC, PCC, NTC, and GCG are statutory regulatory commissions created by ordinary legislative acts of Congress.
3. Option A is the verbatim constitutional list.

Common Trap: Including the Commission on Human Rights (CHR) as an Article IX Constitutional Commission; CHR is an independent office created under Article XIII (Social Justice & Human Rights), not an Article IX Constitutional Commission.
Exam Tip: The THREE Article IX Constitutional Commissions are the THREE C's: CSC, COMELEC, and COA.","Correct. Survives elimination because Article IX-A, Section 1 explicitly enumerates the Civil Service Commission, the Commission on Elections, and the Commission on Audit as the three independent Constitutional Commissions.","Eliminated because the Commission on Human Rights is created under Article XIII (not Article IX), and NEDA and GCG are non-Article IX bodies.","Eliminated because the SEC, ERC, and PCC are statutory regulatory agencies created by legislative acts of Congress, not constitutional commissions.","Eliminated because the NTC, IC, and Tariff Commission are executive department-attached statutory agencies.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitutional Commissions | Very Difficult | Batch 133"
"What are the mandatory constitutional SAFEGUARDS OF INDEPENDENCE shared by all three Constitutional Commissions under Article IX-A of the 1987 Constitution?","(1) Fiscal autonomy with automatic and regular release of funds, (2) Fixed 7-year staggered terms without reappointment, (3) Salaries cannot be decreased during incumbency, (4) Appointment by the President subject to Commission on Appointments consent, (5) Rule-making power, and (6) Removal exclusively through Impeachment.","(1) Unlimited renewable 3-year terms, (2) Subordination to the Department of Budget and Management, and (3) Removal by unilateral Presidential executive order.","(1) Funding approved on a quarterly discretionary basis by the Cabinet, (2) Lifetime tenure without retirement age, and (3) Exemption from Supreme Court judicial review.","(1) Shared administration under the Office of the Ombudsman, (2) Compulsory military rank, and (3) Prohibition on hiring legal counsel.","A","Step-by-Step Solution:
1. Constitutional Safeguards of Independence for Article IX Commissions:
   - 1. Constitutional Independence: Explicitly declared independent (Art. IX-A, Sec. 1).
   - 2. Staggered 7-Year Terms: Members serve for 7 years without reappointment (ensuring rotational succession without a single President appointing all members at once).
   - 3. Impeachment Protection: Commissioners can be removed from office ONLY via IMPEACHMENT (Article XI, Section 2; cannot be dismissed by the President or CSC).
   - 4. Non-Diminution of Salary: Salaries fixed by law and cannot be decreased during their continuance in office (Art. IX-A, Sec. 3).
   - 5. Fiscal Autonomy: Appropriations automatically and regularly released (Art. IX-A, Sec. 5).
   - 6. Appointment Confirmation: Appointed by the President with consent of the Commission on Appointments (CA).
   - 7. Rule-Making Power: Power to promulgate their own procedural rules (Art. IX-A, Sec. 6).
   - 8. Strict Disqualifications: Barred from holding any other office or engaging in professions/business contracts with government (Art. IX-A, Sec. 2).
2. Option A is the complete, legally precise summary of all constitutional safeguards.

Common Trap: Believing the President can dismiss a COMELEC or COA Commissioner for insubordination; they can be removed ONLY through IMPEACHMENT by Congress.
Exam Tip: Constitutional Commissioners = 7-year staggered terms + NO reappointment + Removal ONLY by IMPEACHMENT + Fiscal Autonomy.","Correct. Survives elimination because Article IX-A and Article XI establish these rigorous institutional safeguards—including fiscal autonomy, fixed 7-year staggered terms without reappointment, non-diminution of salary, and removal exclusively by impeachment—to insulate the Commissions from political pressure.","Eliminated because commissioners serve fixed 7-year non-renewable terms (not 3-year terms) and cannot be removed by executive orders.","Eliminated because the Commissions enjoy fiscal autonomy (funds cannot be discretionary) and their decisions are subject to Supreme Court review under Rule 64.","Eliminated because the three Commissions operate independently of the Ombudsman and do not hold military rank.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitutional Commissions | Very Difficult | Batch 133"
"Under Article IX-A, Section 7 of the 1987 Constitution, how are decisions, orders, or rulings of the Constitutional Commissions REVIEWED by the judiciary?","Any decision, order, or ruling of each Commission may be brought to the Supreme Court on certiorari by the aggrieved party within thirty (30) days from receipt of a copy thereof.","Decisions must be appealed to the Court of Appeals via ordinary notice of appeal within fifteen days.","Decisions must be submitted to the Secretary of Justice for executive administrative review before taking effect.","Decisions of the Constitutional Commissions are final, absolute, and immune from any form of judicial review.","A","Step-by-Step Solution:
1. Constitutional Text: Article IX-A, Section 7, last sentence:
   'Unless otherwise provided by this Constitution or by law, any decision, order, or ruling of each Commission may be brought to the Supreme Court on certiorari by the aggrieved party within thirty days from receipt of a copy thereof.'
2. Procedural Mechanism (Rule 64 in relation to Rule 65, Rules of Court; Aratuc v. COMELEC, 88 SCRA 251):
   - Review of final orders/rulings of COMELEC and COA is conducted by the SUPREME COURT EN BANC via a petition for certiorari under Rule 64 within THIRTY (30) DAYS from notice of judgment.
   - Exception for CSC (St. Martin Funeral Home v. NLRC, G.R. No. 130866, 1998): While the Constitution states certiorari to the Supreme Court, the Supreme Court in St. Martin Funeral Home and Revised Administrative Circular 1-95 routed appeals from final decisions of the Civil Service Commission to the COURT OF APPEALS via Rule 43 in accordance with the judicial hierarchy of courts, preserving direct certiorari to the Supreme Court for COMELEC and COA.
   - However, the foundational constitutional provision of Article IX-A, Section 7 verbatim provides for review by the SUPREME COURT ON CERTIORARI WITHIN 30 DAYS.
3. Option A is the verbatim constitutional rule of Article IX-A, Section 7.

Common Trap: Confusing the 30-day Rule 64 constitutional period with the standard 15-day period under Rule 43 or ordinary appeals.
Exam Tip: Article IX-A, Section 7 = Decisions brought to the SUPREME COURT on CERTIORARI within THIRTY (30) DAYS.","Correct. Survives elimination because Article IX-A, Section 7 explicitly provides that any final decision, order, or ruling of a Constitutional Commission may be brought to the Supreme Court on petition for certiorari within thirty days from receipt.","Eliminated because the constitutional text specifically designates the Supreme Court on certiorari within 30 days.","Eliminated because the Executive branch (DOJ) has no appellate supervision over independent Constitutional Commissions.","Eliminated because all acts of constitutional bodies are subject to judicial review under the expanded certiorari jurisdiction of Article VIII, Section 1.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitutional Commissions | Very Difficult | Batch 133"
"Under Article IX-B, Section 1(1) of the 1987 Constitution, what is the composition of the CIVIL SERVICE COMMISSION (CSC), and what are the qualifications of its Members?","A Chairman and two Commissioners (3 total); they must be natural-born citizens of the Philippines, at least 35 years of age at the time of appointment, with proven capacity for public administration, and must not have been candidates for any elective position in the elections immediately preceding their appointment.","A Chairman and six Commissioners (7 total); all must be members of the Philippine Bar for at least ten years.","A Director-General and five Deputy Directors; all must hold doctorates in public administration.","A Secretary and two Undersecretaries serving at the pleasure of the President.","A","Step-by-Step Solution:
1. Constitutional Text: Article IX-B, Section 1(1):
   'The Civil Service Commission shall be composed of a Chairman and two Commissioners who shall be natural-born citizens of the Philippines and, at the time of their appointment, at least thirty-five years of age, with proven capacity for public administration, and not have been candidates for any elective position in the elections immediately preceding their appointment.'
2. Breakdown of CSC Structure & Qualifications:
   - Total Members = 3 (1 Chairman + 2 Commissioners).
   - Natural-born citizen of the Philippines.
   - At least 35 years of age at the time of appointment.
   - Proven capacity for public administration (need NOT be lawyers).
   - Political Disqualification: Must NOT have been a candidate for any elective position in the elections immediately preceding their appointment.
   - Term: Staggered 7-year terms without reappointment.
3. Option A is the verbatim constitutional specification.

Common Trap: Assuming CSC Commissioners must be lawyers; unlike COMELEC (where a majority must be lawyers), CSC Commissioners must have 'proven capacity for public administration.'
Exam Tip: CSC = 3 Members (1 Chairman + 2 Commissioners); Age 35+; Proven capacity for public administration; Not a candidate in immediately preceding election.","Correct. Survives elimination because Article IX-B, Section 1(1) prescribes a 3-member Commission (Chairman and 2 Commissioners) who must be natural-born citizens, at least 35 years old, with proven capacity for public administration, and free from recent elective candidacy.","Eliminated because 7 members (Chairman and 6 Commissioners) describes the Commission on Elections (Article IX-C, Section 1), not the Civil Service Commission.","Eliminated because the CSC is a collegial body headed by a Chairman and 2 Commissioners, not a Director-General.","Eliminated because CSC Commissioners hold constitutional 7-year terms and do not serve at the pleasure of the President.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitutional Commissions | Very Difficult | Batch 133"
"Under Article IX-B, Section 2(1) and 2(2) of the 1987 Constitution, what is the SCOPE of the Civil Service, and what is the fundamental governing principle for appointments?","The civil service embraces all branches, subdivisions, instrumentalities, and agencies of the Government, including government-owned or controlled corporations with original charters; appointments shall be made only according to merit and fitness to be determined, as far as practicable, by competitive examination.","The civil service covers only national executive departments, excluding local government units and state universities.","The civil service applies exclusively to military personnel, with appointments based on commanding officer discretion.","The civil service embraces private corporate subsidiaries, with appointments determined by corporate shareholder votes.","A","Step-by-Step Solution:
1. Constitutional Text: Article IX-B, Section 2:
   - Paragraph (1): 'The civil service embraces all branches, subdivisions, instrumentalities, and agencies of the Government, including government-owned or controlled corporations with original charters.'
   - Paragraph (2): 'Appointments in the civil service shall be made only according to merit and fitness to be determined, as far as practicable, and, except to positions which are policy-determining, primarily confidential or highly technical, by competitive examination.'
2. Two Landmark Rules:
   - A. Scope: Covers national government, legislative and judicial staff, LGUs, and GOCCs with ORIGINAL CHARTERS (created by special law, e.g., GSIS, SSS, LandBank). GOCCs incorporated under the general Corporation Code are governed by the Labor Code, not the Civil Service (PNOC-EDC v. Leogardo).
   - B. Merit and Fitness Principle: Default rule is COMPETITIVE EXAMINATION.
   - Exceptions to Competitive Examination:
     1. Policy-determining positions
     2. Primarily confidential positions (term co-terminus with appointing authority, e.g., executive assistants)
     3. Highly technical positions
3. Option A is the complete, exact constitutional statement.

Common Trap: Believing ALL GOCCs are under the Civil Service; ONLY GOCCs with ORIGINAL CHARTERS (special legislative charters) fall under CSC jurisdiction.
Exam Tip: Civil Service Scope = All government branches + LGUs + GOCCs with ORIGINAL CHARTERS; Appointments = MERIT AND FITNESS by competitive exam.","Correct. Survives elimination because Article IX-B, Section 2 explicitly defines the civil service to include all government agencies and GOCCs with original charters, mandating that appointments be based strictly on merit and fitness through competitive examination.","Eliminated because the civil service explicitly embraces all branches, constitutional offices, and local government units.","Eliminated because the regular civil service is distinct from the military establishment, and competitive merit governs appointments.","Eliminated because private corporations and non-chartered GOCC subsidiaries fall under the Labor Code and private corporate law, not the Civil Service.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitutional Commissions | Very Difficult | Batch 133"
"Under Article IX-B, Section 2(2) of the 1987 Constitution, which THREE CATEGORIES of public service positions are constitutionally EXEMPT from the requirement of competitive civil service examinations?","Policy-determining, primarily confidential, and highly technical positions.","Elected officials, military generals, and barangay tanods.","Cabinet secretaries, foreign ambassadors, and judicial trial court judges.","Temporary laborers, volunteer interns, and private security guards.","A","Step-by-Step Solution:
1. Constitutional Text: Article IX-B, Section 2(2):
   'Appointments in the civil service shall be made only according to merit and fitness to be determined, as far as practicable, and, except to positions which are POLICY-DETERMINING, PRIMARILY CONFIDENTIAL or HIGHLY TECHNICAL, by competitive examination.'
2. Definitions of the Three Exempt Categories (Besinga v. Bureau of Internal Revenue, CSC v. Salas):
   - 1. Policy-Determining: Positions where the officer formulates the organizational policies, guidelines, and broad programs of an agency (e.g., department undersecretaries, board commissioners).
   - 2. Primarily Confidential: Positions where the officer stands in such close, intimate, and confidential relationship with the appointing authority that trust and confidence are the supreme qualifications (e.g., Chief of Staff, Executive Assistant, Private Secretary, Legal Counsel).
   - 3. Highly Technical: Positions requiring specialized, advanced technical, scientific, or professional training beyond ordinary qualifications (e.g., forensic pathologists, specialized nuclear engineers, chief ballistic experts).
3. Option A is the verbatim constitutional trio of exempt positions.

Common Trap: Believing non-competitive positions lack security of tenure entirely; while confidential employees can be terminated upon loss of trust (which terminates the term, not removal), they are protected from unlawful dismissal during the subsistence of confidence.
Exam Tip: The 3 Non-Competitive Civil Service Categories: (1) Policy-determining, (2) Primarily confidential, (3) Highly technical.","Correct. Survives elimination because Article IX-B, Section 2(2) explicitly exempts policy-determining, primarily confidential, and highly technical positions from the general requirement of competitive civil service examinations.","Eliminated because elected officials hold elective mandates rather than appointed non-competitive civil service classifications.","Eliminated because judicial appointments are governed by the Judicial and Bar Council under Article VIII, not the general civil service non-competitive category.","Eliminated because temporary contractual laborers are subject to civil service hiring rules and do not constitute the three constitutional exempt categories.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitutional Commissions | Very Difficult | Batch 133"
"Under Article IX-C, Section 1(1) of the 1987 Constitution, what is the composition of the COMMISSION ON ELECTIONS (COMELEC), and what specific professional requirement applies to its membership?","A Chairman and six Commissioners (7 total); a majority thereof, including the Chairman, shall be members of the Philippine Bar who have been engaged in the practice of law for at least ten years.","A Chairman and four Commissioners (5 total); all must be certified public accountants.","A Chairman and eight Commissioners (9 total); all must be active members of registered political parties.","A Chairman and two Commissioners (3 total); all must be former trial court judges.","A","Step-by-Step Solution:
1. Constitutional Text: Article IX-C, Section 1(1):
   'There shall be a Commission on Elections composed of a Chairman and six Commissioners who shall be natural-born citizens of the Philippines and, at the time of their appointment, at least thirty-five years of age, holders of a college degree, and must not have been candidates for any elective position in the immediately preceding elections. However, a majority thereof, including the Chairman, shall be members of the Philippine Bar who have been engaged in the practice of law for at least ten years.'
2. Breakdown of COMELEC Composition & Qualifications:
   - Total Members = 7 (1 Chairman + 6 Commissioners).
   - Natural-born citizens of the Philippines.
   - At least 35 years of age at appointment.
   - Holders of a college degree.
   - Not candidates for any elective office in immediately preceding elections.
   - Mandatory Legal Quorum: A MAJORITY (at least 4 out of 7), INCLUDING THE CHAIRMAN, MUST BE LAWYERS with at least TEN (10) YEARS of active law practice (Cayetano v. Monsod, 201 SCRA 210).
3. Option A is the verbatim constitutional structure.

Common Trap: Confusing COMELEC membership (7 members, majority lawyers) with CSC (3 members) or COA (3 members, must include CPA/lawyer).
Exam Tip: COMELEC = 7 Members (1 Chairman + 6 Commissioners); Chairman + Majority MUST be lawyers with 10+ years practice.","Correct. Survives elimination because Article IX-C, Section 1(1) prescribes a 7-member Commission on Elections, with the explicit mandate that a majority of the members, including the Chairman, must be Philippine Bar members with at least 10 years of law practice.","Eliminated because COMELEC contains 7 members (not 5), and accounting degrees are required in COA, not as a majority requirement in COMELEC.","Eliminated because COMELEC contains 7 members, and commissioners are strictly barred from partisan political affiliations under Section 1.","Eliminated because 3 members describes the CSC and COA, not the 7-member COMELEC.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitutional Commissions | Very Difficult | Batch 133"
"Under Article IX-C, Section 2(2) of the 1987 Constitution, what is the EXCLUSIVE JURISDICTION of the Commission on Elections over election contests?","Exclusive original jurisdiction over all contests relating to the elections, returns, and qualifications of all elective regional, provincial, and city officials, and appellate jurisdiction over all contests involving elective municipal officials decided by trial courts, or barangay officials decided by municipal courts.","Exclusive jurisdiction over all presidential and vice-presidential election protests.","Exclusive jurisdiction over senatorial and congressional election contests.","Exclusive jurisdiction over commercial corporate proxy voting disputes.","A","Step-by-Step Solution:
1. Constitutional Text: Article IX-C, Section 2(2):
   - The COMELEC shall: 'Exercise exclusive original jurisdiction over all contests relating to the elections, returns, and qualifications of all elective regional, provincial, and city officials, and appellate jurisdiction over all contests involving elective municipal officials decided by trial courts of general jurisdiction, or involving elective barangay officials decided by municipal trial courts of limited jurisdiction.'
2. Division of Electoral Contest Jurisdictions in the Constitution:
   - 1. President & Vice-President -> Presidential Electoral Tribunal (Supreme Court En Banc, Art. VII, Sec. 4).
   - 2. Senators -> Senate Electoral Tribunal (SET, Art. VI, Sec. 17).
   - 3. House Representatives -> House of Representatives Electoral Tribunal (HRET, Art. VI, Sec. 17).
   - 4. Regional, Provincial, and City Officials -> COMELEC (Exclusive Original Jurisdiction).
   - 5. Municipal Officials -> Regional Trial Court (Original) -> COMELEC (Appellate).
   - 6. Barangay Officials -> Municipal Trial Court (Original) -> COMELEC (Appellate, whose decision is final and executory).
3. Option A is the precise constitutional jurisdictional allocation.

Common Trap: Believing COMELEC handles senatorial and congressional election protests; SET and HRET handle legislative members, and PET (Supreme Court) handles President/VP.
Exam Tip: COMELEC Original Jurisdiction = Regional, Provincial, City officials. Appellate = Municipal and Barangay contests.","Correct. Survives elimination because Article IX-C, Section 2(2) assigns COMELEC exclusive original jurisdiction over regional, provincial, and city elective contests, and appellate jurisdiction over municipal (from RTC) and barangay (from MTC) contests.","Eliminated because presidential and vice-presidential contests are under the sole jurisdiction of the Supreme Court sitting as the Presidential Electoral Tribunal (PET).","Eliminated because senatorial and representative election contests fall under the SET and HRET respectively under Article VI, Section 17.","Eliminated because commercial corporate elections are governed by commercial courts and the SEC, not the COMELEC.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitutional Commissions | Very Difficult | Batch 133"
"Under Article IX-D, Section 1(1) of the 1987 Constitution, what is the composition of the COMMISSION ON AUDIT (COA), and what specific professional qualifications must be represented among its Members?","A Chairman and two Commissioners (3 total); they must be natural-born citizens, at least 35 years of age, who are Certified Public Accountants with at least ten years of auditing experience or members of the Philippine Bar with at least ten years of law practice, with no two members belonging to the same profession at any one time.","A Chairman and four Commissioners; all must be licensed civil engineers or economists.","A Chairman and six Commissioners; all must be active commercial bank managers.","A single Auditor General serving a non-renewable ten-year term without any collegial commission.","A","Step-by-Step Solution:
1. Constitutional Text: Article IX-D, Section 1(1):
   'There shall be a Commission on Audit composed of a Chairman and two Commissioners, who shall be natural-born citizens of the Philippines and, at the time of their appointment, at least thirty-five years of age, Certified Public Accountants with not less than ten years of auditing experience, or members of the Philippine Bar who have been engaged in the practice of law for at least ten years, and must not have been candidates for any elective position in the elections immediately preceding their appointment. At no time shall all Members of the Commission belong to the same profession.'
2. Breakdown of COA Structure & Qualifications:
   - Total Members = 3 (1 Chairman + 2 Commissioners).
   - Natural-born citizen, at least 35 years old.
   - Profession: Must be either CPAs (with 10+ years auditing experience) OR Lawyers (with 10+ years law practice).
   - Diversity Rule: 'AT NO TIME SHALL ALL MEMBERS OF THE COMMISSION BELONG TO THE SAME PROFESSION' (e.g., cannot be 3 lawyers or 3 CPAs; must be a mix: 2 CPAs and 1 Lawyer, or 2 Lawyers and 1 CPA).
   - Staggered 7-year terms without reappointment.
3. Option A is the verbatim constitutional structure.

Common Trap: Forgetting the professional diversity rule; COA must ALWAYS have a mix of CPAs and Lawyers—all three members can NEVER belong to the same profession.
Exam Tip: COA = 3 Members (1 Chairman + 2 Commissioners); CPAs (10+ yrs audit) or Lawyers (10+ yrs practice); CANNOT all belong to the same profession.","Correct. Survives elimination because Article IX-D, Section 1(1) mandates a 3-member Commission on Audit composed of CPAs and Lawyers (with 10+ years experience), with the explicit rule that all three members can never belong to the same profession.","Eliminated because engineering and economics degrees do not satisfy the specific CPA or Philippine Bar constitutional requirement for COA commissioners.","Eliminated because commercial banking experience does not substitute for the mandatory CPA/Lawyer constitutional threshold, and COA has 3 members (not 7).","Eliminated because the 1987 Constitution abolished the single Auditor General structure of the 1935 charter and established a collegial 3-member Commission on Audit.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitutional Commissions | Very Difficult | Batch 133"
"Under Article IX-D, Section 2(1) and 2(2) of the 1987 Constitution, what is the breadth of the Commission on Audit's EXCLUSIVE AUDIT JURISDICTION, and what did the Supreme Court rule in Caltex Philippines v. COA regarding legislative curtailment of this power?","COA has the exclusive authority to define the scope of its audit, establish the techniques and methods required therefor, and promulgate accounting and auditing rules; no law shall be passed exempting any entity of the Government or its funds from the jurisdiction of the Commission on Audit.","Congress can pass ordinary laws exempting government-owned corporations from COA auditing if they generate private commercial revenues.","COA's auditing power is limited strictly to pre-audit approvals and it cannot conduct post-audits of executive expenditures.","COA has no jurisdiction to audit public funds once they are deposited in commercial government banking institutions.","A","Step-by-Step Solution:
1. Constitutional Text: Article IX-D, Section 2:
   - Paragraph (1): 'The Commission on Audit shall have the power, authority, and duty to examine, audit, and settle all accounts pertaining to the revenue and receipts of, and expenditures or uses of funds and property, owned or held in trust by, or pertaining to, the Government...'
   - Paragraph (2): 'The Commission shall have exclusive authority, subject to the limitations in this Article, to define the scope of its audit and examination, establish the techniques and methods required therefor, and promulgate accounting and auditing rules and regulations... NO LAW SHALL BE PASSED EXEMPTING ANY ENTITY OF THE GOVERNMENT OR ITS SUBSIDIARY IN ANY GUISE WHATEVER, OR ANY INVESTMENT OF PUBLIC FUNDS, FROM THE JURISDICTION OF THE COMMISSION ON AUDIT.'
2. Landmark Case: Caltex Philippines, Inc. v. Commission on Audit (208 SCRA 726, 1992):
   - The Supreme Court ruled that public funds (such as the Oil Price Stabilization Fund / OPSF) are subject to COA's plenary constitutional audit jurisdiction regardless of how they are administered.
   - Congress is constitutionally forbidden from passing any law that shields, exempts, or immunizes any government agency, GOCC, or public fund from COA audit.
3. Option A accurately states the exclusive constitutional scope and the non-exemption rule.

Common Trap: Believing Congress can insert a clause in a charter exempting a GOCC from COA audit; Article IX-D, Section 2(2) renders any such statutory exemption unconstitutional and void.
Exam Tip: COA has EXCLUSIVE authority to define audit rules, and NO LAW can exempt any government entity or public funds from COA audit.","Correct. Survives elimination because Article IX-D, Section 2 explicitly grants COA exclusive authority to define its audit scope and promulgate accounting rules, and explicitly commands that no law shall be passed exempting any government entity or public fund from COA jurisdiction.","Eliminated because the Constitution strictly prohibits Congress from enacting laws that exempt government entities or public funds from COA audit.","Eliminated because COA is constitutionally mandated to conduct comprehensive post-audits, and is not limited to pre-audit processes.","Eliminated because all public funds, regardless of where they are deposited or held in trust, remain subject to mandatory COA examination and audit.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitutional Commissions | Very Difficult | Batch 133"
