"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"In peace studies and conflict resolution (e.g., Johan Galtung's peace typology), what is the foundational distinction between 'NEGATIVE PEACE' and 'POSITIVE PEACE'?","NEGATIVE PEACE is merely the absence of direct physical violence or armed warfare, whereas POSITIVE PEACE is the presence of social justice, structural equity, human rights, ecological balance, and conditions that prevent the root causes of conflict.","Negative peace means declaring war on all neighboring countries, while positive peace means surrendering all national sovereignty.","Negative peace applies only to maritime naval fleets, while positive peace applies only to commercial aviation.","Both terms refer to the mathematical calculation of annual national defense budget deficits.","A","Step-by-Step Solution:
1. Theoretical Framework: Johan Galtung (The Father of Peace Studies):
 - 1. NEGATIVE PEACE:
 - Defined as the mere ABSENCE OF DIRECT PHYSICAL VIOLENCE (ceasefires, absence of active gunfire or declared war).
 - Limitation: A society with high poverty, oppression, inequality, and human rights abuses may not have open gunfire, but it suffers from 'structural violence.' Hence, negative peace is fragile and incomplete.
 - 2. POSITIVE PEACE:
 - Defined as the PRESENCE OF SOCIAL JUSTICE, EQUALITY, HUMAN RIGHTS, RULE OF LAW, AND INCLUSIVE INSTITUTIONS.
 - Addresses the root structural causes of violence (poverty, landlessness, marginalization, prejudice, corruption).
 - Fosters sustainable, long-term societal harmony and genuine human development.
2. Philippine Peace Process Alignment:
 - The Philippine peace framework (OPAPRU / Executive Order No. 3 & EO 570) focuses on building POSITIVE PEACE through socioeconomic reforms, reconciliation, and peace education.
3. Option A is the classic, verbatim academic and policy distinction.

Common Trap: Thinking peace is just the silence of guns; TRUE PEACE (Positive Peace) requires SOCIAL JUSTICE and the fulfillment of fundamental human rights.
Exam Tip: Johan Galtung Peace Framework: Negative Peace = Absence of direct physical violence | Positive Peace = Presence of social justice, equity, and human rights.","Correct. Survives elimination because peace studies definitively contrasts negative peace (the simple absence of direct armed violence) with positive peace (the active presence of social justice, equity, human rights, and harmonious institutions).","Eliminated because declaring war is aggressive violence, not negative peace.","Eliminated because the peace typology applies comprehensively to all human societies, not isolated transport branches.","Eliminated because negative and positive peace are qualitative sociopolitical concepts, not budget deficit calculations.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Peace education and culture of peace | Very Difficult | Batch 172"
"Under Executive Order No. 570 (Series of 2006), what is the national mandate regarding the 'INSTITUTIONALIZATION OF PEACE EDUCATION' in the Philippine educational system?","The Department of Education (DepEd) and the Commission on Higher Education (CHED) are mandated to integrate PEACE EDUCATION into the curricula of basic education and teacher education programs to cultivate a culture of peace, tolerance, and non-violent conflict resolution.","Peace education is permanently banned in all Philippine schools to promote military discipline.","Peace education is restricted exclusively to university doctoral ° programs in foreign countries.","Peace education is required to teach students how to manufacture combat assault rifles.","A","Step-by-Step Solution:
1. Executive Authority: Executive Order No. 570 (Institutionalizing Peace Education in Basic Education and Teacher Education, signed September 26, 2006):
 - Section 1: 'Mandate. — The Department of Education (DepEd) and the Commission on Higher Education (CHED) shall institutionalize peace education in basic education and teacher education curricula, respectively.'
2. Core Objectives of EO 570:
 - 1. Curriculum Integration: Integrating values of peace, intercultural respect, interfaith harmony, human rights, and conflict transformation into elementary, high school, and tertiary teacher education syllabi.
 - 2. Teacher Training: Equipping educators with skills in non-violent communication, peer mediation, and restorative discipline.
 - 3. Inculcating a Culture of Peace: Fostering dialogue, empathy, critical thinking, and social justice among the youth to counter radicalization, bullying, and armed conflict.
3. Option A is the verbatim executive mandate.

Common Trap: Believing peace education is an optional after-school club; EO 570 MANDATES ITS INTEGRATION INTO THE OFFICIAL CURRICULA of DepEd and CHED.
Exam Tip: Executive Order No. 570 (2006) = Institutionalizes PEACE EDUCATION in Basic Education (DepEd) and Teacher Education (CHED) curricula.","Correct. Survives elimination because Executive Order No. 570 (s. 2006) explicitly directs DepEd and CHED to institutionalize peace education in basic education and teacher training to instill a culture of peace and non-violence.","Eliminated because EO 570 actively commands the nationwide expansion of peace education, rather than banning it.","Eliminated because the mandate specifically targets foundational basic education and teacher training programs.","Eliminated because weapon manufacturing is antithetical to the core non-violent objectives of peace education.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Peace education and culture of peace | Very Difficult | Batch 172"
"Under the United Nations Declaration and Programme of Action on a Culture of Peace (UN General Assembly Resolution 53/243), how is a 'CULTURE OF PEACE' defined?","A set of values, attitudes, traditions, modes of behavior, and ways of life based on respect for life, ending of violence, promotion and practice of non-violence through education, dialogue, and cooperation, and full respect for HUMAN RIGHTS AND FUNDAMENTAL FREEDOMS.","A culture where all citizens are required to carry licensed handguns in public markets.","A state of mandatory military conscription where civil liberties are permanently abolished.","A societal agreement where public disagreements are resolved through gladiatorial combat.","A","Step-by-Step Solution:
1. International Authority: UN General Assembly Resolution 53/243 (Declaration on a Culture of Peace, September 13, 1999):
 - Article 1: 'A culture of peace is a set of values, attitudes, traditions and modes of behavior and ways of life based on:
 (a) Respect for life, ending of violence and promotion and practice of non-violence through education, dialogue and cooperation;
 (b) Full respect for the principles of sovereignty, territorial integrity and political independence of States;
 (c) Full respect for and promotion of all human rights and fundamental freedoms;
 (d) Commitment to peaceful settlement of conflicts;
 (e) Efforts to meet the developmental and environmental needs of present and future generations;
 (f) Respect for and promotion of the right to development;
 (g) Respect for and promotion of equal rights and opportunities for women and men;
 (h) Respect for and promotion of the right of everyone to freedom of expression, opinion and information;
 (i) Adherence to the principles of freedom, justice, democracy, tolerance, solidarity, cooperation, pluralism, cultural diversity, dialogue and understanding.'
2. Option A matches the UN General Assembly definition verbatim.

Common Trap: Equating culture of peace with mere pacifism or submissiveness; Culture of Peace is an ACTIVE, DYNAMIC SOCIAL CULTURE rooted in HUMAN RIGHTS, GENDER EQUALITY, DEMOCRACY, and NON-VIOLENT DIALOGUE.
Exam Tip: UN Culture of Peace (Res 53/243) = Values, attitudes, and behaviors based on respect for life, practice of non-violence, dialogue, cooperation, and full respect for HUMAN RIGHTS.","Correct. Survives elimination because UN General Assembly Resolution 53/243 defines a culture of peace as a holistic framework of values, behaviors, and lifestyles rooted in non-violence, respect for human life, education, dialogue, and universal human rights.","Eliminated because mandating public firearms contradicts the non-violent disarmament principles of a culture of peace.","Eliminated because universal militarization and abolition of civil liberties violate human rights and peaceful governance.","Eliminated because gladiatorial combat is violent brutality rejected by the Culture of Peace declaration.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Peace education and culture of peace | Very Difficult | Batch 172"
"Under the Philippine Comprehensive Peace Process framework (Executive Order No. 3, Series of 2001 & OPAPRU), what are the 'SIX PATHS TO PEACE'?","(1) Pursuit of social, economic, and political reforms, (2) Consensus-building and empowerment for peace, (3) Peaceful negotiated settlement with rebel groups, (4) Programs for reconciliation, reintegration, and rehabilitation, (5) Conflict management and protection of civilians, and (6) Building a positive climate for peace through peace education.","(1) Total military annihilation, (2) Economic blockades, (3) Mass deportations, (4) Martial law decrees, (5) Media censorship, and (6) Foreign intervention.","(1) Abolition of elections, (2) Nationalization of all private lands, (3) Disbandment of civilian courts, (4) Dissolution of Congress, (5) Imposition of curfews, and (6) Border closures.","(1) Expansion of weapons factories, (2) Doubling military taxes, (3) Nuclear weapons testing, (4) Arming civilian militias, (5) Banning religious worship, and (6) Canceling trade.","A","Step-by-Step Solution:
1. National Peace Policy: Executive Order No. 3 (Series of 2001, Defining the Policy and Administrative Structure for the Government's Comprehensive Peace Efforts) & Office of the Presidential Adviser on Peace, Reconciliation and Unity (OPAPRU):
2. The National Peace Framework — 'The Six Paths to Peace':
 - Path 1: PURSUIT OF SOCIAL, ECONOMIC, AND POLITICAL REFORMS (Addressing the root causes of internal armed conflict, e.g., poverty, land reform, governance).
 - Path 2: CONSENSUS-BUILDING AND EMPOWERMENT FOR PEACE (Consulting communities, civil society, and indigenous peoples).
 - Path 3: PEACEFUL NEGOTIATED SETTLEMENT WITH ARMED REBEL GROUPS (Peace agreements with MILF, MNLF, and other peace tables).
 - Path 4: RECONCILIATION, REINTEGRATION, AND REHABILITATION (Amnesty, decommissioning, community development for former combatants).
 - Path 5: CONFLICT MANAGEMENT AND PROTECTION OF CIVILIANS (Peace zones, ceasefires, civilian protection during active clashes).
 - Path 6: BUILDING A POSITIVE CLIMATE FOR PEACE (Peace advocacy, peace education, human rights culture).
3. Option A is the verbatim enumeration of the Six Paths to Peace.

Common Trap: Believing the peace process is only about holding peace talks with rebels (Path 3); the Comprehensive Peace Process includes ALL SIX INTERCONNECTED PATHS (including socio-economic reforms and peace education).
Exam Tip: The Six Paths to Peace (EO 3 / OPAPRU) = (1) Socioeconomic reforms, (2) Consensus-building, (3) Negotiated settlement, (4) Reconciliation/Reintegration, (5) Conflict management/Civilian protection, (6) Peace education.","Correct. Survives elimination because Executive Order No. 3 (s. 2001) and OPAPRU officially structure the Philippine Comprehensive Peace Process along the 'Six Paths to Peace,' addressing root causes through socioeconomic reforms, negotiations, reintegration, and peace education.","Eliminated because military annihilation and mass deportations represent violent warfare, the complete antithesis of the comprehensive peace process.","Eliminated because dissolving constitutional democratic institutions violates the rule of law and peace frameworks.","Eliminated because weapons expansion and civilian militarization contradict demilitarization and peacebuilding policies.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Peace education and culture of peace | Very Difficult | Batch 172"
"What is the difference between 'STRUCTURAL VIOLENCE' and 'DIRECT PHYSICAL VIOLENCE' in peace studies (pioneered by Johan Galtung)?","DIRECT VIOLENCE involves physical harm inflicted by an identifiable actor (such as shooting, assault, or war), whereas STRUCTURAL VIOLENCE refers to invisible, institutionalized injustices built into social, economic, and political systems (such as extreme poverty, unequal access to healthcare, malnutrition, and systemic discrimination) that prevent people from meeting basic human needs.","Direct violence applies only to sports games, while structural violence applies only to architectural building collapses.","Structural violence refers to a government building needing plumbing repairs.","Both terms mean that an individual has failed their college mathematics examination.","A","Step-by-Step Solution:
1. Core Peace Theory: Johan Galtung's Violence Triangle:
 - 1. DIRECT VIOLENCE:
 - Visible, episodic, behavioral violence.
 - Physical assault, murder, torture, war, domestic violence, terrorism.
 - Direct perpetrator and immediate victim.
 - 2. STRUCTURAL VIOLENCE:
 - Invisible, chronic, institutionalized violence embedded in the structure of society.
 - Manifestations: Extreme poverty, preventable infant mortality, starvation amid food surplus, systemic racial/ethnic discrimination, lack of basic education and healthcare.
 - Kills and impairs human potential just as effectively as bullets, through unequal life chances.
 - 3. CULTURAL VIOLENCE: Beliefs, ideologies, or prejudices (racism, sexism, religious bigotry) used to justify direct and structural violence.
2. Option A is the precise, standard definition and distinction.

Common Trap: Viewing violence only as physical punches or bullets; STRUCTURAL VIOLENCE is the systematic deprivation of human potential caused by unjust economic and political structures.
Exam Tip: Violence Typology (Galtung): Direct Violence = Physical harm by actors | Structural Violence = Systematic deprivation/injustice built into societal institutions | Cultural Violence = Prejudices justifying violence.","Correct. Survives elimination because peace theory distinguishes direct violence (observable physical harm by perpetrators) from structural violence (systemic, institutionalized inequalities like poverty and discrimination that shorten life and impair human development).","Eliminated because direct and structural violence are profound sociopolitical concepts, not sports or construction terms.","Eliminated because physical plumbing issues are municipal maintenance matters, not structural sociopolitical violence.","Eliminated because exam results are personal academic outcomes, not systemic violence definitions.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Peace education and culture of peace | Very Difficult | Batch 172"
"In peace education and conflict transformation, what is the core philosophy of 'RESTORATIVE JUSTICE' compared to traditional 'RETRIBUTIVE JUSTICE'?","RETRIBUTIVE justice focuses on punishing the offender through isolation and penalties for breaking state laws, whereas RESTORATIVE justice views crime as a violation of people and relationships, focusing on HEALING, REPAIRING THE HARM, holding the offender accountable to the victim, and reintegrating all parties into the community.","Retributive justice pardons all offenders, while restorative justice executes all suspects immediately.","Restorative justice applies only to commercial banking disputes, while retributive justice applies only to maritime salvage.","Both systems require victims to pay an annual fine to the trial court judge.","A","Step-by-Step Solution:
1. Theoretical & Legal Framework:
 - Howard Zehr (The Little Book of Restorative Justice).
 - Republic Act No. 9344 (Juvenile Justice and Welfare Act of 2006, incorporating Restorative Justice in child conflict cases).
2. The Fundamental Paradigm Shift:
 - 1. RETRIBUTIVE JUSTICE:
 - Questions asked: What law was broken? Who broke it? How should they be punished?
 - Focus: State vs Offender; Pain, retribution, isolation, prison terms.
 - 2. RESTORATIVE JUSTICE:
 - Questions asked: Who was hurt? What are their needs? Whose obligation is it to make things right?
 - Focus: Victim, Offender, and Community; Repairing harm, restitution, genuine dialogue, behavioral accountability, and community reintegration.
3. Philippine Application: Codified in RA 9344 (Diversion programs for Children in Conflict with the Law / CICL), Katarungang Pambarangay mediation (RA 7160), and indigenous conflict resolution mechanisms.
4. Option A is the verbatim, classic philosophical distinction.

Common Trap: Thinking restorative justice is 'soft on crime'; Restorative Justice DEMANDS DEEP ACCOUNTABILITY from the offender to personally face the victim and REPAIR THE HARM caused.
Exam Tip: Restorative Justice = Focuses on REPAIRING HARM, HEALING RELATIONSHIPS, victim restitution, and community reintegration (Contrasted with purely punitive retributive justice).","Correct. Survives elimination because restorative justice focuses on repairing harm, addressing victim needs, holding offenders directly accountable to victims, and restoring community relationships, contrasting with retributive justice's focus on state punishment.","Eliminated because restorative justice does not involve summary executions, and retributive justice enforces legal penalties rather than blanket pardons.","Eliminated because restorative justice is a transformative legal paradigm applied in criminal, juvenile, and community justice systems.","Eliminated because justice systems do not penalize innocent crime victims with fines.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Peace education and culture of peace | Very Difficult | Batch 172"
"What is the role of 'INTERFAITH AND INTERCULTURAL DIALOGUE' as a core dimension of peace education in the Philippines?","To foster mutual understanding, empathy, and respect among diverse religious (Christian, Muslim, Indigenous) and ethnic communities, breaking down historical stereotypes, prejudice, and distrust to build durable social harmony and solidarity.","To force all citizens to convert to a single monolithic religious faith.","To segregate different religious groups into walled, isolated geographical enclaves.","To ban the teaching of cultural history in all Philippine schools.","A","Step-by-Step Solution:
1. National Peace Context (Mindanao Peace Process & National Reconciliation):
 - Historical Context: Centuries of marginalization, land dispossession, and cultural misunderstanding between Christian settlers, the Bangsamoro people (Muslim Filipinos), and Indigenous Cultural Communities (Lumads).
 - Core Dimension of Peace Education:
 1. Dismantling Religious/Ethnic Biases: Eradicating Islamophobia, anti-Christian prejudice, and discrimination against indigenous Lumad traditions.
 2. Promoting Tri-People Solidarity: Recognizing the shared history and dignity of Christians, Muslims, and Indigenous Peoples.
 3. Jo∫ Community Action: Engaging religious leaders, youth, and educators in shared community development, disaster response, and interfaith peace pacts (e.g., Bishop-Ulama Conference).
2. Option A is the comprehensive, accurate statement of the purpose of interfaith dialogue.

Common Trap: Thinking interfaith dialogue seeks to merge religions into one; Interfaith Dialogue CELEBRATES DIVERSITY and builds mutual respect while preserving each group's distinct identity.
Exam Tip: Interfaith/Intercultural Dialogue in Peace Education = Builds mutual respect, breaks down historical stereotypes, and fosters Tri-People solidarity (Christians, Muslims, Indigenous Lumads).","Correct. Survives elimination because peace education utilizes interfaith and intercultural dialogue to bridge historical divides between Christian, Muslim, and indigenous communities, cultivating empathy, mutual respect, and societal solidarity.","Eliminated because forcing religious conversion violates the Free Exercise Clause of Article III, Section 5.","Eliminated because enforced segregation creates social enclaves and exacerbates sectarian conflict.","Eliminated because preserving and celebrating cultural history is a constitutional duty under Article XIV, Section 14.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Peace education and culture of peace | Very Difficult | Batch 172"
"In peace education, what is the concept of 'ECOLOGICAL PEACE' or 'LIVING IN HARMONY WITH THE EARTH'?","The recognition that human peace and planetary survival are intrinsically interconnected, requiring the sustainable stewardship of natural resources, environmental justice, and climate protection to prevent resource-driven conflicts and ecological collapse.","The policy of cutting down all national forests to build military combat training bases.","The belief that human beings have zero relationship with the natural environment.","A military strategy to divert all river waters into private commercial swimming pools.","A","Step-by-Step Solution:
1. Conceptual Framework of Ecological Peace:
 - 1. Interdependence: Human beings are an integral part of the ecological web of life. Destructive exploitation of nature (deforestation, river pollution, greenhouse gas emissions) destroys the life-support systems required for human survival.
 - 2. Environmental Injustice as Conflict Driver: Resource scarcity (water shortages, land degradation, climate disasters, sea-level rise) directly triggers violent land conflicts, mass climate migration, and resource wars.
 - 3. Ecological Peace: Integrating environmental preservation, renewable energy, waste management, and sustainable living as essential components of building a peaceful, resilient society.
 - 4. Constitutional Link: Article II, Section 16 (Right to a balanced and healthful ecology in accord with the rhythm and harmony of nature).
2. Option A is the comprehensive, accurate definition.

Common Trap: Viewing environmentalism as separate from peace; Environmental destruction directly DRIVES ARMED CONFLICT over dwindling land and water resources.
Exam Tip: Ecological Peace = Sustainable environmental stewardship + Environmental justice to prevent resource-driven human conflict.","Correct. Survives elimination because peace education recognizes ecological peace as the intrinsic connection between environmental sustainability and human peace, where protecting planetary ecosystems prevents resource-driven wars.","Eliminated because clear-cutting rainforests causes catastrophic ecological destruction and land conflict.","Eliminated because humans are totally dependent upon healthy ecosystems for water, air, and sustenance.","Eliminated because diverting public river basins for private pools causes illegal water deprivation and environmental injustice.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Peace education and culture of peace | Very Difficult | Batch 172"
"What is 'PEACE ZONE' (Zone of Peace) as practiced in Philippine community-based peacebuilding (e.g., in Sagada, Tulunan, and Cantomanyog)?","A geographical area declared by local community consensus where armed combatants (both military and rebel forces) are requested to cease active hostilities, disarm, and respect the territory as a sanctuary for civilians, dialogue, and community development.","A military base dedicated to testing chemical weapons.","A designated commercial casino resort exempt from all national criminal laws.","An offshore foreign naval base operating outside Philippine territorial jurisdiction.","A","Step-by-Step Solution:
1. Historic Peace Initiative in the Philippines:
 - The Concept of 'Community-Declared Peace Zones' (Zones of Peace / ZOP):
 - Pioneered during the late 1980s and 1990s in conflict-affected rural communities (e.g., Cantomanyog in Negros Occidental, Tulunan in North Cotabato, Sagada in Mountain Province).
 - Driven by grassroots civilian communities exhausted by crossfire, displacement, and violence between government troops (AFP) and communist rebels (NPA) or Moro insurgents.
 - Core Principles of a Peace Zone:
 1. Demilitarization of the Village: Combatants cannot enter the village carrying firearms.
 2. Sanctuary for Civilians: Protecting schools, homes, and farms from being used as combat zones or barracks.
 3. Space for Dialogue: Resolving local disputes through traditional elders' councils and community mediation.
 4. Focus on Development: Enabling children to attend school and farmers to cultivate crops in safety.
2. Option A is the precise, historic definition of a Philippine Peace Zone.

Common Trap: Thinking Peace Zones are created by foreign treaties; Philippine Peace Zones were GRASSROOTS, COMMUNITY-DECLARED SANCTUARIES of civilian peace.
Exam Tip: Peace Zone (Zone of Peace) = Community-declared sanctuary where armed combatants are barred from fighting to protect civilians and foster local peace.","Correct. Survives elimination because Philippine peace history defines a Peace Zone as a community-declared demilitarized geographical sanctuary where local residents establish consensus barring armed combatants to protect civilians and foster local development.","Eliminated because Peace Zones are civilian demilitarized areas dedicated to non-violence, not chemical weapon testing.","Eliminated because casino operations have no connection to community-based humanitarian peace sanctuaries.","Eliminated because Peace Zones are domestic grassroots Philippine initiatives, not foreign naval bases.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Peace education and culture of peace | Very Difficult | Batch 172"
"In the context of the Civil Service, why is training in 'NON-VIOLENT COMMUNICATION AND CONFLICT RESOLUTION' essential for public frontline personnel?","Because frontline civil servants interact daily with stressed, frustrated, or angry citizens, and mastering non-violent communication, active listening, and de-escalation prevents minor service friction from erupting into physical violence, maintaining a culture of peace and dignity.","Because civil servants are required to engage in boxing matches with transacting citizens who complain.","Because public employees must learn how to use tear gas on transacting taxpayers.","Because non-violent communication requires government workers to remain completely silent for eight hours daily.","A","Step-by-Step Solution:
1. Operational Public Administration and Frontline Ethics:
 - Frontline Service Realities: Citizens visiting government agencies are often dealing with urgent personal crises (death certificates, hospital subsidies, lost business permits, disaster claims). Long lines or procedural complexity can provoke intense emotional distress.
 - Non-Violent Communication (NVC) & Conflict De-Escalation:
 - 1. Empathic Active Listening: Acknowledging citizen feelings and unmet needs without defensiveness or hostility.
 - 2. Respectful Clarity: Explaining legal requirements calmly and constructively without haughty or condescending language.
 - 3. De-Escalation: Neutralizing aggressive friction through emotional composure and collaborative problem-solving.
 - 4. Result: Prevents workplace violence, upholds citizen dignity, and models the statutory norms of Professionalism and Responsiveness to the Public.
2. Option A is the comprehensive, professional rationale.

Common Trap: Believing customer service is just about repeating rules; mastering NON-VIOLENT DE-ESCALATION is an essential practical peacebuilding skill in the civil service.
Exam Tip: Frontline Conflict Resolution = Empathic listening + Calm de-escalation + Non-violent communication to preserve peace and public trust.","Correct. Survives elimination because training in non-violent communication equips frontline personnel with active listening and de-escalation techniques, resolving public tension peacefully and upholding civil service dignity.","Eliminated because physical violence in government offices is a criminal offense and direct gross misconduct.","Eliminated because chemical riot agents cannot be deployed against ordinary citizens transacting in government offices.","Eliminated because non-violent communication involves constructive, articulate verbal engagement rather than forced silence.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Peace education and culture of peace | Very Difficult | Batch 172"
