QuestionID,Category,Subtopic,InitialStatus,FinalStatus,IssueTypes,Notes,AuditedAt
cmstkgbyp002k20u1qvvz710h,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.770Z
cmstkgbyn000g20u1eg3qvoir,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.773Z
cmstkgbyn000s20u1ybaaae3y,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.773Z
cmstkgbym000420u1xww9dorg,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.773Z
cmstkgbyn000y20u14frxdy58,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.773Z
cmstkgbyn001220u1212x3owv,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.774Z
cmstkgbyo001a20u1r4krz0i3,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.776Z
cmstkgbyo001f20u1scsp81sw,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.776Z
cmstkgbyo001k20u1l5qbtpz0,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.777Z
cmstkgbyp002q20u1zrqob1uk,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.777Z
cmstkgbyn000w20u1qwasucek,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.778Z
cmstkgbyn000o20u1rtjrep7z,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.778Z
cmstkgbyn000k20u1nk0xuc4n,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.779Z
cmstkgbyp002i20u1e2igo9st,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.780Z
cmstkgbyo002620u1s6qc8lh4,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.781Z
cmstkgbyo001o20u1cykndfqt,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,MANUAL_REVIEW,"DUPLICATE_CHOICES","",2026-08-19T09:28:02.782Z
cmstkgbyp002g20u10lgc403p,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.783Z
cmstkgbyo001g20u1iuwnezw9,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.784Z
cmstkgbyp002o20u1f5ttux5z,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.784Z
cmstkgbyo001c20u14gvoueaz,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.785Z
cmstkgbyo001v20u169okcsz7,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,MANUAL_REVIEW,"DUPLICATE_CHOICES","",2026-08-19T09:28:02.786Z
cmstkgbyn000j20u1tes0dvkx,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.787Z
cmstkgbyo002020u1r40rn6sj,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.788Z
cmstkgbyn001820u1n631ge93,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.789Z
cmstkgbyn001620u1b88x7vje,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.790Z
cmstkgbyn000c20u1w1sftnyg,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.791Z
cmstkgbyn001020u1hoqdxyyp,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.792Z
cmstkgbyn000x20u10l8eel3s,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.794Z
cmstkgbym000820u1npnukyxy,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.795Z
cmstkgbyo002320u173o7saw1,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.796Z
cmstkgbyo002420u1vkfx3f1w,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.799Z
cmstkgbyl000020u14j9ytmf9,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.800Z
cmstkgbyo001s20u1106lt2hf,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.801Z
cmstkgbyp002m20u1q1bm523f,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.802Z
cmstkgbyp002c20u1y9guvewn,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.802Z
cmstkgbyp002a20u1qy5hphth,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.803Z
cmstkgbyo001w20u16otl3mnb,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.804Z
cmstkgbyo001q20u1hrttcm8w,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,MANUAL_REVIEW,"DUPLICATE_CHOICES","",2026-08-19T09:28:02.804Z
cmstkgbyp002820u10gq2120u,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.805Z
cmstkgbyn001420u13veqqt0y,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.807Z
cmstkgbyp002r20u1ost8yv91,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.808Z
cmstkgbyp002n20u1dphlfxjr,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.809Z
cmstkgbyp002h20u1b2f44jaq,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.809Z
cmstkgbyp002j20u1954mt0eb,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.810Z
cmstkgbyp002f20u1z4zookhk,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.811Z
cmstkgbyp002d20u1pqu8mm9a,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.812Z
cmstkgbyp002e20u1i6psqxol,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.813Z
cmstkgbyp002b20u1c6hihwls,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.815Z
cmstkgbyp002920u1php9eho7,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.816Z
cmstkgbyo002520u1ss4ks3v5,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.817Z
cmstkgbyp002720u1h23l70dy,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,MANUAL_REVIEW,"DUPLICATE_CHOICES","",2026-08-19T09:28:02.818Z
cmstkgbyo002220u1c4aszr9o,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.819Z
cmstkgbyo002120u1tig6bvds,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.819Z
cmstkgbyo001z20u1ywk884go,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.820Z
cmstkgbyo001y20u1t97z7qf2,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.821Z
cmstkgbyo001x20u10lw1skbr,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,MANUAL_REVIEW,"DUPLICATE_CHOICES","",2026-08-19T09:28:02.822Z
cmstkgbyo001t20u120wbs1ba,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,MANUAL_REVIEW,"DUPLICATE_CHOICES","",2026-08-19T09:28:02.823Z
cmstkgbyo001u20u1gnlm5n7o,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.824Z
cmstkgbyo001r20u1b041nki2,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,MANUAL_REVIEW,"DUPLICATE_CHOICES","",2026-08-19T09:28:02.825Z
cmstkgbyo001p20u1tz0mbh2u,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties",AUDITED,MANUAL_REVIEW,"DUPLICATE_CHOICES","",2026-08-19T09:28:02.826Z
cmstkgbyo001n20u1kkyqpykl,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.828Z
cmstkgbyo001m20u1scvd4web,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.830Z
cmstkgbyo001l20u1gqnpthbh,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.833Z
cmstkgbyo001j20u10eso7wnn,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.836Z
cmstkgbyo001i20u1ey94lfs5,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.845Z
cmstkgbyo001h20u1d09rr951,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.847Z
cmstkgbyo001e20u1lw36mcho,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.849Z
cmstkgbyo001d20u1tt4ok2ca,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.851Z
cmstkgbyo001b20u1yrflzzfh,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.853Z
cmstkgbyn001920u1nfrldo0x,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.854Z
cmstkgbyn001720u19ape0kzw,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.856Z
cmstkgbyn001520u1fgbm8i9u,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.857Z
cmstkgbyn001320u1k30lhahp,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.859Z
cmstkgbyn001120u1hiu296dt,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.861Z
cmstkgbyn000z20u1en5ky0my,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.863Z
cmstkgbyn000v20u1ezr2yrq9,"Verbal Ability","Reading Comprehension - Core Reading Skills",AUDITED,VERIFIED,"","",2026-08-19T09:28:02.866Z
