"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"In the classic landmark case of People v. Cayat (68 Phil. 12, 1939), what are the FOUR REQUISITES FOR A VALID CLASSIFICATION under the Equal Protection Clause of Article III, Section 1?","(1) It must rest on substantial distinctions, (2) It must be germane to the purpose of the law, (3) It must not be limited to existing conditions only, and (4) It must apply equally to all members of the same class.","(1) It must be signed by the President, (2) It must be approved by the Supreme Court, (3) It must apply only to one designated corporation, and (4) It must expire within one year.","(1) It must classify based on wealth, (2) It must exclude all foreign residents, (3) It must require a university diploma, and (4) It must be published in three local dialects.","(1) It must create separate judicial courts for different political parties, (2) It must exempt legislators from criminal laws, (3) It must require cash bonds, and (4) It must be non-appealable.","A","Step-by-Step Solution:
1. Foundational Jurisprudence: People v. Cayat (68 Phil. 12, 1939), penned by Justice Jose P. Laurel:
2. The Four Indispensable Requisites for Valid Classification (The Cayat Test):
   - Equal protection does NOT require absolute, universal identity of treatment for all persons; it permits REASONABLE CLASSIFICATION.
   - For a classification to be constitutional and valid, it MUST satisfy:
     1. SUBSTANTIAL DISTINCTIONS: It must rest on real and substantial distinctions which make for real differences (not arbitrary, fictitious, or cosmetic).
     2. GERMANE TO THE PURPOSE OF THE LAW: The classification must be logically and reasonably relevant to the statutory objective sought to be attained.
     3. NOT LIMITED TO EXISTING CONDITIONS ONLY: It must be prospective and enduring, applying to all future individuals/entities that fall into the defined class (not frozen to a specific moment or single historical entity).
     4. APPLY EQUALLY TO ALL MEMBERS OF THE SAME CLASS: It must operate uniformly on all persons under the same circumstances and conditions.
3. Option A is the verbatim four-part Cayat test.

Common Trap: Thinking equal protection means everyone must be treated identically; the law can treat different classes differently if the Cayat test is satisfied.
Exam Tip: People v. Cayat = 4 Requisites of Valid Classification: (1) Substantial distinctions, (2) Germane to purpose, (3) Not limited to existing conditions, (4) Apply equally to same class.","Correct. Survives elimination because People v. Cayat established the four foundational requisites for a valid classification under equal protection: substantial distinctions, germane to statutory purpose, not limited to existing conditions, and equal application to all members of the class.","Eliminated because presidential signature and judicial pre-approval are not elements of the constitutional classification test.","Eliminated because wealth classifications and arbitrary alien exclusions generally violate equal protection.","Eliminated because exempting legislators from general criminal laws violates equal protection and the rule of law.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Equal protection | Very Difficult | Batch 146"
"In the landmark decision of Biraogo v. The Philippine Truth Commission of 2010 (G.R. No. 192935, December 7, 2010), why did the Supreme Court declare Executive Order No. 1 UNCONSTITUTIONAL for violating the Equal Protection Clause?","Executive Order No. 1 singled out the administration of former President Gloria Macapagal-Arroyo for exclusive investigation of corruption, violating equal protection by failing to apply to similar graft offenses committed during other past presidential administrations.","Executive Order No. 1 was unconstitutional because the President has no power to investigate graft and corruption.","Executive Order No. 1 was void because truth commissions can only be created by the Supreme Court.","Executive Order No. 1 was struck down because it failed to provide funding for Truth Commission commissioners.","A","Step-by-Step Solution:
1. Landmark Case: Biraogo v. The Philippine Truth Commission of 2010 (637 SCRA 78, 2010), penned by Justice Jose Catral Mendoza:
   - Facts: President Benigno Aquino III issued Executive Order No. 1 creating the Philippine Truth Commission to investigate reported cases of large-scale graft and corruption committed EXCLUSIVELY 'during the Arroyo Administration.'
   - Supreme Court Ruling (En Banc):
     - 1. EQUAL PROTECTION VIOLATION: The classification violated the 4-part Cayat test.
     - 2. Singling out the Arroyo administration to the total exclusion of other past or future administrations was an ARBITRARY, TARGETED CLASSIFICATION.
     - 3. Graft and corruption is not an exclusive phenomenon of a single political regime; officials of other administrations accused of identical corruption are 'similarly situated.'
     - 4. The classification failed the test of being 'not limited to existing conditions only' and did not rest on substantial distinctions relevant to the broad purpose of eradicating graft.
2. Option A is the precise legal holding of Biraogo v. Truth Commission.

Common Trap: Assuming an executive commission can target a specific predecessor; the Equal Protection Clause prohibits selective, discriminatory targeting of a specific administration while ignoring other similarly situated officials.
Exam Tip: Biraogo v. Truth Commission = Singling out a specific past administration for exclusive graft investigation violates EQUAL PROTECTION.","Correct. Survives elimination because Biraogo v. Truth Commission ruled that Executive Order No. 1 violated equal protection by arbitrarily isolating the Arroyo administration for investigation while excluding other past regimes with identical corruption allegations.","Eliminated because the President possesses inherent investigatory authority under the Take Care clause (Article VII, Section 17), but must exercise it within constitutional equal protection bounds.","Eliminated because truth commissions can be created by the Executive or Legislature; the fatal flaw was its selective targeting.","Eliminated because the ruling was grounded strictly on the Equal Protection Clause, not budgetary issues.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Equal protection | Very Difficult | Batch 146"
"In constitutional law and judicial review (e.g., White Light Corp. v. City of Manila, Mosqueda v. Pilipino Banana Growers), what are the THREE LEVELS OF JUDICIAL SCRUTINY applied to test classifications under the Equal Protection Clause?","(1) RATIONAL BASIS TEST (for economic and commercial regulations), (2) INTERMEDIATE SCRUTINY (for quasi-suspect classifications like gender or legitimacy), and (3) STRICT SCRUTINY (for suspect classifications like race/religion or laws burdening fundamental constitutional rights).","(1) Local Trial Test, (2) Appellate Test, and (3) Supreme Court Test.","(1) Summary Inquest Test, (2) Preliminary Investigation Test, and (3) Plenary Trial Test.","(1) Barangay Conciliation Test, (2) Civil Service Test, and (3) Ombudsman Review Test.","A","Step-by-Step Solution:
1. Foundational Jurisprudence on Levels of Scrutiny:
   - White Light Corp. v. City of Manila (576 SCRA 416, 2009).
   - Mosqueda v. Pilipino Banana Growers & Plantations Association, Inc. (794 SCRA 237, 2016).
   - Ang Ladlad LGBT Party v. COMELEC (618 SCRA 32, 2010).
   - Samahan ng mga Progresibong Kabataan (SPARK) v. Quezon City (835 SCRA 350, 2017).
2. The Three-Tiered Scrutiny Framework:
   - 1. RATIONAL BASIS TEST (Lowest Level / Deferential):
     - Standard: Is the classification rationally related to a legitimate governmental purpose?
     - Application: General economic, tax, commercial, and property regulations (enjoys presumption of constitutionality).
   - 2. INTERMEDIATE SCRUTINY (Middle Level):
     - Standard: Is the classification substantially related to an important governmental objective?
     - Application: Quasi-suspect classifications (e.g., gender, sex, child legitimacy).
   - 3. STRICT SCRUTINY (Highest Level / Most Rigorous):
     - Standard: Is the classification necessary to achieve a COMPELLING STATE INTEREST, and is it the LEAST RESTRICTIVE MEANS (narrowly tailored)?
     - Application: Suspect classifications (e.g., race, national origin, religion, alienage) or laws that infringe upon FUNDAMENTAL CONSTITUTIONAL RIGHTS (e.g., freedom of speech, right to travel, voting, personal liberty).
3. Option A is the definitive, authoritative three-tiered framework.

Common Trap: Applying the rational basis test to speech or racial classifications; speech, religious, and fundamental liberty restrictions are subject to STRICT SCRUTINY (Compelling State Interest + Least Restrictive Means).
Exam Tip: The 3 Equal Protection Tiers: (1) Rational Basis (Economic/Commercial), (2) Intermediate Scrutiny (Gender/Legitimacy), (3) Strict Scrutiny (Fundamental Rights/Suspect Classes).","Correct. Survives elimination because established constitutional doctrine recognizes the three tiers of review: Rational Basis for ordinary economic laws, Intermediate Scrutiny for quasi-suspect classes (gender), and Strict Scrutiny for fundamental rights and suspect classes.","Eliminated because the levels of scrutiny are constitutional scrutiny standards, not names of court levels in the judicial hierarchy.","Eliminated because inquest and preliminary investigation are stages of criminal procedure under Rule 112, not equal protection tests.","Eliminated because barangay conciliation and civil service exams are administrative mechanisms, not equal protection tiers.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Equal protection | Very Difficult | Batch 146"
"In the landmark ruling of Ormoc Sugar Company, Inc. v. Treasurer of Ormoc City (G.R. No. L-23794, February 17, 1968), why was a municipal tax ordinance imposing a municipal tax EXCLUSIVELY on 'Ormoc Sugar Company' declared UNCONSTITUTIONAL for violating the Equal Protection Clause?","The ordinance violated the third requisite of valid classification because it was 'LIMITED TO EXISTING CONDITIONS ONLY' by explicitly naming a single existing corporation, precluding its application to any future sugar centrals that might be established in the city.","The ordinance was unconstitutional because municipalities are prohibited from collecting any municipal taxes on agricultural commodities.","The ordinance was void because taxes can only be levied on foreign-owned corporations.","The ordinance was invalid because Ormoc City was not yet an independent chartered city.","A","Step-by-Step Solution:
1. Landmark Case: Ormoc Sugar Company, Inc. v. Treasurer of Ormoc City (22 SCRA 603, 1968), penned by Justice J.P. Bengzon:
   - Facts: The Municipal Board of Ormoc City passed Ordinance No. 4 imposing a production tax of one percent on all centrifugal sugar produced by the 'Ormoc Sugar Company, Inc.' (the only sugar central in the city at that time). Ormoc Sugar paid under protest and challenged the ordinance.
   - Supreme Court Ruling (En Banc):
     - 1. EQUAL PROTECTION VIOLATION: A valid classification must NOT BE LIMITED TO EXISTING CONDITIONS ONLY (3rd Cayat Requisite).
     - 2. By explicitly naming 'Ormoc Sugar Company, Inc.' in the statutory text of the ordinance, the tax was tailormade exclusively for that specific existing corporate entity.
     - 3. If a new sugar central were established in Ormoc City the following year, it would be exempt from the tax simply because it was not named 'Ormoc Sugar Company, Inc.'
     - 4. An ordinance must be framed in general, prospective terms applying to all sugar centrals operating now or in the future to satisfy equal protection.
2. Option A is the precise legal holding of Ormoc Sugar Company v. Treasurer of Ormoc City.

Common Trap: Thinking a law can name a specific company if it is currently the only one in town; naming the entity violates the rule that laws must NOT be limited to existing conditions only.
Exam Tip: Ormoc Sugar Co. v. Treasurer = Taxing a company BY NAME violates Equal Protection (Limited to existing conditions only; must be prospective and general).","Correct. Survives elimination because Ormoc Sugar Company v. Treasurer established that naming a specific company in a tax ordinance violates equal protection because the classification is limited to existing conditions and fails to apply to future entities of the same class.","Eliminated because local governments possess statutory authority to levy local taxes on business operations, provided equal protection is respected.","Eliminated because taxes must be uniform and cannot discriminate arbitrarily between domestic and foreign entities.","Eliminated because Ormoc was a validly chartered city; the nullity arose strictly from the discriminatory drafting of the ordinance.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Equal protection | Very Difficult | Batch 146"
"In the landmark ruling of Ang Ladlad LGBT Party v. Commission on Elections (G.R. No. 190582, April 8, 2010), why did the Supreme Court reverse COMELEC and grant party-list accreditation to Ang Ladlad under the Equal Protection Clause?","COMELEC's denial of accreditation based on religious and moral disapproval of the LGBT community violated the Equal Protection Clause and the Non-Establishment Clause, as moral antipathy without empirical evidence of societal harm cannot justify state discrimination.","The Supreme Court ruled that homosexual organizations are automatically entitled to 50% of the seats in the House of Representatives.","The Supreme Court held that COMELEC has no power to screen party-list applications.","The Supreme Court ruled that party-list accreditation is determined exclusively by the Department of Social Welfare and Development.","A","Step-by-Step Solution:
1. Landmark Case: Ang Ladlad LGBT Party v. Commission on Elections (618 SCRA 32, 2010), penned by Justice Mariano Del Castillo:
   - Facts: COMELEC refused to accredit Ang Ladlad (an organization of Filipino LGBT individuals) as a sectoral party under the Party-List System Act (RA 7941), citing Bible verses, the Quran, and claiming the group advocated 'immoral' conduct.
   - Supreme Court Ruling (En Banc):
     - 1. EQUAL PROTECTION VIOLATION: Moral bias, religious dogma, and societal prejudice do not constitute a legitimate or compelling state interest under equal protection.
     - 2. The State cannot deny a group the right to participate in the democratic electoral process merely because government officials morally disapprove of their sexual orientation or gender identity.
     - 3. SEPARATION OF CHURCH AND STATE: Citing religious scriptures to deny civil political participation directly violates the Non-Establishment Clause (Article III, Section 5).
     - 4. LGBT citizens are entitled to the full and equal protection of the laws, including the right to organize and field candidates in the party-list system.
2. Option A is the precise legal holding of Ang Ladlad v. COMELEC.

Common Trap: Assuming moral distaste by an election body justifies disqualification; Ang Ladlad firmly established that equal protection prohibits discrimination based on moral/religious disapproval.
Exam Tip: Ang Ladlad v. COMELEC = Denying party-list registration to LGBT organization based on moral/religious bias violates EQUAL PROTECTION and NON-ESTABLISHMENT CLAUSE.","Correct. Survives elimination because Ang Ladlad v. COMELEC established that denying party-list accreditation based on religious and moral bias against the LGBT community violates the Equal Protection Clause and the separation of Church and State.","Eliminated because party-list seats are won through popular proportional voting, not automatic 50% quotas.","Eliminated because COMELEC retains constitutional authority to screen party-list applicants under statutory standards, but cannot enforce discriminatory religious criteria.","Eliminated because party-list accreditation is the exclusive constitutional domain of COMELEC under Article IX-C.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Equal protection | Very Difficult | Batch 146"
"In Central Bank Employees Association, Inc. v. Bangko Sentral ng Pilipinas (G.R. No. 148204, December 15, 2004), what did the Supreme Court rule regarding the EQUAL PROTECTION challenge to the Salary Standardization Law exemption?","While the law exempting officers but capping rank-and-file BSP employees was originally valid, the subsequent enactment of charters for other financial GOCCs exempting BOTH officers and rank-and-file rendered the continued disparate treatment of BSP rank-and-file employees a violation of the Equal Protection Clause (doctrine of relative unconstitutionality).","The Salary Standardization Law is unconstitutional across all branches and agencies of the national government.","Rank-and-file civil servants are prohibited from receiving any salary increases during their entire career.","The Supreme Court ordered the abolition of the Bangko Sentral ng Pilipinas.","A","Step-by-Step Solution:
1. Landmark Case: Central Bank Employees Association, Inc. v. Bangko Sentral ng Pilipinas (446 SCRA 299, 2004), penned by Justice Artemio Panganiban:
   - Facts: Section 15(c) of Republic Act No. 7653 (New Central Bank Act of 1993) exempted BSP executive officers from the Salary Standardization Law (SSL / RA 6758), but kept BSP rank-and-file employees under the SSL. Later, Congress enacted separate charters for other financial institutions (LBP, DBP, GSIS, SSS, PDIC) exempting BOTH officers and rank-and-file from the SSL.
   - Supreme Court Ruling (En Banc):
     - 1. DOCTRINE OF RELATIVE UNCONSTITUTIONALITY: A law valid when enacted may become unconstitutional over time due to changed circumstances and subsequent legislation.
     - 2. EQUAL PROTECTION VIOLATION: There was no substantial distinction between BSP rank-and-file employees and the rank-and-file employees of LandBank, DBP, GSIS, and SSS.
     - 3. Denying BSP rank-and-file equal compensation treatment while exempting rank-and-file of other financial GOCCs created an arbitrary, unjust discrimination that violated the Equal Protection Clause.
2. Option A is the precise legal holding of the Central Bank Employees Association case.

Common Trap: Believing a law once valid is permanently valid; Central Bank Employees Association established that changing circumstances and subsequent statutes can render an old statutory classification unconstitutional under Equal Protection.
Exam Tip: Central Bank Employees Association v. BSP = Equal protection violated when BSP rank-and-file remained capped while subsequent laws exempted rank-and-file of other financial GOCCs.","Correct. Survives elimination because Central Bank Employees Association v. BSP established that subsequent statutory exemptions granted to other financial GOCCs rendered the continued salary cap on BSP rank-and-file a violation of equal protection.","Eliminated because the Salary Standardization Law remains valid as a general compensation framework for the civil service.","Eliminated because rank-and-file employees are entitled to statutory step increments and standardized salary adjustments.","Eliminated because the ruling struck down the discriminatory compensation proviso, leaving the BSP charter and institution fully intact.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Equal protection | Very Difficult | Batch 146"
"In the landmark labor and equal protection case of Philippine Association of Service Exporters, Inc. (PASEI) v. Drilon (G.R. No. 81958, June 30, 1988), why was the Department of Labor's temporary ban on the deployment of FEMALE DOMESTIC WORKERS abroad upheld as CONSTITUTIONAL?","The temporary deployment ban rested on substantial distinctions, as Philippine female domestic workers abroad were empirically documented to be uniquely vulnerable to severe physical exploitation, sexual abuse, and human trafficking compared to other classes of overseas workers.","The Constitution mandates that women are legally barred from all forms of overseas employment.","The Supreme Court held that the Secretary of Labor has unchecked power to ban all citizens from traveling abroad.","The regulation was valid because domestic workers are not protected by the Philippine Bill of Rights.","A","Step-by-Step Solution:
1. Landmark Case: Philippine Association of Service Exporters, Inc. (PASEI) v. Drilon (163 SCRA 386, 1988), penned by Justice Edgardo Paras:
   - Facts: The DOLE Secretary issued Department Order No. 1 temporarily suspending the deployment of Filipino female domestic and household workers abroad due to widespread reports of torture, rape, unpaid wages, and physical abuse suffered by Filipina domestic workers in foreign countries. PASEI challenged the order as discriminatory against women under the Equal Protection Clause.
   - Supreme Court Ruling (En Banc):
     - 1. VALID CLASSIFICATION UNDER EQUAL PROTECTION: The classification between male workers/other professions and female domestic workers rested on SUBSTANTIAL DISTINCTIONS.
     - 2. Empirical Reality: Female domestic workers working in private foreign households were isolated, had no institutional labor protections, and were uniquely exposed to sexual violence, torture, and grave physical hazards.
     - 3. The temporary deployment ban was a valid exercise of POLICE POWER to protect vulnerable citizens, and was germane to the statutory purpose of protecting the health, safety, and human dignity of Filipino migrant workers.
2. Option A is the precise legal holding of PASEI v. Drilon.

Common Trap: Assuming all gender-based laws are automatically unconstitutional; if a classification rests on real, empirical, protective distinctions (such as protecting vulnerable female domestic workers from foreign abuse), it survives equal protection scrutiny.
Exam Tip: PASEI v. Drilon = Temporary deployment ban on female domestic workers UPHELD under Equal Protection (Based on substantial distinctions of unique vulnerability and safety).","Correct. Survives elimination because PASEI v. Drilon held that the protective deployment ban on female domestic workers was a constitutional classification based on documented, substantial distinctions regarding their unique vulnerability to foreign abuse.","Eliminated because the Constitution protects gender equality (Article II, Section 14) and does not ban women from overseas careers.","Eliminated because the right to travel under Article III, Section 6 can only be restricted on statutory grounds of national security, public safety, or public health.","Eliminated because overseas Filipino workers retain all fundamental protections of the Philippine Bill of Rights.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Equal protection | Very Difficult | Batch 146"
"In the seminal ruling of Villegas v. Hiu Chiong Tsai Pao Ho (G.R. No. L-29646, November 10, 1978), why was Manila City Ordinance No. 6537 (requiring all foreign aliens to pay a PHP 500 employment permit fee before securing private employment) declared UNCONSTITUTIONAL?","The ordinance violated the Equal Protection Clause by creating an arbitrary and unreasonable discrimination against resident aliens, effectively denying them the right to engage in lawful ordinary employment to earn a livelihood.","The ordinance was unconstitutional because local governments are prohibited from collecting any municipal regulatory fees.","The ordinance was void because aliens in the Philippines enjoy complete immunity from all Philippine statutes.","The ordinance was struck down because employment permits can only be issued by foreign embassies.","A","Step-by-Step Solution:
1. Landmark Case: Villegas v. Hiu Chiong Tsai Pao Ho (86 SCRA 275, 1978), penned by Justice Hermogenes Concepcion, Jr.:
   - Facts: Manila Mayor Antonio Villegas approved Ordinance No. 6537 prohibiting any alien from being employed in any commercial enterprise in Manila without first obtaining an employment permit from the Mayor and paying a massive PHP 500 annual fee.
   - Supreme Court Ruling (En Banc):
     - 1. SCOPE OF EQUAL PROTECTION: Aliens (foreign nationals lawfully residing in the Philippines) are 'PERSONS' within the meaning of Article III, Section 1 and are entitled to the Equal Protection of the laws.
     - 2. UNCONSTITUTIONAL DISCRIMINATION: While the State may restrict certain sensitive sectors (e.g., retail trade under the Anti-Dummy Law, public utilities, mass media), it CANNOT indiscriminately deny resident aliens the basic human right to engage in ordinary lawful employment to earn a living.
     - 3. The PHP 500 fee (equivalent to huge sums at that time) was purely revenue-raising and an oppressive, discriminatory barrier against resident aliens, violating Equal Protection and Substantive Due Process.
2. Option A is the precise legal holding of Villegas v. Hiu Chiong.

Common Trap: Believing aliens have no rights to work; while nationalized industries are reserved for citizens, resident aliens cannot be arbitrarily barred from general lawful employment.
Exam Tip: Villegas v. Hiu Chiong = Discriminatory employment permit fees imposed on resident aliens violate the EQUAL PROTECTION CLAUSE.","Correct. Survives elimination because Villegas v. Hiu Chiong established that resident aliens are protected by the Equal Protection Clause and cannot be arbitrarily burdened with discriminatory employment fees that destroy their right to earn a livelihood in lawful occupations.","Eliminated because local governments have police power to collect reasonable regulatory fees, but cannot enact discriminatory measures violating the Bill of Rights.","Eliminated because aliens are subject to Philippine laws and courts while within Philippine territorial jurisdiction.","Eliminated because work permits for foreigners are governed domestically by the DOLE and Bureau of Immigration, not foreign embassies.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Equal protection | Very Difficult | Batch 146"
"In the landmark ruling of Mosqueda v. Pilipino Banana Growers & Plantations Association, Inc. (G.R. No. 180062, August 16, 2016), why did the Supreme Court declare Davao City Ordinance No. 0309-07 (imposing a total ban on AERIAL SPRAYING of agricultural fungicides) UNCONSTITUTIONAL for violating Equal Protection?","The ordinance created an arbitrary and under-inclusive classification by banning aerial spraying while permitting equally hazardous ground and truck spraying, failing to provide substantial distinctions based on scientific evidence.","The ordinance was unconstitutional because Davao City has no power to regulate agricultural chemicals.","The ordinance was void because banana plantations are declared sovereign federal enclaves.","The ordinance was invalid because agricultural ordinances must be approved by the World Trade Organization.","A","Step-by-Step Solution:
1. Landmark Case: Mosqueda v. Pilipino Banana Growers and Plantations Association, Inc. (794 SCRA 237, 2016), penned by Justice Lucas Bersamin:
   - Facts: Davao City Council enacted Ordinance No. 0309-07 banning aerial spraying of pesticides in all agricultural operations in Davao City, imposing a mandatory 3-month transition to ground spraying and creating a 30-meter buffer zone.
   - Supreme Court Ruling (En Banc):
     - 1. EQUAL PROTECTION VIOLATION: The classification between aerial spraying and ground spraying was ARBITRARY AND UNREASONABLE.
     - 2. Under-inclusive & Unscientific: The city presented no scientific evidence showing that aerial spraying per se was more hazardous than high-pressure manual, tractor, or truck ground spraying, which use the exact same chemical pesticides and also cause airborne chemical drift.
     - 3. The ordinance singled out aerial spraying without substantial distinctions relevant to the environmental and health objectives of the law.
     - 4. It also violated Substantive Due Process by imposing an impossible 3-month transition period that destroyed agricultural operations.
2. Option A is the precise legal holding of Mosqueda v. PBGEA.

Common Trap: Assuming environmental bans are immune from equal protection review; environmental ordinances must rest on valid, non-arbitrary classifications backed by substantial evidence.
Exam Tip: Mosqueda v. Pilipino Banana Growers = Banning aerial spraying while allowing ground spraying with same chemicals violates EQUAL PROTECTION (Arbitrary classification without substantial distinctions).","Correct. Survives elimination because Mosqueda v. Pilipino Banana Growers struck down the aerial spray ban for violating equal protection, ruling that isolating aerial application while permitting ground spraying of the identical pesticides lacked substantial scientific distinction.","Eliminated because local governments have police power over health and environment, but must exercise it without arbitrary classifications.","Eliminated because commercial plantations are private agricultural lands subject to municipal laws.","Eliminated because domestic municipal environmental regulations are evaluated under Philippine constitutional law, not WTO approval.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Equal protection | Very Difficult | Batch 146"
"Under the Strict Scrutiny tier of Equal Protection review, what is the mandatory BURDEN OF PROOF and STANDARD that the State must demonstrate to uphold a law that impairs a fundamental right or uses a suspect classification?","The State carries the heavy burden of proving that the classification is necessary to achieve a COMPELLING STATE INTEREST, and that the measure is the LEAST RESTRICTIVE MEANS (narrowly tailored) to achieve that objective.","The State is presumed correct and the petitioner must prove bad faith by clear and convincing evidence.","The State need only show that the law is supported by general anecdotal opinions of local law enforcement officers.","The State must obtain a unanimous certifying resolution from the United Nations Human Rights Council.","A","Step-by-Step Solution:
1. Foundational Jurisprudence (White Light Corp. v. City of Manila, 576 SCRA 416; SPARK v. Quezon City, 835 SCRA 350; Disini v. Secretary of Justice):
2. The Strict Scrutiny Standard:
   - Presumption of Constitutionality is REVERSED: Under Strict Scrutiny, the usual presumption that a statute is valid is discarded; the law is PRESUMED UNCONSTITUTIONAL.
   - The BURDEN OF PROOF shifts entirely to the STATE.
   - Two Indispensable Elements the State Must Prove:
     1. COMPELLING STATE INTEREST: The government objective must not be merely 'legitimate' or 'important'; it must be an overriding, paramount, and compelling public necessity.
     2. LEAST RESTRICTIVE MEANS (Narrow Tailoring): The statute must be the least intrusive and narrowest possible means to achieve that objective, without unnecessarily infringing upon protected liberties or burdening more conduct than strictly necessary.
3. Option A is the definitive legal formulation of the Strict Scrutiny test.

Common Trap: Thinking the challenger bears the burden of proof in strict scrutiny cases; in Strict Scrutiny, the burden is on the STATE to prove a Compelling State Interest and Least Restrictive Means.
Exam Tip: Strict Scrutiny Standard = Presumption of unconstitutionality; State must prove (1) COMPELLING STATE INTEREST and (2) LEAST RESTRICTIVE MEANS.","Correct. Survives elimination because under the strict scrutiny standard, the burden shifts to the State to prove that the classification is narrowly tailored as the least restrictive means to achieve a compelling governmental interest.","Eliminated because the standard presumption of constitutionality does not apply under strict scrutiny; the law is scrutinized with strict skepticism.","Eliminated because anecdotal opinions fail the rigorous strict scrutiny evidentiary standard.","Eliminated because domestic constitutional scrutiny is adjudicated by Philippine courts under the Constitution, independent of UN resolutions.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Equal protection | Very Difficult | Batch 146"
