"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under the Revised SALN Form (CSC Resolution No. 1500088) and Section 8 of RA 6713, what is the exact mathematical formula used to compute a public official's 'NET WORTH'?","NET WORTH = TOTAL ASSETS (Sum of Total Real Property Acquisition Costs + Total Personal Property Acquisition Costs) MINUS TOTAL LIABILITIES (Sum of All Outstanding Debts and Obligations).","NET WORTH = Total Annual Salary multiplied by twenty years of service.","NET WORTH = Total Assessed Real Estate Value plus the annual agency budget.","NET WORTH = Total Cash in Bank plus the market value of the official's government-issued computer.","A","Step-by-Step Solution:
1. Statutory & Accounting Basis: RA 6713, Section 8 & CSC Resolution No. 1500088 (Revised SALN Form):
2. The Mathematical Steps to Compute Net Worth on the SALN:
 - Step 1: Calculate Total Real Properties (Sum of the ACQUISITION COSTS of all declared real properties).
 - Step 2: Calculate Total Personal Properties (Sum of the ACQUISITION COSTS of all personal properties, cash, bank accounts, vehicles, jewelry, investments).
 - Step 3: Calculate TOTAL ASSETS = Total Real Properties (at cost) + Total Personal Properties (at cost).
 - Step 4: Calculate TOTAL LIABILITIES = Sum of all outstanding loans, mortgages, promissory notes, and debts.
 - Step 5: NET WORTH = TOTAL ASSETS - TOTAL LIABILITIES.
3. Option A is the precise, standard formula.

Common Trap: Using Fair Market Value to compute Net Worth on the SALN; in the Civil Service SALN Form, Total Assets are computed using historical ACQUISITION COST to maintain accounting consistency with cash outflows.
Exam Tip: SALN Net Worth Formula = TOTAL ASSETS (Real + Personal at acquisition cost) MINUS TOTAL LIABILITIES (All debts/obligations).","Correct. Survives elimination because the Revised SALN Form (CSC Res. 1500088) strictly defines Net Worth as the difference between Total Assets (Real plus Personal properties at acquisition cost) and Total Liabilities (all outstanding debts).","Eliminated because multiplying annual salary over 20 years calculates cumulative gross earnings, not net worth.","Eliminated because adding agency budget allocations to real property confuses state agency funds with personal private wealth.","Eliminated because government-issued computers are state property that cannot be included in a personal asset inventory.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | SALN | Very Difficult | Batch 167"
"Under Civil Service Commission rules on SALN compliance (CSC Memorandum Circular No. 10, Series of 2006 & CSC Resolution No. 06-0231), what is the function of the agency 'SALN REVIEW AND COMPLIANCE COMMITTEE' (RCC), and what is the MANDATORY 30-DAY CORRECTIVE PERIOD?","The Committee reviews all submitted SALNs to determine if they are accomplished properly, and if a SALN is incomplete or deficient, the agency head issues a formal compliance order giving the employee a NON-EXTENDIBLE PERIOD OF THIRTY (30) DAYS to correct or submit the proper SALN before administrative charges are filed.","The Committee is authorized to seize 50% of the employee's net worth without a court hearing.","The Committee automatically files criminal plunder cases against employees who make minor typographical errors.","The Committee is an informal private club that reviews employee holiday vacation photos.","A","Step-by-Step Solution:
1. Administrative Framework:
 - Section 10, RA 6713 (Review and Compliance Procedure).
 - CSC Memorandum Circular No. 10, Series of 2006 & CSC Resolution No. 06-0231.
 - Navarro v. Office of the Ombudsman (795 SCRA 611, 2016).
2. The Review and Compliance Mechanism:
 - 1. Agency RCC: Every government department/agency creates a SALN Review and Compliance Committee composed of HR, legal, and administration representatives.
 - 2. Timeliness & Completeness Audit: The RCC evaluates whether all employees filed on time and completely filled out all required sections.
 - 3. The 30-Day Corrective Opportunity:
 - If an employee failed to file, or submitted an incomplete/deficient SALN, the head of agency must issue a formal NOTICE OF DEFICIENCY / COMPLIANCE ORDER.
 - The employee is given a MANDATORY 30-DAY PERIOD from receipt of notice to SUBMIT OR CORRECT the SALN.
 - If the employee cures the deficiency within 30 days, NO administrative charge for non-filing shall lie.
 - If the employee fails to comply after 30 days, administrative charges for Failure to File SALN are formally initiated.
3. Option A matches the statutory and CSC rule verbatim.

Common Trap: Believing an employee is immediately fired for a minor missing detail; the law PROVIDES A MANDATORY 30-DAY OPPORTUNITY TO CORRECT deficiencies before sanctions are imposed.
Exam Tip: SALN Review & Compliance Procedure = Agency RCC audits SALNs + Gives a MANDATORY 30-DAY PERIOD to correct deficiencies before filing charges.","Correct. Survives elimination because CSC MC No. 10 (s. 2006) mandates the SALN Review and Compliance Committee to review filings and grant a non-extendible 30-day corrective window to rectify deficiencies before administrative prosecution.","Eliminated because the Review Committee has no judicial power to confiscate private property.","Eliminated because minor clerical omissions are subject to the 30-day correction protocol rather than immediate plunder charges.","Eliminated because the RCC is a statutory administrative oversight body, not an informal recreational club.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | SALN | Very Difficult | Batch 167"
"Under civil service rules on SALN filing, when BOTH HUSBAND AND WIFE ARE PUBLIC OFFICIALS OR EMPLOYEES, how must their SALNs be accomplished and filed?","They may file JOINTLY by accomplishing a single SALN form signed by both spouses and submitting copies to their respective government agencies, OR they may choose to file SEPARATELY by accomplishing separate SALN forms while still declaring all conjugal and exclusive assets.","They are exempt from filing because married public servants are prohibited from submitting financial disclosures.","The husband must file a SALN while the wife is legally forbidden from submitting any financial statement.","They must surrender all their conjugal property to the Civil Service Commission within thirty days of marriage.","A","Step-by-Step Solution:
1. Statutory & Administrative Authority:
 - Section 8(A), RA 6713 & CSC Resolution No. 1500088 (Guidelines on the Filing of SALN):
2. Options for Married Public Servants (Dual-Government Spouses):
 - 1. Option 1: JOINT FILING:
 - The husband and wife accomplish a SINGLE jo∫ SALN form.
 - BOTH spouses must sign the sworn declaration.
 - A copy of the identical jo∫ SALN is submitted to the husband's employer agency, and another copy to the wife's employer agency.
 - 2. Option 2: SEPARATE FILING:
 - Each spouse accomplishes their own separate SALN form.
 - Each separate SALN must still declare ALL conjugal/community assets as well as exclusive paraphernal/capital properties of both spouses.
3. Option A is the precise, complete administrative rule.

Common Trap: Thinking dual-government spouses only submit one form to one office; copies MUST be submitted to BOTH respective government employers.
Exam Tip: Married Public Servants (Dual Government) = May file JOINTLY (single form signed by both) OR SEPARATELY (separate forms); Copies submitted to BOTH agencies.","Correct. Survives elimination because CSC Resolution No. 1500088 explicitly allows married public servants the choice of jo∫ filing (a single form signed by both) or separate filing, with submissions required to both respective agencies.","Eliminated because married status does not exempt civil servants from constitutional financial disclosures under Article XI, Section 17.","Eliminated because gender equality under the Constitution and civil service rules applies identical disclosure obligations to both spouses.","Eliminated because marriage does not result in the forfeiture of private conjugal property to the state.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | SALN | Very Difficult | Batch 167"
"In the landmark case of Office of the Ombudsman v. Racho (G.R. No. 185685, January 31, 2011), what did the Supreme Court rule regarding a public officer who DELIBERATELY CONCEALS substantial bank deposits and commercial real properties from his SALN?","Deliberately concealing substantial assets from the SALN constitutes GROSS DISHONESTY AND GRAVE MISCONDUCT, which warrants the extreme administrative penalty of DISMISSAL FROM PUBLIC SERVICE, cancellation of eligibility, forfeiture of retirement benefits, and perpetual disqualification from public office.","The non-disclosure is classified as a minor technical clerical error punishable by a five-peso fine.","The Supreme Court held that public officers are entitled to maintain secret undeclared bank accounts for family emergencies.","The employee was promoted because keeping secret bank accounts demonstrates financial intelligence.","A","Step-by-Step Solution:
1. Landmark Case: Office of the Ombudsman v. Racho (641 SCRA 555, 2011), penned by Justice Conchita Carpio-Morales:
 - Facts: Agapito Racho, an employee of the BIR, maintained massive multi-million-peso bank accounts and commercial land investments that were NEVER declared in his annual sworn SALNs. When confronted during an anti-graft lifestyle check, Racho claimed the funds were personal family savings and that forgetting to list them was an innocent oversight.
 - Supreme Court Ruling (En Banc):
 - 1. SWORN NATURE OF THE SALN: The SALN is a solemn declaration executed under oath.
 - 2. GROSS DISHONESTY: Intentionally concealing millions of pesos in bank deposits and commercial assets cannot be dismissed as simple negligence or innocent forgetfulness.
 - 3. Deliberate non-disclosure is a fraudulent distortion of truth committed to deceive the government and hide potential ill-gotten wealth.
 - 4. The Supreme Court found Racho GUILTY OF GROSS DISHONESTY and GRAVE MISCONDUCT, imposing the mandatory penalty of DISMISSAL FROM THE SERVICE with all accessory penalties.
2. Option A is the precise legal holding and sanction.

Common Trap: Believing non-declaration of bank accounts is a simple clerical mistake; DELIBERATE OMISSION of substantial assets constitutes GROSS DISHONESTY punishable by DISMISSAL.
Exam Tip: Ombudsman v. Racho = Deliberate concealment of substantial assets in SALN = GROSS DISHONESTY & GRAVE MISCONDUCT (Penalty: DISMISSAL FROM SERVICE).","Correct. Survives elimination because Ombudsman v. Racho established that the deliberate omission of substantial assets and bank deposits from a SALN constitutes Gross Dishonesty and Grave Misconduct, warranting mandatory dismissal and perpetual disqualification.","Eliminated because hiding millions in secret accounts cannot be classified as a minor clerical error.","Eliminated because the Constitution and RA 6713 strictly mandate complete, truthful disclosure of all bank deposits and financial assets.","Eliminated because corrupt concealment of assets leads to administrative removal and criminal forfeiture, not promotion.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | SALN | Very Difficult | Batch 167"
"Under the Revised SALN Guidelines, what must a public official declare under the section on 'BUSINESS INTERESTS AND FINANCIAL CONNECTIONS'?","All existing business interests, shareholdings, partnerships, directorships, proprietorships, and professional financial connections of the official, their spouse, and minor unmarried children, detailing the name of the enterprise, address, nature of business, and date of acquisition.","Only businesses that have gone bankrupt and closed down twenty years ago.","Only investments in foreign cryptocurrency casinos.","Business interests do not need to be declared if the business makes less than ten billion pesos annually.","A","Step-by-Step Solution:
1. Statutory Text & Guidelines: RA 6713, Section 8(a)(2) & CSC Resolution No. 1500088:
 'Business interests and financial connections. — The public official or employee shall declare all existing business interests and financial connections of himself, his spouse, and of unmarried children under eighteen (18) years of age living in his household.'
2. Specific Required Details:
 - 1. Name of Business Entity / Enterprise / Corporation / Partnership.
 - 2. Business Address (exact physical location).
 - 3. Nature of Business Interest or Financial Connection (e.g., Shareholder, Partner, Director, Sole Proprietor, Investor, Retained Consultant).
 - 4. Date of Acquisition of Interest or Connection.
3. Purpose: Essential to identify, monitor, and prevent conflicts of interest under Section 7 and Section 9.
4. Option A matches the statutory and administrative guidelines verbatim.

Common Trap: Assuming you only declare businesses you manage daily; ANY financial connection, partnership, or shareholding MUST BE DECLARED in the Business Interests section.
Exam Tip: SALN Business Interests Section = Name of business, Address, Nature of interest/connection, and Date of acquisition (for official, spouse, and minor children).","Correct. Survives elimination because Section 8(a) and CSC guidelines require public servants to disclose all active business interests and financial connections of themselves, their spouse, and minor children, including company name, address, nature, and acquisition date.","Eliminated because financial disclosures focus on active and existing business connections rather than defunct historical entities.","Eliminated because all domestic and international business interests must be disclosed, not merely cryptocurrency ventures.","Eliminated because all commercial business connections must be declared regardless of annual revenue.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | SALN | Very Difficult | Batch 167"
"Under civil service jurisprudence (e.g., Navarro v. Office of the Ombudsman, 795 SCRA 611; Pleyto v. PNP-CIDG, 538 SCRA 534), when is an error or omission in a SALN classified as 'SIMPLE NEGLIGENCE' rather than 'Gross Dishonesty'?","When the omission or error was committed in GOOD FAITH, without fraudulent intent to deceive, conceal, or mislead, and the asset omitted was legally acquired through known, documented, and legitimate income sources.","When the official pays a cash bribe to the Ombudsman investigator during the hearing.","When the official claims they were asleep when signing the sworn SALN.","When the omitted asset is an unregistered machine gun.","A","Step-by-Step Solution:
1. Landmark Jurisprudence on Good Faith Errors in SALN:
 - Pleyto v. PNP-CIDG (538 SCRA 534, 2007), penned by Justice Minita Chico-Nazario.
 - Navarro v. Office of the Ombudsman (795 SCRA 611, 2016), penned by Justice Jose Mendoza.
 - Dapian-Esperanza v. Civil Service Commission (G.R. No. 242082, 2020).
2. Legal Distinction between Dishonesty and Negligence:
 - 1. GROSS DISHONESTY: Requires a conscious, deliberate intent to deceive, distort the truth, conceal ill-gotten wealth, or hide conflicts of interest (Bad Faith / Malice / Fraud).
 - 2. SIMPLE NEGLIGENCE / SIMPLE NEGLECT: Occurs when an omission or clerical error (e.g., failing to specify the spouse's business start date, honest miscalculation of net worth, or omitting an inherited ancestral land with known legitimate roots) was done in GOOD FAITH, without intent to defraud or hide wealth.
 - 3. Good Faith Defense: If the underlying income is demonstrably legitimate and the mistake was an honest human clerical oversight, the offense is treated as Simple Neglect of Duty rather than Dishonesty.
3. Option A is the precise legal test and holding.

Common Trap: Believing any mistake is automatically Gross Dishonesty; Philippine courts recognize GOOD FAITH when there is no intent to defraud and the asset is legitimately acquired.
Exam Tip: SALN Error in Good Faith (Navarro v. Ombudsman) = Simple Neglect of Duty (No fraudulent intent + Legitimate source of wealth).","Correct. Survives elimination because Navarro v. Ombudsman and Pleyto v. PNP-CIDG establish that an omission in a SALN is treated as simple neglect or negligence when committed in good faith without fraudulent intent and the asset stems from legitimate sources.","Eliminated because bribing an anti-graft investigator constitutes direct bribery and aggravated corruption.","Eliminated because signing a sworn document while claiming sleepiness is gross carelessness that does not establish good faith.","Eliminated because possessing unregistered firearms is a criminal felony that cannot be shielded by good faith.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | SALN | Very Difficult | Batch 167"
"Under Section 8(A) of RA 6713, why is the SALN required to be executed 'UNDER OATH' before a notary public or authorized administering officer?","Executing the SALN under oath makes every declaration a solemn legal testimony, subjecting the public official to criminal prosecution for PERJURY under Article 183 of the Revised Penal Code and administrative dismissal if they knowingly make false declarations.","Executing under oath allows the official to claim tax deductions on their personal vehicle insurance.","The oath is a ceremonial tradition that has zero binding legal effect in court.","Executing under oath converts all declared real properties into public national parks.","A","Step-by-Step Solution:
1. Statutory Text & Criminal Law Synergy:
 - Section 8(A), RA 6713: 'Public officials and employees have an obligation to accomplish and submit DECLARATIONS UNDER OATH of... their assets, liabilities, net worth...'
 - Article 183, Revised Penal Code (Perjury in Solemn Affirmation, amended by RA 11594):
 'The penalty of prision mayor in its minimum period shall be imposed upon any person who, knowingly making untruthful statements and not being included in the provisions of the next preceding articles, shall testify under oath, or make an affidavit, upon any material matter before a competent person authorized to administer an oath, which the law so requires.'
2. Legal Significance of the Sworn Oath:
 - 1. Solemnity: Elevates the SALN into a formal sworn legal affidavit.
 - 2. Perjury Liability: Knowingly lying, concealing assets, or fabricating liabilities constitutes the CRIME OF PERJURY (punishable by 6 to 8 years imprisonment under RA 11594).
 - 3. Administrative Dismissal: Sworn falsity constitutes Gross Dishonesty.
3. Option A is the precise legal rationale and consequence.

Common Trap: Thinking a false SALN is just an administrative issue; false declarations in a sworn SALN constitute the criminal felony of PERJURY (Art. 183, RPC).
Exam Tip: Sworn SALN = Declaration under oath; False statements constitute CRIMINAL PERJURY (Article 183, RPC) + Gross Dishonesty (Dismissal).","Correct. Survives elimination because executing the SALN under oath binds the official under pain of criminal perjury under Article 183 of the Revised Penal Code and gross dishonesty under civil service law if false declarations are willfully made.","Eliminated because swearing a SALN is a public accountability requirement, not a personal tax deduction mechanism.","Eliminated because a sworn statement carries direct, binding legal and criminal enforceability in Philippine courts.","Eliminated because declaring assets in a SALN does not transfer private property ownership to the State.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | SALN | Very Difficult | Batch 167"
"Under Republic Act No. 6713, who among the following officers is AUTHORIZED TO ADMINISTER THE OATH on a public official's Statement of Assets, Liabilities, and Net Worth (SALN)?","(1) Agency Heads and authorized administering officers in government agencies, (2) Judges and Clerks of Court, (3) Public Prosecutors, and (4) Notaries Public.","(1) Private commercial security guards, (2) Construction site foremen, and (3) Public school students.","(1) Foreign tourist airline pilots, and (2) Commercial retail cashiers.","(1) Private taxi drivers, and (2) Bank tellers.","A","Step-by-Step Solution:
1. Statutory & Administrative Authority:
 - Section 41, Chapter 10, Book I of Executive Order No. 292 (Administrative Code of 1987, as amended by RA 6733 & RA 9406) — Officers Authorized to Administer Oaths:
 (a) President, Vice-President, Members of Congress;
 (b) Justices, Judges, and Clerks of Court;
 (c) Department Secretaries, Undersecretaries, Bureau Directors, Regional Directors, Heads of Agencies;
 (d) Provincial Governors, Vice-Governors, City/Municipal Mayors;
 (e) Public Prosecutors;
 (f) Notaries Public;
 (g) Specially designated HR / Admin officers in government agencies authorized by the head of office.
2. In practice in the Philippine Civil Service:
 - Internal Admin/HR officers administer the oath for agency employees FREE OF CHARGE.
 - External Notaries Public or Judges may also administer the oath.
3. Option A is the correct, comprehensive legal list of authorized administering officers.

Common Trap: Believing only paid private lawyers can notarize SALNs; internal agency HR officers and heads of office are STATUTORILY AUTHORIZED to administer SALN oaths for free.
Exam Tip: Administering SALN Oaths = Agency Heads/Designated Admin Officers (Free), Judges, Clerks of Court, Prosecutors, and Notaries Public.","Correct. Survives elimination because Section 41 of the Administrative Code (EO 292) and civil service rules authorize agency heads, designated administering officers, judges, prosecutors, and notaries public to administer official SALN oaths.","Eliminated because private security personnel and students have no statutory authority to administer legal oaths.","Eliminated because airline personnel and retail clerks lack legal oath-administering authority.","Eliminated because taxi drivers and bank tellers are not commissioned officers of the court or public administering officials.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | SALN | Very Difficult | Batch 167"
"Under the Revised SALN Form, what is the rule regarding the declaration of PARAPHERNAL (EXCLUSIVE) PROPERTIES of a public official's spouse?","Exclusive or paraphernal properties owned solely by the spouse must STILL BE FULLY DECLARED in the SALN, but can be indicated as 'Exclusive Property of Spouse' to maintain a complete and transparent picture of the household's total financial assets.","Exclusive properties of the spouse are completely exempt and prohibited from being written on the SALN form.","The spouse's exclusive properties must be sold to the government within thirty days of marriage.","The public official is required to transfer 100% of the spouse's exclusive land to the Department of Finance.","A","Step-by-Step Solution:
1. Statutory Text & Guidelines: RA 6713, Section 8(A) & CSC Resolution No. 1500088:
 - Section 8(A) explicitly mandates declaring the assets, liabilities, and net worth 'INCLUDING THOSE OF THEIR SPOUSES...'
2. Treatment of Conjugal vs Exclusive/Paraphernal Assets:
 - 1. Absolute Full Disclosure: The law requires the disclosure of ALL assets accessible to or owned by the household. This includes Conjugal Partnership / Absolute Community property AS WELL AS Exclusive / Paraphernal properties of the spouse.
 - 2. Proper Labeling on the Form: In the Revised SALN Form, the declarant simply checks or marks the asset as 'Exclusive Property of Spouse' (or 'Capital Property of Husband' / 'Paraphernal Property of Wife').
 - 3. Rationale: Prevents corrupt public officers from claiming that illicitly acquired mansions or luxury vehicles were bought with their spouse's 'exclusive funds' without prior transparency.
3. Option A is the precise administrative and legal rule.

Common Trap: Assuming exclusive properties of a spouse don't need to be listed; ALL properties of the spouse (both conjugal and exclusive) MUST BE LISTED on the SALN.
Exam Tip: Exclusive/Paraphernal Property of Spouse = MUST BE DECLARED in the SALN (marked as 'Exclusive Property of Spouse').","Correct. Survives elimination because Section 8(A) of RA 6713 and CSC SALN guidelines require the comprehensive declaration of all spousal assets—including exclusive/paraphernal properties—marked accordingly to ensure total financial transparency.","Eliminated because excluding spousal exclusive assets violates the comprehensive household disclosure mandate of Section 8(A).","Eliminated because the Constitution protects private property and does not force the sale of exclusive spousal lands.","Eliminated because declaring assets on a SALN is a transparency measure, not a property transfer to the government.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | SALN | Very Difficult | Batch 167"
"What is the statutory prescription period for offenses involving the NON-FILING OR UNLAWFUL ACQUISITION of wealth revealed through SALN audits under Republic Act No. 1379 and RA 6713?","Under RA 1379, the right of the State to recover ill-gotten wealth and forfeit unlawfully acquired properties is IMPRESCRIPTIBLE (under Article XI, Section 15 of the 1987 Constitution), while criminal violations of RA 6713 prescribe in TWENTY (20) YEARS under Republic Act No. 3019 (as amended by BP 195).","All corruption offenses prescribe after twenty-four hours from the commission of the act.","Unlawful wealth can only be investigated during the first three days of a public official's term.","Violations of RA 6713 prescribe in five days.","A","Step-by-Step Solution:
1. Constitutional & Statutory Hierarchy on Prescription of Corruption Offenses:
 - 1. Constitutional Imprescriptibility for Civil Forfeiture of Ill-Gotten Wealth:
 - Article XI, Section 15 of the 1987 Constitution: 'The right of the State to recover properties unlawfully acquired by public officials or employees, from them or from their nominees or transferees, SHALL NOT BE BARRED BY PRESCRIPTION, LACHES, OR ESTOPPEL.'
 - RA 1379 civil forfeiture actions brought by the Republic to recover ill-gotten wealth DO NOT PRESCRIBE.
 - 2. Criminal Prescription for Corruption Offenses:
 - Under Section 11 of RA 3019 (as amended by Batas Pambansa Blg. 195), the statutory period of prescription for offenses punishable under the Anti-Graft and Corrupt Practices Act and related ethics laws is TWENTY (20) YEARS.
2. Option A is the precise, complete legal statement.

Common Trap: Thinking corrupt officials can escape forfeiture by hiding wealth until retirement; CIVIL FORFEITURE OF ILL-GOTTEN WEALTH IS CONSTITUTIONALLY IMPRESCRIPTIBLE (Never prescribes).
Exam Tip: Recovery of Ill-Gotten Wealth (Art. XI, Sec. 15) = IMPRESCRIPTIBLE (Never barred by prescription); Criminal graft offenses prescribe in 20 YEARS (BP 195).","Correct. Survives elimination because Article XI, Section 15 establishes that the State's right to forfeit and recover ill-gotten wealth is imprescriptible, while criminal graft and ethics violations carry a prolonged 20-year prescription period under BP 195.","Eliminated because 24-hour prescription is fictitious and contradicts constitutional and statutory penal laws.","Eliminated because anti-graft lifestyle audits and forfeiture proceedings can be initiated during or after incumbency.","Eliminated because 5-day prescription has no legal basis in Philippine criminal or administrative law.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | SALN | Very Difficult | Batch 167"
