"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Given the true formal proposition: \""If an agency official is accountable (A), then the procurement process is transparent (T).\""

Which of the following statements is LOGICALLY EQUIVALENT to the given proposition in formal symbolic logic?","If the procurement process is not transparent (neg T), then the agency official is not accountable (neg A).","If the procurement process is transparent (T), then the agency official is accountable (A).","If the agency official is not accountable (neg A), then the procurement process is not transparent (neg T).","The agency official is accountable (A) and the procurement process is not transparent (neg T).","A","Step-by-Step Solution:
1. Represent the given statement in formal propositional logic:
 - Let A = \""The agency official is accountable.\","","","","","Analytical Ability","Analytical Ability"
"According to De Morgan's Laws of formal symbolic logic, what is the exact logical negation of the conjunctive compound proposition: \""The financial report is certified (C) AND the disbursement is audited (A)\""?","The financial report is not certified (neg C) OR the disbursement is not audited (neg A).","The financial report is not certified (neg C) AND the disbursement is not audited (neg A).","If the financial report is not certified (neg C), then the disbursement is not audited (neg A).","The financial report is certified (C) OR the disbursement is audited (A).","A","Step-by-Step Solution:
1. Represent the given statement symbolically:
 - Compound statement: C land A (Conjunction).
2. Apply De Morgan's First Law of Negation for Conjunctions:
 - neg(P land Q) ≡ neg P lor neg Q.
3. Substitute variables C and A:
 - neg(C land A) ≡ neg C lor neg A.
4. Translate the symbolic equivalence into natural language:
 - \""The financial report is not certified (neg C) OR the disbursement is not audited (neg A).\","","","","","Analytical Ability","Analytical Ability"
"Consider the disjunctive proposition: \""Either the municipal charter is ratified (R) OR the public referendum is postponed (P).\"" What is the logically equivalent conditional (If-Then) formulation of this disjunction?","If the municipal charter is not ratified (neg R), then the public referendum is postponed (P).","If the municipal charter is ratified (R), then the public referendum is postponed (P).","If the public referendum is postponed (P), then the municipal charter is ratified (R).","If the municipal charter is not ratified (neg R), then the public referendum is not postponed (neg P).","A","Step-by-Step Solution:
1. Represent the given statement symbolically:
 - Disjunctive statement: R lor P.
2. Recall the Rule of Material Implication / Disjunctive Equivalence:
 - Any disjunction P lor Q is logically equivalent to a conditional statement with a negated antecedent:
 - P lor Q ≡ neg P implies Q (and also neg Q implies P).
3. Apply this rule to R lor P:
 - Let P = R and Q = P.
 - R lor P ≡ neg R implies P.
4. Translate to natural language:
 - \""If the municipal charter is not ratified (neg R), then the public referendum is postponed (P).\","","","","","Analytical Ability","Analytical Ability"
"Given the following three true premises in formal logic: (1) If economic policy X succeeds, then inflation rate Y decreases (X implies neg Y). (2) If inflation rate Y decreases, then public purchasing power Z increases (neg Y implies Z). (3) Public purchasing power Z did NOT increase (neg Z). What valid deductive conclusion necessarily follows?","Economic policy X did not succeed (neg X).","Economic policy X succeeded (X).","Inflation rate Y decreased (neg Y).","No valid conclusion can be drawn.","A","Step-by-Step Solution:
1. State the given premises symbolically:
 - Premise 1: X implies neg Y.
 - Premise 2: neg Y implies Z.
 - Premise 3: neg Z.
2. Apply Hypothetical Syllogism to Premises 1 and 2:
 - (X implies neg Y) land (neg Y implies Z) vdash X implies Z (Master Conditional).
3. Combine Master Conditional (X implies Z) with Premise 3 (neg Z):
 - Apply Modus Tollens (P implies Q, neg Q vdash neg P):
 - Given X implies Z and neg Z, it necessarily follows that neg X.
4. Translate conclusion:
 - neg X = \""Economic policy X did not succeed.\","","","","","Analytical Ability","Analytical Ability"
"Which of the following compound propositions represents a TAUTOLOGY (a statement that evaluates to TRUE under every possible truth assignment in propositional logic)?","(P implies Q) lor (Q implies P)","(P land Q) implies (P land neg Q)","(P lor Q) implies (P land Q)","(P implies Q) land (P land neg Q)","A","Step-by-Step Solution:
1. Recall the definition of a Tautology:
 - A formula that is true in every row of its truth table regardless of the truth values assigned to its atomic variables.
2. Evaluate Option A: (P implies Q) lor (Q implies P):
 - Rewrite using material implication (neg A lor B):
 - (neg P lor Q) lor (neg Q lor P).
 - Rearrange using associativity and commutativity:
 - (neg P lor P) lor (Q lor neg Q).
 - Since (neg P lor P) ≡ True and (Q lor neg Q) ≡ True:
 - True lor True ≡ True (Always true under all valuations!).
3. Evaluate incorrect alternatives:
 - Option B: If P = True, Q = True, then True implies False evaluates to False.
 - Option C: If P = True, Q = False, then True implies False evaluates to False.
 - Option D: A Contradiction ((P implies Q) land neg(P implies Q) ≡ False).

Common Trap: Overlooking that (P implies Q) lor (Q implies P) simplifies to (P lor neg P) lor (Q lor neg Q) ≡ True.
Exam Tip: (P implies Q) lor (Q implies P) is a celebrated classical tautology in formal logic.","","","","","Analytical Ability","Analytical Ability"
"In formal categorical logic, what is the exact relationship between Proposition 1: \""All certified accountants are eligible for promotion (A)\"" and Proposition 2: \""Some certified accountants are not eligible for promotion (O)\""?","Contradictory (they cannot both be true, and cannot both be false simultaneously).","Subcontrary (they can both be true, but cannot both be false).","Subaltern (one necessarily implies the truth of the other).","Contrary (they can both be false, but cannot both be true).","A","Step-by-Step Solution:
1. Identify the categorical propositions on the traditional Square of Opposition:
 - Proposition 1: \""All S are P\"" = Universal Affirmative (A-type proposition).
 - Proposition 2: \""Some S are not P\"" = Particular Negative (O-type proposition).
2. Examine the geometric diagonal relation between A and O:
 - A and O propositions are exact logical negations of each other.
 - Relationship: CONTRADICTORY.
3. Define the formal truth conditions of Contradictory propositions:
 - Two propositions are contradictory if and only if they CANNOT both be true AND CANNOT both be false at the same time (one must be True, and the other must be False).
4. Evaluate incorrect alternatives:
 - Option B (Subcontrary): The relation between I (\""Some S are P\"") and O (\""Some S are not P\"").
 - Option C (Subaltern): The relation between universal (A/E) and particular (I/O).
 - Option D (Contrary): The relation between A (\""All S are P\"") and E (\""No S are P\"").

Common Trap: Confusing contrary (A and E) with contradictory (A and O).
Exam Tip: \""All S are P\"" (A) and \""Some S are not P\"" (O) are CONTRADICTORIES.","","","","","Analytical Ability","Analytical Ability"
"Given that the compound statement: \""It is NOT the case that if candidate M wins, tax rates will fall (neg(M implies F))\"" is TRUE. What must be the exact individual truth values of M and F?","Candidate M wins (M is TRUE), and tax rates will NOT fall (F is FALSE).","Candidate M does not win (M is FALSE), and tax rates will fall (F is TRUE).","Both candidate M wins (M is TRUE) and tax rates will fall (F is TRUE).","Both candidate M does not win (M is FALSE) and tax rates will not fall (F is FALSE).","A","Step-by-Step Solution:
1. Represent the given statement symbolically:
 - Compound statement: neg(M implies F) = True.
2. Recall the truth table definition of the material conditional P implies Q:
 - P implies Q is False IF AND ONLY IF the antecedent P is True and the consequent Q is False.
3. Apply the negation:
 - For neg(M implies F) to be True, the inner implication (M implies F) must be FALSE.
4. Determine the unique condition where (M implies F) is False:
 - Antecedent M must be TRUE.
 - Consequent F must be FALSE.
5. Translate truth values:
 - M is True (\""Candidate M wins\"").
 - F is False (\""Tax rates will not fall\"").
6. Verify:
 - M = T, F = F implies (M implies F) = F implies neg(F) = True (Confirmed!).

Common Trap: Assuming neg(M implies F) means M is False and F is False (in that case, False implies False is True, so negation would be False).
Exam Tip: The ONLY way an If-Then statement is false is when the IF-part is TRUE and the THEN-part is FALSE.","","","","","Analytical Ability","Analytical Ability"
"If the biconditional proposition P leftrightarrow Q (Logical Equivalence) is known to be FALSE, which of the following compound propositions must necessarily evaluate to TRUE?","P oplus Q (Exclusive OR / XOR)","P land Q (Conjunction)","neg P land neg Q","(P implies Q) land (Q implies P)","A","Step-by-Step Solution:
1. Analyze the truth definition of the biconditional P leftrightarrow Q:
 - P leftrightarrow Q is True when P and Q have identical truth values (both True or both False).
 - P leftrightarrow Q is False when P and Q have opposite truth values (P = T, Q = F OR P = F, Q = T).
2. Evaluate the given condition:
 - P leftrightarrow Q = False implies P and Q have OPPOSITE truth values.
3. Examine Option A (P oplus Q, Exclusive OR):
 - The XOR operator P oplus Q is defined to be True IF AND ONLY IF exactly one operand is True and the other is False (i.e., they have opposite truth values).
 - Identity: P oplus Q ≡ neg(P leftrightarrow Q).
 - Since P leftrightarrow Q = False, neg(P leftrightarrow Q) = True implies P oplus Q = True.
4. Evaluate incorrect alternatives:
 - Option B (P land Q): False when either variable is False.
 - Option C (neg P land neg Q): False when either variable is True.
 - Option D: Equivalent to P leftrightarrow Q, so it must be False.

Common Trap: Confusing inclusive OR (P lor Q) with exclusive OR (P oplus Q).
Exam Tip: The negation of a Biconditional (leftrightarrow) is strictly the Exclusive OR (oplus).","","","","","Analytical Ability","Analytical Ability"
"Consider the following deductive argument: Premise 1: Every civil servant who passes the comprehensive ethics exam is promoted (E implies P). Premise 2: Officer Ramos was promoted (P). Conclusion: Therefore, Officer Ramos passed the comprehensive ethics exam (E). What formal logical fallacy is committed by this argument?","Fallacy of Affirming the Consequent","Fallacy of Denying the Antecedent","Fallacy of False Dilemma","Fallacy of Begging the Question","A","Step-by-Step Solution:
1. Map the argument into symbolic logic:
 - Premise 1: E implies P (If Ethics Passed, then Promoted).
 - Premise 2: P (Promoted).
 - Conclusion: Therefore, E (Ethics Passed).
2. Analyze the inferential structure:
 - In a conditional E implies P, E is the antecedent, and P is the consequent.
 - Premise 2 affirms the consequent (P).
 - Concluding the antecedent (E) from the truth of the consequent (P) is the classical formal fallacy of \""AFFIRMING THE CONSEQUENT\"".
3. Explain the logical flaw:
 - Promotion could have occurred through seniority, exceptional merit, or other administrative pathways without passing this specific exam. E implies P does not state that E is the *only* cause of P.
4. Evaluate incorrect alternatives:
 - Option B (Denying the Antecedent): Form neg E vdash neg P.
 - Option C (False Dilemma): Artificially limiting choices to two.
 - Option D (Begging the Question): Circular reasoning.

Common Trap: Assuming that because the premise is true, the arrow flows backward (P implies E, which is invalid).
Exam Tip: Modus Ponens (P implies Q, P vdash Q) is VALID. Affirming the Consequent (P implies Q, Q vdash P) is an INVALID FALLACY.","","","","","Analytical Ability","Analytical Ability"
"Given the valid premises: (1) P lor Q (Either proposition P is true OR proposition Q is true). (2) P implies R (If P is true, then R is true). (3) Q implies S (If Q is true, then S is true). Which deductive conclusion necessarily follows by the formal rule of Constructive Dilemma?","R lor S","R land S","neg R implies neg S","R implies S","A","Step-by-Step Solution:
1. Identify the formal classical rule of inference:
 - Premises:
 - Disjunction of antecedents: P lor Q.
 - Conditional 1: P implies R.
 - Conditional 2: Q implies S.
2. Apply Constructive Dilemma:
 - If P is true, R is true (by Premise 2).
 - If Q is true, S is true (by Premise 3).
 - Since at least one of P or Q MUST be true (by Premise 1), at least one of R or S must necessarily be true.
 - Therefore: R lor S.
3. Evaluate incorrect alternatives:
 - Option B (R land S): Would require both P and Q to be true simultaneously.
 - Option C (neg R implies neg S): Equivalent to R lor neg S, which is not guaranteed.
 - Option D (R implies S): Assumes an implication between R and S where none exists.

Common Trap: Concluding conjunction (R land S) instead of disjunction (R lor S).
Exam Tip: Constructive Dilemma: (P lor Q), (P implies R), (Q implies S) vdash R lor S.","","","","","Analytical Ability","Analytical Ability"
