"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Choose the sentence that corrects the faulty comparison between apples and oranges (illogical comparison).","The revenue collection of Quezon City is significantly higher than that of Manila.","The revenue collection of Quezon City is significantly higher than Manila.","The revenue collection of Quezon City is significantly higher than those of Manila.","The revenue collection of Quezon City is significantly higher compared to Manila.","A","Step-by-Step Solution:
1. Identify the items being compared: We are comparing 'The revenue collection of Quezon City' (a singular financial metric) with 'the revenue collection of Manila'.
2. In Option B, 'higher than Manila' illogically compares a financial metric ('collection') to an entire geographical city ('Manila').
3. Rule for logical comparisons: Use 'that of' for singular nouns ('that of Manila') and 'those of' for plural nouns.
4. Because 'collection' is singular, 'that of Manila' (Option A) is the grammatically correct comparison.

Common Trap: Comparing a feature/statistic directly to a person or city (e.g., 'His salary is higher than John' instead of 'higher than John's').
Exam Tip: Singular noun compared? -> use 'than THAT of'. Plural noun compared? -> use 'than THOSE of'.","Correct. 'That of Manila' logically compares Quezon City's revenue collection to Manila's revenue collection, avoiding an illogical noun comparison.","Eliminated because 'higher than Manila' illogically compares a revenue figure to an entire city.","Eliminated because plural 'those of' clashes with the singular head noun 'revenue collection'.","Eliminated because 'compared to Manila' retains the identical illogical comparison error.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Faulty comparisons and ° of adjectives | Difficult | Batch VA-022"
"Select the sentence that correctly handles absolute/incomparable adjectives.","The auditor's liquidation report provided a complete analysis of the disputed project expenditures.","The auditor's liquidation report provided a most complete analysis of the disputed project expenditures.","The auditor's liquidation report provided a more complete analysis than any report ever written.","The auditor's liquidation report provided the most unique analysis of the project expenditures.","A","Step-by-Step Solution:
1. Rule for absolute/incomparable adjectives: Adjectives such as 'unique', 'complete', 'perfect', 'fatal', 'dead', 'unanimous', and 'infinite' describe absolute states that cannot logically exist in degrees (cannot be 'more complete' or 'most unique').
2. In Option B, 'most complete' is an error with an absolute adjective.
3. In Option D, 'most unique' is a severe error ('unique' means sole/one-of-a-kind, which cannot have degrees).
4. Option A ('a complete analysis') uses the absolute adjective correctly without comparative modifiers.

Common Trap: Adding 'very', 'more', or 'most' in front of 'unique', 'perfect', or 'complete'.
Exam Tip: Absolute adjectives (unique, perfect, total, complete, unanimous) cannot take 'more', 'most', 'very', or '-er/-est'.","Correct. 'Complete' is an absolute adjective that cannot logically be modified by comparative or superlative degrees like 'most'.","Eliminated because 'most complete' is an illogical qualification of an absolute state.","Eliminated because 'more complete' treats completeness as a sliding comparative scale.","Eliminated because 'most unique' is a classic absolute adjective error ('unique' cannot have degrees).","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Faulty comparisons and ° of adjectives | Difficult | Batch VA-022"
"Choose the sentence that correctly compares an entity to all other members of its own class.","Baguio City has a cooler average temperature than any other city in the Philippines.","Baguio City has a cooler average temperature than any city in the Philippines.","Baguio City has a cooler average temperature than all cities in the Philippines.","Baguio City has the cooler average temperature than any other city in the Philippines.","A","Step-by-Step Solution:
1. Rule for comparisons within the same group: When comparing one member of a group to the rest of the group, you MUST use 'other' or 'else' to exclude the entity being compared from the group ('cooler than any OTHER city').
2. In Option B, 'cooler than any city in the Philippines' illogically means Baguio is cooler than itself (since Baguio is a city in the Philippines).
3. Option A correctly includes 'other' ('cooler than any other city').
4. Option A is logically and grammatically flawless.

Common Trap: Omitting 'other' when comparing an item to its own category (e.g., 'Mount Everest is higher than any mountain' vs. 'any OTHER mountain').
Exam Tip: If the item being compared is part of the group, always include 'other' or 'else' (e.g., 'taller than any OTHER student').","Correct. 'Any other city' properly excludes Baguio City from the group of Philippine cities to which it is being compared.","Eliminated because 'any city' illogically includes Baguio City itself in the comparison (Baguio cannot be cooler than Baguio).","Eliminated because 'all cities' without 'other' includes Baguio in the comparison group.","Eliminated because 'the cooler' incorrectly uses the comparative with 'the' in this structure.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Faulty comparisons and ° of adjectives | Difficult | Batch VA-022"
"Select the sentence that correctly uses the comparative ° for EXACTLY TWO items.","Between the two proposed flood-control master plans, the municipal engineer recommended the more cost-effective option.","Between the two proposed flood-control master plans, the municipal engineer recommended the most cost-effective option.","Between the two proposed flood-control master plans, the municipal engineer recommended the more cost-effective of the three options.","Between the two proposed flood-control master plans, the municipal engineer recommended the most cheapest option.","A","Step-by-Step Solution:
1. Rule for number of items compared:
 - Comparing EXACTLY TWO items -> Use the COMPARATIVE ° ('more', '-er').
 - Comparing THREE OR MORE items -> Use the SUPERLATIVE ° ('most', '-est').
2. Number of items: 'Between the two proposed plans' (exactly two items).
3. Determine °: Comparative 'more cost-effective' (Option A).
4. In Option B, using 'most cost-effective' (superlative) for two items is a classic ° error.

Common Trap: Using the superlative ('the best', 'the most') when choosing between only two things.
Exam Tip: Two things? -> Use 'better', 'more', 'faster', 'former', 'latter'. Three or more? -> Use 'best', 'most', 'fastest'.","Correct. When comparing exactly two items, the comparative ° ('the more cost-effective') is strictly required.","Eliminated because 'the most cost-effective' uses the superlative ° for only two items.","Eliminated because mentioning 'three options' directly contradicts the premise of 'two proposed plans'.","Eliminated because 'most cheapest' is a double superlative error.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Faulty comparisons and ° of adjectives | Difficult | Batch VA-022"
"Choose the sentence that eliminates the double comparative / double superlative error.","The revised tax administrative guidelines are clearer and more comprehensive than the previous draft.","The revised tax administrative guidelines are more clearer and more comprehensive than the previous draft.","The revised tax administrative guidelines are more clearer and more easier to understand than the previous draft.","The revised tax administrative guidelines are the most clearest guidelines published this year.","A","Step-by-Step Solution:
1. Rule for comparatives:
 - For one-syllable/two-syllable adjectives ending in -y: Add '-er' ('clearer', 'easier').
 - For multi-syllable adjectives: Use 'more' ('more comprehensive').
 - NEVER combine 'more' with an '-er' word (double comparative: 'more clearer' is ungrammatical).
 - NEVER combine 'most' with an '-est' word (double superlative: 'most clearest' is ungrammatical).
2. Option A uses 'clearer' (single comparative) and 'more comprehensive' (single comparative).
3. Option A is 100% grammatically correct.

Common Trap: Adding 'more' before already-inflected comparative adjectives ('more faster', 'more clearer').
Exam Tip: Choose either '-er' OR 'more'—never both at the same time.","Correct. 'Clearer' and 'more comprehensive' use single, standard comparative forms without double comparison errors.","Eliminated because 'more clearer' is an ungrammatical double comparative.","Eliminated because 'more clearer' and 'more easier' are both double comparatives.","Eliminated because 'most clearest' is an ungrammatical double superlative.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Faulty comparisons and ° of adjectives | Difficult | Batch VA-022"
"Select the sentence that contains a LOGICALLY BALANCED plural comparison.","The salaries of executive directors in the civil service are higher than those of administrative assistants.","The salaries of executive directors in the civil service are higher than administrative assistants.","The salaries of executive directors in the civil service are higher than that of administrative assistants.","The salaries of executive directors in the civil service are higher compared to administrative assistants.","A","Step-by-Step Solution:
1. Head noun: 'The salaries' (plural noun).
2. Comparison target: 'the salaries of administrative assistants'.
3. Demonstrative pronoun rule: Plural head noun 'salaries' requires the plural demonstrative pronoun 'those of' ('higher than THOSE OF administrative assistants').
4. In Option B, 'higher than administrative assistants' compares money to human beings.
5. In Option C, 'that of' is singular, clashing with plural 'salaries'.
6. Option A is balanced and accurate.

Common Trap: Using singular 'that of' when the subject being compared is plural ('salaries').
Exam Tip: Plural subject ('salaries', 'policies', 'standards') -> use 'than THOSE of'.","Correct. 'Those of' is the plural demonstrative pronoun correctly substituting for 'the salaries' of administrative assistants.","Eliminated because it illogically compares salaries to human assistants.","Eliminated because singular 'that of' creates a number agreement error with plural 'salaries'.","Eliminated because 'compared to administrative assistants' retains the illogical comparison.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Faulty comparisons and ° of adjectives | Difficult | Batch VA-022"
"Choose the sentence that correctly completes the comparison structure: 'The new regional hospital is as modern as, if not _____ than, the national medical center in Manila.'","more modern","most modern","modern","modernly","A","Step-by-Step Solution:
1. Structure of compound comparison: 'as [adjective] as, if not [comparative adjective] than'.
2. Part 1: 'as modern as' (positive °).
3. Part 2: 'if not [comparative] than' -> requires comparative ° 'more modern'.
4. Option A ('more modern') completes the comparative structure accurately.
5. Option B uses superlative; Option C omits comparative; Option D is an adverb.

Common Trap: Omitting the second 'as' in 'as modern as' (e.g., 'as modern, if not more modern than').
Exam Tip: Ensure both halves are complete: 'as [adj] AS' + 'if not MORE [adj] THAN'.","Correct. 'More modern' correctly supplies the comparative ° required by the conjunction 'than' in the parenthetical condition.","Eliminated because superlative 'most modern' cannot be paired with comparative marker 'than'.","Eliminated because positive 'modern' cannot be paired with 'than'.","Eliminated because adverb 'modernly' is ungrammatical as a predicate adjective.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Faulty comparisons and ° of adjectives | Difficult | Batch VA-022"
"Select the sentence with correct adjective gradation: 'Of the three candidates evaluated by the selection board, Atty. Garcia is the _____ qualified.'","most","more","much","mostly","A","Step-by-Step Solution:
1. Number of items compared: 'Of the three candidates' (three candidates).
2. Rule for degrees of comparison: When comparing THREE or more items, the SUPERLATIVE ° ('most') is mandatory.
3. Determine form: 'the most qualified' (Option A).
4. In Option B, 'more qualified' is comparative, which can only be used for exactly two items.

Common Trap: Using 'more' when comparing three or more candidates.
Exam Tip: Three or more = Superlative ('the most qualified', 'the best candidate').","Correct. Superlative 'most' is required when comparing three or more candidates.","Eliminated because comparative 'more' is restricted to comparisons between exactly two entities.","Eliminated because positive ° 'much' is ungrammatical after 'the'.","Eliminated because adverb 'mostly' means 'largely/chiefly', not superlative qualification.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Faulty comparisons and ° of adjectives | Difficult | Batch VA-022"
"Choose the sentence that eliminates the dangling/incomplete comparison.","The automated licensing system processes applications faster than the manual paperwork system does.","The automated licensing system processes applications faster.","The automated licensing system processes applications faster than ever.","The automated licensing system processes applications more faster than manual systems.","A","Step-by-Step Solution:
1. Incomplete comparison: A comparison must state BOTH elements being compared to be grammatically and semantically complete.
2. In Option B, 'processes applications faster' leaves the comparison hanging: faster than what?
3. Option A explicitly specifies both items and verbs: 'faster than the manual paperwork system does'.
4. Option A is fully articulated and grammatically complete.

Common Trap: Leaving a comparative adjective ending in '-er' without stating what it is being compared to.
Exam Tip: In formal writing, always complete the comparison clause ('faster than X does').","Correct. Option A explicitly states the second term of comparison ('than the manual paperwork system does'), ensuring full semantic clarity.","Eliminated because it is an incomplete comparison leaving the comparison target unstated.","Eliminated because 'faster than ever' is a vague colloquial cliché.","Eliminated because 'more faster' contains an ungrammatical double comparative error.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Faulty comparisons and ° of adjectives | Difficult | Batch VA-022"
"Select the sentence that avoids an illogical comparison involving possessives.","The auditor's recommendations were far more stringent than the consultant's.","The auditor's recommendations were far more stringent than the consultant.","The auditor's recommendations were far more stringent than those of the consultant's.","The auditor's recommendations were far more stringent compared to the consultant.","A","Step-by-Step Solution:
1. Subject being compared: 'The auditor's recommendations' (recommendations belonging to the auditor).
2. Target of comparison: Recommendations belonging to the consultant.
3. In Option A, using the possessive noun 'the consultant's' correctly implies 'the consultant's [recommendations]'.
4. In Option B, 'than the consultant' compares recommendations to a human person (illogical comparison).
5. In Option C, 'those of the consultant's' is a double possessive error (use either 'those of the consultant' OR 'the consultant's', not both).
6. Option A is concise, logical, and standard.

Common Trap: Combining 'those of' with a possessive noun ('those of John's').
Exam Tip: Use either 'those of the consultant' OR 'the consultant's'—never double them up as 'those of the consultant's'.","Correct. 'The consultant's' uses an elliptical possessive that correctly stands for 'the consultant's recommendations'.","Eliminated because it illogically compares recommendations to the physical person of the consultant.","Eliminated because 'those of the consultant's' contains an ungrammatical double possessive error.","Eliminated because 'compared to the consultant' compares recommendations to a human being.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Faulty comparisons and ° of adjectives | Difficult | Batch VA-022"
