"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Identify the option that is a COMPLETE SENTENCE and not a sentence fragment.","Although the audit committee discovered multiple irregularities in the procurement vouchers, the bureau director immediately instituted a comprehensive internal investigation.","Although the audit committee discovered multiple irregularities in the procurement vouchers and questioned the disbursing officer.","Because of the unprecedented surge in public infrastructure spending across three major agricultural provinces.","Having completed the rigorous three-month leadership seminar conducted by the Civil Service Academy.","A","Step-by-Step Solution:
1. Definition of a complete sentence: Must have a subject, a finite predicate verb, and express a complete thought (independent clause).
2. Option A analysis:
 - Dependent clause: 'Although the audit committee discovered multiple irregularities...'
 - Independent clause: 'the bureau director immediately instituted a comprehensive internal investigation.'
 - Together they form a complete, grammatically sound complex sentence.
3. Option B is a dependent clause without a main clause (fragment); Option C is a prepositional phrase fragment; Option D is a participial phrase fragment lacking a subject and finite verb.

Common Trap: Mistaking long participial or prepositional phrases for complete sentences because they contain many words.
Exam Tip: Check if the sentence has a main clause that can stand alone if you remove the subordinate clause.","Correct. Option A contains both a subordinate clause and a complete independent clause with a subject ('bureau director') and finite verb ('instituted').","Eliminated because starting with 'Although' without a main clause leaves the thought unfinished (dependent clause fragment).","Eliminated because 'Because of...' is a prepositional phrase lacking a subject and predicate verb.","Eliminated because 'Having completed...' is a participial phrase lacking an independent subject and finite verb.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Sentence fragments and subordination errors | Difficult | Batch VA-020"
"Choose the sentence that corrects the fragment: 'Which was submitted past the statutory deadline established by the commission.'","The liquidation report, which was submitted past the statutory deadline established by the commission, was rejected by the audit team.","Which was submitted past the statutory deadline established by the commission, the report was rejected.","The liquidation report which was submitted past the deadline, was rejected by the audit team.","Because it was submitted past the deadline established by the commission.","A","Step-by-Step Solution:
1. Original fragment: 'Which was submitted...' is a relative dependent clause functioning as an adjective modifier, lacking an independent main clause.
2. Correction in Option A: Integrates the relative clause as a non-restrictive modifier inside a complete independent clause ('The liquidation report... was rejected by the audit team').
3. Option A is grammatically complete and properly punctuated with commas.

Common Trap: Starting a standalone sentence with a relative pronoun ('Which was...') without an antecedent noun or main clause.
Exam Tip: Relative clauses ('which', 'who', 'that') must attach to a main clause containing its own subject and finite verb.","Correct. The relative clause is properly embedded within a complete independent sentence with a subject ('liquidation report') and verb ('was rejected').","Eliminated because starting a sentence with a standalone 'Which' clause followed by a comma splice is ungrammatical.","Eliminated because omitting the opening comma before 'which' creates an asymmetrical non-restrictive clause punctuation error.","Eliminated because 'Because it was submitted...' is another dependent clause fragment.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Sentence fragments and subordination errors | Difficult | Batch VA-020"
"Select the option that represents a COMPLETE GRAMMATICAL SENTENCE.","The newly appointed revenue examiners diligently inspected the tax declarations of corporate enterprises.","The newly appointed revenue examiners diligently inspecting the tax declarations of corporate enterprises.","To inspect the tax declarations of corporate enterprises across the national capital region.","When the newly appointed revenue examiners inspected the tax declarations of corporate enterprises.","A","Step-by-Step Solution:
1. Criteria for complete sentence: Subject + Finite Verb + Complete Thought.
2. Option A analysis:
 - Subject: 'The newly appointed revenue examiners'
 - Finite verb: 'inspected' (past tense)
 - Object: 'the tax declarations...'
 - Option A is a complete independent sentence.
3. Option B uses a participle ('inspecting') without an auxiliary verb (e.g., 'were inspecting'), creating a fragment; Option C is an infinitive phrase fragment; Option D is a dependent adverbial clause fragment.

Common Trap: Mistaking an -ing participle ('inspecting') for a complete finite verb.
Exam Tip: An '-ing' word alone is a participle or gerund; it cannot serve as the main predicate verb without an auxiliary verb (is, are, was, were).","Correct. Option A has a clear subject ('examiners') and a finite past tense verb ('inspected'), forming a complete independent clause.","Eliminated because 'inspecting' is a participle lacking an auxiliary verb (e.g., 'were inspecting'), making it a fragment.","Eliminated because 'To inspect...' is an infinitive phrase fragment lacking a subject and predicate.","Eliminated because 'When...' makes the clause dependent without an accompanying main clause.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Sentence fragments and subordination errors | Difficult | Batch VA-020"
"Choose the sentence that resolves the subordinating fragment error.","Since the regional director approved the disaster response plan, municipal teams have begun deploying emergency resources.","Since the regional director approved the disaster response plan. Municipal teams have begun deploying emergency resources.","Since the regional director approved the disaster response plan and municipal teams deployed resources.","Since the regional director having approved the disaster response plan.","A","Step-by-Step Solution:
1. Analyze Option B: 'Since the regional director approved the disaster response plan.' is an isolated dependent clause punctuated as a sentence (fragment).
2. Rule: Subordinate clauses introduced by 'Since' must be joined directly to the main independent clause ('municipal teams have begun deploying...').
3. Option A combines both clauses into a complete, properly punctuated complex sentence.

Common Trap: Separating an introductory 'Since' clause from its main clause with a period.
Exam Tip: If a sentence starts with 'Since', 'Because', or 'Although', replace the period after the clause with a comma and join it to the next thought.","Correct. Combining the introductory dependent clause with the main clause via a comma eliminates the fragment error.","Eliminated because punctuating the 'Since' clause with a period creates a dependent clause fragment.","Eliminated because adding 'and' creates a compound dependent clause that still lacks a main independent clause.","Eliminated because using participle 'having approved' results in an ungrammatical fragment.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Sentence fragments and subordination errors | Difficult | Batch VA-020"
"Identify which of the following is a SENTENCE FRAGMENT.","Despite having conducted three consecutive public hearings on the controversial zoning ordinance.","The city council approved the controversial zoning ordinance after holding three public hearings.","Public hearings on the controversial zoning ordinance were conducted throughout the month.","Although public hearings were held, the council approved the ordinance.","A","Step-by-Step Solution:
1. Analyze Option A: 'Despite having conducted three consecutive public hearings on the controversial zoning ordinance.'
 - 'Despite' is a preposition governing the gerund phrase 'having conducted...'.
 - There is NO independent subject and NO finite verb in the entire sentence.
 - Option A is a prepositional phrase fragment.
2. Options B, C, and D are all complete, grammatically sound independent or complex sentences.

Common Trap: Thinking a sentence is complete because it has a complex verbal phrase ('having conducted').
Exam Tip: Prepositional phrases starting with 'Despite', 'In spite of', 'Due to', or 'Because of' cannot stand alone as sentences.","Correct. Option A is a prepositional phrase fragment lacking a main subject and independent predicate verb.","Eliminated because Option B is a complete sentence with subject 'city council' and verb 'approved'.","Eliminated because Option C is a complete sentence with subject 'hearings' and passive verb 'were conducted'.","Eliminated because Option D is a complete complex sentence with dependent and independent clauses.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Sentence fragments and subordination errors | Difficult | Batch VA-020"
"Choose the option that correctly combines the fragments into a single, cohesive sentence.","Recognizing the critical urgency of the pandemic response, the national government expedited the procurement of vital vaccines and distributed them to regional health centers.","Recognizing the critical urgency of the pandemic response. The national government expedited vaccine procurement. Distributing them to health centers.","Recognizing the critical urgency of the pandemic response, while the national government expedited procurement, and distributed them.","Because recognizing the critical urgency of the pandemic response, the government expedited procurement.","A","Step-by-Step Solution:
1. Examine fragmented Option B: Contains a participial phrase fragment ('Recognizing...'), a short sentence, and another participial fragment ('Distributing...').
2. Correction in Option A:
 - Introductory participial modifier: 'Recognizing the critical urgency of the pandemic response' + [comma]
 - Main clause: 'the national government expedited the procurement of vital vaccines and distributed them to regional health centers.'
3. Option A is cohesive, complete, and grammatically standard.

Common Trap: Fragmenting narrative actions into disjointed participial chunks punctuated with periods.
Exam Tip: Group related participial modifiers around a single strong subject and compound predicate.","Correct. Option A integrates the participial modifier with a complete independent clause featuring coordinated active verbs ('expedited' and 'distributed').","Eliminated because it contains two distinct participial fragment errors separated by periods.","Eliminated because 'while' and 'and' create an incomplete, fractured subordination structure.","Eliminated because combining 'Because' with 'recognizing' is ungrammatical.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Sentence fragments and subordination errors | Difficult | Batch VA-020"
"Select the complete sentence that avoids faulty subordination.","Although the budget was severely constrained, the agency upgraded its cybersecurity infrastructure to protect citizen records.","Because although the budget was severely constrained, the agency upgraded its cybersecurity infrastructure.","Even though the budget was severely constrained, but the agency upgraded its cybersecurity infrastructure.","The budget was severely constrained, so that the agency upgraded its cybersecurity infrastructure.","A","Step-by-Step Solution:
1. Faulty double subordination: Using two contrasting or causal subordinators/conjunctions simultaneously (e.g., 'Because although...', 'Even though... but...').
2. In Option B, 'Because although' creates a double subordinator error with no independent clause.
3. In Option C, pairing 'Even though' with coordinating 'but' is a classic double conjunction error.
4. Option A uses a single subordinator ('Although') introducing the dependent clause, followed cleanly by the independent main clause.

Common Trap: Using 'Although' and 'but' in the same sentence (e.g., 'Although X, but Y').
Exam Tip: Never pair 'Although/Even though' with 'but', or 'Because/Since' with 'so'. Use only ONE subordinator.","Correct. Option A uses a single subordinator ('Although') to introduce the concession clause without redundant conjunctions.","Eliminated because 'Because although' is a double subordinator error.","Eliminated because pairing 'Even though' with 'but' is a grammatically redundant double conjunction error.","Eliminated because 'so that' incorrectly expresses intended purpose rather than concession.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Sentence fragments and subordination errors | Difficult | Batch VA-020"
"Identify the option that contains an UNRESOLVED SENTENCE FRAGMENT.","The civil service commission established new accreditation guidelines. Which will take effect at the start of the next fiscal quarter.","The civil service commission established new accreditation guidelines that will take effect at the start of the next fiscal quarter.","New accreditation guidelines were established by the civil service commission, taking effect next quarter.","Before the next fiscal quarter begins, the commission will establish new accreditation guidelines.","A","Step-by-Step Solution:
1. Analyze Option A: 'Which will take effect at the start of the next fiscal quarter.' is a relative clause separated from its antecedent ('guidelines') by a period.
2. A relative clause cannot stand alone as an independent sentence; it is a sentence fragment.
3. Options B, C, and D are all complete and correctly punctuated sentences.
4. Option A is the option containing the fragment error.

Common Trap: Accepting a standalone 'Which...' clause following a period.
Exam Tip: Never begin a new sentence with 'Which' unless it is an interrogative question ('Which document is missing?').","Correct. Option A improperly separates the relative clause ('Which will take effect...') into an incomplete standalone fragment.","Eliminated because Option B is a complete, correctly punctuated complex sentence.","Eliminated because Option C is a complete sentence with a participial modifier.","Eliminated because Option D is a complete complex sentence with an introductory time clause.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Sentence fragments and subordination errors | Difficult | Batch VA-020"
"Choose the sentence that correctly repairs the infinitive phrase fragment: 'In order to ensure maximum transparency in local infrastructure bidding.'","In order to ensure maximum transparency in local infrastructure bidding, the municipal government live-streamed all committee deliberations.","In order to ensure maximum transparency in local infrastructure bidding. The municipal government live-streamed deliberations.","In order to ensure maximum transparency in local infrastructure bidding and livestreaming all deliberations.","In order to ensure maximum transparency in local infrastructure bidding, which the government did.","A","Step-by-Step Solution:
1. Original fragment: 'In order to ensure...' is an infinitive phrase of purpose lacking an independent clause.
2. Repair: Attach the infinitive phrase with a comma to an independent clause stating WHO took action and WHAT was done ('the municipal government live-streamed all committee deliberations').
3. Option A is complete, clear, and grammatically sound.

Common Trap: Leaving 'In order to [verb]...' as an isolated sentence before a second sentence.
Exam Tip: Infinitive phrases of purpose ('In order to...', 'To accomplish...') must be followed by a comma and a full independent clause.","Correct. Attaching the infinitive phrase of purpose to a full independent clause eliminates the fragment error.","Eliminated because isolating the infinitive phrase with a period leaves it as a sentence fragment.","Eliminated because adding 'and livestreaming' creates a compound phrase that still lacks an independent subject and predicate.","Eliminated because attaching a vague relative clause ('which the government did') fails to create a strong independent main clause.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Sentence fragments and subordination errors | Difficult | Batch VA-020"
"Select the option that is a COMPLETE SENTENCE.","Whoever submits a fraudulent certificate of eligibility will be permanently barred from taking any future civil service examinations.","Whoever submits a fraudulent certificate of eligibility and applying for government employment.","Whoever submitting a fraudulent certificate of eligibility to the regional accreditation desk.","Whoever having submitted a fraudulent certificate of eligibility.","A","Step-by-Step Solution:
1. Analyze Option A:
 - Subject: 'Whoever submits a fraudulent certificate of eligibility' (Noun clause acting as the subject).
 - Predicate verb: 'will be permanently barred' (Future passive verb phrase).
 - Prepositional complement: 'from taking any future examinations.'
 - This forms a complete, grammatically robust independent sentence.
2. Options B, C, and D lack a main predicate verb, leaving them as incomplete noun clause fragments.

Common Trap: Assuming noun clauses starting with 'Whoever' cannot serve as subjects of complete sentences.
Exam Tip: Noun clauses ('Whoever does X') can serve as full sentence subjects when paired with a main verb ('will be barred').","Correct. Option A features a complete noun clause subject ('Whoever submits...') paired with a finite predicate verb phrase ('will be permanently barred').","Eliminated because it contains two coordinated participle/verb clauses without a main predicate verb.","Eliminated because 'submitting' is a participle, leaving the noun clause without a finite verb.","Eliminated because 'having submitted' is a participial phrase lacking a predicate verb.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Sentence fragments and subordination errors | Difficult | Batch VA-020"
