"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 4(A)(f) of Republic Act No. 6713, what are the mandatory standards embodied in the norm of 'NATIONALISM AND PATRIOTISM'?","Public officials and employees shall at all times be LOYAL TO THE REPUBLIC and to the Filipino people, promote the use of LOCALLY PRODUCED GOODS, resources, and technology, encourage appreciation and pride of country and people, and maintain and defend PHILIPPINE SOVEREIGNTY against foreign intrusion.","Public officials must swear allegiance to a foreign sovereign monarch to facilitate foreign investment grants.","Civil service employees are legally required to purchase only imported European luxury vehicles for government motor pools.","Public servants may secretly sell Philippine navigational maritime charts to foreign naval forces for private gain.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 4(A)(f):
   'Nationalism and patriotism. — Public officials and employees shall at all times be LOYAL TO THE REPUBLIC AND TO THE FILIPINO PEOPLE, PROMOTE THE USE OF LOCALLY PRODUCED GOODS, resources and technology and ENCOURAGE APPRECIATION AND PRIDE OF COUNTRY AND PEOPLE. They shall endeavor to MAINTAIN AND DEFEND PHILIPPINE SOVEREIGNTY against foreign intrusion.'
2. The Four Pillars of Section 4(A)(f):
   - 1. Loyalty to the Republic & People: Absolute fidelity to the Constitution and sovereign nation.
   - 2. Economic Patriotism: Prioritizing local Filipino products, domestic materials, indigenous technology, and Filipino ingenuity in procurement and daily operations.
   - 3. Cultural Pride & Heritage: Cultivating appreciation of Filipino culture, arts, history, and national identity.
   - 4. Defense of Sovereignty: Protecting national territorial integrity and sovereignty against foreign encroachment.
3. Option A is the verbatim statutory text.

Common Trap: Thinking nationalism only involves flag ceremonies; Section 4(A)(f) specifically incorporates ECONOMIC PATRIOTISM (promoting local goods/technology) and DEFENDING SOVEREIGNTY.
Exam Tip: RA 6713, Sec. 4(A)(f) = NATIONALISM AND PATRIOTISM (Loyalty to Republic + Promote local goods/technology + Cultural pride + Defend sovereignty).","Correct. Survives elimination because Section 4(A)(f) of RA 6713 explicitly defines Nationalism and Patriotism as loyalty to the Republic, promoting local goods and technology, fostering pride in Filipino heritage, and defending Philippine sovereignty.","Eliminated because swearing allegiance to a foreign monarch violates Article XI, Section 1 and Article IV, Section 5 (Dual Allegiance).","Eliminated because the statute explicitly commands public servants to promote and prioritize local goods over foreign imports.","Eliminated because selling classified sovereign charts to foreign militaries constitutes espionage and treason under the Revised Penal Code.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Nationalism and patriotism | Very Difficult | Batch 159"
"Under Republic Act No. 8491 (The Flag and Heraldic Code of the Philippines) and civil service rules, what is the mandatory protocol regarding the SINGING OF THE PHILIPPINE NATIONAL ANTHEM (Lupang Hinirang) during official flag-raising ceremonies?","The singing of the National Anthem must always be in the NATIONAL LANGUAGE (Filipino), sung with fervor, enthusiasm, and solemnity; when sung in public gatherings, all persons must stand at attention, face the flag (or the band), and place their RIGHT PALM OVER THEIR LEFT CHEST.","The national anthem may be translated into and sung in foreign languages during official government sessions.","Attendees may continue drinking coffee and walking around the plaza while the anthem is playing.","Civil servants must salute with their left hand behind their back while looking at the ground.","A","Step-by-Step Solution:
1. Statutory Authority: Republic Act No. 8491 (The Flag and Heraldic Code of the Philippines):
   - Section 37: 'The singing of the National Anthem, whether played with or without musical accompaniment, shall be in accordance with the musical arrangement and composition of Julian Felipe... Lupang Hinirang shall ALWAYS BE SUNG IN THE NATIONAL LANGUAGE within or without the country.'
   - Section 38: 'When the National Anthem is played at a public gathering, whether by a band or by singing or both, or reproduced by any means, the attending public shall STAND AT ATTENTION AND FACE THE PHILIPPINE FLAG, IF THERE IS ONE, AND IF THERE IS NONE, THEY SHALL FACE THE BAND OR THE CONDUCTOR. At the first note, all persons shall EXECUTE A SALUTE BY PLACING THEIR RIGHT PALMS OVER THEIR LEFT CHESTS.'
   - Section 18: Mandatory Monday morning flag-raising and Friday afternoon flag-retreat ceremonies in all government offices and educational institutions.
2. Option A matches the statutory requirements and etiquette of RA 8491 verbatim.

Common Trap: Thinking the anthem can be sung in English or other foreign languages; RA 8491 STRICTLY MANDATES that Lupang Hinirang must ALWAYS be sung in the national language (FILIPINO).
Exam Tip: RA 8491 (Lupang Hinirang Protocol) = ALWAYS in Filipino + Stand at attention, face flag/band + RIGHT PALM OVER LEFT CHEST.","Correct. Survives elimination because Sections 37 and 38 of RA 8491 explicitly command that Lupang Hinirang must always be sung in Filipino with fervor, requiring all persons to stand at attention facing the flag with right palms placed over their left chests.","Eliminated because Section 37 strictly outlaws singing the national anthem in any language other than the Filipino national language.","Eliminated because moving around or drinking coffee during the national anthem is a punishable violation of RA 8491.","Eliminated because the statutory civilian salute requires the right palm placed over the left chest, not an inverted left-hand gesture.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Nationalism and patriotism | Very Difficult | Batch 159"
"Under Article IV, Section 5 of the 1987 Constitution and the Citizenship Retention and Re-acquisition Act of 2003 (Republic Act No. 9225), how does the principle of Nationalism and Patriotism govern 'DUAL ALLEGIANCE' among public officials?","DUAL ALLEGIANCE of citizens is declared inimical to the national interest and shall be dealt with by law; natural-born Filipinos who re-acquire Philippine citizenship under RA 9225 MUST EXECUTE A PERSONAL AND SWORN RENUNCIATION OF ANY AND ALL FOREIGN CITIZENSHIP before running for elective office or being appointed to public office.","Dual allegiance is declared a constitutional human right that entitles public servants to hold cabinet posts in two foreign countries simultaneously.","Civil servants with dual allegiance are exempt from filing their Statements of Assets, Liabilities, and Net Worth.","Dual allegiance allows government employees to refuse to take the oath of allegiance to the Philippine Constitution.","A","Step-by-Step Solution:
1. Constitutional Anchor: Article IV, Section 5:
   'Dual allegiance of citizens is inimical to the national interest and shall be dealt with by law.'
2. Statutory & Jurisprudential Distinction (Mercado v. Manzano, 307 SCRA 112; Lopez v. COMELEC, 559 SCRA 696; Sobejana-Condon v. COMELEC, 678 SCRA 267):
   - 1. DUAL CITIZENSHIP vs DUAL ALLEGIANCE:
     - Dual Citizenship is involuntary and arises from concurrent application of foreign laws (e.g., jus soli in US + jus sanguinis in Philippines).
     - Dual Allegiance is the continuous, voluntary, simultaneous political loyalty to TWO sovereign states.
   - 2. Mandatory Renunciation for Public Office (Section 5[2] & 5[3], RA 9225):
     - For Elective Office: Candidates who hold dual citizenship must execute a formal, personal, and SWORN RENUNCIATION of any and all foreign citizenships AT THE TIME OF FILING THE CERTIFICATE OF CANDIDACY.
     - For Appointive Office: Must renounce all foreign citizenships prior to taking the oath of office.
3. Option A is the complete, accurate constitutional and statutory formulation.

Common Trap: Thinking a dual citizen can run for public office while retaining foreign passport/allegiance; holding public office REQUIRES SWORN RENUNCIATION of foreign citizenship to eliminate dual allegiance.
Exam Tip: Dual Allegiance (Art. IV, Sec. 5) = Inimical to national interest; Public office requires SWORN RENUNCIATION of all foreign citizenships under RA 9225.","Correct. Survives elimination because Article IV, Section 5 and RA 9225 require public servants and candidates to execute an explicit, sworn renunciation of all foreign citizenships to eliminate dual allegiance and ensure undivided national loyalty.","Eliminated because the Constitution explicitly declares dual allegiance inimical to the national interest.","Eliminated because all public servants are subject to mandatory SALN disclosures regardless of citizenship history.","Eliminated because all public officials must take an undivided oath of allegiance to the Philippine Republic.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Nationalism and patriotism | Very Difficult | Batch 159"
"How is the norm of 'Nationalism and Patriotism' operationalized in GOVERNMENT PROCUREMENT under the 'DOMESTIC BIDDERS PREFERENCE' provisions of Republic Act No. 9184 and Republic Act No. 12009 (New Government Procurement Act)?","The law grants a statutory preference margin and priority to domestic Philippine bidders producing locally manufactured goods and utilizing local raw materials and Filipino labor over foreign bidders in competitive public procurement.","Government agencies are legally compelled to reject all bids submitted by Filipino-owned businesses.","Government procurement rules require 100% of all public infrastructure projects to be awarded to foreign state-owned monopolies.","The procurement law bans government agencies from purchasing locally grown agricultural products for school feeding programs.","A","Step-by-Step Solution:
1. Statutory Authority:
   - Section 43, Republic Act No. 9184 (Government Procurement Reform Act).
   - Republic Act No. 12009 (The New Government Procurement Act of 2024).
   - Commonwealth Act No. 138 (The Flag Law).
   - Section 4(A)(f), RA 6713 (Nationalism & Patriotism: 'promote the use of locally produced goods, resources and technology').
2. Domestic Bidders Preference Mechanism:
   - 1. Statutory Objective: Support domestic manufacturing, Filipino industries, micro-small-medium enterprises (MSMEs), and local employment.
   - 2. Preference Margin: Under the procurement rules, a domestic entity submitting a bid offering goods manufactured in the Philippines with at least the prescribed percentage of local materials (certified by DTI) is granted a statutory preference margin (e.g., 15% under RA 9184 / expanded under RA 12009) against foreign competitors.
   - 3. 'Buy Filipino' in Government: Encouraging public agencies to patronize local agricultural produce, uniforms, textiles, and building materials.
3. Option A is the precise legal description of the Domestic Preference policy.

Common Trap: Thinking Philippine procurement is open unconditionally to foreign imports; the law provides an explicit, statutory DOMESTIC BIDDERS PREFERENCE to advance nationalism and economic sovereignty.
Exam Tip: Government Procurement = DOMESTIC BIDDERS PREFERENCE (Statutory priority and preference margin for locally manufactured goods and Filipino bidders).","Correct. Survives elimination because RA 9184 and RA 12009 incorporate domestic preference mechanisms to favor local Philippine manufacturers and goods, directly operationalizing the economic nationalism mandated by Section 4(A)(f).","Eliminated because government procurement laws actively encourage and protect Filipino enterprises.","Eliminated because awarding 100% of contracts to foreign state-owned monopolies destroys domestic industry and violates procurement laws.","Eliminated because feeding programs (e.g., RA 11037) explicitly mandate purchasing from local Filipino farmers and agrarian reform beneficiaries.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Nationalism and patriotism | Very Difficult | Batch 159"
"Under Republic Act No. 8491 (The Flag and Heraldic Code), how must the PHILIPPINE NATIONAL FLAG be displayed when flown on a vertical staff or hung vertically against a wall during PEACETIME?","The BLUE FIELD must be on TOP when hung horizontally on a staff, and the BLUE FIELD must be to the OBSERVER'S LEFT (the flag's right) when hung vertically, with the red field indicating a STATE OF WAR if placed on top or to the observer's left.","The red field is always placed on top during peacetime to symbolize energetic government action.","The flag must be displayed upside down during municipal town fiestas.","The yellow sun must be painted over with blue ink when displayed inside school classrooms.","A","Step-by-Step Solution:
1. Statutory Text: Republic Act No. 8491, Section 10:
   - 'The flag, if flown from a flagpole, shall have its blue field on top IN TIME OF PEACE and the red field on top IN TIME OF WAR; if in a hanging position, the BLUE FIELD SHALL BE TO THE RIGHT (LEFT OF THE OBSERVER) IN TIME OF PEACE, and the red field to the right (left of the observer) IN TIME OF WAR.'
2. Key Rules on Flag Display (Peacetime):
   - Horizontal (Flagpole): BLUE field ON TOP, RED field on the bottom.
   - Vertical (Hanging): BLUE field to the OBSERVER'S LEFT (which is the flag's own right side).
   - Wartime State: Flying the flag with the RED field on top (or red to the observer's left when hanging) constitutes the official constitutional declaration that the nation is in a STATE OF WAR.
3. Option A matches the statutory rule and heraldic positions verbatim.

Common Trap: Confusing the hanging orientation; in peacetime, the blue field is on the OBSERVER'S LEFT (the flag's own right). Red on top or to observer's left signals WAR.
Exam Tip: Philippine Flag Display (Peacetime) = BLUE ON TOP (Horizontal); BLUE TO OBSERVER'S LEFT (Vertical/Hanging). RED ON TOP = STATE OF WAR.","Correct. Survives elimination because Section 10 of RA 8491 explicitly dictates that in peacetime the blue field must be on top horizontally and to the observer's left vertically, while the red field occupying that position indicates a state of war.","Eliminated because displaying the red field on top during peacetime is an erroneous display indicating a state of war.","Eliminated because inverting the flag during festivals is a disrespectful violation of heraldic law.","Eliminated because defacing the sun or stars is a criminal act under Section 34 of RA 8491.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Nationalism and patriotism | Very Difficult | Batch 159"
"A government department secretary requires that all office catering, official event souvenirs, and agency corporate gifts must be sourced from ACCREDITED LOCAL FILIPINO ARTISANS, indigenous weaving cooperatives, and domestic agricultural producers. How does this policy fulfill Section 4(A)(f) of RA 6713?","It directly advances the statutory mandate of 'Nationalism and Patriotism' by promoting locally produced goods, resources, and indigenous technology while supporting local Filipino communities and national economic pride.","It constitutes an unconstitutional violation of foreign diplomatic commercial treaties.","It is an illegal administrative act that requires prior clearance from the United Nations General Assembly.","It is an unauthorized luxury expense that must be deducted from the employees' personal salaries.","A","Step-by-Step Solution:
1. Statutory Context: RA 6713, Section 4(A)(f):
   - 'Nationalism and patriotism. — Public officials and employees shall... PROMOTE THE USE OF LOCALLY PRODUCED GOODS, RESOURCES AND TECHNOLOGY AND ENCOURAGE APPRECIATION AND PRIDE OF COUNTRY AND PEOPLE.'
2. Evaluation of the Policy:
   - Sourcing official agency souvenirs, event gifts, and catering from local Filipino artisans, MSMEs, indigenous weavers (e.g., Inabel, T'nalak, Yakan fabrics), and domestic farmers directly implements the statutory mandate.
   - It fosters national economic self-reliance, preserves indigenous cultural traditions, and channels public funds back into the local Filipino economy.
   - Perfectly aligned with RA 6713, the Magna Carta for MSMEs (RA 9501), and RA 10066.
3. Option A is the correct, definitive legal evaluation.

Common Trap: Believing government agencies must always buy imported goods for official gifts; promoting local Filipino artisans is an EXPLICIT STATUTORY DUTY under Section 4(A)(f).
Exam Tip: Sourcing local artisanal products, indigenous fabrics, and domestic food for official events directly fulfills NATIONALISM AND PATRIOTISM (Sec. 4[A][f]).","Correct. Survives elimination because Section 4(A)(f) explicitly commands public officials to promote locally produced goods, domestic resources, and pride in Filipino heritage, making local sourcing policies an exemplary fulfillment of the law.","Eliminated because domestic affirmative purchasing policies for official events are fully constitutional and lawful.","Eliminated because internal agency purchasing of local artisanal goods requires no international body clearance.","Eliminated because official agency event supplies and protocol tokens are legitimate operational expenses within approved budget allocations.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Nationalism and patriotism | Very Difficult | Batch 159"
"Under Republic Act No. 8491, which of the following acts is STRICTLY PROHIBITED as a DESECRATION of the Philippine National Flag?","Using the flag as a drapery, tablecloth, bedspread, or curtain, printing the flag on commercial advertisements, napkins, or handkerchiefs, wearing the flag as part of a costume or athletic uniform, or adding any commercial trademark or lettering upon the flag.","Flying the flag at half-mast during the official state mourning for a deceased President or Chief Justice.","Saluting the flag during a Monday morning public school assembly.","Replacing a torn and frayed flag with a brand-new, clean official flag.","A","Step-by-Step Solution:
1. Statutory Text: Section 34, Republic Act No. 8491 (Prohibited Acts regarding the National Flag):
   - 'It shall be prohibited:
     (a) To mutilate, deface, defile, trample on or cast contempt or commit any act or omission casting dishonor or ridicule upon the flag over its surface;
     (b) To dip the flag to any person or object by way of compliment or salute;
     (c) To use the flag:
         (1) As a drapery, festoon, tablecloth;
         (2) As covering for ceilings, walls, statues or other objects;
         (3) As a pennant on the hood, side, back and top of motor vehicles;
         (4) As a staff or whip;
         (5) For unveiling monuments or statues;
         (6) As trademarks, or for industrial, commercial or advertising designs;
     (d) To display the flag:
         (1) Under any painting or picture;
         (2) Horizontally face-up;
         (3) In any place of vice;
     (e) To wear the flag in whole or in part as a costume or uniform;
     (f) To add any word, figure, mark, picture, design, drawings, advertisement, or imprint of any nature on the flag.'
2. Mandatory Disposal of Worn Flags (Section 14): A flag that has become worn, torn, or faded shall NOT be thrown away or used as cleaning rags; it MUST BE SOLEMNLY BURNED to avoid desecration.
3. Option A is the verbatim enumeration of prohibited acts.

Common Trap: Thinking it is patriotic to wear a flag as a shirt or superhero cape; wearing the flag as clothing or costume is a CRIMINAL PROHIBITED ACT under RA 8491.
Exam Tip: Flag Prohibitions (RA 8491, Sec. 34): Cannot be used as tablecloth/drapery, cannot be worn as costume/clothing, cannot be printed on commercial ads, cannot add trademarks. Frayed flags must be SOLEMNLY BURNED.","Correct. Survives elimination because Section 34 of RA 8491 specifically criminalizes using the flag as drapery, tablecloths, commercial advertisements, or wearing it as part of clothing or costumes.","Eliminated because flying the flag at half-mast for deceased national statesmen is an authorized, mandatory sign of mourning under Section 23 of RA 8491.","Eliminated because saluting the flag during assemblies is an explicit patriotic duty under Section 18.","Eliminated because replacing worn flags is required, with old flags solemnly burned pursuant to Section 14.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Nationalism and patriotism | Very Difficult | Batch 159"
"Under Article II, Section 4 of the 1987 Constitution, what is the PRIME DUTY of the Government, and what civic obligation may be required of all citizens to defend the State in the spirit of Nationalism and Patriotism?","The prime duty of the Government is to SERVE AND PROTECT THE PEOPLE; the Government may call upon the people to defend the State and, in the fulfillment thereof, all citizens may be required, under conditions provided by law, to render PERSONAL MILITARY OR CIVIL SERVICE.","The prime duty of the Government is to conquer neighboring foreign territories and establish colonies.","The Government is prohibited from calling upon citizens to assist in disaster response operations.","Citizens can be required to surrender all private property to foreign multinational corporations during peacetime.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 4:
   'The prime duty of the Government is to serve and protect the people. The Government may call upon the people to defend the State and, in the fulfillment thereof, all citizens may be required, under conditions provided by law, to render personal military or civil service.'
2. Landmark Companion Provisions:
   - Article II, Section 3: The Armed Forces of the Philippines is the protector of the people and the State.
   - National Service Training Program (NSTP Act of 2001 / RA 9163): ROTC, CWTS, and LTS components for tertiary students to develop civic consciousness, defense preparedness, and patriotism.
3. Meaning and Breadth:
   - 1. Prime Duty: Sovereign public service and protection of the Filipino populace.
   - 2. Citizen Defense Obligation: In times of national peril, invasion, or disaster, the State can mandate personal military or civil service (compulsory defense service, rescue operations, relief logistics).
4. Option A is the verbatim constitutional provision.

Common Trap: Thinking citizens can only be called for military combat; the Constitution explicitly authorizes the State to mandate PERSONAL MILITARY OR CIVIL SERVICE.
Exam Tip: Article II, Section 4 = Prime duty of Govt is to SERVE AND PROTECT the people; Citizens may be required to render PERSONAL MILITARY OR CIVIL SERVICE to defend the State.","Correct. Survives elimination because Article II, Section 4 explicitly declares that the prime duty of government is to serve and protect the people, empowering the State to require citizens to render personal military or civil service in defense of the nation.","Eliminated because the Philippines renounces aggressive war and foreign conquest as an instrument of national policy under Article II, Section 2.","Eliminated because the State has explicit constitutional power to mobilize citizens for civil and disaster service.","Eliminated because private property cannot be confiscated for foreign corporations under the Bill of Rights.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Nationalism and patriotism | Very Difficult | Batch 159"
"In the context of civil service ethics, why does 'Nationalism and Patriotism' forbid public officials from signing international trade or loan agreements that surrender the Philippines' SOVEREIGN IMMUNITY over vital natural resources and critical public infrastructure?","Because public officials have a sworn constitutional duty to defend national patrimony, protect Philippine sovereignty against foreign subjugation, and preserve the country's public domain resources exclusively for the Filipino people.","Because international loan agreements are completely prohibited in Philippine constitutional law.","Because public officials are required to conduct all government business in pre-colonial baybayin script.","Because foreign loans can only be approved if the borrowing agency pays a personal commission to the World Bank.","A","Step-by-Step Solution:
1. Constitutional and Statutory Basis:
   - Section 4(A)(f), RA 6713: 'They shall endeavor to maintain and defend Philippine sovereignty against foreign intrusion.'
   - Article XII, Section 2 (National Economy & Patrimony): All lands of the public domain, waters, minerals, and natural resources belong to the State and their exploration/utilization shall be under the full control and supervision of the State.
   - Article VII, Section 20 (Foreign Loans): The President may contract foreign loans with prior concurrence of the Monetary Board, but CANNOT compromise sovereign independence or alienate public patrimony.
2. Ethical Mandate:
   - Signing onerous sovereign debt contracts that pledge sovereign territory, critical public energy grids, or ports as collateral to foreign state creditors compromises national independence and constitutes a direct betrayal of Nationalism and Patriotism.
   - Public officials must fiercely guard national sovereignty, territorial autonomy, and economic independence.
3. Option A is the correct, comprehensive constitutional rationale.

Common Trap: Thinking foreign loan negotiations are purely economic; pledging sovereign assets or compromising territorial independence is a GRAVE ETHICAL BREACH of Nationalism and Patriotism.
Exam Tip: Defense of Sovereignty (Sec. 4[A][f] & Art. XII) = Safeguarding national patrimony, public infrastructure, and natural resources against foreign subjugation and unfair sovereign concessions.","Correct. Survives elimination because Section 4(A)(f) of RA 6713 and Article XII require public officers to defend national sovereignty and ensure that natural resources and public domain assets remain protected against foreign encroachment.","Eliminated because foreign loans contracted pursuant to Article VII, Section 20 with Monetary Board concurrence are constitutional when lawful safeguards are observed.","Eliminated because official government languages are Filipino and English under Article XIV, Section 7.","Eliminated because personal commissions on foreign loans are criminal bribes and corrupt practices under RA 3019.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Nationalism and patriotism | Very Difficult | Batch 159"
"Under Section 4(A)(f) of RA 6713, how should a public servant balance global professional cooperation with the norm of 'Nationalism and Patriotism'?","A public servant may learn from global best practices and collaborate with international bodies, but must always ensure that policies, projects, and decisions prioritize the long-term national interest, economic welfare, and security of the FILIPINO PEOPLE.","A public servant must automatically adopt foreign policies verbatim even if they harm domestic Filipino agriculture.","A public servant is prohibited from ever using modern internet software developed overseas.","A public servant must surrender all national historical artifacts to foreign private museums.","A","Step-by-Step Solution:
1. Conceptual Framework of Dynamic Public Administration:
   - Global Integration vs National Loyalty:
     - In an interconnected world, government agencies interact with the UN, ASEAN, WHO, ISO, and international technical bodies.
     - A professional civil servant actively adopts modern global technologies, best practices, scientific standards, and innovations.
     - HOWEVER, under Section 4(A)(f) of RA 6713, the ultimate standard and filter for every policy, regulation, and program is: DOES THIS ADVANCE THE WELFARE, SOVEREIGNTY, AND PROSPERITY OF THE FILIPINO PEOPLE?
     - Foreign interests, corporate lobbying, or external geopolitical pressure must never be permitted to subordinate domestic Filipino welfare.
2. Option A captures this mature, balanced public administration principle accurately.

Common Trap: Thinking patriotism means total isolation from the world; true patriotism leverages global knowledge and collaboration to elevate and protect the FILIPINO NATION.
Exam Tip: Dynamic Nationalism & Patriotism = Learning from global best practices while keeping the long-term national interest of the FILIPINO PEOPLE supreme.","Correct. Survives elimination because Section 4(A)(f) directs public servants to maintain supreme loyalty to the Republic, adapting global knowledge while ensuring all decisions advance the domestic welfare and sovereignty of the Filipino people.","Eliminated because blind adoption of harmful foreign agricultural policies damages domestic food security and violates public interest.","Eliminated because utilizing modern foreign technological tools to enhance public service is fully compatible with nationalism.","Eliminated because protecting national historical treasures and cultural property within the country is mandated by RA 10066.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Nationalism and patriotism | Very Difficult | Batch 159"
