"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article XI, Section 2 of the 1987 Philippine Constitution, who are the ONLY IMPEACHABLE OFFICIALS who can be removed from office exclusively through the impeachment process?","The President, the Vice-President, the Members of the Supreme Court, the Members of the Constitutional Commissions (CSC, COMELEC, COA), and the Ombudsman.","The President, Cabinet Secretaries, Senators, and the Chief of Staff of the Armed Forces.","The President, the Vice-President, the Senate President, and the Speaker of the House.","All department undersecretaries, provincial governors, and city mayors.","A","Step-by-Step Solution:
1. Constitutional Text: Article XI, Section 2 states:
 'The President, the Vice-President, the Members of the Supreme Court, the Members of the Constitutional Commissions, and the Ombudsman may be removed from office on impeachment for, and conviction of, culpable violation of the Constitution, treason, bribery, graft and corruption, other high crimes, or betrayal of public trust. All other public officers and employees may be removed from office as provided by law, but not by impeachment.'
2. Enumeration of Impeachable Officials:
 - 1. The President of the Philippines
 - 2. The Vice-President of the Philippines
 - 3. The Members of the Supreme Court (1 Chief Justice + 14 Associate Justices)
 - 4. The Members of the Constitutional Commissions (CSC: 3; COMELEC: 7; COA: 3)
 - 5. The Ombudsman (Overall Ombudsman)
3. Non-Impeachable Officials:
 - Senators and Representatives are disciplined/expelled by their respective Houses under Article VI, Section 16(3) (by 2/3 vote of its members), NOT by impeachment.
 - Cabinet Secretaries are removable by the President at pleasure.
 - Lower court judges are disciplined and dismissed by the Supreme Court En Banc under Article VIII, Section 11.
 - Local officials are removed under the Local Government Code and administrative laws.
4. Option A is the exact constitutional list of impeachable officers.

Common Trap: Believing Senators, Congressmen, or Cabinet Secretaries are impeachable; they are NOT impeachable officials under Article XI, Section 2.
Exam Tip: The 5 Impeachable Classes: (1) President, (2) Vice-President, (3) Supreme Court Justices, (4) Constitutional Commissioners (CSC, COMELEC, COA), (5) Ombudsman.","Correct. Survives elimination because Article XI, Section 2 exclusively lists the President, Vice-President, Supreme Court Justices, Constitutional Commissioners (CSC, COMELEC, COA), and the Ombudsman as the sole impeachable public officers.","Eliminated because Cabinet Secretaries (removable at presidential pleasure), Senators (disciplined by 2/3 Senate vote), and the AFP Chief of Staff are not impeachable officials.","Eliminated because the Senate President and House Speaker are members of Congress disciplined under Article VI, Section 16(3), not through impeachment.","Eliminated because undersecretaries and local chief executives are subject to administrative and civil service disciplinary procedures, not constitutional impeachment.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Accountability of Public Officers | Very Difficult | Batch 134"
"Under Article XI, Section 2 of the 1987 Constitution, what are the SIX EXCLUSIVE GROUNDS for the impeachment of a public officer?","Culpable violation of the Constitution, treason, bribery, graft and corruption, other high crimes, or betrayal of public trust.","Incompetence, absenteeism, loss of confidence, political disloyalty, negligence, and bankruptcy.","Physical illness, reaching sixty-five years of age, foreign travel without clearance, and tax evasion.","Holding dual citizenship, loss of majority party support, and refusal to sign executive orders.","A","Step-by-Step Solution:
1. Constitutional Text: Article XI, Section 2:
 '...impeachment for, and conviction of:
 1. Culpable violation of the Constitution
 2. Treason
 3. Bribery
 4. Graft and corruption
 5. Other high crimes
 6. Betrayal of public trust.'
2. Definitions of Key Grounds:
 - Culpable Violation of the Constitution: Deliberate, intentional, and willful violation of the fundamental law (mere mistake in good faith is not culpable).
 - Treason: Defined under the Revised Penal Code (levying war against the Philippines or adhering to its enemies, giving them aid and comfort).
 - Bribery: Direct or indirect bribery under the Revised Penal Code.
 - Graft and Corruption: Acts penalised under RA 3019 (Anti-Graft and Corrupt Practices Act) and related statutes.
 - Other High Crimes: Crimes of immense gravity that strike at the very life and orderly functioning of the State.
 - Betrayal of Public Trust: A broad catch-all ground introduced in 1987 to cover non-criminal acts of gross unfaithfulness to duty, tyranny, cronyism, or abuse of power that destroy the public trust (Gonzales v. Office of the President).
3. Option A is the verbatim constitutional list of the 6 impeachment grounds.

Common Trap: Confusing civil service administrative grounds (e.g., inefficiency, simple neglect of duty) with constitutional impeachment grounds.
Exam Tip: Memorize the 6 Impeachment Grounds: Culpable violation of Constitution, Treason, Bribery, Graft & corruption, Other high crimes, Betrayal of public trust.","Correct. Survives elimination because Article XI, Section 2 exhaustively specifies the six constitutional grounds for impeachment: culpable violation of the Constitution, treason, bribery, graft and corruption, other high crimes, and betrayal of public trust.","Eliminated because administrative negligence, simple absenteeism, and loss of confidence are civil service or political concepts, not constitutional grounds for impeachment.","Eliminated because illness and mandatory retirement are not impeachment offenses.","Eliminated because political party dynamics and cabinet policy disagreements do not constitute constitutional grounds for impeachment.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Accountability of Public Officers | Very Difficult | Batch 134"
"In the landmark constitutional decision of Francisco v. House of Representatives (G.R. No. 160261, November 10, 2003), how did the Supreme Court define the 'INITIATION' of an impeachment proceeding for the purpose of applying the ONE-YEAR BAR RULE under Article XI, Section 3(5)?","Impeachment is 'initiated' when a verified compla∫ is filed by a Member of the House of Representatives or by any citizen endorsed by a Member, and is referred to the House Committee on Justice; no second impeachment proceeding can be initiated against the same official within a period of one year from such filing and referral.","Impeachment is initiated only when the full House of Representatives votes to transmit the Articles of Impeachment to the Senate.","Impeachment is initiated only when the Senate convenes as an impeachment court and administers the trial oath to the Senators.","Impeachment is initiated on the date the respondent official receives a formal summons from the Chief Justice.","A","Step-by-Step Solution:
1. Constitutional Text: Article XI, Section 3(5):
 'No impeachment proceeding shall be initiated against the same official more than once within a period of one year.'
2. Landmark Case: Francisco v. House of Representatives (415 SCRA 44, 2003):
 - Issue: When is an impeachment compla∫ deemed 'initiated' to trigger the 1-year constitutional bar against successive impeachment complaints?
 - Supreme Court Ruling (En Banc):
 - 'Initiation' does not mean the transmittal of Articles of Impeachment to the Senate, nor does it mean the final House plenary vote.
 - 'Initiation' takes place when:
 (1) A verified compla∫ for impeachment is FILED by any Member of the House or by any citizen with the endorsement of a Member, AND
 (2) The compla∫ is formally REFERRED to the House Committee on Justice under Section 3(2).
 - Once this filing and referral occur, the 1-year clock starts, and NO other impeachment compla∫ against the same respondent official can be entertained or initiated within ONE YEAR from that date.
3. Option A is the precise holding of Francisco v. House of Representatives.

Common Trap: Believing the 1-year bar only applies if the first compla∫ reaches the Senate; if a compla∫ is filed and referred to the Justice Committee and subsequently dismissed, NO new compla∫ can be filed against that official for one full year.
Exam Tip: Francisco v. House of Representatives = Impeachment is 'INITIATED' upon FILING AND REFERRAL to the Committee on Justice (triggering the 1-year bar).","Correct. Survives elimination because Francisco v. House of Representatives definitively established that an impeachment proceeding is initiated upon the filing of a verified compla∫ and its referral to the House Committee on Justice, barring any subsequent compla∫ against the same official for one year.","Eliminated because the Supreme Court explicitly rejected the theory that initiation requires House plenary transmittal to the Senate.","Eliminated because Senate trial convening occurs far after initiation has taken place in the House of Representatives.","Eliminated because receipt of summons is a trial-level process and has no bearing on the House initiation cutoff date.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Accountability of Public Officers | Very Difficult | Batch 134"
"Under Article XI, Section 3 of the 1987 Constitution, what are the respective voting thresholds in the HOUSE OF REPRESENTATIVES to initiate/transmit an impeachment compla∫ and in the SENATE to convict the respondent official?","House of Representatives: At least one-third (1/3) of all its Members; Senate: At least two-thirds (2/3) of all its Members.","House of Representatives: A simple majority (50% + 1); Senate: Three-fourths (3/4) of all its Members.","House of Representatives: Two-thirds (2/3) of all its Members; Senate: Unanimous vote of all Senators present.","House of Representatives: Three-fifths (3/5) of all its Members; Senate: A simple majority.","A","Step-by-Step Solution:
1. Constitutional Text: Article XI, Section 3:
 - House of Representatives (Initiation/Transmittal):
 - Section 3(4): 'In case the verified compla∫ or resolution of impeachment is filed by at least ONE-THIRD OF ALL THE MEMBERS of the House, the same shall constitute the Articles of Impeachment, and trial by the Senate shall forthwith proceed.'
 - Section 3(3): If reported out by the Committee, a vote of at least ONE-THIRD OF ALL THE MEMBERS OF THE HOUSE is necessary to affirm a favorable resolution with the Articles of Impeachment of the Committee, or override its contrary resolution.
 - Senate (Trial and Conviction):
 - Section 3(6): 'The Senate shall have the sole power to try and decide all cases of impeachment... No person shall be convicted without the concurrence of TWO-THIRDS OF ALL THE MEMBERS OF THE SENATE.'
2. Summary of Voting Thresholds:
 - House to impeach/transmit: AT LEAST 1/3 OF ALL MEMBERS.
 - Senate to convict: AT LEAST 2/3 OF ALL MEMBERS.
3. Option A is the verbatim constitutional threshold.

Common Trap: Confusing the 1/3 House requirement with a simple majority; in the House, only 1/3 of the total membership is required to send Articles of Impeachment to the Senate.
Exam Tip: Impeachment Voting Thresholds: 1/3 of the HOUSE to impeach -> 2/3 of the SENATE to convict.","Correct. Survives elimination because Article XI, Section 3 requires a minimum vote of one-third (1/3) of all House Members to affirm or file Articles of Impeachment, and a concurrence of two-thirds (2/3) of all Senate Members to convict.","Eliminated because a simple majority is not required in the House (only 1/3 is needed), and the Senate threshold is 2/3 (not 3/4).","Eliminated because the House threshold is 1/3 (not 2/3), and the Senate requires 2/3 concurrence (not a unanimous vote).","Eliminated because the 3/5 threshold does not exist in Philippine constitutional impeachment provisions.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Accountability of Public Officers | Very Difficult | Batch 134"
"Under Article XI, Section 3(7) of the 1987 Constitution, what is the maximum LEGAL PENALTY that may be imposed by the Senate sitting as an Impeachment Court upon a convicted respondent official?","Judgments in cases of impeachment shall not extend further than removal from office and disqualification to hold any office of honor, trust, or profit under the Republic of the Philippines; but the party convicted shall nevertheless be liable to prosecution, trial, and punishment according to law.","Imprisonment of up to twenty years in the national penitentiary and mandatory forfeiture of all private ancestral land.","Capital punishment (death penalty) for treason and lifelong hard labor in a military penal colony.","Immediate deportation to a foreign country and permanent revocation of birth records.","A","Step-by-Step Solution:
1. Constitutional Text: Article XI, Section 3(7) states:
 'Judgment in cases of impeachment shall not extend further than to removal from office and disqualification to hold any office of honor, trust or profit under the Republic of the Philippines, but the party convicted shall nevertheless be liable and subject to prosecution, trial, and punishment according to law.'
2. Two Constitutional Consequences of Impeachment Conviction:
 - 1. Removal from public office.
 - 2. Perpetual disqualification to hold any public office of honor, trust, or profit under the Republic of the Philippines.
3. Criminal/Civil Liabilities:
 - The Impeachment Court CANNOT impose imprisonment, criminal fines, or penal sentences. Impeachment is a political, not criminal, proceeding.
 - However, conviction does NOT grant immunity from subsequent criminal prosecution before regular courts (Sandiganbayan / Regional Trial Courts).
4. Option A is the verbatim constitutional limitation.

Common Trap: Believing the Senate can sentence an impeached official to prison; the Senate can ONLY remove and perpetually disqualify the official from public office (criminal prison sentences must be pursued in regular criminal courts).
Exam Tip: Impeachment Penalties: (1) Removal from office, and (2) Disqualification from public office. (No prison sentences in impeachment).","Correct. Survives elimination because Article XI, Section 3(7) strictly limits the judgment of the Impeachment Court to removal from office and perpetual disqualification to hold public office, leaving criminal imprisonment to regular criminal courts.","Eliminated because the Senate sitting as an Impeachment Court has no constitutional jurisdiction to impose prison sentences.","Eliminated because criminal capital punishment cannot be adjudged in an impeachment trial.","Eliminated because deportation and cancellation of birth records are outside the constitutional penalties for impeachment.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Accountability of Public Officers | Very Difficult | Batch 134"
"Under Article XI, Section 8 of the 1987 Constitution, what are the constitutional qualifications of the OMBUDSMAN and his Deputies, and what is their term of office?","Natural-born citizens of the Philippines, at least forty years of age at appointment, of recognized probity and independence, members of the Philippine Bar, and for ten years or more a judge or engaged in the practice of law in the Philippines; they serve for a term of seven (7) years without reappointment.","Natural-born citizens, at least thirty-five years of age, serving a renewable term of four years upon confirmation by the Senate.","Naturalized or natural-born citizens, at least forty-five years of age, holding office during good behavior until age seventy.","Former cabinet secretaries appointed by the President for an indefinite term.","A","Step-by-Step Solution:
1. Constitutional Text: Article XI, Section 8:
 'The Ombudsman and his Deputies shall be natural-born citizens of the Philippines, and at the time of their appointment, at least forty years of age, of recognized probity and independence, and members of the Philippine Bar, and must not have been candidates for any elective office in the immediately preceding election. The Ombudsman must have for ten years or more been a judge or engaged in the practice of law in the Philippines.'
2. Term of Office (Article XI, Section 11):
 'The Ombudsman and his Deputies shall serve for a term of seven years without reappointment. They shall not be qualified to run for any office in the election immediately succeeding their cessation from office.'
3. Breakdown of Qualifications & Term:
 - Natural-born citizen.
 - At least 40 years old.
 - Recognized probity and independence.
 - Member of Philippine Bar + 10+ years law practice/judge.
 - Not a candidate in immediately preceding elections.
 - Term = 7 YEARS WITHOUT REAPPOINTMENT.
 - Disqualification: Cannot run for elective office in the election immediately succeeding retirement.
4. Option A matches the constitutional text and term exactly.

Common Trap: Thinking the Ombudsman serves until age 70 like judges; the Ombudsman and Deputies serve a FIXED 7-YEAR TERM without reappointment.
Exam Tip: Ombudsman = Natural-born + Age 40+ + 10+ yrs lawyer/judge + 7-YEAR TERM WITHOUT REAPPOINTMENT.","Correct. Survives elimination because Article XI, Sections 8 and 11 prescribe that the Ombudsman and Deputies must be natural-born citizens, at least 40 years old, Philippine Bar members with 10+ years practice, serving a fixed 7-year term without reappointment.","Eliminated because the minimum age is 40 (not 35), terms are 7 years (not 4), and reappointments are strictly prohibited.","Eliminated because the Ombudsman does not hold tenure until age 70 (they serve a fixed 7-year non-renewable term), and naturalized citizens are disqualified.","Eliminated because the Ombudsman is an independent constitutional body and does not serve at the pleasure of the President.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Accountability of Public Officers | Very Difficult | Batch 134"
"In the landmark case of Office of the Ombudsman v. Court of Appeals and Samaniego (G.R. No. 177504, October 11, 2011), what did the Supreme Court rule regarding the DISCIPLINARY POWERS of the Office of the Ombudsman under the 1987 Constitution and RA 6770 (The Ombudsman Act of 1989)?","The Ombudsman possesses direct and full administrative disciplinary authority to impose sanctions, including suspension, fine, demotion, and dismissal from public service, and is not a toothless agency with merely recommendatory powers.","The Ombudsman has only recommendatory powers and must petition the President to execute disciplinary dismissals.","The Ombudsman's authority is limited strictly to mediating disputes without imposing any administrative penalties.","The Ombudsman cannot investigate public officials unless the Sandiganbayan grants prior judicial clearance.","A","Step-by-Step Solution:
1. Landmark Case: Office of the Ombudsman v. CA & Samaniego (658 SCRA 863, 2011; Ledesma v. CA, 465 SCRA 437):
 - Legal Issue: Does the Ombudsman have the direct constitutional and statutory power to discipline, suspend, or dismiss erring public officials, or is its power under Article XI, Section 13(3) ('recommend the removal, suspension...') merely advisory/recommendatory?
 - Supreme Court Ruling (En Banc):
 - 1. Under Article XI, Section 13(8) and Republic Act No. 6770 (The Ombudsman Act of 1989, Sections 15, 21, and 25), the Ombudsman possesses DIRECT, MANDATORY, AND ENFORCEABLE ADMINISTRATIVE DISCIPLINARY AUTHORITY.
 - 2. The Ombudsman is NOT a 'toothless tiger.' The Ombudsman can directly impose administrative penalties of reprimand, suspension, forfeiture of salary, demotion, and DISMISSAL FROM SERVICE upon any public officer or employee (except impeachable officers).
 - 3. The refusal of a government agency head to implement the Ombudsman's dismissal order constitutes insubordination punishable by law.
2. Option A is the precise jurisprudential doctrine of Ombudsman v. Samaniego.

Common Trap: Believing the word 'recommend' in Article XI, Section 13(3) makes the Ombudsman purely advisory; the Supreme Court affirmed that RA 6770 and Section 13(8) grant full, direct punitive disciplinary powers.
Exam Tip: Ombudsman v. Samaniego = Ombudsman has FULL, DIRECT DISCIPLINARY POWER (including dismissal from service), NOT merely recommendatory authority.","Correct. Survives elimination because Ombudsman v. Samaniego settled that the Ombudsman possesses full and direct administrative authority to punish, suspend, and dismiss erring non-impeachable public officials under RA 6770.","Eliminated because the Supreme Court explicitly overturned earlier misconceptions that the Ombudsman possessed merely advisory or recommendatory powers.","Eliminated because the Ombudsman is an active disciplinary watchdog with direct punitive enforcement powers.","Eliminated because the Ombudsman exercises independent constitutional investigatory powers without needing prior court permission.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Accountability of Public Officers | Very Difficult | Batch 134"
"Under Article XI, Section 17 of the 1987 Constitution, what is the mandatory requirement regarding the STATEMENT OF ASSETS, LIABILITIES, AND NET WORTH (SALN) for all public officers and employees upon assumption of office and annually thereafter?","A public officer or employee shall, upon assumption of office and as often thereafter as may be required by law, submit a declaration under oath of his assets, liabilities, and net worth; the SALN of the President, Vice-President, Cabinet, Congress, Supreme Court, Constitutional Commissions, and top military officers shall be disclosed to the public in the manner provided by law.","A SALN is optional for elected officials and required only for non-career contractual laborers.","Public officials are only required to disclose their liabilities while keeping all assets completely confidential.","A SALN must be submitted exclusively once every six years upon the conclusion of a presidential administration.","A","Step-by-Step Solution:
1. Constitutional Text: Article XI, Section 17 states:
 'A public officer or employee shall, upon assumption of office and as often thereafter as may be required by law, submit a declaration under oath of his assets, liabilities, and net worth. In the case of the President, the Vice-President, the Members of the Cabinet, the Congress, the Supreme Court, the Constitutional Commissions and other constitutional offices, and officers of the armed forces with general or flag rank, the declaration shall be disclosed to the public in the manner provided by law.'
2. Statutory Operationalization:
 - Republic Act No. 6713 (Code of Conduct and Ethical Standards, Section 8):
 - SALN must be filed under oath:
 (a) Within 30 days after assumption of office
 (b) On or before April 30 of every year thereafter (covering the preceding calendar year)
 (c) Within 30 days after separation from public service
 - Includes disclosure of financial and business interests, relatives in government within the 4th ° of consanguinity/affinity.
3. Option A is the verbatim constitutional requirement.

Common Trap: Thinking high-ranking officials are exempt from public SALN disclosure; the Constitution explicitly singles out the President, Cabinet, Congress, SC, and Generals for mandatory public disclosure.
Exam Tip: SALN = Declaration under oath of assets, liabilities, and net worth upon assumption, annually, and upon separation; mandatory public disclosure for constitutional leaders.","Correct. Survives elimination because Article XI, Section 17 explicitly commands every public servant to submit a sworn SALN upon assumption of office and annually, with mandatory public disclosure for high-ranking constitutional officials.","Eliminated because the SALN is a mandatory constitutional requirement for all public officers and employees, without exception.","Eliminated because the SALN requires full disclosure of both assets and liabilities to determine true net worth and prevent unexplained wealth.","Eliminated because the SALN must be submitted upon entry, annually every year (by April 30 under RA 6713), and upon exit.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Accountability of Public Officers | Very Difficult | Batch 134"
"In the landmark ruling of Carpio-Morales v. Court of Appeals and Binay, Jr. (G.R. Nos. 217126-27, November 10, 2015), what did the Supreme Court declare regarding the 'CONDONATION DOCTRINE' (Aguinaldo Doctrine)?","The Condonation Doctrine—which previously held that an elective official's reelection condones or extinguishes prior administrative misconduct committed during a previous term—was abandoned and declared to have no constitutional or legal basis in the Philippines.","The Condonation Doctrine was reaffirmed as a permanent constitutional right protecting all elective officials from administrative investigations.","The Condonation Doctrine was expanded to cover criminal liabilities and civil indemnities for plunder.","The Condonation Doctrine was declared applicable exclusively to appointed cabinet secretaries.","A","Step-by-Step Solution:
1. Landmark Case: Carpio-Morales v. Court of Appeals and Jejomar Erwin S. Binay, Jr. (774 SCRA 431, 2015), penned by Justice Estela Perlas-Bernabe:
 - History: In Pascual v. Provincial Board of Nueva Ecija (1959) and Aguinaldo v. Santos (1992), the Court adopted the American 'Condonation Doctrine,' holding that the reelection of an elective official operates as a condonation of administrative offenses committed during the prior term.
 - Supreme Court Overturning Ruling (En Banc):
 - 1. The Condonation Doctrine has NO CONSTITUTIONAL OR STATUTORY BASIS under Philippine law.
 - 2. It violates Article XI, Section 1 (Public office is a public trust) and fosters a culture of impunity by allowing corrupt officials to escape administrative dismissal simply by winning reelection.
 - 3. The Court PROSPECTIVELY ABANDONED the Condonation Doctrine. An elective official can now be administratively investigated, suspended, and dismissed for misconduct committed in a prior term, regardless of subsequent reelection.
2. Option A is the precise legal holding of Carpio-Morales v. CA.

Common Trap: Believing reelection still condones administrative offenses; the Supreme Court completely ABANDONED the Condonation Doctrine in 2015.
Exam Tip: Carpio-Morales v. CA = ABANDONMENT OF THE CONDONATION DOCTRINE (Reelection NO LONGER extinguishes administrative liability).","Correct. Survives elimination because Carpio-Morales v. CA definitively abandoned the Condonation Doctrine, ruling that reelection does not wipe out or condone an elective official's administrative liability for acts committed during a prior term.","Eliminated because the Supreme Court explicitly struck down and abandoned the Condonation Doctrine as contrary to constitutional accountability.","Eliminated because the doctrine never applied to criminal liabilities, and was completely discarded even for administrative cases.","Eliminated because the doctrine historically applied to local elective officials and has now been totally discarded.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Accountability of Public Officers | Very Difficult | Batch 134"
"Under Article XI, Section 15 of the 1987 Constitution, what is the constitutional rule regarding the STATUTE OF LIMITATIONS (prescription) on the right of the State to recover properties unlawfully acquired by public officials (ill-gotten wealth)?","The right of the State to recover properties unlawfully acquired by public officials or employees, from them or from their nominees or transferees, shall not be barred by prescription, laches, or estoppel.","The right of the State to recover ill-gotten wealth prescribes within five years from the date of the official's retirement.","Recovery of ill-gotten wealth is barred if the official is acquitted in a separate administrative disciplinary proceeding.","The State cannot recover unlawfully acquired assets once they are transferred to family members or third-party corporations.","A","Step-by-Step Solution:
1. Constitutional Text: Article XI, Section 15 states:
 'The right of the State to recover properties unlawfully acquired by public officials or employees, from them or from their nominees or transferees, shall not be barred by prescription, laches, or estoppel.'
2. Meaning and Jurisprudence (Presidential Commission on Good Government [PCGG] cases; Republic v. Sandiganbayan):
 - Actions by the State for the RECONVEYANCE / RECOVERY of ill-gotten wealth or unlawfully acquired property are IMPRESCRIPTIBLE (never expire).
 - Neither the passage of time (prescription), undue delay (laches), nor prior representations (estoppel) can prevent the State from reclaiming stolen public assets.
 - Note: While the civil action to recover property does NOT prescribe, criminal offenses (e.g., prosecution under RA 3019) are subject to statutory prescription periods established by law (Presidential Ad Hoc Fact-Finding Committee on Behest Loans v. Desierto).
 - But for property recovery under Section 15: It is completely imprescriptible.
3. Option A is the verbatim constitutional rule.

Common Trap: Confusing civil recovery of property (imprescriptible under Section 15) with criminal prosecution for graft (subject to statutory prescription).
Exam Tip: Article XI, Section 15 = Recovery of unlawfully acquired property / ill-gotten wealth by the State SHALL NOT BE BARRED BY PRESCRIPTION.","Correct. Survives elimination because Article XI, Section 15 explicitly provides that the State's right to recover unlawfully acquired properties from corrupt officials or their transferees is imprescriptible, and cannot be defeated by prescription, laches, or estoppel.","Eliminated because civil asset recovery of ill-gotten wealth never prescribes under Article XI, Section 15.","Eliminated because civil forfeiture and asset recovery are independent proceedings that are not barred by administrative dismissals.","Eliminated because the constitutional recovery power explicitly extends to nominees, relatives, and corporate transferees.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Accountability of Public Officers | Very Difficult | Batch 134"
