"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article III, Section 12(1) of the 1987 Constitution and Republic Act No. 7438, what are the mandatory rights of a person under CUSTODIAL INVESTIGATION (Miranda Rights), and what is the strict rule regarding WAIVER of these rights?","The person has the right to remain silent, the right to have competent and independent counsel preferably of his own choice, and the right to be informed of these rights; any waiver of the right to silence or counsel must be in WRITING and signed in the PRESENCE OF COUNSEL, otherwise any resulting extrajudicial confession is completely inadmissible.","The person has the right to silence only if they pay an administrative investigation bond.","A person under custodial investigation can waive the right to counsel verbally without any lawyer present.","The police can detain a suspect in a secret safehouse provided they provide three meals a day.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 12:
 - Paragraph (1): 'Any person under investigation for the commission of an offense shall have the right to be informed of his right to remain silent and to have competent and independent counsel preferably of his own choice. If the person cannot afford the services of counsel, he must be provided with one. These rights cannot be waived except in writing and in the presence of counsel.'
 - Paragraph (2): 'No torture, force, violence, threat, intimidation, or any other means which vitiate the free will shall be used against him. Secret detention places, solitary, incommunicado, or other similar forms of detention are prohibited.'
 - Paragraph (3): 'Any confession or admission obtained in violation of this or Section 17 hereof shall be inadmissible in evidence against him.'
2. Landmark Case: People v. Galit (135 SCRA 465, 1985); People v. Mahinay (302 SCRA 455, 1999); RA 7438 (Rights of Persons Arrested, Detained, or Under Custodial Investigation):
 - 1. Competent and Independent Counsel: Counsel must be independent (e.g., station legal officer, city prosecutor, or police-hired lawyer is NOT independent; People v. Bandula).
 - 2. Meaningful Warning: Police must actively explain the rights in a language or dialect understood by the suspect, not recite them perfunctorily.
 - 3. Waiver: CANNOT BE VERBAL. Must be in WRITING and SIGNED IN THE DIRECT PRESENCE OF COUNSEL. An uncounselled waiver is VOID.
3. Option A is the verbatim constitutional rule.

Common Trap: Believing an extrajudicial confession is admissible if the suspect volunteered it without a lawyer; if the suspect was in custodial custody, an UNCOUNSELLED confession is STRICTLY INADMISSIBLE.
Exam Tip: Custodial Investigation (Miranda Rights) = Silence + Competent Independent Counsel + Waiver MUST BE IN WRITING AND IN PRESENCE OF COUNSEL.","Correct. Survives elimination because Article III, Section 12 and RA 7438 guarantee the rights to silence and independent counsel, mandating that any waiver must be executed in writing in the presence of counsel on pain of total inadmissibility.","Eliminated because constitutional Miranda rights are fundamental human rights that cannot be conditioned on bond payments.","Eliminated because verbal uncounselled waivers are unconstitutional and void under Section 12(1).","Eliminated because secret safehouses and incommunicado detention are explicitly outlawed by Article III, Section 12(2).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Rights of accused persons | Very Difficult | Batch 151"
"Under Article III, Section 13 of the 1987 Constitution, what is the constitutional rule governing the RIGHT TO BAIL in criminal prosecutions?","All persons, except those charged with offenses punishable by reclusion perpetua when evidence of guilt is strong, shall, before conviction, be bailable by sufficient sureties, or be released on recognizance as may be provided by law; the right to bail shall not be impaired even when the privilege of the writ of habeas corpus is suspended.","Bail is available only to defendants who plead guilty during arraignment.","Bail is an absolute constitutional right that cannot be denied even in cases of treason with overwhelming video evidence.","The right to bail is automatically extinguished whenever Congress declares a state of legislative emergency.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 13 states:
 'All persons, except those charged with offenses punishable by reclusion perpetua when evidence of guilt is strong, shall, before conviction, be bailable by sufficient sureties, or be released on recognizance as may be provided by law. The right to bail shall not be impaired even when the privilege of the writ of habeas corpus is suspended. Excessive bail shall not be required.'
2. Landmark Principles on Bail (Enrile v. Sandiganbayan, 767 SCRA 282; Leviste v. CA, 615 SCRA 619):
 - 1. BEFORE CONVICTION by the Regional Trial Court:
 - Bail is a MATTER OF RIGHT for all offenses NOT punishable by death, reclusion perpetua, or life imprisonment.
 - For offenses punishable by reclusion perpetua / life imprisonment (e.g., murder, plunder, non-bailable drug trafficking), bail is a MATTER OF JUDICIAL DISCRETION: The prosecution must be given a hearing to prove that the 'EVIDENCE OF GUILT IS STRONG.' If evidence of guilt is NOT strong, bail MUST be granted (Rule 114, Sec. 7).
 - 2. AFTER CONVICTION by the RTC: Bail is a matter of discretion.
 - 3. Non-Impairment: Suspension of the writ of habeas corpus DOES NOT suspend the right to bail.
3. Option A is the verbatim constitutional provision.

Common Trap: Believing bail is denied whenever someone is charged with murder; bail can ONLY be denied if (1) penalty is reclusion perpetua/life AND (2) the court finds after hearing that EVIDENCE OF GUILT IS STRONG.
Exam Tip: Article III, Section 13 = Bail is a right EXCEPT when charged with capital offense / reclusion perpetua AND evidence of guilt is STRONG. (Writ suspension does NOT impair bail).","Correct. Survives elimination because Article III, Section 13 establishes that all persons before conviction are entitled to bail as a matter of right, except when charged with offenses punishable by reclusion perpetua and the evidence of guilt is strong.","Eliminated because bail is designed to secure temporary liberty pending trial for defendants who plead not guilty.","Eliminated because bail is discretionary and can be denied in capital offenses when evidence of guilt is judicially determined to be strong.","Eliminated because the Constitution explicitly commands that the right to bail shall not be impaired even during writ suspensions or emergencies.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Rights of accused persons | Very Difficult | Batch 151"
"What is the exact scope of the 'RIGHT AGAINST SELF-INCRIMINATION' under Article III, Section 17 of the 1987 Constitution, as established in Chavez v. Court of Appeals and People v. Gallarde?","The privilege protects an accused against TESTIMONIAL COMPULSION (being forced to speak, testify, or produce incriminating communicative documents under legal process), but DOES NOT extend to physical, mechanical, or bodily examinations (such as DNA testing, fingerprinting, photographing, or bodily inspections).","The privilege allows a criminal defendant to refuse to have their photograph or fingerprints taken by police.","The privilege completely exempts all criminal suspects from appearing inside a courtroom during trial.","The privilege means an accused can never be convicted unless they voluntarily confess to the crime under oath.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 17:
 'No person shall be compelled to be a witness against himself.'
2. Landmark Jurisprudence:
 - Chavez v. Court of Appeals (24 SCRA 663, 1968), penned by Justice Conrado Sanchez.
 - People v. Gallarde (325 SCRA 835, 2000).
 - Agustin v. Court of Appeals (DNA testing case, 460 SCRA 315).
 - People v. Malimit (264 SCRA 167).
3. The Testimonial Compulsion Rule:
 - 1. WHAT IS PROTECTED (Testimonial Compulsion / Communicative Evidence):
 - The prohibition covers COMPELLED TESTIMONIAL EVIDENCE—forcing the accused to speak from the witness stand, answer interrogatories, or produce private incriminating documents/writings requiring an admission of authenticity.
 - An accused in a criminal case has the absolute right NOT TO TAKE THE WITNESS STAND at all, and their silence cannot be used as an inference of guilt (Chavez v. CA).
 - 2. WHAT IS NOT PROTECTED (Purely Physical / Mechanical / Bodily Evidence):
 - Forcing an accused to submit to DNA sample collection, blood alcohol testing, fingerprinting, paraffin testing, footpr∫ matching, ultraviolet powder inspection, or physical lineups DOES NOT violate the right against self-incrimination, because the body is purely physical, non-testimonial evidence (People v. Gallarde; Agustin v. CA).
4. Option A is the definitive, established legal formulation.

Common Trap: Believing DNA swabs or police lineups violate the right against self-incrimination; the privilege protects ONLY against TESTIMONIAL / COMMUNICATIVE compulsion.
Exam Tip: Self-Incrimination Clause (Art. III, Sec. 17) = Protects against TESTIMONIAL compulsion ONLY; Physical body tests (DNA, fingerprints, blood, lineups) are NOT covered.","Correct. Survives elimination because Chavez v. CA and People v. Gallarde clarify that the right against self-incrimination shields an accused strictly against compelled testimonial or communicative statements, excluding purely physical or bodily examinations like DNA and fingerprints.","Eliminated because fingerprinting and photographing are non-testimonial bodily procedures that do not violate the privilege.","Eliminated because the court can compel the physical presence of the accused for identification during trial.","Eliminated because convictions routinely rest on eyewitness testimony, forensic evidence, and circumstantial proof without any defendant confession.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Rights of accused persons | Very Difficult | Batch 151"
"What are the THREE INDISPENSABLE REQUISITES for the defense of 'DOUBLE JEOPARDY' (Article III, Section 21) to successfully bar a second prosecution, as established in People v. Ylagan and People v. Observator?","(1) A first jeopardy must have validly attached (upon a valid compla∫/information, before a competent court, after arraignment and a valid plea entered), (2) The first jeopardy must have been terminated (by acquittal, conviction, or dismissal without the consent of the accused), and (3) The second prosecution is for the SAME OFFENSE or an offense necessarily included therein.","(1) Payment of a settlement fine, (2) Signed agreement between both defense and prosecution lawyers, and (3) Approval by the Department of Justice.","(1) A pardon granted by the local provincial governor, (2) Passage of three years, and (3) Lack of eyewitness testimony.","(1) Filing of a civil lawsuit for damages, (2) Release on bail, and (3) A change in defense counsel.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 21 states:
 'No person shall be twice put in jeopardy of punishment for the same offense. If an act is punished by a law and an ordinance, conviction or acquittal under either shall constitute a bar to another prosecution for the same act.'
2. Landmark Jurisprudence:
 - People v. Ylagan (58 Phil. 851, 1933).
 - People v. Observator (152 SCRA 472, 1987).
 - Ivler v. Modesto-San Pedro (635 SCRA 191, 2010).
3. The Requisites for Legal Double Jeopardy:
 - Requisite 1: FIRST JEOPARDY VALIDLY ATTACHED, which requires:
 (a) A competent court having jurisdiction over the offense and the person;
 (b) A valid compla∫ or information sufficient in form and substance;
 (c) Arraignment of the accused; and
 (d) A valid plea entered by the accused (Guilty or Not Guilty).
 - Requisite 2: FIRST JEOPARDY WAS TERMINATED, either by:
 (a) ACQUITTAL;
 (b) CONVICTION; or
 (c) DISMISSAL of the case WITHOUT THE EXPRESS CONSENT of the accused (or dismissal based on violation of right to speedy trial / demurrer to evidence).
 - Requisite 3: SECOND PROSECUTION IS FOR THE SAME OFFENSE (or for an attempt, frustration, or offense necessarily included in the first charge).
4. Option A is the classic, verbatim three-part legal formula.

Common Trap: Claiming double jeopardy when the first case was dismissed with the accused's own consent before judgment; dismissal WITH consent of the accused (not based on insufficiency of evidence) does NOT bar a refiling.
Exam Tip: Double Jeopardy Requisites: (1) 1st Jeopardy Attached (Jurisdiction + Valid Info + Arraignment + Plea), (2) 1st Jeopardy Terminated (Acquittal/Conviction/Dismissal without consent), (3) Same Offense.","Correct. Survives elimination because People v. Ylagan and settled criminal law establish that double jeopardy requires a first jeopardy to have attached (valid plea on a valid charge before a competent court), terminated (by acquittal, conviction, or dismissal without consent), and a second charge for the identical offense.","Eliminated because settlement fines and DOJ agreements do not constitute the constitutional framework of double jeopardy.","Eliminated because local governors have no constitutional pardon powers, and time passage pertains to statutory prescription, not double jeopardy.","Eliminated because civil damages suits and bail status are unrelated to the attachment of criminal double jeopardy.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Rights of accused persons | Very Difficult | Batch 151"
"In the landmark ruling of Ivler v. Modesto-San Pedro (G.R. No. 172716, November 17, 2010), why did the Supreme Court bar the prosecution of Jason Ivler for 'Reckless Imprudence Resulting in Homicide' under the Double Jeopardy Clause after he had already pleaded guilty to 'Reckless Imprudence Resulting in Slight Physical Injuries' arising from the SAME vehicular accident?","Reckless imprudence under Article 365 of the Revised Penal Code is a single, indivisible quasi-offense; the law punishes the negligent act itself, not the multiple complex consequences, so conviction for one consequence of the single negligent act bars any further prosecution for other consequences under Double Jeopardy.","The prosecution was barred because traffic accidents are exempt from the Revised Penal Code.","The prosecution was dismissed because vehicular collisions are exclusively civil disputes that cannot carry criminal imprisonment.","The Supreme Court held that foreign nationals are immune from criminal vehicular liability.","A","Step-by-Step Solution:
1. Landmark Case: Ivler v. Modesto-San Pedro (635 SCRA 191, 2010), penned by Justice Antonio Carpio:
 - Facts: Jason Ivler was involved in a vehicular collision. He was charged with two separate offenses arising from the same collision: (1) Reckless Imprudence Resulting in Slight Physical Injuries, and (2) Reckless Imprudence Resulting in Homicide and Damage to Property. Ivler pleaded guilty and was convicted of the first charge. When the prosecution attempted to try him for the second charge, Ivler invoked Double Jeopardy.
 - Supreme Court Ruling (En Banc):
 - 1. NATURE OF RECKLESS IMPRUDENCE (Article 365, RPC): Reckless imprudence (culpa) is a SINGLE, INDIVISIBLE CRIME. The gravity of the crime lies in the MENTAL STATE OF NEGLIGENCE / IMPRUDENCE, not in the resulting damage.
 - 2. SINGLE QUASI-OFFENSE: A single negligent act cannot be chopped into multiple criminal prosecutions simply because multiple injuries or deaths resulted.
 - 3. DOUBLE JEOPARDY APPLIES: Having been convicted of reckless imprudence resulting in slight physical injuries, Ivler could not be prosecuted again for the same reckless driving act resulting in homicide.
2. Option A is the precise legal holding of Ivler v. Modesto-San Pedro.

Common Trap: Believing prosecutors can file separate cases for each injury resulting from a single car crash; under Ivler, Reckless Imprudence is an indivisible single crime—conviction on one bars prosecution for the rest under Double Jeopardy.
Exam Tip: Ivler v. Modesto-San Pedro = Reckless Imprudence (Art. 365) is a SINGLE INDIVISIBLE QUASI-CRIME; Prior conviction on one result bars second trial under DOUBLE JEOPARDY.","Correct. Survives elimination because Ivler v. Modesto-San Pedro firmly established that reckless imprudence is a single quasi-offense where a prior conviction for one consequence of a negligent act bars subsequent prosecution for other consequences under the Double Jeopardy Clause.","Eliminated because vehicular negligence resulting in injury or death is explicitly criminalized under Article 365 of the Revised Penal Code.","Eliminated because criminal vehicular manslaughter carries penal imprisonment alongside civil indemnity.","Eliminated because all persons within Philippine territory are subject to domestic criminal jurisdiction regardless of nationality.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Rights of accused persons | Very Difficult | Batch 151"
"Under Article III, Section 14(2) of the 1987 Constitution, what are the strict constitutional conditions required before a criminal court can proceed with a 'TRIAL IN ABSENTIA'?","(1) The accused has already been DULY ARRAIGNED, (2) The accused has been DULY NOTIFIED of the trial date, and (3) His failure to appear is UNJUSTIFIED.","(1) The accused is suffering from a documented terminal illness, and (2) The judge appoints a private family member as acting attorney.","(1) The defense attorney voluntarily waives the right to cross-examine prosecution witnesses, and (2) The crime is punishable by a nominal fine.","(1) The accused flees the country prior to the filing of any formal compla∫ or information in court.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 14(2), last sentence:
 '...However, after arraignment, trial may proceed notwithstanding the absence of the accused provided that he has been duly notified and his failure to appear is unjustifiable.'
2. Landmark Jurisprudence (People v. Salas, 143 SCRA 163; Estrada v. Desierto; Gimenez v. Nazareno):
3. The Three Requisites for a Valid Trial in Absentia:
 - 1. THE ACCUSED HAS BEEN ARRAIGNED: The accused must have physically appeared in court, had the information read to him, and entered a formal plea of Guilty or Not Guilty. (A trial in absentia can NEVER take place before arraignment).
 - 2. DULY NOTIFIED: The accused (and his counsel) must have received due and proper legal notice of the scheduled trial hearings.
 - 3. FAILURE TO APPEAR IS UNJUSTIFIABLE: The absence must be without valid, excusable legal cause (e.g., ju∓ bail, deliberate escape, refusal to attend).
4. Effect of Escape / Absence: When an accused escapes after arraignment, he waives his right to be present, and the court may proceed to hear the evidence, convict, and sentence him in absentia.
5. Option A is the verbatim constitutional requirement.

Common Trap: Thinking a fugitive who was never arraigned can be tried in absentia; ARRAIGNMENT IS AN INDISPENSABLE PREREQUISITE for trial in absentia.
Exam Tip: Trial in Absentia Requisites: (1) After ARRAIGNMENT, (2) Duly NOTIFIED, (3) Failure to appear is UNJUSTIFIABLE.","Correct. Survives elimination because Article III, Section 14(2) explicitly authorizes trial in absentia only after the accused has been arraigned, has received due notice of the trial, and fails to appear without justifiable cause.","Eliminated because illness is a justifiable cause for postponement, not a ground for forced trial in absentia.","Eliminated because defense counsel cannot unilaterally waive an absent client's rights without complying with constitutional prerequisites.","Eliminated because fleeing before arraignment prevents the court from conducting a trial in absentia (arraignment is strictly mandatory).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Rights of accused persons | Very Difficult | Batch 151"
"In the landmark constitutional decision of Cagang v. Sandiganbayan (G.R. Nos. 206438 & 206458, July 31, 2018), what definitive guidelines were established regarding the RIGHT TO SPEEDY DISPOSITION OF CASES under Article III, Section 16?","In determining whether the right to speedy disposition of cases was violated, courts apply the 'Balancing Test' examining (1) length of delay, (2) reasons for the delay, (3) the defendant's assertion of his right, and (4) prejudice to the defendant, with the period of fact-finding investigations excluded from the computation of inordinate delay.","Any investigation lasting longer than thirty days is automatically dismissed regardless of case complexity or voluminous records.","The Right to Speedy Disposition applies exclusively to civil contract cases and excludes all criminal investigations.","The Ombudsman has unlimited, perpetual discretion to hold pending preliminary investigations without judicial review.","A","Step-by-Step Solution:
1. Landmark Case: Cagang v. Sandiganbayan (875 SCRA 374, 2018), penned by Justice Marvic Leonen:
 - Facts: The Supreme Court clarified the conflicting doctrines on 'inordinate delay' (Coscolluela v. Sandiganbayan, Tatad v. Sandiganbayan) regarding preliminary investigations in the Office of the Ombudsman under Article III, Section 16 ('All persons shall have the right to a speedy disposition of their cases before all judicial, quasi-judicial, or administrative bodies').
 - Supreme Court Definitive Guidelines (En Banc):
 - 1. FACT-FINDING PERIOD EXCLUDED: The right to speedy disposition attaches only when a formal compla∫ is filed initiating Preliminary Investigation under Rule 112; general anonymous fact-finding prior to formal charges is NOT included in the delay calculation.
 - 2. ADOPTION OF THE BARKER BALANCING TEST: To determine whether delay is 'inordinate' and unconstitutional, courts balance 4 factors:
 (a) Length of the delay;
 (b) Reason for the delay (e.g., complexity of voluminous audit records, institutional backlog);
 (c) The defendant's assertion of the right (did the accused timely invoke the right?);
 (d) Prejudice to the defendant (e.g., loss of evidence, prolonged oppressive anxiety).
 - 3. If inordinate delay is established, the criminal case MUST BE DISMISSED.
2. Option A is the precise legal holding of Cagang v. Sandiganbayan.

Common Trap: Believing any mathematical delay automatically invalidates a case; Cagang established that the 4-factor BALANCING TEST governs whether delay is inordinate.
Exam Tip: Cagang v. Sandiganbayan = Speedy Disposition evaluated via Barker 4-Factor Balancing Test (Length, Reason, Assertion of Right, Prejudice); Fact-finding excluded.","Correct. Survives elimination because Cagang v. Sandiganbayan established that alleged violations of the right to speedy disposition of cases are evaluated using the four-part balancing test, and clarified that initial fact-finding is excluded from inordinate delay computations.","Eliminated because the Supreme Court explicitly rejected mechanical mathematical deadlines in favor of contextual balancing.","Eliminated because Article III, Section 16 explicitly applies to all judicial, quasi-judicial, and administrative proceedings.","Eliminated because the Ombudsman's preliminary investigation timelines are subject to judicial review for inordinate delay.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Rights of accused persons | Very Difficult | Batch 151"
"What constitutes an 'EX POST FACTO LAW' and a 'BILL OF ATTAINDER' prohibited under Article III, Section 22 of the 1987 Constitution?","An ex post facto law is a retroactive penal statute that criminalizes an act innocent when done or aggravates a penalty after the commission of the act, whereas a bill of attainder is a legislative act that inflicts criminal punishment on specific individuals or groups without a judicial trial.","An ex post facto law is a civil law granting corporate tax refunds, while a bill of attainder is an annual budget appropriations act.","Both terms refer to treaties ratified by the Senate without the President's signature.","An ex post facto law applies exclusively to municipal traffic fines, while a bill of attainder applies to labor union strikes.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 22 states:
 'No ex post facto law or bill of attainder shall be enacted.'
2. Definitions & Principles (Calder v. Bull; People v. Ferrer, 48 SCRA 382; Wright v. CA):
 - A. EX POST FACTO LAW:
 - Applies EXCLUSIVELY to PENAL / CRIMINAL statutes (does not apply to civil laws or tax refunds).
 - Four Classic Categories:
 1. Makes an action done before the passing of the law, and which was innocent when done, criminal, and punishes such action.
 2. Aggravates a crime, or makes it greater than it was when committed.
 3. Changes the punishment, and inflicts a greater punishment than the law annexed to the crime when committed.
 4. Alters the legal rules of evidence, and receives less or different testimony than the law required at the time of the commission to convict the offender.
 - (Note: Retroactive penal laws that BENEFIT the accused are valid under Article 22 of the RPC).
 - B. BILL OF ATTAINDER:
 - A legislative act that pronounces guilt and inflicts punishment upon specific identifiable individuals or members of a group WITHOUT A JUDICIAL TRIAL.
 - Usurps judicial power by converting the legislature into a judge and executioner.
3. Option A is the classic, verbatim definition of both constitutional prohibitions.

Common Trap: Believing a civil law can be an ex post facto law; the ex post facto prohibition applies EXCLUSIVELY to penal/criminal statutes.
Exam Tip: Ex Post Facto Law = Retroactive criminal law that prejudices the accused; Bill of Attainder = Legislative punishment WITHOUT judicial trial.","Correct. Survives elimination because constitutional law strictly defines an ex post facto law as a retroactive penal statute that prejudices an accused, and a bill of attainder as a legislative act that imposes criminal punishment without a judicial trial.","Eliminated because civil tax measures and budget laws are not penal statutes within the ex post facto prohibition.","Eliminated because treaties are international agreements governed by Article VII, Section 21, not bills of attainder.","Eliminated because both prohibitions apply to all penal laws enacted by Congress, not merely traffic ordinances.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Rights of accused persons | Very Difficult | Batch 151"
"In the landmark bail case of Enrile v. Sandiganbayan (G.R. No. 213847, August 18, 2015), what exceptional grounds did the Supreme Court recognize in granting bail to an accused charged with a capital offense (Plunder)?","Bail was granted based on HUMANITARIAN GROUNDS, evaluating the accused's advanced age, severe fragile medical condition, and low flight risk, alongside the core purpose of bail to secure the appearance of the accused at trial.","The Supreme Court held that senators are constitutionally immune from all criminal prosecutions for plunder.","The Supreme Court declared the crime of plunder unconstitutional under all circumstances.","Bail was granted because the accused paid a cash settlement directly to the Sandiganbayan clerk of court.","A","Step-by-Step Solution:
1. Landmark Case: Enrile v. Sandiganbayan (767 SCRA 282, 2015), penned by Justice Lucas Bersamin:
 - Facts: Senator Juan Ponce Enrile, aged 91, was charged with Plunder (a non-bailable capital offense punishable by reclusion perpetua under RA 7080). He filed an urgent omnibus motion for bail, citing his advanced age and multiple chronic, life-threatening medical conditions.
 - Supreme Court Ruling (En Banc):
 - 1. PRIMARY PURPOSE OF BAIL: The fundamental constitutional purpose of bail under Article III, Section 13 is to ensure the presence of the accused at trial while preserving the presumption of innocence.
 - 2. HUMANITARIAN CONSIDERATIONS & UNIVERSAL HUMAN RIGHTS:
 - The Court recognized that when an accused is in a fragile, deteriorating physical condition and of advanced age, prolonged detention poses an immediate hazard to his life.
 - Because Enrile demonstrated he was NOT A FLIGHT RISK (he surrendered voluntarily and had respected court processes throughout his life) and required continuous specialized medical supervision, the Court granted him provisional bail on HUMANITARIAN GROUNDS.
2. Option A is the precise legal holding of Enrile v. Sandiganbayan.

Common Trap: Thinking Enrile was granted bail because plunder is bailable; plunder remains non-bailable as a rule, but the Court established an exceptional HUMANITARIAN BAIL DOCTRINE based on fragile health and low flight risk.
Exam Tip: Enrile v. Sandiganbayan = HUMANITARIAN BAIL DOCTRINE (Bail granted for capital charge based on advanced age, fragile health, and low flight risk).","Correct. Survives elimination because Enrile v. Sandiganbayan established that bail may be granted on extraordinary humanitarian grounds considering the defendant's advanced age, fragile medical state, and minimal flight risk.","Eliminated because public officials, including senators, do not enjoy immunity from criminal prosecution for plunder.","Eliminated because the crime of Plunder (RA 7080) was upheld as constitutional in Estrada v. Sandiganbayan.","Eliminated because private cash settlements to court clerks are illegal and have no connection to judicial bail.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Rights of accused persons | Very Difficult | Batch 151"
"Under Article III, Section 14(2) of the 1987 Constitution, what is the 'RIGHT OF CONFRONTATION,' and what is its indispensable function in criminal proceedings?","The right of the accused to meet adverse witnesses face-to-face in open court, ensuring the accused and his counsel have the indispensable opportunity to CROSS-EXAMINE the witnesses and observe their demeanor on the witness stand.","The right of the accused to physically assault the complainant inside the courtroom.","The right of the accused to demand that the prosecution witnesses be detained in a military brig before trial.","The right of the accused to conduct a secret televised interview with the arresting police officer.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 14(2):
 'In all criminal prosecutions, the accused shall... enjoy the.. to MEET THE WITNESSES FACE TO FACE...'
2. Landmark Jurisprudence (People v. Seneris, 99 SCRA 92; Talino v. Sandiganbayan, 148 SCRA 598; People v. Ramos):
3. The Twin Objectives of the Right of Confrontation:
 - 1. OPPORTUNITY FOR CROSS-EXAMINATION: To give the accused the opportunity to test the recollection, veracity, credibility, and potential bias of the adverse witness through rigorous cross-examination (the greatest legal engine ever invented for the discovery of truth; Wigmore).
 - 2. JUDICIAL OBSERVATION OF DEMEANOR: To allow the judge to observe the demeanor, conduct, and countenance of the witness on the stand while answering questions, which is vital in determining credibility.
4. Effect of Denial: If a prosecution witness testifies on direct examination but dies or refuses to appear for cross-examination, their direct testimony is INCOMPLETE and must be STRICKEN OFF THE RECORD for violating the Right of Confrontation (People v. Seneris).
5. Option A is the verbatim, established constitutional purpose.

Common Trap: Thinking confrontation is merely being in the same room; the core essence of confrontation is the FULL RIGHT OF CROSS-EXAMINATION.
Exam Tip: Right of Confrontation (Art. III, Sec. 14[2]) = Meet witnesses face-to-face for the purpose of CROSS-EXAMINATION and observation of demeanor.","Correct. Survives elimination because Article III, Section 14(2) and long-standing doctrine define the right of confrontation as the essential guarantee allowing the accused to cross-examine adverse witnesses face-to-face and enable the judge to observe their trial demeanor.","Eliminated because physical violence in a courtroom is a criminal offense and direct contempt of court.","Eliminated because detaining adverse witnesses without legal grounds violates the Bill of Rights.","Eliminated because media interviews are extrajudicial and cannot replace the constitutional right of courtroom cross-examination.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Rights of accused persons | Very Difficult | Batch 151"
