"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"A multi-year econometric evaluation of the conditional cash transfer program, Pantawid Pamilyang Pilipino Program (4Ps), tracked secondary education completion rates among beneficiary households in Region VIII from 2017 to 2022. The study observed that high school graduation rates among adolescent boys in 4Ps households increased by 19 percentage points compared to non-beneficiary baseline peers. Concurrently, household out-of-pocket expenditures on school supplies and transportation rose by 14%, even as child labor incidence in agricultural harvesting dropped by 27%. However, tertiary education matriculation rates among 4Ps high school graduates remained statistically unchanged at 23%, primarily because tertiary tuition subsidies under RA 10931 were frequently offset by prohibitive off-campus boarding and living costs in regional urban centers.

Based on the passage, which of the following statements is most directly supported by the findings?","The 4Ps program successfully doubled tertiary university matriculation rates among beneficiary adolescents in Region VIII.","The provision of free tertiary tuition under RA 10931 completely eliminated all financial barriers to higher education for rural 4Ps graduates.","Cash transfers were associated with a significant decline in child agricultural labor and an increase in secondary school completion among adolescent boys.","Household out-of-pocket spending on education decreased significantly as a result of full government procurement of learning materials.","C","Step-by-Step Solution: The passage explicitly states that secondary high school graduation among adolescent boys in 4Ps households 'increased by 19 percentage points' and 'child labor incidence in agricultural harvesting dropped by 27%.' Thus, Statement C is directly supported by empirical findings in the text.

Common Trap: Selecting Option A or B, which misrepresent the tertiary matriculation challenges documented in the passage.
Exam Tip: Cross-check every numerical and categorical claim against the exact sentences in the passage.","Eliminated because tertiary matriculation remained statistically unchanged at 23%, rather than doubling.","Eliminated because the text notes tuition subsidies were offset by high off-campus boarding and living costs, so financial barriers remained.","Correct. Survives elimination because it directly reflects the stated 27% drop in child agricultural labor and 19% gain in secondary completion.","Eliminated because out-of-pocket spending on supplies and transportation actually rose by 14%, rather than decreasing.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is supported | Very Difficult | Batch 005"
"Under the Universal Health Care Act (RA 11223), the Philippine Health Insurance Corporation (PhilHealth) initiated the transition from retrospective fee-for-service hospital reimbursements to prospective Case-Based Groupings (All-Case Rates). Health economists analyzed claims data across 120 public and private tertiary hospitals over a 36-month period. The analysis revealed that while prospective case-based payments effectively stabilized aggregate insurer budgetary expenditures and shortened the average hospital length of stay by 1.8 days, hospitals responded by significantly increasing the volume of outpatient diagnostic tests and unbundled pharmacy prescriptions billed directly to patients prior to admission, effectively transferring financial burdens back to patients.

Which statement is directly supported by the claims analysis presented in the passage?","The transition to prospective case-based reimbursements eliminated all out-of-pocket healthcare expenses for hospitalized patients.","Hospitals adapted to prospective case-based rates in part by shifting certain diagnostic and pharmacy costs to pre-admission outpatient billing.","Retrospective fee-for-service reimbursements were proven to be more effective at controlling national insurer budgets than case-based rates.","Average hospital length of stay increased significantly as doctors kept patients longer under prospective case-based payment caps.","B","Step-by-Step Solution: The text states that while prospective case-based rates stabilized insurer budgets and shortened hospital stays, 'hospitals responded by significantly increasing the volume of outpatient diagnostic tests and unbundled pharmacy prescriptions billed directly to patients prior to admission.' This directly supports Statement B.

Common Trap: Assuming health policy reforms achieve all positive outcomes without unintended provider cost-shifting.
Exam Tip: Look for descriptions of behavioral adaptations by institutions in public policy evaluation texts.","Eliminated because the text explicitly explains that hospitals shifted costs back to patients through unbundled outpatient billing.","Correct. Survives elimination because the text explicitly documents hospitals shifting diagnostic tests and pharmacy prescriptions to pre-admission outpatient billing.","Eliminated because prospective case-based rates stabilized insurer expenditures, whereas fee-for-service was replaced due to high cost.","Eliminated because hospital length of stay shortened by 1.8 days, rather than increasing.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is supported | Very Difficult | Batch 005"
"In analyzing urban informal settlements in Metro Manila, sociological research highlights the limitations of peripheral off-city resettlement projects compared to in-city vertical public housing. Off-city relocation sites in neighboring provinces offered larger land plots per beneficiary family but lacked basic social infrastructure, including piped potable water, primary health clinics, and secondary schools. Most critically, because formal manufacturing and service employment remained concentrated in the capital's core, relocated breadwinners incurred daily commute × exceeding four hours and transport expenses consuming up to 42% of daily wages. Consequently, longitudinal surveys recorded an informal returnee rate of 38% within 24 months, with families abandoning subsidized rural units to squat in hazard zones closer to urban livelihoods.

Which of the following assertions is most strongly supported by the passage?","Off-city resettlement sites experienced a 38% abandonment rate largely driven by severe commuting costs and lack of local employment opportunities.","In-city vertical housing proved completely unviable due to astronomical municipal land acquisition costs.","Peripheral relocation sites were fully equipped with complete public secondary schools and primary medical clinics.","Informal settlers prefer living in flood-prone hazard zones regardless of employment and transport accessibility.","A","Step-by-Step Solution: The text explicitly links off-city site deficiencies (lack of local jobs, 4-hour commutes, transport consuming 42% of income) to a documented 38% returnee rate within 24 months where families abandoned rural units. Thus, Statement A is directly supported.

Common Trap: Selecting Option D, which attributes the return to irrational preference rather than economic necessity.
Exam Tip: The correct answer to a 'Which statement is supported' question will always have direct factual backing in the passage.","Correct. Survives elimination because the passage directly connects the 38% return rate to the economic strain of distant commuting and lack of livelihoods.","Eliminated because the financial failure of in-city vertical housing is nowhere mentioned in the text.","Eliminated because the text explicitly states off-city sites lacked basic social infrastructure such as piped water, clinics, and schools.","Eliminated because families moved back to hazard zones out of economic necessity (livelihoods), not irrational preference for danger.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is supported | Very Difficult | Batch 005"
"The Department of Energy's Renewable Portfolio Standards (RPS) mandate electric distribution utilities to source an annually escalating percentage of their total energy mix from eligible renewable energy facilities, targeting 35% clean generation by 2030. Power sector analysts observed that while solar photovoltaic and wind installations expanded rapidly between 2020 and 2024, the intermittent nature of solar generation during evening peak demand periods forced grid operators to dispatch high-marginal-cost diesel ancillary peaking plants to maintain grid frequency stability. This reliance on fast-ramping fossil peakers elevated the ancillary service component of retail electricity tariffs by 16%, even as wholesale solar generation costs fell to historic lows.

Which statement is supported by the power sector analysis in the text?","The rapid expansion of solar and wind generation completely eliminated the need for fossil-fueled power plants in the national grid.","Retail ancillary service charges rose partly because the intermittency of renewable generation required the dispatch of expensive diesel peaking units to stabilize the grid.","Wholesale solar generation costs increased significantly between 2020 and 2024 due to rising global equipment shortages.","Electric distribution utilities successfully achieved the 35% clean generation target six years ahead of the 2030 deadline.","B","Step-by-Step Solution: The passage explains that because solar generation is intermittent during evening peak hours, grid operators had to dispatch high-cost diesel peaking units for frequency stability, which 'elevated the ancillary service component of retail electricity tariffs by 16%.' Statement B captures this supported fact.

Common Trap: Overstating the immediate impact of renewables (Option A) when fossil peakers are still required for grid stability.
Exam Tip: In energy passages, pay attention to the interaction between variable generation and ancillary grid services.","Eliminated because diesel peaking plants were heavily dispatched to maintain grid stability.","Correct. Survives elimination because it precisely summarizes the connection between renewable intermittency, diesel peaker dispatch, and the 16% rise in retail ancillary tariffs.","Eliminated because wholesale solar costs fell to historic lows, rather than increasing.","Eliminated because the 35% target is set for 2030, and the text does not claim early achievement.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is supported | Very Difficult | Batch 005"
"The Philippine Rice Tariffication Law (RA 11203) replaced quantitative import restrictions with bound customs tariffs, establishing the annual ₱10-billion Rice Competitiveness Enhancement Fund (RCEF) to modernize domestic grain farming. An impact assessment published by the Philippine Institute for Development Studies (PIDS) after four years of implementation showed that RCEF mechanization grants reduced the national average cost of producing a kilogram of palay from ₱12.40 to ₱10.80 among beneficiary farmer cooperatives. Furthermore, mechanical transplanters and combine harvesters reduced post-harvest losses by 4.2%. However, the assessment highlighted that smaller non-cooperative smallholders farming less than one hectare experienced minimal cost reductions, as they lacked the minimum contiguous land area required to operate heavy tractor machinery efficiently.

Which statement regarding the RCEF implementation is directly supported by the PIDS assessment?","RCEF mechanization grants resulted in identical per-kilogram production cost savings for all farmers regardless of farm size or cooperative membership.","Beneficiary farmer cooperatives achieved reductions in production costs and post-harvest losses through farm mechanization.","The Rice Tariffication Law completely abolished all customs duties and tariff revenues on imported foreign rice.","Smallholders with under one hectare of land derived the largest percentage of cost savings from heavy tractor machinery.","B","Step-by-Step Solution: The passage explicitly states that among beneficiary farmer cooperatives, RCEF mechanization grants reduced production costs from ₱12.40 to ₱10.80 per kg and cut post-harvest losses by 4.2%. This directly supports Statement B.

Common Trap: Assuming all farmers benefited equally (Option A), ignoring the explicit plot-size limitation described in the text.
Exam Tip: Pay close attention to qualifying phrases (e.g., 'among beneficiary farmer cooperatives') when determining factual support.","Eliminated because non-cooperative smallholders farming under one hectare experienced minimal cost reductions.","Correct. Survives elimination because the text explicitly validates cost reductions (₱12.40 to ₱10.80) and lower post-harvest losses (-4.2%) for beneficiary cooperatives.","Eliminated because the law replaced quantitative import quotas with tariffs, rather than abolishing tariffs.","Eliminated because smallholders under one hectare derived minimal savings because their plots were too small for heavy machinery.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is supported | Very Difficult | Batch 005"
"In public human resource administration, the implementation of competency-based recruitment systems in national government agencies has altered promotion dynamics. Under the legacy qualification standards (QS) framework, candidates were screened primarily based on formal educational degrees, civil service eligibility, and cumulative years of government service. Under the revised Competency-Based Assessment framework, candidates must demonstrate behavioral and technical proficiencies through situational judgment tests, behavioral event interviews, and practical assessment centers. Civil service commission data revealed that while the new framework significantly improved the performance ratings of newly appointed division chiefs during their probationary year, it lengthened the average executive vacancy filling cycle from 45 days to 110 days due to the intensive scoring protocols required.

Which of the following conclusions is supported by the Civil Service Commission data cited in the passage?","The Competency-Based Assessment framework reduced the time required to fill executive vacancies by more than half.","Newly appointed division chiefs selected under the competency framework demonstrated improved first-year performance ratings, despite prolonged recruitment timelines.","The legacy QS framework was more effective at assessing practical, situational behavioral competencies than assessment centers.","The competency-based model completely eliminated educational ° requirements for all civil service positions.","B","Step-by-Step Solution: The text explicitly states two facts from CSC data: (1) Newly appointed division chiefs under the competency framework had significantly improved performance ratings during their probationary year, and (2) The vacancy filling cycle lengthened from 45 days to 110 days due to scoring protocols. Statement B accurately combines these supported findings.

Common Trap: Selecting Option A, which reverses the timeline (it lengthened from 45 to 110 days, not shortened).
Exam Tip: Always double-check directional trends in duration and speed (longer vs. shorter).","Eliminated because the vacancy cycle lengthened from 45 to 110 days, rather than reducing.","Correct. Survives elimination because it faithfully reflects both the improved probationary performance and the lengthened recruitment timeline.","Eliminated because legacy QS focused on formal degrees and tenure, whereas competency frameworks assess practical situational behaviors.","Eliminated because the text describes a shift in screening emphasis, not the total abolition of education requirements.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is supported | Very Difficult | Batch 005"
"Marine conservation scientists evaluated the effectiveness of mangrove reforestation initiatives across 40 coastal municipalities in the Visayas over a twenty-year period. The study discovered a sharp disparity between single-species and multi-species replanting protocols. Municipalities that planted monotypic stands of Rhizophora (bakawan) along open-sea sandy shorelines suffered a sapling mortality rate of 78% within three years, as Rhizophora species naturally thrive in sheltered muddy estuaries rather than high-energy wave environments. Conversely, coastal projects that planted diverse native mangrove assemblages matching the specific tidal inundation zones—incorporating Sonneratia (pagatpat) and Avicennia (aπ-aπ) on seaward mudflats—achieved an 82% sapling survival rate and significantly mitigated wave energy during typhoons.

Which statement is directly supported by the mangrove reforestation study?","Monotypic Rhizophora stands planted along high-energy sandy shorelines achieved superior long-term survival rates compared to mixed stands.","Matching native mangrove species to appropriate tidal and substrate zones resulted in an 82% sapling survival rate and enhanced storm wave attenuation.","All mangrove species possess identical tolerance levels to strong open-sea wave energy and sandy soil substrates.","Reforestation projects that planted multi-species assemblages suffered a 78% sapling mortality rate.","B","Step-by-Step Solution: The passage states that multi-species projects matching native species to specific tidal zones (e.g., Sonneratia and Avicennia on seaward mudflats) achieved an 82% survival rate and mitigated wave energy during typhoons. Statement B directly reflects this text evidence.

Common Trap: Confusing which mangrove planting method suffered the 78% mortality rate (Option D).
Exam Tip: Link statistics directly to their specific subject (78% mortality = monotypic Rhizophora on sandy beaches).","Eliminated because monotypic Rhizophora suffered a 78% mortality rate on open sandy beaches.","Correct. Survives elimination because it accurately captures the 82% survival rate and wave attenuation of zone-matched native multi-species replanting.","Eliminated because species have distinct ecological tolerances (Rhizophora needs sheltered mud, while Sonneratia/Avicennia tolerate seaward zones).","Eliminated because the 78% mortality occurred in monotypic Rhizophora stands, not multi-species assemblages.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is supported | Very Difficult | Batch 005"
"A macroeconomic review of the Special Economic Zones (ecozones) administered by the Philippine Economic Zone Authority (PEZA) evaluated the net fiscal impact of income tax holidays (ITH) and the 5% Gross Income Earned (GIE) preferential tax rate. Between 2010 and 2020, ecozone enterprises generated 1.6 million direct manufacturing and IT-BPO jobs and contributed 60% of total national merchandise export receipts. However, the Department of Finance estimated that tax expenditures from non-expiring fiscal incentives cost the national treasury ₱1.2 trillion in foregone tax revenues over the same decade. Economists concluded that while fiscal incentives were pivotal in attracting initial multinational capital investments, their retention beyond a firm's initial capital payback period provided diminishing incremental employment gains relative to the growing fiscal opportunity cost.

Based on the passage, which statement is most clearly supported regarding the long-term impact of ecozone fiscal incentives?","Ecozone fiscal incentives failed to generate any direct employment or export contributions during the 2010–2020 decade.","Continuing tax incentives past the initial capital payback period yielded diminishing employment returns relative to the substantial foregone tax revenues.","The national treasury collected record corporate income tax revenues from ecozone firms due to the permanent 5% GIE tax rate.","Multinational manufacturing enterprises completely avoided locating in PEZA ecozones due to restrictive tax holiday regulations.","B","Step-by-Step Solution: The passage concludes with the economists' finding: while incentives attracted initial investment and jobs, retaining them beyond the capital payback period resulted in 'diminishing incremental employment gains relative to the growing fiscal opportunity cost' (₱1.2 trillion in foregone revenue). Statement B directly matches this conclusion.

Common Trap: Overlooking the distinction between short-term investment attraction and long-term fiscal cost-effectiveness.
Exam Tip: Economic evaluation passages frequently balance immediate employment gains against long-term fiscal opportunity costs.","Eliminated because ecozones generated 1.6 million jobs and 60% of export receipts during that period.","Correct. Survives elimination because the text explicitly states that incentives retained past the payback period yielded diminishing employment gains compared to the heavy fiscal cost.","Eliminated because the 5% GIE and holidays resulted in ₱1.2 trillion in foregone revenue (tax expenditures), not record collections.","Eliminated because ecozones successfully attracted large volumes of multinational capital and export enterprises.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is supported | Very Difficult | Batch 005"
"The Department of Information and Communications Technology (DICT) evaluated the rollout of the National Fiber Backbone and Free Wi-Fi for All program in Geographically Isolated and Disadvantaged Areas (GIDAs). The deployment audit revealed that while satellite and microwave links successfully brought internet connectivity to 450 remote municipal public plazas, 62% of barangay public school students could not utilize the service for digital learning because their households lacked compatible digital devices (smartphones, tablets, or laptops). Furthermore, recurring local lightning strikes and unstable rural electrical grid voltage caused intermittent hardware failure in 34% of outdoor wireless access points, requiring specialized technician dispatch from regional centers.

Which statement is supported by the DICT deployment audit?","Bringing internet connectivity to remote public plazas was completely sufficient to enable digital learning for all rural students without personal devices.","Lack of end-user digital devices and rural power grid instability presented significant operational obstacles to the utilization and maintenance of free public Wi-Fi in GIDAs.","The National Fiber Backbone eliminated 100% of hardware failures caused by environmental lightning strikes in remote areas.","All barangay public schools in GIDAs were equipped with free high-speed fiber optic cables directly connected to every classroom.","B","Step-by-Step Solution: The audit identified two primary bottlenecks: (1) 62% of students could not use the internet for learning due to a lack of compatible digital devices, and (2) Unstable power grids and lightning caused hardware failure in 34% of access points. Statement B accurately summarizes both of these supported findings.

Common Trap: Believing connectivity infrastructure alone solves the digital divide without terminal end-user devices.
Exam Tip: Identify multi-faceted challenges in audit reports (infrastructure delivery vs. end-user adoption barriers).","Eliminated because 62% of students could not use the connection because they lacked compatible devices.","Correct. Survives elimination because it directly synthesizes the two documented challenges: device scarcity among students and electrical/hardware instability.","Eliminated because lightning and power surges caused hardware failures in 34% of access points.","Eliminated because connections were deployed to municipal plazas via satellite and microwave, not classroom-level fiber.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is supported | Very Difficult | Batch 005"
"In public financial management, the implementation of the Cash Budgeting System (CBS) under Executive Order No. 91 mandated that all appropriations must be obligated and disbursed within a single fiscal year, with an allowable one-year extended payment period for completed deliveries. This replaced the legacy two-year Multi-Year Obligational Budgeting system, which allowed agencies to obligate funds over 24 months. Financial analysts observed that CBS substantially reduced idle cash balances in government accounts and improved the annual budget utilization rate of infrastructure agencies from 68% to 84%. However, in the first two years of transition, several frontline agencies prematurely cancelled complex multi-year technical consultancy contracts near the December 31 fiscal deadline to avoid lapse of funds, disrupting long-term institutional research projects.

Which of the following statements is most directly supported by the discussion of the Cash Budgeting System?","The transition to CBS resulted in a decline in the annual budget utilization rate of infrastructure agencies.","CBS improved budget utilization and reduced idle cash, but initially caused some agencies to rush contract cancellations to avoid fund expiration.","Multi-Year Obligational Budgeting was proven to be legally unconstitutional by the Supreme Court.","CBS permits government agencies to carry over un-obligated funds indefinitely without legislative re-appropriation.","B","Step-by-Step Solution: The passage notes that CBS achieved two major benefits (improved budget utilization from 68% to 84% and reduced idle cash), but also created a transitional issue where agencies prematurely cancelled multi-year consultancy contracts before the December 31 deadline to avoid fund lapsing. Statement B accurately captures both the benefits and the documented transitional problem.

Common Trap: Ignoring the transitional downside (rushed cancellations) and focusing only on the positive 84% metric.
Exam Tip: Look for comprehensive statements that acknowledge both systemic efficiency improvements and transitional implementation hurdles.","Eliminated because budget utilization improved from 68% to 84%, rather than declining.","Correct. Survives elimination because it faithfully reflects both the 84% budget utilization gain and the contract cancellation problem described in the text.","Eliminated because the text mentions administrative policy changes (EO 91), not a Supreme Court constitutional ruling.","Eliminated because CBS strictly limits obligations and disbursements to a single fiscal year.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is supported | Very Difficult | Batch 005"
