"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Choose the sentence that maintains strict grammatical parallelism across coordinated items.","The internal audit specialist is responsible for evaluating financial records, verifying procurement compliance, and preparing liquidation reports.","The internal audit specialist is responsible for evaluating financial records, to verify procurement compliance, and preparing liquidation reports.","The internal audit specialist is responsible for evaluating financial records, verifying procurement compliance, and to prepare liquidation reports.","The internal audit specialist is responsible for evaluating financial records, verification of procurement compliance, and preparing liquidation reports.","A","Step-by-Step Solution:
1. Rule for parallelism: Coordinated series of verbs or gerunds governed by a single preposition ('for') must share the identical grammatical form.
2. Structure analysis: 'evaluating [gerund]... verifying [gerund]... and preparing [gerund]'.
3. Option A maintains 100% gerund parallelism.
4. Options B and C mix infinitives ('to verify', 'to prepare') with gerunds; Option D mixes a noun phrase ('verification of') into a gerund series.

Common Trap: Mixing infinitive phrases ('to verify') with gerunds ('evaluating', 'preparing') in a list.
Exam Tip: When checking a list of duties or actions, make sure every item begins with the exact same part of speech (e.g., all -ing verbs, all base verbs, or all nouns).","Correct. All three coordinated actions ('evaluating', 'verifying', 'preparing') consistently maintain the gerund (-ing) form after the preposition 'for'.","Eliminated because 'to verify' introduces an infinitive that disrupts the parallel series of gerunds.","Eliminated because 'to prepare' introduces an unparallel infinitive at the end of the series.","Eliminated because the noun phrase 'verification of' breaks the parallel verb-object structure.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Parallel structure and correlative conjunctions | Difficult | Batch VA-011"
"Select the sentence with correct correlative conjunction placement: 'The executive committee resolved _____.'","not only to reduce administrative overhead but also to increase frontline healthcare funding","to not only reduce administrative overhead but to also increase frontline healthcare funding","not only to reduce administrative overhead but also increasing frontline healthcare funding","to reduce not only administrative overhead but also increased frontline healthcare funding","A","Step-by-Step Solution:
1. Rule for correlative conjunctions ('not only... but also'): The grammatical element immediately following 'not only' must be structurally identical to the element following 'but also'.
2. Structure test in Option A:
 - 'not only' + [infinitive phrase: 'to reduce administrative overhead']
 - 'but also' + [infinitive phrase: 'to increase frontline healthcare funding']
3. Both elements are identical infinitive phrases.
4. Option A is balanced and grammatically parallel.

Common Trap: Misplacing 'not only' before the verb and 'but also' before a noun, creating asymmetrical coordination.
Exam Tip: Whatever part of speech follows 'not only' MUST follow 'but also' (e.g., prepositional phrase after both, infinitive after both, or direct object after both).","Correct. 'Not only' and 'but also' are each followed by an identical infinitive phrase ('to reduce...' / 'to increase...'), ensuring perfect parallel balance.","Eliminated because splitting the infinitives awkwardly misplaces the conjunctions.","Eliminated because 'to reduce' (infinitive) clashes with 'increasing' (gerund) after 'but also'.","Eliminated because 'administrative overhead' (noun) clashes with 'increased' (past verb) after 'but also'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Parallel structure and correlative conjunctions | Difficult | Batch VA-011"
"Choose the sentence that correctly balances elements joined by 'either... or'.","Applicants must either submit their verified credentials online or deliver them in person to the regional office.","Applicants must either submit their verified credentials online or delivery in person to the regional office.","Applicants must either submit their verified credentials online or delivering them in person to the regional office.","Either applicants must submit their verified credentials online or deliver them in person to the regional office.","A","Step-by-Step Solution:
1. Rule for 'either... or': The element following 'either' must match the element following 'or'.
2. Analysis of Option A:
 - 'either' + [base verb phrase: 'submit their verified credentials online']
 - 'or' + [base verb phrase: 'deliver them in person...']
3. Both branches are base verb phrases governed by the modal 'must'.
4. Option A is parallel. Option B mixes base verb with noun ('delivery'); Option C mixes base verb with gerund ('delivering'); Option D misplaces 'Either' before the subject while 'or' precedes a verb.

Common Trap: Placing 'Either' at the very beginning of the sentence when only the predicates are alternatives.
Exam Tip: Check the word right after 'either' and right after 'or'—they must be identical parts of speech.","Correct. Both 'either' and 'or' are directly followed by parallel base verb phrases ('submit...' and 'deliver...').","Eliminated because 'delivery' is a noun, which cannot coordinate with the base verb 'submit'.","Eliminated because 'delivering' is a gerund, creating a structural clash with base verb 'submit'.","Eliminated because placing 'Either' before the subject 'applicants' creates an asymmetrical mismatch with the verb 'deliver' after 'or'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Parallel structure and correlative conjunctions | Difficult | Batch VA-011"
"Select the sentence that maintains parallel structure in comparisons joined by 'rather than'.","The civil service commission prefers to promote transparency rather than to tolerate administrative opacity.","The civil service commission prefers to promote transparency rather than tolerating administrative opacity.","The civil service commission prefers to promote transparency rather than tolerance of administrative opacity.","The civil service commission prefers promoting transparency rather than to tolerate administrative opacity.","A","Step-by-Step Solution:
1. Rule for comparisons with 'rather than': The two compared elements must have identical grammatical structures.
2. Structure analysis in Option A:
 - First element: 'to promote transparency' (infinitive phrase).
 - Second element: 'to tolerate administrative opacity' (infinitive phrase).
3. Both compared elements are infinitives.
4. Option A is parallel.

Common Trap: Shifting from an infinitive ('to promote') to a gerund ('tolerating') or noun ('tolerance') across 'rather than'.
Exam Tip: Symmetrical comparisons: Infinitive compared to infinitive, gerund compared to gerund.","Correct. The comparison balances two parallel infinitive phrases ('to promote...' vs. 'to tolerate...').","Eliminated because 'tolerating' is a gerund, which breaks parallelism with the infinitive 'to promote'.","Eliminated because 'tolerance' is a noun phrase, clashing with the infinitive phrase.","Eliminated because it mixes gerund 'promoting' with infinitive 'to tolerate'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Parallel structure and correlative conjunctions | Difficult | Batch VA-011"
"Choose the sentence that correctly employs parallel structure with 'both... and'.","The new policy aims both to modernize public record management and to enhance cybersecurity protocols.","The new policy aims both to modernize public record management and enhancing cybersecurity protocols.","The new policy aims both to modernize public record management and cybersecurity enhancement.","Both the new policy aims to modernize public record management and to enhance cybersecurity protocols.","A","Step-by-Step Solution:
1. Rule for 'both... and': Both conjunctions must introduce grammatically equivalent structures.
2. Option A analysis:
 - 'both' + [infinitive phrase: 'to modernize public record management']
 - 'and' + [infinitive phrase: 'to enhance cybersecurity protocols']
3. Both sides are parallel infinitives.
4. Option A is correct.

Common Trap: Pairing 'both to modernize' with 'and enhancing' or 'and cybersecurity enhancement'.
Exam Tip: In 'both X and Y', ensure X and Y are identical in form and part of speech.","Correct. 'Both' and 'and' are each followed by matching infinitive phrases ('to modernize...' and 'to enhance...').","Eliminated because 'enhancing' is a gerund that disrupts the parallel infinitive structure.","Eliminated because 'cybersecurity enhancement' is a noun phrase, clashing with the infinitive 'to modernize'.","Eliminated because placing 'Both' before 'the new policy' misplaces the correlative conjunction.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Parallel structure and correlative conjunctions | Difficult | Batch VA-011"
"Select the sentence with correct parallelism in a series of adjectives and descriptors.","The auditor described the liquidation report as comprehensive, accurate, and completely transparent.","The auditor described the liquidation report as comprehensive, with great accuracy, and completely transparent.","The auditor described the liquidation report as comprehensive, accurate, and showing complete transparency.","The auditor described the liquidation report as of great comprehensiveness, accurate, and completely transparent.","A","Step-by-Step Solution:
1. Series elements: 'comprehensive' (adjective), 'accurate' (adjective), and 'transparent' (adjective modified by adverb 'completely').
2. Rule: Predicate adjectives in a coordinated series must all be adjectives.
3. Option A maintains a parallel adjective series.
4. Option B inserts a prepositional phrase ('with great accuracy'); Option C inserts a participial phrase ('showing complete transparency'); Option D inserts a prepositional phrase ('of great comprehensiveness').

Common Trap: Mixing prepositional phrases ('with accuracy') into a series of adjectives ('comprehensive, accurate').
Exam Tip: Keep all items in an adjective list in single/modified adjective forms.","Correct. All three descriptors ('comprehensive', 'accurate', 'transparent') are parallel predicate adjectives modifying 'report'.","Eliminated because 'with great accuracy' is a prepositional phrase that breaks the series of adjectives.","Eliminated because 'showing complete transparency' is a participial phrase, disrupting adjective parallelism.","Eliminated because 'of great comprehensiveness' breaks the adjective structure.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Parallel structure and correlative conjunctions | Difficult | Batch VA-011"
"Choose the sentence that correctly coordinates independent clauses joined by 'not only... but also'.","Not only did the director approve the revised guidelines, but he also authorized the release of operational funds.","Not only the director approved the revised guidelines, but he also authorized the release of operational funds.","Not only did the director approve the revised guidelines, but also authorized the release of operational funds.","Not only did the director approved the revised guidelines, but also he authorized the release of funds.","A","Step-by-Step Solution:
1. Rule for sentence-initial 'Not only': When 'Not only' begins an independent clause, subject-auxiliary inversion is mandatory ('did the director approve').
2. The second clause after 'but' must have its own matching subject and verb ('he also authorized').
3. Option A satisfies both inversion in clause 1 ('did the director approve') and subject-verb agreement in clause 2 ('he also authorized').
4. Option A is grammatically and syntactically flawless.

Common Trap: Omitting the auxiliary inversion after initial 'Not only' (e.g., 'Not only the director approved...').
Exam Tip: Inverted correlative clauses: 'Not only DID X [verb], but X ALSO [verb]'.","Correct. Sentence-initial 'Not only' correctly triggers subject-auxiliary inversion ('did the director approve'), followed by a complete second clause ('he also authorized').","Eliminated because it fails to perform mandatory subject-auxiliary inversion after sentence-initial 'Not only'.","Eliminated because the second clause lacks an explicit subject pronoun 'he' following the conjunction 'but'.","Eliminated because 'did... approved' uses a double past tense error.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Parallel structure and correlative conjunctions | Difficult | Batch VA-011"
"Select the sentence with parallel structure across prepositional phrases.","The investigator searched for evidence in the executive offices, throughout the financial records, and across the digital archives.","The investigator searched for evidence in the executive offices, reviewing financial records, and across the digital archives.","The investigator searched for evidence in the executive offices, throughout the financial records, and digital archives.","The investigator searched for evidence in the executive offices, to inspect financial records, and across the digital archives.","A","Step-by-Step Solution:
1. Coordinated series: Three locations where evidence was sought.
2. Parallel structure: Each element is introduced by a distinct prepositional phrase of place:
 - 'in the executive offices' (prepositional phrase)
 - 'throughout the financial records' (prepositional phrase)
 - 'across the digital archives' (prepositional phrase)
3. Option A maintains 100% prepositional parallelism.

Common Trap: Switching to a participial phrase ('reviewing records') or dropping the preposition in the last element.
Exam Tip: If the items indicate distinct locations, keep the preposition before each item in the list.","Correct. All three items ('in...', 'throughout...', 'across...') are parallel prepositional phrases functioning adverbially.","Eliminated because 'reviewing financial records' is a participial phrase, breaking the series of prepositional phrases.","Eliminated because dropping the preposition before 'digital archives' creates asymmetrical coordination.","Eliminated because 'to inspect' introduces an infinitive phrase of purpose into a list of location prepositions.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Parallel structure and correlative conjunctions | Difficult | Batch VA-011"
"Choose the sentence that correctly balances noun clauses in a parallel series.","The commission declared that the election was orderly, that voter turnout was unprecedented, and that results were indisputable.","The commission declared that the election was orderly, voter turnout was unprecedented, and that results were indisputable.","The commission declared that the election was orderly, the turnout was high, and results were indisputable.","The commission declared that the election was orderly, that voter turnout was unprecedented, and the results being indisputable.","A","Step-by-Step Solution:
1. Coordinated noun clauses: Three subordinate clauses acting as objects of 'declared'.
2. Rule for parallel noun clauses: Repeating the subordinating conjunction 'that' before each coordinated clause ensures total clarity and structural symmetry.
3. Option A repeats 'that [clause], that [clause], and that [clause]'.
4. Option A is standard and parallel.

Common Trap: Inconsistently omitting 'that' on some clauses while including it on others (e.g., 'that X, Y, and that Z').
Exam Tip: Either include 'that' before every clause in the series or only before the very first clause if the structure is simple. Never mix randomly.","Correct. Repeating 'that' across all three coordinated noun clauses provides structural clarity and perfect parallelism.","Eliminated because omitting 'that' from the second clause while retaining it in the third creates an asymmetrical pattern.","Eliminated because it drops 'that' inconsistently.","Eliminated because 'the results being indisputable' is a participial absolute, not a finite noun clause.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Parallel structure and correlative conjunctions | Difficult | Batch VA-011"
"Select the sentence with proper parallel structure for infinitive complements.","To ensure public accountability and to eliminate administrative inefficiency are the primary mandates of the reform task force.","To ensure public accountability and eliminating administrative inefficiency are the primary mandates of the reform task force.","Ensuring public accountability and to eliminate administrative inefficiency are the primary mandates of the reform task force.","To ensure public accountability and administrative inefficiency elimination are the primary mandates of the reform task force.","A","Step-by-Step Solution:
1. Compound subject: Two infinitive phrases acting as the jo∫ subject.
2. Structure analysis in Option A:
 - 'To ensure public accountability' (infinitive phrase)
 - 'and to eliminate administrative inefficiency' (infinitive phrase)
3. Both coordinated subjects are parallel infinitives.
4. Option A is grammatically symmetrical and balanced.

Common Trap: Pairing an infinitive ('To ensure') with a gerund ('eliminating') as compound subjects.
Exam Tip: Compound subjects must match in form: Infinitive + Infinitive, or Gerund + Gerund.","Correct. The compound subject balances two matching infinitive phrases ('To ensure...' and 'to eliminate...').","Eliminated because pairing an infinitive ('To ensure') with a gerund ('eliminating') violates parallelism.","Eliminated because pairing a gerund ('Ensuring') with an infinitive ('to eliminate') violates parallelism.","Eliminated because pairing an infinitive phrase with a noun phrase disrupts grammatical balance.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Parallel structure and correlative conjunctions | Difficult | Batch VA-011"
