"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article XII, Section 2 of the 1987 Constitution, what is the 'REGALIAN DOCTRINE' (Jura Regalia), and which class of public lands is the ONLY ONE that may be alienated by the State?","All lands of the public domain, waters, minerals, coal, petroleum, and other natural resources are owned by the State and are inalienable; only AGRICULTURAL lands of the public domain may be alienated.","All lands in the country belong to municipal governments, and mineral lands can be sold directly to foreign mining companies.","All natural resources are owned by private landowners who possess original title deeds to the topsoil.","Forest lands and national parks can be sold to private corporations provided they plant replacement trees.","A","Step-by-Step Solution:
1. Constitutional Text: Article XII, Section 2, first paragraph:
 'All lands of the public domain, waters, minerals, coal, petroleum, and other mineral oils, all forces of potential energy, fisheries, forests or timber, wildlife, flora and fauna, and other natural resources are owned by the State. With the exception of agricultural lands, all other natural resources shall not be alienated.'
2. Meaning of the Regalian Doctrine (Cariño v. Insular Government; Cruz v. Secretary of DENR; Republic v. Santos):
 - All lands and natural resources not clearly appearing to be within private ownership are presumed to belong to the State.
 - The State is the original owner of all lands of the public domain and all natural resources.
 - INALIENABILITY RULE: Natural resources (minerals, waters, timber, petroleum) can NEVER be alienated (sold/privatized).
 - Among the four constitutional classifications of public lands (Agricultural, Forest, Mineral, National Parks under Art. XII, Sec. 3), ONLY AGRICULTURAL LANDS ARE ALIENABLE.
3. Option A is the verbatim constitutional rule.

Common Trap: Believing forest or mineral lands can become private property; only lands classified as AGRICULTURAL can be alienated to private persons.
Exam Tip: Regalian Doctrine = State owns all natural resources; ONLY AGRICULTURAL lands of the public domain are alienable.","Correct. Survives elimination because Article XII, Section 2 establishes that the State owns all natural resources and public domain lands under the Regalian Doctrine, and strictly limits alienation exclusively to agricultural lands.","Eliminated because mineral lands are inalienable natural resources owned by the State and cannot be sold to private or foreign entities.","Eliminated because private topsoil ownership does not include subsurface mineral or petroleum resources, which belong to the State.","Eliminated because forest lands and national parks are constitutionally inalienable and can never be sold.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | National Economy and Patrimony | Very Difficult | Batch 136"
"In the landmark en banc decision of La Bugal-B'laan Tribal Association, Inc. v. Ramos (G.R. No. 127882, December 1, 2004), what did the Supreme Court rule regarding the validity of FINANCIAL OR TECHNICAL ASSISTANCE AGREEMENTS (FTAAs) entered into with foreign-owned corporations for large-scale mining under Article XII, Section 2?","FTAAs with 100% foreign-owned corporations for the large-scale exploration, development, and utilization of minerals, petroleum, and other mineral oils are CONSTITUTIONAL, provided the State retains full control and supervision over the resource operation and the agreement is signed by the President and reported to Congress within 30 days.","FTAAs with foreign corporations were declared permanently unconstitutional as a violation of the 60% Filipino ownership rule.","Foreign mining corporations are permitted to directly own the land and subsoil where the minerals are located.","FTAAs can only be entered into by municipal trial court judges without presidential involvement.","A","Step-by-Step Solution:
1. Landmark Case History: La Bugal-B'laan Tribal Association v. Ramos (445 SCRA 1, 2004), penned by Justice Artemio Panganiban.
2. Constitutional Text: Article XII, Section 2, paragraph 4:
 'The President may enter into agreements with foreign-owned corporations involving either technical or financial assistance for large-scale exploration, development, and utilization of minerals, petroleum, and other mineral oils according to the general terms and conditions provided by law... The President shall subsequently notify the Congress of every contract entered into in accordance with this provision, within thirty days from its execution.'
3. Supreme Court Ruling:
 - Overturned the Court's earlier January 2004 decision.
 - Ruled that Republic Act No. 7942 (Philippine Mining Act of 1995) and FTAAs with 100% foreign-owned corporations are CONSTITUTIONAL.
 - An FTAA is not a mere service contract for technical consultation; it allows foreign corporations to manage and operate large-scale mining projects, PROVIDED that:
 (1) The State retains FULL CONTROL AND SUPERVISION over the operations;
 (2) The contract is for LARGE-SCALE operations requiring massive capital investment;
 (3) The contract is signed personally by the PRESIDENT; and
 (4) The President reports the contract to CONGRESS within THIRTY (30) DAYS from execution.
4. Option A is the precise legal holding of La Bugal-B'laan v. Ramos.

Common Trap: Believing foreign corporations are barred from large-scale mining; Article XII, Section 2 explicitly creates the FTAA mechanism for large-scale mineral and petroleum development.
Exam Tip: La Bugal-B'laan v. Ramos = FTAAs with 100% foreign corporations for large-scale mining/oil are CONSTITUTIONAL with State control + President's signature + 30-day report to Congress.","Correct. Survives elimination because the Supreme Court in La Bugal-B'laan v. Ramos definitively upheld the constitutionality of FTAAs with 100% foreign corporations for large-scale mining, subject to ultimate State control, presidential execution, and a 30-day report to Congress.","Eliminated because the Supreme Court's final 2004 en banc resolution reversed the earlier ban and validated FTAAs under Article XII, Section 2.","Eliminated because foreign corporations cannot own public lands or mineral resources; they operate under contract with the State as owner.","Eliminated because FTAAs are high-level sovereign contracts executed personally by the President of the Philippines.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | National Economy and Patrimony | Very Difficult | Batch 136"
"Under Article XII, Section 3 of the 1987 Constitution, what is the constitutional limitation on the right of PRIVATE CORPORATIONS regarding alienable lands of the public domain?","Private corporations are strictly PROHIBITED from acquiring (owning) alienable lands of the public domain; they may hold such lands EXCLUSIVELY BY LEASE, for a period not exceeding twenty-five years, renewable for not more than twenty-five years, and not to exceed an area of one thousand hectares.","Private corporations can purchase up to 5,000 hectares of alienable public land for real estate development.","Private corporations can only lease up to 12 hectares of public land for a single term of five years.","Foreign private corporations may purchase public agricultural lands provided they pay a 50% land transfer tax.","A","Step-by-Step Solution:
1. Constitutional Text: Article XII, Section 3, first paragraph:
 'Lands of the public domain are classified into agricultural, forest or timber, mineral lands and national parks. Agricultural lands of the public domain may be further classified by law according to the uses to which they may be devoted. Alienable lands of the public domain shall be limited to agricultural lands. PRIVATE CORPORATIONS OR ASSOCIATIONS MAY NOT HOLD SUCH ALIENABLE LANDS OF THE PUBLIC DOMAIN EXCEPT BY LEASE, for a period not exceeding twenty-five years, renewable for not more than twenty-five years, and not to exceed an area of one thousand hectares. Citizens of the Philippines may lease not more than five hundred hectares, or acquire not more than twelve hectares thereof by purchase, homestead, or grant.'
2. Key Rules on Public Agricultural Land Holdings:
 - A. Private Corporations (even if 100% Filipino):
 - CANNOT PURCHASE OR ACQUIRE title to alienable public land (Absolute Ban on Acquisition; Chavez v. Public Estates Authority, Director of Lands v. IAC).
 - Can ONLY LEASE: Max 1,000 hectares, for 25 years (renewable for 25 years).
 - B. Filipino Individual Citizens:
 - May LEASE: Max 500 hectares.
 - May ACQUIRE (own by purchase, homestead, grant): Max 12 HECTARES.
3. Option A is the verbatim constitutional limitation.

Common Trap: Believing Filipino corporations can buy public agricultural land; NO private corporation (Filipino or foreign) can purchase alienable public land (they can only lease up to 1,000 ha).
Exam Tip: Private Corporations CANNOT BUY public land; they can ONLY LEASE up to 1,000 hectares (25 + 25 years). Citizens can buy max 12 ha.","Correct. Survives elimination because Article XII, Section 3 completely bars private corporations from purchasing alienable public domain lands, restricting corporate holdings strictly to leases of up to 1,000 hectares for 25 years (renewable for another 25 years).","Eliminated because private corporations cannot purchase any acreage of public domain land.","Eliminated because the corporate lease cap is 1,000 hectares for 25 years (renewable for 25 years), while 12 hectares is the acquisition ceiling for individual citizens.","Eliminated because foreign corporations are barred from acquiring public or private lands in the Philippines.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | National Economy and Patrimony | Very Difficult | Batch 136"
"Under Article XII, Section 7 of the 1987 Constitution, what is the constitutional rule on the ACQUISITION OF PRIVATE LANDS, and what is the single explicit constitutional exception allowing foreigners to acquire private land?","Save in cases of HEREDITARY SUCCESSION, no private lands shall be transferred or conveyed except to individuals, corporations, or associations qualified to acquire or hold lands of the public domain (Filipino citizens or 60% Filipino corporations).","Foreign tourists may purchase private residential lands provided the contract is notarized by a Philippine embassy.","Foreign corporations can acquire private agricultural land if they lease 40% of the land to local cooperatives.","Private land may be freely sold to any foreign national who marries a Filipino citizen.","A","Step-by-Step Solution:
1. Constitutional Text: Article XII, Section 7 states:
 'Save in cases of hereditary succession, no private lands shall be transferred or conveyed except to individuals, corporations, or associations qualified to acquire or hold lands of the public domain.'
2. Landmark Jurisprudential Principles (Cheesman v. IAC, 193 SCRA 93; Muller v. Muller, 500 SCRA 65; Matthews v. Taylor, 2009):
 - General Rule: Aliens (foreign individuals and foreign corporations) are ABSOLUTELY PROHIBITED from acquiring or owning private lands in the Philippines.
 - Even if a foreign national provides 100% of the purchase funds to buy land in the name of a Filipino spouse, the foreign spouse acquires ZERO legal title or equitable interest in the land (Muller v. Muller; Matthews v. Taylor).
 - The SOLE EXCEPTION in Section 7 is: HEREDITARY SUCCESSION (Intestate succession where a foreign compulsory legal heir inherits land under the Civil Code; e.g., foreign child inheriting from deceased Filipino parent).
 - Additional Constitutional Carve-Out (Section 8): Natural-born Filipino citizens who lost their Philippine citizenship may acquire private land for residential/business purposes under statutory limits (BP 185 / RA 8179).
3. Option A is the verbatim constitutional rule and exception.

Common Trap: Believing a foreigner married to a Filipino owns half the land; under Section 7, the alien spouse owns NOTHING and cannot recover the purchase money (in pari delicto doctrine).
Exam Tip: Aliens CANNOT own private land; the ONLY constitutional exception is INTESTATE HEREDITARY SUCCESSION.","Correct. Survives elimination because Article XII, Section 7 strictly limits private land ownership to Filipino citizens and 60% Filipino corporations, recognizing hereditary succession as the sole constitutional exception for aliens.","Eliminated because foreign tourists cannot purchase private land in the Philippines under any embassy notarization.","Eliminated because foreign corporations are barred from acquiring title to private land regardless of cooperative lease arrangements.","Eliminated because marriage to a Filipino does not grant the foreign spouse the right to acquire or co-own private land (Cheesman v. IAC).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | National Economy and Patrimony | Very Difficult | Batch 136"
"In the landmark cases of Gamboa v. Teves (G.R. No. 176579, June 28, 2011 & October 9, 2012) and Roy v. Herbosa (G.R. No. 207246, November 22, 2016), how did the Supreme Court define the 'CAPITAL' requirement for PUBLIC UTILITIES under Article XII, Section 11?","The 60% Filipino ownership requirement applies to BOTH (1) the total number of outstanding shares of stock entitled to vote in the election of directors (voting shares), AND (2) the total number of outstanding shares of stock whether or not entitled to vote (beneficial ownership).","The 60% requirement applies only to non-voting preferred shares while foreign investors may hold 100% of voting shares.","The 60% requirement applies to the total authorized capital stock even if unissued or unsubscribed.","Public utilities are exempt from Filipino equity requirements if registered with the Philippine Economic Zone Authority (PEZA).","A","Step-by-Step Solution:
1. Constitutional Text: Article XII, Section 11:
 'No franchise, certificate, or any other form of authorization for the operation of a public utility shall be granted except to citizens of the Philippines or to corporations or associations organized under the laws of the Philippines at least sixty per centum of whose capital is owned by such citizens...'
2. Landmark Rulings:
 - Gamboa v. Teves (652 SCRA 690, 2011; 682 SCRA 397, 2012), penned by Justice Antonio Carpio:
 - The term 'capital' in Section 11 refers to shares of stock that can VOTE in the election of directors (voting control).
 - Filipinos must own at least 60% of the VOTING SHARES.
 - Roy v. Herbosa (810 SCRA 1, 2016), penned by Justice Jose Catral Mendoza (confirming SEC Memorandum Circular No. 8, Series of 2013):
 - Adopted the DUAL TEST: The 60-40 Filipino-foreign equity ratio applies to:
 (a) The total number of outstanding shares of stock entitled to VOTE in the election of directors; AND
 (b) The TOTAL NUMBER of outstanding shares of stock, whether or not entitled to vote.
 - Both tests must be satisfied to ensure effective control and full beneficial ownership remain in Filipino hands.
3. Option A is the precise legal definition established by the Gamboa and Roy rulings.

Common Trap: Believing foreign investors can own 90% of voting common stock if Filipinos hold 60% of total non-voting preferred stock; the Gamboa/Roy doctrine strictly requires 60% Filipino ownership of VOTING shares.
Exam Tip: Gamboa v. Teves + Roy v. Herbosa = 60% Filipino Capital requirement applies to BOTH Voting Shares AND Total Outstanding Shares (Dual Test).","Correct. Survives elimination because Gamboa v. Teves and Roy v. Herbosa established the dual test for Article XII, Section 11: the 60% Filipino equity rule applies separately to voting shares and to the total aggregate outstanding shares.","Eliminated because the Supreme Court explicitly outlawed schemes where foreigners hold voting control while Filipinos hold non-voting preferred shares.","Eliminated because capital is measured against subscribed and issued outstanding shares, not unissued authorized stock.","Eliminated because PEZA registration does not exempt public utility franchise holders from the 60% constitutional nationality threshold.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | National Economy and Patrimony | Very Difficult | Batch 136"
"Under Article XII, Section 11 of the 1987 Constitution, what is the maximum duration for a PUBLIC UTILITY FRANCHISE, and what are the restrictions on foreign participation in the governing board and management?","A franchise shall not exceed fifty (50) years; the participation of foreign investors in the governing body of any public utility shall be limited to their proportionate share in its capital, and all the executive and managing officers must be citizens of the Philippines.","A franchise may be granted in perpetuity (unlimited duration); foreign nationals may occupy 100% of executive managing positions.","A franchise is capped at ten years; foreign investors cannot hold any board seats regardless of equity.","A franchise is limited to twenty-five years; managing officers may be foreign nationals provided they reside in Manila.","A","Step-by-Step Solution:
1. Constitutional Text: Article XII, Section 11 states:
 'No franchise, certificate, or any other form of authorization for the operation of a public utility shall be granted except to citizens of the Philippines or to corporations or associations organized under the laws of the Philippines, at least sixty per centum of whose capital is owned by such citizens; nor shall such franchise, certificate, or authorization be exclusive in character or for a longer period than fifty years... The participation of foreign investors in the governing body of any public utility enterprise shall be limited to their proportionate share in its capital, and all the executive and managing officers of such corporation or association must be citizens of the Philippines.'
2. Four Constitutional Restrictions on Public Utilities:
 - 1. Maximum Franchise Duration: FIFTY (50) YEARS.
 - 2. Non-Exclusivity: Franchises CANNOT be exclusive in character.
 - 3. Board Representation: Foreign directors capped at their proportionate share in capital (e.g., max 40% of board seats).
 - 4. Executive Management: ALL EXECUTIVE AND MANAGING OFFICERS (President, CEO, General Manager, COO) MUST BE CITIZENS OF THE PHILIPPINES.
3. Option A matches the constitutional text and restrictions verbatim.

Common Trap: Believing a foreigner can be appointed as President or CEO of a Philippine public utility; the Constitution strictly mandates that ALL executive and managing officers MUST be Filipino citizens.
Exam Tip: Public Utility Rules: Max 50 years + Non-exclusive + Foreign board seats proportional to equity (max 40%) + ALL Managing Officers MUST BE FILIPINOS.","Correct. Survives elimination because Article XII, Section 11 restricts public utility franchises to a maximum of 50 years, limits foreign directorships to their proportional capital share (max 40%), and mandates that all executive and managing officers must be Filipino citizens.","Eliminated because perpetual or exclusive franchises are unconstitutional under Section 11, and foreign nationals are strictly barred from executive managing positions.","Eliminated because the franchise duration ceiling is 50 years (not 10), and foreign investors may hold board seats proportional to their equity share.","Eliminated because managing officers must be Filipino citizens, regardless of foreign residency in Manila.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | National Economy and Patrimony | Very Difficult | Batch 136"
"Under Article XII, Section 2, paragraph 2 of the 1987 Constitution, what is the constitutional rule regarding the protection and utilization of the nation's MARINE WEALTH in archipelagic waters, territorial seas, and the Exclusive Economic Zone (EEZ)?","The State shall protect the nation's marine wealth in its archipelagic waters, territorial sea, and exclusive economic zone, and reserve its exploration, development, and utilization EXCLUSIVELY to Filipino citizens.","The State allows foreign commercial fishing fleets to harvest marine resources within territorial waters under open-access treaties.","The State permits jo∫-venture commercial trawling with foreign corporations within archipelagic bays.","Marine wealth in the exclusive economic zone is declared open to unregulated international commercial exploitation.","A","Step-by-Step Solution:
1. Constitutional Text: Article XII, Section 2, second paragraph:
 'The State shall protect the nation's marine wealth in its archipelagic waters, territorial sea, and exclusive economic zone, and reserve its use and enjoyment exclusively to Filipino citizens.'
2. Scope of Exclusive Marine Reservation:
 - Applies to: (1) Archipelagic waters, (2) Territorial sea, and (3) Exclusive Economic Zone (EEZ, extending up to 200 nautical miles).
 - Beneficiaries: Reserved EXCLUSIVELY to Filipino citizens (and subsistence fishermen under paragraph 3).
 - Foreign fishing fleets and foreign jo∫ ventures are STRICTLY PROHIBITED from exploiting marine wealth and fisheries within these zones.
3. Option A is the verbatim constitutional mandate.

Common Trap: Thinking the 60-40 jo∫ venture rule applies to marine fishing; marine wealth in archipelagic waters, territorial sea, and EEZ is reserved EXCLUSIVELY (100%) to Filipino citizens.
Exam Tip: Marine Wealth (Archipelagic, Territorial, EEZ) = Reserved EXCLUSIVELY (100%) to Filipino Citizens.","Correct. Survives elimination because Article XII, Section 2, paragraph 2 commands that the State shall protect marine wealth across archipelagic waters, territorial sea, and the EEZ, reserving its use and enjoyment exclusively to Filipino citizens.","Eliminated because foreign commercial fishing within Philippine territorial waters and the EEZ is unconstitutional.","Eliminated because marine fishing is reserved 100% exclusively to Filipinos, precluding foreign corporate jo∫ ventures in archipelagic waters.","Eliminated because the EEZ is subject to Philippine sovereign rights and constitutional reservation for Filipino nationals.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | National Economy and Patrimony | Very Difficult | Batch 136"
"Under Article XII, Section 14, second paragraph of the 1987 Constitution, what is the constitutional rule governing the PRACTICE OF ALL PROFESSIONS in the Philippines?","The practice of all professions in the Philippines shall be limited to Filipino citizens, save in cases prescribed by law.","Foreign nationals can practice law and medicine in the Philippines without any statutory reciprocity or legislative authority.","Only natural-born citizens can practice professions, with naturalized citizens strictly barred.","Professional licenses are issued exclusively by municipal mayors without national regulatory board exams.","A","Step-by-Step Solution:
1. Constitutional Text: Article XII, Section 14, second paragraph:
 'The practice of all professions in the Philippines shall be limited to Filipino citizens, save in cases prescribed by law.'
2. Key Legal Principles:
 - General Rule: Professional practice (medicine, engineering, accountancy, nursing, teaching, architecture, etc.) is reserved EXCLUSIVELY to FILIPINO CITIZENS (natural-born or naturalized).
 - Legal Profession: Practice of law is further restricted by the Supreme Court to Filipino citizens (Rule 138, Rules of Court).
 - Exception: 'Save in cases prescribed by law' (e.g., professional regulatory laws containing strict foreign reciprocity clauses administered by the Professional Regulation Commission / PRC).
3. Option A is verbatim Article XII, Section 14.

Common Trap: Believing foreign professionals can freely practice in the Philippines without statutory authorization; the constitutional baseline is strict limitation to Filipino citizens.
Exam Tip: Article XII, Section 14 = Practice of ALL professions is limited to FILIPINO CITIZENS, save in cases prescribed by law.","Correct. Survives elimination because Article XII, Section 14 explicitly provides that the practice of all professions in the Philippines is restricted to Filipino citizens, unless an enabling statutory law provides an exception.","Eliminated because foreign nationals cannot practice professions without express statutory authorization and regulatory board reciprocity compliance.","Eliminated because both natural-born and naturalized Filipino citizens may practice professions under Philippine regulatory laws.","Eliminated because professional licensing is governed nationally by the Professional Regulation Commission (PRC) and Supreme Court (for law), not municipal mayors.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | National Economy and Patrimony | Very Difficult | Batch 136"
"Under Article XII, Section 8 of the 1987 Constitution, what property right is granted to a NATURAL-BORN CITIZEN of the Philippines who has LOST their Philippine citizenship?","A natural-born citizen of the Philippines who has lost his Philippine citizenship may be a transferee of private lands, subject to limitations provided by law.","They are treated as foreign nationals with zero right to acquire any private residential property.","They may acquire up to 10,000 hectares of commercial agricultural public domain land.","They must forfeit all ancestral lands previously acquired before losing citizenship.","A","Step-by-Step Solution:
1. Constitutional Text: Article XII, Section 8 states:
 'Notwithstanding the provisions of Section 7 of this Article, a natural-born citizen of the Philippines who has lost his Philippine citizenship may be a transferee of private lands, subject to limitations provided by law.'
2. Statutory Implementation (Batas Pambansa Blg. 185; Republic Act No. 8179 amending the Foreign Investments Act of 1991):
 - A former natural-born Filipino citizen (e.g., who became a naturalized US or Canadian citizen without re-acquiring under RA 9225) may acquire private land subject to statutory area limits:
 1. For Residential Use (BP 185): Up to 1,000 square meters of urban land OR up to 1 hectare of rural land.
 2. For Business / Commercial Use (RA 8179): Up to 5,000 square meters of urban land OR up to 3 hectares of rural land.
3. Option A matches the constitutional text and statutory framework verbatim.

Common Trap: Confusing foreign nationals of non-Filipino origin (who cannot buy land under Section 7) with former natural-born Filipinos (who CAN acquire limited private land under Section 8).
Exam Tip: Former natural-born Filipinos who lost citizenship CAN ACQUIRE PRIVATE LAND under Section 8 (subject to BP 185 / RA 8179 statutory limits).","Correct. Survives elimination because Article XII, Section 8 specifically carves out an exception allowing former natural-born Filipino citizens who lost their citizenship to acquire private lands, subject to statutory limits in BP 185 and RA 8179.","Eliminated because the Constitution explicitly grants former natural-born Filipinos the right to acquire private residential/business land under Section 8.","Eliminated because former citizens cannot acquire public domain agricultural land (limited to private land), and the area caps are far below 10,000 hectares (1,000 sq m to 3 ha).","Eliminated because lands acquired while still a Filipino citizen remain validly owned and are not forfeited upon foreign naturalization (Republic v. CA and Ledesma).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | National Economy and Patrimony | Very Difficult | Batch 136"
"What is the core principle of the 'FILIPINO FIRST POLICY' enshrined in Article XII, Section 10, paragraph 2 of the 1987 Constitution, as applied in Manila Prince Hotel v. GSIS?","In the grant of rights, privileges, and concessions covering the national economy and patrimony, the State shall give preference to qualified Filipinos; when a qualified Filipino entity matches the bid of a foreign entity for a heritage asset, the Filipino bidder must be awarded the contract.","The State must expropriate all foreign-owned businesses without paying just compensation.","Foreign investments are completely prohibited from entering the Philippine retail and manufacturing sectors.","Filipino citizens must be awarded government contracts even if their bids fail to match the price and quality of qualified competitors.","A","Step-by-Step Solution:
1. Constitutional Text: Article XII, Section 10, paragraph 2:
 'In the grant of rights, privileges, and concessions covering the national economy and patrimony, the State shall give preference to qualified Filipinos.'
2. Landmark Case: Manila Prince Hotel v. GSIS (267 SCRA 408, 1997), penned by Justice Josue Bellosillo:
 - Facts: The GSIS auctioned 51% of the shares of Manila Hotel Corporation (a historic cultural landmark). A Malaysian firm (Renong Berhad) submitted a higher bid of PHP 44.00/share vs. Manila Prince Hotel's PHP 41.58/share. Manila Prince Hotel subsequently offered to MATCH the Malaysian bid of PHP 44.00/share, invoking the Filipino First Policy.
 - Supreme Court Ruling (En Banc):
 - 1. Article XII, Section 10, paragraph 2 is a SELF-EXECUTING constitutional mandate.
 - 2. The Manila Hotel is part of the national patrimony and cultural heritage.
 - 3. Under the Filipino First Policy, when a qualified Filipino bidder MATCHES the bid of a foreign competitor, the State is constitutionally bound to award the contract to the Filipino entity.
3. Option A is the precise jurisprudential doctrine of Manila Prince Hotel v. GSIS.

Common Trap: Assuming Filipino First means a Filipino gets the contract regardless of price; under the Manila Prince doctrine, the qualified Filipino entity MUST MATCH the winning foreign bid.
Exam Tip: Manila Prince Hotel v. GSIS = Filipino First Policy (Art. XII, Sec. 10) is SELF-EXECUTING: Qualified Filipino entity matching a foreign bid MUST be preferred.","Correct. Survives elimination because Manila Prince Hotel v. GSIS established that Article XII, Section 10 is self-executing, mandating that in transactions involving national patrimony, a qualified Filipino enterprise that matches a foreign bid must be preferred.","Eliminated because the Filipino First policy does not authorize confiscatory expropriation of foreign businesses.","Eliminated because foreign investments are permitted under statutory frameworks (e.g., Foreign Investments Act, Retail Trade Liberalization Act) subject to constitutional equity caps.","Eliminated because the Filipino entity must be qualified and must match the competing bid terms.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | National Economy and Patrimony | Very Difficult | Batch 136"
