"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"In a symbolic logic matrix, each term undergoes a dual transformation rule based on row (R) and column (C): Row 1: [Δ₂, Phi₄, Ω₈] Row 2: [Δ₄, Phi₈, Ω₁₆] Row 3: [Δ₈, Phi₁₆, ?] What is the missing term that logically completes the matrix?","Ω₃₂","Ω₂₄","Phi₃₂","Δ₃₂","A","Step-by-Step Solution:
1. Analyze the Greek letter distribution across columns:
 - Column 1: Δ (Δ).
 - Column 2: Phi (Phi).
 - Column 3: Ω (Ω).
 - Therefore, the missing term in Column 3 MUST have the base symbol Ω.
2. Analyze the numerical subscript pattern:
 - Row 1: 2, 4, 8 implies 2¹, 2², 2³.
 - Row 2: 4, 8, 16 implies 2², 2³, 2⁴.
 - Row 3: 8, 16, ? implies 2³, 2⁴, 2⁵.
3. Compute the missing subscript:
 - 2⁵ = 32.
4. Combine symbol and subscript:
 - Missing term: Ω₃₂.
5. Verify column-wise progression:
 - Column 3 contains: Ω₈, Ω₁₆, Ω₃₂ (each term doubles downward: 8 × 2 = 16, 16 × 2 = 32).

Common Trap: Adding 8 instead of multiplying by 2 (selecting Ω₂₄).
Exam Tip: Check both horizontal (row) and vertical (column) geometric progressions (2ⁿ).","Correct. Survives elimination because column 3 requires the Ω symbol and the exponential base-2 subscript progression doubles to 32.","Eliminated because 24 assumes linear addition rather than geometric doubling.","Eliminated because Phi belongs to column 2.","Eliminated because Δ belongs to column 1.","Analytical Ability","Analytical Ability | Symbolic Logic / Abstract Reasoning | Logic & Reasoning Types | Pattern recognition | Very Difficult | Batch 077"
"Consider the 3x3 symbolic set-logic matrix where operations follow a strict row-wise set intersection rule: Row 1: [{α, β, γ}, {β, γ, δ}, {β, γ}] Row 2: [{δ, epsilon, zeta}, {epsilon, zeta, eta}, {epsilon, zeta}] Row 3: [{θ, iota, kappa}, {iota, kappa, λ}, ?] What set completes the pattern in Row 3?","{iota, kappa}","{θ, λ}","{θ, iota, kappa, λ}","{kappa, λ}","A","Step-by-Step Solution:
1. Deduce the horizontal mathematical operator linking the cells:
 - In Row 1: Cell₁ cap Cell₂ = {α, β, γ} cap {β, γ, δ} = {β, γ} = Cell₃.
 - In Row 2: Cell₁ cap Cell₂ = {δ, epsilon, zeta} cap {epsilon, zeta, eta} = {epsilon, zeta} = Cell₃.
 - Rule: Cell 3 is the exact Set Intersection (cap) of Cell 1 and Cell 2.
2. Apply the intersection rule to Row 3:
 - Cell₁ = {θ, iota, kappa}.
 - Cell₂ = {iota, kappa, λ}.
 - Cell₃ = {θ, iota, kappa} cap {iota, kappa, λ} = {iota, kappa}.
3. Conclude:
 - The missing set is {iota, kappa}.
4. Evaluate incorrect alternatives:
 - Option B ({θ, λ}): The symmetric difference (elements not shared).
 - Option C: The set union (cup).
 - Option D: Missing element iota.

Common Trap: Confusing set intersection (cap, common elements) with set union (cup) or symmetric difference.
Exam Tip: Set intersection extracts ONLY the elements present in BOTH input sets.","Correct. Survives elimination because the third column is the set intersection of columns 1 and 2, which for Row 3 is strictly {iota, kappa}.","Eliminated because this is the symmetric difference.","Eliminated because this is the set union.","Eliminated because it omits common element iota.","Analytical Ability","Analytical Ability | Symbolic Logic / Abstract Reasoning | Logic & Reasoning Types | Pattern recognition | Very Difficult | Batch 077"
"A cryptographic tracking indicator rotates through a 4-state orthogonal clockwise cycle: Step 1: North (uparrow), Step 2: East (rightarrow), Step 3: South (downarrow), Step 4: West (leftarrow). What direction does the indicator po∫ at Step 26?","East (rightarrow)","North (uparrow)","South (downarrow)","West (leftarrow)","A","Step-by-Step Solution:
1. Identify the modular period of the cyclical rotation:
 - The cycle has P = 4 distinct directional states:
 - State 1 (1 pmod 4): North (uparrow)
 - State 2 (2 pmod 4): East (rightarrow)
 - State 3 (3 pmod 4): South (downarrow)
 - State 0 (0 pmod 4): West (leftarrow)
2. Compute the position for Step N = 26:
 - Calculate 26 pmod 4:
 - 26 = 4 × 6 + 2.
 - Remainder = 2.
3. Map remainder 2 to the corresponding directional state:
 - Remainder 2 corresponds to State 2 = East (rightarrow).
4. Conclude:
 - At Step 26, the indicator points East (rightarrow).

Common Trap: Miscounting the modular remainder by starting index from 0 rather than 1.
Exam Tip: For cyclic patterns of period P, compute N pmod P to find the exact matching step in the base cycle.","Correct. Survives elimination because 26 mod 4 = 2, which corresponds to the 2nd position in the 4-step clockwise cycle (East).","Eliminated because North corresponds to remainder 1.","Eliminated because South corresponds to remainder 3.","Eliminated because West corresponds to remainder 0.","Analytical Ability","Analytical Ability | Symbolic Logic / Abstract Reasoning | Logic & Reasoning Types | Pattern recognition | Very Difficult | Batch 077"
"Consider the symbolic progression defined by the rule Sₙ = (n² + 1) star (2n - 1): S₁ = 2 star 1, S₂ = 5 star 3, S₃ = 10 star 5, S₄ = 17 star 7, S₅ = 26 star 9. What is the term S₈?","65 star 15","64 star 15","65 star 17","50 star 13","A","Step-by-Step Solution:
1. Analyze the dual algebraic formula for Sₙ:
 - Left operand: Lₙ = n² + 1.
 - Right operand: Rₙ = 2n - 1.
2. Calculate Left operand for n = 8:
 - L₈ = 8² + 1 = 64 + 1 = 65.
3. Calculate Right operand for n = 8:
 - R₈ = 2(8) - 1 = 16 - 1 = 15.
4. Combine into composite term:
 - S₈ = 65 star 15.
5. Evaluate incorrect alternatives:
 - Option B (64 star 15): Forgot to add 1 to 8².
 - Option C (65 star 17): Evaluated 2n + 1 instead of 2n - 1.
 - Option D (50 star 13): Evaluated for n = 7.

Common Trap: Forgetting the +1 in n² + 1 or making an arithmetic error on 2n - 1.
Exam Tip: Always substitute n = 8 directly into both sub-formulas and compute independently.","Correct. Survives elimination because 8² + 1 = 65 and 2(8) - 1 = 15, yielding 65 * 15.","Eliminated because 8² is 64 without adding 1.","Eliminated because 2(8) - 1 is 15, not 17.","Eliminated because 50 * 13 corresponds to n = 7.","Analytical Ability","Analytical Ability | Symbolic Logic / Abstract Reasoning | Logic & Reasoning Types | Pattern recognition | Very Difficult | Batch 077"
"Examine the 3x3 letter-matrix progression based on English alphabetic positions: Row 1: [ A, D, G ] Row 2: [ D, G, J ] Row 3: [ G, J, ? ] What letter replaces the question mark according to the matrix rule?","M","L","N","K","A","Step-by-Step Solution:
1. Convert letters to their alphabetical numerical indices (A=1, B=2,...):
 - Row 1: A(1), D(4), G(7) implies +3, +3.
 - Row 2: D(4), G(7), J(10) implies +3, +3.
 - Row 3: G(7), J(10), ? implies +3, +3.
2. Calculate the missing value:
 - In Row 3: Index = 10 + 3 = 13.
3. Convert numerical index 13 back to the alphabet:
 - 13th letter of the alphabet = M.
4. Verify column-wise and diagonal progressions:
 - Column 1: A(1), D(4), G(7) (step +3).
 - Column 2: D(4), G(7), J(10) (step +3).
 - Column 3: G(7), J(10), M(13) (step +3).
 - Matrix is completely consistent in all directions!

Common Trap: Miscounting letters and selecting N (14) or L (12).
Exam Tip: A=1, D=4, G=7, J=10, M=13 (constant step of +3).","Correct. Survives elimination because stepping +3 from J(10) yields M(13), satisfying both row and column rules.","Eliminated because L is index 12 (+2 step).","Eliminated because N is index 14 (+4 step).","Eliminated because K is index 11 (+1 step).","Analytical Ability","Analytical Ability | Symbolic Logic / Abstract Reasoning | Logic & Reasoning Types | Pattern recognition | Very Difficult | Batch 077"
"In an abstract geometric matrix, each row follows a strict line-count arithmetic progression: Row 1: [ Circle (0), Triangle (3), Square (4) ] implies Total = 7 lines. Row 2: [ Angle (2), Square (4), Pentagon (5) ] implies Total = 11 lines. Row 3: [ Triangle (3), Hexagon (6), ? ] implies Target = 15 lines. What polygon replaces the question mark?","Hexagon (6 lines)","Pentagon (5 lines)","Heptagon (7 lines)","Square (4 lines)","A","Step-by-Step Solution:
1. Analyze the row-total line count pattern:
 - Row 1 Σ: 0 + 3 + 4 = 7 lines.
 - Row 2 Σ: 2 + 4 + 5 = 11 lines (7 + 4 = 11).
 - Arithmetic step between rows: +4 lines.
2. Determine the required line-count total for Row 3:
 - Target Σ: 11 + 4 = 15 lines.
3. Calculate lines contributed by known figures in Row 3:
 - Triangle = 3 lines.
 - Hexagon = 6 lines.
 - Current Σ = 3 + 6 = 9 lines.
4. Solve for the missing polygon's line count:
 - Missing lines = 15 - 9 = 6 lines.
5. Identify the polygon with 6 lines:
 - A 6-sided polygon is a HEXAGON.

Common Trap: Selecting Pentagon (5) by guessing a sequence of different shapes rather than computing the arithmetic row Σ.
Exam Tip: Arithmetic row totals: 7 to 11 to 15. Missing lines = 15 - (3 + 6) = 6 (Hexagon).","Correct. Survives elimination because the arithmetic row progression requires a total of 15 lines, leaving 15 - 9 = 6 lines (Hexagon).","Eliminated because a pentagon has 5 lines (total = 14).","Eliminated because a heptagon has 7 lines (total = 16).","Eliminated because a square has 4 lines (total = 13).","Analytical Ability","Analytical Ability | Symbolic Logic / Abstract Reasoning | Logic & Reasoning Types | Pattern recognition | Very Difficult | Batch 077"
"Consider a dual-attribute pattern where shapes and shading alternate with independent periods: Shape cycle (Period 3): Circle to Square to Triangle. Shading cycle (Period 3): Solid to Hollow to Striped. What is the exact figure generated at Position 10?","Solid Circle","Hollow Square","Striped Triangle","Solid Square","A","Step-by-Step Solution:
1. Determine the shape at Position 10:
 - Shape cycle period P = 3.
 - Position 10 pmod 3 = 1.
 - Remainder 1 corresponds to the 1st shape in the cycle: CIRCLE.
2. Determine the shading at Position 10:
 - Shading cycle period P = 3.
 - Position 10 pmod 3 = 1.
 - Remainder 1 corresponds to the 1st shading in the cycle: SOLID.
3. Combine the attributes:
 - The figure at Position 10 is a SOLID CIRCLE.
4. Evaluate incorrect alternatives:
 - Option B (Hollow Square): Corresponds to Position 11 ≡ 2 pmod 3.
 - Option C (Striped Triangle): Corresponds to Position 12 ≡ 0 pmod 3.

Common Trap: Confusing position remainder indices when mapping back to the cyclic sequence.
Exam Tip: 10 pmod 3 = 1 implies 1st shape (Circle) + 1st shading (Solid) = Solid Circle.","Correct. Survives elimination because 10 mod 3 = 1, selecting the first element of both independent 3-cycles (Solid Circle).","Eliminated because Hollow Square corresponds to index 2 (Position 11).","Eliminated because Striped Triangle corresponds to index 0 (Position 12).","Eliminated because the shape at index 1 is Circle, not Square.","Analytical Ability","Analytical Ability | Symbolic Logic / Abstract Reasoning | Logic & Reasoning Types | Pattern recognition | Very Difficult | Batch 077"
"Consider the compound alphanumeric code sequence: 1Z2, 3X4, 5V8, 7T16, ?. What is the 5th term in this sequence?","9R32","9S32","11R32","9R64","A","Step-by-Step Solution:
1. Deconstruct the composite code into its three constituent rules for term n = 5:
 - Component 1 (Leading Integer): 1, 3, 5, 7,...
 - Formula: 2n - 1 (Consecutive odd numbers).
 - For n = 5: 2(5) - 1 = 9.
 - Component 2 (Middle Letter): Z(26), X(24), V(22), T(20),...
 - Pattern: Decreasing by 2 alphabetical positions.
 - For n = 5: 20 - 2 = 18, which corresponds to letter R.
 - Component 3 (Trailing Integer): 2, 4, 8, 16,...
 - Formula: 2ⁿ (Powers of 2).
 - For n = 5: 2⁵ = 32.
2. Assemble the 5th term:
 - Term 5 = 9R32.
3. Evaluate incorrect alternatives:
 - Option B (9S32): S is position 19 (decreased by only 1).
 - Option C (11R32): Leading integer skipped to 11.
 - Option D (9R64): Trailing integer doubled twice (2⁶).

Common Trap: Misidentifying the letter step or doubling the trailing number one extra time.
Exam Tip: Break composite alphanumeric codes into separate sub-sequences: 1,3,5,7 to 9; Z,X,V,T to R; 2,4,8,16 to 32.","Correct. Survives elimination because the leading odd number is 9, the letter decreasing by 2 is R, and the power of 2 is 32, giving 9R32.","Eliminated because S is index 19 instead of 18.","Eliminated because the 5th odd number is 9, not 11.","Eliminated because 2⁵ is 32, not 64.","Analytical Ability","Analytical Ability | Symbolic Logic / Abstract Reasoning | Logic & Reasoning Types | Pattern recognition | Very Difficult | Batch 077"
"In a 3x3 logic matrix, the Σ of values along every row, column, and main diagonal strictly equals 30: Row 1: [ 4, 14, 12 ] Row 2: [ 18, 10, 2 ] Row 3: [ 8, 6, ? ] What is the missing value in Row 3, Column 3?","16","14","12","18","A","Step-by-Step Solution:
1. Verify the constant Σ property across existing rows:
 - Row 1: 4 + 14 + 12 = 30.
 - Row 2: 18 + 10 + 2 = 30.
 - Column 1: 4 + 18 + 8 = 30.
 - Column 2: 14 + 10 + 6 = 30.
 - Constant Σ S = 30.
2. Solve for the missing value x in Row 3:
 - Row 3 equation: 8 + 6 + x = 30.
 - 14 + x = 30 implies x = 30 - 14 = 16.
3. Cross-verify with Column 3:
 - Column 3 equation: 12 + 2 + x = 30.
 - 14 + x = 30 implies x = 16.
4. Cross-verify with the Main Diagonal:
 - Main diagonal equation: 4 + 10 + x = 30.
 - 14 + x = 30 implies x = 16.
5. Conclude:
 - The value is uniquely and consistently confirmed as 16.

Common Trap: Forgetting to verify the diagonal and column constraints.
Exam Tip: In a magic matrix, solve via the simplest row and cross-check with the intersecting column.","Correct. Survives elimination because 30 - (8 + 6) = 16, which also satisfies Column 3 (12 + 2 + 16 = 30) and the main diagonal (4 + 10 + 16 = 30).","Eliminated because 14 yields a row Σ of 28.","Eliminated because 12 yields a row Σ of 26.","Eliminated because 18 yields a row Σ of 32.","Analytical Ability","Analytical Ability | Symbolic Logic / Abstract Reasoning | Logic & Reasoning Types | Pattern recognition | Very Difficult | Batch 077"
"Consider a symbolic parity function operating on 3-bit binary inputs: Y = (X₁ oplus X₂) oplus X₃ (where oplus is Exclusive OR). Given training samples: [1, 0, 0] to 1, [1, 1, 0] to 0, [1, 1, 1] to 1, [0, 1, 0] to 1. What is the deterministic output for the input vector [0, 1, 1]?","0","1","-1","Undefined","A","Step-by-Step Solution:
1. Understand the Odd-Parity XOR logic rule:
 - The XOR Σ (X₁ oplus X₂ oplus X₃) evaluates to 1 if the total number of 1s in the vector is ODD.
 - It evaluates to 0 if the total number of 1s in the vector is EVEN.
2. Count the number of 1s in the input vector [0, 1, 1]:
 - Number of 1s = 2 (which is an EVEN integer).
3. Compute step-by-step XOR evaluation:
 - Step 1: X₁ oplus X₂ = 0 oplus 1 = 1.
 - Step 2: (X₁ oplus X₂) oplus X₃ = 1 oplus 1 = 0.
4. Conclude:
 - The output Y = 0.
5. Evaluate incorrect alternatives:
 - Option B (1): Would require an odd number of 1s (e.g., [1, 1, 1] or [0, 0, 1]).
 - Options C and D: Invalid binary logic values.

Common Trap: Assuming XOR of 1 and 1 is 1 (in XOR, identical bits yield 0: 1 oplus 1 = 0).
Exam Tip: XOR parity: Odd count of 1s implies 1; Even count of 1s implies 0.","Correct. Survives elimination because (0 XOR 1) XOR 1 = 1 XOR 1 = 0, exactly matching even parity.","Eliminated because 1 requires an odd number of 1s.","Eliminated because boolean parity outputs only {0, 1}.","Eliminated because the function is completely well-defined.","Analytical Ability","Analytical Ability | Symbolic Logic / Abstract Reasoning | Logic & Reasoning Types | Pattern recognition | Very Difficult | Batch 077"
