"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"BAROMETER: PRESSURE:: HYGROMETER: ______","HUMIDITY","DENSITY","TEMPERATURE","GRAVITY","A","Step-by-Step Solution:
1. Analyze the functional relationship in the initial word pair (BAROMETER: PRESSURE):
 - A \""barometer\"" is a scientific instrument designed for the specific physical FUNCTION of measuring atmospheric \""pressure\"".
 - Relationship: Scientific instrument-to-exact measured parameter FUNCTION ANALOGY.
2. Determine the corresponding physical property measured by a \""HYGROMETER\"":
 - A \""hygrometer\"" is a specialized meteorological instrument whose dedicated primary function is to measure atmospheric moisture content or \""humidity\"".
 - Therefore, HYGROMETER is to HUMIDITY as BAROMETER is to PRESSURE.
3. Evaluate incorrect alternatives:
 - Option B (Density): Measured by a hydrometer or pycnometer.
 - Option C (Temperature): Measured by a thermometer.
 - Option D (Gravity): Measured by a gravimeter.

Common Trap: Confusing hygrometer (humidity) with hydrometer (liquid density) due to phonetic similarity.
Exam Tip: Barometer measures Pressure; Hygrometer measures Humidity; Hydrometer measures Density.","Correct. Survives elimination because a barometer functions to measure atmospheric pressure, just as a hygrometer functions to measure ambient humidity.","Eliminated because liquid density is measured by a hydrometer, not a hygrometer.","Eliminated because temperature is measured by a thermometer.","Eliminated because gravity is measured by a gravimeter.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Function analogy | Very Difficult | Batch 058"
"INSULATOR: RESISTANCE:: CATALYST: ______","ACCELERATION","INHIBITION","CONSUMPTION","STAGNATION","A","Step-by-Step Solution:
1. Analyze the operational function in the initial word pair (INSULATOR: RESISTANCE):
 - An \""insulator\"" is a material whose primary physical FUNCTION is to provide electrical or thermal \""resistance\"" (impeding flow).
 - Relationship: Material/agent-to-characteristic operating FUNCTION.
2. Determine the corresponding operating function of a chemical \""CATALYST\"":
 - A \""catalyst\"" is a chemical substance whose primary function is the \""acceleration\"" of a reaction rate by lowering activation energy thresholds.
 - Therefore, CATALYST is to ACCELERATION as INSULATOR is to RESISTANCE.
3. Evaluate incorrect alternatives:
 - Option B (Inhibition): The opposite function performed by an inhibitor or retarder.
 - Option C (Consumption): Contradicts catalyst definition (a catalyst remains unconsumed in the reaction).
 - Option D (Stagnation): A total cessation of activity.

Common Trap: Confusing catalysts with inhibitors (which decelerate reactions) or assuming catalysts are consumed.
Exam Tip: An Insulator functions to provide Resistance; a Catalyst functions to provide Acceleration.","Correct. Survives elimination because an insulator's function is to provide resistance, while a catalyst's function is to provide reaction rate acceleration.","Eliminated because inhibition is the function of a chemical inhibitor.","Eliminated because a catalyst is not consumed during the reaction.","Eliminated because stagnation represents a lack of reaction progress.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Function analogy | Very Difficult | Batch 058"
"INTERMEDIARY: CONCILIATION:: ADVOCATE: ______","REPRESENTATION","ARBITRATION","RECTIFICATION","RETRACTATION","A","Step-by-Step Solution:
1. Analyze the professional role relationship in the initial word pair (INTERMEDIARY: CONCILIATION):
 - An \""intermediary\"" is a neutral third-party agent whose core professional FUNCTION is achieving \""conciliation\"" or peaceful dispute mediation between parties.
 - Relationship: Professional agent-to-intended primary FUNCTION.
2. Determine the corresponding primary professional function of an \""ADVOCATE\"":
 - An \""advocate\"" is a legal practitioner or champion whose core professional function is the vigorous \""representation\"" and defense of a client's rights or interests.
 - Therefore, ADVOCATE is to REPRESENTATION as INTERMEDIARY is to CONCILIATION.
3. Evaluate incorrect alternatives:
 - Option B (Arbitration): The adjudicative function performed by an arbitrator or neutral tribunal.
 - Option C (Rectification): The act of correcting an error or amending a document.
 - Option D (Retractation): The act of withdrawing or disavowing a prior statement.

Common Trap: Confusing an advocate (partisan legal representative) with an arbitrator (neutral adjudicator).
Exam Tip: Intermediary functions to achieve Conciliation; Advocate functions to provide Representation.","Correct. Survives elimination because an intermediary's core function is conciliation, while an advocate's core function is client representation.","Eliminated because arbitration is the adjudicative function of an arbitrator, not an advocate.","Eliminated because rectification is corrective amendment.","Eliminated because retractation is formal statement withdrawal.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Function analogy | Very Difficult | Batch 058"
"STENCIL: DUPLICATION:: CENTRIFUGE: ______","SEPARATION","COAGULATION","HEATING","COMBUSTION","A","Step-by-Step Solution:
1. Analyze the mechanical function in the initial word pair (STENCIL: DUPLICATION):
 - A \""stencil\"" is an engineered template whose primary operational FUNCTION is enabling the exact \""duplication\"" or replication of designs and lettering.
 - Relationship: Tool/apparatus-to-primary operational FUNCTION.
2. Determine the corresponding primary mechanical function of a laboratory \""CENTRIFUGE\"":
 - A \""centrifuge\"" is a high-speed rotational apparatus whose primary operational function is the \""separation\"" of heterogeneous fluid mixtures into distinct density phases.
 - Therefore, CENTRIFUGE is to SEPARATION as STENCIL is to DUPLICATION.
3. Evaluate incorrect alternatives:
 - Option B (Coagulation): Chemical clotting or thickening of a liquid into a solid mass.
 - Option C (Heating): The thermal function performed by an incubator or bunsen burner.
 - Option D (Combustion): High-temperature exothermic oxidation.

Common Trap: Associating centrifuges with chemical reactions rather than purely mechanical density separation.
Exam Tip: Stencil functions for Duplication; Centrifuge functions for Separation.","Correct. Survives elimination because a stencil's primary function is graphic duplication, while a centrifuge's primary function is density-based mixture separation.","Eliminated because coagulation is chemical clotting, not mechanical centrifugal action.","Eliminated because heating is a thermal function.","Eliminated because combustion is a burning reaction.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Function analogy | Very Difficult | Batch 058"
"ALTIMETER: ELEVATION:: GALVANOMETER: ______","CURRENT","RESISTANCE","VOLTAGE","FREQUENCY","A","Step-by-Step Solution:
1. Analyze the functional measurement relationship in the initial word pair (ALTIMETER: ELEVATION):
 - An \""altimeter\"" is a cockpit navigational instrument whose dedicated FUNCTION is measuring vertical altitude or \""elevation\"".
 - Relationship: Instrument-to-primary measured parameter FUNCTION.
2. Determine the corresponding specific electrical parameter measured by a \""GALVANOMETER\"":
 - A \""galvanometer\"" is a sensitive electromagnetic transducer instrument whose dedicated function is the detection and measurement of small electrical \""current\"".
 - Therefore, GALVANOMETER is to CURRENT as ALTIMETER is to ELEVATION.
3. Evaluate incorrect alternatives:
 - Option B (Resistance): Measured by an ohmmeter.
 - Option C (Voltage): Measured by a voltmeter.
 - Option D (Frequency): Measured by a frequency counter or oscilloscope.

Common Trap: Confusing galvanometer (current detector) with voltmeter (potential difference) or ohmmeter (resistance).
Exam Tip: Altimeter functions to measure Elevation; Galvanometer functions to measure Current.","Correct. Survives elimination because an altimeter functions to measure elevation, just as a galvanometer functions to detect and measure electric current.","Eliminated because electrical resistance is measured by an ohmmeter.","Eliminated because electric potential difference (voltage) is measured by a voltmeter.","Eliminated because waveform frequency is measured by a frequency counter.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Function analogy | Very Difficult | Batch 058"
"HERBICIDE: ERADICATION:: PRESERVATIVE: ______","CONSERVATION","FERMENTATION","OXIDATION","DETERIORATION","A","Step-by-Step Solution:
1. Analyze the functional intent in the initial word pair (HERBICIDE: ERADICATION):
 - A \""herbicide\"" is an agrochemical agent whose targeted FUNCTION is the \""eradication\"" or elimination of destructive weeds.
 - Relationship: Chemical agent-to-intended protective/regulatory FUNCTION.
2. Determine the corresponding intended primary function of a chemical \""PRESERVATIVE\"":
 - A \""preservative\"" is a chemical additive whose targeted primary function is the \""conservation\"" and prolonged preservation of organic matter against microbial decay.
 - Therefore, PRESERVATIVE is to CONSERVATION as HERBICIDE is to ERADICATION.
3. Evaluate incorrect alternatives:
 - Option B (Fermentation): Metabolic decomposition process induced by microorganisms.
 - Option C (Oxidation): A chemical degradation process that preservatives often actively inhibit (antioxidants).
 - Option D (Deterioration): Spoilage and breakdown, which preservatives function to prevent.

Common Trap: Selecting deterioration or oxidation, which are the adverse conditions a preservative resists.
Exam Tip: Herbicide functions for Eradication; Preservative functions for Conservation.","Correct. Survives elimination because a herbicide functions to achieve weed eradication, while a preservative functions to achieve material conservation and shelf-life protection.","Eliminated because fermentation is a microbial breakdown process.","Eliminated because oxidation is a degradation pathway inhibited by preservatives.","Eliminated because deterioration is the decay outcome that preservatives counteract.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Function analogy | Very Difficult | Batch 058"
"RUDDER: STEERING:: BALLAST: ______","STABILIZATION","PROPULSION","ANCHORAGE","ACCELERATION","A","Step-by-Step Solution:
1. Analyze the nautical engineering function in the initial word pair (RUDDER: STEERING):
 - A \""rudder\"" is a hydro/aerodynamic control plane whose primary mechanical FUNCTION is directional \""steering\"".
 - Relationship: Navigational component-to-primary operating FUNCTION.
2. Determine the corresponding operational function of marine \""BALLAST\"":
 - \""Ballast\"" consists of heavy material or water tanks placed in the lower hull of a vessel whose primary function is dynamic \""stabilization\"" and maintaining equilibrium/buoyancy.
 - Therefore, BALLAST is to STABILIZATION as RUDDER is to STEERING.
3. Evaluate incorrect alternatives:
 - Option B (Propulsion): The motive drive function provided by engines, propellers, or sails.
 - Option C (Anchorage): The stationary mooring function provided by an anchor.
 - Option D (Acceleration): The rate of velocity increase provided by engines.

Common Trap: Confusing ballast (weight for balance/stability) with anchors (mooring) or propellers (propulsion).
Exam Tip: Rudder provides Steering; Ballast provides Stabilization.","Correct. Survives elimination because a rudder's primary mechanical function is steering, while ballast's primary mechanical function is vessel stabilization.","Eliminated because propulsion is the motive function of an engine or propeller.","Eliminated because anchorage is the stationary mooring function of an anchor.","Eliminated because acceleration is a motive thrust outcome.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Function analogy | Very Difficult | Batch 058"
"EPITAPH: COMMEMORATION:: PROLOGUE: ______","ORIENTATION","CONCLUSION","RATIFICATION","SUMMATION","A","Step-by-Step Solution:
1. Analyze the literary/rhetorical function in the initial word pair (EPITAPH: COMMEMORATION):
 - An \""epitaph\"" is an inscribed commemorative text on a tombstone whose primary expressive FUNCTION is solemn \""commemoration\"" of a deceased person.
 - Relationship: Textual genre-to-intended rhetorical FUNCTION.
2. Determine the corresponding rhetorical function of a dramatic or literary \""PROLOGUE\"":
 - A \""prologue\"" is an introductory discourse placed at the beginning of a literary work whose primary function is audience \""orientation\"" and providing background context.
 - Therefore, PROLOGUE is to ORIENTATION as EPITAPH is to COMMEMORATION.
3. Evaluate incorrect alternatives:
 - Option B (Conclusion): The closing resolution function performed by an epilogue.
 - Option C (Ratification): Formal legislative confirmation.
 - Option D (Summation): A concise recapitulation of arguments.

Common Trap: Selecting conclusion or summation, which are functions of concluding epilogues rather than introductory prologues.
Exam Tip: Epitaph functions for Commemoration; Prologue functions for Orientation.","Correct. Survives elimination because an epitaph functions to provide commemoration, while a prologue functions to provide introductory narrative orientation.","Eliminated because conclusion is the ending function of an epilogue.","Eliminated because ratification is an administrative confirmation.","Eliminated because summation is an end-of-text review.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Function analogy | Very Difficult | Batch 058"
"SUTURE: CLOSURE:: GAUZE: ______","ABSORPTION","INCISION","STERILIZATION","DISSECTION","A","Step-by-Step Solution:
1. Analyze the medical/surgical function in the initial word pair (SUTURE: CLOSURE):
 - A \""suture\"" is a surgical thread/stitch whose primary medical FUNCTION is anatomical wound \""closure\"" and tissue approximation.
 - Relationship: Surgical material-to-primary therapeutic FUNCTION.
2. Determine the corresponding primary medical function of surgical \""GAUZE\"":
 - \""Gauze\"" is a sterile woven fabric dressing whose primary clinical function is fluid/exudate \""absorption\"" and protective wound coverage.
 - Therefore, GAUZE is to ABSORPTION as SUTURE is to CLOSURE.
3. Evaluate incorrect alternatives:
 - Option B (Incision): The cutting action performed by a surgical scalpel.
 - Option C (Sterilization): The decontamination process performed by an autoclave.
 - Option D (Dissection): The anatomical separating procedure performed with surgical shears and forceps.

Common Trap: Selecting incision or dissection, which are surgical cutting actions rather than material dressing functions.
Exam Tip: Suture functions for Wound Closure; Gauze functions for Fluid Absorption.","Correct. Survives elimination because a suture's clinical function is wound closure, while surgical gauze's clinical function is fluid absorption and protective dressing.","Eliminated because an incision is the cutting function of a scalpel.","Eliminated because sterilization is an equipment decontamination process.","Eliminated because dissection is the separating action of surgical scissors.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Function analogy | Very Difficult | Batch 058"
"FILTER: PURIFICATION:: CATALYTIC CONVERTER: ______","DETOXIFICATION","COMBUSTION","REFRIGERATION","LUBRICATION","A","Step-by-Step Solution:
1. Analyze the engineering environmental function in the initial word pair (FILTER: PURIFICATION):
 - A \""filter\"" is an apparatus whose primary environmental/mechanical FUNCTION is fluid \""purification\"" by removing particulates and impurities.
 - Relationship: Environmental engineering device-to-primary operating FUNCTION.
2. Determine the corresponding operational function of an automotive \""CATALYTIC CONVERTER\"":
 - A \""catalytic converter\"" is an exhaust emission control device whose primary function is chemical \""detoxification\"" (converting toxic exhaust gases like carbon monoxide and nitrogen oxides into less harmful carbon dioxide and water).
 - Therefore, CATALYTIC CONVERTER is to DETOXIFICATION as FILTER is to PURIFICATION.
3. Evaluate incorrect alternatives:
 - Option B (Combustion): The fuel-burning power generation function taking place inside the engine cylinder chambers.
 - Option C (Refrigeration): The cooling function provided by air conditioning systems.
 - Option D (Lubrication): The friction-reducing function provided by engine oil.

Common Trap: Associating catalytic converters with combustion (which happens before the converter in the engine).
Exam Tip: Filter provides Purification; Catalytic Converter provides Emission Detoxification.","Correct. Survives elimination because a filter functions to achieve fluid purification, while a catalytic converter functions to achieve exhaust gas detoxification.","Eliminated because combustion occurs within the engine cylinder block.","Eliminated because refrigeration is a thermal cooling process.","Eliminated because lubrication is the friction-reducing role of motor oil.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Function analogy | Very Difficult | Batch 058"
