"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 9 of Republic Act No. 6713 and Rule IX of its Implementing Rules, how is 'DIVESTMENT' legally defined in the Philippine Civil Service?","The transfer of title or disposal of interest in property by VOLUNTARILY, COMPLETELY, AND UNCONDITIONALLY DEPRIVING ONESELF of the right to or title in favor of a person or persons OTHER THAN HIS SPOUSE AND RELATIVES WITHIN THE FOURTH CIVIL DEGREE of consanguinity or affinity.","Transferring corporate shares to a spouse with a written secret agreement to return the shares upon retirement.","Selling 1% of company shares while retaining 99% voting control on the corporate board of directors.","Signing an informal memorandum transferring corporate shares to an anonymous offshore numbered account.","A","Step-by-Step Solution:
1. Statutory Text & Rule Definition:
 - RA 6713, Section 9: 'Divestment shall be to a person or persons OTHER THAN HIS SPOUSE AND RELATIVES WITHIN THE FOURTH CIVIL DEGREE of consanguinity or affinity.'
 - Rule IX, Section 1 of the IRR of RA 6713:
 'Divestment is the transfer of title or disposal of interest in property by VOLUNTARILY, COMPLETELY AND UNCONDITIONALLY DEPRIVING ONESELF OF THE RIGHT TO OR TITLE IN FAVOR OF A PERSON OR PERSONS OTHER THAN HIS SPOUSE AND RELATIVES WITHIN THE FOURTH CIVIL DEGREE OF CONSANGUINITY OR AFFINITY.'
2. Essential Elements of Legal Divestment:
 - 1. Voluntary, Complete, and Unconditional: Absolute parting of ownership; no buyback options, no retained beneficial rights, no secret shareholder pacts.
 - 2. Strict Recipient Restriction: MUST be to an independent third party outside the 4th ° of consanguinity or affinity (spouses, children, parents, siblings, first cousins are BANNED recipients).
 - 3. Timeline: Within SIXTY (60) DAYS from assumption of office.
3. Option A is the verbatim statutory and IRR definition.

Common Trap: Believing transferring shares to a child or spouse is divestment; the law EXPLICITLY BARS transfers to spouses and relatives within the 4th civil °.
Exam Tip: Legal Divestment (RA 6713, Sec. 9) = VOLUNTARY, COMPLETE, AND UNCONDITIONAL disposal of title to an INDEPENDENT 3RD PARTY (Excludes spouse & 4th ° relatives).","Correct. Survives elimination because Section 9 of RA 6713 and Rule IX of its IRR explicitly define divestment as the voluntary, complete, and unconditional disposal of property title to a person other than the official's spouse and fourth-° relatives.","Eliminated because secret buyback pacts with a spouse constitute sham transfers prohibited by Section 9.","Eliminated because retaining 99% voting control fails the statutory requirement of complete and unconditional disposal.","Eliminated because transferring shares to anonymous offshore accounts is illegal concealment and money laundering.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Divestment | Very Difficult | Batch 168"
"Under Section 9 of RA 6713, what is the crucial distinction between the STATUTORY DEADLINE FOR RESIGNATION from private business posts and the STATUTORY DEADLINE FOR DIVESTMENT of corporate shares?","RESIGNATION from any position in a private business enterprise must occur within THIRTY (30) DAYS from assumption of office, whereas DIVESTMENT of shareholdings or business interest must occur within SIXTY (60) DAYS from assumption of office.","Resignation is within 60 days, while divestment is within 30 days.","Both resignation and divestment must occur within 24 hours of taking the civil service exam.","Resignation is mandatory within five years, while divestment is completely optional.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 9:
 'A public official or employee shall avoid conflicts of interest at all ×. When a conflict of interest arises, he shall:
 (1) RESIGN from his position in any private business enterprise WITHIN THIRTY (30) DAYS FROM HIS ASSUMPTION OF OFFICE; and/or
 (2) DIVEST himself of his shareholdings or interest WITHIN SIXTY (60) DAYS FROM SUCH ASSUMPTION.'
2. The Policy Rationale Behind the Two Timelines:
 - 1. Resignation (30 Days): Resigning from managerial roles (CEO, Board Director, President, Consultant) is an immediate administrative act that requires only formal board resignation within 30 days of taking the oath of public office.
 - 2. Divestment (60 Days): Selling private equity shares, executing stock sale agreements, securing regulatory clearance (BIR CAR/eCAR), and finding independent third-party commercial buyers requires commercial negotiation; hence the law provides a reasonable 60-day window.
3. Option A is the precise, verbatim statutory distinction.

Common Trap: Inverting the 30-day and 60-day deadlines; RESIGNATION is within 30 DAYS, and DIVESTMENT is within 60 DAYS.
Exam Tip: RA 6713, Sec. 9 Deadlines = RESIGN from private corporate positions within 30 DAYS; DIVEST shareholdings/equity within 60 DAYS from assumption of office.","Correct. Survives elimination because Section 9 of RA 6713 explicitly prescribes a 30-day deadline for resigning from private business positions and a 60-day deadline for divesting corporate shareholdings from assumption of office.","Eliminated because inverting the deadlines contradicts the explicit statutory text of Section 9.","Eliminated because the 30/60-day clock begins upon assumption of public office, not exam dates.","Eliminated because divestment is a mandatory statutory obligation, not an optional multi-year choice.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Divestment | Very Difficult | Batch 168"
"Under Rule IX, Section 3 of the IRR of RA 6713, what must a public official SUBMIT TO THE HEAD OF OFFICE AND REPOSITORY AGENCY after completing the divestment of shares or business interest?","A formal WRITTEN NOTICE AND CERTIFIED TRUE COPIES OF THE DEED OF SALE / CONVEYANCE proving the bona fide, complete, and unconditional transfer of ownership to an eligible third party, submitted within THIRTY (30) DAYS after the divestment took place.","A verbal telephone call made to the agency telephone operator during lunch break.","A photograph of the official shaking hands with the corporate board of directors.","A signed promise to buy back the corporate shares after the official's public term ends.","A","Step-by-Step Solution:
1. Rule Authority: Rule IX, Section 3, Implementing Rules and Regulations of RA 6713:
 'Proof of Divestment. — A public official or employee who has divested himself of his shareholdings or interest in any private business enterprise SHALL, WITHIN THIRTY (30) DAYS AFTER SUCH DIVESTMENT, SUBMIT TO THE OFFICE OF THE OMBUDSMAN AND/OR THE CIVIL SERVICE COMMISSION, AND TO THE HEAD OF HIS DEPARTMENT, OFFICE OR AGENCY, A COPY OF THE DEED OF SALE OR TRANSFER OF HIS TITLE OR INTEREST.'
2. Documentary Requirements of Valid Divestment Compliance:
 - 1. Certified Copy of Deed of Absolute Sale / Deed of Assignment showing arm's-length consideration and transfer of title.
 - 2. Proof of Identity of Transferee: Demonstrating that the buyer is NOT a spouse or relative within the 4th civil ° of consanguinity or affinity.
 - 3. Official SEC / Corporate Secretary Certificate recording the cancellation of the official's stock certificate and issuance to the new buyer.
 - 4. Submission Deadline: Within 30 DAYS after the execution of the divestment.
3. Option A is the precise administrative requirement.

Common Trap: Thinking divestment can be kept secret without proof; the official MUST SUBMIT CERTIFIED PROOF OF SALE to the agency head and repository within 30 days of the sale.
Exam Tip: Proof of Divestment = Submit certified DEED OF SALE / TRANSFER to Head of Office and Ombudsman/CSC within 30 DAYS of the divestment.","Correct. Survives elimination because Rule IX, Section 3 of the IRR of RA 6713 mandates that public officials must submit certified true copies of the deed of sale or transfer proving complete divestment to their agency head and repository within 30 days of the transaction.","Eliminated because oral phone calls lack legal validity and documentary proof of property transfer.","Eliminated because handshake photos do not constitute certified legal deeds of conveyance.","Eliminated because buyback agreements violate the unconditional nature of statutory divestment under Section 9.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Divestment | Very Difficult | Batch 168"
"A newly elected City Mayor owns 80% of a private commercial waste management corporation that currently holds a 5-year contract with the City Government. To 'comply' with Section 9 of RA 6713, the Mayor executes a Deed of Donation transferring the 80% shares to his TWENTY-TWO-YEAR-OLD SON. Is this divestment VALID under RA 6713?","NO, because Section 9 of RA 6713 and its Implementing Rules explicitly PROHIBIT divesting or transferring shares to a child (a relative in the first civil ° of consanguinity), rendering the purported divestment NULL AND VOID.","YES, because children over eighteen years of age are completely independent legal persons under the Family Code.","YES, provided the son signs an affidavit promising never to visit City Hall during daytime.","YES, because donations to children are automatically exempt from civil service ethics laws.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 9, 2nd paragraph:
 'Divestment shall be to a person or persons OTHER THAN HIS SPOUSE AND RELATIVES WITHIN THE FOURTH CIVIL DEGREE OF CONSANGUINITY OR AFFINITY.'
2. Analysis of the Scenario:
 - 1. Degree of Consanguinity: A son (whether minor or adult) is a direct relative in the FIRST (1st) CIVIL DEGREE of consanguinity.
 - 2. Absolute Statutory Prohibition: The law explicitly bars divestment to relatives up to the FOURTH civil ° (1st °: children/parents; 2nd: siblings/grandchildren; 3rd: uncles/nieces; 4th: first cousins).
 - 3. Continued Financial Conflict: Transferring a waste management company that transacts with the city government to the mayor's own son preserves family enrichment and corrupt favoritism.
 - 4. Legal Result: The divestment is NULL AND VOID, and the Mayor is administratively liable for Gross Misconduct and criminally liable under Section 11 of RA 6713 and RA 3019.
3. Option A is the precise, correct legal conclusion.

Common Trap: Thinking an adult child is exempt because they are 18+; the divestment ban covers ALL children and relatives within the 4th °, REGARDLESS OF AGE.
Exam Tip: Divestment to Children (Regardless of Age) = STRICTLY PROHIBITED AND VOID under RA 6713, Sec. 9 (First ° of consanguinity).","Correct. Survives elimination because Section 9 of RA 6713 categorically outlaws divesting to relatives within the fourth civil ° of consanguinity, rendering the transfer of shares to a son (1st °) null and void.","Eliminated because the Age of Majority under the Family Code does not override the explicit statutory prohibition of Section 9.","Eliminated because informal affidavits regarding visiting hours cannot cure an illegal sham divestment.","Eliminated because inter-family property donations are strictly prohibited from serving as statutory divestment under RA 6713.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Divestment | Very Difficult | Batch 168"
"Under Section 9 of RA 6713, who among the following government workers is EXEMPT from the mandatory requirement of DIVESTMENT?","Those who serve the government in an HONORARY CAPACITY, laborers, and casual or temporary workers.","Undersecretaries and Assistant Secretaries of national departments.","City and Municipal Mayors and Provincial Governors.","Bids and Awards Committee (BAC) Chairpersons.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 9, 3rd paragraph:
 'The requirement of divestment SHALL NOT APPLY TO THOSE WHO SERVE THE GOVERNMENT IN AN HONORARY CAPACITY, FOR LABORERS AND CASUAL OR TEMPORARY WORKERS.'
2. Rationale for the Divestment Exemption:
 - 1. Honorary Officials: Private citizens serving without government salary or compensation on advisory bodies who do not exercise statutory regulatory authority.
 - 2. Laborers & Casual/Temporary Workers: Non-career manual laborers with no policy-making, regulatory, procurement, or discretionary authority.
 - 3. Non-Exempt Positions: All regular career civil servants, directors, department executives, and elective officials (Options B, C, and D) MUST DIVEST whenever a conflict of interest arises.
3. Option A matches the statutory text verbatim.

Common Trap: Believing elective officials are exempt from divestment; elective officials (Mayors, Governors) are FULLY SUBJECT TO MANDATORY DIVESTMENT.
Exam Tip: Divestment Exemptions (RA 6713, Sec. 9) = (1) Honorary capacity, (2) Laborers, and (3) Casual or Temporary workers.","Correct. Survives elimination because Section 9 of RA 6713 explicitly provides that the requirement of divestment does not apply to individuals serving in an honorary capacity, laborers, and casual or temporary workers.","Eliminated because department undersecretaries and assistant secretaries are high-ranking executives strictly subject to mandatory divestment.","Eliminated because local chief executives (mayors and governors) are bound by the statutory divestment rules of Section 9.","Eliminated because BAC chairpersons exercise direct procurement authority and must divest conflicting business interests.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Divestment | Very Difficult | Batch 168"
"What constitutes an 'ARM'S-LENGTH TRANSACTION' in the execution of mandatory divestment under civil service ethics?","A transaction conducted in good faith between independent, unrelated parties where the price reflects FAIR MARKET VALUE and neither party exercises undue influence, control, or secret beneficial arrangements over the other.","A transaction where the seller physically extends their right arm to hand over a single peso coin.","A transaction conducted under the cover of darkness during a municipal power outage.","A simulated deed of assignment executed in favor of the seller's domestic household maid.","A","Step-by-Step Solution:
1. Commercial & Ethical Principles in Divestment:
 - 1. Concept of Arm's-Length: An established legal standard requiring that a transaction be entered into by independent, willing buyers and sellers acting in their own self-interest, with no familial collusion, dummy control, or artificial price manipulation.
 - 2. Fair Market Value Consideration: The selling price must reflect the true economic value of the shares (as verified by audited financial statements or stock exchange valuations).
 - 3. Prohibition on Dummy Fronts: Transferring shares for a token price to a subordinate employee, household staff, or close associate while retaining beneficial dividends violates the arm's-length requirement and constitutes Gross Dishonesty and Fraud.
2. Option A is the precise, standard legal definition.

Common Trap: Thinking any piece of paper with a price tag is valid; divestment requires a GENUINE ARM'S-LENGTH TRANSACTION at fair market value to an independent third party.
Exam Tip: Arm's-Length Divestment = Good-faith transaction at FAIR MARKET VALUE to an independent, unrelated buyer without retained control.","Correct. Survives elimination because legal divestment requires a bona fide arm's-length transaction at fair market value with an independent third party, free from dummy arrangements or retained beneficial control.","Eliminated because literal physical arm gestures are irrelevant to the substantive legal concept of an arm's-length commercial transaction.","Eliminated because nighttime transactions do not satisfy statutory transparency and fair market standards.","Eliminated because using household staff as dummy transferees is a fraudulent simulated transfer prohibited by civil service laws.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Divestment | Very Difficult | Batch 168"
"A newly appointed Commissioner of the Energy Regulatory Commission (ERC) owns PHP 50 Million worth of shares in a major private electricity power distribution company. If the Commissioner REFUSES to resign from the power company's advisory board and REFUSES to divest the shares after 90 days, what legal liabilities are incurred under Section 11 of RA 6713?","The Commissioner is administratively liable for GRAVE MISCONDUCT AND WILLFUL VIOLATION OF RA 6713 punishable by MANDATORY DISMISSAL FROM PUBLIC SERVICE with perpetual disqualification, and is CRIMINALLY LIABLE for imprisonment of up to five (5) years and a fine.","The Commissioner is rewarded with a 50% increase in government representation allowance.","The Commissioner is granted an automatic ten-year extension of tenure by the Civil Service Commission.","The Commissioner incurs zero liability because holding shares in regulated companies is an executive privilege.","A","Step-by-Step Solution:
1. Statutory Text & Penalties:
 - Section 9, RA 6713: Mandatory resignation within 30 days and divestment within 60 days.
 - Section 11(a), RA 6713 (Penalties):
 'Any violation of Section 7, 8 OR 9 OF THIS ACT SHALL BE PUNISHABLE WITH IMPRISONMENT NOT EXCEEDING FIVE (5) YEARS, or a fine not exceeding five thousand pesos (P5,000), or both, and, in the discretion of the court of competent jurisdiction, DISQUALIFICATION TO HOLD PUBLIC OFFICE.'
2. Schedule of Administrative Sanctions:
 - Refusal to resign and divest after 90 days is a deliberate, willful defiance of Section 9.
 - Offenses: GRAVE MISCONDUCT, Gross Insubordination, and Conduct Prejudicial to the Best Interest of the Service.
 - Penalty: MANDATORY DISMISSAL FROM SERVICE, cancellation of eligibility, and forfeiture of all retirement benefits.
3. Criminal Prosecution: Filed before the Sandiganbayan.
4. Option A is the complete, accurate legal consequence.

Common Trap: Believing divestment non-compliance is only a light offense; willful refusal to divest is a GRAVE OFFENSE carrying MANDATORY DISMISSAL and up to 5 YEARS IMPRISONMENT.
Exam Tip: Willful Refusal to Divest (RA 6713, Sec. 9 & 11) = MANDATORY DISMISSAL + Perpetual Disqualification + Imprisonment up to 5 YEARS.","Correct. Survives elimination because Section 11 of RA 6713 attaches severe administrative penalties—culminating in mandatory dismissal and perpetual disqualification—alongside criminal imprisonment of up to five years for failing to comply with Section 9 divestment.","Eliminated because ethical defiance results in administrative removal, not increased allowances.","Eliminated because civil service laws enforce strict removal sanctions rather than tenure extensions for corrupt non-compliance.","Eliminated because owning equity in regulated utilities creates a direct, illegal conflict of interest under Section 7 and 9.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Divestment | Very Difficult | Batch 168"
"Why does Section 9 of RA 6713 require that divestment must result in 'COMPLETELY AND UNCONDITIONALLY DEPRIVING ONESELF' of all rights, dividends, and control over the divested business enterprise?","Because retaining any conditional right of repurchase, dividend rights, or informal advisory control keeps the public official's private financial prosperity tied to the business, defeating the anti-corruption purpose of eliminating conflicts of interest.","Because the law aims to bankrupt all private businesses in the Philippines.","Because public servants are prohibited from owning any lawful personal savings or clothing.","Because corporate dividends are legally declared contraband under the Revised Penal Code.","A","Step-by-Step Solution:
1. Anti-Corruption Philosophy of Divestment (Section 9, RA 6713 & Rule IX, IRR):
 - The Purpose of Total Separation:
 - The sole statutory reason for demanding divestment is to CUT THE FINANCIAL UMBILICAL CORD between the regulator and the regulated private business.
 - If an official sells shares but retains an option to buy them back at the same price when leaving office, or continues to receive secret 'consulting fees' / dividends, the official remains financially motivated to use public office power to grant regulatory favors, tax breaks, and contracts to that company.
 - Total, unconditional deprivation of rights and control ensures that the official's future wealth is completely detached from the company's financial performance.
2. Option A captures this foundational public administration doctrine accurately.

Common Trap: Thinking an official can retain dividend rights after selling stock; divestment MUST BE TOTAL AND UNCONDITIONAL—no retained dividends or repurchase options.
Exam Tip: Unconditional Divestment = Complete severance of all financial dividends, voting rights, and buyback options to eliminate corrupt incentives.","Correct. Survives elimination because Section 9 requires complete and unconditional divestment to eliminate any retained financial interest or buyback leverage, ensuring that the official's public decisions cannot be tainted by private business gains.","Eliminated because the Philippine Constitution and economic statutes protect legitimate private enterprise while regulating conflicts of interest.","Eliminated because public servants have the legal right to lawful personal savings and assets.","Eliminated because corporate dividends from lawful independent investments are standard legal income, not contraband.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Divestment | Very Difficult | Batch 168"
"A Regional Director of the Department of Public Works and Highways (DPWH) owns a 40% partnership interest in a local asphalt paving company that bids on DPWH regional road projects. To satisfy Section 9 of RA 6713, the Director enters into a contract selling his partnership interest to his FIRST COUSIN. Is this divestment compliant with the law?","NO, because a first cousin is a relative in the FOURTH CIVIL DEGREE of consanguinity, and Section 9 explicitly prohibits divesting to relatives within the fourth civil °.","YES, because first cousins are distant relatives who are completely exempt from all civil service ethical prohibitions.","YES, provided the first cousin is an accredited civil engineer.","YES, because partnership shares are legally exempt from the divestment rules of RA 6713.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 9, 2nd paragraph:
 'Divestment shall be to a person or persons other than his spouse and RELATIVES WITHIN THE FOURTH CIVIL DEGREE OF CONSANGUINITY OR AFFINITY.'
2. Calculation of Civil Degrees of Consanguinity:
 - Propositus (Director) -> Parent (1 °) -> Grandparent (2 degrees) -> Aunt/Uncle (3 degrees) -> First Cousin (4 degrees).
 - A FIRST COUSIN is a collateral relative in the FOURTH (4th) DEGREE of consanguinity.
3. Legal Evaluation:
 - Because Section 9 specifically extends the prohibition up to and including the 4TH CIVIL DEGREE, divesting to a first cousin is a DIRECT STATUTORY VIOLATION.
 - The transfer is void for the purpose of curing the conflict of interest.
 - The Director remains in active violation of Section 9 and Section 7(a) of RA 6713.
4. Option A is the precise legal calculation and holding.

Common Trap: Forgetting how far the 4th ° extends; the 4th ° covers FIRST COUSINS, grand-uncles/aunts, and grand-nephews/nieces.
Exam Tip: 4th Civil Degree (Consanguinity/Affinity) = Includes FIRST COUSINS; Divestment to a first cousin is STRICTLY PROHIBITED under RA 6713, Sec. 9.","Correct. Survives elimination because a first cousin is a relative in the fourth civil ° of consanguinity, and Section 9 of RA 6713 explicitly bans divesting shareholdings or business interests to relatives within the fourth °.","Eliminated because first cousins are explicitly within the statutory fourth-° prohibition of Section 9.","Eliminated because professional engineering qualifications do not override the statutory family relationship disqualification.","Eliminated because partnership interests are explicitly included in the definition of business interests requiring divestment under Section 3(i) and Section 9.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Divestment | Very Difficult | Batch 168"
"What is the legal effect on a government contract when a public official fails to divest from a private company and uses their official authority to award that government contract to the company?","The contract is NULL AND VOID for being contrary to law and public policy, the public funds disbursed are subject to MANDATORY COA DISALLOWANCE and restitution, and the official faces criminal prosecution for GRAFT AND PLUNDER.","The contract is declared valid and enforceable for fifty years.","The official is granted a 10% management bonus by the Commission on Audit.","The private company is granted permanent tax exemption by operation of law.","A","Step-by-Step Solution:
1. Constitutional & Statutory Synergy:
 - Article 1409, Civil Code: Contracts whose cause, object, or purpose is contrary to law, morals, good customs, public order, or public policy are VOID AB INITIO (Null and Void from the beginning).
 - Section 7(a) & 9, RA 6713 (Prohibited Financial Interest & Mandatory Divestment).
 - Section 3(e), (g), & (h), RA 3019 (Anti-Graft and Corrupt Practices Act: entering into contracts manifestly disadvantageous to the government / unlawful financial interest).
2. Legal Consequences:
 - 1. Contractual Nullity: The government contract is completely void; neither party can enforce it.
 - 2. COA Audit Disallowance: The Commission on Audit issues a Notice of Disallowance (ND) ordering the public official, the Bids and Awards Committee, and the private firm to solidarily REFUND AND RETURN 100% of all public funds paid.
 - 3. Criminal & Administrative Sanctions: Prosecution before the Sandiganbayan (imprisonment of 6 to 10 years or Plunder life imprisonment) and administrative DISMISSAL FROM SERVICE.
3. Option A is the complete, accurate legal consequence.

Common Trap: Believing the contract remains valid if the work was completed; contracts executed in violation of anti-graft and conflict-of-interest statutes are VOID AB INITIO and subject to COA disallowance.
Exam Tip: Contracts awarded to non-divested official's business = VOID AB INITIO + COA Disallowance & Restitution + Criminal Graft/Plunder.","Correct. Survives elimination because contracts executed in violation of mandatory divestment and anti-graft statutes are void ab initio under civil law, triggering COA audit disallowances and criminal graft/plunder prosecution.","Eliminated because illegal contracts cannot be validated or enforced in Philippine courts.","Eliminated because COA issues audit disallowances demanding refunds, not management bonuses.","Eliminated because illegal contracts cannot generate lawful tax exemptions.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Divestment | Very Difficult | Batch 168"
