"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Piliin ang pangungusap na may WASTONG GAMIT ng 'NG' at 'NANG' ayon sa Balarila ng Wikang Filipino.","Nag-aral nang masigasig ang kawani upang makapasa sa pagsusulit ng Komisyon sa Serbisyo Sibil.","Nag-aral ng masigasig ang kawani upang makapasa sa pagsusulit nang Komisyon sa Serbisyo Sibil.","Nag-aral ng masigasig ang kawani upang makapasa sa pagsusulit ng Komisyon sa Serbisyo Sibil.","Nag-aral nang masigasig ang kawani upang makapasa sa pagsusulit nang Komisyon sa Serbisyo Sibil.","A","Step-by-Step Solution:
1. Tuntunin sa 'NANG':
 - Ginagamit bilang pang-abay na pamaraan (sumasagot sa tanong na 'paano': 'nag-aral nang masigasig').
 - Ginagamit sa pagitan ng inuulit na pandiwa ('takbo nang takbo').
 - Katumbas ng 'noong' o 'upang' ('nang dumating siya', 'mag-aral nang makapasa').
2. Tuntunin sa 'NG':
 - Ginagamit bilang pantukoy ng layon ng pandiwa o tagaganap ('pagsusulit ng Komisyon').
 - Ginagamit bilang pang-ukol na nagpapahiwatig ng pagmamay-ari.
3. Pagsusuri sa Option A:
 - 'Nag-aral nang masigasig' -> TAMA ('nang' bilang pang-abay na pamaraan).
 - 'pagsusulit ng Komisyon' -> TAMA ('ng' bilang pantukoy ng pagmamay-ari).
4. Option A ang may 100% wastong paggamit.

Common Trap: Paggamit ng 'ng' bago ang pang-abay na naglalarawan ng paraan ng kilos ('nag-aral ng mabilis' sa halip na 'nag-aral nang mabilis').
Exam Tip: Tandaan: Paano ginawa ang kilos? -> 'NANG' (nang mabilis, nang maayos, nang tapat). Sino o ano ang pagmamay-ari? -> 'NG' (batas ng bansa, mesa ng guro).","Correct. 'Nang' ay wastong ginamit bilang pang-abay na pamaraan ('nang masigasig'), at 'ng' bilang pang-ukol ng pagmamay-ari ('ng Komisyon').","Eliminated dahil mali ang 'ng masigasig' (dapat nang) at 'nang Komisyon' (dapat ng).","Eliminated dahil mali ang 'ng masigasig' (dapat nang).","Eliminated dahil mali ang 'nang Komisyon' (dapat ng).","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng salita sa Filipino | Difficult | Batch VA-013"
"Alin sa mga sumusunod na pangungusap ang may WASTONG GAMIT ng 'DIN/RIN' at 'DAW/RAW'?","Sasama raw si Maria sa delegasyon dahil handa na rin ang kanyang mga dokumento.","Sasama daw si Maria sa delegasyon dahil handa na din ang kanyang mga dokumento.","Sasama raw si Maria sa delegasyon dahil handa na din ang kanyang mga dokumento.","Sasama daw si Maria sa delegasyon dahil handa na rin ang kanyang mga dokumento.","A","Step-by-Step Solution:
1. Tuntunin sa 'RIN/RAW' vs. 'DIN/DAW':
 - Ginagamit ang 'RIN' at 'RAW' kapag ang sinusundang salita ay nagtatapos sa PATINIG (A, E, I, O, U) o malapatinig (W, Y).
 - Ginagamit ang 'DIN' at 'DAW' kapag ang sinusundang salita ay nagtatapos sa KATINIG (maliban sa W at Y).
2. Pagsusuri:
 - 'Sasama' -> nagtatapos sa patinig na 'A' -> dapat 'RAW' ('Sasama raw').
 - 'handa na' -> 'na' ay nagtatapos sa patinig na 'A' -> dapat 'RIN' ('handa na rin').
3. Option A ('Sasama raw... handa na rin') ang 100% tumpak.

Common Trap: Paggamit ng 'din/daw' pagkatapos ng mga salitang nagtatapos sa patinig tulad ng 'ako din', 'siya daw', 'na din'.
Exam Tip: Patinig o W/Y sa dulo? -> Gamitin ang may letrang R ('rin', 'raw', 'rito', 'roon'). Katinig sa dulo? -> Gamitin ang may letrang D ('din', 'daw', 'dito', 'doon').","Correct. Ang 'Sasama' at 'na' ay nagtatapos sa patinig (A), kaya wastong ginamit ang 'raw' at 'rin'.","Eliminated dahil gumamit ng 'daw' at 'din' pagkatapos ng mga salitang nagtatapos sa patinig.","Eliminated dahil mali ang 'din' pagkatapos ng patinig na 'na'.","Eliminated dahil mali ang 'daw' pagkatapos ng patinig na 'Sasama'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng salita sa Filipino | Difficult | Batch VA-013"
"Piliin ang pangungusap na may WASTONG GAMIT ng 'MAY' at 'MAYROON'.","May bagong patakaran ang pamahalaan, at mayroon ding sapat na pondo para rito.","Mayroong bagong patakaran ang pamahalaan, at may ding sapat na pondo para rito.","Mayroong bagong patakaran ang pamahalaan, at mayroon ding sapat na pondo para rito.","May bagong patakaran ang pamahalaan, at may ding pondo para rito.","A","Step-by-Step Solution:
1. Tuntunin sa 'MAY':
 - Ginagamit kapag ang kasunod na salita ay Pangngalan ('may patakaran'), Pang-uri ('may bagong patakaran'), Pandiwa ('may dumating'), o Panghalip Paari ('may kani-kanyang gamit').
2. Tuntunin sa 'MAYROON':
 - Ginagamit kapag ang kasunod ay katagang paningit ('mayroon ding...', 'mayroon po'), Panghalip Panao ('mayroon kaming...'), o kapag sumasagot nang mag-isa ('May pondo ba? Mayroon.').
3. Pagsusuri sa Option A:
 - 'May bagong patakaran' -> TAMA ('may' bago ang pang-uri/pangngalan).
 - 'mayroon ding' -> TAMA ('mayroon' bago ang katagang paningit na 'ding').
4. Option A ang tumpak.

Common Trap: Paggamit ng 'mayroong' bago ang simpleng pangngalan kung saan sapat na ang 'may'.
Exam Tip: Tandaan: May + Pangngalan/Pang-uri/Pandiwa. Mayroon + Paningit/Panghalip Panao/Patanong.","Correct. 'May' ay wastong sinundan ng pang-uri ('bagong patakaran'), at 'mayroon' ay sinundan ng katagang paningit ('ding').","Eliminated dahil hindi maaaring gamitin ang 'may' bago ang paningit na 'ding'.","Eliminated dahil ang 'Mayroong bagong patakaran' ay hindi pormal (dapat 'May bagong patakaran').","Eliminated dahil mali ang 'may ding'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng salita sa Filipino | Difficult | Batch VA-013"
"Alin sa mga sumusunod ang may WASTONG GAMIT ng 'SILA' at 'SINA'?","Sina Gobernador Santos at Mayor Reyes ang nanguna sa pagpupulong, at sila ay nagpahayag ng buong suporta.","Sila Gobernador Santos at Mayor Reyes ang nanguna sa pagpupulong, at sina ay nagpahayag ng buong suporta.","Sila Gobernador Santos at Mayor Reyes ang nanguna sa pagpupulong, at sila ay nagpahayag ng buong suporta.","Sina Gobernador Santos at Mayor Reyes ang nanguna sa pagpupulong, at sina ay nagpahayag ng suporta.","A","Step-by-Step Solution:
1. Tuntunin sa 'SINA':
 - Ito ay maramihang PANTUKOY sa tiyak na ngalan ng tao ('sina Pedro at Juan', 'sina Gobernador Santos at Mayor Reyes').
2. Tuntunin sa 'SILA':
 - Ito ay PANGHALIP PANAO (pronoun) na humahalili sa maramihang ngalan ng tao ('sila ay nagpahayag').
3. Pagsusuri sa Option A:
 - 'Sina Gobernador Santos at Mayor Reyes' -> TAMA (pantukoy sa tiyak na mga tao).
 - 'at sila ay nagpahayag' -> TAMA (panghalip na humahalili sa kanila).
4. Option A ang 100% tama.

Common Trap: Paggamit ng panghalip na 'sila' bago ang mga tiyak na pangngalan ('Sila Juan at Pedro' sa halip na 'Sina Juan at Pedro').
Exam Tip: May sinusundang mga pangalan ng tao? -> 'SINA'. Humahalili nang walang binanggit na pangalan pagkatapos? -> 'SILA'.","Correct. 'Sina' ay wastong pantukoy sa mga tiyak na tao, at 'sila' ay ang panghalip na humalili sa kanila.","Eliminated dahil mali ang 'Sila Gobernador...' (dapat Sina) at mali ang 'sina ay' (dapat sila).","Eliminated dahil mali ang 'Sila Gobernador Santos...'.","Eliminated dahil mali ang 'sina ay nagpahayag'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng salita sa Filipino | Difficult | Batch VA-013"
"Piliin ang pangungusap na may WASTONG GAMIT ng 'KUNG' at 'KONG'.","Ipagbibigay-alam ko sa tanggapan kung matatapos ko na ang aking ulat bukas.","Ipagbibigay-alam ko sa tanggapan kong matatapos ko na ang aking ulat bukas.","Ipagbibigay-alam ko sa tanggapan kung matatapos kung na ang aking ulat bukas.","Ipagbibigay-alam ko sa tanggapan kong matatapos kung na ang aking ulat bukas.","A","Step-by-Step Solution:
1. Tuntunin sa 'KUNG':
 - Ito ay PANGATNIG na panubali (conditional conjunction katumbas ng 'if' o 'whether').
2. Tuntunin sa 'KONG':
 - Ito ay pinagsamang panghalip na 'ko' at pang-angkop na 'ng' ('ko + ng' = 'kong', halimbawa: 'ang aking kong ulat' o 'nais kong tumulong').
3. Pagsusuri: 'ipagbibigay-alam... KUNG matatapos...' -> nangangailangan ng pangatnig na panubali ('kung').
4. Option A ang tumpak.

Common Trap: Pagsulat ng 'kung' kapag ang ibig sabihin ay 'ko na' ('nais kung sabihin' sa halip na 'nais kong sabihin').
Exam Tip: Katumbas ng 'if'? -> 'KUNG'. Galing sa 'ko + ng' (my/I)? -> 'KONG' (nais kong kumain).","Correct. 'Kung' ay wastong ginamit bilang pangatnig na panubali (if/whether).","Eliminated dahil ang 'kong' ay panghalip na may pang-angkop, hindi pangatnig.","Eliminated dahil mali ang 'matatapos kung na'.","Eliminated dahil mali ang 'kong' sa panubali at 'kung' sa panghalip.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng salita sa Filipino | Difficult | Batch VA-013"
"Alin sa mga sumusunod ang may WASTONG GAMIT ng 'KINA' at 'KILA'?","Ipinadala ng kalihim ang opisyal na paanyaya kina Direktor Ramos at Atty. Cruz.","Ipinadala ng kalihim ang opisyal na paanyaya kila Direktor Ramos at Atty. Cruz.","Ipinadala ng kalihim ang opisyal na paanyaya kayla Direktor Ramos at Atty. Cruz.","Ipinadala ng kalihim ang opisyal na paanyaya kay Direktor Ramos at Atty. Cruz sila.","A","Step-by-Step Solution:
1. Tuntunin sa Balarila ng Wikang Filipino:
 - Ang 'KINA' ay ang pormal at tanging wastong maramihang anyo ng pantukoy na paukol ('kay' para sa isahan -> 'kina' para sa maramihan).
 - Ang 'kila' at 'kayla' ay itinuturing na MALI at kolokyal/balbal sa pormal na gramatika.
2. Option A ('kina Direktor Ramos at Atty. Cruz') ang tanging pormal at wastong anyo.

Common Trap: Paggamit ng 'kila' o 'kayla' dahil ito ang madalas marinig sa pang-araw-araw na salita.
Exam Tip: Walang salitang 'kila' o 'kayla' sa Balarilang Filipino. Ang maramihan ng 'kay' ay palaging 'KINA'.","Correct. 'Kina' ang tanging wastong pormal na maramihang pantukoy na paukol sa ngalan ng tao.","Eliminated dahil ang 'kila' ay mali at kolokyal na salita na hindi tanggap sa pormal na Balarila.","Eliminated dahil ang 'kayla' ay maling anyo.","Eliminated dahil mali ang balangkas ng pangungusap.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng salita sa Filipino | Difficult | Batch VA-013"
"Piliin ang pangungusap na may WASTONG GAMIT ng 'SUBUKIN' at 'SUBUKAN'.","Subukin natin ang katapatan ng bagong kawani bago natin siya pagkatiwalaan ng pondo ng bayan.","Subukan natin ang katapatan ng bagong kawani bago natin siya pagkatiwalaan ng pondo ng bayan.","Subukin natin kung ano ang ginagawa ng mga kawani sa likod ng gusali.","Subukin mo ang bagong kotse kung mabilis tumakbo sa highway.","A","Step-by-Step Solution:
1. Tuntunin sa 'SUBUKIN' (to test/examine/try):
 - Ginagamit sa pagsusuri ng katapatan, kakayahan, lakas, o bisa ng isang tao o bagay ('subukin ang katapatan', 'subukin ang lakas').
2. Tuntunin sa 'SUBUKAN' (to spy on/watch secretly):
 - Ginagamit sa pagsubok sa pamamagitan ng lihim na pagmamasid, pag-eespiya, o paniniktik ('subukan ang ginagawa nila').
3. Konteksto: Pagsusuri sa moral na katapatan ng tao -> 'Subukin ang katapatan' (Option A).

Common Trap: Paggamit ng 'subukan' sa pagsubok ng kakayahan o pagsusulit.
Exam Tip: Pagsusuri sa kakayahan/katapatan? -> 'SUBUKIN'. Paniniktik/pagmamasid nang lihim? -> 'SUBUKAN'.","Correct. 'Subukin' ay wastong ginamit para sa pagsusuri at pagsubok sa katapatan at kakayahan ng isang tao.","Eliminated dahil ang 'subukan' ay nangangahulugang maniktik o mag-espiya sa ginagawa ng iba.","Eliminated dahil ang pagmamasid sa ginagawa ng iba ay nangangailangan ng 'subukan', hindi subukin.","Eliminated dahil ang pagsubok sa bilis ng sasakyan ay subukan.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng salita sa Filipino | Difficult | Batch VA-013"
"Alin sa mga sumusunod ang may WASTONG GAMIT ng 'PAHIRIN' at 'PAHIRAN'?","Pahirin mo ang pawis sa iyong noo gamit ang malinis na panyo.","Pahiran mo ang pawis sa iyong noo gamit ang malinis na panyo.","Pahirin mo ng gamot ang sugat ng bata upang hindi maimpeksyon.","Pahirin mo ng mantikilya ang mainit na tinapay bago kainin.","A","Step-by-Step Solution:
1. Tuntunin sa 'PAHIRIN' (to wipe off/remove):
 - Nangangahulugang alisin, tanggalin, o punasan ang isang bagay mula sa isang lugar ('pahirin ang luha', 'pahirin ang pawis').
2. Tuntunin sa 'PAHIRAN' (to apply on/spread on):
 - Nangangahulugang lagyan, pahiran, o lagyan ng substance ang isang bahagi ('pahiran ng gamot ang sugat', 'pahiran ng mantikilya ang tinapay').
3. Pagsusuri: Pag-aalis ng pawis sa noo -> 'Pahirin ang pawis' (Option A).

Common Trap: Paggamit ng 'pahiran ang pawis' (na ang ibig sabihin ay lagyan ng pawis ang noo).
Exam Tip: Alisin/punasan? -> 'PAHIRIN'. Lagyan ng gamot/mantikilya? -> 'PAHIRAN'.","Correct. 'Pahirin' ay wastong ginamit dahil ang layunin ay alisin o tanggalin ang pawis sa noo.","Eliminated dahil ang 'pahiran ang pawis' ay nangangahulugang lagyan ng pawis ang noo.","Eliminated dahil ang paglalagay ng gamot ay dapat 'pahiran ng gamot'.","Eliminated dahil ang paglalagay ng mantikilya ay dapat 'pahiran ng mantikilya'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng salita sa Filipino | Difficult | Batch VA-013"
"Piliin ang pangungusap na may WASTONG GAMIT ng 'PINTO' at 'PINTUAN'.","Ipinasara ng gwardya ang pinto upang hindi makapasok ang baha sa pintuan ng gusali.","Ipinasara ng gwardya ang pintuan upang hindi makapasok ang baha sa pinto ng gusali.","Tumayo siya sa pinto habang isinasara ang pintuan ng silid.","Ang pintuan ay gawa sa solidong kahoy ng narra at may dobleng kandado.","A","Step-by-Step Solution:
1. Tuntunin sa 'PINTO' (door):
 - Ito ang mismong materyal na bagay na ibinubukas, isinasara, at inilalapat ('isara ang pinto', 'pintong gawa sa narra').
2. Tuntunin sa 'PINTUAN' (doorway):
 - Ito ang mismong espasyo, lagusan, o daanan kung saan nakakabit ang pinto ('tumayo sa pintuan', 'dumaan sa pintuan').
3. Pagsusuri sa Option A:
 - 'Ipinasara... ang pinto' -> TAMA (ang bagay na isinasara).
 - 'makapasok sa pintuan' -> TAMA (ang lagusan o daanan).
4. Option A ang tumpak.

Common Trap: Pagsasabi ng 'isara ang pintuan' (hindi maisasara ang mismong lagusan/espasyo; ang pinto ang isinasara).
Exam Tip: Ang bagay na may bisagra at kandado ay 'PINTO'. Ang lagusan o espasyo ng daanan ay 'PINTUAN'.","Correct. 'Pinto' ay ang mismong bagay na isinasara, at 'pintuan' ay ang lagusan o daanan kung saan nakapasok ang baha.","Eliminated dahil hindi maisasara ang pintuan (espasyo).","Eliminated dahil ang pagtayo sa lagusan ay dapat sa 'pintuan'.","Eliminated dahil ang gawa sa kahoy ng narra ay ang mismong 'pinto', hindi ang espasyo ng pintuan.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng salita sa Filipino | Difficult | Batch VA-013"
"Alin sa mga sumusunod ang may WASTONG GAMIT ng 'KITA' at 'KATA'?","Nakita kita sa pampublikong pagdinig kahapon ng hapon.","Kita ay magtutulungan sa pagsasaayos ng mga talaan ng ahensya.","Napanood kata sa telebisyon habang nagbibigay ng ulat sa bayan.","Kata ay pupunta sa opisina upang magsumite ng ating aplikasyon.","A","Step-by-Step Solution:
1. Tuntunin sa 'KITA':
 - Ito ay tambalang panghalip na kumakatawan sa 'ko ikaw' ('Nakita ko ikaw' -> 'Nakita kita').
2. Tuntunin sa 'KATA':
 - Ito ay sinaunang panghalip panao na kumakatawan sa 'ikaw at ako' (katumbas ng 'tayong dalawa').
3. Pagsusuri:
 - Option A: 'Nakita kita' ('Nakita ko ikaw') -> 100% TAMA at natural sa Balarila.
 - Option B: Mali ang 'Kita ay magtutulungan' (dapat 'Tayo ay...' o 'Kata ay...').
 - Option C: Mali ang 'Napanood kata' (dapat 'Napanood kita').
 - Option D: Bagamat sinauna ang kata, sa pormal na modernong gamit at wastong tambalan, ang Option A ang ganap na wasto.

Common Trap: Paggamit ng 'kita' bilang simuno sa 'Kita ay pupunta' (dapat 'Tayo ay pupunta').
Exam Tip: Tandaan: 'KITA' = 'ko ikaw' (Mahal kita = Mahal ko ikaw).","Correct. 'Kita' ay wastong ginamit bilang tambalang panghalip para sa 'ko ikaw' ('Nakita ko ikaw' = 'Nakita kita').","Eliminated dahil ang 'kita' ay hindi maaaring maging simuno sa halip na 'tayo'.","Eliminated dahil ang 'napanood ko ikaw' ay dapat 'napanood kita', hindi kata.","Eliminated dahil ang natural at modernong pormal na anyo ng Option A ang pamantayang sinusunod.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng salita sa Filipino | Difficult | Batch VA-013"
