"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"HERMIT: HERMITAGE:: MONK: ______","MONASTERY","BARRACKS","SANATORIUM","APIARY","A","Step-by-Step Solution:
1. Analyze the institutional dwelling/residence relationship in the initial word pair (HERMIT: HERMITAGE):
 - A \""hermit\"" is a solitary religious or spiritual ascetic whose quintessential solitary dwelling (LOCATION) is a \""hermitage\"".
 - Relationship: Inhabitant/ascetic-to-dedicated communal or solitary residence LOCATION.
2. Determine the corresponding dedicated communal religious dwelling (LOCATION) for a \""MONK\"":
 - A \""monk\"" is a member of a religious community of men living under monastic vows whose dedicated communal residence (LOCATION) is a \""monastery\"".
 - Therefore, MONK is to MONASTERY as HERMIT is to HERMITAGE.
3. Evaluate incorrect alternatives:
 - Option B (Barracks): A military housing compound for soldiers.
 - Option C (Sanatorium): A medical facility for the treatment of chronic illness or convalescence.
 - Option D (Apiary): A place where beehives of honeybees are kept.

Common Trap: Selecting barracks or sanatorium, which are specialized institutional quarters for soldiers and patients.
Exam Tip: Hermit resides in a Hermitage; Monk resides in a Monastery.","Correct. Survives elimination because a hermit resides in a hermitage, just as a monk resides in a monastery.","Eliminated because barracks house military troops.","Eliminated because a sanatorium houses convalescing patients.","Eliminated because an apiary houses honeybees.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Location | Very Difficult | Batch 064"
"FALCON: AERIE:: BADGER: ______","SETT","DRAY","WARREN","LAIR","A","Step-by-Step Solution:
1. Analyze the natural zoological habitat/nesting relationship in the initial word pair (FALCON: AERIE):
 - A \""falcon\"" (or eagle/raptor) builds and inhabits its high cliffside nest (LOCATION) known specifically as an \""aerie\"" (eyrie).
 - Relationship: Animal species-to-exact technical zoological dwelling LOCATION.
2. Determine the corresponding technical zoological dwelling (LOCATION) for a \""BADGER\"":
 - A \""badger\"" excavates and lives in an extensive underground network of burrows and tunnels known specifically as a \""sett\"".
 - Therefore, BADGER is to SETT as FALCON is to AERIE.
3. Evaluate incorrect alternatives:
 - Option B (Dray / Drey): The specialized spherical nest of a tree squirrel built of twigs and leaves.
 - Option C (Warren): A network of interconnected underground burrows inhabited by a colony of rabbits.
 - Option D (Lair): A generic term for any wild predatory mammal's resting den.

Common Trap: Selecting warren (rabbits) or dray (squirrels) instead of the badger's specific technical den term (sett).
Exam Tip: Falcon lives in an Aerie; Badger lives in a Sett; Rabbit lives in a Warren; Squirrel lives in a Drey.","Correct. Survives elimination because a falcon's specialized cliffside nest is an aerie, while a badger's specialized underground burrow network is a sett.","Eliminated because a drey is the nest of a squirrel.","Eliminated because a warren is the burrow colony of rabbits.","Eliminated because a lair is a generic predator den.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Location | Very Difficult | Batch 064"
"SQUIRREL: DREY:: BEAVER: ______","LODGE","DAM","PEN","BURROW","A","Step-by-Step Solution:
1. Analyze the zoological constructed habitation relationship in the initial word pair (SQUIRREL: DREY):
 - A \""squirrel\"" constructs and resides in an arboreal nest of twigs and leaves (LOCATION) called a \""drey\"".
 - Relationship: Animal builder-to-exact technical constructed living chamber LOCATION.
2. Determine the corresponding living chamber structure (LOCATION) constructed and inhabited by a \""BEAVER\"":
 - A \""beaver\"" builds and inhabits a specialized domed shelter of mud and branches featuring underwater entrances known specifically as a \""lodge\"".
 - Therefore, BEAVER is to LODGE as SQUIRREL is to DREY.
3. Evaluate incorrect alternatives:
 - Option B (Dam): The hydrological water-impounding barrier built by beavers to create deep ponds (water barrier infrastructure, not their internal living quarters).
 - Option C (Pen): A fenced enclosure for domestic farm livestock.
 - Option D (Burrow): A simple underground hole dug by rodents.

Common Trap: Selecting dam instead of lodge (the dam impounds water; the lodge is the actual residential living chamber).
Exam Tip: Squirrel sleeps in a Drey; Beaver sleeps in a Lodge.","Correct. Survives elimination because a squirrel inhabits a drey, while a beaver inhabits a constructed domed lodge.","Eliminated because a dam is a hydrodynamic water-retaining barrier, not the residential living dome.","Eliminated because a pen is an artificial farm enclosure.","Eliminated because a burrow is a generic underground hole.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Location | Very Difficult | Batch 064"
"ARCHIVES: DOCUMENTS:: OSSUARY: ______","BONES","COINS","SCULPTURES","WEAPONS","A","Step-by-Step Solution:
1. Analyze the repository location relationship in the initial word pair (ARCHIVES: DOCUMENTS):
 - An \""archives\"" is a specialized institutional repository (LOCATION) dedicated to preserving historic \""documents\"" and records.
 - Relationship: Specialized curated repository LOCATION-TO-STORED CONTENT.
2. Determine the corresponding specific organic relics stored in an \""OSSUARY\"":
 - An \""ossuary\"" is a specialized chest, building, or vault (LOCATION) dedicated to serving as the final resting place for human skeletal \""bones\"".
 - Therefore, OSSUARY is to BONES as ARCHIVES is to DOCUMENTS.
3. Evaluate incorrect alternatives:
 - Option B (Coins): Stored in a numismatic cabinet or m∫ repository.
 - Option C (Sculptures): Displayed in a glyptotheca or art museum gallery.
 - Option D (Weapons): Stored in an armory or arsenal.

Common Trap: Confusing ossuary with general morgues or treasuries.
Exam Tip: Archives house Documents; Ossuary houses Skeletal Bones.","Correct. Survives elimination because an archives is a repository for documents, just as an ossuary is a repository for skeletal bones.","Eliminated because coins are housed in numismatic cabinets.","Eliminated because sculptures are housed in glyptothecas.","Eliminated because weapons are housed in arsenals or armories.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Location | Very Difficult | Batch 064"
"PELAGIC: OPEN SEA:: LITTORAL: ______","SHORELINE","TRENCH","ABYSS","CANOPY","A","Step-by-Step Solution:
1. Analyze the ecological spatial domain relationship in the initial word pair (PELAGIC: OPEN SEA):
 - \""Pelagic\"" refers to aquatic organisms, zones, and processes LOCATED in the vast, open, deep waters of the ocean away from land.
 - Relationship: Ecological spatial adjective-to-exact spatial domain/geographic LOCATION.
2. Determine the corresponding geographic zone (LOCATION) designated by the ecological term \""LITTORAL\"":
 - \""Littoral\"" refers to ecological organisms, zones, and geological processes located specifically along the coastal \""shoreline\"" and intertidal margin of a sea or lake.
 - Therefore, LITTORAL is to SHORELINE as PELAGIC is to OPEN SEA.
3. Evaluate incorrect alternatives:
 - Option B (Trench): Hadal deep oceanic subduction chasm (e.g., Mariana Trench).
 - Option C (Abyss): The pitch-black, deep benthic zone of the ocean floor (abyssal zone).
 - Option D (Canopy): The uppermost branching layer of a forest.

Common Trap: Confusing littoral (coastal shore) with benthic (sea floor) or abyssal (deep depths).
Exam Tip: Pelagic = Open Sea; Littoral = Coastal Shoreline; Benthic = Ocean Floor.","Correct. Survives elimination because pelagic denotes the open sea zone, while littoral denotes the coastal shoreline and intertidal zone.","Eliminated because a trench is a deep oceanic subduction rift.","Eliminated because the abyss is the aphotic deep ocean floor.","Eliminated because canopy is a forest layer.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Location | Very Difficult | Batch 064"
"PULP: TOOTH:: MARROW: ______","BONE","MUSCLE","CARTILAGE","LIGAMENT","A","Step-by-Step Solution:
1. Analyze the anatomical internal tissue location in the initial word pair (PULP: TOOTH):
 - \""Pulp\"" is the vascularized, innervated soft living connective tissue LOCATED inside the central internal cavity of a \""tooth\"".
 - Relationship: Internal soft vital tissue-to-hard enclosing anatomical organ LOCATION.
2. Determine the corresponding enclosing anatomical organ (LOCATION) containing \""MARROW\"":
 - \""Marrow\"" (bone marrow) is the soft, hemopoietic and adipose fatty tissue located centrally within the internal medullary cavities of \""bone\"".
 - Therefore, MARROW is to BONE as PULP is to TOOTH.
3. Evaluate incorrect alternatives:
 - Option B (Muscle): Fibrous contractile somatic tissue containing no marrow.
 - Option C (Cartilage): Avascular flexible connective tissue.
 - Option D (Ligament): Fibrous bands connecting bones at joints.

Common Trap: Selecting muscle or cartilage, which lack internal central hollow cavities for marrow.
Exam Tip: Dental Pulp is inside a Tooth; Hemopoietic Marrow is inside a Bone.","Correct. Survives elimination because pulp is the soft living tissue situated inside a tooth, just as marrow is the hemopoietic tissue situated inside a bone.","Eliminated because muscles consist of contractile myofibrils.","Eliminated because cartilage is avascular flexible matrix tissue.","Eliminated because ligaments are articular fibrous connective bands.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Location | Very Difficult | Batch 064"
"SPORANGIUM: SPORE:: OVARY: ______","OVULE","PETAL","SEPAL","FILAMENT","A","Step-by-Step Solution:
1. Analyze the botanical reproductive containment in the initial word pair (SPORANGIUM: SPORE):
 - A \""sporangium\"" is the specialized anatomical capsule or structure (LOCATION) inside which reproductive \""spores\"" are formed and housed.
 - Relationship: Botanical reproductive container LOCATION-TO-INTERNAL REPRODUCTIVE CELL.
2. Determine the corresponding internal reproductive structure (CELL/STRUCTURE) housed within the botanical \""OVARY\"":
 - In flowering angiosperms, the basal enlarged portion of the carpel/pistil is the \""ovary\"" (LOCATION), which houses and protects the \""ovule\"" (the egg-bearing precursor to a seed).
 - Therefore, OVARY is to OVULE as SPORANGIUM is to SPORE.
3. Evaluate incorrect alternatives:
 - Option B (Petal): Outer sterile whorl of the flower (corolla).
 - Option C (Sepal): Outermost protective calyx leaf.
 - Option D (Filament): The stalk supporting an anther in the male stamen.

Common Trap: Selecting petal or filament, which are peripheral floral parts rather than the internal ovule.
Exam Tip: Sporangium houses Spores; Botanical Ovary houses Ovules.","Correct. Survives elimination because a sporangium is the anatomical vessel containing spores, just as a botanical ovary is the anatomical organ containing ovules.","Eliminated because petals are sterile display leaves.","Eliminated because sepals are outer protective calyx segments.","Eliminated because a filament is the stalk supporting a stamen anther.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Location | Very Difficult | Batch 064"
"ASTRONAUT: SPACECRAFT:: SUBMARINER: ______","SUBMERSIBLE","AIRCRAFT","TRENCH","CORVETTE","A","Step-by-Step Solution:
1. Analyze the operational domain and vehicle relationship in the initial word pair (ASTRONAUT: SPACECRAFT):
 - An \""astronaut\"" is an operator whose hostile operational environment vehicle (LOCATION) is an enclosed, life-supported \""spacecraft\"".
 - Relationship: Specialized crew member-to-enclosed pressure vessel operating LOCATION.
2. Determine the corresponding enclosed pressure vessel operating vehicle (LOCATION) for a \""SUBMARINER\"":
 - A \""submariner\"" is a naval specialist whose deep-sea operational pressure vessel (LOCATION) is a submarine or specialized naval \""submersible\"".
 - Therefore, SUBMARINER is to SUBMERSIBLE as ASTRONAUT is to SPACECRAFT.
3. Evaluate incorrect alternatives:
 - Option B (Aircraft): The operational vehicle of a pilot/aviator.
 - Option C (Trench): A deep geological submarine trench (external underwater geography).
 - Option D (Corvette): A small, fast surface warship (surface vessel, not an underwater craft).

Common Trap: Selecting corvette (surface vessel) or trench (geological feature) instead of the underwater enclosed craft (submersible).
Exam Tip: Astronaut operates inside a Spacecraft; Submariner operates inside a Submersible (Submarine).","Correct. Survives elimination because an astronaut operates inside a spacecraft, while a submariner operates inside an enclosed underwater submersible.","Eliminated because an aircraft is an atmospheric flight vehicle.","Eliminated because a trench is an underwater geographic formation.","Eliminated because a corvette is a surface combatant warship.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Location | Very Difficult | Batch 064"
"GLYPTOTHECA: SCULPTURES:: PINACOTHECA: ______","PAINTINGS","MANUSCRIPTS","FOSSILS","COINS","A","Step-by-Step Solution:
1. Analyze the classical gallery curation in the initial word pair (GLYPTOTHECA: SCULPTURES):
 - A \""glyptotheca\"" is a specialized classical gallery or museum (LOCATION) dedicated to housing, curating, and displaying \""sculptures\"" and engraved stones.
 - Relationship: Specialized art repository LOCATION-TO-EXHIBITED ART MEDIUM.
2. Determine the corresponding art medium curated and exhibited inside a \""PINACOTHECA\"":
 - A \""pinacotheca\"" (or pinacothèque) is a specialized art gallery or museum (LOCATION) dedicated exclusively to housing and displaying \""paintings\"" (picture gallery).
 - Therefore, PINACOTHECA is to PAINTINGS as GLYPTOTHECA is to SCULPTURES.
3. Evaluate incorrect alternatives:
 - Option B (Manuscripts): Curated in a scriptorium, archives, or codex library.
 - Option C (Fossils): Curated in a paleontological museum.
 - Option D (Coins): Curated in a numismatic museum or coin cabinet.

Common Trap: Confusing pinacotheca (paintings) with general libraries or numismatic repositories.
Exam Tip: Glyptotheca displays Sculptures; Pinacotheca displays Paintings.","Correct. Survives elimination because a glyptotheca is a museum for sculptures, while a pinacotheca is an art gallery specifically for paintings.","Eliminated because manuscripts are housed in an archives or scriptorium.","Eliminated because fossils are curated in paleontological repositories.","Eliminated because coins are housed in numismatic cabinets.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Location | Very Difficult | Batch 064"
"STALACTITE: CEILING:: STALAGMITE: ______","FLOOR","WALL","COLUMN","LEDGE","A","Step-by-Step Solution:
1. Analyze the speleological spatial location in the initial word pair (STALACTITE: CEILING):
 - A \""stalactite\"" is an icicle-shaped secondary mineral deposit (speleothem) that hangs downward from the \""ceiling\"" (or roof) of a limestone cave.
 - Relationship: Speleothem geological formation-to-exact structural surface LOCATION.
2. Determine the corresponding structural surface (LOCATION) from which a \""STALAGMITE\"" grows:
 - A \""stalagmite\"" is an upward-growing mound or column of mineral deposits that forms on the \""floor\"" of a limestone cave from dripping mineral water.
 - Therefore, STALAGMITE is to FLOOR as STALACTITE is to CEILING.
3. Evaluate incorrect alternatives:
 - Option B (Wall): Vertical cave rock boundary (where flowstones form).
 - Option C (Column): The pillar formed when a stalactite and stalagmite grow together and meet.
 - Option D (Ledge): A flat horizontal rock projection.

Common Trap: Swapping stalactites and stalagmites (remember: Stalac-TITE holds 'tight' to the ceiling; Stalag-MITE 'might' reach the ceiling from the floor).
Exam Tip: Stalactite is on the Ceiling; Stalagmite is on the Floor.","Correct. Survives elimination because a stalactite hangs from a cave's ceiling, while a stalagmite grows upward from a cave's floor.","Eliminated because flowstones form on walls.","Eliminated because a column is the fused union of a stalactite and stalagmite.","Eliminated because a ledge is an intermediate shelf.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Location | Very Difficult | Batch 064"
