"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Tukuyin ang KAYARIAN ng sumusunod na pangungusap: 'Bagamat mahigpit ang mga patakaran sa pagsusuri, nagsumite pa rin ng kumpletong dokumento ang mga aplikante upang mapabilis ang kanilang akreditasyon.'","Hugnayan","Payak","Tambalan","Langkapan","A","Step-by-Step Solution:
1. Suriin ang mga sugnay sa pangungusap:
 - Sugnay na Di-Makapag-iisa 1: 'Bagamat mahigpit ang mga patakaran sa pagsusuri' (pinangungunahan ng pangatnig na paninsay na 'Bagamat').
 - Sugnay na Makapag-iisa (Punong Sugnay): 'nagsumite pa rin ng kumpletong dokumento ang mga aplikante'.
 - Sugnay na Di-Makapag-iisa 2: 'upang mapabilis ang kanilang akreditasyon' (pinangungunahan ng pangatnig na pananhi na 'upang').
2. Tuntunin sa Kayarian ng Pangungusap:
 - Ang pangungusap na binubuo ng ISANG sugnay na makapag-iisa at isa o higit pang sugnay na di-makapag-iisa ay tinatawag na HUGNAYAN (Complex Sentence).
3. Dahil may iisang punong sugnay at dalawang pantulong na sugnay, ito ay HUGNAYAN (Option A).

Common Trap: Pag-aakalang Langkapan ito dahil mahaba at may dalawang pangatnig. Tandaan na ang Langkapan ay nangangailangan ng DALAWANG sugnay na makapag-iisa.
Exam Tip: Hugnayan = 1 Sugnay na Makapag-iisa + 1 o higit pang Sugnay na Di-makapag-iisa.","Correct. Ang pangungusap ay Hugnayan dahil binubuo ito ng isang punong sugnay na makapag-iisa at dalawang sugnay na di-makapag-iisa.","Eliminated dahil ang Payak ay nagpapahayag lamang ng iisang buong kaisipan nang walang sugnay na pantulong.","Eliminated dahil ang Tambalan ay binubuo ng dalawang sugnay na makapag-iisa na pinag-ugnay ng pangatnig na pantuwang (at, ngunit, o).","Eliminated dahil ang Langkapan ay nangangailangan ng hindi bababa sa dalawang sugnay na makapag-iisa.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Wastong kayarian ng pangungusap sa Filipino | Difficult | Batch VA-024"
"Tukuyin ang KAYARIAN ng pangungusap: 'Nagsagawa ng agarang inspeksyon ang mga opisyal ng Kagawaran ng Kalusugan at nagpalabas sila ng opisyal na babala sa publiko.'","Tambalan","Payak","Hugnayan","Langkapan","A","Step-by-Step Solution:
1. Suriin ang mga sugnay:
 - Sugnay na Makapag-iisa 1: 'Nagsagawa ng agarang inspeksyon ang mga opisyal ng Kagawaran ng Kalusugan' (buo ang diwa).
 - Pangatnig: 'at' (pangatnig na pantuwang).
 - Sugnay na Makapag-iisa 2: 'nagpalabas sila ng opisyal na babala sa publiko' (buo ang diwa).
2. Tuntunin: Ang pangungusap na binubuo ng DALAWANG sugnay na makapag-iisa na pinag-ugnay ng pangatnig na pantuwang (at, ngunit, datapwat, subalit, o) ay tinatawag na TAMBALAN (Compound Sentence).
3. Sagot: Tambalan (Option A).

Common Trap: Pagkakamali sa pag-aakalang payak ito dahil iisa ang paksang tinutukoy.
Exam Tip: May dalawang buong sugnay na pinag-uugnay ng 'at' o 'ngunit'? -> Tambalan.","Correct. Ang pangungusap ay Tambalan dahil naglalaman ito ng dalawang independiyenteng sugnay na makapag-iisa na pinag-uugnay ng pangatnig na 'at'.","Eliminated dahil may dalawang buong predikasyon at sugnay na makapag-iisa, hindi payak.","Eliminated dahil walang sugnay na di-makapag-iisa upang maging hugnayan.","Eliminated dahil walang kasamang sugnay na di-makapag-iisa upang maging langkapan.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Wastong kayarian ng pangungusap sa Filipino | Difficult | Batch VA-024"
"Tukuyin ang KAYARIAN ng pangungusap: 'Nang pumutok ang balita sa media, agad na nagpulong ang mga direktor, at binuo nila ang isang fact-finding committee.'","Langkapan","Payak","Tambalan","Hugnayan","A","Step-by-Step Solution:
1. Suriin ang bawat bahagi:
 - Sugnay na Di-Makapag-iisa: 'Nang pumutok ang balita sa media' (pantulong na sugnay).
 - Sugnay na Makapag-iisa 1: 'agad na nagpulong ang mga direktor' (independiyenteng sugnay).
 - Pangatnig: 'at' (pantuwang).
 - Sugnay na Makapag-iisa 2: 'binuo nila ang isang fact-finding committee' (independiyenteng sugnay).
2. Tuntunin sa LANGKAPAN (Compound-Complex Sentence): Binubuo ng DALAWANG o higit pang sugnay na makapag-iisa AT ISA o higit pang sugnay na di-makapag-iisa.
3. Sagot: Langkapan (Option A).

Common Trap: Pagpili sa Hugnayan dahil nakita ang 'Nang', ngunit hindi napansin ang tambalang sugnay na pinag-ugnay ng 'at'.
Exam Tip: Langkapan = Tambalan + Hugnayan (2 o higit pang Sugnay na Makapag-iisa + 1 o higit pang Sugnay na Di-makapag-iisa).","Correct. Ang pangungusap ay Langkapan dahil nagtataglay ito ng dalawang sugnay na makapag-iisa at isang sugnay na di-makapag-iisa ('Nang pumutok...').","Eliminated dahil may maraming sugnay na magkakaibang uri.","Eliminated dahil ang tambalan ay walang sugnay na di-makapag-iisa.","Eliminated dahil ang hugnayan ay may iisang sugnay na makapag-iisa lamang.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Wastong kayarian ng pangungusap sa Filipino | Difficult | Batch VA-024"
"Tukuyin ang KAYARIAN ng pangungusap: 'Ang mga tapat at masisipag na kawani ng pamahalaang panlalawigan ay pinarangalan sa taunang pagtitipon.'","Payak","Tambalan","Hugnayan","Langkapan","A","Step-by-Step Solution:
1. Suriin ang estruktura ng pangungusap:
 - Paksa / Simuno: 'Ang mga tapat at masisipag na kawani ng pamahalaang panlalawigan' (Payak na simuno na may mga panuring).
 - Panaguri: 'ay pinarangalan sa taunang pagtitipon' (Iisang panaguri).
2. Tuntunin sa PAYAK na Pangungusap: Nagpapahayag ng iisang buong kaisipan na may iisang sugnay, gaano man ito kahaba o karami ang panuring (adjectives/modifiers).
3. Sagot: Payak (Option A).

Common Trap: Pag-aakalang tambalan dahil may salitang 'at' sa simuno ('tapat at masisipag'). Ang tambalang pang-uri sa simuno ay hindi lumilikha ng tambalang pangungusap.
Exam Tip: Huwag malito sa haba ng pangungusap; kung iisa lamang ang sugnay at buong diwa, ito ay Payak.","Correct. Ang pangungusap ay Payak dahil nagpapahayag ito ng iisang buong kaisipan na may iisang malayang sugnay.","Eliminated dahil ang 'at' ay nag-uugnay lamang ng dalawang pang-uri ('tapat at masisipag'), hindi ng dalawang sugnay.","Eliminated dahil walang sugnay na di-makapag-iisa.","Eliminated dahil walang kombinasyon ng maraming sugnay.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Wastong kayarian ng pangungusap sa Filipino | Difficult | Batch VA-024"
"Alin sa mga sumusunod na pangungusap ang may KAYARIANG HUGNAYAN?","Maaantala ang pamamahagi ng tulong pinansyal kung hindi makukumpleto ng mga benepisyaryo ang kanilang mga rekisito.","Nagtapos ng pag-aaral si Elena at agad siyang natanggap bilang kawani sa munisipyo.","Ang mga bagong halal na opisyal ay nanumpa sa tungkulin sa harap ng hukom.","Habang nagpupulong ang konseho, dumating ang alkalde at pormal siyang lumagda sa ordinansa.","A","Step-by-Step Solution:
1. Suriin ang mga opsyon:
 - Option A: 'Maaantala ang tulong pinansyal' (Sugnay na Makapag-iisa) + 'kung hindi makukumpleto...' (Sugnay na Di-makapag-iisa) = HUGNAYAN.
 - Option B: 'Nagtapos si Elena' (Makapag-iisa) + 'at' + 'agad siyang natanggap' (Makapag-iisa) = TAMBALAN.
 - Option C: Iisang sugnay = PAYAK.
 - Option D: 'Habang nagpupulong' (Di-makapag-iisa) + 'dumating ang alkalde' (Makapag-iisa) + 'at' + 'lumagda sa ordinansa' (Makapag-iisa) = LANGKAPAN.
2. Ang may kayariang Hugnayan ay Option A.

Common Trap: Pagkalito sa pagitan ng Hugnayan (A) at Langkapan (D).
Exam Tip: Hanapin ang pangungusap na may iisang punong sugnay at isang sugnay na may pangatnig na panubali ('kung').","Correct. Option A ay Hugnayan dahil binubuo ito ng isang sugnay na makapag-iisa at isang pantulong na sugnay na pinangungunahan ng 'kung'.","Eliminated dahil ang Option B ay may dalawang malayang sugnay na pinag-ugnay ng 'at' (Tambalan).","Eliminated dahil ang Option C ay naglalaman ng iisang kaisipan lamang (Payak).","Eliminated dahil ang Option D ay may dalawang sugnay na makapag-iisa at isang sugnay na di-makapag-iisa (Langkapan).","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Wastong kayarian ng pangungusap sa Filipino | Difficult | Batch VA-024"
"Alin sa mga sumusunod ang halimbawa ng PAYAK na pangungusap na may TAMBALANG SIMUNO at TAMBALANG PANAGURI?","Sina Gobernador Santos at Mayor Reyes ay bumisita sa evacuation center at namahagi ng relief goods sa mga pamilya.","Bumisita sa evacuation center si Gobernador Santos habang namahagi naman ng relief goods si Mayor Reyes.","Bumisita sina Gobernador Santos at Mayor Reyes sa evacuation center kahapon.","Nang bumisita ang gobernador, namahagi ng relief goods ang alkalde sa evacuation center.","A","Step-by-Step Solution:
1. Suriin ang sangkap ng Option A:
 - Tambalang Simuno: 'Sina Gobernador Santos at Mayor Reyes' (dalawang simuno na pinag-ugnay ng 'at').
 - Tambalang Panaguri: 'ay bumisita... at namahagi ng relief goods' (dalawang pandiwa na pinag-ugnay ng 'at').
 - Kabuuang Estruktura: Iisang buong kaisipan na may tambalang simuno at tambalang panaguri = PAYAK na Pangungusap.
2. Option B ay Tambalan; Option C ay Payak na may tambalang simuno lamang; Option D ay Hugnayan.
3. Sagot: Option A.

Common Trap: Pag-aakalang ang tambalang simuno at tambalang panaguri ay lumilikha ng tambalang pangungusap.
Exam Tip: Kahit may 2 simuno at 2 panaguri, kung sila ay magkasamang bumubuo ng iisang sugnay, ito ay PAYAK na pangungusap pa rin.","Correct. Ang Option A ay isang Payak na pangungusap na nagtataglay ng tambalang simuno (Gobernador at Mayor) at tambalang panaguri (bumisita at namahagi).","Eliminated dahil ang Option B ay Tambalan na pinag-ugnay ng 'habang'.","Eliminated dahil ang Option C ay may tambalang simuno ngunit isahang panaguri lamang ('bumisita').","Eliminated dahil ang Option D ay Hugnayan ('Nang bumisita...').","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Wastong kayarian ng pangungusap sa Filipino | Difficult | Batch VA-024"
"Tukuyin ang KAYARIAN ng pangungusap: 'Dahil sa matinding pagbaha, sinuspinde ng lokal na pamahalaan ang mga klase, ngunit nanatiling bukas ang mga ospital at health centers.'","Langkapan","Payak","Tambalan","Hugnayan","A","Step-by-Step Solution:
1. Suriin ang mga bahagi ng pangungusap:
 - Sugnay na Di-Makapag-iisa: 'Dahil sa matinding pagbaha' (pantulong na sugnay ng sanhi).
 - Sugnay na Makapag-iisa 1: 'sinuspinde ng lokal na pamahalaan ang mga klase' (malayang sugnay).
 - Pangatnig na Pantuwang: 'ngunit' (nag-uugnay sa ikalawang malayang sugnay).
 - Sugnay na Makapag-iisa 2: 'nanatiling bukas ang mga ospital at health centers' (malayang sugnay).
2. Tuntunin: 2 Sugnay na Makapag-iisa + 1 Sugnay na Di-makapag-iisa = LANGKAPAN.
3. Sagot: Langkapan (Option A).

Common Trap: Pagpili sa Tambalan dahil nakita ang 'ngunit', nang hindi napapansin ang sugnay na pinangungunahan ng 'Dahil'.
Exam Tip: Hanapin ang lahat ng sugnay. 2 Makapag-iisa + 1 Di-makapag-iisa = Langkapan.","Correct. Ang pangungusap ay Langkapan dahil binubuo ito ng dalawang malayang sugnay na pinag-ugnay ng 'ngunit' at isang sugnay na di-makapag-iisa ('Dahil sa...').","Eliminated dahil may maramihang sugnay na magkakaiba ang kalikasan.","Eliminated dahil ang tambalan ay walang kasamang sugnay na di-makapag-iisa.","Eliminated dahil ang hugnayan ay may iisang sugnay na makapag-iisa lamang.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Wastong kayarian ng pangungusap sa Filipino | Difficult | Batch VA-024"
"Alin sa mga sumusunod na pangungusap ang may wastong KAYARIANG TAMBALAN?","Ang badyet para sa kalusugan ay itinaas ng Kongreso, subalit ang pondo para sa edukasyon ay nanatiling pareho.","Ang badyet para sa kalusugan at edukasyon ay itinaas ng Kongreso ngayong taon.","Dahil itinaas ng Kongreso ang badyet sa kalusugan, male maraming pasyente ang nabigyan ng libreng gamot.","Nang maitaas ang badyet, nagpatayo ng mga bagong klinika ang ahensya at bumili sila ng mga ambulansya.","A","Step-by-Step Solution:
1. Suriin ang mga opsyon:
 - Option A: 'Ang badyet... ay itinaas' (Makapag-iisa) + 'subalit' (Pangatnig) + 'ang pondo... ay nanatiling pareho' (Makapag-iisa) = TAMBALAN.
 - Option B: Payak na may tambalang simuno.
 - Option C: Hugnayan ('Dahil itinaas...').
 - Option D: Langkapan ('Nang maitaas...' + dalawang malayang sugnay).
2. Ang tunay na Tambalang pangungusap ay Option A.

Common Trap: Pagpili sa Option B dahil may 'at' sa simuno.
Exam Tip: Ang Tambalan ay dapat magkaroon ng dalawang buong malayang sugnay (bawat isa ay may sariling simuno at panaguri) na pinag-uugnay ng pangatnig.","Correct. Ang Option A ay Tambalan dahil pinag-uugnay ng pangatnig na 'subalit' ang dalawang buong sugnay na makapag-iisa.","Eliminated dahil ang Option B ay Payak na pangungusap lamang na may tambalang simuno.","Eliminated dahil ang Option C ay Hugnayan na may sanhi at bunga.","Eliminated dahil ang Option D ay Langkapan.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Wastong kayarian ng pangungusap sa Filipino | Difficult | Batch VA-024"
"Tukuyin ang uri ng SUGNAY na nakasulat sa MALALAKING TITIK: 'Ipagkakaloob ang insentibo sa mga kawani NA NAGPAMALAS NG NATATANGING KATAPATAN SA SERBISYO.'","Sugnay na Di-Makapag-iisa (Pang-uri)","Sugnay na Makapag-iisa","Sugnay na Di-Makapag-iisa (Pang-abay)","Sugnay na Di-Makapag-iisa (Pangngalan)","A","Step-by-Step Solution:
1. Suriin ang sugnay: 'NA NAGPAMALAS NG NATATANGING KATAPATAN SA SERBISYO'.
2. Pagsusuri ng tungkulin:
 - Pinangungunahan ng pang-angkop/pamanggit na 'NA'.
 - Naglalarawan o nagbibigay-turing sa pangngalang 'mga kawani'.
3. Uri ng Sugnay: Dahil ito ay naglalarawan sa isang pangngalan, ito ay Sugnay na Di-Makapag-iisa na gumaganap bilang PANG-URI (Adjective / Relative Clause).
4. Sagot: Option A.

Common Trap: Pag-aakalang ito ay pang-abay dahil may pandiwang 'nagpamalas'. Ang buong sugnay ay nagbibigay-turing sa pangngalang 'kawani'.
Exam Tip: Sugnay na naglalarawan sa pangngalan = Sugnay na Pang-uri. Sugnay na naglalarawan kung kailan/paano ginawa ang kilos = Sugnay na Pang-abay.","Correct. Ang sugnay ay Di-Makapag-iisa na gumaganap bilang Pang-uri dahil binibigyang-turing nito ang pangngalang 'kawani'.","Eliminated dahil hindi ito makatatayong mag-isa bilang buong pangungusap.","Eliminated dahil hindi ito naglalarawan ng panahon o paraan ng pandiwa, kundi ng katangian ng tao.","Eliminated dahil hindi ito gumaganap bilang simuno o layon ng pangungusap.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Wastong kayarian ng pangungusap sa Filipino | Difficult | Batch VA-024"
"Piliin ang pangungusap na nagpapakita ng wastong AYOS NG PANGUNGUSAP sa Filipino (Karaniwang Ayos vs. Di-Karaniwang Ayos).","Masusing sinuri ng komite ang mga dokumento ng kontratista.","Ang mga dokumento ng kontratista masusing sinuri ng komite.","Sinuri ng komite ay ang mga dokumento ng kontratista.","Ang mga dokumento ng kontratista ay masusing sinuri ng komite ay tumpak.","A","Step-by-Step Solution:
1. Tuntunin sa Ayos ng Pangungusap sa Filipino:
 - Karaniwang Ayos (Natural Order): Panaguri muna bago ang Simuno/Paksa ('Masusing sinuri [Panaguri] ng komite ang mga dokumento [Paksa]'). Walang panandang 'ay'.
 - Di-Karaniwang Ayos (Inverted Order): Paksa/Simuno muna bago ang Panaguri, na pinag-uugnay ng panandang 'ay' ('Ang mga dokumento... ay masusing sinuri...').
2. Pagsusuri sa mga opsyon:
 - Option A: 'Masusing sinuri ng komite ang mga dokumento' -> 100% TAMA sa Karaniwang Ayos (Panaguri + Paksa).
 - Option B: Mali dahil simuno ang nauna nang walang panandang 'ay'.
 - Option C: Mali dahil maling inilagay ang 'ay' pagkatapos ng panaguri.
 - Option D: Mali dahil may dalawang 'ay'.
3. Sagot: Option A.

Common Trap: Pagkakamali sa pag-aakalang kailangan palaging may 'ay' ang pangungusap sa Filipino.
Exam Tip: Ang natural at masiglang anyo ng Filipino ay ang Karaniwang Ayos (Panaguri bago ang Simuno nang walang 'ay').","Correct. Ang Option A ay nasa wastong Karaniwang Ayos kung saan nauuna ang Panaguri kaysa sa Simuno nang walang panandang 'ay'.","Eliminated dahil kulang ng panandang 'ay' matapos unahin ang simuno.","Eliminated dahil maling ipinasok ang 'ay' sa gitna ng panaguri at layon.","Eliminated dahil may dobleng 'ay' na lumilikha ng maling balangkas.","Verbal Ability","Verbal Ability | Sentence Correction and Error Identification | Error Detection and Sentence Mechanics | Wastong kayarian ng pangungusap sa Filipino | Difficult | Batch VA-024"
