"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"While central bank digital currencies (CBDCs) are frequently heralded by monetary authorities as the ultimate instrument for financial inclusion, their architectural design introduces profound systemic trade-offs. A two-tier retail CBDC model—where the central bank issues digital legal tender distributed through commercial banks—safeguards consumer deposits and facilitates programmable social welfare disbursements to unbanked demographics. However, macroprudential economists warn that during periods of banking distress, depositors can instantly convert commercial bank deposits into risk-free central bank liabilities via mobile devices with zero friction. This frictionless flight-to-safety could accelerate commercial bank runs from days to seconds, severely impairing commercial credit intermediation and starving small and medium enterprises of working capital. Consequently, monetary authorities must balance inclusion objectives against the destabilizing threat of retail disintermediation.

Which of the following serves as the most appropriate and comprehensive title for the passage?","The Total Obsolescence of Traditional Commercial Banking in the Digital Age","Retail Central Bank Digital Currencies: Balancing Financial Inclusion Against Systemic Disintermediation Risks","How Mobile Applications Eliminate Bank Runs During Financial Panics","The Step-by-Step Technical Architecture of Central Bank Distributed Ledger Systems","B","Step-by-Step Solution: The passage explores two core dimensions: (1) The benefits of retail CBDCs for financial inclusion and social welfare, and (2) The structural risk of rapid bank disintermediation and credit contraction during panics. The author concludes that central banks must strike a balance between inclusion goals and disintermediation risks. Option B accurately captures both sides of the central argument without overgeneralizing.

Common Trap: Selecting sensationalized or one-sided titles (Option A or C) that exaggerate the text's nuanced macroprudential balance.
Exam Tip: A superior title must capture both the primary subject and the author's overarching thesis or central tension.","Eliminated because it is overly sensationalized and distorted; the text discusses regulatory trade-offs, not the complete extinction of commercial banking.","Correct. Survives elimination because it captures both the primary promise (financial inclusion) and the central danger (systemic disintermediation) explored throughout the text.","Eliminated because the text explicitly states mobile conversion accelerates bank runs rather than eliminating them.","Eliminated because the passage focuses on macroeconomic policy implications rather than technical ledger coding.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Best title | Very Difficult | Batch 004"
"In sovereign debt restructuring, the proliferation of 'vulture funds' and non-cooperative holdout creditors has historically paralyzed international financial stability. When a distressed sovereign nation negotiates a debt workout with the supermajority of its bondholders, holdout hedge funds purchase distressed bonds at secondary-market discounts and pursue aggressive litigation in foreign jurisdictions to demand full face-value repayment, effectively holding up post-restructuring economic recovery. To neutralize this predatory dynamic, international legal bodies developed Collective Action Clauses (CACs) with single-limb aggregation mechanisms. Single-limb CACs allow a qualified supermajority of bondholders across all bond issuances to vote collectively to bind all minority creditors to uniform restructuring terms, extinguishing the holdout strategy. Sovereign debt specialists emphasize that universal adoption of aggregated CACs is critical to restoring predictable, orderly, and rapid resolution to sovereign debt crises.

What is the most suitable title for the provided text?","The Historical Causes of Sovereign Debt Default in Emerging Markets","Collective Action Clauses: Reforming Sovereign Debt Restructuring to Neutralize Holdout Creditor Litigation","Strategies for Maximizing Speculative Profits Through Distressed Sovereign Bonds","A Comprehensive Critique of Supermajority Voting in Corporate Bankruptcy Proceedings","B","Step-by-Step Solution: The passage identifies the problem (holdout creditors paralyzing debt restructuring through litigation) and presents the definitive solution (single-limb aggregated Collective Action Clauses that bind minorities to orderly workouts). Title B encapsulates both the core legal mechanism (CACs) and its fundamental objective (reforming restructuring and stopping holdout lawsuits).

Common Trap: Selecting Option A, which is far too broad and misses the specific legal mechanism (CACs) analyzed in the text.
Exam Tip: Avoid titles that are overly broad historical surveys when the text focuses on a specific policy mechanism.","Eliminated because it is overly broad; the passage is not a historical survey of all default causes, but a specific analysis of holdouts and CACs.","Correct. Survives elimination because it precisely identifies the subject (Collective Action Clauses) and its central purpose (neutralizing holdout litigation in sovereign debt restructuring).","Eliminated because the text evaluates the predatory nature of holdouts and seeks to disarm them, not provide a guide for profit maximization.","Eliminated because the text deals with sovereign debt restructuring, not corporate bankruptcy.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Best title | Very Difficult | Batch 004"
"Algorithmic governance in social welfare administration promises unprecedented efficiency in identifying eligible beneficiaries and eliminating fraudulent claims through automated data matching. However, when municipal governments deploy predictive risk-scoring algorithms without human oversight, vulnerable households face systemic marginalization. Automated systems routinely flag low-income families for benefit cancellation due to minor typographical discrepancies in fragmented government databases or historical proxies that correlate with systemic poverty rather than actual fraud. Because automated administrative decisions often operate as impenetrable 'black boxes' devoid of transparent reasoning, affected citizens are denied meaningful procedural due process and avenues for timely appeal. Public law scholars argue that the integration of automated decision-making in welfare administration must be bounded by mandatory explainability audits, algorithmic impact assessments, and non-waivable human-in-the-loop review mechanisms.

Which of the following titles best captures the central theme and argument of the passage?","Eliminating Welfare Fraud Through Unchecked Artificial Intelligence Algorithms","Algorithmic Welfare Administration: Efficiency Promises, Due Process Hazards, and Safeguards","The Complete Elimination of Human Discretion in Public Social Service Agencies","Database Management Techniques for Social Welfare Statistical Analysts","B","Step-by-Step Solution: The passage balances the initial promise of algorithmic welfare administration (efficiency/fraud detection) against its severe dangers (erroneous cancellations, lack of due process, black-box decisions) and concludes with necessary governance safeguards (explainability audits, human-in-the-loop). Option B captures this tripartite structure: efficiency promises, due process hazards, and governance safeguards.

Common Trap: Option A advocates for unchecked AI, which is the exact danger the text critiques.
Exam Tip: Look for titles that reflect the critical or cautionary stance of the author rather than blind technological optimism.","Eliminated because it is distorted; the passage warns against unchecked AI rather than advocating for it.","Correct. Survives elimination because it captures the efficiency potential, the due process hazards, and the necessity of administrative safeguards.","Eliminated because the passage actively argues against the complete removal of human oversight.","Eliminated because the text is a legal-administrative critique, not a database technical manual.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Best title | Very Difficult | Batch 004"
"The transition toward renewable energy has precipitated a profound geopolitical transformation known as the 'Critical Minerals Nexus.' Whereas the hydrocarbon energy paradigm centered geopolitics on oil-producing cartels and maritime shipping chokepoints, the clean energy economy depends heavily on concentrated supply chains of lithium, cobalt, nickel, and rare earth elements essential for battery storage and electric drivetrains. Mineral processing and refining remain overwhelmingly concentrated within a handful of dominant sovereign actors, exposing importing nations to acute geopolitical vulnerability and export restrictions. Energy strategists emphasize that true national energy security in the 21st century requires developing diversified mineral diplomacy, domestic battery recycling technologies, and alternative battery chemistries that decouple clean energy scaling from volatile critical mineral bottlenecks.

Which title best reflects the overarching discussion in the passage?","The Total Elimination of Geopolitical Conflicts in the Post-Fossil Fuel Era","The Critical Minerals Nexus: New Geopolitical Realities and Supply Vulnerabilities in the Clean Energy Transition","Chemical Properties and Refining Methods of Lithium and Cobalt","A Guide to Commercial Electric Vehicle Battery Manufacturing","B","Step-by-Step Solution: The passage discusses how the shift to renewable energy replaces oil geopolitics with critical mineral supply dependencies (lithium, cobalt, rare earths) concentrated in few countries, creating new vulnerabilities, and outlines strategies to mitigate these risks. Option B accurately states the core subject (The Critical Minerals Nexus) and the themes of geopolitical reality and supply vulnerability during the energy transition.

Common Trap: Believing renewable energy eliminates geopolitical conflict (Option A), when the passage shows it creates new resource dependencies.
Exam Tip: Verify whether the proposed title encompasses the global geopolitical scope of the passage.","Eliminated because it is contradicted by the text; clean energy introduces new geopolitical vulnerabilities rather than eliminating conflict.","Correct. Survives elimination because it accurately frames the central thesis: the new geopolitical and supply chain vulnerabilities inherent in the critical minerals clean energy nexus.","Eliminated because chemical properties are not the focus of this geopolitical policy analysis.","Eliminated because the passage is an energy security policy text, not a commercial manufacturing guide.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Best title | Very Difficult | Batch 004"
"In clinical medical ethics, the principle of patient autonomy frequently encounters challenging ethical dilemmas in psychiatric decision-making involving patients with fluctuating cognitive capacity. Under the traditional paternalistic model, clinicians routinely overrode patient preferences in the name of beneficence whenever a diagnosis of mental illness was established. Conversely, modern bioethics emphasizes the 'Supported Decision-Making' (SDM) paradigm, which presumes legal and decision-making capacity unless proven otherwise through individualized, decision-specific assessments. SDM establishes a structured framework of trusted advocates, communication aids, and advance psychiatric directives that empower individuals with cognitive impairments to exercise self-determination. Bioethicists conclude that SDM successfully reconciles the clinician's ethical duty of protection with the patient's fundamental human right to bodily and psychological autonomy.

What is the most precise and appropriate title for this passage?","The Historical Superiority of Medical Paternalism in Modern Hospitals","Supported Decision-Making in Psychiatry: Reconciling Beneficence with Patient Autonomy","Mandatory Involuntary Commitment Procedures in Emergency Psychiatric Wards","Neurological Causes of Cognitive Fluctuations in Clinical Patients","B","Step-by-Step Solution: The passage contrasts historical paternalism with the modern Supported Decision-Making (SDM) paradigm in psychiatric ethics, showing how SDM reconciles the clinician's duty of beneficence/protection with patient autonomy and rights. Option B captures both the specific subject (Supported Decision-Making in Psychiatry) and the core ethical synthesis (reconciling beneficence with patient autonomy).

Common Trap: Selecting Option A, which praises paternalism, when the passage supports the modern autonomy-based SDM model.
Exam Tip: Titles should mirror the ethical resolution reached in the passage's concluding sentence.","Eliminated because it contradicts the passage, which critiques paternalism and advocates for autonomy.","Correct. Survives elimination because it precisely reflects the subject matter and the central ethical resolution discussed.","Eliminated because the text focuses on supported decision-making and advance directives, not emergency involuntary commitments.","Eliminated because the passage is a bioethics analysis, not a neurological pathophysiology text.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Best title | Very Difficult | Batch 004"
"Urban stormwater management has undergone a paradigm shift from traditional 'Gray Infrastructure' (concrete culverts, underground storm sewers, and hardened river walls) to 'Blue-Green Infrastructure' (constructed wetlands, bioswales, permeable pavements, and urban retention ponds). Traditional gray systems focus exclusively on rapid conveyance—discharging stormwater runoff as quickly as possible into natural water bodies, which frequently overwhelms downstream communities and exacerbates urban heat island effects. In contrast, blue-green infrastructure mimics natural hydrological cycles by capturing, detaining, and infiltrating precipitation at the source. By attenuating peak flood discharge while simultaneously replenishing groundwater, filtering pollutants, and cooling ambient city temperatures, blue-green infrastructure provides a multifunctional, climate-resilient framework for sustainable urban flood mitigation.

Which title most effectively summarizes the core subject and perspective of the passage?","The Engineering Specifications for Concrete Drainage Culverts","From Gray to Blue-Green: Transforming Urban Flood Management Through Nature-Based Solutions","The Complete Elimination of Tropical Storms in Coastal Metropolises","Financial Audits of Municipal Wastewater Treatment Plants","B","Step-by-Step Solution: The passage describes the transformation in stormwater management from traditional gray infrastructure (concrete pipes focused on rapid runoff discharge) to blue-green infrastructure (nature-based retention, bioswales, wetlands). Option B captures this transition perfectly: 'From Gray to Blue-Green: Transforming Urban Flood Management Through Nature-Based Solutions.'

Common Trap: Focusing only on the legacy gray systems (Option A) rather than the evolutionary shift to nature-based solutions.
Exam Tip: Look for dynamic titles (e.g., 'From X to Y') when a passage tracks an overarching policy or technological evolution.","Eliminated because it is too narrow and misses the entire blue-green focus of the passage.","Correct. Survives elimination because it accurately captures the central transition from conventional gray systems to nature-based blue-green stormwater solutions.","Eliminated because infrastructure mitigates flooding, but cannot eliminate tropical storms.","Eliminated because the passage discusses stormwater and flood mitigation, not wastewater financial audits.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Best title | Very Difficult | Batch 004"
"In cybersecurity governance, organizations are increasingly adopting the 'Zero Trust Architecture' (ZTA) framework to replace legacy perimeter-based security models. Traditional castle-and-moat perimeter models operate on the flawed premise that all entities, devices, and traffic inside the internal enterprise network are inherently trustworthy once they breach the outer firewall. This vulnerability allows cyber attackers who compromise a single internal endpoint to move laterally across enterprise systems undetected. Conversely, Zero Trust operates under the core mantra 'never trust, always verify.' ZTA enforces continuous identity verification, granular least-privilege access controls, micro-segmentation of network assets, and end-to-end cryptographic encryption for every transaction, regardless of user location. Cybersecurity analysts emphasize that ZTA represents a foundational defense against sophisticated advanced persistent threats (APTs) in distributed cloud environments.

What is the most suitable title for the passage?","The Flaws of Cloud Computing in Corporate Organizations","Zero Trust Architecture: Overhauling Enterprise Cybersecurity Through Continuous Verification","Why Firewalls Offer Complete Protection Against All Cyber Threats","A Guide to Recovering Ransomware Payments for Financial Institutions","B","Step-by-Step Solution: The text contrasts legacy perimeter defenses ('castle-and-moat') with the modern Zero Trust Architecture (ZTA), outlining ZTA's philosophy ('never trust, always verify'), structural pillars (micro-segmentation, continuous verification, least privilege), and defense against lateral movement and APTs. Option B encapsulates the core subject and paradigm shift.

Common Trap: Selecting Option C, which directly contradicts the passage's argument that firewalls are insufficient.
Exam Tip: A great title captures both the named framework and its operative principle (e.g., 'Zero Trust Architecture... Continuous Verification').","Eliminated because the text presents Zero Trust as a security solution for cloud networks, not a critique of cloud computing.","Correct. Survives elimination because it states the exact model (Zero Trust Architecture) and its core mechanism (continuous verification in enterprise security).","Eliminated because it directly contradicts the text, which shows firewalls alone leave internal networks vulnerable to lateral movement.","Eliminated because ransomware recovery payments are unmentioned.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Best title | Very Difficult | Batch 004"
"The concept of 'Regulatory Sandboxes' has emerged as a premier regulatory innovation in financial technology (fintech) supervision. Traditional financial regulation requires strict upfront licensing and capital compliance before an enterprise can launch a product, creating high barriers to entry that stifle innovative fintech startups. A regulatory sandbox provides a controlled, time-bound testing environment where startups can test innovative financial products, services, or delivery channels with real consumers under tailored, relaxed regulatory requirements and active regulatory oversight. This mechanism allows regulatory authorities like central banks to observe novel technologies (such as blockchain lending or AI credit scoring) in real time, identify emerging consumer risks, and update statutory frameworks without crushing market innovation. Financial policy scholars view regulatory sandboxes as an essential tool to foster competitive financial innovation while maintaining systemic consumer protection.

Which title best captures the primary focus and value proposition discussed in the passage?","How Financial Startups Evade Central Bank Regulations Legally","Regulatory Sandboxes: Balancing Fintech Innovation with Prudent Market Supervision","The Complete Abolition of Capital Adequacy Requirements for Commercial Banks","A Technical Manual on Developing Decentralized Blockchain Protocols","B","Step-by-Step Solution: The text analyzes Regulatory Sandboxes as a supervisory mechanism that allows fintech startups to test innovations in a controlled environment while enabling central banks to supervise risks and update regulations without stifling growth. Option B captures the subject (Regulatory Sandboxes) and the balance between fintech innovation and market supervision.

Common Trap: Choosing sensationalized negative titles (Option A) that misunderstand the legal intent of sandbox regimes.
Exam Tip: In governance and regulatory passages, look for balanced phrasing like 'Balancing Innovation with Supervision'.","Eliminated because sandboxes are official, collaborative supervisory programs, not schemes to evade law.","Correct. Survives elimination because it highlights both key aspects: fintech innovation and prudent market supervision.","Eliminated because capital requirements for commercial banks are not abolished.","Eliminated because the passage is a financial regulation analysis, not a technical coding manual.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Best title | Very Difficult | Batch 004"
"In public agricultural policy, the debate between 'Food Security' and 'Food Sovereignty' reflects fundamentally divergent developmental philosophies. Food Security, as traditionally defined by global institutions, focuses on the availability, accessibility, and affordability of adequate food supplies for all people, irrespective of whether the food is produced domestically or imported via globalized agro-industrial trade networks. In contrast, the Food Sovereignty movement argues that true resilience requires communities and nations to exercise democratic control over their own food and agricultural systems. Food sovereignty prioritizes agroecological farming methods, the defense of smallholder agrarian land rights, biodiversity preservation, and local food production over corporate-dominated global commodity supply chains. Agrarian sociologists highlight that while Food Security addresses nutritional access, Food Sovereignty tackles the underlying structural power asymmetries governing global food distribution.

Which of the following serves as the most accurate and insightful title for the text?","Food Security vs. Food Sovereignty: Contrasting Commodity Availability with Agrarian Self-Determination","Why Developing Countries Must Rely Exclusively on Multinational Food Imports","Agricultural Methods for Maximizing Chemical Fertilizer Yields","The Complete Eradication of Global Hunger Through Corporate Trade Agreements","A","Step-by-Step Solution: The passage contrasts two major paradigms: Food Security (ensuring food availability and affordability through trade and markets) vs. Food Sovereignty (community self-determination, agrarian rights, agroecology, democratic control of food systems). Option A captures both concepts and their respective philosophical cores ('Commodity Availability' vs. 'Agrarian Self-Determination').

Common Trap: Picking an option that endorses corporate dependency (Option B or D), which the text explicitly critiques.
Exam Tip: When a passage juxtaposes two concepts, the best title names both and highlights their fundamental contrast.","Correct. Survives elimination because it precisely frames the comparative tension between market/commodity access (Food Security) and systemic self-determination (Food Sovereignty).","Eliminated because it contradicts the Food Sovereignty perspective presented in the text.","Eliminated because chemical fertilizers are not the focus of this developmental policy passage.","Eliminated because it is unsubstantiated and contrary to the critique of corporate supply chains in the text.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Best title | Very Difficult | Batch 004"
"The organizational theory of 'Ambidextrous Leadership' addresses the fundamental tension between 'Exploitation' and 'Exploration' in public sector innovation. Exploitative activities involve optimizing existing administrative processes, enforcing compliance, improving operational efficiency, and reducing variance in routine public service delivery. Exploratory activities, by contrast, involve experimental risk-taking, prototyping novel public services, challenging established standard operating procedures, and embracing calculated failures to discover breakthrough solutions. Administrative scholars emphasize that successful public sector executives must cultivate ambidexterity—the cognitive and structural agility to simultaneously maintain operational discipline in core baseline operations while establishing protected organizational incubators for creative experimentation.

What is the most fitting title for the passage?","The Total Abandonment of Standard Operating Procedures in Government Agencies","Ambidextrous Leadership: Harmonizing Operational Efficiency with Public Sector Innovation","Techniques for Eliminating All Administrative Risks in Public Service Delivery","A Historical Survey of Civil Service Disciplinary Tribunals","B","Step-by-Step Solution: The passage defines Ambidextrous Leadership as the ability of public sector leaders to balance two competing organizational needs: Exploitation (refining existing processes, efficiency, compliance) and Exploration (experimentation, innovation, novel public services). Option B captures this dual balance: 'Ambidextrous Leadership: Harmonizing Operational Efficiency with Public Sector Innovation.'

Common Trap: Selecting extreme options (Option A) that misrepresent the dual-balance nature of ambidexterity.
Exam Tip: Look for terms like 'Harmonizing', 'Balancing', or 'Integrating' when titling passages about organizational ambidexterity.","Eliminated because the text emphasizes that core operations and standard procedures must still be maintained.","Correct. Survives elimination because it captures the concept of Ambidextrous Leadership and the synthesis of efficiency and innovation.","Eliminated because exploration requires embracing calculated risks rather than eliminating all risks.","Eliminated because disciplinary tribunals are unmentioned.","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Best title | Very Difficult | Batch 004"
