"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"FIDUCIARY: BENEFICIARY:: GUARDIAN: ______","WARD","TRUSTEE","CONSERVATOR","EXECUTOR","A","Step-by-Step Solution:
1. Analyze the legal fiduciary relationship in the initial word pair (FIDUCIARY: BENEFICIARY):
 - A \""fiduciary\"" is an individual entrusted with legal duty and care who acts for the exclusive benefit of a \""beneficiary\"".
 - Relationship: Legal custodian/duty-bearer-to-protected dependent party RECIPROCAL RELATIONSHIP.
2. Determine the corresponding protected dependent individual for a legal \""GUARDIAN\"":
 - A \""guardian\"" is legally appointed by a court to protect and manage the personal and property affairs of a \""ward\"" (a minor or legally incapacitated person under guardianship).
 - Therefore, GUARDIAN is to WARD as FIDUCIARY is to BENEFICIARY.
3. Evaluate incorrect alternatives:
 - Option B (Trustee): The person holding legal title to property in trust (the fiduciary, not the ward).
 - Option C (Conservator): A court-appointed manager for an incompetent's estate (fiduciary manager).
 - Option D (Executor): The administrator appointed to execute a will (fiduciary manager).

Common Trap: Selecting trustee or conservator, which are fiduciary managers rather than the protected subject (the ward).
Exam Tip: Fiduciary protects Beneficiary; Guardian protects Ward (exact legal fiduciary-to-subject pair).","Correct. Survives elimination because a fiduciary owes legal care to a beneficiary, just as a legal guardian owes care and protection to a ward.","Eliminated because a trustee is the property manager, not the recipient.","Eliminated because a conservator is an appointed manager.","Eliminated because an executor is a testamentary administrator.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Relationship analogy | Very Difficult | Batch 068"
"MENTOR: PROTÉGÉ:: PRECEPTOR: ______","NOVICE","MASTER","PEDAGOGUE","TUTOR","A","Step-by-Step Solution:
1. Analyze the educational/guidance relationship in the initial word pair (MENTOR: PROTÉGÉ):
 - A \""mentor\"" is an experienced, trusted advisor who guides and develops a younger or less experienced \""protégé\"".
 - Relationship: Authoritative mentor/instructor-to-guided learner RECIPROCAL RELATIONSHIP.
2. Determine the corresponding guided learner for a \""PRECEPTOR\"":
 - A \""preceptor\"" is an expert practitioner (especially in clinical medicine, law, or academic instruction) who trains, supervises, and evaluates a practicing \""novice\"" or apprentice pupil.
 - Therefore, PRECEPTOR is to NOVICE as MENTOR is to PROTÉGÉ.
3. Evaluate incorrect alternatives:
 - Option B (Master): A senior expert craftsman (synonym of preceptor).
 - Option C (Pedagogue): A teacher or schoolmaster (instructor side of the relation).
 - Option D (Tutor): A private academic instructor (instructor side of the relation).

Common Trap: Selecting pedagogue or tutor, which name instructors rather than the student recipient.
Exam Tip: Mentor guides a Protégé; Preceptor guides a Novice (exact teacher-to-apprentice relationship).","Correct. Survives elimination because a mentor guides a protégé, just as a professional preceptor instructs and trains a novice pupil.","Eliminated because master represents senior craftsman rank.","Eliminated because a pedagogue is a teacher.","Eliminated because a tutor is an instructor.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Relationship analogy | Very Difficult | Batch 068"
"PRINCIPAL: AGENT:: TESTATOR: ______","EXECUTOR","HEIR","JUROR","WITNESS","A","Step-by-Step Solution:
1. Analyze the delegated legal authority relationship in the initial word pair (PRINCIPAL: AGENT):
 - A \""principal\"" is a person who authorizes an \""agent\"" to act on their behalf and execute binding legal and commercial affairs.
 - Relationship: Grantor of legal authority-to-designated fiduciary executor of authority.
2. Determine the corresponding designated fiduciary administrator appointed by a \""TESTATOR\"":
 - A \""testator\"" (a person who authors a valid last will and testament) formally designates an \""executor\"" to administer, settle, and carry out the testamentary provisions of their estate.
 - Therefore, TESTATOR is to EXECUTOR as PRINCIPAL is to AGENT.
3. Evaluate incorrect alternatives:
 - Option B (Heir): The successor beneficiary who inherits property from the estate.
 - Option C (Juror): A member of a judicial jury panel.
 - Option D (Witness): An attesting bystander who signs the will.

Common Trap: Selecting heir (the beneficiary who receives property) instead of the executor (the fiduciary authorized to act on the testator's behalf).
Exam Tip: Principal empowers an Agent; Testator empowers an Executor.","Correct. Survives elimination because a principal delegates authority to an agent, while a testator designates an executor to administer their testamentary will.","Eliminated because an heir is an estate beneficiary, not the administrative agent.","Eliminated because a juror is a court panelist.","Eliminated because an instrumental witness attests will execution.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Relationship analogy | Very Difficult | Batch 068"
"BAILOR: BAILEE:: LESSOR: ______","LESSEE","BROKER","SUBLET","MORTGAGEE","A","Step-by-Step Solution:
1. Analyze the contract property delivery relationship in the initial word pair (BAILOR: BAILEE):
 - A \""bailor\"" is a party who entrusts personal property to a \""bailee\"" under a contract of bailment.
 - Relationship: Grantor of possessory property rights-to-receiver of leasehold/possessory rights.
2. Determine the reciprocal party who receives leasehold rights from a \""LESSOR\"":
 - A \""lessor\"" (landlord/property owner) grants temporary leasehold possession and enjoyment of real property to a tenant, known in civil law as the \""lessee\"".
 - Therefore, LESSOR is to LESSEE as BAILOR is to BAILEE.
3. Evaluate incorrect alternatives:
 - Option B (Broker): A commercial intermediary who negotiates deals.
 - Option C (Sublet): The act of re-leasing property.
 - Option D (Mortgagee): The creditor/lender in a real estate mortgage.

Common Trap: Confusing landlord/tenant (lessor/lessee) with lender/borrower (mortgagee/mortgagor).
Exam Tip: Bailor entrusts Bailee; Lessor leases to Lessee; Mortgagor mortgages to Mortgagee.","Correct. Survives elimination because a bailor entrusts goods to a bailee, just as a lessor leases property to a lessee.","Eliminated because a broker is an intermediary.","Eliminated because a sublet is a subsequent secondary lease.","Eliminated because a mortgagee is a creditor secured by a mortgage.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Relationship analogy | Very Difficult | Batch 068"
"CREDITOR: DEBTOR:: OBLIGEE: ______","OBLIGOR","SURETY","GUARANTOR","INDEMNITOR","A","Step-by-Step Solution:
1. Analyze the legal obligations relationship in the initial word pair (CREDITOR: DEBTOR):
 - A \""creditor\"" holds a legal claim against a \""debtor\"" who is legally bound to satisfy the debt.
 - Relationship: Holder of the legal demand right-to-party bound to perform the prestation.
2. Determine the corresponding bound party under civil obligations law for an \""OBLIGEE\"":
 - In the law on obligations and contracts, an \""obligee\"" (creditor/active subject) has the juridical right to demand performance from the \""obligor\"" (debtor/passive subject) who is bound to give, do, or not do.
 - Therefore, OBLIGEE is to OBLIGOR as CREDITOR is to DEBTOR.
3. Evaluate incorrect alternatives:
 - Option B (Surety): A third party who solidarily binds himself with the principal debtor.
 - Option C (Guarantor): A subsidiary security provider bound only if the debtor defaults.
 - Option D (Indemnitor): A party promising to secure another against anticipated loss.

Common Trap: Selecting surety or guarantor, which are secondary accessory parties rather than the direct primary obligor.
Exam Tip: Creditor is to Debtor as Obligee is to Obligor (Active Subject vs Passive Subject in Juridical Obligations).","Correct. Survives elimination because an obligee is the creditor in an obligation entitled to demand performance from the obligor who is bound to perform.","Eliminated because a surety is a solidary third-party co-signer.","Eliminated because a guarantor is a subsidiary guarantor.","Eliminated because an indemnitor provides hold-harmless protection.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Relationship analogy | Very Difficult | Batch 068"
"DOCTOR: PATIENT:: COUNSEL: ______","CLIENT","ADVOCATE","DEFENDANT","PLAINTIFF","A","Step-by-Step Solution:
1. Analyze the professional advisory relationship in the initial word pair (DOCTOR: PATIENT):
 - A \""doctor\"" is a licensed healthcare professional who renders professional medical advice and treatment to a \""patient\"".
 - Relationship: Professional practitioner-to-recipient of confidential professional services.
2. Determine the corresponding recipient of confidential professional legal services from a legal \""COUNSEL\"":
 - Legal \""counsel\"" (an attorney-at-law) renders professional legal representation, advice, and advocacy to a \""client\"".
 - Therefore, COUNSEL is to CLIENT as DOCTOR is to PATIENT.
3. Evaluate incorrect alternatives:
 - Option B (Advocate): A synonym of legal counsel (practitioner side).
 - Option C (Defendant): A specific adverse party in a litigation case.
 - Option D (Plaintiff): A specific initiating party in a civil lawsuit.

Common Trap: Selecting defendant or plaintiff (which are specific court litigation roles rather than the general client relationship).
Exam Tip: Doctor serves Patient; Counsel serves Client (exact professional-to-client fiduciary relationships).","Correct. Survives elimination because a doctor provides healthcare services to a patient, while legal counsel provides legal services to a client.","Eliminated because advocate is a synonym of counsel.","Eliminated because defendant is a specific litigation party.","Eliminated because plaintiff is an initiating litigant.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Relationship analogy | Very Difficult | Batch 068"
"SUPERIOR: SUBORDINATE:: SOVEREIGN: ______","SUBJECT","MONARCH","AUTOCRAT","SUZERAIN","A","Step-by-Step Solution:
1. Analyze the hierarchical authority relationship in the initial word pair (SUPERIOR: SUBORDINATE):
 - A \""superior\"" holds formal institutional command and governing rank over a \""subordinate\"".
 - Relationship: Governing authority figure-to-governed subordinate member.
2. Determine the corresponding governed individual under a political \""SOVEREIGN\"":
 - A \""sovereign\"" (supreme governing monarch or state power) exercises supreme political authority over a \""subject\"" (a citizen/person under its jurisdiction).
 - Therefore, SOVEREIGN is to SUBJECT as SUPERIOR is to SUBORDINATE.
3. Evaluate incorrect alternatives:
 - Option B (Monarch): A royal ruler (synonym of sovereign).
 - Option C (Autocrat): A ruler with absolute, unconstrained power.
 - Option D (Suzerain): A dominant sovereign state controlling a tributary state.

Common Trap: Selecting monarch or autocrat, which name the sovereign ruler rather than the governed citizen/subject.
Exam Tip: Superior commands Subordinate; Sovereign rules over Subject.","Correct. Survives elimination because a superior exercises authority over a subordinate, just as a sovereign exercises supreme political authority over a subject.","Eliminated because a monarch is a crowned sovereign.","Eliminated because an autocrat is an absolute ruler.","Eliminated because a suzerain is a dominant feudal overlord.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Relationship analogy | Very Difficult | Batch 068"
"PATRON: CLIENT:: BENEFACTOR: ______","BENEFICIARY","DONOR","PHILANTHROPIST","SPONSOR","A","Step-by-Step Solution:
1. Analyze the support and patronage relationship in the initial word pair (PATRON: CLIENT):
 - In classical social structures, a wealthy \""patron\"" provides financial support, protection, and advocacy to a \""client\"".
 - Relationship: Generous provider of aid/funding-to-recipient of charitable assistance.
2. Determine the corresponding recipient of charitable endowments from a \""BENEFACTOR\"":
 - A \""benefactor\"" (a person who donates money or valuable aid to a cause) confers charitable support upon a \""beneficiary\"" (the recipient who derives the advantage).
 - Therefore, BENEFACTOR is to BENEFICIARY as PATRON is to CLIENT.
3. Evaluate incorrect alternatives:
 - Option B (Donor): The contributor who gives (synonym of benefactor).
 - Option C (Philanthropist): A wealthy charitable donor (synonym of benefactor).
 - Option D (Sponsor): An entity supporting an initiative (synonym of benefactor).

Common Trap: Selecting donor or philanthropist, which name the giver rather than the recipient (beneficiary).
Exam Tip: Patron supports Client; Benefactor supports Beneficiary.","Correct. Survives elimination because a patron provides support to a client, while a benefactor confers aid upon a beneficiary.","Eliminated because a donor is a giver.","Eliminated because a philanthropist is a charitable giver.","Eliminated because a sponsor provides funding.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Relationship analogy | Very Difficult | Batch 068"
"CONSIGNOR: CONSIGNEE:: VENDOR: ______","VENDEE","BROKER","MERCHANDISER","DISTRIBUTOR","A","Step-by-Step Solution:
1. Analyze the commercial transaction relationship in the initial word pair (CONSIGNOR: CONSIGNEE):
 - A \""consignor\"" is the sender/seller who delivers goods to a \""consignee\"" (the recipient receiver/agent).
 - Relationship: Commercial transferor-to-commercial transferee RECIPROCAL RELATIONSHIP.
2. Determine the corresponding purchasing transferee for a commercial \""VENDOR\"":
 - In civil law and commercial contracts, a \""vendor\"" (the seller of goods or real estate) sells to the \""vendee\"" (the buyer/purchaser).
 - Therefore, VENDOR is to VENDEE as CONSIGNOR is to CONSIGNEE.
3. Evaluate incorrect alternatives:
 - Option B (Broker): A middleman negotiator.
 - Option C (Merchandiser): A retailer/seller.
 - Option D (Distributor): A middleman wholesale agent.

Common Trap: Selecting distributor or broker (intermediaries) instead of the exact civil law buyer counterparty (vendee).
Exam Tip: Consignor ships to Consignee; Vendor sells to Vendee.","Correct. Survives elimination because a consignor delivers goods to a consignee, just as a commercial vendor sells property to a vendee.","Eliminated because a broker is a negotiating intermediary.","Eliminated because a merchandiser is a retail promoter.","Eliminated because a distributor is a supply-chain intermediary.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Relationship analogy | Very Difficult | Batch 068"
"APPELLANT: APPELLEE:: PLAINTIFF: ______","DEFENDANT","PETITIONER","RESPONDENT","INTERVENOR","A","Step-by-Step Solution:
1. Analyze the juridical adversary relationship in the initial word pair (APPELLANT: APPELLEE):
 - In appellate jurisprudence, the \""appellant\"" (the party appealing a lower court decision) opposes the \""appellee\"" (the party defending the judgment on appeal).
 - Relationship: Court adversary litigation pairing RECIPROCAL OPPOSITES.
2. Determine the corresponding opposing adversarial party for a \""PLAINTIFF\"":
 - In civil trial courts, the \""plaintiff\"" (the party filing the civil compla∫) opposes the \""defendant\"" (the defending party against whom relief is sought).
 - Therefore, PLAINTIFF is to DEFENDANT as APPELLANT is to APPELLEE.
3. Evaluate incorrect alternatives:
 - Option B (Petitioner): The initiating party in special proceedings/certiorari petitions (counterpart of respondent).
 - Option C (Respondent): The answering party in administrative/certiorari actions.
 - Option D (Intervenor): A third party with legal interest who enters an ongoing lawsuit.

Common Trap: Selecting respondent or petitioner, which belong to appellate petitions or special civil actions rather than original civil actions (plaintiff vs defendant).
Exam Tip: Trial Level: Plaintiff vs Defendant; Appellate Level: Appellant vs Appellee; Special Petitions: Petitioner vs Respondent.","Correct. Survives elimination because an appellant is the adversary of an appellee on appeal, just as a plaintiff is the adversary of a defendant in a civil lawsuit.","Eliminated because petitioner is the initiating party in special civil actions.","Eliminated because respondent is the answering party in special civil petitions.","Eliminated because an intervenor is a third-party joining an ongoing suit.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Relationship analogy | Very Difficult | Batch 068"
