"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Choose the sentence that correctly avoids a dangling participial modifier.","Having completed the forensic audit, the state auditor submitted the comprehensive findings to the Ombudsman.","Having completed the forensic audit, the comprehensive findings were submitted to the Ombudsman by the state auditor.","Having completed the forensic audit, the Ombudsman received the comprehensive findings from the auditor.","Having completed the forensic audit, the report was officially endorsed by the state auditor.","A","Step-by-Step Solution:
1. Identify introductory modifier: 'Having completed the forensic audit' (a perfect participial phrase indicating an agent who finished the audit).
2. Rule for introductory modifiers: The noun immediately following the comma MUST be the logical subject performing the action of the modifier.
3. Who completed the audit? The state auditor.
4. Option A places 'the state auditor' immediately after the comma ('Having completed..., the state auditor submitted...').
5. In Options B, C, and D, 'the comprehensive findings', 'the Ombudsman', or 'the report' incorrectly follow the comma, creating a dangling modifier.

Common Trap: Placing the passive noun ('the findings' or 'the report') right after the introductory modifier.
Exam Tip: Ask: 'WHO is doing the action in the opening phrase?' That person/entity MUST be the very first word after the comma.","Correct. 'The state auditor' is the logical agent who completed the audit and directly follows the introductory participial modifier.","Eliminated because 'the findings' cannot physically complete an audit (dangling modifier).","Eliminated because the Ombudsman was the recipient of the report, not the auditor who completed it.","Eliminated because 'the report' cannot perform an audit.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Dangling and misplaced modifiers | Difficult | Batch VA-012"
"Select the sentence that eliminates the misplaced modifier error.","The director only approved the emergency procurement after reviewing the liquidation reports.","The director approved the emergency procurement only after reviewing the liquidation reports.","Only the director approved the emergency procurement after reviewing the liquidation reports.","The director approved only the emergency procurement after reviewing the liquidation reports.","B","Step-by-Step Solution:
1. Rule for limiting modifiers ('only', 'just', 'merely', 'almost'): A limiting modifier must be placed directly adjacent to the specific word or phrase it modifies.
2. Context: The director approved the procurement AFTER reviewing the reports (a temporal condition).
3. Option B places 'only' immediately before the temporal condition: 'only after reviewing the liquidation reports'.
4. In Option A, 'only approved' means the director did nothing else but approve (e.g., did not reject or modify); in Option C, 'Only the director' means no one else approved it.
5. Option B expresses the intended temporal restriction with precision.

Common Trap: Placing 'only' before the main verb ('only approved') when it actually modifies a time clause or prepositional phrase.
Exam Tip: Place 'only' immediately in front of the specific phrase it restricts (e.g., 'only after X', 'only on Fridays', 'only three items').","Correct. Placing 'only' directly before 'after reviewing...' accurately restricts the approval to the fulfillment of the review condition.","Eliminated because placing 'only' before 'approved' illogically modifies the action of approval itself rather than the timing.","Eliminated because 'Only the director' restricts the person who approved, altering the intended meaning.","Eliminated because 'approved only the emergency procurement' restricts the object approved rather than the timing.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Dangling and misplaced modifiers | Difficult | Batch VA-012"
"Choose the sentence that correctly avoids a dangling infinitive phrase.","To qualify for the civil service professional eligibility, applicants must obtain a general rating of at least 80.00 percent.","To qualify for the civil service professional eligibility, a general rating of at least 80.00 percent must be obtained by applicants.","To qualify for the civil service professional eligibility, the examination must be passed by applicants.","To qualify for the civil service professional eligibility, high scores must be achieved on the exam.","A","Step-by-Step Solution:
1. Identify introductory phrase: 'To qualify for the civil service professional eligibility' (an infinitive phrase of purpose).
2. Rule: The subject immediately following the comma must be the entity seeking to qualify.
3. Who qualifies? The 'applicants' (people).
4. Option A places 'applicants' directly after the comma ('To qualify..., applicants must obtain...').
5. In Options B, C, and D, 'a general rating', 'the examination', or 'high scores' follow the comma, creating a dangling infinitive (a score cannot qualify for eligibility).

Common Trap: Using passive voice in the main clause ('must be obtained'), which separates the agent from the introductory infinitive phrase.
Exam Tip: Active voice ('applicants must obtain') naturally fixes dangling modifiers.","Correct. 'Applicants' is the logical subject seeking to qualify and directly follows the introductory infinitive phrase of purpose.","Eliminated because 'a general rating' cannot seek to qualify for eligibility (dangling infinitive).","Eliminated because 'the examination' cannot qualify for eligibility.","Eliminated because 'high scores' cannot qualify for civil service eligibility.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Dangling and misplaced modifiers | Difficult | Batch VA-012"
"Select the sentence that eliminates the dangling prepositional/elliptical clause.","While reviewing the financial ledger, the internal auditor discovered several unrecorded disbursements.","While reviewing the financial ledger, several unrecorded disbursements were discovered by the internal auditor.","While reviewing the financial ledger, the discrepancies became immediately apparent.","While reviewing the financial ledger, an emergency meeting was called by the management.","A","Step-by-Step Solution:
1. Identify introductory clause: 'While reviewing the financial ledger' (an elliptical clause meaning 'While [subject] was reviewing...').
2. Rule: The subject following the comma must be the person actively reviewing the ledger.
3. Who is reviewing? 'the internal auditor'.
4. Option A correctly places 'the internal auditor' right after the comma.
5. In Options B, C, and D, 'disbursements', 'discrepancies', or 'an emergency meeting' follow the comma, illogically implying that disbursements or meetings were reading the ledger.

Common Trap: Allowing inanimate objects ('discrepancies', 'disbursements') to serve as subjects following active participial clauses.
Exam Tip: Check if the subject after the comma has eyes, hands, or cognition to perform the opening action.","Correct. 'The internal auditor' is the conscious agent reviewing the ledger, properly positioned immediately after the introductory clause.","Eliminated because 'unrecorded disbursements' cannot review a financial ledger (dangling modifier).","Eliminated because 'discrepancies' cannot review ledgers.","Eliminated because 'an emergency meeting' cannot read or review financial ledgers.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Dangling and misplaced modifiers | Difficult | Batch VA-012"
"Choose the sentence that corrects the squinting modifier: 'The executive committee agreed immediately after the holiday to implement the austerity measures.'","The executive committee agreed that, immediately after the holiday, they would implement the austerity measures.","The executive committee agreed immediately to after the holiday implement austerity measures.","The executive committee immediately agreed after the holiday they would implement austerity measures.","Immediately the executive committee agreed after the holiday to implement austerity measures.","A","Step-by-Step Solution:
1. Identify squinting modifier: In the original sentence, 'immediately after the holiday' squints between two verbs: Did they AGREE immediately after the holiday, or did they agree to IMPLEMENT immediately after the holiday?
2. A squinting modifier is ambiguous because it can modify either the preceding or following word.
3. Resolution: Rearranging into a clear 'that' clause ('agreed that, immediately after the holiday, they would implement...') clearly anchors the timing to the implementation.
4. Option A eliminates all ambiguity.

Common Trap: Leaving an adverbial phrase sandwiched between two verbs where it could logically modify either one.
Exam Tip: A squinting modifier looks backwards and forwards simultaneously. Move the adverb clearly to the verb it is meant to modify.","Correct. Reconstructing the clause clearly ties 'immediately after the holiday' to the implementation rather than the agreement.","Eliminated because placing 'immediately to after...' is syntactically fractured.","Eliminated because 'immediately agreed after the holiday' retains conflicting temporal markers.","Eliminated because it creates awkward phrasing without resolving the two time references cleanly.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Dangling and misplaced modifiers | Difficult | Batch VA-012"
"Select the sentence that avoids a misplaced prepositional phrase.","The agency purchased a state-of-the-art server for the database administrator with advanced cybersecurity encryption.","The agency purchased a state-of-the-art server with advanced cybersecurity encryption for the database administrator.","For the database administrator, a state-of-the-art server with advanced cybersecurity encryption was purchased by the agency with cash.","With advanced cybersecurity encryption, the agency purchased a server for the database administrator.","B","Step-by-Step Solution:
1. Identify the misplaced modifier: In Option A, 'with advanced cybersecurity encryption' is placed directly after 'database administrator', illogically implying that the human administrator has encryption embedded in them.
2. What has encryption? 'the state-of-the-art server'.
3. Rule: Place the modifier directly next to the noun it modifies: 'a state-of-the-art server with advanced cybersecurity encryption for the database administrator' (Option B).
4. Option B is clear and logical.

Common Trap: Placing descriptive features of an object after a human noun at the end of a sentence.
Exam Tip: Keep adjective prepositional phrases immediately adjacent to the physical item they describe.","Correct. Placing 'with advanced cybersecurity encryption' directly after 'server' correctly clarifies that the server has encryption, not the administrator.","Eliminated because it illogically modifies 'database administrator' with cybersecurity encryption.","Eliminated because passive phrasing with stacked prepositional phrases creates clumsy word order.","Eliminated because it ambiguously suggests the agency itself possesses encryption while shopping.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Dangling and misplaced modifiers | Difficult | Batch VA-012"
"Choose the sentence that correctly resolves the dangling participial modifier.","Upon entering the examination room, examinees must present their valid government-issued identification cards.","Upon entering the examination room, valid government-issued identification cards must be presented by examinees.","Upon entering the examination room, the door was immediately locked by the proctor.","Upon entering the examination room, a silent atmosphere was observed.","A","Step-by-Step Solution:
1. Identify introductory phrase: 'Upon entering the examination room' (a participial/gerund phrase indicating movement into the room).
2. Who enters the room? 'examinees'.
3. Rule: 'Examinees' must immediately follow the comma.
4. Option A places 'examinees' directly after the comma.
5. In Options B, C, and D, 'identification cards', 'the door', or 'a silent atmosphere' follow the comma, creating absurd dangling modifier errors (cards, doors, and atmospheres cannot enter rooms).

Common Trap: Using passive construction ('cards must be presented') after an introductory action phrase.
Exam Tip: Always pair 'Upon [doing action]' with the person performing the action as the subject of the main clause.","Correct. 'Examinees' is the conscious subject entering the room and directly follows the introductory time phrase.","Eliminated because identification cards cannot physically enter a room (dangling modifier).","Eliminated because the door did not enter the examination room.","Eliminated because 'a silent atmosphere' cannot walk into an examination room.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Dangling and misplaced modifiers | Difficult | Batch VA-012"
"Select the sentence that correctly positions the adverb 'ALMOST'.","The disaster relief task force delivered almost ten thousand emergency food packs during the first week of operations.","The disaster relief task force almost delivered ten thousand emergency food packs during the first week of operations.","The disaster relief task force delivered ten thousand emergency food packs almost during the first week of operations.","Almost the disaster relief task force delivered ten thousand emergency food packs during the first week.","A","Step-by-Step Solution:
1. Intended meaning: The quantity delivered was close to 10,000 (e.g., 9,800 packs).
2. Rule for 'almost': 'Almost' must be placed directly before the quantity or number it modifies ('almost ten thousand').
3. Option A is accurate: 'delivered almost ten thousand packs'.
4. In Option B, 'almost delivered' means they attempted to deliver but delivered ZERO packs (an aborted delivery).
5. In Option C, 'almost during' creates nonsense.

Common Trap: Placing 'almost' before the verb ('almost delivered') when modifying a numerical quantity.
Exam Tip: 'Almost won' means you lost; 'won almost all' means you won most of them. Place 'almost' right before the number.","Correct. 'Almost' directly modifies the quantity 'ten thousand', indicating that nearly 10,000 packs were successfully delivered.","Eliminated because 'almost delivered' means the delivery was aborted and nothing was delivered.","Eliminated because placing 'almost' before 'during' is nonsensical.","Eliminated because 'Almost the disaster task force' illogically questions the identity of the task force.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Dangling and misplaced modifiers | Difficult | Batch VA-012"
"Choose the sentence that eliminates the misplaced relative clause.","The governor signed the executive order that established the regional peace council in the provincial capitol.","The governor signed the executive order in the provincial capitol that established the regional peace council.","In the provincial capitol, the executive order was signed by the governor that established the regional peace council.","The governor in the provincial capitol signed the executive order that established the peace council without reading it.","A","Step-by-Step Solution:
1. Analyze relative clause: 'that established the regional peace council'.
2. What established the council? 'the executive order' (an order establishes a council; the capitol building does not).
3. Rule: A relative clause ('that...') must directly follow its antecedent noun ('executive order').
4. Option A places 'that established...' immediately after 'executive order'.
5. In Option B, 'that established...' follows 'capitol', illogically implying that the provincial capitol building established the peace council.

Common Trap: Placing a location phrase ('in the provincial capitol') between a noun and its relative clause.
Exam Tip: Keep 'that' clauses attached directly to the specific noun they define.","Correct. The relative clause 'that established the regional peace council' directly follows its true antecedent 'the executive order'.","Eliminated because placing the relative clause after 'provincial capitol' illogically implies the building established the council.","Eliminated because separating the relative clause from 'executive order' by the subject 'governor' creates a misplaced modifier.","Eliminated because 'without reading it' creates an ambiguous dangling modifier at the end.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Dangling and misplaced modifiers | Difficult | Batch VA-012"
"Select the sentence that avoids a dangling elliptical clause of condition.","Unless thoroughly audited, government procurement vouchers cannot be approved for final check release.","Unless thoroughly audited, the finance officer cannot approve government procurement vouchers.","Unless thoroughly audited, final check release cannot be executed by the cashier.","Unless thoroughly audited, approval of vouchers is strictly prohibited.","A","Step-by-Step Solution:
1. Identify introductory clause: 'Unless thoroughly audited' (an elliptical clause for 'Unless [they are] thoroughly audited').
2. What is audited? 'government procurement vouchers' (documents/vouchers undergo audit).
3. Rule: 'Government procurement vouchers' must be the subject immediately following the comma.
4. Option A places 'government procurement vouchers' directly after the comma.
5. In Option B, 'the finance officer' follows the comma, illogically stating that the human finance officer must be audited before approving vouchers.
6. In Options C and D, 'check release' or 'approval' follow the comma.

Common Trap: Assuming the human officer should be the subject after 'Unless audited'. The vouchers are what gets audited.
Exam Tip: Expand the elliptical clause ('Unless [vouchers are] audited') to identify the correct subject of the main clause.","Correct. 'Government procurement vouchers' is the logical entity undergoing audit, correctly positioned as the subject of the main clause.","Eliminated because it illogically implies that the finance officer is the one being thoroughly audited.","Eliminated because 'final check release' is not the entity undergoing audit.","Eliminated because 'approval of vouchers' is an abstract action, not the physical vouchers being audited.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Dangling and misplaced modifiers | Difficult | Batch VA-012"
