"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Choose the word that is MOST OPPOSITE in meaning to the capitalized word: During the Senate inquiry, the witness provided an EQUIVOCAL statement regarding the unauthorized disbursement of public funds.","Clear and unambiguous","Vague and evasive","Misleading and deceitful","Lengthy and comprehensive","A","Step-by-Step Solution:
1. Target word: 'EQUIVOCAL' means open to more than one interpretation; deliberately ambiguous, misleading, or evasive.
2. Context: An inquiry requires direct clarity, whereas an equivocal response obscures the truth.
3. Opposite meaning: 'Clear and unambiguous' (A) is the exact antonym.

Common Trap: Mistaking 'equivocal' for 'equal' or 'equivalent'.
Exam Tip: 'Equivocal' means ambiguous; 'unequivocal' means completely clear and direct.","Correct. 'Clear and unambiguous' is the direct antonym of 'equivocal' (which means intentionally vague or open to multiple interpretations).","Eliminated because 'vague and evasive' is a synonym, not an antonym.","Eliminated because 'misleading' is a characteristic synonym of equivocation.","Eliminated because length is unrelated to clarity or ambiguity.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Antonyms | Difficult | Batch VA-002"
"Piliin ang salitang KASALUNGAT ng salitang nakasulat sa MALALAKING TITIK: Ang pamilya ng nasasakdal ay namumuhay nang DUKHA sa kabila ng mga paratang ng tagong yaman.","Mayaman at mariwasa","Salat at kapos","Payak at marangal","Tapat at totoo","A","Step-by-Step Solution:
1. Suriin ang salitang 'DUKHA': Nangangahulugan itong mahirap, maralita, salat sa materyal na bagay, o kapos sa kabuhayan.
2. Hanapin ang kasalungat: Ang kabaligtaran ng mahirap ay maykaya, masagana, o 'Mayaman at mariwasa' (A).
3. Tugmang sagot: Option A.

Common Trap: Pagkakamali sa pagpili ng 'salat' na kasingkahulugan, hindi kasalungat.
Exam Tip: Laging basahin nang mabuti kung KASALUNGAT (antonym) o KAKASINGKAHULUGAN (synonym) ang hinihingi sa panuto.","Correct. Ang 'mayaman at mariwasa' ang tuwirang kasalungat ng 'dukha' (mahirap).","Eliminated dahil ang 'salat at kapos' ay kasingkahulugan ng dukha.","Eliminated dahil ang 'payak at marangal' ay naglalarawan ng simpleng pamumuhay, hindi antas ng yaman.","Eliminated dahil ang 'tapat' ay tumutukoy sa katangian ng moralidad, hindi kabuhayan.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Antonyms | Difficult | Batch VA-002"
"Choose the word that is MOST OPPOSITE in meaning to the capitalized word: The agency faced a DEARTH of qualified applicants for high-level cybersecurity positions.","Abundance and profusion","Shortage and scarcity","Inadequacy and deficit","Stagnation and standstill","A","Step-by-Step Solution:
1. Target word: 'DEARTH' means a scarcity, lack, or insufficient quantity of something.
2. Opposite meaning: A plentiful supply, which is 'Abundance and profusion' (A).
3. Evaluate choices: 'Shortage' and 'Inadequacy' are synonyms; 'Stagnation' refers to lack of motion.

Common Trap: Confusing 'dearth' with 'death' or 'dirt'.
Exam Tip: 'Dearth' indicates scarcity of resources, talent, or supply. Its primary antonym is 'abundance'.","Correct. 'Abundance and profusion' means an overflowing plentiful supply, the direct opposite of 'dearth' (scarcity).","Eliminated because 'shortage' is a direct synonym of dearth.","Eliminated because 'inadequacy and deficit' are synonyms.","Eliminated because 'stagnation' refers to inactivity rather than quantity.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Antonyms | Difficult | Batch VA-002"
"Piliin ang salitang KASALUNGAT ng salitang nakasulat sa MALALAKING TITIK: Hindi matanggap ng madla ang MAPANG-ALIPUSTANG pananalita ng tagapagsalita laban sa mga maralitang tagalungsod.","Magalang at mapagpitagan","Mapangmata at mapang-aπ","Mapanira at mapanlibak","Masakit at mapait","A","Step-by-Step Solution:
1. Suriin ang salitang 'MAPANG-ALIPUSTA': Ito ay nangangahulugang mapanghamak, mapang-aπ, mapanlait, o walang respeto sa dignidad ng kapwa.
2. Hanapin ang kasalungat: Ang kabaligtaran ng mapanglait ay 'Magalang at mapagpitagan' (A).
3. Tugmang sagot: Option A.

Common Trap: Pagpili sa 'mapanlibak' dahil magkatunog o magkaugnay ang konteksto.
Exam Tip: Ang 'pitagan' ay pormal na salitang Filipino para sa mataas na antas ng paggalang at respeto.","Correct. Ang 'magalang at mapagpitagan' ang tuwirang kasalungat ng mapang-alipusta (mapanghamak/mapanglait).","Eliminated dahil ang 'mapangmata at mapang-aπ' ay kasingkahulugan ng mapang-alipusta.","Eliminated dahil ang 'mapanira at mapanlibak' ay kasingkahulugan.","Eliminated dahil ang 'masakit at mapait' ay naglalarawan ng damdamin, hindi ng kabaligtarang pag-uugali.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Antonyms | Difficult | Batch VA-002"
"Choose the word that is MOST OPPOSITE in meaning to the capitalized word: The legal reform was deemed PERTINENT to resolving persistent delays in appellate court proceedings.","Irrelevant and extraneous","Applicable and germane","Essential and crucial","Practical and functional","A","Step-by-Step Solution:
1. Target word: 'PERTINENT' means relevant, applicable, or germane to a particular matter.
2. Opposite meaning: Having no connection or bearing, which is 'Irrelevant and extraneous' (A).
3. Evaluate choices: 'Applicable', 'Germane', and 'Crucial' are synonyms or closely related concepts.

Common Trap: Selecting 'germane' thinking it is an antonym due to its rare appearance in casual speech.
Exam Tip: 'Germane' and 'pertinent' are synonyms; 'extraneous' and 'irrelevant' are their primary antonyms.","Correct. 'Irrelevant and extraneous' means having no connection to the subject, the exact opposite of 'pertinent'.","Eliminated because 'applicable and germane' are direct synonyms of pertinent.","Eliminated because 'essential' reinforces pertinence rather than opposes it.","Eliminated because 'practical' does not oppose pertinence.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Antonyms | Difficult | Batch VA-002"
"Piliin ang salitang KASALUNGAT ng salitang nakasulat sa MALALAKING TITIK: Sadyang WAGAS ang kanyang pagnanais na makapaglingkod nang tapat sa bayan nang walang anumang pansariling interes.","Paimbabaw at may pagkukunwari","Dalisay at tapat","Tunay at bukal sa loob","Matatag at walang maliw","A","Step-by-Step Solution:
1. Suriin ang salitang 'WAGAS': Nangangahulugan itong dalisay, busilak, tapat, totoo, at walang bahid ng panlilinlang.
2. Hanapin ang kasalungat: Ang kabaligtaran ng dalisay at tapat ay paimbabaw, pakitang-tao, o 'Paimbabaw at may pagkukunwari' (A).
3. Tugmang sagot: Option A.

Common Trap: Pagkakamali sa pagpili ng 'dalisay' na siyang kasingkahulugan ng wagas.
Exam Tip: Ang 'paimbabaw' ay tumutukoy sa gawaing panlabas lamang at walang katapatan sa kalooban.","Correct. Ang 'paimbabaw at may pagkukunwari' ang eksaktong kasalungat ng 'wagas' (dalisay at tapat).","Eliminated dahil ang 'dalisay at tapat' ay kasingkahulugan ng wagas.","Eliminated dahil ang 'tunay at bukal sa loob' ay kasingkahulugan.","Eliminated dahil ang 'matatag' ay katangian ng kawagasan.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Antonyms | Difficult | Batch VA-002"
"Choose the word that is MOST OPPOSITE in meaning to the capitalized word: The newly installed regional director was PRAISED for being approachable and AFFABLE to rank-and-file employees.","Aloof and hostile","Warm and cordial","Courteous and polite","Accessible and receptive","A","Step-by-Step Solution:
1. Target word: 'AFFABLE' means friendly, good-natured, approachable, and easy to talk to.
2. Opposite meaning: Distant, cold, unfriendly, or unapproachable, which is 'Aloof and hostile' (A).
3. Evaluate choices: 'Warm', 'Courteous', and 'Accessible' are positive synonyms.

Common Trap: Confusing 'affable' with 'affectation' (artificial behavior) or 'infallible'.
Exam Tip: 'Affable' denotes warm accessibility; 'aloof' denotes cold detachment and unapproachability.","Correct. 'Aloof and hostile' means distant, cold, and unfriendly, the direct antonym of 'affable'.","Eliminated because 'warm and cordial' are direct synonyms.","Eliminated because 'courteous' is a positive attribute aligned with affability.","Eliminated because 'accessible' is a primary component of being affable.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Antonyms | Difficult | Batch VA-002"
"Piliin ang salitang KASALUNGAT ng salitang nakasulat sa MALALAKING TITIK: MASYADONG TANTANAN ng komite ang pag-iimbestiga sa anomalya kaya hindi ito natapos sa itinakdang panahon.","Ipagpatuloy at pabilisin","Itigil at ihinto","Ipaliban muna","Huwag nang asikasuhin","A","Step-by-Step Solution:
1. Suriin ang salitang 'TANTANAN': Ang ibig sabihin ng tantanan ay tigilan, ihinto, o kalimutan na.
2. Hanapin ang kasalungat: Ang kabaligtaran ng pagtigil o paghinto ay 'Ipagpatuloy at pabilisin' (A).
3. Tugmang sagot: Option A.

Common Trap: Pag-aakalang ang tantanan ay nangangahulugang pagsikapan o bilisan.
Exam Tip: Ang 'tantanan' ay karaniwang ginagamit sa sawikain at pautos na pangungusap tulad ng 'tantanan mo ako' (tigilan mo ako).","Correct. Ang 'ipagpatuloy at pabilisin' ang kasalungat ng 'tantanan' (itigil/ihinto).","Eliminated dahil ang 'itigil at ihinto' ay kasingkahulugan ng tantanan.","Eliminated dahil ang 'ipaliban' ay kaugnay ng pagkaantala o pagtigil.","Eliminated dahil ang 'huwag asikasuhin' ay katumbas din ng pagtantan.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Antonyms | Difficult | Batch VA-002"
"Choose the word that is MOST OPPOSITE in meaning to the capitalized word: The economic consultant provided a TRANSIENT assessment of market recovery, acknowledging that structural shifts would occur rapidly.","Enduring and permanent","Fleeting and brief","Provisional and momentary","Short-lived and ephemeral","A","Step-by-Step Solution:
1. Target word: 'TRANSIENT' means lasting only for a short time; impermanent, fleeting, or ephemeral.
2. Opposite meaning: Lasting indefinitely or permanent, which is 'Enduring and permanent' (A).
3. Evaluate choices: 'Fleeting', 'Provisional', and 'Ephemeral' are all synonyms of transient.

Common Trap: Confusing 'transient' (short-lived) with 'transition' (process of change) or 'transparent'.
Exam Tip: 'Transient' and 'ephemeral' mean temporary; their opposites are 'permanent', 'enduring', and 'perennial'.","Correct. 'Enduring and permanent' means lasting indefinitely, the direct opposite of 'transient' (temporary and brief).","Eliminated because 'fleeting and brief' are direct synonyms of transient.","Eliminated because 'provisional and momentary' are synonyms.","Eliminated because 'short-lived and ephemeral' are exact synonyms.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Antonyms | Difficult | Batch VA-002"
"Piliin ang salitang KASALUNGAT ng salitang nakasulat sa MALALAKING TITIK: MABILIS LUMAGAPAK ang tiwala ng publiko sa ahensya matapos lumabas ang ulat ng komisyon sa pagsusuri.","Pumailanglang at tumaas","Bumagsak at gumuho","Nawala at naglaho","Humina at lumaylay","A","Step-by-Step Solution:
1. Suriin ang salitang 'LUMAGAPAK': Nangangahulugan itong bumagsak nang malakas, lumagpak, o gumuho nang mabilis.
2. Hanapin ang kasalungat: Ang kabaligtaran ng pagbagsak ay ang pagtaas, pag-angat, o 'Pumailanglang at tumaas' (A).
3. Tugmang sagot: Option A.

Common Trap: Pagkakamali sa pagpili ng 'bumagsak' dahil ito ang literal na ibig sabihin ng lumagapak.
Exam Tip: Ang 'pumailanglang' ay matalinghagang salita para sa paglipad pataas o pagtaas ng antas.","Correct. Ang 'pumailanglang at tumaas' ang tuwirang kasalungat ng 'lumagapak' (bumagsak nang malakas).","Eliminated dahil ang 'bumagsak at gumuho' ay kasingkahulugan.","Eliminated dahil ang 'nawala at naglaho' ay kaugnay ng pagbaba o pagkawala.","Eliminated dahil ang 'humina at lumaylay' ay kaugnay ng pagbagsak.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Antonyms | Difficult | Batch VA-002"
