"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article XV, Section 2 of the 1987 Philippine Constitution, how is MARRIAGE legally characterized, and what is the constitutional duty of the State towards it?","Marriage, as an inviolable social institution, is the foundation of the family and shall be protected by the State.","Marriage is an ordinary commercial partnership that may be dissolved at will by mutual notarized agreement of the spouses.","Marriage is a temporary revocable civil contract subject to automatic expiration every five years.","Marriage is a religious sacrament over which civil courts possess zero regulatory or annulment jurisdiction.","A","Step-by-Step Solution:
1. Constitutional Text: Article XV, Section 2 states:
 'Marriage, as an inviolable social institution, is the foundation of the family and shall be protected by the State.'
2. Landmark Legal Principles (Article 1, Family Code of the Philippines / Executive Order No. 209; Silverio v. Republic; Republic v. Manalo):
 - 1. Inviolable Social Institution: Marriage is not an ordinary commercial contract; it is a permanent civil status imbued with public interest.
 - 2. Public Policy: The State actively fosters and protects the preservation and solidarity of marriage. It cannot be dissolved by mere mutual consent, compromise, or private contract.
 - 3. Regulation: The State retains plenary police power to prescribe the requisites, capacity, solemnizing authorities, and statutory grounds for legal separation, declaration of nullity (e.g., Article 36 psychological incapacity), or annulment (Articles 45-46).
3. Option A is the verbatim constitutional provision.

Common Trap: Viewing marriage as a simple private contract like a commercial lease; the Constitution elevates marriage to an 'inviolable social institution' protected by the State.
Exam Tip: Article XV, Section 2 = Marriage is an INVIOLABLE SOCIAL INSTITUTION and the foundation of the family, protected by the State.","Correct. Survives elimination because Article XV, Section 2 explicitly establishes that marriage is an inviolable social institution and the foundation of the family, commanding the State to protect its sanctity and permanence.","Eliminated because marriage is not an ordinary private contract and cannot be terminated by mutual consent or notarized compromise without judicial decree.","Eliminated because marriage is a permanent civil union, not a temporary renewable five-year contract.","Eliminated because civil courts possess exclusive jurisdiction to adjudicate civil marriage nullity, annulment, and legal separation under the Family Code.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Family | Very Difficult | Batch 139"
"In the landmark ruling of Imbong v. Ochoa, Jr. (G.R. No. 204819, April 8, 2014), how did the Supreme Court interpret the constitutional right of spouses to 'FOUND A FAMILY IN ACCORDANCE WITH THEIR RELIGIOUS CONVICTIONS AND RESPONSIBLE PARENTHOOD' under Article XV, Section 3(1)?","The State may provide reproductive healthcare information and services under the Responsible Parenthood and Reproductive Health Act of 2012 (RA 10354), but cannot compel healthcare workers or religious institutions to perform or refer procedures that violate their religious conscience.","The State has the constitutional power to mandate a maximum limit of two children per family under criminal penalty.","The State must ban all forms of artificial contraception under Article XV, Section 3(1).","The State can force private religious hospitals to perform sterilizations against their ethical doctrines.","A","Step-by-Step Solution:
1. Landmark Case: Imbong v. Ochoa, Jr. (721 SCRA 146, 2014), penned by Justice Jose Catral Mendoza.
2. Constitutional Text: Article XV, Section 3(1):
 'The State shall defend: (1) The right of spouses to found a family in accordance with their religious convictions and the demands of responsible parenthood.'
3. Supreme Court Holdings on the RH Law (RA 10354):
 - 1. UPHOLDING RH LAW: The State has the legitimate police power to enact RA 10354 to promote maternal health, reduce maternal mortality, and provide access to non-abortifacient family planning supplies.
 - 2. CONSCIENTIOUS OBJECTION PROTECTED: Under Article XV, Section 3(1) and the Free Exercise Clause (Art. III, Sec. 5), the State CANNOT compel conscientious objectors (religious healthcare providers, private religious hospitals) to perform family planning procedures or refer patients to other providers if doing so violates their sincere religious convictions.
 - 3. COERCION BANNED: The Constitution prohibits forced population control quotas; spouses retain the sole prerogative to determine the size of their family.
4. Option A captures the exact constitutional balance established in Imbong v. Ochoa.

Common Trap: Believing the RH Law was struck down in its entirety; the core of the law was UPHELD, but punitive provisions penalizing religious conscientious objectors were declared unconstitutional.
Exam Tip: Imbong v. Ochoa = RH Law is constitutional, but Spouses' religious convictions & Healthcare workers' conscientious objection MUST BE RESPECTED under Art. XV, Sec. 3(1).","Correct. Survives elimination because Imbong v. Ochoa upheld the RH Law while striking down provisions that forced conscientious objectors and religious healthcare facilities to violate their religious convictions, protecting Article XV, Section 3(1).","Eliminated because compulsory family size quotas violate the constitutional right of spouses to determine their own family planning.","Eliminated because the Supreme Court upheld the distribution of non-abortifacient contraceptives under state health regulation.","Eliminated because the Court explicitly declared unconstitutional the requirement forcing religious medical providers to perform or refer procedures violating their faith.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Family | Very Difficult | Batch 139"
"Under Article XV, Section 4 of the 1987 Constitution, what is the constitutional duty regarding the CARE OF ELDERLY MEMBERS OF SOCIETY?","The family has the primary duty to care for its elderly members, but the State may also do so through just programs of social security.","The State is exclusively responsible for elderly citizens, completely relieving the family of any moral or legal obligation of support.","Elderly citizens who retire from public service are legally required to move into state-run eldercare institutions.","Families are legally prohibited from providing financial support to elderly relatives once they receive pension benefits.","A","Step-by-Step Solution:
1. Constitutional Text: Article XV, Section 4 states:
 'The family has the duty to care for its elderly members, but the State may also do so through just programs of social security.'
2. Legal Breakdown:
 - Primary Obligation: Vests in the FAMILY (reflecting Filipino culture and tradition of filial piety and familial solidarity; Article 195 of the Family Code mandates mutual legal support between ascendants and descendants).
 - Complementary State Role: The State provides safety nets through social legislation:
 - Republic Act No. 7432 / Republic Act No. 9994 (Expanded Senior Citizens Act of 2010): 20% discounts, VAT exemptions, mandatory PhilHealth coverage, social pensions for indigent seniors.
 - Social Security System (SSS / RA 11199) and Government Service Insurance System (GSIS / RA 8291).
3. Option A is the verbatim constitutional allocation of duty.

Common Trap: Assuming the State bears the sole duty of elderly care; the Constitution places the primary duty on the FAMILY, complemented by State social security.
Exam Tip: Article XV, Section 4 = The FAMILY has the duty to care for its elderly members + The STATE provides social security programs.","Correct. Survives elimination because Article XV, Section 4 expressly assigns the primary duty of caring for elderly members to the family, while commanding the State to establish supportive social security safety nets.","Eliminated because the family bears the primary constitutional and civil duty of support towards elderly ascendants under the Family Code.","Eliminated because institutionalization is not mandatory; family-based care is the preferred constitutional model.","Eliminated because family support is legally required under Article 195 of the Family Code regardless of statutory pension receipt.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Family | Very Difficult | Batch 139"
"Under Article XV, Section 3(2) of the 1987 Constitution, what specific protection must the State defend regarding the RIGHTS OF CHILDREN?","The right of children to assistance, including proper care and nutrition, and special protection from all forms of neglect, abuse, cruelty, exploitation, and other conditions prejudicial to their development.","The right of minors to enter into commercial binding contracts without parental or judicial consent.","The right of children to be exempt from all compulsory elementary education requirements.","The right of children to assume public elective office upon reaching fifteen years of age.","A","Step-by-Step Solution:
1. Constitutional Text: Article XV, Section 3(2):
 'The State shall defend: (2) The right of children to assistance, including proper care and nutrition, and special protection from all forms of neglect, abuse, cruelty, exploitation, and other conditions prejudicial to their development.'
2. Key Enabling Statutes:
 - 1. Republic Act No. 7610 (Special Protection of Children Against Child Abuse, Exploitation and Discrimination Act).
 - 2. Republic Act No. 9344 (Juvenile Justice and Welfare Act of 2006, as amended by RA 10630).
 - 3. Republic Act No. 9231 (Anti-Child Labor Law).
 - 4. Republic Act No. 11642 (Domestic Administrative Adoption and Alternative Child Care Act).
 - 5. Republic Act No. 11596 (Prohibition of Child Marriage Act).
3. Option A matches the constitutional text verbatim.

Common Trap: Confusing child protection mandates with full adult civil capacities; minors are protected through specialized welfare legislation and parental authority.
Exam Tip: Article XV, Section 3(2) = Children's right to assistance, nutrition, and SPECIAL PROTECTION from abuse, neglect, cruelty, and exploitation.","Correct. Survives elimination because Article XV, Section 3(2) commands the State to defend the right of children to proper care, nutrition, and special protection against all forms of neglect, abuse, cruelty, and exploitation.","Eliminated because minors lack full civil capacity to bind themselves in commercial contracts without guardian representation.","Eliminated because elementary education is compulsory for all school-age children under Article XIV, Section 2(2).","Eliminated because elective public offices have constitutional minimum age requirements (e.g., age 25 for Congress, age 40 for President).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Family | Very Difficult | Batch 139"
"Under Article XV, Section 1 of the 1987 Constitution, what is the fundamental status of the FILIPINO FAMILY in national life, and what is the State's corresponding duty?","The State recognizes the Filipino family as the foundation of the nation; accordingly, it shall strengthen its solidarity and actively promote its total development.","The State views the family as a purely private association having no connection to national development.","The State mandates the dissolution of extended family relationships to encourage individual mobility.","The State exercises direct daily administrative control over all internal domestic household decisions.","A","Step-by-Step Solution:
1. Constitutional Text: Article XV, Section 1 states:
 'The State recognizes the Filipino family as the foundation of the nation. Accordingly, it shall strengthen its solidarity and actively promote its total development.'
2. Companion Provision: Article II, Section 12:
 'The State recognizes the sanctity of family life and shall protect and strengthen the family as a basic autonomous social institution.'
3. Constitutional Principles:
 - 1. Foundation of the Nation: The family is the basic cell of Philippine society; a strong, healthy family structure ensures national stability.
 - 2. Autonomy: The family is an 'autonomous social institution'—the State protects it from unwarranted external intrusion while fostering its socio-economic development.
 - 3. Solidarity: Public policy favors family unity, parental rearing of children, and mutual support.
4. Option A is the verbatim constitutional statement.

Common Trap: Viewing the family as an agency under the control of the State; the Constitution recognizes the family as an AUTONOMOUS social institution.
Exam Tip: Article XV, Section 1 = Filipino family is the FOUNDATION OF THE NATION -> State duty to strengthen its solidarity and promote its total development.","Correct. Survives elimination because Article XV, Section 1 explicitly declares the Filipino family to be the foundation of the nation and establishes the affirmative state duty to strengthen its solidarity and total development.","Eliminated because the Constitution explicitly links the strength of the family directly to national stability and progress.","Eliminated because public policy actively promotes familial solidarity and extended family support systems.","Eliminated because the family is recognized as a basic autonomous social institution protected from arbitrary state micromanagement (Article II, Section 12).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Family | Very Difficult | Batch 139"
"In the landmark ruling of Silverio v. Republic (G.R. No. 174689, October 22, 2007) and Republic v. Cagandahan (G.R. No. 166676, September 12, 2008), what was the Supreme Court's ruling regarding the alteration of SEX in the birth certificate for purposes of entering into MARRIAGE under Article XV, Section 2 and the Family Code?","Sex assigned at birth is immutable for individuals who undergo sex reassignment surgery (Silverio), and marriage remains restricted to a biological man and a biological woman; however, an individual with congenital Congenital Adrenal Hyperplasia (intersex) may choose their legal gender upon reaching maturity (Cagandahan).","Anyone who undergoes cosmetic surgery may automatically change the sex on their birth certificate and marry a person of the same biological sex.","Marriage in the Philippines is legally open to any two individuals regardless of biological sex without statutory changes.","The Supreme Court ruled that sex on a birth certificate is completely irrelevant for all marital and civil purposes.","A","Step-by-Step Solution:
1. Landmark Cases:
 - Silverio v. Republic (537 SCRA 373, 2007), penned by Justice Renato Corona:
 - Rommel Silverio, a biological male who underwent sex reassignment surgery, sought to change his first name and sex on his birth certificate to marry his male fiancé.
 - Supreme Court Ruling: Denied. Under the Civil Register Act (Act No. 3753) and RA 9048, sex at birth is a biological fact determined at birth. Sex reassignment surgery is not a statutory ground to alter the birth certificate. Marriage under Article XV, Sec. 2 and Article 1 of the Family Code is strictly between a male and a female.
 - Republic v. Cagandahan (565 SCRA 86, 2008), penned by Justice Leonardo Quisumbing:
 - Jennifer Cagandahan was born with Congenital Adrenal Hyperplasia (CAH), a biological intersex condition where the body produced both male and female characteristics.
 - Supreme Court Ruling: Granted. Where nature produced an intersex condition, the individual has the right to choose their gender classification upon reaching maturity, based on medical evidence and personal identity.
2. Option A accurately synthesizes both landmark rulings.

Common Trap: Confusing Silverio (transgender reassignment surgery: change denied) with Cagandahan (biological intersex condition: change allowed).
Exam Tip: Silverio = Sex reassignment does NOT change birth certificate sex (marriage remains biological man/woman); Cagandahan = Intersex individuals CAN choose their legal sex.","Correct. Survives elimination because Silverio established that sex reassignment surgery does not alter biological sex for marital classification under the Family Code, while Cagandahan recognized that biological intersex individuals with CAH may choose their gender classification.","Eliminated because Silverio expressly ruled that surgical sex reassignment is not a legal ground to change sex on a civil birth registry.","Eliminated because marriage under Article 1 of the Family Code remains legally defined as a union between a biological man and a biological woman.","Eliminated because sex classification is an essential legal determinant of marital capacity in Philippine family law.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Family | Very Difficult | Batch 139"
"Under Article XV, Section 3(3) of the 1987 Constitution, what specific economic right of the family is the State mandated to defend?","The right of the family to a family living wage and income.","The right of the family to receive free luxury automobiles from the local government unit.","The right of the family to set its own private interest rates on commercial banking loans.","The right of the family to be exempt from all utility electricity and water tariffs.","A","Step-by-Step Solution:
1. Constitutional Text: Article XV, Section 3(3):
 'The State shall defend: (3) The right of the family to a family living wage and income.'
2. Constitutional Meaning:
 - Connects with Article XIII, Section 3 (Labor: entitlement to a 'living wage').
 - A 'living wage' is a wage level that enables a worker to provide their family with not just basic subsistence food, but adequate nutrition, decent shelter, clothing, education, healthcare, and modest recreation necessary for human dignity.
 - Mandates the Regional Tripartite Wages and Productivity Boards (RTWPBs under RA 6727 / Wage Rationalization Act) to consider the cost of living and family needs when fixing minimum wages.
3. Option A is the verbatim constitutional text.

Common Trap: Confusing statutory minimum wage with constitutional 'living wage'; the constitutional ideal in Article XV, Section 3(3) is a FAMILY LIVING WAGE that sustains a decent standard of family life.
Exam Tip: Article XV, Section 3(3) = The right of the family to a FAMILY LIVING WAGE AND INCOME.","Correct. Survives elimination because Article XV, Section 3(3) explicitly mandates that the State shall defend the right of the family to a family living wage and income sufficient for decent human sustenance.","Eliminated because luxury vehicle distributions are not constitutional family rights.","Eliminated because banking interest rates are governed by Monetary Board regulations and market forces, not family declarations.","Eliminated because the Constitution creates no universal exemption from basic public utility tariffs.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Family | Very Difficult | Batch 139"
"In the landmark ruling of Republic v. Manalo (G.R. No. 221029, April 24, 2018), what did the Supreme Court establish regarding the recognition of FOREIGN DIVORCES under Article 26, paragraph 2 of the Family Code in relation to constitutional family protections?","A foreign divorce decree obtained abroad by EITHER the foreign spouse OR the Filipino spouse may be recognized in the Philippines, capacitating the Filipino spouse to remarry under Philippine law.","Divorce obtained abroad can never be recognized under any circumstances because the Philippine Constitution bans divorce.","Only male Filipino citizens are permitted to obtain foreign divorces while female citizens are barred.","A foreign divorce automatically dissolves all family relationships and terminates child support obligations.","A","Step-by-Step Solution:
1. Landmark Case: Republic of the Philippines v. Marelyn Tanedo Manalo (862 SCRA 580, 2018), penned by Justice Diosdado Peralta:
 - Facts: Marelyn Manalo, a Filipino citizen, married a Japanese national in the Philippines. She later filed for and obtained a divorce decree in Japan. She then filed a petition in the RTC for judicial recognition of the foreign divorce under Article 26, paragraph 2 of the Family Code.
 - Solicitor General's Argument: Article 26(2) applies only when the divorce is obtained by the FOREIGN spouse, not when initiated by the FILIPINO spouse.
 - Supreme Court Ruling (En Banc):
 - 1. Under Article 26, paragraph 2 of the Family Code, a foreign divorce decree that is valid under the national law of the foreign spouse—whether initiated/obtained by the foreign spouse OR by the Filipino spouse—IS ELIGIBLE FOR JUDICIAL RECOGNITION in Philippine courts.
 - 2. To hold that only foreign spouses can initiate divorce creates an absurd, unconstitutional discrimination against Filipino citizens under the Equal Protection Clause.
 - 3. Once the foreign divorce is judicially recognized, the Filipino spouse is CAPACITATED TO REMARRY under Philippine law.
2. Option A is the precise legal holding of Republic v. Manalo.

Common Trap: Believing Article 26(2) only applies if the foreigner filed for divorce; Manalo established that even if the FILIPINO spouse initiated the foreign divorce, it can be judicially recognized in the Philippines.
Exam Tip: Republic v. Manalo = Foreign divorce obtained abroad by EITHER spouse (foreign or Filipino) can be judicially recognized, capacitating the Filipino to remarry.","Correct. Survives elimination because Republic v. Manalo established that under Article 26(2) of the Family Code, a valid foreign divorce obtained abroad by either the foreign spouse or the Filipino spouse capacitates the Filipino to remarry once judicially recognized.","Eliminated because Article 26, paragraph 2 of the Family Code explicitly provides for the recognition of foreign divorce decrees involving mixed marriages.","Eliminated because the ruling applies equally without gender discrimination, in accordance with the Equal Protection Clause.","Eliminated because foreign divorce recognition does not extinguish parental authority or child support obligations under the Family Code.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Family | Very Difficult | Batch 139"
"Under Article XV, Section 3(4) of the 1987 Constitution, what right is explicitly defended regarding the participation of FAMILIES and FAMILY ASSOCIATIONS in governance?","The right of families or family associations to participate in the planning and implementation of policies and programs that affect them.","The right of family clans to establish private armed security forces to control local barangay elections.","The right of family heads to override statutory criminal penal laws inside their private residences.","The right of family associations to veto the national revenue collections of the Bureau of Internal Revenue.","A","Step-by-Step Solution:
1. Constitutional Text: Article XV, Section 3(4):
 'The State shall defend: (4) The right of families or family associations to participate in the planning and implementation of policies and programs that affect them.'
2. Constitutional Meaning:
 - Recognizes the role of family organizations, parent-teacher associations (PTAs), and community family federations in participatory governance.
 - Connects with Article XIII, Sections 15 and 16 (Role and Rights of People's Organizations).
 - Government agencies (e.g., DSWD, DepEd, DOH, NAPC) must include family associations in consultations regarding social welfare, family health, housing, and education policies.
3. Option A matches the constitutional text verbatim.

Common Trap: Confusing participatory family associations with political dynasties or private armed groups; Section 3(4) promotes civic consultation and social policy participation.
Exam Tip: Article XV, Section 3(4) = Right of families/associations to participate in planning and implementation of policies affecting them.","Correct. Survives elimination because Article XV, Section 3(4) explicitly commands the State to defend the right of families and family associations to actively participate in planning and implementing policies that affect their welfare.","Eliminated because private armed groups and warlordism are explicitly outlawed by Article XVIII, Section 24.","Eliminated because family authority cannot override national criminal laws or authorize domestic violence.","Eliminated because family associations have participatory consultative rights, not legislative tax vetoes.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Family | Very Difficult | Batch 139"
"In Philippine family law and constitutional doctrine (e.g., Tan-Andal v. Andal, G.R. No. 196359, May 11, 2021), what did the Supreme Court clarify regarding PSYCHOLOGICAL INCAPACITY as a ground for declaration of nullity of marriage under Article 36 of the Family Code?","Psychological incapacity is not a medical illness or mental disorder, but a legal concept denoting a durable and enduring aspect of personality structure that renders a party genuinely incapable of understanding and complying with the essential marital obligations.","Psychological incapacity requires clinical proof of permanent insanity diagnosed by a government hospital director.","Psychological incapacity can be established by showing simple irreconcilable differences or temporary financial incompatibility.","Psychological incapacity is automatically cured if the spouses live apart for more than two years.","A","Step-by-Step Solution:
1. Landmark Case: Tan-Andal v. Andal (G.R. No. 196359, May 11, 2021), penned by Justice Marvic Leonen:
 - Facts: Rosanna Tan-Andal filed for declaration of nullity of her marriage to Mario Andal under Article 36 of the Family Code, presenting evidence of Mario's severe substance abuse, financial irresponsibility, and abandonment of parental duties.
 - Supreme Court Landmark Shift (En Banc):
 - 1. Overturned the rigid 'medical/clinical illness' requirement previously established in Republic v. CA & Molina (1997).
 - 2. Held that Psychological Incapacity is NOT a medical condition or clinical mental disorder. Expert testimony from a psychiatrist or psychologist is NO LONGER MANDATORY.
 - 3. Defined Psychological Incapacity as a PERSONALITY STRUCTURE: A durable, enduring pattern of personality that existed before or at the time of the celebration of marriage, which renders the party incapable of fulfilling the essential marital obligations of mutual love, respect, fidelity, and support (Articles 68-71, Family Code).
 - 4. The incapacity must be characterized by (a) Gravity, (b) Juridical antecedence, and (c) Incurability (in the legal, personality sense, not clinical sense).
2. Option A is the precise legal holding of Tan-Andal v. Andal.

Common Trap: Believing psychological incapacity still requires medical/clinical diagnosis of a mental illness; Tan-Andal v. Andal redefined it as a durable personality structure proven by ordinary totality of evidence.
Exam Tip: Tan-Andal v. Andal (2021) = Psychological incapacity is a LEGAL concept (personality structure), NOT a medical illness; Psychiatric expert testimony is NOT mandatory.","Correct. Survives elimination because Tan-Andal v. Andal definitively clarified that psychological incapacity is a legal concept rooted in a durable personality structure rather than a medical illness, eliminating the rigid requirement for psychiatric expert testimony.","Eliminated because the Supreme Court explicitly held that psychological incapacity does not require clinical proof of medical insanity or psychiatric hospitalization.","Eliminated because simple incompatibility, irreconcilable differences, or financial strain alone do not constitute psychological incapacity.","Eliminated because physical separation does not cure or extinguish juridical psychological incapacity under Article 36.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Family | Very Difficult | Batch 139"
