"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article III, Section 3(1) of the 1987 Constitution, what are the ONLY TWO CONSTITUTIONAL EXCEPTIONS where the inviolability of the PRIVACY OF COMMUNICATION AND CORRESPONDENCE may be legally intruded upon?","(1) Upon LAWFUL ORDER OF THE COURT, or (2) When PUBLIC SAFETY OR ORDER REQUIRES OTHERWISE, as prescribed by law.","(1) Upon the oral instruction of a police investigator, or (2) During national sports events.","(1) Whenever a private employer suspects an employee of laziness, or (2) During routine tax auditing.","(1) Upon payment of an interception fee, or (2) During any civil contract dispute.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 3(1) states:
   'The privacy of communication and correspondence shall be inviolable EXCEPT:
   (1) UPON LAWFUL ORDER OF THE COURT, OR
   (2) WHEN PUBLIC SAFETY OR ORDER REQUIRES OTHERWISE, AS PRESCRIBED BY LAW.'
2. Meaning of the Exceptions:
   - Exception 1 (Court Order): Requires a judge to issue an interception or wiretapping order pursuant to specific statutory standards (e.g., under the Anti-Terrorism Act / RA 11479 or Anti-Wiretapping Act / RA 4200).
   - Exception 2 (Public Safety / Order as prescribed by law): Requires an express statutory law passed by Congress establishing clear guidelines and necessity based on public safety or order.
3. Companion Exclusionary Rule (Article III, Section 3[2]): Any evidence obtained in violation of this privacy guarantee is INADMISSIBLE FOR ANY PURPOSE IN ANY PROCEEDING (Fruit of the Poisonous Tree).
4. Option A is the verbatim constitutional exception.

Common Trap: Believing police or employers can wiretap phones without a court order; the Constitution strictly limits privacy intrusions to a LAWFUL COURT ORDER or when public safety requires it AS PRESCRIBED BY STATUTORY LAW.
Exam Tip: Article III, Section 3(1) = Privacy of Communication is inviolable EXCEPT: (1) Lawful Court Order, OR (2) Public Safety/Order as prescribed by law.","Correct. Survives elimination because Article III, Section 3(1) explicitly establishes only two exceptions to the privacy of communication: upon lawful court order or when public safety/order requires it as prescribed by law.","Eliminated because oral police instructions without judicial orders violate the constitutional privacy of communication.","Eliminated because workplace suspicions do not authorize unlawful wiretapping under the Constitution or RA 4200.","Eliminated because fee payments cannot buy exemptions from constitutional privacy protections.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Privacy | Very Difficult | Batch 150"
"In the landmark case of Ople v. Torres (G.R. No. 127685, July 23, 1998), why was Administrative Order No. 308 (adopting a National Computerized Identification Reference System) declared UNCONSTITUTIONAL for violating the Right to Privacy?","The administrative order established a sweeping biometric ID system through executive decree without an enabling statute from Congress, failing to provide statutory safeguards to protect citizens against the arbitrary collection, profiling, and misuse of personal biometric data.","The administrative order was unconstitutional because identity cards are prohibited in democratic countries.","The administrative order was void because identification cards can only be issued by the Supreme Court.","The administrative order was struck down because it was printed in English instead of Filipino.","A","Step-by-Step Solution:
1. Landmark Case: Ople v. Torres (293 SCRA 141, 1998), penned by Justice Reynato Puno:
   - Facts: President Fidel V. Ramos issued Administrative Order No. 308 establishing the National Computerized Identification Reference System. Senator Blas F. Ople challenged AO 308 for violating the constitutional right to privacy.
   - Supreme Court Ruling (En Banc):
     - 1. CONSTITUTIONAL RIGHT TO PRIVACY: While not found in a single isolated clause, the Right to Privacy is a fundamental constitutional right emanating from the 'zones of privacy' recognized in the Bill of Rights (Art. III, Sec. 1, 2, 3, 6, 8, 17).
     - 2. LACK OF LEGISLATIVE AUTHORITY: An intrusive national ID system collecting sensitive biometric and personal data CANNOT be created by mere executive administrative order. It REQUIRES A STATUTORY ACT OF CONGRESS.
     - 3. LACK OF DATA PRIVACY SAFEGUARDS: AO 308 failed to establish clear boundaries, standard operating procedures, or legal safeguards to prevent unauthorized data access, profiling, surveillance, or leakage.
     - 4. AO 308 was declared UNCONSTITUTIONAL AND VOID.
2. Option A is the precise legal holding of Ople v. Torres.

Common Trap: Thinking national ID systems are inherently unconstitutional; the subsequent Philippine Identification System Act (PhilSys / RA 11055) was enacted by Congress with comprehensive data privacy safeguards and was UPHELD. AO 308 failed because it was an executive order lacking statutory authorization and safeguards.
Exam Tip: Ople v. Torres = Executive order creating national biometric ID without statutory law and data safeguards violates the CONSTITUTIONAL RIGHT TO PRIVACY.","Correct. Survives elimination because Ople v. Torres struck down AO 308 for creating a sweeping national biometric ID system through executive decree without legislative authorization and without sufficient safeguards protecting the right to privacy.","Eliminated because statutory national ID systems with adequate privacy safeguards (such as RA 11055 PhilSys) are constitutional.","Eliminated because national identification systems are legislative policy programs administered by civilian statistics agencies, not the Supreme Court.","Eliminated because language choice had zero bearing on the constitutional privacy ruling.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Privacy | Very Difficult | Batch 150"
"In constitutional privacy jurisprudence (e.g., Katz v. US, Ople v. Torres, Pollo v. Constantino-David, Vivares v. St. Theresa's College), what is the 'REASONABLE EXPECTATION OF PRIVACY' TEST?","A two-part test: (1) Whether by his conduct, the individual has exhibited an ACTUAL (SUBJECTIVE) EXPECTATION OF PRIVACY, and (2) Whether that expectation is one that SOCIETY IS PREPARED TO RECOGNIZE AS REASONABLE (OBJECTIVE).","A test determining whether the individual paid for private security services.","A test evaluating whether the private conversation took place during an official government holiday.","A test measuring the physical distance between two speaking individuals using a decibel meter.","A","Step-by-Step Solution:
1. Foundational Jurisprudence:
   - Katz v. United States (389 U.S. 347, 1967), Harlan concurrence.
   - Ople v. Torres (293 SCRA 141, 1998).
   - Pollo v. Constantino-David (659 SCRA 189, 2011).
   - Vivares v. St. Theresa's College (737 SCRA 436, 2014).
2. The Two-Pronged Reasonable Expectation of Privacy Test:
   - To claim constitutional privacy protection under Article III, Section 2 or 3, the claimant must satisfy TWO cumulative prongs:
     1. THE SUBJECTIVE PRONG: Did the individual, by their overt conduct, exhibit an actual, subjective expectation of privacy? (e.g., locking a room, using passwords, speaking in private).
     2. THE OBJECTIVE PRONG: Is that subjective expectation of privacy one that society, in the ordinary course of human experience and law, is PREPARED TO RECOGNIZE AS REASONABLE AND LEGITIMATE?
3. If either prong fails, there is NO constitutional right to privacy in the specific situation.
4. Option A is the classic, verbatim formulation of the Reasonable Expectation of Privacy Test.

Common Trap: Thinking privacy applies everywhere automatically; if a person loudly discusses secrets in a crowded public restaurant or posts publicly online, society does NOT recognize a reasonable expectation of privacy.
Exam Tip: The Two Prongs of Privacy: (1) Subjective expectation exhibited by conduct, and (2) Objective expectation recognized by society as reasonable.","Correct. Survives elimination because settled constitutional doctrine (Katz, Pollo, Vivares) establishes the two-part test: a subjective expectation of privacy exhibited by the individual, which society objectively recognizes as reasonable.","Eliminated because hiring private security guards is not a legal element of the constitutional privacy test.","Eliminated because holiday schedules have no bearing on reasonable expectations of privacy.","Eliminated because decibel distance measurements are irrelevant to the qualitative constitutional expectation of privacy.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Privacy | Very Difficult | Batch 150"
"In the landmark ruling of Ramirez v. Court of Appeals (G.R. No. 93833, September 28, 1995), what did the Supreme Court establish regarding secret audio tape recordings under Republic Act No. 4200 (The Anti-Wiretapping Act)?","Republic Act No. 4200 strictly prohibits and penalizes the secret audio recording of ANY private conversation by ANY person (even by a party participating in the conversation), unless ALL parties to the conversation give their prior consent.","RA 4200 allows any participant in a private conversation to secretly record it without telling the other person.","RA 4200 applies exclusively to telephone landlines and permits secret in-person audio recordings.","Secret audio recordings of private marital arguments are automatically broadcastable on public television.","A","Step-by-Step Solution:
1. Landmark Case: Ramirez v. Court of Appeals (248 SCRA 590, 1995), penned by Justice Jose Vitug:
   - Facts: Socorro Ramirez had a heated confrontation with Ester Garcia inside Garcia's private office. Unknown to Garcia, Ramirez secretly recorded their conversation on a pocket tape recorder, and later used the transcript to file a civil damages suit. Garcia filed a criminal complaint against Ramirez for violation of RA 4200.
   - Ramirez's Defense: She argued that RA 4200 only applies to third-party wiretappers/eavesdroppers, not to a participant recording her own conversation.
   - Supreme Court Ruling (En Banc):
     - 1. RA 4200 IS ABSOLUTE: Section 1 of RA 4200 makes it unlawful for ANY PERSON, not being authorized by ALL the parties to any private communication, to secretly record such communication using any device.
     - 2. NO PARTICIPANT EXCEPTION: The law does NOT distinguish between third-party eavesdroppers and participants in the conversation.
     - 3. ALL-PARTY CONSENT REQUIRED: Secretly recording a private conversation WITHOUT THE CONSENT OF ALL PARTIES is a CRIMINAL OFFENSE under RA 4200, regardless of who makes the recording.
2. Option A is the precise legal holding of Ramirez v. Court of Appeals.

Common Trap: Assuming one party can secretly record a private conversation (the 'one-party consent' rule in some US states); in the Philippines, RA 4200 STRICTLY REQUIRES ALL-PARTY CONSENT.
Exam Tip: Ramirez v. CA = Secret audio recording of private conversation by ANYONE (even a participant) WITHOUT CONSENT OF ALL PARTIES violates RA 4200 (Anti-Wiretapping Act).","Correct. Survives elimination because Ramirez v. Court of Appeals held that RA 4200 clearly and unambiguously prohibits the secret recording of private conversations by any person without the consent of all parties, rejecting any participant exemption.","Eliminated because the Supreme Court explicitly ruled that a participant in the conversation cannot secretly record it without the other party's consent.","Eliminated because RA 4200 explicitly covers private spoken communications and oral confrontations, not merely wire landlines.","Eliminated because secretly recorded private conversations cannot be broadcast and constitute criminal evidence exclusion.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Privacy | Very Difficult | Batch 150"
"In the landmark decision of Gaanan v. Intermediate Appellate Court (G.R. No. L-69809, October 16, 1986), why was listening in on a telephone conversation through a standard EXTENSION TELEPHONE ruled NOT to be a violation of the Anti-Wiretapping Act (RA 4200)?","A standard telephone extension line is not a 'device or arrangement' specifically designed for secret eavesdropping, tap, or recording within the contemplation of Section 1 of Republic Act No. 4200.","The Supreme Court held that telephone conversations enjoy zero constitutional privacy protection.","The listening was legal because the extension phone was located in a government building.","RA 4200 was declared unconstitutional and void in its entirety.","A","Step-by-Step Solution:
1. Landmark Case: Gaanan v. Intermediate Appellate Court (145 SCRA 112, 1986), penned by Justice Hermogenes Concepcion, Jr.:
   - Facts: Atty. Edgardo Gaanan listened in on a telephone conversation between Atty. Tito Pintor and Leonardo Laconico using a standard telephone extension instrument in Laconico's office, and later testified about the conversation in a perjury trial. Pintor charged Gaanan with violating RA 4200.
   - Supreme Court Ruling (En Banc):
     - 1. STATUTORY CONSTRUCTION OF RA 4200: The statute penalizes tapping wires or using specialized devices, dictaphones, or secret recording arrangements to secretly overhear communications.
     - 2. STANDARD EXTENSION PHONE IS NOT A WIRETAPPING DEVICE: A conventional telephone extension unit is a standard, ordinary telephone instrument commonly installed for regular office or residential communication.
     - 3. Listening through an extension phone does NOT constitute the use of an unauthorized 'tap, device, or recording apparatus' under RA 4200.
     - 4. Gaanan was ACQUITTED.
2. Option A is the precise legal holding of Gaanan v. IAC.

Common Trap: Confusing specialized secret recording bugs (illegal under RA 4200) with ordinary extension telephone handsets (not a wiretap device under Gaanan).
Exam Tip: Gaanan v. IAC = An ordinary EXTENSION TELEPHONE is NOT a wiretapping 'device' under RA 4200.","Correct. Survives elimination because Gaanan v. IAC held that listening through an ordinary extension telephone handset does not constitute an illegal wiretap or device within the scope of RA 4200.","Eliminated because telephone communications are protected by the constitutional right to privacy under Article III, Section 3.","Eliminated because the ruling was based on the statutory definition of 'device/tap,' not the physical location of the building.","Eliminated because RA 4200 remains valid, active criminal legislation in the Philippines.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Privacy | Very Difficult | Batch 150"
"In the landmark social media privacy case of Vivares v. St. Theresa's College (G.R. No. 202664, September 29, 2014), why did the Supreme Court deny the petition for a Writ of Habeas Data filed by high school students whose semi-clad Facebook photos were viewed by school authorities?","The students failed to demonstrate an actual, reasonable expectation of privacy because they set the post privacy settings to 'Friends Only' or public, allowing Facebook friends to freely view, download, and share the photos with third persons without violating the students' constitutional privacy.","The Supreme Court held that the right to privacy does not apply to women and children.","The Supreme Court ruled that social media platforms are exempt from the Philippine Constitution.","The petition was denied because school officials are authorized to hack into private encrypted student accounts.","A","Step-by-Step Solution:
1. Landmark Case: Vivares v. St. Theresa's College (737 SCRA 436, 2014), penned by Justice Presbitero Velasco, Jr.:
   - Facts: High school graduating students at St. Theresa's College posted photos of themselves in brassieres and underwear on Facebook. Although they claimed their accounts were restricted to 'Friends Only,' other classmates who were friends saw the photos, downloaded them, and showed them to a teacher. The school barred the students from marching in graduation ceremonies. The parents filed a petition for a WRIT OF HABEAS DATA, claiming a violation of the students' right to informational privacy.
   - Supreme Court Ruling (En Banc):
     - 1. APPLICATION OF THE REASONABLE EXPECTATION OF PRIVACY TEST:
        - Digital Informational Privacy on Social Media: A user cannot claim a reasonable expectation of privacy if they fail to utilize the strictest privacy settings (such as 'Custom' / 'Only Me').
        - 'Friends Only' Setting: Setting posts to 'Friends' means the content is disclosed to hundreds of 'friends,' who can easily view, capture screenshots, and show them to others.
        - Once digital content is shared with an online circle without absolute restriction, the user voluntarily surrenders the expectation of absolute privacy.
     - 2. HABEAS DATA INAPPLICABLE: The school did not illegally gather or store illicit personal data; the photos were voluntarily shared on social media and reported by classmates.
2. Option A is the precise legal holding of Vivares v. St. Theresa's College.

Common Trap: Believing 'Friends Only' guarantees legal privacy on social media; Vivares established that sharing content with social media friends eliminates a reasonable expectation of privacy when friends share it with others.
Exam Tip: Vivares v. St. Theresa's College = 'Friends Only' on Facebook DOES NOT create a reasonable expectation of privacy against third-party disclosure.","Correct. Survives elimination because Vivares v. St. Theresa's College established that posting photos on social media with 'Friends Only' settings does not establish a reasonable expectation of privacy protecting against subsequent dissemination by friends.","Eliminated because the Constitution vigorously protects the privacy and human rights of minors and women under Article III and Article XV.","Eliminated because internet activities and digital privacy remain subject to constitutional principles.","Eliminated because unauthorized cyber-hacking is illegal under the Cybercrime Prevention Act and was not present in this case.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Privacy | Very Difficult | Batch 150"
"In the landmark workplace privacy ruling of Pollo v. Constantino-David (G.R. No. 181881, October 18, 2011), why was the Civil Service Commission's search of a government employee's office computer files upheld as CONSTITUTIONAL?","The employee had NO REASONABLE EXPECTATION OF PRIVACY in his office computer because the Civil Service Commission had an explicit, promulgated policy putting employees on notice that office computers are government property subject to monitoring and that users have no expectation of privacy in files stored therein.","The Supreme Court held that civil servants surrender 100% of all their constitutional rights upon entering public service.","The search was valid because government computers can only be searched if the employee is arrested for treason.","The search was upheld because all computer files in the Philippines belong to the Department of Information and Communications Technology.","A","Step-by-Step Solution:
1. Landmark Case: Pollo v. Constantino-David (659 SCRA 189, 2011), penned by Justice Lucas Bersamin:
   - Facts: An anonymous letter reported that CSC employee Briccio Pollo was acting as a 'fixer' and lawyer for persons with pending administrative cases in the CSC. CSC Chairperson Karina David ordered the CSC IT team to copy and inspect the hard drive of Pollo's office-assigned computer, discovering drafted pleadings for private clients. Pollo was dismissed and challenged the computer search as an unconstitutional violation of his right to privacy under Article III, Section 2 and 3.
   - Supreme Court Ruling (En Banc):
     - 1. WORKPLACE PRIVACY TEST (O'Connor v. Ortega standard):
        - Did the employee have a reasonable expectation of privacy in his workplace computer?
     - 2. CSC OFFICE COMPUTER POLICY: The CSC had explicitly promulgated Office Order No. 10 (Series of 2002) which provided:
        (a) Computers are state property intended solely for official duties;
        (b) The CSC reserves the right to monitor, inspect, and audit all computer files and internet usage at any time;
        (c) EMPLOYEES HAVE NO EXPECTATION OF PRIVACY IN FILES STORED ON WORK COMPUTERS.
     - 3. Because of this clear policy, Pollo had NO legitimate expectation of privacy in his office desktop computer.
     - 4. The search was reasonable and justified at its inception to investigate work-related administrative misconduct.
2. Option A is the precise legal holding of Pollo v. Constantino-David.

Common Trap: Assuming all office computer searches are legal; if an employer has NO monitoring policy and allows employees to use personal passwords with total discretion, an expectation of privacy may exist. Pollo had no privacy because of the EXPLICIT CSC POLICY.
Exam Tip: Pollo v. Constantino-David = Government employee has NO reasonable expectation of privacy in office computer where agency has a clear policy warning of computer audits/monitoring.","Correct. Survives elimination because Pollo v. Constantino-David established that an employee lacks a reasonable expectation of privacy in an office-assigned computer when the employer has an established policy explicitly notifying employees that computers are monitored.","Eliminated because public servants retain fundamental constitutional protections in the workplace, subject to reasonable operational regulations.","Eliminated because workplace searches for administrative misconduct do not require a treason arrest.","Eliminated because DICT does not own all public computer files; the case was governed by CSC workplace policy.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Privacy | Very Difficult | Batch 150"
"Under Republic Act No. 10173 (The Data Privacy Act of 2012), which independent administrative body is mandated to monitor, ensure compliance with, and adjudicate complaints regarding personal data privacy in the Philippines?","The National Privacy Commission (NPC).","The National Telecommunications Commission (NTC).","The Commission on Human Rights (CHR).","The Securities and Exchange Commission (SEC).","A","Step-by-Step Solution:
1. Statutory Framework: Republic Act No. 10173 (The Data Privacy Act of 2012 / DPA):
   - Created under Section 7: THE NATIONAL PRIVACY COMMISSION (NPC).
   - Nature: An independent regulatory body attached to the Department of Information and Communications Technology (DICT).
   - Core Mandate & Powers:
     1. Administer and implement the provisions of the Data Privacy Act.
     2. Monitor and ensure compliance of Personal Information Controllers (PICs) and Personal Information Processors (PIPs) across both government and private sectors.
     3. Adjudicate complaints, issue Cease and Desist Orders, and investigate personal data breaches.
     4. Enforce the rights of Data Subjects (Right to be informed, Right to access, Right to object, Right to erasure/blocking, Right to damages, Right to data portability).
2. Option A is the verbatim statutory agency.

Common Trap: Confusing the National Privacy Commission (NPC - handles Data Privacy under RA 10173) with the National Telecommunications Commission (NTC - handles telecom frequencies and broadcast licenses).
Exam Tip: RA 10173 (Data Privacy Act of 2012) = Administered and enforced by the NATIONAL PRIVACY COMMISSION (NPC).","Correct. Survives elimination because Section 7 of Republic Act No. 10173 explicitly creates and mandates the National Privacy Commission (NPC) as the independent agency responsible for enforcing data privacy laws in the Philippines.","Eliminated because the NTC regulates telecommunication frequencies and broadcast utilities, not the Data Privacy Act.","Eliminated because the CHR investigates civil and political human rights violations under Article XIII, Section 18.","Eliminated because the SEC regulates private corporate registration and securities markets.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Privacy | Very Difficult | Batch 150"
"Under the Data Privacy Act of 2012 (RA 10173), which of the following is classified as 'SENSITIVE PERSONAL INFORMATION' requiring the highest standard of legal protection and confidentiality?","Information about an individual's race, ethnic origin, marital status, age, color, religious, philosophical or political affiliations, health, education, genetic or sexual life, offenses or criminal records, and government-issued ID numbers (such as SSS, GSIS, and passport numbers).","A person's public office address and government agency landline telephone number.","The published general directory of registered public civil engineering contractors.","The business trade name of a publicly listed commercial corporation.","A","Step-by-Step Solution:
1. Statutory Definition: Section 3(l), Republic Act No. 10173 (Data Privacy Act of 2012):
   - 'Sensitive personal information refers to personal information:
     (1) About an individual's race, ethnic origin, marital status, age, color, and religious, philosophical or political affiliations;
     (2) About an individual's health, education, genetic or sexual life of a person, or to any proceeding for any offense committed or alleged to have been committed by such person, the disposal of such proceedings, or the sentence of any court in such proceedings;
     (3) Issued by government agencies peculiar to an individual which includes, but not limited to, social security numbers, previous or current health records, licenses or its denials, suspension or revocation, and tax returns; and
     (4) Specifically established by an executive order or an act of Congress to be kept classified.'
2. General Rule: Processing of Sensitive Personal Information is PROHIBITED, except under strict conditions (explicit data subject consent, statutory necessity for medical treatment, court orders).
3. Option A is the verbatim statutory enumeration of Sensitive Personal Information.

Common Trap: Confusing ordinary personal information (e.g., name, work email) with SENSITIVE personal information (e.g., health, religion, race, criminal records, SSS/TIN government IDs).
Exam Tip: Sensitive Personal Information under RA 10173 = Race, Religion, Health, Genetics, Sexual Life, Criminal Records, and Government-issued ID numbers (SSS/GSIS/TIN/Passport).","Correct. Survives elimination because Section 3(l) of RA 10173 explicitly defines sensitive personal information to include ethnic origin, religious/political beliefs, health, sexual life, criminal records, and government-issued identification numbers.","Eliminated because public office addresses and official contact numbers are public directory data, not sensitive personal information.","Eliminated because public contractor directories are open commercial records.","Eliminated because corporate trade names are public registered business identifiers.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Privacy | Very Difficult | Batch 150"
"What is the 'INFORMATIONAL PRIVACY' dimension of the constitutional right to privacy, as recognized in Morfe v. Mutuc and Gamboa v. Chan?","The right of an individual to control the collection, disclosure, processing, and dissemination of personal data and information about himself, preventing the State or private entities from creating unauthorized surveillance dossiers or registries.","The right to receive free broadband internet in all public plazas.","The right to demand that private television networks broadcast one's home videos.","The right of public officials to hide all evidence of graft from the Commission on Audit.","A","Step-by-Step Solution:
1. Landmark Jurisprudence:
   - Morfe v. Mutuc (22 SCRA 424, 1968), penned by Justice Enrique Fernando.
   - Ople v. Torres (293 SCRA 141, 1998).
   - Gamboa v. Chan (677 SCRA 385, 2012), penned by Justice Roberto Abad.
   - Vivares v. St. Theresa's College (737 SCRA 436, 2014).
2. The Three Dimensions / Strands of the Right to Privacy:
   - 1. LOCATIONAL / SPATIAL PRIVACY: Privacy in physical spaces (e.g., home, personal luggage, car; protected by Art. III, Sec. 2).
   - 2. DECISIONAL PRIVACY: Freedom to make fundamental personal life choices without government interference (e.g., marriage, contraception, family size; protected by Art. III, Sec. 1 & Art. XV).
   - 3. INFORMATIONAL PRIVACY: The right of an individual to control the collection, maintenance, use, disclosure, and dissemination of personal data, records, and information about himself (Whalen v. Roe standard; Ople v. Torres; basis of the Writ of Habeas Data and RA 10173).
3. Option A accurately defines the Informational Privacy dimension.

Common Trap: Confusing spatial privacy (physical rooms) with informational privacy (digital/personal data control); Informational Privacy is the right to CONTROL PERSONAL DATA.
Exam Tip: The 3 Strands of Privacy: (1) Locational/Spatial (physical places), (2) Decisional (personal life choices), (3) Informational (control over personal data/records).","Correct. Survives elimination because Gamboa v. Chan and Ople v. Torres define informational privacy as the right of an individual to control the flow, storage, and disclosure of personal data about oneself, safeguarding against illicit surveillance dossiers.","Eliminated because public internet access is a telecommunications development program, not the constitutional definition of informational privacy.","Eliminated because private television networks are not obligated to air private home videos.","Eliminated because public financial accountability under Article XI and COA audits cannot be defeated by claims of personal informational privacy.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Privacy | Very Difficult | Batch 150"
