"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"SKELETON: BONE:: FLOTILLA: ______","VESSEL","ADMIRAL","OCEAN","HARBOR","A","Step-by-Step Solution:
1. Analyze the structural relationship in the initial word pair (SKELETON: BONE):
 - A \""skeleton\"" is a complete anatomical internal framework (WHOLE) composed of individual \""bones\"" (PART).
 - Relationship: Structural and aggregate WHOLE-TO-PART.
2. Determine the corresponding constituent unit (PART) for the collective naval formation (FLOTILLA):
 - A \""flotilla\"" is a tactical fleet formation or small grouping (WHOLE) composed of individual naval boats or \""vessels\"" (PART).
 - Therefore, FLOTILLA is to VESSEL as SKELETON is to BONE.
3. Evaluate incorrect alternatives:
 - Option B (Admiral): A commanding naval officer (personnel, not a constituent physical craft).
 - Option C (Ocean): The vast geographical body of water on which a flotilla operates (environment).
 - Option D (Harbor): A coastal docking and mooring anchorage facility (location).

Common Trap: Associating flotilla with its commander (admiral) or aquatic setting (ocean) rather than its individual craft units.
Exam Tip: Skeleton is composed of Bones; Flotilla is composed of Vessels (exact Whole-to-Part relationship).","Correct. Survives elimination because a skeleton is an anatomical framework composed of bones, just as a flotilla is a fleet assembly composed of vessels.","Eliminated because an admiral is a naval commander, not a physical craft unit.","Eliminated because the ocean is the operational aquatic environment.","Eliminated because a harbor is a geographic docking port.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Whole-to-part | Very Difficult | Batch 057"
"SYLLOGISM: PREMISE:: SYMPHONY: ______","MOVEMENT","COMPOSER","BATON","AUDITORIUM","A","Step-by-Step Solution:
1. Analyze the structural relationship in the initial word pair (SYLLOGISM: PREMISE):
 - A \""syllogism\"" is a complete deductive logical argument structure (WHOLE) constructed from individual foundational propositions or \""premises\"" (PART).
 - Relationship: Formal deductive and structural WHOLE-TO-PART.
2. Determine the corresponding structural constituent (PART) of an extended orchestral composition (SYMPHONY):
 - A \""symphony\"" is an elaborate multi-movement orchestral musical work (WHOLE) partitioned into distinct self-contained sections called \""movements\"" (PART).
 - Therefore, SYMPHONY is to MOVEMENT as SYLLOGISM is to PREMISE.
3. Evaluate incorrect alternatives:
 - Option B (Composer): The creative human author/musician who writes the symphony.
 - Option C (Baton): The conducting stick utilized by an orchestra maestro (tool).
 - Option D (Auditorium): The architectural concert hall in which musical performances take place (venue).

Common Trap: Selecting composer or baton (creator/tool) instead of the internal structural section (movement).
Exam Tip: Syllogism consists of Premises; Symphony consists of Movements.","Correct. Survives elimination because a syllogism is a complete logical argument structured from premises, while a symphony is a complete musical composition structured into movements.","Eliminated because a composer is the author, not an internal structural section.","Eliminated because a baton is a conductor's hand tool.","Eliminated because an auditorium is the performance venue.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Whole-to-part | Very Difficult | Batch 057"
"POLYHEDRON: FACE:: TREE: ______","BRANCH","FOREST","SEEDLING","SHADE","A","Step-by-Step Solution:
1. Analyze the geometric relationship in the initial word pair (POLYHEDRON: FACE):
 - A \""polyhedron\"" is a complete three-dimensional solid (WHOLE) bounded by individual flat polygonal surfaces or \""faces\"" (PART).
 - Relationship: Geometric structural WHOLE-TO-PART.
2. Determine the corresponding anatomical structural constituent (PART) for a botanical \""TREE\"":
 - A \""tree\"" is a complete woody perennial plant organism (WHOLE) comprising structural limbs, trunk, roots, and \""branches\"" (PART).
 - Therefore, TREE is to BRANCH as POLYHEDRON is to FACE.
3. Evaluate incorrect alternatives:
 - Option B (Forest): An aggregate ecosystem of trees (inverts the relationship into Part-to-Whole).
 - Option C (Seedling): A juvenile young tree (developmental stage, not an anatomical part).
 - Option D (Shade): An optical blocking of sunlight produced by foliage (effect/phenomenon).

Common Trap: Selecting forest (which is the larger whole containing trees, inverting the hierarchical direction).
Exam Tip: Direction is strictly WHOLE: PART. Polyhedron contains Faces; Tree contains Branches.","Correct. Survives elimination because a polyhedron is a 3D solid composed of bounding faces, just as a tree is a botanical organism bearing structural branches.","Eliminated because a forest is a collective entity of many trees (inverting Whole-to-Part into Part-to-Whole).","Eliminated because a seedling is a developmental stage.","Eliminated because shade is a light-blocking consequence.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Whole-to-part | Very Difficult | Batch 057"
"ARCHIPELAGO: ISLAND:: GALAXY: ______","STAR","PLANET","TELESCOPE","NEBULA","A","Step-by-Step Solution:
1. Analyze the aggregate relationship in the initial word pair (ARCHIPELAGO: ISLAND):
 - An \""archipelago\"" is a vast cluster or extensive sea area (WHOLE) containing numerous individual \""islands\"" (PART).
 - Relationship: Geographical aggregate WHOLE-TO-PART.
2. Determine the primary astronomical constituent body (PART) of a \""GALAXY\"":
 - A \""galaxy\"" is a gravitationally bound massive cosmic system (WHOLE) consisting of billions of individual stellar luminous bodies or \""stars\"" (PART).
 - Therefore, GALAXY is to STAR as ARCHIPELAGO is to ISLAND.
3. Evaluate incorrect alternatives:
 - Option B (Planet): A non-luminous body orbiting a star (subsidiary satellite, not the defining primary stellar component).
 - Option C (Telescope): An astronomical observation device.
 - Option D (Nebula): An interstellar cloud of dust and gas, not the basic discrete luminous unit.

Common Trap: Selecting planet or nebula rather than the fundamental discrete building blocks (stars) of a galaxy.
Exam Tip: An Archipelago is made of Islands; a Galaxy is made of Stars.","Correct. Survives elimination because an archipelago is a collective geographical whole composed of islands, just as a galaxy is a collective astronomical whole composed of stars.","Eliminated because planets are subsidiary bodies orbiting stars.","Eliminated because a telescope is an optical instrument.","Eliminated because a nebula is an interstellar gas cloud.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Whole-to-part | Very Difficult | Batch 057"
"CURRICULUM: SYLLABUS:: CORPUS: ______","TEXT","AUTHOR","LIBRARY","PREFACE","A","Step-by-Step Solution:
1. Analyze the structural relationship in the initial word pair (CURRICULUM: SYLLABUS):
 - A \""curriculum\"" is an overarching educational program of study (WHOLE) subdivided into distinct course outlines called \""syllabi\"" (PART).
 - Relationship: Academic programmatic WHOLE-TO-PART.
2. Determine the corresponding constituent document unit (PART) for a literary or linguistic \""CORPUS\"":
 - A \""corpus\"" is a comprehensive collection or body of written works and linguistic data (WHOLE) composed of individual \""texts\"" or writings (PART).
 - Therefore, CORPUS is to TEXT as CURRICULUM is to SYLLABUS.
3. Evaluate incorrect alternatives:
 - Option B (Author): The writer who creates a text (creator/agent).
 - Option C (Library): A physical building housing written works (external container).
 - Option D (Preface): An introductory note positioned at the start of a single book.

Common Trap: Selecting library (which houses books) instead of text (the constituent documents of a corpus).
Exam Tip: Curriculum is partitioned into Syllabi; Corpus is partitioned into Texts.","Correct. Survives elimination because a curriculum is a master educational program subdivided into syllabi, while a corpus is a comprehensive collection of writings subdivided into individual texts.","Eliminated because an author is the creator of literature.","Eliminated because a library is an architectural repository.","Eliminated because a preface is an introductory note in a single book.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Whole-to-part | Very Difficult | Batch 057"
"CHASSIS: AXLE:: CELL: ______","ORGANELLE","ORGANISM","MICROSCOPE","PETRI DISH","A","Step-by-Step Solution:
1. Analyze the mechanical relationship in the initial word pair (CHASSIS: AXLE):
 - A \""chassis\"" is the complete base structural framework of a motor vehicle (WHOLE) that houses and connects mechanical components like the \""axle\"" (PART).
 - Relationship: Structural framework WHOLE-TO-PART.
2. Determine the corresponding internal specialized constituent (PART) within a biological \""CELL\"":
 - A \""cell\"" is the fundamental microscopic structural and functional biological unit (WHOLE) that houses specialized functional sub-structures called \""organelles\"" (PART, such as the nucleus, mitochondria, and ribosomes).
 - Therefore, CELL is to ORGANELLE as CHASSIS is to AXLE.
3. Evaluate incorrect alternatives:
 - Option B (Organism): A macroscopic living being composed of cells (inverts to Part-to-Whole).
 - Option C (Microscope): An optical laboratory instrument used to magnify cells (observation tool).
 - Option D (Petri Dish): A shallow transparent cylindrical laboratory dish (laboratory container).

Common Trap: Choosing organism (inverting the hierarchical order) or microscope (tool).
Exam Tip: Chassis contains Axles; Biological Cell contains Organelles.","Correct. Survives elimination because a chassis is a mechanical structural whole containing axles, just as a biological cell is a microscopic living whole containing organelles.","Eliminated because an organism is a higher-order whole formed of cells.","Eliminated because a microscope is an optical tool.","Eliminated because a petri dish is a glass laboratory dish.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Whole-to-part | Very Difficult | Batch 057"
"LEGISLATURE: CHAMBER:: ATOM: ______","ELECTRON","MOLECULE","ELEMENT","COMPOUND","A","Step-by-Step Solution:
1. Analyze the institutional relationship in the initial word pair (LEGISLATURE: CHAMBER):
 - A \""legislature\"" is a national or regional lawmaking parliament (WHOLE) partitioned into distinct representative legislative assemblies or \""chambers\"" (PART, such as a Senate and a House).
 - Relationship: Organizational institutional WHOLE-TO-PART.
2. Determine the corresponding internal subatomic constituent (PART) of an \""ATOM\"":
 - An \""atom\"" is the basic unit of a chemical element (WHOLE) composed of subatomic particles including protons, neutrons, and orbiting \""electrons\"" (PART).
 - Therefore, ATOM is to ELECTRON as LEGISLATURE is to CHAMBER.
3. Evaluate incorrect alternatives:
 - Option B (Molecule): A chemical structure formed by bonding multiple atoms together (inverts to Part-to-Whole).
 - Option C (Element): A pure chemical substance consisting of one type of atom (classification category).
 - Option D (Compound): A chemical substance formed of multiple elements bonded together.

Common Trap: Selecting molecule (which contains atoms, inverting the hierarchical direction).
Exam Tip: Legislature is divided into Chambers; Atom is divided into subatomic parts like Electrons.","Correct. Survives elimination because a legislature is an institutional whole divided into chambers, while an atom is a physical whole containing subatomic electrons.","Eliminated because a molecule is a chemical whole composed of multiple atoms.","Eliminated because an element is a chemical taxonomic category.","Eliminated because a compound is a bonded chemical substance.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Whole-to-part | Very Difficult | Batch 057"
"TREATY: CLAUSE:: CONSTITUTION: ______","ARTICLE","PREAMBLE","RATIFICATION","CITIZEN","A","Step-by-Step Solution:
1. Analyze the legal-structural relationship in the initial word pair (TREATY: CLAUSE):
 - A \""treaty\"" is a formal legally binding international agreement (WHOLE) subdivided into distinct statutory stipulations and provisions called \""clauses\"" (PART).
 - Relationship: Formal legal document WHOLE-TO-PART.
2. Determine the primary substantive structural division (PART) of a \""CONSTITUTION\"":
 - A \""constitution\"" is the supreme fundamental organic legal framework of a sovereign state (WHOLE) systematically organized into distinct fundamental structural sections called \""articles\"" (PART, e.g., Article III Bill of Rights, Article VI Legislative Department).
 - Therefore, CONSTITUTION is to ARTICLE as TREATY is to CLAUSE.
3. Evaluate incorrect alternatives:
 - Option B (Preamble): The non-operative introductory statement, not the recurring structural subdivision.
 - Option C (Ratification): The formal legislative or popular approval process enacted on a constitution (procedure).
 - Option D (Citizen): A member of the political community governed by the constitution.

Common Trap: Selecting preamble (which is an introductory paragraph, not the primary structural subdivisions).
Exam Tip: Treaty is divided into Clauses; Constitution is divided into Articles.","Correct. Survives elimination because a treaty is a formal covenant partitioned into clauses, while a constitution is a supreme legal framework partitioned into articles.","Eliminated because the preamble is merely the introductory preface.","Eliminated because ratification is an enactment procedure.","Eliminated because a citizen is a person governed by the law.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Whole-to-part | Very Difficult | Batch 057"
"OCTET: LINE:: TRILOGY: ______","BOOK","AUTHOR","CHAPTER","EPILOGUE","A","Step-by-Step Solution:
1. Analyze the literary structural relationship in the initial word pair (OCTET: LINE):
 - An \""octet\"" is a poetic stanza or unit of verse (WHOLE) consisting specifically of 8 individual \""lines\"" (PART).
 - Relationship: Literary composition WHOLE-TO-PART.
2. Determine the corresponding whole-to-part constituent of a \""TRILOGY\"":
 - A \""trilogy\"" is a group or series of three related creative works (WHOLE) composed of 3 distinct full-length literary volumes or \""books\"" (PART).
 - Therefore, TRILOGY is to BOOK as OCTET is to LINE.
3. Evaluate incorrect alternatives:
 - Option B (Author): The creative writer of the trilogy (agent).
 - Option C (Chapter): A subdivision within an individual book (sub-part, skipping a hierarchical level).
 - Option D (Epilogue): A concluding section at the end of a single literary work.

Common Trap: Selecting chapter (which is a sub-part of a book) rather than the complete book units that make up a trilogy.
Exam Tip: An Octet is made of Lines; a Trilogy is made of Books.","Correct. Survives elimination because an octet is a poetic unit composed of verse lines, while a trilogy is a series composed of three books.","Eliminated because an author is the creator of the work.","Eliminated because a chapter is an internal subdivision of a single book.","Eliminated because an epilogue is a concluding postscript.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Whole-to-part | Very Difficult | Batch 057"
"MOSAIC: TESSERA:: TAPESTRY: ______","THREAD","LOOM","MURAL","DYE","A","Step-by-Step Solution:
1. Analyze the artistic material relationship in the initial word pair (MOSAIC: TESSERA):
 - A \""mosaic\"" is an artistic composite image or decorative design (WHOLE) produced by inlaying small individual pieces of colored stone, tile, or glass called \""tesserae\"" (PART).
 - Relationship: Artistic composite artwork WHOLE-TO-PART.
2. Determine the corresponding fundamental woven constituent (PART) for a textile \""TAPESTRY\"":
 - A \""tapestry\"" is a heavy woven decorative textile wall-hanging (WHOLE) intricately interlaced from thousands of individual spun \""threads\"" or yarns (PART).
 - Therefore, TAPESTRY is to THREAD as MOSAIC is to TESSERA.
3. Evaluate incorrect alternatives:
 - Option B (Loom): The mechanical weaving apparatus/frame used to produce textiles (tool/machine).
 - Option C (Mural): A painted wall artwork (comparable artistic medium, not a constituent part).
 - Option D (Dye): A chemical coloring pigment applied to yarn.

Common Trap: Selecting loom (the tool) or dye (the colorant) instead of the physical constituent thread.
Exam Tip: Mosaic is constructed from Tesserae; Tapestry is constructed from Threads.","Correct. Survives elimination because a mosaic is an artwork composed of tessera tiles, just as a tapestry is a textile artwork composed of woven threads.","Eliminated because a loom is a weaving machine, not a material constituent part.","Eliminated because a mural is a painted wall surface.","Eliminated because dye is a chemical coloring substance.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Whole-to-part | Very Difficult | Batch 057"
