"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Passage: The following table shows monthly power consumption (kWh) for five government buildings over one quarter: Building A: Jan=12,840, Feb=13,210, Mar=14,560. Building B: Jan=8,720, Feb=8,940, Mar=9,180. Building C: Jan=21,340, Feb=20,870, Mar=22,640. Building D: Jan=6,240, Feb=5,890, Mar=6,810. Building E: Jan=15,630, Feb=14,820, Mar=16,240. Based on the data, which building had the HIGHEST SINGLE-MONTH consumption, and what was the LOWEST SINGLE-MONTH consumption across all buildings and months?","Highest: Building C in March (22,640 kWh). Lowest: Building D in February (5,890 kWh).","Highest: Building E in March (16,240 kWh). Lowest: Building D in January (6,240 kWh).","Highest: Building C in January (21,340 kWh). Lowest: Building B in January (8,720 kWh).","Highest: Building C in March (22,640 kWh). Lowest: Building B in January (8,720 kWh).","A","Step-by-Step Solution:
1. Identify all 15 data points (5 buildings × 3 months) and find the maximum and minimum:
2. Scan for maximum across all cells:
 - Building C: Jan=21,340; Feb=20,870; Mar=22,640. The highest single value is Building C in March = 22,640 kWh.
3. Scan for minimum across all cells:
 - Building D: Jan=6,240; Feb=5,890; Mar=6,810. The lowest single value is Building D in February = 5,890 kWh.
4. Option A correctly identifies both: max=Building C/March (22,640) and min=Building D/February (5,890).
5. Evaluate incorrect alternatives:
 - Option B: 16,240 (Building E/March) is not the maximum across all buildings; Building C/March (22,640) is higher.
 - Option C: 21,340 (Building C/January) is NOT the maximum; Building C/March (22,640) is higher.
 - Option D: Correctly identifies the maximum (Building C/March=22,640) but incorrectly identifies Building B/January (8,720) as the minimum—the actual minimum is Building D/February (5,890).

Common Trap: Identifying Building B's January value as the lowest (8,720) without systematically checking Building D, which has values below 7,000.
Exam Tip: Finding true maximum/minimum across multi-row, multi-column tables requires scanning ALL cells; a quick visual scan may miss the extremes in less prominent rows.","Correct. Survives elimination because Building C in March (22,640 kWh) is the highest single-month consumption, and Building D in February (5,890 kWh) is the lowest across all 15 monthly values.","Eliminated because Building E's March value (16,240 kWh) is not the maximum; Building C's March value (22,640 kWh) is significantly higher.","Eliminated because Building C's January value (21,340 kWh) is not the quarterly maximum; Building C's March value (22,640 kWh) exceeds it.","Eliminated because while the maximum (Building C/March=22,640 kWh) is correctly identified, the minimum is incorrectly stated as Building B/January (8,720 kWh) when Building D/February (5,890 kWh) is lower.","Analytical Ability","Analytical Ability | Data Interpretation | Maximum/Minimum | Multi-Cell Scan | Very Difficult | Batch 115"
"Passage: A regional office tracks the annual number of resolved public complaints across 6 divisions. Division data for Years 1, 2, and 3: Division Alpha: 1,847; 2,134; 1,968. Division Beta: 2,312; 2,487; 2,641. Division Gamma: 1,124; 987; 1,312. Division Δ: 3,241; 3,189; 3,412. Division Epsilon: 876; 934; 812. Division Zeta: 2,087; 2,213; 2,341. The deputy director needs to identify: (A) which division resolved the MOST complaints across all three years combined, and (B) which single-year performance was the LOWEST across all divisions. Which answer is correct?","(A) Division Δ resolved the most total complaints (3,241+3,189+3,412=9,842). (B) Division Epsilon in Year 3 had the lowest single-year performance (812).","(A) Division Beta had the most total complaints. (B) Division Gamma in Year 2 had the lowest (987).","(A) Division Δ had the most total complaints. (B) Division Gamma in Year 2 had the lowest (987).","(A) Division Zeta had the most total complaints. (B) Division Epsilon in Year 1 (876) had the lowest.","A","Step-by-Step Solution:
1. Calculate three-year totals for each division:
 - Alpha: 1,847+2,134+1,968 = 5,949.
 - Beta: 2,312+2,487+2,641 = 7,440.
 - Gamma: 1,124+987+1,312 = 3,423.
 - Δ: 3,241+3,189+3,412 = 9,842. ← HIGHEST TOTAL.
 - Epsilon: 876+934+812 = 2,622.
 - Zeta: 2,087+2,213+2,341 = 6,641.
2. Δ (9,842) has the highest three-year total. ✓
3. Identify the single lowest annual value across ALL 18 data points:
 - Epsilon Year 1=876; Epsilon Year 3=812 (← LOWEST SINGLE VALUE).
 - Gamma Year 2=987. Epsilon Year 3=812 < 876 < 987.
4. Lowest single-year = Division Epsilon, Year 3 (812). ✓
5. Option A correctly answers both.
6. Options B and C: Identify Gamma Year 2 (987) as the lowest—but Epsilon Year 3 (812) is lower.
7. Option D: Zeta did not have the most total complaints (Zeta=6,641 vs. Δ=9,842).

Common Trap: Identifying Gamma Year 2 (987) as the minimum without checking all Epsilon values (876, 934, 812—where 812 is lower).
Exam Tip: For minimum across an entire dataset, systematically check all values; note that the minimum for a single division may appear in any year, including later years.","Correct. Survives elimination because Division Δ's three-year total of 9,842 is the highest, and Division Epsilon's Year 3 value of 812 is the lowest single-year figure across all 18 data points.","Eliminated because Division Beta's total of 7,440 is the second-highest, below Δ's 9,842; and Gamma's Year 2 (987) is not the lowest—Epsilon's Year 3 (812) is lower.","Eliminated because while Δ's total is correctly the highest, Gamma's Year 2 (987) is incorrectly identified as the minimum—Epsilon's Year 3 (812) is the actual minimum.","Eliminated because Division Zeta's total (6,641) is third-highest—below Δ (9,842); and Epsilon's Year 1 (876) is not the minimum—Epsilon's Year 3 (812) is lower.","Analytical Ability","Analytical Ability | Data Interpretation | Maximum/Minimum | Two-Part Identification | Very Difficult | Batch 115"
"Passage: A quality control report shows defect rates (per 1,000 units) for five production lines over four inspection rounds. Line 1: R1=4.2, R2=3.8, R3=5.1, R4=3.4. Line 2: R1=7.8, R2=6.4, R3=8.2, R4=5.9. Line 3: R1=2.1, R2=2.4, R3=1.8, R4=2.7. Line 4: R1=9.4, R2=8.7, R3=10.1, R4=9.8. Line 5: R1=5.3, R2=4.9, R3=6.2, R4=4.7. Based on the data, which production line had the WIDEST DEFECT RATE RANGE (max minus min across all four rounds), and what was that range?","Line 4 had the widest range: 10.1 (max, R3) minus 8.7 (min, R2) = 1.4 defects/1,000 units.","Line 2 had the widest range: 8.2 (max, R3) minus 5.9 (min, R4) = 2.3 defects/1,000 units.","Line 1 had the widest range: 5.1 (max, R3) minus 3.4 (min, R4) = 1.7 defects/1,000 units.","Line 4 had the widest range: 10.1 (max) minus 8.7 (min) = 1.4 defects/1,000 units.","B","Step-by-Step Solution:
1. Calculate range (max-min) for each production line:
 - Line 1: max=5.1 (R3), min=3.4 (R4). Range=5.1-3.4=1.7.
 - Line 2: max=8.2 (R3), min=5.9 (R4). Range=8.2-5.9=2.3. ← WIDEST.
 - Line 3: max=2.7 (R4), min=1.8 (R3). Range=2.7-1.8=0.9.
 - Line 4: max=10.1 (R3), min=8.7 (R2). Range=10.1-8.7=1.4.
 - Line 5: max=6.2 (R3), min=4.7 (R4). Range=6.2-4.7=1.5.
2. Widest range: Line 2 (range=2.3). Option B is correct.
3. Evaluate incorrect alternatives:
 - Option A (Line 4, range=1.4): Line 4 has the highest ABSOLUTE defect rates but not the widest range; Line 2 has wider variation.
 - Option C (Line 1, range=1.7): Second-widest range, below Line 2's 2.3.
 - Option D: Same as Option A (redundant).

Common Trap: Selecting Line 4 because it has the highest defect rates overall, confusing 'highest defects' with 'widest variation (range).'
Exam Tip: Range = max - min WITHIN each entity's data; a production line with uniformly high defects may have a smaller range than one with more variable defects.","Eliminated because Line 4's range of 1.4 (10.1-8.7) is not the widest; Line 2's range of 2.3 is larger despite Line 4 having the highest absolute defect rates.","Correct. Survives elimination because Line 2's defect rate range of 2.3 (max 8.2 in R3 minus min 5.9 in R4) is the widest among all five production lines.","Eliminated because Line 1's range of 1.7 is the second-widest—above Line 4 (1.4) and Line 5 (1.5) but below Line 2's 2.3.","Eliminated because this option repeats Line 4's range of 1.4, which is not the widest range—Line 2's 2.3 is larger.","Analytical Ability","Analytical Ability | Data Interpretation | Maximum/Minimum | Range Analysis | Very Difficult | Batch 115"
"Passage: A government hospital's monthly census data for six departments shows occupancy rates (%) for the first five months of the year: Emergency: Jan=87, Feb=91, Mar=94, Apr=98, May=103. ICU: Jan=72, Feb=78, Mar=84, Apr=89, May=93. Maternity: Jan=64, Feb=68, Mar=71, Apr=69, May=74. Pediatrics: Jan=54, Feb=61, Mar=58, Apr=66, May=62. Surgery: Jan=81, Feb=76, Mar=88, Apr=84, May=91. General Medical: Jan=76, Feb=79, Mar=82, Apr=85, May=88. Which department-month combination represents the OVERALL MAXIMUM occupancy rate, and which represents the MINIMUM?","Maximum: Emergency in May (103%). Minimum: Pediatrics in January (54%).","Maximum: Emergency in April (98%). Minimum: Pediatrics in April (66%).","Maximum: Emergency in May (103%). Minimum: Maternity in January (64%).","Maximum: ICU in May (93%). Minimum: Pediatrics in January (54%).","A","Step-by-Step Solution:
1. Find the maximum across all 30 data points (6 departments × 5 months):
 - Emergency has the highest values; its May value = 103% (exceeding 100% = overcapacity). ← MAXIMUM.
2. Find the minimum across all 30 data points:
 - Pediatrics has the lowest values; its January value = 54%. ← MINIMUM.
3. Option A correctly identifies Emergency/May (103%) as max and Pediatrics/January (54%) as min.
4. Evaluate incorrect alternatives:
 - Option B: Emergency/April (98%) is not the max; Emergency/May (103%) is higher.
 - Option C: Correctly identifies Emergency/May as max but incorrectly states Maternity/January (64%) as min; Pediatrics/January (54%) is lower.
 - Option D: ICU/May (93%) is not the maximum; Emergency/May (103%) is higher.

Common Trap: Identifying Emergency/April (98%) as the maximum without noting Emergency/May (103%) which exceeds it.
Exam Tip: When finding extremes in a table, systematically scan the row/column with the highest/lowest apparent values, and check ALL values in that row/column before confirming.","Correct. Survives elimination because Emergency/May (103%) is the highest occupancy rate and Pediatrics/January (54%) is the lowest across all 30 department-month combinations.","Eliminated because Emergency/April (98%) is not the maximum; Emergency/May (103%) is 5 percentage points higher and is the true maximum.","Eliminated because while Emergency/May (103%) is correctly the maximum, Maternity/January (64%) is not the minimum; Pediatrics/January (54%) is 10 percentage points lower.","Eliminated because ICU/May (93%) is not the maximum; Emergency/May (103%) exceeds it significantly.","Analytical Ability","Analytical Ability | Data Interpretation | Maximum/Minimum | Multi-Table Scan | Very Difficult | Batch 115"
"Passage: A national procurement report tracks unit prices (PHP per unit) submitted by five suppliers for 4 items. | Item | Supplier 1 | Supplier 2 | Supplier 3 | Supplier 4 | Supplier 5 | |---|---|---|---|---|---| | Item A | 284 | 312 | 267 | 298 | 341 | | Item B | 1,240 | 1,187 | 1,312 | 1,204 | 1,163 | | Item C | 48 | 52 | 45 | 56 | 43 | | Item D | 3,410 | 3,287 | 3,512 | 3,198 | 3,624 | For each item, the procurement office selects the LOWEST BID. What is the TOTAL COST per unit if one unit of each item is purchased from the lowest bidder for that item?","Total cost = PHP 4,760, calculated by selecting the lowest bid per item: A=267 (S3) + B=1,163 (S5) + C=43 (S5) + D=3,198 (S4) = 267+1,163+43+3,198=4,671.","Total cost = PHP 4,871, selecting lowest bids: A=267, B=1,163, C=43, D=3,198.","Total cost = PHP 4,671, selecting the lowest bid from each row.","Total cost = PHP 5,072, using Supplier 1 for all items.","C","Step-by-Step Solution:
1. Find the lowest bid per item:
 - Item A: min(284,312,267,298,341) = 267 (Supplier 3).
 - Item B: min(1,240,1,187,1,312,1,204,1,163) = 1,163 (Supplier 5).
 - Item C: min(48,52,45,56,43) = 43 (Supplier 5).
 - Item D: min(3,410,3,287,3,512,3,198,3,624) = 3,198 (Supplier 4).
2. Sum of lowest bids: 267 + 1,163 + 43 + 3,198 = 4,671.
3. Option C (PHP 4,671) is correct.
4. Option A says PHP 4,760 (wrong Σ); Option B says PHP 4,871 (wrong).

Common Trap: Selecting a single supplier for all items rather than selecting the lowest bid per item independently.
Exam Tip: Lowest-bid procurement evaluates each item independently; the cheapest supplier for Item A may not be cheapest for Item B.","Eliminated because PHP 4,760 is an incorrect total; the correct Σ of lowest bids (267+1,163+43+3,198) = 4,671.","Eliminated because PHP 4,871 is an incorrect total for the lowest bids; the correct Σ is 4,671.","Correct. Survives elimination because selecting the lowest bid per item yields A=267 (S3), B=1,163 (S5), C=43 (S5), D=3,198 (S4), totaling PHP 4,671.","Eliminated because using Supplier 1 for all items gives 284+1,240+48+3,410=4,982—more expensive than the best-bid approach and not PHP 5,072.","Analytical Ability","Analytical Ability | Data Interpretation | Maximum/Minimum | Best Bid Selection | Very Difficult | Batch 115"
"Passage: Annual tourist arrivals (thousands) for a destination are recorded for eight years: Y1=842; Y2=907; Y3=1,234; Y4=1,187; Y5=1,456; Y6=1,312; Y7=1,689; Y8=2,104. The tourism board wants to identify the SINGLE YEAR WITH THE HIGHEST ARRIVALS, the year that showed the LARGEST YEAR-OVER-YEAR INCREASE, and the year with the LARGEST YEAR-OVER-YEAR DECLINE. Which is correct?","Highest arrivals: Y8 (2,104K). Largest YoY increase: Y3 (+327K, from Y2=907 to Y3=1,234). Largest YoY decline: Y4 (-47K, from Y3=1,234 to Y4=1,187).","Highest arrivals: Y8 (2,104K). Largest YoY increase: Y8 (+415K). Largest YoY decline: Y6 (-144K).","Highest arrivals: Y7 (1,689K). Largest YoY increase: Y7 (+377K). Largest YoY decline: Y4 (-47K).","Highest arrivals: Y8 (2,104K). Largest increase: Y5 (+269K). Largest decline: Y6 (-144K).","B","Step-by-Step Solution:
1. Highest arrivals: Y8 = 2,104K (largest value in the series) ✓.
2. Calculate year-over-year changes:
 - Y1→Y2: +65K.
 - Y2→Y3: +327K.
 - Y3→Y4: -47K.
 - Y4→Y5: +269K.
 - Y5→Y6: -144K. ← Largest decline.
 - Y6→Y7: +377K.
 - Y7→Y8: +415K. ← Largest increase.
3. Largest YoY increase: Y7→Y8 = +415K. ✓
4. Largest YoY decline: Y5→Y6 = -144K. ✓
5. Option B: Highest Y8 ✓; Largest increase Y8 (+415K) ✓; Largest decline Y6 (-144K) ✓. CORRECT.
6. Evaluate incorrect alternatives:
 - Option A: States largest increase is Y3 (+327K)—but Y7→Y8 increase (+415K) is larger.
 - Option C: States highest is Y7 (1,689K)—but Y8 (2,104K) is higher.
 - Option D: States largest increase is Y5 (+269K)—but Y7→Y8 (+415K) is larger.

Common Trap: Identifying Y3 (+327K from Y2=907 to Y3=1,234) as the largest increase without computing all year-over-year changes including Y7→Y8.
Exam Tip: To find the largest year-over-year change, compute ALL consecutive-year differences; the visually obvious large jumps may not be the true maximum.","Eliminated because the largest year-over-year increase is Y7→Y8 (+415K), not Y2→Y3 (+327K); a higher increase is found later in the series.","Correct. Survives elimination because Y8 (2,104K) has the highest arrivals, the largest single-year increase is Y7→Y8 (+415K), and the largest decline is Y5→Y6 (-144K).","Eliminated because Y7 (1,689K) is not the highest arrivals—Y8 (2,104K) exceeds it; and the largest increase is Y7→Y8 (+415K), not Y6→Y7 (+377K).","Eliminated because the largest year-over-year increase is Y7→Y8 (+415K), not Y4→Y5 (+269K); the largest increase occurs in the final observed period.","Analytical Ability","Analytical Ability | Data Interpretation | Maximum/Minimum | Multi-Metric Identification | Very Difficult | Batch 115"
"Passage: A regional disaster risk office rates 6 barangays on a vulnerability index (scale 0-100, higher = more vulnerable) across three dimensions: Flood Risk, Landslide Risk, and Typhoon Exposure. | Barangay | Flood | Landslide | Typhoon | |---|---|---|---| | Bagong Silang | 78 | 42 | 84 | | Catmon | 61 | 87 | 73 | | Daang Hari | 54 | 34 | 91 | | Emilio | 83 | 56 | 68 | | Fatima | 69 | 78 | 82 | | Grandview | 92 | 45 | 77 | Based on the data, which BARANGAY has the HIGHEST MAXIMUM DIMENSION SCORE (i.e., the highest score on its worst-performing dimension), and which barangay has the LOWEST MAXIMUM DIMENSION SCORE?","Grandview has the highest maximum dimension score (92 in Flood). Daang Hari has the lowest maximum dimension score (91 in Typhoon).","Catmon has the highest maximum dimension score (87 in Landslide). Daang Hari has the lowest maximum (91).","Grandview has the highest max (92). Emilio has the lowest max (83 in Flood).","Grandview has the highest max (92). Daang Hari's max is 91 in Typhoon, making it the second-highest.","A","Step-by-Step Solution:
1. Find the MAXIMUM dimension score for each barangay (worst single dimension):
 - Bagong Silang: max(78,42,84) = 84.
 - Catmon: max(61,87,73) = 87.
 - Daang Hari: max(54,34,91) = 91.
 - Emilio: max(83,56,68) = 83.
 - Fatima: max(69,78,82) = 82.
 - Grandview: max(92,45,77) = 92. ← HIGHEST max.
2. Among the maxima (84, 87, 91, 83, 82, 92):
 - HIGHEST maximum = Grandview (92).
 - LOWEST maximum = Fatima (82).

Wait: Option A says lowest max = Daang Hari (91). But the lowest maximum is Fatima (82), not Daang Hari (91). Let me recheck.
Maxima: Bagong Silang=84; Catmon=87; Daang Hari=91; Emilio=83; Fatima=82; Grandview=92.
Lowest maximum = Fatima (82). Option A is wrong in stating Daang Hari as the lowest max.

Correcting Option A to reflect the correct answer.","Grandview has the highest maximum dimension score (92 in Flood Risk) and Fatima has the lowest maximum dimension score (82 in Typhoon Exposure).","Catmon has the highest maximum dimension score (87 in Landslide), which is incorrect since Grandview's 92 in Flood is higher.","Grandview has the highest max (92) and Emilio has the lowest max (83 in Flood Risk), which is incorrect since Fatima's max (82) is lower than Emilio's (83).","Daang Hari has the highest maximum (91 in Typhoon), ignoring Grandview's 92 in Flood which is higher.","A","Step-by-Step Solution (Corrected):
1. Compute max per barangay across three dimensions:
 - Bagong Silang: max(78,42,84)=84.
 - Catmon: max(61,87,73)=87.
 - Daang Hari: max(54,34,91)=91.
 - Emilio: max(83,56,68)=83.
 - Fatima: max(69,78,82)=82. ← LOWEST max.
 - Grandview: max(92,45,77)=92. ← HIGHEST max.
2. Grandview (92) has the highest worst-dimension score; Fatima (82) has the lowest worst-dimension score.

Common Trap: Confusing the highest overall single value (Grandview Flood=92) with other maxima, or mistakenly identifying a different barangay as having the lowest maximum dimension score.
Exam Tip: 'Highest maximum dimension score' = the barangay whose worst single category score is the highest; 'lowest maximum' = the barangay whose worst score is the lowest among all barangays' worst scores."
"Passage: A city's monthly rainfall data (millimeters) for a 12-month period is: Jan=12.4, Feb=18.7, Mar=34.2, Apr=87.6, May=142.3, Jun=198.4, Jul=241.8, Aug=287.3, Sep=213.6, Oct=124.7, Nov=54.2, Dec=22.1. The city engineer needs to know: (A) the month with MAXIMUM rainfall, (B) the month with MINIMUM rainfall, and (C) the RANGE (max minus min). Which answer is correct?","(A) July (241.8mm). (B) January (12.4mm). (C) Range=229.4mm.","(A) August (287.3mm). (B) January (12.4mm). (C) Range=274.9mm.","(A) August (287.3mm). (B) December (22.1mm). (C) Range=265.2mm.","(A) July (241.8mm). (B) February (18.7mm). (C) Range=223.1mm.","B","Step-by-Step Solution:
1. Find maximum rainfall month: August = 287.3mm is the highest value ✓.
2. Find minimum rainfall month: January = 12.4mm is the lowest value ✓.
3. Calculate range: 287.3 - 12.4 = 274.9mm ✓.
4. Option B (August max, January min, range=274.9mm) is correct.
5. Evaluate incorrect alternatives:
 - Option A: July (241.8mm) is NOT the maximum; August (287.3mm) is higher.
 - Option C: Correctly identifies August as max but states December (22.1mm) as min—January (12.4mm) is lower.
 - Option D: July is not the max; February is not the min.

Common Trap: Identifying July as the maximum because it looks like the peak visually, without verifying that August (the next month) is higher.
Exam Tip: When identifying maxima and minima, always check all values—never assume a visually prominent po∫ is the true extremum without scanning adjacent values.","Eliminated because July (241.8mm) is not the maximum monthly rainfall; August (287.3mm) is higher by 45.5mm.","Correct. Survives elimination because August (287.3mm) is the maximum, January (12.4mm) is the minimum, and the range is 287.3-12.4=274.9mm.","Eliminated because while August (287.3mm) is correctly identified as the maximum, December (22.1mm) is not the minimum—January (12.4mm) is 9.7mm lower.","Eliminated because July (241.8mm) is not the maximum and February (18.7mm) is not the minimum—both are exceeded/undercut by August and January respectively.","Analytical Ability","Analytical Ability | Data Interpretation | Maximum/Minimum | Three-Part Calculation | Very Difficult | Batch 115"
"Passage: A performance evaluation matrix rates 5 candidates on 4 competencies (scale 1-10). | Candidate | Leadership | Technical | Communication | Problem-Solving | |---|---|---|---|---| | Reyes | 8 | 9 | 7 | 8 | | Santos | 7 | 8 | 9 | 7 | | Torres | 9 | 7 | 8 | 9 | | Umali | 6 | 8 | 7 | 9 | | Villanueva | 8 | 9 | 8 | 7 | Based on the data, which candidate has the HIGHEST MINIMUM COMPETENCY SCORE (i.e., their weakest competency is rated highest), indicating the most well-rounded performer?","Candidate Torres has the highest minimum competency score: min(9,7,8,9)=7, tied with Santos (7), Reyes (7), and Villanueva (7). However, Torres' minimum of 7 is achieved with three scores at 8-9, showing the strongest floor performance.","Candidate Umali has the highest minimum (6), which is the highest floor score.","Candidate Santos has the lowest minimum (7) but also the highest single competency.","All candidates have the same minimum of 7, so no differentiation can be made.","A","Step-by-Step Solution:
1. Identify the minimum competency score for each candidate:
 - Reyes: min(8,9,7,8) = 7.
 - Santos: min(7,8,9,7) = 7.
 - Torres: min(9,7,8,9) = 7.
 - Umali: min(6,8,7,9) = 6. ← LOWEST minimum.
 - Villanueva: min(8,9,8,7) = 7.
2. All candidates except Umali have a minimum of 7; Umali has a minimum of 6.
3. Highest minimum = 7 (tied among Reyes, Santos, Torres, Villanueva).
4. Among those tied at 7, Torres' overall profile (9,7,8,9) is the strongest, with three scores ≥8.
5. Option A correctly notes the tie at 7 and identifies Torres as the strongest floor performer. Option C and D are partially correct but incomplete.

Common Trap: Confusing 'highest minimum score' with 'highest total score' or selecting Umali for having a unique minimum value.
Exam Tip: 'Highest minimum competency score' = the candidate whose worst score is highest; in case of ties, review the full profile for additional context.","Correct. Survives elimination because Torres and others share a minimum of 7—the highest floor among all candidates. Torres is identified as the strongest floor performer as the candidate with the most scores above their minimum of 7.","Eliminated because Umali's minimum score of 6 is the LOWEST minimum among all candidates—the exact opposite of the highest minimum.","Eliminated because Santos' minimum is 7, which ties with several others (not uniquely lowest), and the statement is misleading; Santos is one of four candidates at the highest minimum level.","Eliminated because while the observation that four candidates share a minimum of 7 is accurate, the assertion that 'no differentiation can be made' is incorrect—Torres' profile demonstrates stronger floor performance.","Analytical Ability","Analytical Ability | Data Interpretation | Maximum/Minimum | Minimum Profile Analysis | Very Difficult | Batch 115"
"Passage: Five regional offices submitted their quarterly budget utilization data for FY 2023 (% of quarterly budget actually spent): | Region | Q1 | Q2 | Q3 | Q4 | |---|---|---|---|---| | Northern | 72.4 | 81.3 | 88.7 | 94.2 | | Southern | 68.9 | 74.2 | 79.8 | 96.4 | | Eastern | 84.1 | 87.6 | 91.3 | 98.7 | | Western | 78.3 | 82.4 | 85.9 | 93.1 | | Central | 62.4 | 71.8 | 84.3 | 99.2 | The finance office needs to identify: (A) which region-quarter combination has the HIGHEST utilization rate, and (B) which region had the WIDEST QUARTERLY RANGE (max utilization minus min utilization across all four quarters). Which is correct?","(A) Central Region in Q4 (99.2%) has the highest single utilization rate. (B) Central Region has the widest range: 99.2-62.4=36.8 percentage points.","(A) Eastern Region in Q4 (98.7%) has the highest. (B) Central Region has the widest range (36.8 pp).","(A) Central Region in Q4 (99.2%). (B) Southern Region has the widest range: 96.4-68.9=27.5 pp.","(A) Eastern Region in Q4 (98.7%). (B) Eastern Region has the widest range.","A","Step-by-Step Solution:
1. Find the highest single utilization rate across all 20 data points:
 - Central Q4=99.2% is the highest. ✓
2. Calculate quarterly range for each region:
 - Northern: 94.2-72.4=21.8 pp.
 - Southern: 96.4-68.9=27.5 pp.
 - Eastern: 98.7-84.1=14.6 pp.
 - Western: 93.1-78.3=14.8 pp.
 - Central: 99.2-62.4=36.8 pp. ← WIDEST.
3. Central has both the highest single value AND the widest range.
4. Option A is correct.
5. Evaluate incorrect alternatives:
 - Option B: Correctly identifies Central's widest range (36.8 pp) but incorrectly states Eastern Q4 (98.7%) as highest—Central Q4 (99.2%) is higher.
 - Option C: Correctly identifies Central Q4 as highest but incorrectly states Southern has widest range (27.5 pp < Central's 36.8 pp).
 - Option D: Both parts are incorrect.

Common Trap: Identifying Eastern Q4 (98.7%) as the highest without noting Central Q4 (99.2%) is 0.5 pp higher.
Exam Tip: When scanning for extremes in a matrix, pay special attention to the final column/row which often contains year-end peaks.","Correct. Survives elimination because Central Q4 (99.2%) is the highest single-quarter utilization rate, and Central also has the widest quarterly range (99.2-62.4=36.8 pp).","Eliminated because Eastern Q4 (98.7%) is not the highest—Central Q4 (99.2%) exceeds it by 0.5 percentage points.","Eliminated because while Central Q4 (99.2%) correctly identifies the maximum, Southern's range (27.5 pp) is narrower than Central's range (36.8 pp).","Eliminated because Eastern Q4 (98.7%) is not the highest single value, and Eastern's range (14.6 pp) is among the narrowest—far from the widest.","Analytical Ability","Analytical Ability | Data Interpretation | Maximum/Minimum | Matrix Extremes | Very Difficult | Batch 115"
