"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"A budget analyst reviewed the following three statements about an agency's financial plan: Statement 1: 'The agency allocated PHP 50 million for infrastructure maintenance in FY 2024.' Statement 2: 'The agency allocated PHP 30 million for infrastructure maintenance in FY 2023.' Statement 3: 'Therefore, the agency increased infrastructure spending by PHP 20 million.' If Statement 3 directly contradicts a newly released audit report showing actual FY 2023 infrastructure spending was PHP 45 million, what is the CONTRADICTION?","Statement 3's conclusion of a PHP 20 million increase is false because the actual baseline was PHP 45 million, yielding only a PHP 5 million real increase.","Statement 1 and Statement 2 are internally contradictory with each other.","The audit report and Statement 2 are both simultaneously true.","The agency has no authority to allocate funds for infrastructure maintenance.","A","Step-by-Step Solution:
1. Identify what contradicts what:
 - The analyst's Statement 3 derives a PHP 20 million increase using the budgeted PHP 30 million FY 2023 baseline.
 - The audit reveals actual FY 2023 spending was PHP 45 million—not PHP 30 million.
 - True increase = PHP 50M - PHP 45M = PHP 5M, not PHP 20M.
 - Statement 3's conclusion (PHP 20M increase) directly contradicts the audited reality (PHP 5M increase).
2. Classify the contradiction:
 - A contradiction exists when two claims cannot both be true simultaneously.
 - Statement 3 asserts a PHP 20M increase; the audit proves only a PHP 5M increase—irreconcilable conflict.
3. Conclude:
 - Option A precisely identifies the contradiction.
4. Evaluate incorrect alternatives:
 - Option B: Statements 1 and 2 cover different fiscal years; no contradiction between them.
 - Option C: The audit proves Statement 2's PHP 30M figure was wrong; they cannot both be true.
 - Option D: Agency budget authority is a legal matter unrelated to this arithmetic contradiction.

Common Trap: Confusing a difference between budgeted versus actual spending with an internal logical contradiction.
Exam Tip: A contradiction occurs when two claims about the same subject matter cannot both be true. Verify the same variable (FY 2023 baseline) is being compared.","Correct. Survives elimination because Statement 3's PHP 20M increase conclusion cannot be true simultaneously with the audit's PHP 5M actual increase.","Eliminated because Statements 1 and 2 cover different fiscal years with no internal logical conflict.","Eliminated because Statement 2 (PHP 30M budgeted) contradicts the audit (PHP 45M actual), so they cannot both be true.","Eliminated because budget authority is a legal question unrelated to the numerical contradiction.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Contradiction | Very Difficult | Batch 100"
"Consider the following two statements from official government communications: Statement X: 'Civil Service Rule 12-A prohibits any transfer of personnel between departments without prior written approval from the CSC.' Statement Y: 'Division Director Magtibay transferred fifteen personnel from Department B to Department C last week under his supervisory discretion, without written CSC approval.'

Which of the following correctly identifies the CONTRADICTION?","Statement Y describes an action that directly violates the explicit prohibition in Statement X, making both simultaneously true is a logical impossibility if Statement X is a binding rule.","Statement X and Statement Y are complementary and mutually supporting.","Statement Y is redundant because it simply repeats the content of Statement X.","Statement X is contradicted only if a court formally declares it unconstitutional.","A","Step-by-Step Solution:
1. Analyze the two statements:
 - Statement X establishes a binding prohibition: No personnel transfers without prior CSC written approval.
 - Statement Y asserts a personnel transfer did occur without CSC written approval.
2. Identify the contradiction:
 - If Statement X is binding, then Statement Y describes an illegal act that should not have occurred.
 - If Statement Y is factually accurate, then the prohibition in Statement X was violated.
 - They cannot both be simultaneously followed: a rule prohibiting X and an assertion that X happened are logically irreconcilable.
3. Conclude:
 - Option A correctly identifies the direct violation as the contradiction.
4. Evaluate incorrect alternatives:
 - Option B: A prohibition and its direct violation cannot be complementary.
 - Option C: Statement Y describes specific events; it does not repeat Statement X.
 - Option D: Binding civil service rules do not require judicial declarations to be effective.

Common Trap: Thinking a rule and its violation are not a contradiction because the violation 'happened in real life'.
Exam Tip: A legal rule (prohibiting X) and a factual assertion (X occurred without following the rule) form a direct normative-descriptive contradiction.","Correct. Survives elimination because a prohibition against unapproved transfers and the assertion that an unapproved transfer occurred are directly irreconcilable.","Eliminated because a prohibition and its violation are adversarial, not complementary.","Eliminated because Statement Y describes specific factual events, not a repetition of the rule.","Eliminated because civil service rules take effect upon issuance without requiring a court declaration.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Contradiction | Very Difficult | Batch 100"
"An agency performance report contains the following two claims: Claim 1: 'Our agency achieved a 100% compliance rate with all Anti-Red Tape Authority transaction processing standards in Q1 2024.' Claim 2: 'The agency received 47 verified formal complaints from citizens citing delayed transaction processing that exceeded the statutory time limits during Q1 2024.'

Which of the following CORRECTLY identifies the logical CONTRADICTION between Claim 1 and Claim 2?","A 100% compliance rate (Claim 1) cannot coexist with 47 verified complaints of statutory processing time violations (Claim 2) in the same quarter.","Claim 1 and Claim 2 are contradictory only if all 47 complaints were filed by the same single individual.","The contradiction is resolved if the agency paid settlement fees to all 47 complainants.","Claim 2 is irrelevant unless the complainants personally testified before a legislative oversight committee.","A","Step-by-Step Solution:
1. Define 100% compliance:
 - Claim 1 asserts zero violations of ARTA processing standards during Q1 2024.
2. Examine Claim 2:
 - 47 verified complaints of delays exceeding statutory limits = 47 documented violations of ARTA standards in Q1 2024.
3. Identify the contradiction:
 - Zero violations (Claim 1) and 47 documented violations (Claim 2) in the same period cannot both be true.
 - This is a direct logical contradiction: {100% compliant} cap {47 violations} = emptyset.
4. Evaluate incorrect alternatives:
 - Option B: The number of complainants is irrelevant; 47 verified complaints document violations regardless.
 - Option C: Fee settlements do not retroactively convert violations into compliant transactions.
 - Option D: Congressional testimony is irrelevant to the internal logical conflict.

Common Trap: Assuming technical procedural factors (who filed the complaints or whether fees were paid) can resolve a fundamental quantitative contradiction.
Exam Tip: 'Zero violations' and '47 verified violations' during the identical reference period constitute a direct and irresolvable logical contradiction.","Correct. Survives elimination because claiming 100% compliance while acknowledging 47 verified violations during the same quarter is an absolute logical contradiction.","Eliminated because compla∫ source count is irrelevant to whether violations occurred.","Eliminated because fee settlements do not retroactively classify violations as compliant transactions.","Eliminated because congressional testimony is unnecessary to establish an internal agency report contradiction.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Contradiction | Very Difficult | Batch 100"
"An environmental impact assessment states: 'The proposed quarrying operation will have zero adverse environmental impact on the watershed.' A separate technical annex authored by the same consulting firm concludes: 'The quarrying operation will remove approximately 40% of the watershed's riparian forest cover within the first two operational years.' These two statements CONTRADICT each other because:","Removing 40% of riparian forest cover within two years constitutes significant adverse environmental impact, making the 'zero adverse impact' claim impossible to maintain.","Both statements were written by the same consulting firm, which creates a conflict of interest.","The quarrying operation may benefit the national economy, offsetting environmental costs.","The two statements address different geographic scopes of the watershed.","A","Step-by-Step Solution:
1. Analyze the substance of both statements:
 - Statement 1: 'Zero adverse environmental impact.'
 - Statement 2: 40% riparian forest removal within 2 years.
2. Establish the environmental science link:
 - Riparian forests are critical ecosystem components protecting watershed hydrological function. Removing 40% constitutes severe, documented environmental damage.
3. Identify the contradiction:
 - Zero adverse impact + 40% forest destruction are scientifically incompatible claims.
 - Both cannot simultaneously be true.
4. Evaluate incorrect alternatives:
 - Option B: Author identity is irrelevant to the logical contradiction within the content.
 - Option C: Economic benefits are a separate dimension unrelated to environmental impact accuracy.
 - Option D: Both statements reference the same watershed; geographic scope is not different.

Common Trap: Introducing external balancing factors (economic benefits) as if they resolve a factual scientific contradiction.
Exam Tip: An environmental contradiction exists when two claims about the same ecosystem within the same assessment cannot both be scientifically accurate.","Correct. Survives elimination because causing 40% forest removal is by scientific definition adverse environmental impact, making both claims simultaneously true an impossibility.","Eliminated because author conflict of interest is an ethics issue distinct from the logical content contradiction.","Eliminated because economic offsetting does not make environmental harm 'zero impact'.","Eliminated because both statements describe the same watershed—no geographic scope difference is implied.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Contradiction | Very Difficult | Batch 100"
"A municipal ordinance contains these two provisions: Section 4: 'No commercial establishment shall operate within 300 meters of a public school.' Section 17: 'Canteen operators who hold valid school concession permits may operate food service establishments within school premises.' Do these two provisions CONTRADICT each other?","Yes, because Section 4 prohibits commercial operations within 300 meters of schools, while Section 17 permits canteen operations inside school premises, which is necessarily within 300 meters.","No, because the provisions deal with entirely different types of businesses.","No, because Section 17 automatically supersedes Section 4 as the later provision.","Yes, but only if the canteen serves alcoholic beverages.","A","Step-by-Step Solution:
1. Map the geographic scope of each provision:
 - Section 4: No commercial establishment within 300 meters of a school. A school premise is, by definition, within 0 meters (inside) of a school.
 - Section 17: Canteens inside school premises are permitted with a valid concession permit.
2. Identify the contradiction:
 - Operating inside school premises = within 300 meters (in fact, within 0 meters).
 - Section 4 prohibits this; Section 17 explicitly permits it.
 - Both cannot be simultaneously enforced: the same canteen would be both prohibited (Section 4) and permitted (Section 17).
3. Evaluate incorrect alternatives:
 - Option B: Canteens are commercial food service establishments—the same category covered by Section 4.
 - Option C: Section 17's position doesn't automatically mean it supersedes Section 4; harmonization principles apply.
 - Option D: The contradiction exists regardless of the type of food or beverage served.

Common Trap: Assuming a later provision automatically overrides an earlier one without explicit language.
Exam Tip: A provision permitting something inside the boundary of a zone where another provision prohibits all operations creates a direct normative contradiction.","Correct. Survives elimination because a school canteen inside school premises is necessarily within 300 meters, creating a direct, irreconcilable conflict between the two sections.","Eliminated because school canteens are commercial food service establishments, directly covered by Section 4's prohibition.","Eliminated because later placement in a law does not automatically establish supremacy without explicit repeal or amendment language.","Eliminated because the contradiction is structural and applies regardless of the type of goods sold.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Contradiction | Very Difficult | Batch 100"
"A project completion report contains the following: Line 1: 'The project was completed on schedule, on June 30, 2024, as contracted.' Line 2: 'Change Order No. 3, approved on May 15, 2024, extended the project completion date from June 30, 2024 to September 30, 2024.' Do Lines 1 and 2 CONTRADICT each other?","Yes. If the completion date was officially extended to September 30 via Change Order No. 3, then completing the project on June 30 cannot logically be classified as 'on schedule' under the modified contract.","No, because June 30 falls before September 30, making both dates compatible.","No, because Change Order No. 3 only extended the deadline for optional finishing work.","Yes, but only if the project budget was simultaneously exceeded.","A","Step-by-Step Solution:
1. Analyze the effect of Change Order No. 3:
 - Change Order No. 3 legally modified the completion date from June 30 to September 30, 2024.
 - The contractual 'schedule' after CO3 = September 30.
2. Evaluate Line 1 against the modified schedule:
 - Line 1 claims completion 'on schedule' = June 30. But 'on schedule' must reference the operative schedule.
 - If the schedule was officially extended to September 30, completing on June 30 is actually 3 months early, not 'on schedule' in the sense implied by Line 1.
 - More critically, Line 1 says June 30 was 'as contracted'—but CO3 changed the contract to September 30.
 - These two facts cannot both be simultaneously accurate under the modified contract.
3. Conclude:
 - Option A correctly identifies the contradiction.
4. Evaluate incorrect alternatives:
 - Option B: Calendar position does not resolve the contractual schedule contradiction.
 - Option C: Change orders modify the project scope and completion date without such conditional limitations.
 - Option D: Budget overrun is a separate issue unrelated to schedule contradiction.

Common Trap: Thinking 'earlier is always better' and missing that the completion classification ('on schedule') must reference the operative modified contract.
Exam Tip: When a change order modifies a contract's terms, 'on schedule' is redefined by the updated completion date.","Correct. Survives elimination because once CO3 extended the deadline to September 30, claiming June 30 was 'as contracted' is internally inconsistent with the modified agreement.","Eliminated because calendar sequence does not resolve the contractual 'on schedule' definition contradiction.","Eliminated because change orders modify the governing contract without such conditional limiting interpretations.","Eliminated because budget overrun is a separate dimension unrelated to this schedule contradiction.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Contradiction | Very Difficult | Batch 100"
"A census bureau simultaneously published two reports: Report A: 'The urban population of Province X grew by 12% between 2020 and 2023.' Report B: 'The total population of Province X decreased by 8% between 2020 and 2023.' Can both reports be simultaneously true?","Yes, if rural population declined sharply enough to produce an overall decrease despite urban growth.","No, because overall population cannot decrease when any segment grows.","No, because all census reports from the same bureau must contain identical findings.","Yes, but only if the urban population constitutes more than 90% of the total provincial population.","A","Step-by-Step Solution:
1. Determine if the two statistics are logically compatible:
 - Urban population grew 12%.
 - Total population fell 8%.
2. Test for mathematical possibility:
 - A province has urban + rural = total population.
 - If urban grew modestly but rural population experienced massive emigration or mortality, the total could fall.
 - Example: 40% urban growing 12% adds to total, but 60% rural declining 30% overwhelms the growth.
 - These two statements can therefore be simultaneously true.
3. Evaluate the options:
 - Option A correctly states the condition under which both are compatible: sufficient rural decline.
4. Evaluate incorrect alternatives:
 - Option B: This is incorrect—one segment growing while another larger segment declines can produce overall decline.
 - Option C: Different indicators can legitimately show different trends within the same province.
 - Option D: The 90% threshold is an arbitrary figure; the math works at many proportions.

Common Trap: Assuming that if any sub-population grew, the total population must have grown.
Exam Tip: Sub-population metrics and total population metrics can move in opposite directions when segments have different sizes and growth rates.","Correct. Survives elimination because a large enough decline in rural population can more than offset urban growth, producing an overall provincial population decrease.","Eliminated because partial segment growth does not automatically prevent overall population decline if larger segments decline more sharply.","Eliminated because different indicators within the same geography can legitimately produce different directional trends.","Eliminated because the mathematical compatibility holds at multiple population proportion scenarios, not exclusively at 90%.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Contradiction | Very Difficult | Batch 100"
"A department submitted two official communications on the same date: Communication 1: 'This department has zero pending administrative cases.' Communication 2: 'The department formally acknowledges receipt of the Notice of Charge filed on March 1, 2024, and will submit its counter-affidavit within 15 days.' Which CONTRADICTION exists between these two communications?","A Notice of Charge constitutes a pending administrative case; therefore, acknowledging receipt of one is directly inconsistent with claiming zero pending cases.","The contradiction exists because both communications were submitted on the same date.","There is no contradiction because a Notice of Charge is a criminal matter, not an administrative case.","The contradiction exists only if the department fails to submit the counter-affidavit on time.","A","Step-by-Step Solution:
1. Define 'pending administrative case':
 - A Notice of Charge formally initiates an administrative case. Once issued and received, a case is 'pending.'
2. Contrast the two communications:
 - Comm. 1: Zero pending administrative cases.
 - Comm. 2: Acknowledges receipt of a Notice of Charge (= an active pending case).
3. Identify the contradiction:
 - The same department simultaneously claims no pending cases while acknowledging an active, formally received charge—logically irreconcilable.
4. Evaluate incorrect alternatives:
 - Option B: Same-date submission is procedurally unusual but is not itself the logical contradiction.
 - Option C: Notices of Charge are administrative, not criminal proceedings.
 - Option D: Counter-affidavit timeliness is irrelevant to the existence of the pending case.

Common Trap: Thinking the counter-affidavit deadline changes whether the case is 'pending'.
Exam Tip: A Notice of Charge initiates a pending administrative case the moment it is formally served and acknowledged.","Correct. Survives elimination because acknowledging a Notice of Charge means an administrative case is pending, directly contradicting the claim of zero pending cases.","Eliminated because simultaneous submission timing is procedurally notable but not the logical content contradiction.","Eliminated because administrative charges are civil service proceedings, not criminal cases.","Eliminated because counter-affidavit timeliness has no bearing on the case's pending status.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Contradiction | Very Difficult | Batch 100"
"An agency's strategic plan contains the following two goals: Goal 1: 'Reduce agency headcount by 20% through a voluntary separation incentive program to optimize operational efficiency.' Goal 2: 'Expand service delivery coverage to five additional provinces by FY 2025, requiring proportional increases in frontline service personnel.' Do these two goals CONTRADICT each other?","Yes, because reducing total staff by 20% while simultaneously expanding service delivery requiring proportional personnel increases are directly and fundamentally irreconcilable without a structural solution.","No, because personnel in back-office units can be retrained and redeployed to frontline service positions.","No, because the separation program targets optional voluntary participation.","Yes, but only if the agency director is replaced within the fiscal year.","A","Step-by-Step Solution:
1. Analyze Goal 1:
 - Reduce headcount 20% = fewer employees in total.
2. Analyze Goal 2:
 - Expand service to 5 provinces = more frontline service delivery = more personnel required.
3. Evaluate whether they contradict:
 - Simultaneously shrinking the workforce by 20% while needing proportionally more staff for geographic expansion creates a direct resource contradiction under standard operational assumptions.
 - Without explicitly resolving the contradiction (e.g., outsourcing, automation, or radical productivity gains), these cannot both be achieved.
4. Evaluate Option B (the most plausible alternative):
 - Option B suggests retraining back-office staff as a solution—but this is a proposed workaround, not proof that no contradiction exists. The goals as stated are contradictory in the absence of such solutions.
5. Conclude:
 - Option A correctly identifies the fundamental contradiction.
6. Evaluate incorrect alternatives:
 - Option B: Redeployment is a potential solution but does not eliminate the underlying tension between reduction and expansion goals.
 - Option C: Voluntary nature reduces attrition control but does not eliminate the net workforce mathematics.
 - Option D: Director tenure is completely irrelevant.

Common Trap: Accepting a hypothetical workaround as proof that two contradictory goals don't conflict.
Exam Tip: Two organizational goals directly contradict when achieving one makes the other measurably harder without additional unspecified interventions.","Correct. Survives elimination because a 20% headcount reduction and proportional service expansion staffing requirements are fundamentally irreconcilable without additional unspecified structural solutions.","Eliminated because retraining as a solution acknowledges the contradiction exists rather than proving the goals are inherently compatible.","Eliminated because voluntary participation does not change the net mathematical tension between fewer employees and expanded service requirements.","Eliminated because director tenure has no bearing on workforce-service contradiction analysis.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Contradiction | Very Difficult | Batch 100"
"A health statistics report states: 'The average life expectancy of citizens in Province Y is 78 years.' An individual case report in the same document notes: 'Citizen Reyes of Province Y died at age 42 from cardiovascular disease.' Does Citizen Reyes' case CONTRADICT the provincial life expectancy statistic?","No. Individual cases routinely deviate below and above a statistical average without contradicting that average, since averages describe a population distribution, not a guaranteed minimum lifespan.","Yes. If the average is 78, every citizen in Province Y must live at least 78 years.","Yes. Life expectancy statistics should be withdrawn if any citizen dies before reaching the average.","No, because Citizen Reyes may have been a non-resident working in the province temporarily.","A","Step-by-Step Solution:
1. Clarify what a statistical average means:
 - An average life expectancy of 78 means the expected value (mean) across the population distribution.
 - By definition, approximately half the population will die below 78 and half above 78.
 - Individual cases below (or above) the mean do not violate or contradict the average.
2. Evaluate whether Reyes' case at age 42 contradicts the statistic:
 - No contradiction exists. Reyes is one data po∫ below the mean, which is mathematically expected in any distribution.
3. Conclude:
 - Option A correctly explains the statistical principle.
4. Evaluate incorrect alternatives:
 - Option B: Life expectancy averages do not guarantee minimum lifespans for every individual.
 - Option C: A single outlier does not invalidate a population-level statistic.
 - Option D: Residency status is irrelevant to the statistical principle.

Common Trap: Confusing a population-level statistical average with a guaranteed minimum for every individual.
Exam Tip: Statistical averages describe distributions—individual observations below or above the mean are expected outcomes, not contradictions.","Correct. Survives elimination because statistical averages describe population distributions, and individual cases below the mean are mathematically expected, not contradictions.","Eliminated because averages guarantee neither a minimum nor maximum lifespan for any individual.","Eliminated because one data po∫ below the mean does not invalidate a population-level statistical measure.","Eliminated because residency status is irrelevant to the statistical compatibility principle.","Analytical Ability","Analytical Ability | Identifying Assumptions and Drawing Conclusions | Argument Evaluation & Inference | Contradiction | Very Difficult | Batch 100"
