"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"STAMEN: FLOWER:: PISTON: ______","ENGINE","SPARK","FUEL","EXHAUST","A","Step-by-Step Solution:
1. Analyze the structural relationship in the initial word pair (STAMEN: FLOWER):
 - A \""stamen\"" is an anatomical reproductive organ component (PART) of a \""flower\"" (WHOLE).
 - Relationship: Structural and functional PART-TO-WHOLE.
2. Determine the corresponding whole for the target component (PISTON):
 - A \""piston\"" is an essential reciprocating mechanical component (PART) that operates inside a cylinder to generate power within an \""engine\"" (WHOLE).
 - Therefore, PISTON is to ENGINE as STAMEN is to FLOWER.
3. Evaluate incorrect alternatives:
 - Option B (Spark): An ignition event/discharge, not the complete mechanical apparatus.
 - Option C (Fuel): A consumable energy input material, not a mechanical structure.
 - Option D (Exhaust): A gaseous combustion byproduct or emission system, not the engine itself.

Common Trap: Associating piston with fuel or spark (inputs/events) rather than the parent machine (engine).
Exam Tip: Both pairs represent an indispensable internal operating component (Part) housed within a complex biological/mechanical organism (Whole).","Correct. Survives elimination because a stamen is a constituent part of a flower, just as a piston is an essential constituent part of an engine.","Eliminated because a spark is an electrical event, not the whole mechanism containing a piston.","Eliminated because fuel is a consumable chemical input.","Eliminated because exhaust is a combustion byproduct.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Part-to-whole | Very Difficult | Batch 056"
"CANTO: EPIC:: STANZA: ______","POEM","NOVEL","PROSE","PLAY","A","Step-by-Step Solution:
1. Analyze the structural relationship in the initial word pair (CANTO: EPIC):
 - A \""canto\"" is a primary structural section or canto subdivision (PART) of an \""epic\"" poem (WHOLE).
 - Relationship: Literary structural PART-TO-WHOLE.
2. Determine the corresponding whole for the target poetic division (STANZA):
 - A \""stanza\"" is a grouped set of lines forming the basic recurring structural unit (PART) of a \""poem\"" (WHOLE).
 - Therefore, STANZA is to POEM as CANTO is to EPIC.
3. Evaluate incorrect alternatives:
 - Option B (Novel): A long prose fiction narrative, whose primary subdivisions are chapters.
 - Option C (Prose): Ordinary written or spoken language without metrical structure, divided into paragraphs.
 - Option D (Play): A dramatic theatrical work, whose subdivisions are acts and scenes.

Common Trap: Selecting novel or play, which are divided into chapters and acts rather than stanzas.
Exam Tip: Canto is a section of an Epic; Stanza is a verse unit of a Poem (exact poetic structural part-to-whole).","Correct. Survives elimination because a canto is a major structural section of an epic, while a stanza is the fundamental verse unit of a poem.","Eliminated because a novel is composed of chapters, not stanzas.","Eliminated because prose is non-metrical writing composed of paragraphs.","Eliminated because a play is composed of acts and scenes.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Part-to-whole | Very Difficult | Batch 056"
"ISLAND: ARCHIPELAGO:: STAR: ______","CONSTELLATION","PLANET","TELESCOPE","ORBIT","A","Step-by-Step Solution:
1. Analyze the structural relationship in the initial word pair (ISLAND: ARCHIPELAGO):
 - An \""island\"" is an individual landmass (PART) that constitutes an \""archipelago\"" (WHOLE group/chain of islands).
 - Relationship: Geographical constituent PART-TO-WHOLE.
2. Determine the corresponding whole for the celestial component (STAR):
 - A \""star\"" is an individual celestial luminous body (PART) that forms a recognizable pattern or cluster within a \""constellation\"" (WHOLE).
 - Therefore, STAR is to CONSTELLATION as ISLAND is to ARCHIPELAGO.
3. Evaluate incorrect alternatives:
 - Option B (Planet): A non-luminous body orbiting a star (astronomical associate, not a whole formed by stars).
 - Option C (Telescope): An optical observation instrument.
 - Option D (Orbit): A curved gravitationally curved path/trajectory.

Common Trap: Selecting planet or orbit due to cosmic associations rather than the collective whole formed by grouped stars.
Exam Tip: An island is one member of an archipelago; a star is one member of a constellation.","Correct. Survives elimination because an island is an individual constituent part of an archipelago, just as a star is an individual constituent part of a constellation.","Eliminated because a planet orbits a star rather than being composed of stars.","Eliminated because a telescope is a viewing tool.","Eliminated because an orbit is a celestial trajectory path.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Part-to-whole | Very Difficult | Batch 056"
"NEURON: BRAIN:: STRAND: ______","ROPE","KNOT","WEAVE","FIBER","A","Step-by-Step Solution:
1. Analyze the structural relationship in the initial word pair (NEURON: BRAIN):
 - A \""neuron\"" is an individual specialized nerve cell (PART) that forms the structural and functional tissue of the \""brain\"" (WHOLE).
 - Relationship: Micro-unit constituent PART-TO-WHOLE.
2. Determine the corresponding whole for the structural filament (STRAND):
 - A \""strand\"" is an individual length of twisted filament or yarn (PART) that is braided/twisted together to form a \""rope\"" (WHOLE).
 - Therefore, STRAND is to ROPE as NEURON is to BRAIN.
3. Evaluate incorrect alternatives:
 - Option B (Knot): A fastening or loop made in a rope, not the rope itself.
 - Option C (Weave): A pattern or process of interlacing threads (action/method).
 - Option D (Fiber): A microscopic component of a strand (sub-part-to-part relationship).

Common Trap: Selecting fiber, which is a constituent of a strand (reversing the hierarchy).
Exam Tip: Multiple neurons form a brain; multiple strands form a rope.","Correct. Survives elimination because a neuron is the fundamental constituent unit of a brain, just as a strand is the constituent unit twisted to form a rope.","Eliminated because a knot is an intertwined configuration, not the composite object.","Eliminated because weave is a textile manufacturing technique.","Eliminated because fiber is a component of a strand, inverting the hierarchical direction.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Part-to-whole | Very Difficult | Batch 056"
"SPOKE: WHEEL:: RUNG: ______","LADDER","ELEVATOR","STAIRS","CLIMB","A","Step-by-Step Solution:
1. Analyze the structural relationship in the initial word pair (SPOKE: WHEEL):
 - A \""spoke\"" is a structural radial rod (PART) connecting the center hub to the outer circular rim of a \""wheel\"" (WHOLE).
 - Relationship: Structural bracing PART-TO-WHOLE.
2. Determine the corresponding whole for the climbing crossbar (RUNG):
 - A \""rung\"" is an individual horizontal bar (PART) forming a step of a \""ladder\"" (WHOLE).
 - Therefore, RUNG is to LADDER as SPOKE is to WHEEL.
3. Evaluate incorrect alternatives:
 - Option B (Elevator): A motorized vertical transportation cab without rungs.
 - Option C (Stairs): Constructed of steps and risers rather than rungs.
 - Option D (Climb): A physical action verb.

Common Trap: Selecting stairs instead of ladder (stairs use treads/risers; ladders specifically use rungs).
Exam Tip: Spoke = structural cross-element of a Wheel; Rung = structural crossbar step of a Ladder.","Correct. Survives elimination because a spoke is a structural cross-element of a wheel, just as a rung is a horizontal cross-element of a ladder.","Eliminated because an elevator is an enclosed motorized lift without rungs.","Eliminated because stairs consist of steps and risers rather than rungs.","Eliminated because climb is an action verb.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Part-to-whole | Very Difficult | Batch 056"
"KEYBOARD: PIANO:: FRET: ______","GUITAR","BOW","DRUM","REED","A","Step-by-Step Solution:
1. Analyze the structural relationship in the initial word pair (KEYBOARD: PIANO):
 - A \""keyboard\"" is the primary manual playing interface (PART) of a \""piano\"" (WHOLE musical instrument).
 - Relationship: Structural and functional instrument component PART-TO-WHOLE.
2. Determine the corresponding whole for the target component (FRET):
 - A \""fret\"" is an individual raised metal strip (PART) fixed along the neck/fingerboard of a \""guitar\"" (WHOLE).
 - Therefore, FRET is to GUITAR as KEYBOARD is to PIANO.
3. Evaluate incorrect alternatives:
 - Option B (Bow): An external detached rod used to play violin/cello strings.
 - Option C (Drum): A percussion instrument without frets or fingerboards.
 - Option D (Reed): A vibrating thin strip in woodwind instruments (clarinet, saxophone).

Common Trap: Confusing frets (stringed instrument neck markers) with woodwind reeds or detached bows.
Exam Tip: Keyboard is part of a Piano; Fret is part of a Guitar.","Correct. Survives elimination because a keyboard is an integrated playing component of a piano, just as a fret is an integrated structural strip on a guitar.","Eliminated because a bow is a separate accessory for orchestral string instruments.","Eliminated because a drum is a membranophone lacking frets.","Eliminated because a reed is an acoustic component of woodwind instruments.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Part-to-whole | Very Difficult | Batch 056"
"CLAUSE: SENTENCE:: SCENE: ______","ACT","NOVEL","DIALOGUE","REHEARSAL","A","Step-by-Step Solution:
1. Analyze the structural relationship in the initial word pair (CLAUSE: SENTENCE):
 - A \""clause\"" is a grammatical unit containing a subject and predicate (PART) that combines to form a \""sentence\"" (WHOLE).
 - Relationship: Grammatical structural PART-TO-WHOLE.
2. Determine the corresponding whole for the dramatic unit (SCENE):
 - A \""scene\"" is an individual continuous episode or dramatic subdivision (PART) that constitutes an \""act\"" (WHOLE) in a theatrical dramatic play.
 - Therefore, SCENE is to ACT as CLAUSE is to SENTENCE.
3. Evaluate incorrect alternatives:
 - Option B (Novel): Divided into chapters, not theatrical scenes and acts.
 - Option C (Dialogue): Spoken lines between characters (content within a scene).
 - Option D (Rehearsal): A preparatory practice session before a public performance.

Common Trap: Selecting novel or dialogue, which fail to preserve the immediate hierarchical partition structure.
Exam Tip: Clause is the constituent unit of a Sentence; Scene is the constituent unit of an Act.","Correct. Survives elimination because a clause is an immediate structural component of a sentence, just as a scene is an immediate dramatic component of a theatrical act.","Eliminated because a novel is partitioned into chapters.","Eliminated because dialogue is the verbal speech content, not the structural superordinate unit.","Eliminated because rehearsal is an activity.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Part-to-whole | Very Difficult | Batch 056"
"AMINO ACID: PROTEIN:: NUCLEOTIDE: ______","NUCLEIC ACID","LIPID","GLUCOSE","ENZYME","A","Step-by-Step Solution:
1. Analyze the biochemical relationship in the initial word pair (AMINO ACID: PROTEIN):
 - An \""amino acid\"" is an individual monomeric molecular building block (PART) that polymerizes to form a \""protein\"" (WHOLE macromolecule).
 - Relationship: Molecular monomer-to-polymer PART-TO-WHOLE.
2. Determine the corresponding macromolecular polymer for the monomer (NUCLEOTIDE):
 - A \""nucleotide\"" (composed of a nitrogenous base, sugar, and phosphate group) is the monomeric subunit (PART) that polymerizes to form a \""nucleic acid\"" (such as DNA or RNA) (WHOLE).
 - Therefore, NUCLEOTIDE is to NUCLEIC ACID as AMINO ACID is to PROTEIN.
3. Evaluate incorrect alternatives:
 - Option B (Lipid): Formed from glycerol and fatty acids, not nucleotides.
 - Option C (Glucose): A monosaccharide sugar monomer of polysaccharides.
 - Option D (Enzyme): A biological catalyst (which is a protein, made of amino acids).

Common Trap: Selecting enzyme or glucose, which fail the exact nucleotide polymer mapping.
Exam Tip: Amino Acid = Monomer of Protein; Nucleotide = Monomer of Nucleic Acid (DNA/RNA).","Correct. Survives elimination because amino acids are the constituent monomer subunits of proteins, just as nucleotides are the constituent monomer subunits of nucleic acids.","Eliminated because lipids are composed of fatty acid chains and glycerol.","Eliminated because glucose is a simple sugar monomer.","Eliminated because an enzyme is composed of amino acids.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Part-to-whole | Very Difficult | Batch 056"
"BRISTLE: BRUSH:: LINK: ______","CHAIN","PADLOCK","METAL","RING","A","Step-by-Step Solution:
1. Analyze the structural relationship in the initial word pair (BRISTLE: BRUSH):
 - A \""bristle\"" is an individual short, stiff hair or filament (PART) that collectively forms a \""brush\"" (WHOLE tool).
 - Relationship: Component filament PART-TO-WHOLE.
2. Determine the corresponding whole for the connecting ring (LINK):
 - A \""link\"" is an individual interconnected loop or ring (PART) that joins together to form a \""chain\"" (WHOLE).
 - Therefore, LINK is to CHAIN as BRISTLE is to BRUSH.
3. Evaluate incorrect alternatives:
 - Option B (Padlock): A detachable lock device that may secure a chain, not the chain itself.
 - Option C (Metal): The raw material substance, not the composite structural object.
 - Option D (Ring): A single circular band (synonym of a single link, not the whole assembly).

Common Trap: Selecting padlock or metal, which describe accessories or material composition rather than the composite chain.
Exam Tip: Bristle is a constituent element of a Brush; Link is a constituent loop of a Chain.","Correct. Survives elimination because a bristle is an individual constituent part of a brush, just as a link is an individual constituent part of a chain.","Eliminated because a padlock is a fastening hardware device.","Eliminated because metal is a constituent material.","Eliminated because a ring is a single loop, equivalent to a link.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Part-to-whole | Very Difficult | Batch 056"
"FACET: DIAMOND:: CHAPTER: ______","BOOK","PAGE","PARAGRAPH","INDEX","A","Step-by-Step Solution:
1. Analyze the geometric/structural relationship in the initial word pair (FACET: DIAMOND):
 - A \""facet\"" is an individual cut and polished planar surface (PART) that constitutes the geometric form of a finished \""diamond\"" (WHOLE gem).
 - Relationship: Structural surface/constituent PART-TO-WHOLE.
2. Determine the corresponding whole for the literary division (CHAPTER):
 - A \""chapter\"" is a main division or partitioned section (PART) that constitutes a \""book\"" (WHOLE publication).
 - Therefore, CHAPTER is to BOOK as FACET is to DIAMOND.
3. Evaluate incorrect alternatives:
 - Option B (Page): A smaller constituent sheet within a chapter (sub-part).
 - Option C (Paragraph): A smaller textual unit within a chapter (sub-part).
 - Option D (Index): An alphabetical reference section located at the end of a book.

Common Trap: Choosing sub-components of a chapter (page/paragraph) instead of the parent container (book).
Exam Tip: Facet = a section of a Diamond; Chapter = a section of a Book.","Correct. Survives elimination because a facet is an individual polished planar part of a diamond, just as a chapter is an individual structural section of a book.","Eliminated because a page is a subdivision within a chapter.","Eliminated because a paragraph is a small unit within a chapter.","Eliminated because an index is an end-matter reference appendix.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Part-to-whole | Very Difficult | Batch 056"
