"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article II, Section 12 of the 1987 Philippine Constitution, from what po∫ is the State mandated to protect the life of the unborn child, and how is the constitutional protection framed?","The State shall equally protect the life of the mother and the life of the unborn from conception.","The State protects the unborn only upon the onset of the third trimester of pregnancy.","The State protects fetal life only after the registration of live birth with the local civil registrar.","The State grants legal personality to the fetus exclusively upon reaching five months of gestation.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 12 states:
 'The State recognizes the sanctity of family life and shall protect and strengthen the family as a basic autonomous social institution. It shall equally protect the life of the mother and the life of the unborn from conception.'
2. Key Constitutional Doctrine (Imbong v. Ochoa, G.R. No. 204819, 2014):
 - The phrase 'from conception' was specifically placed by the framers to prevent the legalization of abortion in the Philippines.
 - The protection of the unborn begins at FERTILIZATION (conception), and the state must protect the life of the mother and the life of the unborn EQUALLY.
3. Option A is the verbatim constitutional standard.
4. Other options are incorrect medical/legal thresholds that contradict the constitutional text.

Common Trap: Confusing civil law personality rules (Articles 40-41 of the Civil Code) with constitutional protection of the unborn from conception in Article II, Section 12.
Exam Tip: Article II, Section 12 explicitly commands the equal protection of the life of the mother and the unborn FROM CONCEPTION.","Correct. Survives elimination because Article II, Section 12 expressly mandates that the State shall equally protect the life of the mother and the life of the unborn from conception, ruling out elective abortion.","Eliminated because the Constitution does not adopt a trimester framework; protection begins at conception, not in the third trimester.","Eliminated because birth registration pertains to civil personality after delivery, whereas constitutional protection of life attaches from conception.","Eliminated because the constitutional mandate protects fetal life from fertilization/conception, not from five months.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | State policies | Very Difficult | Batch 126"
"Article II, Section 26 of the 1987 Constitution provides: 'The State shall guarantee equal access to opportunities for public service, and prohibit political dynasties as may be defined by law.' What is the legal status of the constitutional prohibition against POLITICAL DYNASTIES, as ruled by the Supreme Court in Quinto v. Commission on Elections?","It is a non-self-executing provision that requires an enabling Act of Congress to define and prohibit political dynasties before it can be enforced.","It is a self-executing penal prohibition that automatically disqualifies candidates whose relatives currently hold elective office.","It empowers the Commission on Elections to administratively disqualify candidates on grounds of dynasty without any statutory definition.","It creates an absolute lifetime ban on any public servant running for office if a sibling previously served in government.","A","Step-by-Step Solution:
1. Legal Issue: Is Article II, Section 26 self-executing regarding political dynasties?
2. Constitutional Text: '...and prohibit political dynasties AS MAY BE DEFINED BY LAW.'
3. Jurisprudence (Quinto v. COMELEC, 606 SCRA 258; Belmonte v. COMELEC):
 - The qualifying phrase 'as may be defined by law' explicitly indicates that the provision is NOT self-executing.
 - The prohibition requires Congress to enact an enabling statute defining what constitutes a 'political dynasty' (e.g., ° of consanguinity/affinity, scope of elective offices covered).
 - Until Congress passes such a law, the COMELEC cannot unilaterally disqualify candidates on the sole ground of belonging to a political dynasty.
4. Option A accurately states the established constitutional doctrine.

Common Trap: Believing COMELEC can disqualify political dynasty candidates directly under the Constitution; the Supreme Court ruled COMELEC cannot act without an enabling statute from Congress.
Exam Tip: 'As may be defined by law' in a constitutional clause indicates that the provision is NON-SELF-EXECUTING and requires legislative enactment.","Correct. Survives elimination because the qualifying phrase 'as may be defined by law' renders the anti-dynasty provision in Article II, Section 26 non-self-executing, requiring an enabling statutory definition from Congress.","Eliminated because the Supreme Court has repeatedly affirmed that the anti-dynasty clause is non-self-executing and cannot be directly enforced without statutory enactment.","Eliminated because COMELEC has no inherent constitutional power to define and penalize political dynasties in the absence of an enabling law.","Eliminated because the Constitution creates no automatic lifetime family ban without an implementing legislative framework.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | State policies | Very Difficult | Batch 126"
"Under Article II, Section 28 of the 1987 Constitution, what is the State's policy regarding PUBLIC DISCLOSURE of government transactions, and how is it legally qualified?","Subject to reasonable conditions prescribed by law, the State adopts and implements a policy of full public disclosure of all its transactions involving public interest.","The State maintains total executive secrecy over all government contracts without any right to citizen access.","The State must publish every internal government draft memorandum daily in the Official Gazette before implementation.","The State allows public disclosure only for transactions exceeding PHP 1 billion and involving foreign corporations.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 28 states:
 'Subject to reasonable conditions prescribed by law, the State adopts and implements a policy of full public disclosure of all its transactions involving public interest.'
2. Companion Provision: Article III, Section 7 (The Right to Information on matters of public concern).
3. Core Legal Doctrine (Chavez v. Public Estates Authority, G.R. No. 133250, 2002; Senate v. Ermita, 2006):
 - Section 28 imposes an affirmative duty on public officials and agencies to disclose information regarding transactions involving public interest (e.g., government bidding, concession contracts, privatization agreements).
 - It is subject to recognized exceptions (e.g., national security, military secrets, trade secrets, ongoing diplomatic negotiations, executive privilege).
4. Option A is the verbatim constitutional rule.

Common Trap: Thinking the right is absolute without exceptions; Section 28 explicitly begins with 'Subject to reasonable conditions prescribed by law.'
Exam Tip: Article II, Sec. 28 (State Policy of Full Public Disclosure) works hand-in-hand with Article III, Sec. 7 (Citizen's Right to Information).","Correct. Survives elimination because Article II, Section 28 explicitly establishes the State policy of full public disclosure for all transactions involving public interest, subject to reasonable legal conditions.","Eliminated because government secrecy is the exception, not the rule; the constitutional presumption favors public disclosure of official transactions.","Eliminated because the Constitution does not mandate daily gazetting of internal pre-decisional drafts.","Eliminated because the disclosure mandate applies to all transactions involving public interest, regardless of monetary threshold.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | State policies | Very Difficult | Batch 126"
"Article II, Section 14 of the 1987 Constitution declares: 'The State recognizes the role of women in nation-building, and shall ensure the fundamental equality before the law of women and men.' What was the primary legal consequence of this provision on gender-based provisions in the Civil Code and Family Code?","It served as the constitutional foundation for amending discriminatory civil provisions and passing progressive legislation like the Magna Carta of Women (RA 9710) and the Anti-VAWC Act (RA 9262).","It abolished all specialized statutory protections for maternal health and female employment leave.","It mandated that 100% of all cabinet posts and elective legislative seats be held exclusively by women.","It transferred all marital property ownership automatically and exclusively to the wife upon marriage.","A","Step-by-Step Solution:
1. Constitutional Background:
 - Article II, Section 14 is a landmark provision introduced in 1987 to eliminate systemic legal discrimination against women.
2. Legal and Legislative Impact:
 - 1. Led to the enactment of the Family Code of the Philippines (Executive Order No. 209, 1987), eliminating the husband's sole administrative supremacy over marital property.
 - 2. Grounded key statutory enactments: RA 9710 (Magna Carta of Women), RA 9262 (Anti-Violence Against Women and Their Children Act), RA 7877 (Anti-Sexual Harassment Act), RA 11313 (Safe Spaces Act).
3. Option A accurately states the legal effect and subsequent statutory implementation.

Common Trap: Believing equality before the law abolishes affirmative action or specialized protective measures for women; the Magna Carta of Women uses Section 14 to provide targeted empowerment.
Exam Tip: Article II, Section 14 = Fundamental equality before the law of women and men + recognition of the role of women in nation-building.","Correct. Survives elimination because Article II, Section 14 established the constitutional principle of fundamental equality between women and men, driving major statutory reforms including the Family Code, the Magna Carta of Women, and RA 9262.","Eliminated because the provision promotes women's empowerment and did not abolish maternity leaves or specialized labor protections.","Eliminated because the Constitution mandates equal opportunity and non-discrimination, not a 100% gender quota for all public offices.","Eliminated because the Family Code establishes absolute community or conjugal partnership of gains (jo∫ administration), not exclusive unilateral ownership.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | State policies | Very Difficult | Batch 126"
"Under Article II, Section 18 of the 1987 Constitution, what status does the State accord to labor, and what is its declared constitutional commitment to workers?","The State affirms labor as a primary social economic force. It shall protect the rights of workers and promote their welfare.","The State treats labor as a subordinate commodity to be priced exclusively by unregulated free-market forces.","The State prohibits workers from forming unions or engaging in collective bargaining agreements.","The State grants corporate management absolute immunity from labor inspections and safety regulations.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 18 states:
 'The State affirms labor as a primary social economic force. It shall protect the rights of workers and promote their welfare.'
2. Substantive Elaboration in Article XIII, Section 3:
 - Workers are entitled to security of tenure, humane conditions of work, a living wage, the right to self-organization, collective bargaining, and the right to strike in accordance with law.
3. Key Jurisprudential Principle:
 - Labor is not a mere commodity; it is a primary social economic force imbued with human dignity.
4. Option A is verbatim Article II, Section 18.

Common Trap: Treating labor as purely a commercial factor of production; the 1987 Constitution elevates labor to a 'primary social economic force.'
Exam Tip: Article II, Section 18 + Article XIII, Section 3 = The Constitutional Charter of Labor.","Correct. Survives elimination because Article II, Section 18 expressly declares labor as a primary social economic force and mandates that the State shall protect the rights of workers and promote their welfare.","Eliminated because the Constitution specifically rejects treating human labor as a mere commodity or leaving workers unprotected by labor standards.","Eliminated because the right to self-organization and collective bargaining is a constitutionally guaranteed right under Article III, Section 8 and Article XIII, Section 3.","Eliminated because the State exercises regulatory police power over workplace safety and health standards to protect labor.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | State policies | Very Difficult | Batch 126"
"According to Article II, Section 22 of the 1987 Constitution, what is the State's policy regarding INDIGENOUS CULTURAL COMMUNITIES (ICCs / Indigenous Peoples)?","The State recognizes and promotes the rights of indigenous cultural communities within the framework of national unity and development.","The State mandates the forced assimilation of all indigenous tribes into mainstream urban culture within ten years.","The State declares all ancestral lands as public domain property subject to unrestricted commercial mining without local consent.","The State prohibits indigenous communities from observing customary laws or traditional governance structures.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 22 states:
 'The State recognizes and promotes the rights of indigenous cultural communities within the framework of national unity and development.'
2. Related Constitutional Provisions:
 - Article XII, Section 5: Protection of ancestral lands to ensure economic, social, and cultural well-being.
 - Article XIV, Section 17: Recognition and respect for customary rights and preservation of cultural heritage.
3. Enabling Statute:
 - Republic Act No. 8371 (The Indigenous Peoples' Rights Act of 1997 / IPRA), which operationalized Free, Prior, and Informed Consent (FPIC) and Ancestral Domain Titles (CADT/CALT), upheld as constitutional in Cruz v. Secretary of Environment and Natural Resources (2000).
4. Option A verbatim reflects Article II, Section 22.

Common Trap: Forgetting the qualification 'within the framework of national unity and development'; indigenous rights are robust but operate within the unitary Philippine Republic.
Exam Tip: Article II, Section 22 -> Basis for RA 8371 (IPRA Law) and the preservation of indigenous cultural identity.","Correct. Survives elimination because Article II, Section 22 specifically mandates that the State shall recognize and promote the rights of indigenous cultural communities within the framework of national unity and development.","Eliminated because forced assimilation violates constitutional principles recognizing indigenous cultural integrity and heritage.","Eliminated because ancestral domains are specially protected under Article XII, Section 5 and RA 8371, requiring Free, Prior, and Informed Consent (FPIC).","Eliminated because customary laws and traditions are explicitly recognized under the Constitution and statutory jurisprudence.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | State policies | Very Difficult | Batch 126"
"Under Article II, Section 7 of the 1987 Constitution, what guiding principle must govern the State's pursuit of an INDEPENDENT FOREIGN POLICY?","In its relations with other states the paramount consideration shall be national sovereignty, territorial integrity, national interest, and the right to self-determination.","The State must automatically align its foreign policy with the military directives of the United Nations Security Council.","The State is prohibited from establishing diplomatic or commercial ties with non-aligned developing nations.","The State must prioritize the geopolitical interests of bilateral treaty allies above domestic economic needs.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 7 states:
 'The State shall pursue an independent foreign policy. In its relations with other states the paramount consideration shall be national sovereignty, territorial integrity, national interest, and the right to self-determination.'
2. Four Paramount Constitutional Considerations:
 - 1. National sovereignty
 - 2. Territorial integrity
 - 3. National interest
 - 4. Right to self-determination
3. Option A verbatim captures the text and constitutional standard.

Common Trap: Assuming 'independent foreign policy' means isolationism; it means the Philippines determines its foreign relations based on its own national sovereignty and interest rather than subservience to foreign powers.
Exam Tip: Memorize the 4 pillars of Section 7 foreign policy: Sovereignty, Territorial Integrity, National Interest, Self-Determination.","Correct. Survives elimination because Article II, Section 7 commands that an independent foreign policy must hold national sovereignty, territorial integrity, national interest, and self-determination as the paramount considerations in international relations.","Eliminated because the foreign policy mandate is independent and sovereign, not automatically subordinate to external directives.","Eliminated because the Constitution encourages amity and cooperation with all nations (Article II, Section 2).","Eliminated because the national interest and sovereignty of the Philippines are the paramount considerations, superseding foreign allied preferences.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | State policies | Very Difficult | Batch 126"
"Article II, Section 8 of the 1987 Constitution provides: 'The Philippines, consistent with the national interest, adopts and pursues a policy of freedom from nuclear weapons in its territory.' What is the constitutional scope of this NUCLEAR-FREE policy?","It prohibits the presence, storage, installation, or stockpiling of nuclear weapons within Philippine territory, consistent with the national interest.","It completely bans the peaceful development and operation of civilian nuclear power plants for medical and energy generation purposes.","It authorizes the Armed Forces of the Philippines to manufacture and deploy intercontinental ballistic nuclear warheads.","It permits foreign powers to permanently base nuclear weapons in local military facilities without presidential oversight.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 8 states:
 'The Philippines, consistent with the national interest, adopts and pursues a policy of freedom from nuclear weapons in its territory.'
2. Constitutional Intent and Scope (Record of the 1986 Constitutional Commission):
 - The ban applies specifically to NUCLEAR WEAPONS (warheads, bombs, nuclear-armed missiles, storage of weapons of mass destruction).
 - It does NOT prohibit the peaceful, civilian use of nuclear energy (e.g., nuclear power generation, medical isotopes, agricultural irradiation, scientific research).
3. Option A accurately states the scope: ban on nuclear weapons in Philippine territory, consistent with national interest.

Common Trap: Confusing a ban on nuclear WEAPONS with a ban on peaceful nuclear ENERGY; civilian nuclear power (like the Bataan Nuclear Power Plant) is not barred by Section 8.
Exam Tip: Article II, Section 8 is a 'Freedom from Nuclear WEAPONS' policy, not an anti-nuclear-energy policy.","Correct. Survives elimination because Article II, Section 8 specifically prohibits nuclear weapons within Philippine territory, while leaving civilian, peaceful applications of nuclear technology and energy unrestricted.","Eliminated because the constitutional restriction applies strictly to nuclear weapons, not to peaceful civilian nuclear energy or medical applications.","Eliminated because manufacturing and deploying nuclear weapons directly violates the constitutional nuclear-free weapon policy.","Eliminated because allowing foreign powers to stockpile nuclear weapons in local bases violates the explicit text of Section 8.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | State policies | Very Difficult | Batch 126"
"Under Article II, Section 21 of the 1987 Constitution, what is the State's declared policy regarding RURAL DEVELOPMENT and AGRARIAN REFORM?","The State shall promote comprehensive rural development and agrarian reform to extend benefits to all phases of rural development.","The State shall abolish all agricultural cooperatives and consolidate rural lands into state-owned collective farms.","The State shall prioritize heavy urban industrialization to the total exclusion of countryside agricultural modernization.","The State shall convert all prime agricultural irrigated lands into commercial shopping malls and subdivisions.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 21 states:
 'The State shall promote comprehensive rural development and agrarian reform to extend benefits to all phases of rural development.'
2. Substantive Implementation:
 - Article XIII, Sections 4 to 8: Comprehensive Agrarian Reform Program (CARP / RA 6657, CARPER / RA 9700), providing land redistribution to landless farmers and farmworkers, coupled with support services, credit, and infrastructure.
3. Option A is the exact constitutional text.

Common Trap: Viewing agrarian reform as merely land redistribution; the Constitution specifies COMPREHENSIVE rural development extending benefits across all rural phases (credit, roads, marketing, post-harvest facilities).
Exam Tip: Article II, Section 21 is the State Policy foundation for agrarian reform and holistic countryside development.","Correct. Survives elimination because Article II, Section 21 explicitly commands the promotion of comprehensive rural development and agrarian reform to extend socio-economic benefits across all rural sectors.","Eliminated because the Constitution protects private property and encourages farmers' cooperatives rather than forced state collectivization.","Eliminated because the Constitution requires balanced agro-industrial development rather than abandoning the rural agricultural sector.","Eliminated because converting prime agricultural lands indiscriminately contradicts the constitutional policy of food security and agricultural development.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | State policies | Very Difficult | Batch 126"
"Article II, Section 27 of the 1987 Constitution mandates: 'The State shall maintain honesty and integrity in the public service and take positive and effective measures against graft and corruption.' Which primary constitutional accountability body was created under Article XI to enforce this specific state policy?","The Office of the Ombudsman (Tanodbayan), which acts as the champion of the people against bureaucratic abuse, misconduct, and corruption.","The Commission on Human Rights, which possesses exclusive authority to prosecute public corruption cases.","The Board of Investments, which audits the financial transactions of national executive departments.","The Civil Service Commission, which is the sole agency authorized to file criminal indictments before the Sandiganbayan.","A","Step-by-Step Solution:
1. Constitutional Connection:
 - Article II, Section 27 establishes the State Policy of honesty, integrity, and anti-graft enforcement in public service.
 - Article XI (Accountability of Public Officers) creates the institutional machinery to enforce Section 27:
 1. The Office of the Ombudsman (Section 12: 'The Ombudsman and his Deputies, as protectors of the people, shall act promptly on complaints filed in any form or manner against public officials or employees...').
 2. The Sandiganbayan (Section 4: Anti-graft court).
2. Evaluate Option A:
 - Accurately identifies the Office of the Ombudsman as the primary constitutional protector of the people and prosecutor of public corruption. Correct.
3. Other options:
 - Option B: CHR investigates human rights violations, not financial graft.
 - Option C: BOI promotes investment; COA audits transactions.
 - Option D: The Ombudsman (not CSC) prosecutes criminal corruption before the Sandiganbayan.

Common Trap: Confusing the Civil Service Commission (personnel administration and civil service rules) with the Ombudsman (investigation and criminal prosecution of graft and corruption).
Exam Tip: Art. II, Sec. 27 -> Implemented via Art. XI (Accountability of Public Officers) through the Ombudsman and Sandiganbayan.","Correct. Survives elimination because the Office of the Ombudsman was specifically established under Article XI to enforce the anti-corruption mandate of Article II, Section 27, acting as the independent constitutional watchdog and prosecutor against public graft.","Eliminated because the Commission on Human Rights (Article XIII) focuses on civil and political human rights violations, not public financial corruption.","Eliminated because the Board of Investments handles investment incentives, while the Commission on Audit (COA) audits government expenditures.","Eliminated because the Ombudsman—not the Civil Service Commission—possesses statutory and constitutional authority to prosecute criminal anti-graft cases before the Sandiganbayan.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | State policies | Very Difficult | Batch 126"
