"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 4(A)(a) of Republic Act No. 6713, how is 'COMMITMENT TO PUBLIC INTEREST' defined, and what is its core mandate regarding government assets and financial revenues?","Public officials and employees shall always uphold the public interest over and above personal interest; all government resources and powers of their respective offices must be employed and used efficiently, effectively, honestly, and economically, particularly to avoid wastage in public funds and revenues.","Public servants may prioritize their private corporate business interests provided they complete their government work during weekends.","Government resources may be freely used for personal family vacations as a fringe benefit of holding an executive position.","Public officials are authorized to convert unused agency budget balances into private personal investments.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 4(A)(a):
 'Commitment to public interest. — Public officials and employees shall always uphold the public interest over and above personal interest. All government resources and powers of their respective offices must be employed and used efficiently, effectively, honestly and economically, particularly to avoid wastage in public funds and revenues.'
2. Core Legal Pillars:
 - 1. Primacy of the Common Good: Personal convenience, family interests, or commercial profit must always yield to the public welfare.
 - 2. Honest and Economical Stewardship: Public funds and properties are held in trust for the Filipino people.
 - 3. Anti-Waste Mandate: Zero tolerance for wasteful expenditures, unnecessary procurement, ghost projects, and fund leakages.
3. Option A is the verbatim statutory text.

Common Trap: Believing government equipment can be used for personal purposes if 'permission' is granted; public resources must be used EXCLUSIVELY for official government business.
Exam Tip: RA 6713, Sec. 4(A)(a) = COMMITMENT TO PUBLIC INTEREST: Public interest OVER personal interest + Efficient/honest/economical use of resources to avoid waste.","Correct. Survives elimination because Section 4(A)(a) of RA 6713 explicitly establishes that public interest must always take precedence over personal interest, commanding the efficient, honest, and economical use of all government resources to prevent fund wastage.","Eliminated because prioritizing private corporate business over public duty is an unlawful conflict of interest under Section 7.","Eliminated because using government vehicles or properties for family vacations is illegal and constitutes grave misconduct.","Eliminated because converting public funds into private investments constitutes criminal malversation of public funds under Article 217 of the Revised Penal Code.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to public interest | Very Difficult | Batch 154"
"Under Administrative Order No. 239 (Series of 2008) and Civil Service Commission rules implementing 'Commitment to Public Interest', what is the strict rule regarding the use of OFFICIAL GOVERNMENT VEHICLES (red-plate vehicles)?","Official government vehicles must be used strictly for official government business only, authorized by a duly approved Trip Ticket, and are prohibited from being used for personal errands, family leisure, weekend vacations, or fetching family members from malls or schools.","Government vehicles may be used by any employee for weekend out-of-town vacations without any trip ticket.","High-ranking civil servants can permanently transfer government vehicles to their spouses' private commercial businesses.","Government vehicles are exempt from all traffic laws and may be driven without license plates.","A","Step-by-Step Solution:
1. Statutory & Administrative Framework:
 - Administrative Order No. 239 (s. 2008), Prohibiting the Use of Government Vehicles for Personal and Unauthorized Purposes.
 - Commission on Audit (COA) Circular No. 75-6.
 - Section 4(A)(a), RA 6713 (Commitment to Public Interest).
2. Strict Rules on Government Vehicle Utilization:
 - 1. Purely Official Purpose: Government motor vehicles (bearing red government plates) must be used EXCLUSIVELY for official government business.
 - 2. Mandatory Trip Ticket: Every trip must be authorized by a duly signed official 'Driver's Trip Ticket' stating the specific official purpose, destination, passengers, and authorized time.
 - 3. Strict Prohibitions:
 - Using government vehicles for personal marketing, fetching children from school, taking spouses to beauty salons, or weekend beach trips is STRICTLY PROHIBITED.
 - Parking government vehicles in front of night clubs, bars, shopping malls, casino resorts, or golf courses (unless on verified official business) constitutes Grave Misconduct punishable by DISMISSAL.
3. Option A accurately states the governing administrative and ethical rules.

Common Trap: Thinking an official can use a red-plate car for personal errands if they pay for the gasoline; using the vehicle itself for personal errands is an ILLEGAL USE OF PUBLIC PROPERTY.
Exam Tip: Red-Plate Policy (AO 239 / RA 6713) = Government vehicles strictly for OFFICIAL USE ONLY + Duly approved TRIP TICKET required (Personal/family use is prohibited).","Correct. Survives elimination because AO 239 (s. 2008) and COA rules strictly enforce commitment to public interest by restricting government vehicles strictly to official business covered by approved trip tickets, prohibiting personal and family use.","Eliminated because unauthorized weekend leisure use of public vehicles constitutes illegal use of government property.","Eliminated because transferring public vehicles to private spousal enterprises is criminal malversation and technical theft.","Eliminated because government vehicles must bear official red plates and are fully subject to land transportation traffic safety laws.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to public interest | Very Difficult | Batch 154"
"A municipal engineer allows a private construction contractor to borrow heavy government bulldozers and du∓ trucks over the weekend for a private commercial subdivision project, arguing that the equipment was idle anyway. Does this act violate 'Commitment to Public Interest' under RA 6713?","YES, because government equipment and resources are public property dedicated exclusively to public service and cannot be loaned or converted to private commercial use, regardless of whether the equipment was momentarily idle.","NO, because lending idle equipment to private friends promotes good community public relations.","NO, provided the private contractor paid an informal rental fee directly into the engineer's personal bank account.","NO, because local government equipment is not covered by the Code of Conduct and Ethical Standards.","A","Step-by-Step Solution:
1. Ethical Analysis under RA 6713, Section 4(A)(a):
 - 'All government resources and powers of their respective offices must be employed and used efficiently, effectively, honestly and economically...'
2. Analysis of the Scenario:
 - Public property (bulldozers, du∓ trucks) is acquired with taxpayer funds for public infrastructure (roads, flood control, schools).
 - Public equipment cannot be lent, leased, or converted for private commercial operations without explicit statutory authorization and official public revenue receipting.
 - Loaning government equipment for private commercial projects causes unauthorized wear and tear, consumes government depreciation, risks public liability, and constitutes an unlawful diversion of public property for private profit.
 - The engineer's act constitutes GRAVE MISCONDUCT and Conduct Prejudicial to the Best Interest of the Service under civil service law.
3. Option A is the correct legal conclusion.

Common Trap: Believing idle public property can be loaned informally; public property CANNOT be diverted to private commercial use under any circumstances.
Exam Tip: Using or lending government equipment/supplies for private commercial projects violates COMMITMENT TO PUBLIC INTEREST (Grave Misconduct).","Correct. Survives elimination because public resources are dedicated exclusively to official public purposes; lending government heavy machinery for private commercial use constitutes an illegal diversion of state property violating Section 4(A)(a).","Eliminated because unauthorized diversion of state equipment to private friends is unlawful favoritism and misuse of public resources.","Eliminated because pocketing informal rental fees is criminal direct bribery and graft under RA 3019.","Eliminated because RA 6713 applies with full force to all local government officials and municipal employees under Section 3(a).","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to public interest | Very Difficult | Batch 154"
"Under civil service jurisprudence (e.g., Office of the Ombudsman v. Racho, Civil Service Commission v. Ledesma), how does 'COMMITMENT TO PUBLIC INTEREST' prohibit the practice of 'GHOST EMPLOYEES' and payroll padding in government agencies?","Enrolling non-existent 'ghost employees' or paying salaries to individuals who perform no actual government work constitutes a direct, fraudulent extraction of public funds for personal enrichment, representing a flagrant violation of commitment to public interest and criminal malversation.","Ghost employee padding is a permissible administrative method to augment an agency's entertainment fund.","Ghost employees are legal provided the division chief distributes the extra salaries equally among all office interns.","Payroll padding is an internal administrative prerogative exempt from Commission on Audit scrutiny.","A","Step-by-Step Solution:
1. Legal & Ethical Analysis (Ombudsman v. Racho; CSC v. Ledesma):
 - 'Ghost Employees': The practice of putting fictitious names, deceased persons, or absent individuals on the official government payroll or casual job-order list to collect their salaries.
 - Constitutional & Ethical Violation:
 1. Direct assault on Article XI, Section 1 (Public office is a public trust).
 2. Gross violation of RA 6713, Section 4(A)(a) (Commitment to Public Interest: using public resources efficiently, honestly, and avoiding fund wastage).
 3. Criminal Offenses: Plunder (RA 7080 if >= PHP 50M), Malversation of Public Funds (Art. 217, RPC), Falsification of Public Documents (Art. 171, RPC), and Violation of RA 3019 (Anti-Graft and Corrupt Practices Act).
 4. Administrative Penalty: MANDATORY DISMISSAL FROM SERVICE with perpetual disqualification from public office and forfeiture of all retirement benefits.
2. Option A is the correct, comprehensive legal characterization.

Common Trap: Viewing payroll padding as a minor internal accounting flaw; ghost payrolls represent deliberate, criminal plunder of public revenues.
Exam Tip: Ghost Employees / Payroll Padding = Grave violation of COMMITMENT TO PUBLIC INTEREST + Criminal Malversation + Mandatory Dismissal from service.","Correct. Survives elimination because creating ghost employee payrolls is a fraudulent siphoning of public money that directly violates Section 4(A)(a) of RA 6713, constituting gross dishonesty, grave misconduct, and criminal malversation.","Eliminated because public payroll funds can never be converted into informal slush or entertainment funds.","Eliminated because distributing stolen public funds among staff does not cure the underlying criminal fraud and dishonesty.","Eliminated because all government payrolls and disbursements are subject to mandatory COA post-audit under Article IX-D.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to public interest | Very Difficult | Batch 154"
"Under RA 6713 and Civil Service Commission rules, how does the norm of 'Commitment to Public Interest' govern the use of GOVERNMENT-ISSUED OFFICE SUPPLIES AND EQUIPMENT (such as printers, bond papers, and internet bandwidth)?","Government supplies and equipment are purchased with public funds for official agency operations; taking office supplies home for personal use or utilizing office printers to produce private commercial flyers constitutes petty pilferage and misuse of public property.","Public employees are entitled to take home up to 20% of office bond paper every month as an informal employee benefit.","Office computers may be used to operate private online retail stores during regular office hours.","Government internet bandwidth may be dedicated to hosting commercial cryptocurrency mining servers.","A","Step-by-Step Solution:
1. Statutory Principle: RA 6713, Section 4(A)(a):
 - Every public servant has the affirmative duty to use government resources 'honestly and economically, particularly to avoid wastage in public funds and revenues.'
2. Application to Supplies & Equipment:
 - 1. No Private Conversion: Office bond paper, ink cartridges, laptops, copiers, and office supplies cannot be taken home or diverted to personal, school, or commercial uses.
 - 2. No Commercial Operations on State Time/Gear: Using government computers, electricity, and internet bandwidth to run private online businesses, pr∫ church/club newsletters, or conduct personal commerce violates public interest.
 - 3. Administrative Sanctions: Misuse of government supplies constitutes Misbehavior / Conduct Prejudicial to the Best Interest of the Service and Light/Less Grave Offenses under the Rules on Administrative Cases in the Civil Service (RACCS).
3. Option A is the precise legal and ethical rule.

Common Trap: Thinking small supplies (pens, paper) don't matter; the ethical principle of Commitment to Public Interest applies strictly to ALL government property regardless of value.
Exam Tip: Using office supplies/equipment for personal/private commercial use violates COMMITMENT TO PUBLIC INTEREST (Misuse of public property).","Correct. Survives elimination because Section 4(A)(a) requires honest and economical stewardship of all state resources; diverting office supplies, equipment, or utilities for personal or commercial use violates civil service ethics.","Eliminated because there is no legal entitlement to take home public supplies for personal domestic use.","Eliminated because operating a private commercial business on office computers during work hours violates both public interest and rules on moonlighting.","Eliminated because cryptocurrency mining on government servers is an unlawful conversion of public electricity and computing assets.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to public interest | Very Difficult | Batch 154"
"Under Section 4(A)(a) of RA 6713, which of the following procurement practices directly VIOLATES the statutory mandate to 'avoid wastage in public funds and revenues'?","Procuring overpriced, substandard office supplies from a favored vendor without competitive public bidding under Republic Act No. 9184 (Government Procurement Reform Act).","Conducting transparent, competitive public bidding with broadcasted live bidding sessions.","Purchasing energy-efficient LED light bulbs that reduce the government agency's monthly electric bill by 40%.","Refusing to purchase luxury executive massage chairs for a government department's waiting lounge.","A","Step-by-Step Solution:
1. Statutory Synergy:
 - RA 6713, Section 4(A)(a): Mandatory duty to employ resources efficiently and 'AVOID WASTAGE IN PUBLIC FUNDS AND REVENUES.'
 - Republic Act No. 9184 (Government Procurement Reform Act): Mandates competitive public bidding, transparency, accountability, and lowest calculated responsive bid.
2. Direct Violations of Commitment to Public Interest in Procurement:
 - 1. Overpricing: Paying inflated prices above market rates to generate kickbacks.
 - 2. Substandard Goods: Purchasing defective or inferior equipment that breaks down immediately.
 - 3. Splitting of Contracts: Fragmenting a purchase to avoid competitive public bidding.
 - 4. Unnecessary/Extravagant Purchases: Buying luxury items (massage chairs, luxury vehicles) not essential to public service.
3. Option A represents a textbook violation of Section 4(A)(a) and RA 9184.
4. Options B, C, and D are exemplary models of adhering to Commitment to Public Interest.

Common Trap: Believing procurement rules are purely technical; overpricing and rigged bidding are direct, grave violations of the ethical norm of COMMITMENT TO PUBLIC INTEREST.
Exam Tip: Procurement Overpricing / Rigged Bidding = Grave violation of COMMITMENT TO PUBLIC INTEREST (RA 6713) and RA 9184.","Correct. Survives elimination because purchasing overpriced, substandard supplies through rigged non-competitive procurement causes severe waste of taxpayer money in direct violation of Section 4(A)(a) of RA 6713 and RA 9184.","Eliminated because transparent public bidding is the primary statutory mechanism to protect public interest in government purchases.","Eliminated because energy-efficient procurement saves public funds and promotes economical resource utilization.","Eliminated because rejecting luxury purchases upholds both simple living and commitment to public interest.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to public interest | Very Difficult | Batch 154"
"How does 'COMMITMENT TO PUBLIC INTEREST' apply when a public official faces a direct conflict between a statutory public duty (e.g., enforcing tax collection) and the financial interest of their own private family business?","The public official is legally and ethically bound to prioritize the public duty and enforce the tax laws impartially, recusing or inhibiting themselves from handling their family's specific case to prevent any compromise of the public interest.","The public official must grant a 100% tax exemption to their family business to preserve family harmony.","The public official can order the tax assessment files of their family business destroyed before an audit begins.","The public official may instruct revenue examiners to double the tax assessments of their family business's commercial competitors.","A","Step-by-Step Solution:
1. Ethical Mandate under RA 6713:
 - Section 4(A)(a): 'Public officials and employees shall ALWAYS UPHOLD THE PUBLIC INTEREST OVER AND ABOVE PERSONAL INTEREST.'
 - Section 7(a) (Financial & Material Interests): Prohibits having a direct or indirect financial interest in any transaction requiring the approval of the official's office.
2. Conflict of Interest Protocol:
 - When an official's public duties intersect with personal/family business interests:
 1. The PUBLIC INTEREST IS SUPREME.
 2. The official CANNOT use their position to confer tax breaks, waivers, or undue advantages upon their family (violates Sec. 3[e] of RA 3019).
 3. The official must MANDATORILY RECUSE / INHIBIT themselves from the matter and disclose the interest, allowing independent career examiners to handle the assessment.
3. Option A is the correct, established ethical response.

Common Trap: Believing family loyalty excuses official favoritism; in the Civil Service, loyalty to the public and the Republic MUST PREVAIL OVER FAMILY INTERESTS.
Exam Tip: Conflict of Interest + Public Interest = PUBLIC INTEREST PREVAILS; Official MUST RECUSE / INHIBIT themselves and enforce laws impartially.","Correct. Survives elimination because Section 4(A)(a) demands that public interest prevail over private familial interests, requiring the official to enforce tax laws faithfully and recuse themselves from family cases to prevent conflict of interest.","Eliminated because granting unauthorized family tax exemptions is criminal graft under RA 3019 and gross misconduct.","Eliminated because destroying official tax records is criminal destruction of public documents under the Revised Penal Code.","Eliminated because targeting competitors with retaliatory tax audits constitutes grave abuse of authority and harassment.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to public interest | Very Difficult | Batch 154"
"Under Civil Service Commission rules on work hours and public interest, how does the 'NO NOON BREAK' policy operationalize the norm of 'Commitment to Public Interest' in frontline government service?","Government agencies providing frontline public services must adopt a continuous work schedule (skeletal or rotational shifts) to ensure that frontline service counters remain fully operational and open to serve the public even during the 12:00 NN to 1:00 PM lunch break.","All frontline government offices must shut their doors and lock all gates from 11:30 AM to 2:00 PM daily.","Government employees are prohibited from eating lunch on any working day.","Frontline counters can charge an extra 'lunchtime overtime fee' to citizens seeking service at noon.","A","Step-by-Step Solution:
1. Statutory & Administrative Basis:
 - Republic Act No. 9485 (Anti-Red Tape Act of 2007) and Republic Act No. 11032 (Ease of Doing Business and Efficient Government Service Delivery Act of 2018), Section 8(e).
 - CSC Memorandum Circular No. 25, Series of 2010.
 - Section 4(A)(a) & (e), RA 6713 (Commitment to Public Interest & Responsiveness).
2. The 'NO NOON BREAK' Mandate:
 - Many working citizens can ONLY visit government offices during their own lunch breaks (12:00 NN to 1:00 PM).
 - To uphold the public interest and eliminate bureaucratic red tape:
 - Agencies must implement a ROTATIONAL OR SKELETAL SYSTEM among staff.
 - Frontline service desks, cashier windows, and receiving counters MUST REMAIN CONTINUOUSLY OPEN AND FULLY OPERATIONAL throughout the noon break.
 - Closing the service windows at noon is an administrative offense.
3. Option A is the accurate statutory and administrative policy.

Common Trap: Thinking government offices can close all windows at noon; the law STRICTLY MANDATES continuous noon break service through rotational staffing.
Exam Tip: 'No Noon Break' Policy (RA 11032 / RA 6713) = Frontline services MUST REMAIN CONTINUOUSLY OPEN during lunch hours (12:00 NN - 1:00 PM) via rotational shifts.","Correct. Survives elimination because the 'No Noon Break' policy under RA 11032 and CSC rules operationalizes commitment to public interest by mandating that frontline service windows remain continuously open and staffed through rotational shifts during lunch hours.","Eliminated because closing service gates at noon violates the statutory No Noon Break rule of RA 11032.","Eliminated because employees take staggered, rotational lunch breaks so that service to the public is never interrupted.","Eliminated because charging unauthorized lunchtime fees is illegal extortion and graft.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to public interest | Very Difficult | Batch 154"
"Under RA 6713, why is 'MOONLIGHTING' (engaging in private commercial employment or business during official government work hours) a direct violation of 'Commitment to Public Interest'?","Because a public servant's official work hours belong entirely to the government and the people, and diverting office time, energy, and state facilities to private commercial business cheats the public of dedicated public service.","Because moonlighting is permitted only for employees who hold a doctorate in business administration.","Because private commercial work during office hours is allowed provided the employee donates 10% of earnings to the office social club.","Because civil servants are required by law to work 24 hours a day without any sleep.","A","Step-by-Step Solution:
1. Statutory & Rule Analysis (Section 4[A][a] & Section 7[b], RA 6713; CSC MC No. 15, s. 1999):
 - 1. Section 4(A)(a) (Commitment to Public Interest): Public servants must dedicate their official working hours, mental focus, and energy to the efficient performance of public functions.
 - 2. Section 7(b)(2) (Prohibited Private Practice/Business): Public officials are prohibited from engaging in the private practice of their profession or commercial business unless authorized by law and permitted in writing by their department head, and such practice must NEVER conflict or coincide with official working hours.
 - 3. 'Moonlighting' during office hours: Using government work hours (8:00 AM to 5:00 PM) to sell private insurance, manage personal real estate listings, or perform online freelance gigs constitutes DISHONESTY, Conduct Prejudicial to the Best Interest of the Service, and a direct breach of Commitment to Public Interest.
2. Option A is the precise legal and ethical rationale.

Common Trap: Assuming an employee can do private side-gigs at their government desk if they finish their tasks early; official office hours belong 100% to the public service.
Exam Tip: Moonlighting during official hours = Direct breach of COMMITMENT TO PUBLIC INTEREST + Prohibited act under Section 7(b).","Correct. Survives elimination because official work hours are dedicated exclusively to serving the public, meaning that diverting government time and facilities to private business breaches the fundamental duty of commitment to public interest.","Eliminated because academic degrees do not grant exemptions to conduct private commerce during official civil service hours.","Eliminated because informal office donations cannot legalize unauthorized private business during government working hours.","Eliminated because regular civil service hours are 8 hours a day (40 hours a week under the Administrative Code), not continuous 24-hour shifts.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to public interest | Very Difficult | Batch 154"
"Under Article XI, Section 1 of the Constitution and Section 2 of RA 6713, what is the foundational philosophical premise underlying 'COMMITMENT TO PUBLIC INTEREST'?","PUBLIC OFFICE IS A PUBLIC TRUST; public officers and employees must at all × be accountable to the people, serve them with utmost responsibility, integrity, loyalty, and efficiency, act with patriotism and justice, and lead modest lives.","Public office is a private hereditary property right that can be passed down to heirs in a last will and testament.","Public office is a commercial franchise granted to the highest political bidder to maximize personal wealth.","Public office grants the holder immunity from all national and international moral and legal standards.","A","Step-by-Step Solution:
1. Foundational Constitutional Anchor: Article XI, Section 1:
 'Public office is a public trust. Public officers and employees must at all × be accountable to the people, serve them with utmost responsibility, integrity, loyalty, and efficiency, act with patriotism and justice, and lead modest lives.'
2. Statutory Echo in RA 6713, Section 2:
 'Declaration of Policies. — It is the policy of the State to promote a high standard of ethics in public service. Public officials and employees shall at all × be accountable to the people, serve them with utmost responsibility, integrity, loyalty, and efficiency, act with patriotism and justice, lead modest lives, and uphold public interest over personal interest.'
3. Meaning of 'Public Trust':
 - A public office is NOT property. It cannot be bought, sold, mortgaged, inherited, or used as a private wealth-generating instrument.
 - The powers of public office are delegated by the sovereign people in trust, to be exercised solely for the benefit of the public.
4. Option A is the verbatim constitutional and statutory cornerstone.

Common Trap: Viewing public office as a personal property right; Philippine law firmly rejects the property concept of public office—it is a SACRED PUBLIC TRUST.
Exam Tip: Article XI, Section 1 + RA 6713, Sec. 2 = PUBLIC OFFICE IS A PUBLIC TRUST (Accountability, responsibility, integrity, loyalty, efficiency, modest living).","Correct. Survives elimination because Article XI, Section 1 of the Constitution and Section 2 of RA 6713 establish the bedrock principle that public office is a public trust, requiring total accountability, integrity, and the elevation of public interest over self-interest.","Eliminated because public office is not private hereditary property and cannot be transferred or inherited.","Eliminated because public office is a public service trust, not a commercial for-profit franchise.","Eliminated because public officers are subject to the Constitution, statutory penal laws, and strict civil service accountability.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to public interest | Very Difficult | Batch 154"
