"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article IX-B, Section 2(4) of the 1987 Constitution and Section 4(A)(d) of RA 6713, what is the constitutional standard of 'POLITICAL NEUTRALITY' in the Philippine Civil Service?","Public officials and employees shall provide service to everyone without unfair discrimination regardless of party affiliation, and career civil servants are strictly prohibited from engaging, directly or indirectly, in any electioneering or partisan political campaign.","Civil service personnel are required to campaign actively for the candidates endorsed by their department secretary.","Government employees may use government printing presses to print election campaign materials during lunch breaks.","Civil servants are stripped of their right to vote in all national and local elections.","A","Step-by-Step Solution:
1. Constitutional & Statutory Basis:
   - Article IX-B, Section 2(4), 1987 Constitution: 'No officer or employee in the civil service shall engage, directly or indirectly, in any electioneering or partisan political campaign.'
   - Section 4(A)(d), RA 6713: 'Political neutrality. — Public officials and employees shall provide service to everyone without unfair discrimination and regardless of party affiliation or preference.'
   - Section 55, Chapter 7, Subtitle A, Title I, Book V of EO 292 (Administrative Code of 1987).
2. The Dual Mandate of Political Neutrality:
   - 1. Non-Discriminatory Service: Treating every citizen with equal promptness and fairness, regardless of whether the citizen belongs to the administration party or the political opposition.
   - 2. Strict Ban on Partisan Campaigning: Career civil servants cannot campaign, solicit votes, distribute campaign literature, or use public office influence for any political party or candidate.
3. Option A is the verbatim constitutional and statutory rule.

Common Trap: Believing career civil servants can campaign on weekends; the ban on partisan political campaigning applies 24/7 (both during and outside office hours) to career civil servants.
Exam Tip: Political Neutrality = Impartial service to all citizens + ABSOLUTE BAN on partisan electioneering for career civil servants.","Correct. Survives elimination because Article IX-B, Section 2(4) of the Constitution and Section 4(A)(d) of RA 6713 strictly mandate political neutrality, prohibiting career civil servants from engaging in partisan campaigning and requiring non-discriminatory service.","Eliminated because forcing civil servants to campaign for an administration's political slate violates the Constitution and civil service law.","Eliminated because using government printing machinery for campaign materials constitutes illegal electioneering and criminal misuse of public property.","Eliminated because civil servants retain their fundamental right of suffrage to vote secretly on election day.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Political neutrality | Very Difficult | Batch 157"
"Under the CSC-COMELEC Joint Circular No. 001 (Series of 2016) and Section 261(i) of the Omnibus Election Code, which of the following acts is STRICTLY PROHIBITED as illegal 'PARTISAN POLITICAL ACTIVITY' when committed by a career civil service employee?","Soliciting campaign contributions, distributing political campaign flyers, wearing campaign shirts/pins promoting a candidate during election season, or participating in a candidate's campaign motorcade.","Casting a secret ballot on election day inside the designated voting precinct.","Privately expressing a personal political opinion in a closed family conversation at home.","Attending a mandatory official voter education seminar conducted by the Commission on Elections.","A","Step-by-Step Solution:
1. Statutory & Administrative Authority:
   - Section 261(i), Batas Pambansa Blg. 881 (Omnibus Election Code of the Philippines): Prohibits intervention of public officers and employees in elections.
   - CSC-COMELEC Joint Circular No. 001, Series of 2016 (Joint Advisory on Partisan Political Activities).
2. Prohibited Partisan Political Activities for Civil Servants:
   - 1. Forming political organizations, clubs, or caucuses to support a candidate.
   - 2. Making political speeches, holding rallies, or joining campaign motorcades.
   - 3. Soliciting, collecting, or receiving campaign contributions or donations.
   - 4. Distributing, publishing, or circulating campaign posters, flyers, stickers, or merchandise.
   - 5. Wearing campaign t-shirts, caps, pins, or wristbands promoting a specific candidate.
   - 6. Posting, sharing, or commenting on social media to actively solicit votes for or against a candidate.
3. Permitted Non-Partisan Acts:
   - Casting a secret vote; expressing a private political opinion; attending official non-partisan COMELEC briefings.
4. Option A is the comprehensive enumeration of prohibited partisan activities.

Common Trap: Thinking wearing a campaign pin or t-shirt to work is harmless; wearing campaign apparel is a PROHIBITED PARTISAN POLITICAL ACT punishable under civil service law.
Exam Tip: Prohibited Partisan Acts: Soliciting funds, distributing flyers, wearing campaign apparel, joining motorcades, and campaigning on social media.","Correct. Survives elimination because CSC-COMELEC Joint Circular No. 001 (s. 2016) and the Omnibus Election Code strictly prohibit civil servants from soliciting funds, distributing campaign flyers, wearing campaign apparel, and participating in candidate motorcades.","Eliminated because voting is a constitutionally protected political right under Article V.","Eliminated because privately expressing a personal opinion in a private residence is an explicitly permitted activity under Section 55 of EO 292.","Eliminated because attending official COMELEC voter education sessions is an authorized civic activity.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Political neutrality | Very Difficult | Batch 157"
"In the landmark ruling of Quinto v. Commission on Elections (G.R. No. 189698, February 22, 2010), what was the Supreme Court's final en banc resolution regarding the 'AUTOMATIC RESIGNATION' of APPOINTIVE PUBLIC OFFICIALS who file a Certificate of Candidacy (COC) for elective office?","Appointive public officials and civil service employees who file a Certificate of Candidacy are deemed AUTOMATICALLY RESIGNED from their appointive public offices upon the filing of their COC, in order to preserve the political neutrality and professionalism of the civil service.","Appointive officials may retain their government posts and salaries while actively campaigning for public elective office.","Appointive officials who run for office are automatically promoted to cabinet secretary if they lose the election.","The requirement of automatic resignation was declared unconstitutional for all government employees.","A","Step-by-Step Solution:
1. Landmark Case History: Quinto v. Commission on Elections (613 SCRA 385, 2010), penned by Chief Justice Leonardo Quisumbing / Justice Antonio Carpio / Resolution penned by Justice Conchita Carpio-Morales:
   - Statutory Anchor: Section 66 of the Omnibus Election Code (BP 881) & Section 13, paragraph 3 of Republic Act No. 9369:
     'Any person holding a public appointive office or position, including active members of the Armed Forces of the Philippines, and other officers and employees in government-owned or-controlled corporations, shall be considered IPSO FACTO RESIGNED FROM HIS OFFICE UPON THE FILING OF HIS CERTIFICATE OF CANDIDACY.'
   - Supreme Court Final Ruling (Resolution on Motion for Reconsideration, Feb. 22, 2010):
     - The Court reversed its earlier December 2009 decision and firmly UPHELD the constitutionality of Section 66 of the Omnibus Election Code and Section 13 of RA 9369.
     - Appointive officials and civil service employees who file a COC are DEEMED AUTOMATICALLY RESIGNED from office from the moment of filing.
     - Rationale: Prevents appointive officials from abusing their public resources, staff, authority, and official powers to campaign for elective office, insulating the civil service from partisan election corruption.
2. Option A is the precise legal holding of the final Quinto v. COMELEC resolution.

Common Trap: Confusing appointive officials (who are AUTOMATICALLY RESIGNED upon filing COC) with ELECTIVE officials (who under Fair Election Act / RA 9006 are NOT deemed resigned when running for another office, except when running for President/VP).
Exam Tip: Quinto v. COMELEC = APPOINTIVE public officials are AUTOMATICALLY RESIGNED upon filing their Certificate of Candidacy (COC).","Correct. Survives elimination because Quinto v. COMELEC definitively upheld the statutory rule that appointive civil service officials and employees are deemed ipso facto resigned from office upon filing a Certificate of Candidacy to protect civil service political neutrality.","Eliminated because appointive officials cannot remain in office or draw public salaries while running as partisan candidates.","Eliminated because losing candidates are subject to the one-year appointment ban under Article IX-B, Section 6.","Eliminated because the Supreme Court's final en banc resolution upheld the constitutionality of automatic resignation for appointive officials.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Political neutrality | Very Difficult | Batch 157"
"Under CSC-COMELEC guidelines on social media ethics, which of the following online actions is considered a VIOLATION of 'Political Neutrality' by a career civil service employee?","Posting, sharing, or creating status updates that actively endorse, solicit votes for, or attack specific political candidates or political parties during the election campaign period.","Sending a private encrypted email to one's spouse regarding personal household finances.","Liking an official government agency post regarding national holiday public health schedules.","Browsing an online encyclopedia to read the biography of a historical figure.","A","Step-by-Step Solution:
1. Administrative Policy: CSC-COMELEC Joint Circular No. 001, Series of 2016 & CSC Resolution No. 1600298 (Guidelines on Social Media Use in Civil Service):
2. Social Media Rules on Political Neutrality:
   - 1. The digital space is a public forum.
   - 2. A career civil servant CANNOT use social media platforms (Facebook, Twitter/X, TikTok, Instagram, YouTube) to:
     - Solicit votes for or against any candidate;
     - Post, upload, or share partisan political memes, campaign slogans, or candidate endorsements;
     - Change their public profile picture or cover photo to a candidate's campaign logo/poster;
     - Attack, defame, or bash opposing political candidates.
   - 3. Passive browsing or receiving news is permissible, but ACTIVE ONLINE PARTISAN ADVOCACY constitutes illegal electioneering punishable by administrative suspension or dismissal.
3. Option A is the verbatim civil service standard.

Common Trap: Believing personal social media accounts are exempt from civil service rules; an employee's public online campaigning IS a punishable violation of Political Neutrality.
Exam Tip: Civil Servants on Social Media = Posting, sharing, or endorsing political candidates online is a PROHIBITED PARTISAN POLITICAL ACTIVITY (Violates Political Neutrality).","Correct. Survives elimination because CSC-COMELEC Joint Circular No. 001 (s. 2016) specifically prohibits civil service employees from posting, sharing, or broadcasting partisan endorsements, candidate slogans, or campaign attacks on social media.","Eliminated because private spousal financial communication has zero connection to partisan electioneering.","Eliminated because interacting with official non-partisan government public service announcements is fully lawful.","Eliminated because reading online historical encyclopedias is a protected educational activity.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Political neutrality | Very Difficult | Batch 157"
"Which group of public officials is CONSTITUTIONALLY EXEMPT from the prohibition against engaging in partisan political campaigns under Article IX-B, Section 2(4) and settled jurisprudence (Santos v. Yatco)?","ELECTIVE OFFICIALS (such as the President, Vice-President, Senators, Congressmen, Governors, and Mayors) and members of the Cabinet holding political alter-ego positions.","Career division chiefs and executive directors of regulatory bureaus.","Regional Trial Court judges and municipal trial judges.","Uniformed officers of the Philippine National Police and Armed Forces of the Philippines.","A","Step-by-Step Solution:
1. Constitutional & Statutory Jurisprudence:
   - Article IX-B, Section 2(4): 'No officer or employee in the civil service shall engage, directly or indirectly, in any electioneering or partisan political campaign.'
   - Section 55, Subtitle A, Title I, Book V, EO 292 (Administrative Code of 1987):
     'No officer or employee in the Civil Service including members of the Armed Forces, shall engage directly or indirectly in any partisan political activity or take part in any election EXCEPT TO VOTE... This section SHALL NOT APPLY TO THOSE HOLDING POLITICAL OFFICES.'
2. Landmark Case: Santos v. Yatco (106 Phil. 21, 1959); Fariñas v. Executive Secretary (417 SCRA 503, 2003):
   - 1. Political / Elective Officials: By the very nature of their elective mandates and political tenure, ELECTIVE OFFICIALS (President, VP, Senators, Reps, Governors, Mayors) and their political alter egos (Cabinet Secretaries) are expected to engage in politics and political parties. They are EXEMPT from the electioneering ban.
   - 2. Career Civil Service: Career personnel (rank-and-file, division chiefs, directors, judges, police, AFP) are strictly NON-POLITICAL and CANNOT participate in partisan campaigning.
3. Option A is the precise legal distinction.

Common Trap: Thinking Cabinet secretaries are career civil servants; Cabinet secretaries occupy primarily political policy positions as alter egos of the President and may campaign for the administration's political party (Fariñas v. Executive Secretary).
Exam Tip: Exemption from Electioneering Ban = ELECTIVE OFFICIALS and Cabinet Members (Holding Political Offices); Career civil servants, police, and military are STRICTLY BANNED.","Correct. Survives elimination because Article IX-B, Section 2(4), Section 55 of EO 292, and Santos v. Yatco establish that the ban on partisan political campaigns does not apply to elective officials and Cabinet members holding political offices.","Eliminated because career division chiefs and bureau directors belong to the career civil service and are strictly barred from partisan campaigning.","Eliminated because judges are part of the independent Judiciary and are strictly prohibited from partisan politics under Canon 5 of the Code of Judicial Conduct.","Eliminated because the military (AFP) and police (PNP) are strictly non-partisan and forbidden from engaging in electioneering under Article XVI, Section 5(3).","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Political neutrality | Very Difficult | Batch 157"
"A public health doctor in a rural municipal health center refuses to administer government-funded measles vaccines to children whose parents are known supporters of the political opposition party in the town. How does this doctor's conduct violate RA 6713?","It is a grave violation of POLITICAL NEUTRALITY under Section 4(A)(d) and Justness and Sincerity under Section 4(A)(c), as public services, medicines, and welfare benefits must be delivered equally without discrimination based on political affiliation.","The doctor's action is valid because local public health supplies belong to the political party of the municipal mayor.","The doctor's conduct is an exercise of medical academic freedom.","The doctor is exempt from ethical liability because measles vaccination is optional under the Constitution.","A","Step-by-Step Solution:
1. Statutory Analysis:
   - Section 4(A)(d), RA 6713: 'Public officials and employees shall provide service to everyone WITHOUT UNFAIR DISCRIMINATION AND REGARDLESS OF PARTY AFFILIATION OR PREFERENCE.'
   - Section 4(A)(c), RA 6713: Justness, sincerity, and non-discrimination against the underprivileged.
2. Ethical & Legal Evaluation:
   - Public healthcare resources and vaccines are purchased with taxpayer funds for the universal health protection of the community.
   - Denying life-saving vaccines to innocent children because of their parents' political affiliation is an egregious, malicious violation of Political Neutrality and a heinous act of partisan discrimination.
   - Administrative & Criminal Offenses: Grave Misconduct, Gross Insubordination, Violation of RA 6713, and Violation of the Universal Health Care Act (RA 11223), warranting DISMISSAL FROM SERVICE.
3. Option A is the correct, definitive legal evaluation.

Common Trap: Believing public services can be withheld from political opponents; RA 6713 strictly outlaws any discrimination in public services based on political affiliation.
Exam Tip: Denying public services, medical aid, or permits based on political party affiliation is a grave violation of POLITICAL NEUTRALITY (Sec. 4[A][d]).","Correct. Survives elimination because Section 4(A)(d) of RA 6713 explicitly commands civil servants to provide public service to all persons without discrimination based on political affiliation, making partisan denial of healthcare a grave offense.","Eliminated because public medical supplies belong to the State and people, not the incumbent mayor's political party.","Eliminated because medical academic freedom does not authorize politically motivated medical neglect of vulnerable children.","Eliminated because public health vaccinations are vital statutory healthcare programs that cannot be weaponized for partisan discrimination.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Political neutrality | Very Difficult | Batch 157"
"Under Section 4(A)(d) of RA 6713 and the Administrative Code of 1987, which of the following is an EXPLICITLY PERMITTED political right that a career civil service employee MAY LAWFULLY EXERCISE?","Casting a secret ballot on election day and expressing private political opinions on political issues or candidates.","Coercing subordinate employees to attend a nighttime political rally.","Soliciting cash campaign donations from regulated utility contractors.","Publishing an anonymous political smear leaflet attacking an opposition candidate.","A","Step-by-Step Solution:
1. Statutory Text: Section 55, Chapter 7, Subtitle A, Title I, Book V, Executive Order No. 292 (Administrative Code of 1987):
   'No officer or employee in the Civil Service including members of the Armed Forces, shall engage directly or indirectly in any partisan political activity or take part in any election EXCEPT TO VOTE, NOR SHALL HE USE HIS OFFICIAL AUTHORITY OR INFLUENCE TO COERCE THE POLITICAL ACTIONS OF ANY OTHER PERSON OR BODY. NOTHING HEREIN PROVIDED SHALL BE UNDERSTOOD TO PREVENT ANY OFFICER OR EMPLOYEE FROM EXPRESSING HIS VIEWS ON CURRENT POLITICAL PROBLEMS OR ISSUES, OR FROM MENTIONING THE NAMES OF CANDIDATES FOR PUBLIC OFFICE WHOM HE SUPPORTS.'
2. Two Explicitly Protected Political Rights:
   - 1. The Right to Vote (Suffrage): Secret ballot casting on election day.
   - 2. Expressing Private Views: A civil servant is not stripped of their intellect or free thought; they may discuss political opinions and candidates privately with family and peers, provided it does NOT cross into active partisan campaigning, electioneering, or public solicitation.
3. Option A is the verbatim statutory exception.

Common Trap: Thinking civil servants are completely gagged from ever discussing politics; expressing personal views privately is PERMITTED, while active partisan electioneering is PROHIBITED.
Exam Tip: Permitted Political Acts for Civil Servants = (1) Voting in elections, and (2) Expressing personal political views privately (EO 292, Sec. 55).","Correct. Survives elimination because Section 55 of EO 292 explicitly preserves the right of civil servants to cast their secret ballot and express their personal views on current political issues and candidates.","Eliminated because coercing subordinates to attend political events constitutes illegal electioneering and grave abuse of authority under Section 55.","Eliminated because soliciting campaign donations is an illegal election offense under the Omnibus Election Code.","Eliminated because producing partisan smear literature is a prohibited form of electioneering.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Political neutrality | Very Difficult | Batch 157"
"A Regional Director of a government department threatens to withhold the annual performance bonuses of all staff members who refuse to sign an endorsement petition supporting the Director's cousin for City Councilor. What civil service and election offense was committed?","COERCION OF SUBORDINATES FOR PARTISAN POLITICAL ACTIVITY under Section 55 of EO 292 and Section 261 of the Omnibus Election Code, violating the norm of Political Neutrality under Section 4(A)(d) of RA 6713.","A lawful exercise of managerial leadership and team-building authority.","A valid internal administrative guideline exempt from judicial review.","An authorized incentive mechanism under the Strategic Performance Management System.","A","Step-by-Step Solution:
1. Legal & Statutory Analysis:
   - Section 55, EO 292: '...nor shall he use his official authority or influence to coerce the political actions of any other person or body.'
   - Section 261(i) & (d), Omnibus Election Code (BP 881): Coercion of subordinates to engage in electioneering constitutes an ELECTION OFFENSE punishable by 1 to 6 years imprisonment.
   - Section 4(A)(d), RA 6713 (Political Neutrality) & Section 4(A)(c) (Justness & Sincerity).
2. Evaluation of the Threat:
   - Withholding earned performance bonuses or threatening staff based on refusal to support a political candidate is a direct, coercive weaponization of official authority for partisan gain.
   - Constitutes GRAVE OPPRESSION, Grave Misconduct, Violation of Political Neutrality, and a Criminal Election Offense.
3. Option A is the precise legal classification.

Common Trap: Assuming supervisors can direct their staff's political choices; political coercion of subordinates is a criminal offense under Philippine election and civil service laws.
Exam Tip: Threatening or coercing subordinates into political campaigning/endorsements = GRAVE OPPRESSION + CRIMINAL ELECTION OFFENSE (Violation of Political Neutrality).","Correct. Survives elimination because coercing subordinates to sign political endorsements on threat of bonus cancellation violates Section 55 of EO 292, Section 261 of BP 881, and Section 4(A)(d) of RA 6713, constituting grave misconduct and an election offense.","Eliminated because managerial prerogative cannot be used to compel partisan political obedience.","Eliminated because political coercion is an illegal act subject to administrative and judicial prosecution.","Eliminated because performance bonuses under SPMS must be based strictly on documented performance indicators, not partisan loyalty.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Political neutrality | Very Difficult | Batch 157"
"Under Article XVI, Section 5(3) of the 1987 Constitution, what is the strict rule regarding the POLITICAL NEUTRALITY of the ARMED FORCES OF THE PHILIPPINES (AFP)?","The armed forces shall be NON-PARTISAN; no member of the military shall engage, directly or indirectly, in any partisan political activity, except to vote.","Active military generals are required to serve as regional coordinators for registered political parties.","Military personnel may use armed patrol boats to transport political campaign banners during elections.","The military command has the authority to dictate which presidential candidate soldiers must vote for.","A","Step-by-Step Solution:
1. Constitutional Text: Article XVI, Section 5(3):
   'The armed forces shall be non-partisan. No member of the military shall engage directly or indirectly in any partisan political activity, except to vote.'
2. Companion Provision: Article XVI, Section 5(4) (Ban on active military holding civilian government posts).
3. Principles of Military Non-Partisanship:
   - 1. Professionalism & Non-Partisanship: The AFP is the protector of the people and the State (Article II, Section 3). It belongs to the entire nation, not to any political party, dynasty, or president.
   - 2. Sole Permitted Political Act: VOTING.
   - 3. Total Ban on Electioneering: Soldiers cannot participate in rallies, transport political candidates, campaign for slates, or display partisan materials on military bases or equipment.
4. Option A is the verbatim constitutional rule.

Common Trap: Believing soldiers lose their right to vote; soldiers CAN VOTE by secret ballot (often through Local Absentee Voting under RA 7166), but CANNOT engage in partisan campaigning.
Exam Tip: Article XVI, Section 5(3) = The Armed Forces shall be NON-PARTISAN (No member shall engage in partisan political activity, EXCEPT TO VOTE).","Correct. Survives elimination because Article XVI, Section 5(3) explicitly mandates that the Armed Forces of the Philippines must remain strictly non-partisan, barring all military personnel from partisan political activities except voting.","Eliminated because military officers are constitutionally barred from partisan party coordination.","Eliminated because using military equipment for political campaigns violates both the Constitution and the Omnibus Election Code.","Eliminated because military commanding officers cannot dictate or coerce the private voting choices of soldiers.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Political neutrality | Very Difficult | Batch 157"
"Why does the Philippine Civil Service enforce 'POLITICAL NEUTRALITY' so rigorously across all government departments?","To preserve a permanent, merit-based career bureaucracy that continues to deliver stable, efficient, and professional public services to the Filipino people without interruption, regardless of which political party wins or loses presidential and local elections.","To ensure that only members of the military can hold public administrative positions.","To prevent government employees from reading national daily news publications.","To force all public servants to emigrate to other countries upon every change of administration.","A","Step-by-Step Solution:
1. Foundational Governance Theory (Merit System vs Spoils System):
   - 1. Abolition of the Spoils System: In the 19th century, the 'Spoils System' allowed winning politicians to fire all existing civil servants and replace them with incompetent political party loyalists.
   - 2. The Modern Merit-Based Bureaucracy:
     - The Civil Service Commission and RA 6713 insulate the professional career service from political turbulence.
     - By maintaining strict POLITICAL NEUTRALITY, government employees do not owe their jobs to political godfathers; they serve the State and the public interest.
     - Continuity of Governance: When a new President or Mayor is inaugurated, the career bureaucracy (engineers, accountants, teachers, health workers, clerks) remains intact and operational, guaranteeing uninterrupted public service.
2. Option A captures this foundational public administration philosophy accurately.

Common Trap: Viewing neutrality as a restriction; political neutrality is the essential SHIELD that protects civil servants' security of tenure and guarantees impartial public governance.
Exam Tip: Purpose of Political Neutrality = Preserves a stable, professional, merit-based career bureaucracy ensuring continuous public service across changing political administrations.","Correct. Survives elimination because political neutrality insulates the civil service from the spoils system, ensuring that a professional, permanent career bureaucracy continues to serve the public impartially across changing political regimes.","Eliminated because the civil service is a civilian institution distinct from the military establishment.","Eliminated because civil servants are encouraged to remain well-informed on public affairs and news.","Eliminated because security of tenure ensures career civil servants remain in their positions despite changes in political leadership.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Political neutrality | Very Difficult | Batch 157"
