"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Passage: A national transport agency report includes two graphical displays: (1) A bar chart showing total annual vehicular registrations across four administrative regions (Region A=450,000; Region B=300,000; Region C=250,000; Region D=200,000; Total=1,200,000); and (2) A pie chart showing the fuel-type composition of registered vehicles in Region A (Gasoline=50%, Diesel=35%, Electric/Hybrid=10%, LPG/Other=5%). How many registered vehicles in Region A are powered by DIESEL or ELECTRIC/HYBRID engines combined?","202,500 vehicles","157,500 vehicles","225,000 vehicles","180,000 vehicles","A","Step-by-Step Solution:
1. Retrieve Region A total vehicular registrations from the bar chart:
   - Total in Region A = 450,000 vehicles.
2. Retrieve the fuel-type percentages for Diesel and Electric/Hybrid in Region A from the pie chart:
   - Diesel = 35%
   - Electric/Hybrid = 10%
   - Combined Percentage = 35% + 10% = 45%.
3. Compute the absolute number of vehicles:
   - Number of vehicles = 450,000 × 0.45 = 202,500 vehicles.

Common Trap: Calculating 45% of the national total (1,200,000) instead of Region A's specific total (450,000), which yields 540,000.
Exam Tip: Cross-reference the scope of the pie chart with the specific subset data in the bar chart.","Correct. Survives elimination because Region A has 450,000 registered vehicles, and Diesel (35%) plus Electric/Hybrid (10%) represents 45% of that regional total: 450,000 × 0.45 = 202,500 vehicles.","Eliminated because 157,500 vehicles represents the Diesel category alone (450,000 × 0.35).","Eliminated because 225,000 vehicles represents the Gasoline category alone (450,000 × 0.50).","Eliminated because 180,000 vehicles incorrectly applies a 40% combined share.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Combined charts | Very Difficult | Batch 120"
"Passage: An economic development report presents two visual datasets: (1) A line graph depicting annual rice production (in metric tons, MT) for a province from 2020 to 2023 (2020=400,000; 2021=440,000; 2022=480,000; 2023=500,000); and (2) A stacked bar chart showing the allocation of 2023 production among three utilization channels (Local Provincial Consumption=60%, Inter-Provincial Commercial Trade=30%, National Buffer Stock Reserve=10%). What is the difference in metric tons between the volume allocated to Local Provincial Consumption and the volume allocated to Inter-Provincial Commercial Trade in 2023?","150,000 metric tons","120,000 metric tons","180,000 metric tons","100,000 metric tons","A","Step-by-Step Solution:
1. Identify 2023 total rice production from the line graph:
   - 2023 Production = 500,000 MT.
2. Identify the utilization proportions from the stacked bar chart for 2023:
   - Local Consumption = 60% of 500,000 MT = 300,000 MT.
   - Inter-Provincial Trade = 30% of 500,000 MT = 150,000 MT.
3. Compute the difference:
   - Difference = 300,000 MT - 150,000 MT = 150,000 MT.
   - Alternatively: (60% - 30%) × 500,000 MT = 30% × 500,000 MT = 150,000 MT.

Common Trap: Using 2020 base production (400,000 MT) to compute the channels, yielding 120,000 MT.
Exam Tip: Ensure you extract the data point from the line graph that strictly matches the reference year of the stacked bar chart.","Correct. Survives elimination because in 2023, total production was 500,000 MT; the difference between Local Consumption (60% = 300,000 MT) and Inter-Provincial Trade (30% = 150,000 MT) is 150,000 MT.","Eliminated because 120,000 MT uses the 2020 production level (400,000 MT) rather than the requested 2023 figure.","Eliminated because 180,000 MT results from an arithmetic error subtracting 10% reserve instead of 30% trade.","Eliminated because 100,000 MT represents the difference between Local Consumption and a flawed 40% allocation.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Combined charts | Very Difficult | Batch 120"
"Passage: A public health bureau presents two displays: (1) A multi-line graph showing the quarterly number of reported dengue cases in a city across two years (Year 1: Q1=1,200, Q2=1,800, Q3=3,000, Q4=2,000; Year 2: Q1=900, Q2=1,500, Q3=2,400, Q4=1,200); and (2) A pie chart showing the age distribution of cases in Year 2 (Children under 10=45%, Youth 10-19=30%, Adults 20-59=20%, Seniors 60+=5%). How many reported dengue cases in Year 2 involved INDIVIDUALS AGED 19 AND BELOW?","4,500 cases","3,600 cases","2,700 cases","4,800 cases","A","Step-by-Step Solution:
1. Calculate total dengue cases in Year 2 from the line graph:
   - Year 2 Cases = Q1 + Q2 + Q3 + Q4 = 900 + 1,500 + 2,400 + 1,200 = 6,000 cases.
2. Identify the target demographic from the pie chart:
   - Individuals aged 19 and below = Children under 10 (45%) + Youth 10-19 (30%) = 75%.
3. Compute the number of cases:
   - Cases (19 and below) = 6,000 × 0.75 = 4,500 cases.

Common Trap: Computing 75% of Year 1 total (8,000 cases), resulting in 6,000 cases, or taking only the under-10 group (45% × 6,000 = 2,700).
Exam Tip: Sum the time-series segments for the target year first, then multiply by the sum of relevant demographic percentages.","Correct. Survives elimination because Year 2 total cases were 6,000 (900+1,500+2,400+1,200), and individuals aged 19 and below represent 45% + 30% = 75% of the total: 6,000 × 0.75 = 4,500 cases.","Eliminated because 3,600 cases represents a flawed 60% demographic multiplier.","Eliminated because 2,700 cases includes only children under 10 (45%), omitting youth aged 10-19 (30%).","Eliminated because 4,800 cases erroneously incorporates Adult cases (20%).","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Combined charts | Very Difficult | Batch 120"
"Passage: A department of energy dashboard provides: (1) A bar chart showing total electricity generation by source for an island grid (Coal=600 GWh, Natural Gas=400 GWh, Geothermal=300 GWh, Hydro=200 GWh, Solar/Wind=100 GWh; Total Grid Generation = 1,600 GWh); and (2) A line graph showing the transmission and distribution loss rate across four quarters (Q1=8.0%, Q2=7.5%, Q3=7.0%, Q4=6.5%; Annual Average Loss Rate = 7.25%). If Renewable Energy is defined as Geothermal, Hydro, and Solar/Wind, what is the net volume of RENEWABLE electricity delivered to end-users after accounting for the 7.25% average transmission loss?","556.5 GWh","600.0 GWh","542.8 GWh","570.0 GWh","A","Step-by-Step Solution:
1. Identify gross Renewable Energy generation from the bar chart:
   - Geothermal = 300 GWh
   - Hydro = 200 GWh
   - Solar/Wind = 100 GWh
   - Total Gross Renewable Generation = 300 + 200 + 100 = 600 GWh.
2. Retrieve the average transmission loss rate from the line graph:
   - Loss Rate = 7.25%.
   - Delivered Proportion = 1 - 0.0725 = 0.9275 (92.75%).
3. Calculate net delivered renewable electricity:
   - Net Delivered = 600 GWh × (1 - 0.0725) = 600 × 0.9275 = 556.5 GWh.

Common Trap: Subtracting transmission loss from total grid generation (1,600 GWh) instead of just the renewable generation portion.
Exam Tip: Aggregate the target component sources first, then apply the transmission/loss deduction factor.","Correct. Survives elimination because total renewable energy generation was 600 GWh (300+200+100), and after deducting 7.25% transmission losses (43.5 GWh), net delivered renewable electricity equals 556.5 GWh.","Eliminated because 600.0 GWh represents gross generation before transmission losses are deducted.","Eliminated because 542.8 GWh assumes a higher 9.5% loss rate.","Eliminated because 570.0 GWh applies an incorrect rounded loss rate of 5.0%.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Combined charts | Very Difficult | Batch 120"
"Passage: A university admissions office presents two charts: (1) A bar chart showing total freshman applicants by academic track (STEM=3,500; HUMSS=2,500; ABM=2,000; TVL=1,000; Total Applicants = 9,000); and (2) A grouped bar chart displaying the entrance examination passing rate and subsequent enrollment rate among passers for each track:
| Track | Passing Rate (%) | Enrollment Rate of Passers (%) |
| STEM | 60% | 80% |
| HUMSS | 50% | 70% |
| ABM | 55% | 75% |
| TVL | 40% | 65% |
How many STEM applicants successfully passed the entrance examination AND subsequently enrolled in the university?","1,680 students","2,100 students","1,400 students","1,850 students","A","Step-by-Step Solution:
1. Identify total STEM applicants from the first chart:
   - STEM Applicants = 3,500.
2. Apply the STEM entrance exam passing rate from the second chart:
   - STEM Passers = 3,500 × 0.60 = 2,100 students.
3. Apply the enrollment rate of passers to find final enrollees:
   - Enrolled STEM Students = 2,100 × 0.80 = 1,680 students.
   - (Direct formula: 3,500 × 0.60 × 0.80 = 3,500 × 0.48 = 1,680 students).

Common Trap: Stopping at 2,100 (the number of passers) without multiplying by the 80% enrollment rate.
Exam Tip: Sequential rates in combined displays require chaining: Base × Rate1 × Rate2.","Correct. Survives elimination because 3,500 applicants × 60% passing rate = 2,100 passers, and 2,100 passers × 80% enrollment rate = 1,680 enrolled STEM students.","Eliminated because 2,100 students is the number of STEM applicants who passed the exam, omitting the subsequent enrollment step.","Eliminated because 1,400 students assumes a 40% final enrollment conversion.","Eliminated because 1,850 students is an arithmetic error.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Combined charts | Very Difficult | Batch 120"
"Passage: A provincial agriculture office displays: (1) A pie chart showing the proportion of total agricultural land devoted to major crops (Rice=45%, Corn=25%, Coconut=15%, Sugarcane=10%, Fruit Trees=5%; Total Agricultural Land = 120,000 hectares); and (2) A bar graph showing the average annual revenue yield per hectare (Rice=PHP 65,000/ha; Corn=PHP 48,000/ha; Coconut=PHP 35,000/ha; Sugarcane=PHP 80,000/ha; Fruit Trees=PHP 110,000/ha). What is the total annual revenue generated from SUGARCANE farming in the province?","PHP 960 million","PHP 800 million","PHP 1.20 billion","PHP 750 million","A","Step-by-Step Solution:
1. Calculate land area devoted to Sugarcane from the pie chart:
   - Total land = 120,000 ha.
   - Sugarcane share = 10%.
   - Sugarcane Land Area = 120,000 ha × 0.10 = 12,000 hectares.
2. Retrieve revenue yield per hectare for Sugarcane from the bar graph:
   - Revenue Yield = PHP 80,000 per hectare.
3. Compute total Sugarcane revenue:
   - Total Revenue = 12,000 ha × PHP 80,000/ha = PHP 960,000,000 (PHP 960 million).

Common Trap: Using total land area (120,000 ha) without extracting the 10% sugarcane slice.
Exam Tip: Derive physical quantity from Chart 1, then apply the financial unit multiplier from Chart 2.","Correct. Survives elimination because Sugarcane accounts for 10% of 120,000 ha = 12,000 hectares, which at PHP 80,000/ha generates exactly PHP 960 million in annual revenue.","Eliminated because PHP 800 million assumes only 10,000 hectares were cultivated.","Eliminated because PHP 1.20 billion incorrectly applies the fruit tree revenue yield (PHP 100k/ha).","Eliminated because PHP 750 million reflects a calculation using coconut revenue yields.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Combined charts | Very Difficult | Batch 120"
"Passage: A national disaster management portal shows: (1) A line graph tracking cumulative emergency food pack releases over four consecutive relief operations (Op 1=25,000; Op 2=55,000; Op 3=95,000; Op 4=140,000); and (2) A pie chart showing the procurement source breakdown of packs released in Op 3 specifically (National Government Warehouse=50%, Local LGU Counterpart=30%, International Donors=20%). How many food packs were released SPECIFICALLY DURING OPERATION 3 from LOCAL LGU COUNTERPARTS?","12,000 food packs","28,500 food packs","16,500 food packs","8,000 food packs","A","Step-by-Step Solution:
1. Determine food packs released specifically during Operation 3 from the cumulative line graph:
   - Op 2 cumulative total = 55,000 packs.
   - Op 3 cumulative total = 95,000 packs.
   - Marginal packs released in Op 3 = 95,000 - 55,000 = 40,000 food packs.
2. Determine LGU Counterpart share for Op 3 from the pie chart:
   - LGU Counterpart = 30%.
3. Compute LGU packs in Op 3:
   - LGU Packs = 40,000 × 0.30 = 12,000 food packs.

Common Trap: Taking 30% of the cumulative 95,000 packs (which equals 28,500 packs, Option B), forgetting that the line graph displays cumulative figures rather than per-operation marginal releases.
Exam Tip: Check chart axis labels carefully; if a line chart is labeled 'cumulative,' subtract the previous period's total to find the period-specific volume.","Correct. Survives elimination because Operation 3 added 40,000 packs (95,000 cumulative minus 55,000 prior), and the 30% LGU counterpart share equals 40,000 × 0.30 = 12,000 food packs.","Eliminated because 28,500 packs erroneously applies the 30% share to the cumulative total of 95,000 packs rather than the marginal release of 40,000 packs.","Eliminated because 16,500 packs applies the 30% share to the cumulative total of Op 2 (55,000).","Eliminated because 8,000 packs represents the 20% international donor share.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Combined charts | Very Difficult | Batch 120"
"Passage: A municipal housing authority reports: (1) A bar chart showing total socialized housing units constructed across three barangays (Barangay X=400 units; Barangay Y=500 units; Barangay Z=300 units; Total = 1,200 units); and (2) A stacked bar chart showing unit occupancy status across the barangays:
| Barangay | Fully Occupied (%) | Partially Occupied (%) | Vacant (%) |
| Barangay X | 75% | 15% | 10% |
| Barangay Y | 80% | 12% | 8% |
| Barangay Z | 60% | 25% | 15% |
What is the TOTAL number of VACANT housing units across all three barangays combined?","125 units","110 units","140 units","95 units","A","Step-by-Step Solution:
1. Calculate vacant units for each barangay:
   - Barangay X: 400 units × 10% vacant = 40 vacant units.
   - Barangay Y: 500 units × 8% vacant = 40 vacant units.
   - Barangay Z: 300 units × 15% vacant = 45 vacant units.
2. Sum vacant units across all three barangays:
   - Total Vacant Units = 40 + 40 + 45 = 125 units.

Common Trap: Averaging the vacancy percentages (10% + 8% + 15%) / 3 = 11% and multiplying by 1,200 to get 132 units.
Exam Tip: Compute the absolute count for each category individually before summing, because the base totals vary across groups.","Correct. Survives elimination because vacant units in Barangay X (400×0.10=40), Barangay Y (500×0.08=40), and Barangay Z (300×0.15=45) sum to exactly 125 vacant units.","Eliminated because 110 units miscalculates Barangay Z's vacancy count as 30.","Eliminated because 140 units overcounts vacancies in Barangay Y.","Eliminated because 95 units omits Barangay Z's vacant units entirely.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Combined charts | Very Difficult | Batch 120"
"Passage: A regional labor department reviews employment data: (1) A pie chart showing the distribution of the 500,000-person labor force across four economic sectors (Services=52%, Agriculture=24%, Industry=18%, Public Administration=6%); and (2) A line graph showing the underemployment rate within each sector (Services=12.0%, Agriculture=20.0%, Industry=15.0%, Public Administration=5.0%). How many workers in the AGRICULTURE sector are UNDEREMPLOYED?","24,000 workers","30,000 workers","18,000 workers","20,000 workers","A","Step-by-Step Solution:
1. Calculate total labor force in Agriculture from the pie chart:
   - Total Labor Force = 500,000 persons.
   - Agriculture Share = 24%.
   - Agricultural Workers = 500,000 × 0.24 = 120,000 persons.
2. Retrieve the underemployment rate for Agriculture from the line graph:
   - Underemployment Rate = 20.0%.
3. Compute underemployed agricultural workers:
   - Underemployed Workers = 120,000 × 0.20 = 24,000 workers.

Common Trap: Multiplying 20% by the total 500,000 labor force (100,000) or confusing Agriculture (24%) with Industry (18%).
Exam Tip: Extract the sector head-count from the distribution chart first, then apply the sector-specific underemployment rate.","Correct. Survives elimination because the agricultural labor force equals 24% of 500,000 = 120,000 workers, and applying the 20.0% underemployment rate yields exactly 24,000 underemployed agricultural workers.","Eliminated because 30,000 workers assumes a 25% underemployment rate.","Eliminated because 18,000 workers applies the Industry underemployment profile.","Eliminated because 20,000 workers reflects an arithmetic error (100,000 × 0.20).","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Combined charts | Very Difficult | Batch 120"
"Passage: A city water district dashboard includes: (1) A bar chart showing monthly water production (in million liters, ML) for the first four months of the year (Jan=450, Feb=420, Mar=480, Apr=500; Total = 1,850 ML); and (2) A line graph showing the Non-Revenue Water (NRW / water loss) percentage for each month (Jan=24.0%, Feb=25.0%, Mar=20.0%, Apr=18.0%). In which month was the volume of BILLED (revenue-generating) water the HIGHEST, and what was that billed volume?","April, with 410.0 ML billed","March, with 384.0 ML billed","January, with 342.0 ML billed","February, with 315.0 ML billed","A","Step-by-Step Solution:
1. Understand that Billed Water = Total Production × (1 - NRW %):
2. Calculate billed water for each month:
   - January: 450 ML × (1 - 0.24) = 450 × 0.76 = 342.0 ML.
   - February: 420 ML × (1 - 0.25) = 420 × 0.75 = 315.0 ML.
   - March: 480 ML × (1 - 0.20) = 480 × 0.80 = 384.0 ML.
   - April: 500 ML × (1 - 0.18) = 500 × 0.82 = 410.0 ML.
3. Compare monthly billed volumes:
   - April (410.0 ML) > March (384.0 ML) > January (342.0 ML) > February (315.0 ML).
4. April had the highest billed water volume at 410.0 ML.

Common Trap: Selecting March because its NRW rate dropped to 20%, without recognizing that April had both higher gross production (500 ML) and an even lower NRW rate (18%).
Exam Tip: Compute the complement multiplier (1 - loss rate) times the base volume across all periods to identify the true maximum.","Correct. Survives elimination because April achieved the highest billed water volume at 500 ML × (1 - 0.18) = 500 × 0.82 = 410.0 ML.","Eliminated because March's billed water volume was 384.0 ML (480 × 0.80), which is 26.0 ML lower than April.","Eliminated because January's billed water volume was 342.0 ML (450 × 0.76), ranking third.","Eliminated because February's billed water volume was 315.0 ML (420 × 0.75), the lowest among the four months.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Combined charts | Very Difficult | Batch 120"
