"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article VIII, Section 1, paragraph 2 of the 1987 Constitution, how is 'EXPANDED JUDICIAL POWER' defined, creating an affirmative constitutional duty for courts to strike down arbitrary acts of other branches?","Judicial power includes the duty of the courts of justice to settle actual controversies involving rights which are legally demandable and enforceable, and to determine whether or not there has been a grave abuse of discretion amounting to lack or excess of jurisdiction on the part of any branch or instrumentality of the Government.","Judicial power grants the Supreme Court the authority to veto legislative bills before they are passed by Congress.","Judicial power empowers judges to initiate administrative investigations and arrest citizens without filed complaints.","Judicial power authorizes trial courts to draft annual municipal taxation ordinances.","A","Step-by-Step Solution:
1. Constitutional Text: Article VIII, Section 1 states:
 'The judicial power shall be vested in one Supreme Court and in such lower courts as may be established by law.
 Judicial power includes the duty of the courts of justice to settle actual controversies involving rights which are legally demandable and enforceable, and to determine whether or not there has been a grave abuse of discretion amounting to lack or excess of jurisdiction on the part of any branch or instrumentality of the Government.'
2. Two Facets of Judicial Power in the 1987 Constitution:
 - 1. Traditional Judicial Power: Settling actual controversies involving rights legally demandable and enforceable (resolving private/public disputes between parties).
 - 2. Expanded Judicial Power / Judicial Review (Francisco v. House of Representatives, 415 SCRA 44; Estrada v. Desierto):
 - The second clause was a major innovation of the 1987 Constitution designed to dismantle the 'Political Question Doctrine' that was used during authoritarian rule to shield executive abuses.
 - The courts now have an affirmative constitutional DUTY (not just discretion) to determine if any branch or instrumentality of government (including the President and Congress) acted with GRAVE ABUSE OF DISCRETION amounting to lack or excess of jurisdiction.
3. Option A is the verbatim constitutional definition.

Common Trap: Believing courts cannot review acts of Congress or the President under the political question doctrine; the expanded certiorari jurisdiction of Article VIII, Section 1 explicitly allows review of grave abuse of discretion by ANY branch.
Exam Tip: Expanded Judicial Power = Duty to check GRAVE ABUSE OF DISCRETION on the part of ANY branch or instrumentality of Government.","Correct. Survives elimination because Article VIII, Section 1 explicitly defines judicial power to include the duty to settle actual legal controversies and to check grave abuse of discretion amounting to lack or excess of jurisdiction by any governmental branch.","Eliminated because the Judiciary has no power to veto legislative bills; veto power belongs exclusively to the President under Article VI, Section 27.","Eliminated because judges do not conduct police investigations or execute warrantless arrests.","Eliminated because enacting tax ordinances is an exclusive legislative function of local sanggunian councils under Article X and the Local Government Code.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial Department | Very Difficult | Batch 132"
"What is the total membership of the SUPREME COURT OF THE PHILIPPINES under Article VIII, Section 4(1) of the 1987 Constitution, and how may the Court sit in resolving cases?","One Chief Justice and fourteen Associate Justices (15 total); the Court may sit en banc or in divisions of three, five, or seven Members.","One Chief Justice and twenty Associate Justices (21 total); the Court sits exclusively en banc.","One Chief Justice and nine Associate Justices (10 total); the Court sits in divisions of two Members only.","One Chief Justice and twelve Associate Justices (13 total); the Court sits in divisions of four Members.","A","Step-by-Step Solution:
1. Constitutional Text: Article VIII, Section 4(1):
 'The Supreme Court shall be composed of a Chief Justice and fourteen Associate Justices. It may sit en banc or in its discretion, in division of three, five, or seven Members. Any vacancy shall be filled within ninety days from the occurrence thereof.'
2. Membership Structure:
 - Chief Justice = 1
 - Associate Justices = 14
 - Total = 15 Justices.
3. Operating Formats:
 - En Banc (all 15 justices)
 - In Divisions: Currently 3 divisions of 5 members each (First, Second, Third Division), authorized by the Constitution to sit in divisions of 3, 5, or 7.
4. Option A is the verbatim constitutional specification.

Common Trap: Confusing the Supreme Court's composition (15 members: 1 CJ + 14 AJ) with the Commission on Elections (7 members) or Civil Service Commission (3 members).
Exam Tip: Supreme Court = 15 Justices (1 Chief Justice + 14 Associate Justices); sits En Banc or in Divisions of 3, 5, or 7.","Correct. Survives elimination because Article VIII, Section 4(1) explicitly establishes that the Supreme Court consists of 15 members (one Chief Justice and 14 Associate Justices) and may sit en banc or in divisions of 3, 5, or 7 members.","Eliminated because the Supreme Court has 15 members, not 21, and regularly sits in three divisions rather than exclusively en banc.","Eliminated because the Court contains 15 members (not 10), and divisions of two are not constitutionally permitted.","Eliminated because the Court contains 15 members, not 13.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial Department | Very Difficult | Batch 132"
"Under Article VIII, Section 7(1) of the 1987 Constitution, what are the constitutional qualifications for appointment as a MEMBER OF THE SUPREME COURT?","Natural-born citizen of the Philippines, at least forty years of age, for fifteen years or more a judge of a lower court or engaged in the practice of law in the Philippines, a person of proven competence, integrity, probity, and independence.","Natural-born citizen, at least thirty-five years of age, at least ten years in government legal service, and confirmed by the Commission on Appointments.","Naturalized citizen, at least forty-five years of age, former Dean of a law school, and approved by the Senate President.","Natural-born citizen, at least fifty years of age, with twenty years of judicial trial bench experience.","A","Step-by-Step Solution:
1. Constitutional Text: Article VIII, Section 7:
 - Paragraph (1): 'No person shall be appointed Member of the Supreme Court or any lower collegiate court unless he is a natural-born citizen of the Philippines. A Member of the Supreme Court must be at least forty years of age, and must have been for fifteen years or more a judge of a lower court or engaged in the practice of law in the Philippines.'
 - Paragraph (3): 'A Member of the Judiciary must be a person of proven competence, integrity, probity, and independence.'
2. Qualifications for SC Justice:
 - 1. Natural-born citizen of the Philippines
 - 2. At least 40 years of age
 - 3. For 15 years or more: a judge of a lower court OR engaged in the practice of law in the Philippines
 - 4. Proven competence, integrity, probity, and independence
3. Confirmation Rule: Appointed directly by the President from a list of nominees prepared by the Judicial and Bar Council (JBC); DOES NOT require confirmation by the Commission on Appointments (Article VIII, Section 9).
4. Option A is the complete, exact constitutional standard.

Common Trap: Believing Supreme Court appointments require confirmation by the Commission on Appointments; the 1987 Constitution abolished CA confirmation for judges and created the JBC.
Exam Tip: SC Justice qualifications: Natural-born + Age 40+ + 15+ years law practice/judge + Proven competence, integrity, probity, independence + JBC nomination (NO CA confirmation).","Correct. Survives elimination because Article VIII, Section 7 prescribes natural-born citizenship, minimum age of 40, at least 15 years of law practice or judicial service, and proven competence, integrity, probity, and independence.","Eliminated because the age requirement is 40 (not 35), law practice must be at least 15 years (not 10), and confirmation by the Commission on Appointments does not apply to the Judiciary.","Eliminated because naturalized citizens are disqualified (must be natural-born), and the Senate President does not confirm judicial appointments.","Eliminated because the minimum age is 40 (not 50) and practice of law qualifies without requiring 20 years on the trial bench.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial Department | Very Difficult | Batch 132"
"What is the composition and constitutional mandate of the JUDICIAL AND BAR COUNCIL (JBC) under Article VIII, Section 8 of the 1987 Constitution?","The JBC has the principal function of recommending appointees to the Judiciary, and is composed of the Chief Justice as ex officio Chairman, the Secretary of Justice and a representative of Congress as ex officio Members, a representative of the Integrated Bar, a professor of law, a retired Member of the Supreme Court, and a representative of the private sector.","The JBC is composed exclusively of the 15 Justices of the Supreme Court and decides criminal appeals from the Sandiganbayan.","The JBC consists of the President, Vice-President, Senate President, and House Speaker, and confirms cabinet secretaries.","The JBC is composed of 12 regional trial court judges elected by the Integrated Bar of the Philippines.","A","Step-by-Step Solution:
1. Constitutional Text: Article VIII, Section 8(1):
 'A Judicial and Bar Council is hereby created under the supervision of the Supreme Court composed of the Chief Justice as ex officio Chairman, the Secretary of Justice, and a representative of the Congress as ex officio Members, a representative of the Integrated Bar, a professor of law, a retired Member of the Supreme Court, and a representative of the private sector.'
2. Breakdown of JBC Membership:
 - Ex Officio Members (3):
 1. Chief Justice of the Supreme Court (Chairman)
 2. Secretary of Justice
 3. Representative of Congress (Chavez v. JBC: Congress has only ONE representative with ONE vote; Senate and House split the half-vote or alternate).
 - Regular Members (4) (appointed by the President with CA consent for 4-year staggered terms):
 4. Representative of the Integrated Bar of the Philippines (IBP)
 5. Professor of Law
 6. Retired Member of the Supreme Court
 7. Representative of the Private Sector
3. Constitutional Function: Screen applicants and prepare a shortlist of at least THREE (3) nominees for every judicial vacancy, from which the President MUST choose (Article VIII, Section 9).
4. Option A matches the constitutional structure and mandate verbatim.

Common Trap: Thinking the President can appo∫ a judge outside the JBC shortlist; the President CANNOT appo∫ anyone whose name is not on the JBC list of at least 3 nominees.
Exam Tip: JBC = 7 members (3 Ex Officio [CJ, SOJ, Congress Rep] + 4 Regular [IBP, Law Prof, Retired SC Justice, Private Sector]); prepares shortlist of >= 3 nominees per vacancy.","Correct. Survives elimination because Article VIII, Section 8 establishes the JBC under the supervision of the Supreme Court to recommend judicial appointees, composed of 3 ex officio members (CJ, SOJ, Congress rep) and 4 regular appointed members.","Eliminated because the JBC is a screening and nominating constitutional body, not an appellate court.","Eliminated because the Executive and Legislative heads do not compose the JBC, and the JBC does not confirm cabinet members.","Eliminated because JBC members are not selected via trial judge elections; regular members are appointed by the President with CA confirmation.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial Department | Very Difficult | Batch 132"
"In the landmark constitutional case of Chavez v. Judicial and Bar Council (G.R. No. 202242, July 17, 2012), what did the Supreme Court rule regarding the representation of CONGRESS in the JBC?","Congress is entitled to only ONE representative and ONE vote in the Judicial and Bar Council, as the singular term 'a representative of the Congress' in Section 8(1) does not permit dual representation for both the Senate and the House of Representatives.","Both the Senate and the House of Representatives are constitutionally entitled to one full, independent vote each in the JBC, making two congressional representatives.","Congress has no right to any representation in the JBC because judicial screening is an exclusively judicial function.","The Speaker of the House is the permanent sole representative of Congress in the JBC to the total exclusion of the Senate.","A","Step-by-Step Solution:
1. Landmark Case: Chavez v. Judicial and Bar Council (676 SCRA 579, 2012 & 2013), penned by Justice Jose Catral Mendoza.
2. Facts: For years, both the Chair of the Senate Committee on Justice and the Chair of the House Committee on Justice sat as separate members in the JBC, casting two separate votes, expanding the JBC to 8 members. Former Solicitor General Francisco Chavez challenged this practice as unconstitutional.
3. Supreme Court Ruling (En Banc):
 - 1. Verba legis analysis of Article VIII, Section 8(1): The Constitution uses the singular phrasing 'a representative of the Congress' and establishes a 7-member council.
 - 2. Allowing two representatives from Congress (1 Senator + 1 Congressman) with 1 full vote each violates the 7-member numerical balance of the JBC.
 - 3. Congress is entitled to only ONE representative and ONE cumulative vote in the JBC. The Senate and House may agree on who will sit, or alternate, or share a half-vote (0.5 vote each).
4. Option A is the precise legal holding of Chavez v. JBC.

Common Trap: Believing that because Congress is bicameral, it automatically gets two votes in the JBC; the Supreme Court explicitly ruled Congress gets only ONE vote.
Exam Tip: Chavez v. JBC = 'A representative of the Congress' means ONE representative with ONE vote, maintaining a 7-member Council.","Correct. Survives elimination because the Supreme Court in Chavez v. JBC ruled that Article VIII, Section 8(1) strictly limits congressional representation in the JBC to a single representative with one vote, precluding dual simultaneous voting.","Eliminated because the Supreme Court explicitly outlawed the practice of granting the Senate and House separate full votes in the JBC.","Eliminated because the Constitution explicitly includes a representative of Congress as an ex officio member of the JBC.","Eliminated because the Senate and House must share or alternate the single congressional seat; the Speaker is not the permanent exclusive member.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial Department | Very Difficult | Batch 132"
"Under Article VIII, Section 11 of the 1987 Constitution, what is the mandatory RETIREMENT AGE and constitutional tenure of Members of the Supreme Court and judges of lower courts?","They hold office during good behavior until they reach the age of seventy (70) years or become incapacitated to discharge the duties of their office.","They hold office for a fixed term of ten years, renewable once upon confirmation by the Senate.","They retire mandatorily at age sixty-five (65) years or upon completing twenty years on the bench.","They serve at the pleasure of the President and may be removed by executive administrative order at any time.","A","Step-by-Step Solution:
1. Constitutional Text: Article VIII, Section 11 states:
 'The Members of the Supreme Court and judges of lower courts shall hold office during good behavior until they reach the age of seventy years or become incapacitated to discharge the duties of their office. The Supreme Court en banc shall have the power to discipline judges of lower courts, or order their dismissal by a vote of a majority of the Members who actually took part in the deliberations on the issues in the case and voted thereon.'
2. Key Elements of Judicial Independence & Tenure:
 - 1. Security of Tenure: Hold office during good behavior (cannot be removed except via Impeachment for SC Justices, or disciplinary dismissal by SC En Banc for lower court judges).
 - 2. Mandatory Retirement Age: SEVENTY (70) YEARS OLD.
 - 3. Incapacity: Medical/physical disability preventing performance of duties.
3. Option A is the exact constitutional text.

Common Trap: Confusing the judicial retirement age (70 years) with the regular civil service retirement age (65 years).
Exam Tip: Judicial Department (Justices and Judges) mandatory retirement age = SEVENTY (70) YEARS OLD.","Correct. Survives elimination because Article VIII, Section 11 provides that Supreme Court Justices and lower court judges enjoy security of tenure during good behavior until reaching the mandatory retirement age of 70 years or becoming incapacitated.","Eliminated because judges do not serve fixed renewable 10-year terms; they hold permanent constitutional tenure until age 70.","Eliminated because age 65 is the mandatory retirement age for regular civil service personnel, whereas the Judiciary has a constitutionally specified retirement age of 70.","Eliminated because judges do not serve at the pleasure of the Executive, and can only be removed through impeachment (for SC) or Supreme Court disciplinary proceedings (for lower courts).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial Department | Very Difficult | Batch 132"
"Under Article VIII, Section 3 of the 1987 Constitution, what is the constitutional guarantee of FISCAL AUTONOMY accorded to the Judiciary?","Appropriations for the Judiciary may not be reduced by the legislature below the amount appropriated for the previous year and, after approval, shall be automatically and regularly released.","The Supreme Court can unilaterally levy national sales taxes to fund court construction projects.","The Judiciary's budget is determined exclusively by the Department of Budget and Management without congressional review.","The Chief Justice possesses unrestricted power to realign public funds from the executive branch to judicial salaries.","A","Step-by-Step Solution:
1. Constitutional Text: Article VIII, Section 3:
 'The Judiciary shall enjoy fiscal autonomy. Appropriations for the Judiciary may not be reduced by the legislature below the amount appropriated for the previous year and, after approval, shall be automatically and regularly released.'
2. Two Constitutional Protections of Fiscal Autonomy (Bengzon v. Drilon, 208 SCRA 133; Radiowealth v. Agregado):
 - 1. Non-Diminution of Budget: Congress cannot reduce the Judiciary's annual appropriation below the amount appropriated in the immediately preceding fiscal year.
 - 2. Automatic and Regular Release: Once the GAA is enacted, the DBM/Executive cannot withhold, impose conditions, or delay the release of judicial funds; release is automatic and regular.
3. Option A verbatim captures the twin guarantees of Section 3.

Common Trap: Believing fiscal autonomy gives the courts the power to levy taxes or seize executive funds; it protects the Judiciary's approved budget from reduction and executive withholding.
Exam Tip: Fiscal Autonomy = (1) Appropriations cannot be reduced below previous year's budget, and (2) Automatic and regular release of funds.","Correct. Survives elimination because Article VIII, Section 3 expressly guarantees judicial fiscal autonomy by barring Congress from reducing judicial appropriations below the prior year's level and commanding the automatic, regular release of approved funds.","Eliminated because the Judiciary has no taxation power; taxation is an inherently legislative power under Article VI.","Eliminated because the Judiciary's budget is submitted to and enacted by Congress, not unilaterally dictated by the DBM.","Eliminated because cross-branch fund realignments are strictly prohibited under Article VI, Section 25(5) and Araullo v. Aquino (DAP ruling).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial Department | Very Difficult | Batch 132"
"Under Article VIII, Section 5(5) of the 1987 Constitution, what is the EXCLUSIVE constitutional power of the Supreme Court regarding the RULES OF PROCEDURE and ADMISSION TO THE BAR, as affirmed in Echegaray v. Secretary of Justice?","The Supreme Court has the exclusive power to promulgate rules concerning the protection and enforcement of constitutional rights, pleading, practice, and procedure in all courts, and the admission to the practice of law and the Integrated Bar; Congress can no longer repeal, alter, or supplement these rules.","Congress shares equal concurrent authority with the Supreme Court to amend procedural court rules and bar admission standards.","The Secretary of Justice possesses the exclusive power to admit lawyers to the Philippine Bar.","Local trial courts have the autonomous power to draft their own independent rules of criminal procedure without Supreme Court approval.","A","Step-by-Step Solution:
1. Constitutional Text: Article VIII, Section 5(5):
 - The Supreme Court shall have the power to: 'Promulgate rules concerning the protection and enforcement of constitutional rights, pleading, practice, and procedure in all courts, the admission to the practice of law, the Integrated Bar, and legal assistance to the underprivileged...'
2. Landmark Case: Echegaray v. Secretary of Justice (G.R. No. 132601, January 19, 1999):
 - Historical Evolution: Under the 1935 and 1973 Constitutions, Congress had the power to 'repeal, alter, or supplement' the procedural rules promulgated by the Supreme Court.
 - In the 1987 Constitution, the phrase allowing Congress to repeal or alter court rules was INTENTIONALLY DELETED.
 - Supreme Court Ruling: The power to promulgate rules of pleading, practice, procedure, and admission to the bar is now EXCLUSIVE TO THE SUPREME COURT. Congress has no power to amend, repeal, or modify procedural rules (e.g., rules on stays of execution, writs of amparo/habeas data).
3. Option A accurately states the exclusive nature of the Court's rule-making power.

Common Trap: Assuming Congress can still pass laws altering judicial procedural rules; under the 1987 charter, the Supreme Court's rule-making power is EXCLUSIVE.
Exam Tip: Echegaray v. Secretary of Justice = Supreme Court's rule-making power (procedure + bar admission) is EXCLUSIVE and independent of legislative interference.","Correct. Survives elimination because Echegaray v. Secretary of Justice established that under Article VIII, Section 5(5), the 1987 Constitution made the Supreme Court's rule-making power over court procedure and bar admission exclusive, deleting Congress's prior authority to alter procedural rules.","Eliminated because the 1987 Constitution eliminated congressional concurrent power to repeal or supplement judicial procedural rules.","Eliminated because the admission to the practice of law is the exclusive constitutional prerogative of the Supreme Court, not the Department of Justice.","Eliminated because lower courts must follow the uniform Rules of Court promulgated by the Supreme Court En Banc.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial Department | Very Difficult | Batch 132"
"Under Article VIII, Section 4(2) of the 1987 Constitution, which types of cases must ALWAYS be heard and decided by the Supreme Court EN BANC?","All cases involving the constitutionality of a treaty, international or executive agreement, or law; and all cases heard by a division where the required majority is not obtained.","All simple civil collection disputes involving sums under PHP 100,000.","All traffic violation appeals originating from municipal trial courts.","All private labor union certification election disputes.","A","Step-by-Step Solution:
1. Constitutional Text: Article VIII, Section 4(2) states:
 'All cases involving the constitutionality of a treaty, international or executive agreement, or law, which shall be heard by the Supreme Court en banc, and all other cases which under the Rules of Court are required to be heard en banc, including those involving the constitutionality, application, or operation of presidential decrees, proclamations, orders, instructions, ordinances, and other regulations, shall be decided with the concurrence of a majority of the Members who actually took part in the deliberations on the issues in the case and voted thereon.'
2. Key Cases Requiring En Banc Hearing/Decision:
 - 1. Constitutionality of a treaty, international/executive agreement, or law.
 - 2. Constitutionality, application, or operation of presidential decrees, proclamations, orders, instructions, ordinances, and regulations.
 - 3. Cases where a division of the Supreme Court fails to obtain the required majority vote.
 - 4. Modifying or reversing a doctrine or principle of law laid down by the Court sitting en banc or in division (Article VIII, Section 4[3] - no doctrine can be overturned except by the Court en banc).
 - 5. Dismissal of lower court judges (Article VIII, Section 11).
3. Option A is the exact constitutional list.

Common Trap: Believing a division of the Supreme Court can declare a statute unconstitutional; declaring a treaty or statute unconstitutional requires the Supreme Court sitting EN BANC.
Exam Tip: En Banc required for: Constitutionality of treaties/laws/executive acts + Overturning established court doctrines + Dismissing judges.","Correct. Survives elimination because Article VIII, Section 4(2) specifically mandates that all cases challenging the constitutionality of a treaty, international agreement, or statute must be heard and decided by the Supreme Court sitting en banc.","Eliminated because small civil claims are handled by first-level trial courts and never require Supreme Court en banc deliberations.","Eliminated because traffic appeals do not reach the Supreme Court en banc.","Eliminated because labor certification disputes fall under the Department of Labor and the Court of Appeals before any discretionary review by an SC division.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial Department | Very Difficult | Batch 132"
"In the historic ruling of Francisco v. House of Representatives (G.R. No. 160261, November 10, 2003), what essential REQUISITES OF JUDICIAL REVIEW were reaffirmed for a court to pass upon the constitutionality of an official act?","(1) Actual case or controversy, (2) Locus standi (proper legal standing of the party raising the challenge), (3) Constitutional question raised at the earliest opportunity, and (4) The constitutional issue is the lis mota of the case.","(1) Signed approval of the President, (2) Endorsement by the Ombudsman, (3) Payment of a bond, and (4) Unanimous consent of the Senate.","(1) Ongoing state of martial law, (2) Filing before the International Court of Justice, (3) Support by a registered political party, and (4) Absence of opposing counsel.","(1) Advisory request by Congress, (2) Absence of concrete injuries, (3) Direct executive clearance, and (4) Media publication.","A","Step-by-Step Solution:
1. Foundational Jurisprudence: Francisco v. House of Representatives (415 SCRA 44, 2003; Southern Hemisphere Engagement Network v. Anti-Terrorism Council):
2. The Four Essential Requisites for the Exercise of Judicial Review:
 - 1. ACTUAL CASE OR CONTROVERSY: An existing conflict of legal rights and duties involving real, concrete injuries susceptible of judicial determination (no moot, academic, or hypothetical questions).
 - 2. LOCUS STANDI (Legal Standing): The petitioner must have a personal and substantial interest in the case such that they have sustained or will sustain direct injury as a result of the governmental act (subject to liberalized standing for matters of transcendental importance).
 - 3. RAISED AT THE EARLIEST OPPORTUNITY: The constitutional question must be pleaded at the earliest possible stage in the pleadings.
 - 4. LIS MOTA (The Cause of the Suit): The constitutional question must be unavoidable and indispensable to the determination of the case itself (if the case can be resolved on statutory or other grounds, the court will avoid passing upon the constitutional issue).
3. Option A is the classic, verbatim four-part test of Judicial Review.

Common Trap: Believing courts can render 'advisory opinions' on hypothetical laws; Philippine courts strictly require an ACTUAL CASE OR CONTROVERSY with real contending parties.
Exam Tip: Four Requisites of Judicial Review: (1) Actual case/controversy, (2) Locus standi, (3) Earliest opportunity, (4) Lis mota.","Correct. Survives elimination because Francisco v. House of Representatives reaffirmed the four mandatory prerequisites for judicial review: an actual case or controversy, locus standi, raising the question at the earliest opportunity, and lis mota.","Eliminated because presidential approval, Ombudsman endorsement, and Senate consent are not requisites for judicial review.","Eliminated because martial law and international filings are not procedural prerequisites for domestic constitutional review.","Eliminated because Philippine courts cannot issue advisory opinions on abstract or hypothetical questions; a real controversy with concrete injury is indispensable.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial Department | Very Difficult | Batch 132"
