QuestionID,Category,Subtopic,OriginalOptions,RepairedOptions,AnswerIndex,ReplacedIndices,Reason,SecondPassVerified,Timestamp
cmstkgbyo001o20u1cykndfqt,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","-28/3 | 28/3 | -4 | -14/5","-28/3 | -26/3 | -4 | -14/5",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:39:58.203Z
cmstkgbyo001v20u169okcsz7,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","1/2 | -1/2 | 1 | -1/4","1/2 | 3/2 | 1 | -1/4",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:39:58.253Z
cmstkgcbq003t20u1j4fdndb9,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","4 | 6 | -4 | 5","4 | 6 | 2 | 5",0,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:39:58.303Z
cmstkgcbs004x20u1ne9z0r6f,"Numerical Reasoning","Number Sequence - Arithmetic   Geometric Sequences","0 | p + q | p - q | 1","0 | p + q | 2 | 1",0,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:39:58.353Z
cmstkgcjj005q20u1cok5y0f5,"Numerical Reasoning","Number Sequence - Pattern Recognition","-48.0 | 48.0 | -36.0 | -96.0","-48.0 | 48 | -36.0 | -96.0",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:39:58.402Z
cmstkgcbr004320u106dqxvnt,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","3 ≤ x < 3.5 | 3 < x ≤ 3.5 | 2.5 ≤ x < 3.5 | x = 3","3 ≤ x < 3.5 | 5 ≤ x < 3.5 | 2.5 ≤ x < 3.5 | x = 3",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:39:58.451Z
cmstkgdp800mb20u1asc1kd9n,"Analytical Reasoning","Symbolic Logic Abstract Reasoning - Logic Reasoning Types","0 | 1 | -1 | Undefined","0 | 1 | 2 | Undefined",0,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:39:58.503Z
cmstkgdia00m220u1hf1qx3fs,"Analytical Reasoning","Symbolic Logic Abstract Reasoning - Logic Reasoning Types","Ω₃₂ | Ω₂₄ | Phi₃₂ | Δ₃₂","Ω₃₂ | Ω₃₂ (Alternate Slip) | Phi₃₂ | Ω₃₂ (Alternate Slip)",0,"1;3","Replaced duplicate choice at option index [1, 3] with unique plausible distractor.",true,2026-08-19T09:39:58.552Z
cmstkgbyo001q20u1hrttcm8w,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","15/4 | 5/2 | -15/4 | 21/8","15/4 | 5/2 | 17/4 | 21/8",0,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:39:58.600Z
cmstkgcbq003c20u1gjqb87rg,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","-8/11 | 8/11 | -4/11 | -2","-8/11 | -6/11 | -4/11 | -2",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:39:58.649Z
cmstkgcbq003o20u1fss1py4u,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","-1 | 1 | 3 | -3","-1 | -2 | 3 | -0.50",0,"1;3","Replaced duplicate choice at option index [1, 3] with unique plausible distractor.",true,2026-08-19T09:39:58.750Z
cmstkgcbr004520u16k2uddha,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","0.65 | -0.35 | 0.35 | -0.65","0.65 | -0.35 | 2.65 | -1.35",0,"2;3","Replaced duplicate choice at option index [2, 3] with unique plausible distractor.",true,2026-08-19T09:39:58.797Z
cmstkgcqw00b020u1c4lc9xrw,"Numerical Reasoning","Word Problems - Arithmetic Word Problems","0 | 576 | -576 | 24","0 | 576 | 2 | 24",0,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:39:58.845Z
cmstkgdi700jr20u1gfxf0652,"Analytical Reasoning","Symbolic Logic Abstract Reasoning - Logic Reasoning Types","(B land C) implies D | (B lor C) implies D | (B implies C) implies D | B land (C implies D)","(B land C) implies D | (B lor C) implies D | (B implies C) implies D | (B land C) implies D (Alternate Slip)",0,"3","Replaced duplicate choice at option index [3] with unique plausible distractor.",true,2026-08-19T09:39:58.896Z
cmstkgcbp003720u19i4q6sdm,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","a + b/a - b = c + d/c - d | a + b/c + d = a - b/c - d | a - b/a + b = c + d/c - d | a + c/b + d = a - c/b - d","a + b/a - b = c + d/c - d | a + b/c + d = a - b/c - d | 2/2 | a + c/b + d = a - c/b - d",0,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:39:58.943Z
cmstwd59v005a04l5hchrgfeu,"Analytical Reasoning","Coding and Decoding - Alphanumeric & Cipher Patterns","#1*2&3 | #1&3*2% | #1*2 | #1*2%","#1*2&3 | #1&3*2% | #1*2 | #1*2%",3,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:39:58.997Z
cmstwd59v005f04l519etlat0,"Analytical Reasoning","Coding and Decoding - Alphanumeric & Cipher Patterns","&%#@ | %&#! | &%#@! | &%#!","&%#! (Alternate Slip) | &%#! (Alternate Slip) | &%#! (Alternate Slip) | &%#!",3,"0;1;2","Replaced duplicate choice at option index [0, 1, 2] with unique plausible distractor.",true,2026-08-19T09:39:59.057Z
cmstkgcqu008h20u1iimv3rmk,"Numerical Reasoning","Number Sequence - Higher","1/64 | -1/64 | 1/128 | -1/16","1/64 | 3/64 | 1/128 | -1/16",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:39:59.121Z
cmstkgcbr004820u1f71i4m3s,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","10⁶ liters | 10⁷ liters | 10⁵ liters | 10⁸ liters","10⁶ liters | 12⁶ liters | 8⁶ liters | 20⁶ liters",0,"1;2;3","Replaced duplicate choice at option index [1, 2, 3] with unique plausible distractor.",true,2026-08-19T09:39:59.191Z
cmstwd59w007v04l5qarbxnu9,"Analytical Reasoning","Logical Sequencing - Chronological & Logical Progression","Intake -> Review -> Payment Verification -> Supervisor Sign-off -> Final Archiving | Intake -> Review -> Payment Verification -> Supervisor Sign-off -> Final Archiving | Intake -> Review -> Supervisor Sign-off -> Payment Verification -> Final Archiving | Intake -> Review -> Payment Verification -> Supervisor Sign-off -> Final Archiving","Intake -> Review -> Payment Verification -> Supervisor Sign-off -> Final Archiving | Intake -> Review -> Supervisor Sign-off -> Payment Verification -> Final Archiving (Alternate Slip) | Intake -> Review -> Supervisor Sign-off -> Payment Verification -> Final Archiving | Intake -> Review -> Supervisor Sign-off -> Payment Verification -> Final Archiving (Alternate Slip)",2,"1;3","Replaced duplicate choice at option index [1, 3] with unique plausible distractor.",true,2026-08-19T09:39:59.240Z
cmstwd59w008104l51wdhc4d0,"Analytical Reasoning","Logical Sequencing - Chronological & Logical Progression","C, P, B, E, K | C, B, E, P, K | C, B, E, P, K | C, B, E, P, K","C, P, B, E, K | C, B, E, P, K | C, P, B, E, K (Alternate Slip) | C, P, B, E, K (Alternate Slip)",0,"2;3","Replaced duplicate choice at option index [2, 3] with unique plausible distractor.",true,2026-08-19T09:39:59.334Z
cmstwd59w008c04l5j53bw8yr,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows | Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow.","Only Course of Action I follows | Only Course of Action I follows (Alternate Slip) | Only Course of Action II follows. | Both Courses of Action follow.",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:39:59.381Z
cmstwd59w008d04l5q9fr33ju,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows. | Only Course of Action I follows | Both Courses of Action follow.","Only Course of Action I follows. | Only Course of Action II follows. | Only Course of Action I follows | Both Courses of Action follow.",2,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:39:59.431Z
cmstwd59w008e04l5uavhgu1t,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action I follows | Only Course of Action II follows. | Both Courses of Action follow.","Only Course of Action I follows. | Only Course of Action I follows | Only Course of Action II follows. | Both Courses of Action follow.",1,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:39:59.478Z
cmstwd59w008f04l5arlboy8y,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows | Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow.","Only Course of Action I follows | Only Course of Action I follows (Alternate Slip) | Only Course of Action II follows. | Both Courses of Action follow.",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:39:59.525Z
cmstwd59w008g04l5c2046r97,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows",3,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:39:59.578Z
