"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article VI, Section 3 of the 1987 Constitution, what are the constitutional qualifications to be elected as a SENATOR of the Philippines?","Natural-born citizen of the Philippines, at least 35 years of age on the day of the election, able to read and write, a registered voter, and a resident of the Philippines for not less than two years immediately preceding the day of the election.","Natural-born citizen, at least 40 years of age on the day of the election, holder of a college degree, and a resident for at least ten years.","Citizen of the Philippines by naturalization or birth, at least 30 years of age, and a resident of a specific legislative district for one year.","Natural-born citizen, at least 25 years of age, able to speak Filipino and English, and a registered voter for five years.","A","Step-by-Step Solution:
1. Constitutional Text: Article VI, Section 3:
   'No person shall be a Senator unless he is a natural-born citizen of the Philippines, and, on the day of the election, is at least thirty-five years of age, able to read and write, a registered voter, and a resident of the Philippines for not less than two years immediately preceding the day of the election.'
2. Breakdown of Senator Qualifications:
   - 1. Natural-born citizen
   - 2. At least 35 years of age on election day
   - 3. Able to read and write (basic literacy)
   - 4. Registered voter
   - 5. Resident of the Philippines for at least 2 years immediately preceding election day
   - (Note: Senators are elected at large by qualified voters across the entire nation; Article VI, Section 2).
3. Option A matches the constitutional text verbatim.

Common Trap: Confusing Senator qualifications (age 35, 2 years PH residency) with President/VP (age 40, 10 years residency) or House of Representatives (age 25, 1 year district residency).
Exam Tip: Senator = 35 years old on election day + 2 years national residency.","Correct. Survives elimination because Article VI, Section 3 explicitly requires a Senator to be a natural-born citizen, at least 35 years old on election day, able to read and write, a registered voter, and a Philippine resident for at least two years prior to the election.","Eliminated because age 40 and 10 years of residency are the constitutional qualifications for President and Vice-President (Article VII, Section 2).","Eliminated because Senators must be natural-born (not naturalized), at least 35 years old, and are elected nationally rather than by legislative district.","Eliminated because age 25 is the qualification for the House of Representatives (Article VI, Section 6).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Legislative Department | Very Difficult | Batch 130"
"What is the maximum number of CONSECUTIVE TERMS a member of the Senate and a member of the House of Representatives may serve under Article VI, Sections 4 and 7 of the 1987 Constitution?","Senators: Maximum of 2 consecutive terms (total 12 consecutive years); House of Representatives: Maximum of 3 consecutive terms (total 9 consecutive years).","Senators: Maximum of 3 consecutive terms (total 18 years); House of Representatives: Maximum of 2 consecutive terms (total 6 years).","Senators: Unlimited consecutive terms; House of Representatives: Maximum of 3 consecutive terms.","Senators: 1 term only (6 years); House of Representatives: 2 terms only (6 years).","A","Step-by-Step Solution:
1. Constitutional Text:
   - Article VI, Section 4 (Senate): 'The term of office of the Senators shall be six years... No Senator shall serve for more than two consecutive terms. Voluntary renunciation of the office for any length of time shall not be considered as an interruption in the continuity of his service for the full term for which he was elected.'
   - Article VI, Section 7 (House of Representatives): 'The Members of the House of Representatives shall be elected for a term of three years... No Member of the House of Representatives shall serve for more than three consecutive terms. Voluntary renunciation of the office for any length of time shall not be considered as an interruption in the continuity of his service for the full term for which he was elected.'
2. Consecutive Term Limits:
   - Senators: 6 years per term × 2 consecutive terms = 12 consecutive years maximum.
   - Representatives: 3 years per term × 3 consecutive terms = 9 consecutive years maximum.
3. Option A is the exact constitutional rule.

Common Trap: Confusing total term lengths with consecutive term limits; Senators have 6-year terms (max 2 terms), Representatives have 3-year terms (max 3 terms).
Exam Tip: Senate = 6-year term, max 2 consecutive terms; House = 3-year term, max 3 consecutive terms.","Correct. Survives elimination because Article VI, Sections 4 and 7 strictly limit Senators to two consecutive 6-year terms (12 years max) and Members of the House to three consecutive 3-year terms (9 years max).","Eliminated because Senators cannot serve three consecutive terms (capped at 2), and Representatives are capped at three terms (not 2).","Eliminated because the 1987 Constitution expressly abolished unlimited legislative terms.","Eliminated because Senators can serve two consecutive terms, and Representatives can serve three terms.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Legislative Department | Very Difficult | Batch 130"
"Under Article VI, Section 11 of the 1987 Constitution, what are the exact scope and limitations of a Senator or Representative's PARLIAMENTARY IMMUNITY FROM ARREST?","Immunity from arrest applies in all offenses punishable by not more than six years imprisonment, while Congress is in session, but does not shield the member from prosecution or arrest for offenses with penalties exceeding six years.","Immunity from arrest provides total, lifetime exemption from all criminal indictments including treason and murder.","Immunity from arrest applies only during the thirty-day mandatory congressional recess.","Immunity from arrest protects members exclusively from civil lawsuits while allowing warrantless arrests for minor traffic infractions.","A","Step-by-Step Solution:
1. Constitutional Text: Article VI, Section 11 states:
   'A Senator or Member of the House of Representatives shall, in all offenses punishable by not more than six years imprisonment, be privileged from arrest while the Congress is in session. No Member shall be questioned nor be held liable in any other place for any speech or debate in the Congress or in any committee thereof.'
2. Two Separate Parliamentary Privileges in Section 11:
   - 1. Parliamentary Immunity from Arrest (People v. Jalosjos, Martinez v. Morfe):
     - Applies ONLY when Congress is 'in session' (regular or special session).
     - Covers ONLY offenses punishable by NOT MORE THAN SIX (6) YEARS imprisonment (prision correccional or lower).
     - If the penalty exceeds 6 years (e.g., murder, rape, graft, treason), the member can be arrested and detained even while Congress is in session (People v. Jalosjos, 324 SCRA 689).
   - 2. Parliamentary Freedom of Speech and Debate (Osmeña v. Pendatun):
     - No member shall be questioned in any other place (courts/administrative bodies) for speech/debate made in Congress or its committees.
3. Option A accurately states the 6-year penalty threshold and 'in session' requirement.

Common Trap: Thinking parliamentary immunity shields a legislator from arrest for serious crimes like graft or homicide; offenses with penalties > 6 years carry NO immunity from arrest.
Exam Tip: Immunity from arrest = Offense punishable by <= 6 years + Congress must be IN SESSION.","Correct. Survives elimination because Article VI, Section 11 provides immunity from arrest only for offenses punishable by not more than six years imprisonment while Congress is in session (People v. Jalosjos).","Eliminated because parliamentary immunity never shields legislators from serious crimes punishable by over six years imprisonment (e.g., murder, treason).","Eliminated because immunity from arrest applies while Congress is in session, not during recesses.","Eliminated because the privilege explicitly pertains to criminal arrests for minor offenses (<= 6 years), not civil immunity.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Legislative Department | Very Difficult | Batch 130"
"Under Article VI, Section 24 of the 1987 Constitution, which specific types of legislative bills must ORIGINATE EXCLUSIVELY in the House of Representatives?","All appropriation, revenue or tariff bills, bills authorizing increase of the public debt, bills of local application, and private bills.","All bills declaring a state of national emergency or ratifying international treaties.","All bills creating specialized appellate courts and amending judicial procedural rules.","All bills proposing constitutional amendments and presidential impeachment complaints.","A","Step-by-Step Solution:
1. Constitutional Text: Article VI, Section 24 states:
   'All appropriation, revenue or tariff bills, bills authorizing increase of the public debt, bills of local application, and private bills shall originate exclusively in the House of Representatives, but the Senate may propose or concur with amendments.'
2. The Six Exclusively Originating Bills (Tolentino v. Secretary of Finance, 235 SCRA 630):
   - 1. Appropriation bills (e.g., General Appropriations Act / National Budget)
   - 2. Revenue bills (tax measures, e.g., TRAIN Law, CREATE Act)
   - 3. Tariff bills (customs duties and import levies)
   - 4. Bills authorizing increase of the public debt (bond issuances, national borrowing limits)
   - 5. Bills of local application (creating/converting provinces, cities, municipalities)
   - 6. Private bills (granting citizenship by legislative act, corporate franchises)
3. Crucial Jurisprudential Rule (Tolentino v. Secretary of Finance):
   - It is the BILL (the legislative initiative), not the final enacted statute, that must originate in the House.
   - Once the House passes the bill and transmits it to the Senate, the Senate can amend it completely, even substituting the entire text with a Senate substitute bill.
4. Option A is the verbatim constitutional list of Section 24 bills.

Common Trap: Believing the Senate cannot introduce amendments to tax or budget bills; the Senate cannot originate the bill, but it has full power to propose amendments or substitute the entire text once the House bill is received.
Exam Tip: Memorize the 6 House-originated bills: Appropriation, Revenue, Tariff, Public Debt, Local Application, Private Bills.","Correct. Survives elimination because Article VI, Section 24 explicitly enumerates appropriation, revenue, tariff, public debt, local application, and private bills as those that must originate exclusively in the House of Representatives.","Eliminated because treaty ratification is the exclusive constitutional prerogative of the Senate (Article VII, Section 21).","Eliminated because bills creating lower courts can originate in either the Senate or the House.","Eliminated because constitutional amendments can be proposed by either House or both acting as a Constituent Assembly (Article XVII, Section 1).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Legislative Department | Very Difficult | Batch 130"
"Under Article VI, Section 27(1) of the 1987 Constitution, what occurs when the President fails to act on a bill passed by Congress within THIRTY (30) DAYS after the date of receipt?","The bill becomes a law in like manner as if the President had signed it (pocket approval / default enactment).","The bill is deemed vetoed (pocket veto) and dies automatically.","The bill is returned to Congress for a mandatory second round of three readings.","The Supreme Court must review the bill to determine if it can take effect.","A","Step-by-Step Solution:
1. Constitutional Text: Article VI, Section 27(1), last sentence:
   'The President shall communicate his veto of any bill to the House where it originated within thirty days after the date of receipt thereof; otherwise, it shall become a law as if he had signed it.'
2. Key Constitutional Rules on Presidential Action:
   - When a bill is enrolled and presented to the President, the President has 3 options:
     1. Sign and approve the bill -> becomes law.
     2. Veto the bill and return it with objections to the House of origin -> requires 2/3 vote of all members of each House to override.
     3. Do nothing / Inaction for 30 days -> THE BILL AUTOMATICALLY BECOMES LAW (no 'pocket veto' in Philippine constitutional law).
3. Contrast with US Law:
   - In the US, presidential inaction while Congress is adjourned causes a 'pocket veto' (bill dies).
   - In the Philippines, the 'pocket veto' does NOT exist; inaction for 30 days ALWAYS results in the bill becoming law.
4. Option A is the precise constitutional rule.

Common Trap: Assuming the Philippine Constitution has a 'pocket veto' like the US; in the Philippines, presidential inaction for 30 days means AUTOMATIC APPROVAL.
Exam Tip: 30 days of presidential inaction = The bill BECOMES LAW as if signed (No Pocket Veto in PH).","Correct. Survives elimination because under Article VI, Section 27(1), if the President fails to communicate a veto within 30 days from receipt, the bill automatically becomes law as if signed, precluding any pocket veto.","Eliminated because the doctrine of 'pocket veto' does not exist under the 1987 Philippine Constitution; presidential silence for 30 days enacts the bill into law.","Eliminated because the bill is not sent back to Congress for re-deliberation; it has already passed both Houses and becomes law.","Eliminated because presidential inaction does not trigger mandatory judicial review by the Supreme Court.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Legislative Department | Very Difficult | Batch 130"
"In the landmark ruling of Belgica v. Ochoa (G.R. No. 208566, November 19, 2013), what was the Supreme Court's basis for declaring the Priority Development Assistance Fund (PDAF / 'Pork Barrel System') UNCONSTITUTIONAL?","It violated the principle of Separation of Powers and Non-Delegation of Legislative Power by granting individual legislators post-enactment authority to identify, realign, and execute projects funded by the budget.","It violated the Constitution because Congress has no power to pass annual national appropriations.","It was unconstitutional solely because the President refused to sign the General Appropriations Act.","It was invalid because local infrastructure projects can only be funded through foreign loans.","A","Step-by-Step Solution:
1. Landmark Case: Belgica v. Ochoa (710 SCRA 1, 2013), penned by Justice Estela Perlas-Bernabe.
2. Core Legal Issues & Holdings:
   - 1. Post-Enactment Legislative Intervention: Once the General Appropriations Act is passed into law, the legislative function is COMPLETE. The enforcement and execution of the budget is the EXCLUSIVE constitutional domain of the Executive branch under Article VII.
   - 2. Separation of Powers: Allowing individual legislators to intervene, identify projects, recommend contractors, or release funds post-enactment violates Separation of Powers.
   - 3. Non-Delegability of Legislative Power: Legislative power is collegial (wielded by Congress as a whole); delegating appropriation power to individual members is void.
   - 4. Subversion of Presidential Veto: Lump-sum funds deny the President the constitutional line-item veto under Article VI, Section 27(2).
3. Option A accurately states the primary constitutional grounds.

Common Trap: Believing legislators are legally allowed to manage project implementation in their districts; Belgica strictly drew the line: lawmakers make laws/budgets, but CANNOT execute them.
Exam Tip: Belgica v. Ochoa = PDAF / Post-enactment legislative project identification violates SEPARATION OF POWERS.","Correct. Survives elimination because Belgica v. Ochoa struck down the PDAF for violating separation of powers, ruling that once the budget is enacted, legislators cannot exercise executive project identification or fund realignment powers.","Eliminated because Congress holds plenary constitutional power of the purse under Article VI to enact the national budget.","Eliminated because the President had signed the GAA; the challenge was to the post-enactment mechanisms embedded in the law.","Eliminated because domestic tax revenues routinely fund local infrastructure projects.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Legislative Department | Very Difficult | Batch 130"
"Under Article VI, Section 27(2) of the 1987 Constitution, what is the scope of the President's LINE-ITEM VETO power (item veto)?","The President has the power to veto any particular item or items in an appropriation, revenue, or tariff bill, but the veto shall not affect the item or items to which he does not object.","The President can selectively veto individual words, sentences, or paragraphs in any general penal or civil statute.","The President possesses line-item veto authority over all bills passed by Congress without exception.","The President can only exercise a line-item veto if both the Senate President and House Speaker give prior written concurrence.","A","Step-by-Step Solution:
1. Constitutional Text: Article VI, Section 27(2) states:
   'The President shall have the power to veto any particular item or items in an appropriation, revenue, or tariff bill, but the veto shall not affect the item or items to which he does not object.'
2. General Veto vs. Item Veto (Gonzales v. Macaraig, 191 SCRA 452; Belgica v. Ochoa, 2013):
   - General Rule: In ordinary legislation (e.g., civil, criminal, regulatory bills), the President must approve or veto the bill AS A WHOLE (cannot cherry-pick sentences or sections).
   - Exception (Item Veto): In THREE specific types of bills:
     1. Appropriation bills
     2. Revenue bills
     3. Tariff bills
     The President can veto SPECIFIC ITEMS without vetoing the entire bill.
   - Meaning of 'Item': An indivisible sum of money dedicated to a specific purpose; the President cannot veto conditions attached to an item while keeping the funding, unless the condition itself is an unconstitutional 'rider' (Bolinao Electronics v. Valencia).
3. Option A verbatim captures the constitutional rule and limitation.

Common Trap: Believing the President can line-item veto any regular bill; the item veto applies EXCLUSIVELY to Appropriation, Revenue, and Tariff bills.
Exam Tip: Line-Item Veto applies ONLY to ART bills: Appropriation, Revenue, Tariff.","Correct. Survives elimination because Article VI, Section 27(2) limits the presidential line-item veto specifically to appropriation, revenue, and tariff bills, allowing selective disapproval of individual items while signing the remainder into law.","Eliminated because the President cannot line-item veto general non-financial legislation (ordinary bills must be approved or vetoed as an indivisible whole).","Eliminated because general bills are subject to the all-or-nothing general veto under Section 27(1).","Eliminated because the line-item veto is a unilateral constitutional power of the Executive and does not require legislative consent.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Legislative Department | Very Difficult | Batch 130"
"Under Article VI, Section 17 of the 1987 Constitution, what is the composition and jurisdictional mandate of the SENATE ELECTORAL TRIBUNAL (SET) and the HOUSE OF REPRESENTATIVES ELECTORAL TRIBUNAL (HRET)?","Nine members each (3 Supreme Court Justices designated by the Chief Justice + 6 Members of the respective House chosen on proportional party representation); they are the sole judges of all contests relating to the election, returns, and qualifications of their respective members.","Twelve members each, composed exclusively of senior trial court judges appointed by the Judicial and Bar Council.","Fifteen members each, composed exclusively of the ranking members of the Commission on Elections.","Seven members each, headed by the Ombudsman and composed of regional state prosecutors.","A","Step-by-Step Solution:
1. Constitutional Text: Article VI, Section 17:
   'The Senate and the House of Representatives shall each have an Electoral Tribunal which shall be the sole judge of all contests relating to the election, returns, and qualifications of their respective Members. Each Electoral Tribunal shall be composed of nine Members, three of whom shall be Justices of the Supreme Court to be designated by the Chief Justice, and the remaining six shall be Members of the Senate or the House of Representatives, as the case may be, who shall be chosen on the basis of proportional representation from the political parties and the parties or organizations registered under the party-list system represented therein. The senior Justice in the Electoral Tribunal shall be its Chairman.'
2. Key Points:
   - 9 Members Total: 3 SC Justices + 6 Legislators (Senators or Representatives).
   - Chairman = Senior Supreme Court Justice in the tribunal.
   - Jurisdiction = SOLE JUDGE of all contests relating to (1) Election, (2) Returns, and (3) Qualifications of its members.
   - The jurisdiction of the Electoral Tribunal attaches once a winning candidate has been proclaimed, has taken the oath of office, and has assumed office (Vinzons-Chato v. COMELEC).
3. Option A is the verbatim constitutional structure.

Common Trap: Confusing the Electoral Tribunals (9 members: 3 SC Justices + 6 Legislators) with the Commission on Appointments (25 members: Senate President + 12 Senators + 12 Representatives).
Exam Tip: Electoral Tribunals (SET/HRET) = 9 members (3 SC Justices + 6 Legislators); Chaired by Senior SC Justice; Sole judge of election, returns, qualifications.","Correct. Survives elimination because Article VI, Section 17 specifies that each Electoral Tribunal consists of 9 members (3 Supreme Court Justices and 6 legislators selected by proportional representation), acting as the sole judge of election contests for its members.","Eliminated because trial court judges do not sit on the constitutional Electoral Tribunals.","Eliminated because COMELEC commissioners do not compose the Electoral Tribunals (COMELEC loses jurisdiction once a winning candidate is proclaimed, sworn in, and assumes office).","Eliminated because the Ombudsman has no constitutional membership on the legislative electoral tribunals.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Legislative Department | Very Difficult | Batch 130"
"Under Article VI, Section 18 of the 1987 Constitution, what is the composition of the COMMISSION ON APPOINTMENTS (CA), and what is the role of the Senate President?","25 members: The Senate President as ex officio Chairman, 12 Senators, and 12 Members of the House of Representatives; the Chairman votes only in case of a tie.","24 members: 12 Senators and 12 Representatives; the Chairman is elected annually from among the Supreme Court Justices.","15 members: The President of the Philippines and 14 cabinet secretaries.","30 members: 15 Senators and 15 Representatives chosen by seniority.","A","Step-by-Step Solution:
1. Constitutional Text: Article VI, Section 18:
   'There shall be a Commission on Appointments consisting of the President of the Senate, as ex officio Chairman, twelve Senators, and twelve Members of the House of Representatives, elected by each House on the basis of proportional representation from the political parties and parties or organizations registered under the party-list system represented therein. The Chairman of the Commission shall not vote, except in case of a tie. The Commission shall act on all appointments submitted to it within thirty session days of the Congress from their submission.'
2. Total Membership:
   - Senate President (ex officio Chairman) = 1
   - 12 Senators = 12
   - 12 Representatives = 12
   - Total Members = 25 members.
3. Chairman Voting Rule: The Senate President as Chairman does NOT vote, except in case of a tie.
4. Option A is the verbatim constitutional structure.

Common Trap: Forgetting the Senate President in the count, thinking the CA has only 24 members; the Senate President makes it 25.
Exam Tip: Commission on Appointments = 25 members (Senate President [ex officio Chairman, votes only on ties] + 12 Senators + 12 Reps).","Correct. Survives elimination because Article VI, Section 18 establishes the Commission on Appointments with 25 total members: the Senate President as ex officio Chairman (voting only in case of a tie), 12 Senators, and 12 Representatives.","Eliminated because the Commission on Appointments contains 25 members (not 24) and Supreme Court Justices do not sit on or chair the Commission on Appointments.","Eliminated because the Executive does not sit on the legislative Commission on Appointments.","Eliminated because the CA consists of 12 Senators and 12 Representatives (plus the Senate President), not 15 each.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Legislative Department | Very Difficult | Batch 130"
"In the seminal ruling of Atong Paglaum, Inc. v. Commission on Elections (G.R. No. 203766, April 2, 2013), what landmark guidelines were established regarding the eligibility of parties participating in the PARTY-LIST SYSTEM under Article VI, Section 5(2)?","The party-list system is not reserved exclusively for 'marginalized and underrepresented' sectors; national and regional parties or organizations do not need to represent marginalized sectors, provided they are not religious sects, armed groups, or backed by foreign entities.","Only registered labor unions and peasant associations can ever qualify for the party-list system.","Major political parties can field their standard candidates directly in the party-list race without any sectoral organization.","The party-list system is exclusively reserved for candidates who have never held any public elective office.","A","Step-by-Step Solution:
1. Landmark Case: Atong Paglaum, Inc. v. COMELEC (694 SCRA 477, 2013), penned by Justice Antonio Carpio:
   - Abandoned the restrictive ruling in Ang Bagong Bayani v. COMELEC (2001).
   - Core Guidelines of Atong Paglaum:
     1. Three types of groups may participate: (a) National parties/organizations, (b) Regional parties/organizations, and (c) Sectoral parties/organizations.
     2. National and regional parties DO NOT need to organize along sectoral lines and DO NOT need to represent 'marginalized and underrepresented' sectors.
     3. Sectoral parties may either be 'marginalized and underrepresented' (e.g., labor, peasant, urban poor, indigenous cultural communities, PWDs) OR sectors that lack well-defined political constituencies (e.g., professionals, women, youth).
     4. Major political parties cannot participate in the party-list elections directly, but may participate through their sectoral wings registered independently.
2. Option A is the precise legal holding of Atong Paglaum v. COMELEC.

Common Trap: Believing the old Ang Bagong Bayani rule still applies; Atong Paglaum liberalized the party-list system, allowing national and regional non-sectoral parties to participate.
Exam Tip: Atong Paglaum v. COMELEC = Party-list system includes National, Regional, and Sectoral parties; National/Regional parties do NOT need to represent marginalized sectors.","Correct. Survives elimination because Atong Paglaum v. COMELEC expressly overturned prior restrictive doctrine, ruling that the party-list system includes national and regional parties that do not need to represent marginalized and underrepresented sectors.","Eliminated because the party-list system encompasses diverse national, regional, professional, and demographic organizations beyond labor and peasants.","Eliminated because major political parties are barred from participating directly, and can only field candidates through independently registered sectoral wings.","Eliminated because prior public office holding is not a disqualification for party-list nominees.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Legislative Department | Very Difficult | Batch 130"
