"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 4(A)(h) of Republic Act No. 6713, what is the exact statutory definition and scope of the norm of 'SIMPLE LIVING'?","Public officials and employees and their FAMILIES shall lead MODEST LIVES appropriate to their positions and income; they shall NOT indulge in EXTRAVAGANT OR OSTENTATIOUS DISPLAY OF WEALTH in any form.","Public officials are legally obligated to purchase luxury European sports cars to project an image of national prosperity.","Public servants must maintain private offshore bank accounts to hide their family vacation expenses from the public.","Simple living allows public officers to host multimillion-peso private birthday banquets funded by regulated public utility suppliers.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 4(A)(h):
   'Simple living. — Public officials and employees and their families shall LEAD MODEST LIVES APPROPRIATE TO THEIR POSITIONS AND INCOME. They shall NOT INDULGE IN EXTRAVAGANT OR OSTENTATIOUS DISPLAY OF WEALTH IN ANY FORM.'
2. Constitutional Alignment:
   - Article XI, Section 1 of the 1987 Constitution: 'Public officers and employees must at all times be accountable to the people... act with patriotism and justice, and LEAD MODEST LIVES.'
3. Key Statutory Elements:
   - 1. Modest Life: Proportionate and appropriate to lawful salary and declared legitimate net worth.
   - 2. Ban on Ostentation: Prohibition against flaunting excessive wealth, high-end luxury vehicles, opulent mansions, and lavish jewelry.
   - 3. Family Inclusion: The statute expressly covers 'AND THEIR FAMILIES' to prevent public officers from hiding unexplained wealth under their spouse's or children's names.
4. Option A matches the statutory text and scope verbatim.

Common Trap: Believing simple living only applies to the employee; the law EXPLICITLY INCLUDES THEIR FAMILIES to prevent wealth concealment and ostentatious lifestyle displays by spouses/dependents.
Exam Tip: RA 6713, Sec. 4(A)(h) = SIMPLE LIVING: Official AND THEIR FAMILIES must lead modest lives appropriate to income + NO extravagant/ostentatious display of wealth.","Correct. Survives elimination because Section 4(A)(h) of RA 6713 explicitly commands that public servants and their families must lead modest lives commensurate with their income and refrain from any extravagant or ostentatious display of wealth.","Eliminated because purchasing luxury sports cars to flaunt wealth violates the explicit statutory ban on ostentatious displays.","Eliminated because concealing unexplained wealth in offshore accounts is criminal money laundering and gross dishonesty.","Eliminated because accepting banquet funding from regulated suppliers constitutes unlawful gift solicitation and graft under Section 7(d).","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Simple living | Very Difficult | Batch 161"
"Under Republic Act No. 1379 (The Anti-Ill-Gotten Wealth Forfeiture Act) and established jurisprudence (e.g., Office of the Ombudsman v. Racho, Alviso v. Sandiganbayan), what legal presumption arises when a public official acquires property or displays a lifestyle MANIFESTLY DISPROPORTIONATE to their lawful salary and legitimate income?","The property is PRIMA FACIE PRESUMED TO BE UNLAWFULLY ACQUIRED (ill-gotten wealth) and is subject to forfeiture in favor of the State, and the public official is subject to administrative dismissal for Gross Dishonesty and Grave Misconduct.","The property is presumed to be an anonymous charitable donation that is completely tax-exempt.","The public official is automatically awarded the Gawad Mabini medal for financial entrepreneurship.","The property is presumed to belong to the local municipal government by right of eminent domain.","A","Step-by-Step Solution:
1. Statutory Authority: Section 2, Republic Act No. 1379 (An Act Declaring Forfeiture in Favor of the State Any Property Found to Have Been Unlawfully Acquired by Any Public Officer or Employee):
   'Whenever any public officer or employee has acquired during his incumbency an amount of property which is MANIFESTLY OUT OF PROPORTION TO HIS SALARY as such public officer or employee and to his other lawful income and the income from legitimately acquired property, said property shall be PRESUMED PRIMA FACIE TO HAVE BEEN UNLAWFULLY ACQUIRED.'
2. Landmark Case Application:
   - Office of the Ombudsman v. Racho (641 SCRA 555, 2011), penned by Justice Conchita Carpio-Morales:
     - A BIR special investigator whose lawful government salary was PHP 10,000/month maintained bank accounts with deposits exceeding PHP 5.7 Million and undeclared commercial properties.
     - The Supreme Court held that failure to explain the legitimate source of disproportionate assets triggers the statutory presumption of UNLAWFUL ACQUISITION under RA 1379.
     - The employee was DISMISSED FROM SERVICE for Dishonesty and the unexplained assets were forfeited to the Republic.
3. Option A is the precise legal presumption and consequence.

Common Trap: Thinking the government must prove the exact bribe source; once disproportionate wealth is shown, the LEGAL BURDEN SHIFTS to the public official to prove legitimate acquisition.
Exam Tip: RA 1379 = Unexplained wealth manifestly out of proportion to lawful income is PRIMA FACIE PRESUMED UNLAWFULLY ACQUIRED and subject to FORFEITURE.","Correct. Survives elimination because Section 2 of RA 1379 and Ombudsman v. Racho establish that assets manifestly disproportionate to a public officer's lawful salary are presumed unlawfully acquired and subject to forfeiture to the State.","Eliminated because undocumented disproportionate wealth is presumed illicitly acquired, not tax-exempt charitable gifts.","Eliminated because acquiring unexplained wealth is an administrative and criminal offense, not an accomplishment deserving civic awards.","Eliminated because RA 1379 forfeits ill-gotten wealth to the National Republic through judicial civil forfeiture proceedings.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Simple living | Very Difficult | Batch 161"
"What is a 'LIFESTYLE CHECK' conducted by the Office of the Ombudsman and the Civil Service Commission, and what is its primary objective in enforcing the norm of Simple Living?","A formal investigation comparing a public official's actual standard of living, real properties, vehicles, luxury travels, and expenditures against their lawful salary, legitimate businesses, and declared Statement of Assets, Liabilities, and Net Worth (SALN) to detect unexplained wealth and graft.","A mandatory medical fitness test measuring a civil servant's cardiovascular health and body mass index.","A fashion audit ensuring that all government employees wear matching branded leather shoes.","An annual survey recording an employee's favorite weekend television entertainment programs.","A","Step-by-Step Solution:
1. Institutional & Administrative Framework:
   - CSC Resolution No. 06-0538 & Ombudsman Lifestyle Check System.
   - Section 4(A)(h), RA 6713 (Simple Living) & Section 8 (SALN).
   - Republic Act No. 1379 (Forfeiture of Unexplained Wealth).
2. The Mechanism of a Lifestyle Check:
   - 1. Comparative Analysis: Investigators cross-reference the official's declared income in their SALN against their real-world lifestyle (e.g., high-end luxury vehicles, real estate, frequent first-class overseas vacations, high-limit credit cards, opulent lifestyle displays on social media).
   - 2. Detection of Graft: If the official's lifestyle cannot be supported by their lawful civil service salary plus documented legitimate side businesses/inheritances, a prima facie case of graft, perjury, and dishonesty is established.
   - 3. Legal Consequences: Subpoena of bank records (under court order/AMLA), initiation of administrative dismissal cases, and filing of criminal Plunder or Forfeiture petitions before the Sandiganbayan.
3. Option A is the comprehensive, accurate definition.

Common Trap: Confusing lifestyle checks with health wellness programs; a Lifestyle Check is a rigorous ANTI-CORRUPTION FORENSIC AUDIT.
Exam Tip: Lifestyle Check = Forensic comparison between declared SALN income and actual living expenditures/assets to uncover unexplained wealth.","Correct. Survives elimination because a lifestyle check is an investigative anti-corruption procedure that cross-examines a public official's actual assets, travels, and expenditures against their lawful income and declared SALN to identify ill-gotten wealth.","Eliminated because medical physical examinations are health programs, not anti-graft lifestyle checks.","Eliminated because fashion reviews have no relevance to statutory anti-corruption audits.","Eliminated because television surveys are consumer media polls, not investigative civil service tools.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Simple living | Very Difficult | Batch 161"
"A Customs Examiner earning Salary Grade 11 (approximately PHP 27,000 monthly) regularly posts photos on public social media accounts flaunting a collection of six imported luxury sports cars, expensive diamond wristwatches, and first-class vacations to European luxury resorts. In a lifestyle check, he claims the cars were 'lent by friendly importers.' How does his conduct violate RA 6713?","He violated the norm of SIMPLE LIVING under Section 4(A)(h) through ostentatious displays of wealth, and his acceptance or use of luxury vehicles from regulated importers constitutes an unlawful gift solicitation and conflict of interest under Section 7(d), warranting immediate dismissal and forfeiture proceedings.","His conduct is completely lawful because borrowing luxury cars from importers is an established civil service perk.","He is exempt from liability because posting luxury photos on social media is protected artistic expression.","His actions are valid provided he allowed other customs examiners to sit in the cars during office lunch breaks.","A","Step-by-Step Solution:
1. Ethical and Statutory Analysis under RA 6713:
   - Section 4(A)(h) (Simple Living): Absolute ban on 'extravagant or ostentatious display of wealth in any form.'
   - Section 7(d) (Solicitation or Acceptance of Gifts): Public officials shall not solicit or accept, directly or indirectly, any gift, gratuity, favor, entertainment, loan or anything of monetary value from any person in the course of their official duties or in connection with any operation being regulated by their office.
2. Evaluation of the Scenario:
   - 1. Ostentation: Flaunting six luxury sports cars and diamond watches while earning a modest government salary is a textbook violation of Simple Living.
   - 2. Prohibited Gifts/Favors: Accepting the loan or use of luxury sports cars from regulated customs importers is an illegal, corrupt gift/favor designed to compromise border inspections and tax collection.
   - 3. Unexplained Wealth (RA 1379): Triggers the presumption of unlawful acquisition.
   - 4. Offenses: Grave Misconduct, Gross Dishonesty, and Violation of Section 7(d) of RA 6713, carrying MANDATORY DISMISSAL FROM SERVICE.
3. Option A is the correct, definitive legal evaluation.

Common Trap: Claiming an expensive item was just 'lent by a friend'; accepting valuable loans, vehicles, or free accommodations from regulated entities is an EXPLICITLY PROHIBITED ACT under Section 7(d).
Exam Tip: Flaunting luxury assets + Accepting vehicles from regulated clients = Violation of SIMPLE LIVING (Sec. 4[A][h]) + PROHIBITED GIFTS (Sec. 7[d]) = DISMISSAL.","Correct. Survives elimination because flaunting luxury assets violates Section 4(A)(h)'s mandate for simple living, and accepting the use of vehicles from regulated clients constitutes unlawful gift acceptance and grave misconduct under Section 7(d).","Eliminated because accepting expensive perks or loans from regulated entities is illegal graft, not a lawful benefit.","Eliminated because social media posts of unexplained wealth are admissible evidence in administrative lifestyle checks and do not enjoy immunity.","Eliminated because sharing illicit perks with colleagues does not cure the underlying ethical violation and graft offense.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Simple living | Very Difficult | Batch 161"
"Under Civil Service Commission guidelines and austerity regulations, how does 'Simple Living' govern the organization of OFFICIAL GOVERNMENT CONFERENCES, anniversary milestones, and office celebrations?","Government agencies must observe FISCAL AUSTERITY and simplicity, avoiding lavish catering, expensive five-star hotel venues when government facilities are available, luxury souvenirs, or extravagant entertainment paid out of public funds.","Agencies are required to spend 50% of their annual capital outlay on celebratory fireworks displays.","Agencies may hire international pop stars using emergency disaster response funds.","Agencies are mandated to distribute solid gold commemorative watches to all division chiefs during office milestones.","A","Step-by-Step Solution:
1. Administrative & Ethical Framework:
   - Administrative Order No. 103 (Series of 2004 - Directing the Continued Adoption of Austerity Measures in the Government).
   - COA Circular No. 2012-003 (Guidelines for the Prevention of Irregular, Unnecessary, Excessive, Extravagant and Unconscionable / IUEEU Expenditures).
   - Section 4(A)(h), RA 6713 (Simple Living) & Section 4(A)(a) (Public Interest: avoiding waste).
2. Rules on Agency Events & Celebrations:
   - 1. Fiscal Austerity: Official milestones, agency anniversaries, and seminars must be conducted with dignity, modesty, and economy.
   - 2. Utilization of Government Facilities: Agency auditoriums, state university conference halls, and training centers must be prioritized over commercial five-star luxury hotels.
   - 3. Ban on IUEEU Expenditures: Lavish banquets, costly personalized souvenirs, and excessive entertainment expenses are disallowable by COA and punishable administratively.
3. Option A is the verbatim civil service and audit standard.

Common Trap: Assuming anniversary milestones justify luxury spending; COA rules strictly disallow EXTRAVAGANT and EXCESSIVE expenses for agency celebrations.
Exam Tip: Simple Living in Office Celebrations = FISCAL AUSTERITY (Modest, economical celebrations + Use government facilities + Ban on IUEEU expenses).","Correct. Survives elimination because AO 103 (s. 2004) and COA austerity rules require government agencies to observe fiscal modesty and economy in official events, prioritizing public facilities and barring extravagant expenditures.","Eliminated because spending capital outlay on fireworks violates the General Appropriations Act and COA rules.","Eliminated because diverting disaster response funds for celebrity entertainment is criminal malversation and plunder.","Eliminated because distributing gold luxury watches with public funds constitutes an illegal and extravagant expenditure disallowable by COA.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Simple living | Very Difficult | Batch 161"
"Under Section 4(A)(h) of RA 6713, why is 'MODESTY IN OFFICE FURNISHINGS AND WORKPLACE APPAREL' expected of public officials and civil service managers?","Because opulent, overly lavish executive suites and gaudy workplace attire project an image of elitism and arrogance, alienating transacting citizens and betraying the public trust that taxpayer funds are dedicated to citizen welfare rather than bureaucratic luxury.","Because modest desks are required to prevent earthquakes from shaking government buildings.","Because the law prohibits government buildings from having functional air conditioning units.","Because public managers must demonstrate that they have zero technical education.","A","Step-by-Step Solution:
1. Ethical Analysis under Section 4(A)(h) & Section 4(A)(b), RA 6713:
   - 'Public officials and employees and their families shall lead modest lives appropriate to their positions and income. They shall not indulge in extravagant or ostentatious display of wealth in any form.'
2. Meaning of Workplace Modesty:
   - 1. Public Trust & Psychological Connection: Government exists to serve the sovereign people, many of whom live in modest or impoverished conditions. When a government bureaucrat sits in a gold-plated, overly luxurious private office suite funded by public money, it creates a visual symbol of arrogance, waste, and detachment from citizen struggles.
   - 2. Prudent Resource Stewardship: Taxpayer revenues must be directed towards frontline citizen services, medicines, classrooms, and infrastructure, not executive luxury.
   - 3. Professional Humility: Dignified, functional, clean, and modest work environments reflect true democratic public service.
3. Option A captures this foundational ethical rationale accurately.

Common Trap: Believing high rank entitles an official to extravagant palace-like office decor; public offices must remain FUNCTIONAL, MODEST, AND DIGNIFIED.
Exam Tip: Workplace Modesty = Functional and dignified work environments that avoid opulent luxury, preserving public trust and citizen connection.","Correct. Survives elimination because Section 4(A)(h) and civil service ethics require modest and dignified workplace environments to prevent ostentation and arrogance, ensuring that public resources remain focused on citizen service.","Eliminated because structural earthquake resilience is governed by engineering seismic building codes, not ethical modesty rules.","Eliminated because functional air conditioning for workplace productivity and equipment cooling is a standard, reasonable facility expense.","Eliminated because public managers are required to maintain high technical competence under the norm of Professionalism.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Simple living | Very Difficult | Batch 161"
"A municipal mayor constructs a private 15-bedroom residential mansion with a private helicopter pad during his first three-year term in office. His declared annual net income is only PHP 1,200,000, and he has no other declared businesses, inheritances, or commercial debts. When questioned, he refuses to explain the source of funds. What legal actions may be initiated against him under RA 1379 and RA 6713?","A judicial petition for FORFEITURE of the mansion as ill-gotten wealth under Republic Act No. 1379, alongside administrative and criminal complaints for Gross Dishonesty, Grave Misconduct, Perjury, and Violation of Section 4(A)(h) and Section 8 of RA 6713.","A mandatory promotion to provincial governor with a commendation from the Department of Finance.","A private commercial loan issued by the Bangko Sentral ng Pilipinas to cover the landscaping costs.","An immediate presidential pardon issued before any court proceedings are filed.","A","Step-by-Step Solution:
1. Statutory Application under RA 1379 & RA 6713:
   - 1. RA 1379, Section 2 (Unexplained Wealth): The mansion's multi-million-peso value is manifestly out of proportion to the mayor's lawful three-year income (approx. PHP 3.6 Million total). The asset is prima facie presumed unlawfully acquired.
   - 2. Forfeiture Petition: The Solicitor General or the Office of the Ombudsman files a verified civil petition for forfeiture before the Regional Trial Court or Sandiganbayan.
   - 3. RA 6713 Violations:
     - Section 4(A)(h): Violation of Simple Living (extravagant and ostentatious wealth).
     - Section 8: Falsification of SALN / Non-disclosure of true assets.
   - 4. Criminal Offenses: Plunder (RA 7080 if >= PHP 50M), Perjury (Art. 183, RPC), and Violation of RA 3019.
   - 5. Administrative Offenses: Gross Dishonesty and Grave Misconduct punishable by DISMISSAL FROM SERVICE.
2. Option A is the comprehensive, accurate legal remedy.

Common Trap: Thinking an official can just keep silent; unexplained wealth triggers a statutory presumption of unlawful acquisition that requires forfeiture to the Republic.
Exam Tip: Manifestly Disproportionate Real Estate Acquisition = FORFEITURE under RA 1379 + Administrative Dismissal + Criminal prosecution.","Correct. Survives elimination because unexplained real estate wealth manifestly out of proportion to lawful income triggers statutory forfeiture under RA 1379 and administrative/criminal prosecution for gross dishonesty and ethical breaches under RA 6713.","Eliminated because acquiring ill-gotten wealth results in criminal investigation and removal, not political promotion.","Eliminated because the central bank does not issue private residential landscaping loans to public officials.","Eliminated because presidential pardons can only be granted after final conviction under Article VII, Section 19.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Simple living | Very Difficult | Batch 161"
"How does the norm of 'Simple Living' protect public officials and their families from VULNERABILITY TO BRIBERY AND CORRUPT SOLICITATION?","By maintaining modest personal living habits and living strictly within their lawful earnings, public servants reduce financial greed, resist unnecessary materialistic temptations, and remain immune to illicit payoffs from unscrupulous individuals seeking official favors.","By forcing public servants to borrow money from illegal loan sharks at 50% monthly interest rates.","By requiring civil servants to purchase lottery tickets every morning before reporting to work.","By prohibiting government workers from opening basic savings accounts in universal banks.","A","Step-by-Step Solution:
1. Moral and Psychological Rationale of Simple Living (RA 6713, Sec. 4[A][h]):
   - The Root of Public Corruption: Often, public corruption is not driven by biological survival, but by unrestrained consumerism, vanity, social climbing, and the desire to live an extravagant, ostentatious lifestyle far beyond one's lawful means.
   - Simple Living as an Ethical Shield:
     - An official who embraces modesty, simplicity, and financial contentment is not driven by desperate cravings for luxury designer goods, sports cars, or lavish parties.
     - Consequently, corrupt contractors, fixers, and bribe-givers find it impossible to entice or compromise the integrity of a public servant who values simple, honest public service above materialism.
2. Option A captures this profound ethical and preventative philosophy accurately.

Common Trap: Viewing simple living merely as a punishment or restriction; Simple Living is an ETHICAL SHIELD that protects a public servant's integrity and peace of mind.
Exam Tip: Simple Living = Ethical shield that reduces materialism and prevents vulnerability to bribery and corrupt inducements.","Correct. Survives elimination because embracing simple living and financial contentment insulates public servants from extravagant materialistic desires, strengthening their moral resistance against bribery and corrupt offers.","Eliminated because borrowing from predatory lenders increases financial vulnerability and invites corruption.","Eliminated because relying on commercial gambling contradicts sound financial prudence and public ethics.","Eliminated because maintaining legitimate bank savings is a prudent financial practice encouraged in public administration.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Simple living | Very Difficult | Batch 161"
"Under Civil Service Commission rules on ethical decorum, why are public officials cautioned against POSTING OSTENTATIOUS LUXURY TRIPS AND EXPENSIVE JEWELRY ON SOCIAL MEDIA?","Because public social media flaunting of extreme wealth by civil servants degrades public trust, creates suspicion of illicit enrichment, and violates the explicit command of Section 4(A)(h) to avoid ostentatious displays of wealth in any form.","Because social media platforms are legally restricted to commercial advertising agencies.","Because internet service providers charge an extra tax on photographs of diamond jewelry.","Because civil servants are required by law to delete all social media accounts upon taking their oath of office.","A","Step-by-Step Solution:
1. Administrative Policy: CSC Resolution No. 1600298 (Guidelines on the Use of Social Media in the Civil Service) & RA 6713, Section 4(A)(h):
2. Analysis of Social Media Ostentation:
   - 1. Public Domain Nature: Social media platforms are open public spaces where posts and photos can be viewed, shared, and scrutinized by citizens.
   - 2. Violation of Section 4(A)(h): Flaunting multi-million-peso sports cars, luxury designer bags, high-end watches, and opulent private parties on Instagram, Facebook, or TikTok constitutes a direct 'OSTENTATIOUS DISPLAY OF WEALTH.'
   - 3. Erosion of Public Trust: Transacting citizens paying heavy taxes to fund government operations are demoralized when government employees boast of opulent lifestyles.
   - 4. Forensic Evidence: Social media posts of ostentatious wealth are routinely used by the Ombudsman as admissible direct evidence in lifestyle checks and forfeiture proceedings.
3. Option A is the comprehensive, accurate explanation.

Common Trap: Thinking social media is completely private; public social media posts flaunting luxury wealth ARE ACTIONABLE VIOLATIONS of Section 4(A)(h).
Exam Tip: Flaunting luxury assets/vacations on social media = Direct breach of SIMPLE LIVING (Sec. 4[A][h]) + Admissible evidence in Ombudsman lifestyle checks.","Correct. Survives elimination because CSC social media guidelines and Section 4(A)(h) forbid public servants from displaying ostentatious wealth online, as it undermines public confidence and violates the statutory mandate for modest living.","Eliminated because social media is an open public communications platform, not restricted to commercial advertising.","Eliminated because tax laws do not levy specialized taxes on photos of jewelry.","Eliminated because civil servants are permitted to maintain social media accounts for lawful personal communication and public service awareness.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Simple living | Very Difficult | Batch 161"
"In the historic civil service jurisprudence of Alviso v. Sandiganbayan (G.R. No. 101832, July 17, 1995), what was the Supreme Court's ruling regarding a public official who claimed his massive unexplained real estate acquisitions were funded by 'INFORMAL LOTTERY WINNINGS AND CASINO GAMBLING'?","Unsubstantiated claims of gambling winnings or informal lottery prizes, unsupported by official receipts, withholding tax certificates, and verified declarations in prior SALNs, are insufficient to rebut the presumption of unlawful acquisition under RA 1379.","The Supreme Court accepted the explanation because casino gambling is the primary recognized method of civil service wealth accumulation.","The Supreme Court held that public officials are legally required to spend their entire weekends inside licensed casinos.","The charges were dismissed because gambling winnings are exempt from all judicial and administrative scrutiny.","A","Step-by-Step Solution:
1. Landmark Jurisprudence:
   - Alviso v. Sandiganbayan (220 SCRA 55, 1995); Republic v. Sandiganbayan (406 SCRA 190); Basa v. Mercado (610 SCRA 351).
2. The 'Gambling/Lottery Defense' in Unexplained Wealth Cases:
   - Facts: Public officials facing forfeiture of unexplained multi-million-peso mansions and bank accounts often invent fabricated defenses claiming they won informal sweepstakes, casino jackpots, or received undocumented gifts from anonymous benefactors.
   - Supreme Court Definitive Doctrine:
     - 1. BURDEN OF PROOF: Once the State proves that the acquired assets are manifestly out of proportion to lawful salary under RA 1379, the burden of evidence shifts entirely to the public officer to prove LEGITIMATE ACQUISITION.
     - 2. DOCUMENTED PROOF REQUIRED: Mere self-serving oral testimonies of casino winnings or informal lottery luck are completely worthless without:
        (a) Official casino jackpot vouchers/receipts;
        (b) Withholding tax certificates from the BIR;
        (c) Timely disclosures of the winnings in the SALN corresponding to that year.
     - 3. Unsubstantiated claims fail to rebut the presumption of ill-gotten wealth, resulting in FORFEITURE and DISMISSAL.
3. Option A is the precise legal holding.

Common Trap: Believing an official can defeat a lifestyle check by claiming 'I won the lottery'; without official BIR tax receipts and SALN disclosure, the defense is REJECTED BY LAW.
Exam Tip: Alviso v. Sandiganbayan = Unsubstantiated claims of gambling/lottery winnings CANNOT rebut the presumption of ill-gotten wealth under RA 1379.","Correct. Survives elimination because Alviso v. Sandiganbayan established that undocumented, self-serving claims of gambling or lottery winnings cannot overturn the statutory presumption of unlawful wealth acquisition under RA 1379.","Eliminated because casino gambling is not a recognized or acceptable source of civil service livelihood.","Eliminated because public officials are strictly discouraged or barred from gambling in casinos under presidential decrees (PD 1067-B / PD 1869).","Eliminated because gambling winnings are subject to tax laws, SALN reporting, and judicial review in anti-graft forfeiture trials.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Simple living | Very Difficult | Batch 161"
