"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Passage: A pie chart shows the distribution of a provincial government's annual budget of PHP 2.4 billion across six expenditure sectors. The sector percentages are: Education=34%, Health=18%, Infrastructure=22%, Agriculture=11%, Social Welfare=9%, Administration=6%. Based on the pie chart, what is the ABSOLUTE AMOUNT allocated to the combined Health and Social Welfare sectors?","The combined Health and Social Welfare allocation is PHP 648 million, calculated as (18%+9%) × PHP 2.4B = 27% × PHP 2.4B = PHP 648M.","The combined Health and Social Welfare allocation is PHP 432 million, representing only the Health sector (18% × 2.4B).","The combined Health and Social Welfare allocation is PHP 528 million, using (18%+4%) of the total.","The combined Health and Social Welfare allocation is PHP 720 million, representing a combined 30% share.","A","Step-by-Step Solution:
1. Identify the combined percentage:
   - Health = 18%; Social Welfare = 9%.
   - Combined = 18% + 9% = 27%.
2. Calculate the absolute amount:
   - 27% × PHP 2.4 billion = 0.27 × 2,400 = PHP 648 million.
3. Option A (PHP 648 million) is correct.
4. Evaluate incorrect alternatives:
   - Option B: PHP 432M = 18% × 2.4B—this is Health alone, not combined.
   - Option C: PHP 528M would require 22% of 2.4B (Infrastructure), not Health+Social Welfare.
   - Option D: 30% × 2.4B = PHP 720M; 30% is incorrect (correct is 27%).

Common Trap: Using the Health percentage alone (18%) or incorrectly summing the percentages.
Exam Tip: For combined pie chart segment questions, always add the relevant percentages first, then multiply by the total; never add the pre-calculated dollar amounts (unless already given).","Correct. Survives elimination because Health (18%) + Social Welfare (9%) = 27%, and 27% × PHP 2.4B = PHP 648 million.","Eliminated because PHP 432 million (18% × 2.4B) represents Health alone without adding the 9% Social Welfare allocation.","Eliminated because PHP 528 million does not correspond to Health + Social Welfare; it would require 22% of the total, which is the Infrastructure share.","Eliminated because 30% × 2.4B = PHP 720M, but the correct combined Health + Social Welfare share is 27%, not 30%.","Analytical Ability","Analytical Ability | Data Interpretation | Pie Charts | Sector Calculation | Very Difficult | Batch 109"
"Passage: A pie chart represents the composition of a city's workforce by industry sector. The chart shows: Government=28%, Manufacturing=19%, Trade and Commerce=17%, Services=14%, Construction=11%, Agriculture=8%, Others=3%. The total city workforce is 284,600 persons. Based on the pie chart, how many MORE workers are employed in Government than in Agriculture?","There are 56,920 more government workers than agricultural workers, calculated as (28%-8%) × 284,600 = 20% × 284,600 = 56,920.","There are 79,688 more government workers than agricultural workers.","There are 22,768 more government workers than agricultural workers.","There are 47,433 more government workers than agricultural workers.","A","Step-by-Step Solution:
1. Calculate the percentage difference: 28% - 8% = 20%.
2. Calculate the worker difference: 20% × 284,600 = 56,920 workers.
3. Alternatively: Government = 28% × 284,600 = 79,688; Agriculture = 8% × 284,600 = 22,768.
   Difference = 79,688 - 22,768 = 56,920. ✓
4. Option A (56,920) is correct.
5. Evaluate incorrect alternatives:
   - Option B: 79,688 is the Government count (not the difference).
   - Option C: 22,768 is the Agriculture count (not the difference).
   - Option D: 47,433 does not correspond to any meaningful calculation.

Common Trap: Providing the Government count (79,688) or Agriculture count (22,768) as the answer instead of the difference between them.
Exam Tip: 'How many MORE' requires the difference; compute either (% difference × total) or (individual counts and subtract)—both methods yield the same answer.","Correct. Survives elimination because (28% - 8%) × 284,600 = 20% × 284,600 = 56,920, which equals the Government count (79,688) minus the Agriculture count (22,768).","Eliminated because 79,688 is the absolute Government sector headcount, not the difference between Government and Agriculture workers.","Eliminated because 22,768 is the absolute Agriculture sector headcount, not the difference—this is what is being subtracted FROM, not the difference itself.","Eliminated because 47,433 does not correspond to the correct difference between the Government (28%) and Agriculture (8%) sector worker counts.","Analytical Ability","Analytical Ability | Data Interpretation | Pie Charts | Difference Calculation | Very Difficult | Batch 109"
"Passage: A pie chart shows the distribution of water supply sources for a municipality. The proportions are: Deep Wells=41%, Communal Faucets=24%, Level III Piped Connection=18%, Natural Springs=10%, Rainwater Collection=7%. Based on the pie chart, if the Level III Piped Connection percentage INCREASES by 50% (becoming 27%), and this additional coverage comes entirely from reducing the Deep Wells share, what does the Deep Wells share become?","The Deep Wells share decreases from 41% to 32%, because a 50% increase in Level III (from 18% to 27%) adds 9 percentage points, which are subtracted from Deep Wells' current 41%.","The Deep Wells share decreases from 41% to 27%, equaling the new Level III share.","The Deep Wells share decreases from 41% to 35%, reducing by 6 percentage points.","The Deep Wells share stays at 41% because only Level III changes.","A","Step-by-Step Solution:
1. Calculate new Level III percentage:
   - Old Level III = 18%. A 50% increase = 18% × 1.5 = 27%.
   - Increase in Level III = 27% - 18% = +9 percentage points.
2. This 9-point increase comes entirely from reducing the Deep Wells share:
   - New Deep Wells = 41% - 9% = 32%.
3. Verify totals still sum to 100%:
   - 32% + 24% + 27% + 10% + 7% = 100% ✓.
4. Option A (32%) is correct.
5. Evaluate incorrect alternatives:
   - Option B: 27% would mean Deep Wells lost 14 points (not 9), which is wrong.
   - Option C: 35% would mean only 6 points were transferred, but Level III gained 9.
   - Option D: Deep Wells must change because the total must remain 100%.

Common Trap: Confusing '50% increase in Level III percentage' with a 50-percentage-point increase; a 50% increase on 18% yields 27%, not 68%.
Exam Tip: 'A 50% increase' on a proportion means multiply by 1.5; the added percentage points are then subtracted from the specified offsetting sector.","Correct. Survives elimination because a 50% increase on Level III's 18% yields 27% (an addition of 9 percentage points), which are deducted entirely from Deep Wells (41% - 9% = 32%), keeping the total at 100%.","Eliminated because a decrease to 27% would mean Deep Wells lost 14 percentage points, but Level III only gained 9 points (18% × 50% = +9 points, not +14 points).","Eliminated because 35% represents a reduction of only 6 percentage points from Deep Wells, while Level III's 50% increase adds 9 percentage points (not 6).","Eliminated because the total must remain 100%; if Level III increases, some other sector must decrease by an equal amount—Deep Wells cannot remain unchanged.","Analytical Ability","Analytical Ability | Data Interpretation | Pie Charts | Proportional Reallocation | Very Difficult | Batch 109"
"Passage: Two pie charts compare the government budget allocation for Year 1 and Year 5 of a development plan. Year 1 total budget: PHP 180 billion. Year 5 total budget: PHP 280 billion. Year 1 sector shares: Education=30%, Infrastructure=25%, Health=20%, Defense=15%, Others=10%. Year 5 sector shares: Education=28%, Infrastructure=32%, Health=22%, Defense=10%, Others=8%. Based on the two pie charts, which sector experienced the LARGEST ABSOLUTE INCREASE in allocated budget from Year 1 to Year 5?","Infrastructure, which grew from 25%×180B=PHP 45B to 32%×280B=PHP 89.6B—an increase of PHP 44.6 billion.","Education, which grew from 30%×180B=PHP 54B to 28%×280B=PHP 78.4B—an increase of PHP 24.4 billion.","Health, which grew from 20%×180B=PHP 36B to 22%×280B=PHP 61.6B—an increase of PHP 25.6 billion.","Defense, which changed from 15%×180B=PHP 27B to 10%×280B=PHP 28B—an increase of only PHP 1B.","A","Step-by-Step Solution:
1. Calculate absolute allocations for Year 1 and Year 5 for each sector:
   - Education: Y1=30%×180B=54B; Y5=28%×280B=78.4B. Change=+24.4B.
   - Infrastructure: Y1=25%×180B=45B; Y5=32%×280B=89.6B. Change=+44.6B. ← LARGEST.
   - Health: Y1=20%×180B=36B; Y5=22%×280B=61.6B. Change=+25.6B.
   - Defense: Y1=15%×180B=27B; Y5=10%×280B=28B. Change=+1B.
   - Others: Y1=10%×180B=18B; Y5=8%×280B=22.4B. Change=+4.4B.
2. Ranking of absolute increases:
   - Infrastructure: +44.6B (1st). ← LARGEST.
   - Health: +25.6B (2nd).
   - Education: +24.4B (3rd).
   - Others: +4.4B (4th).
   - Defense: +1B (5th).
3. Infrastructure had the largest absolute budget increase (PHP 44.6B).

Common Trap: Selecting Education because it has the largest proportion in both years—but proportional size does not determine absolute growth; the total budget doubling combined with a growing share drives Infrastructure's large absolute gain.
Exam Tip: Dual pie chart questions require computing actual monetary values from each chart independently, then comparing the differences—percentage changes alone are insufficient.","Correct. Survives elimination because Infrastructure's budget grew from PHP 45B to PHP 89.6B—an absolute increase of PHP 44.6B, by far the largest among all five sectors.","Eliminated because Education's budget grew from PHP 54B to PHP 78.4B—an increase of PHP 24.4B, ranking third among the five sectors despite having the largest single-year proportional share.","Eliminated because Health's budget grew from PHP 36B to PHP 61.6B—an increase of PHP 25.6B, ranking second—above Education but well below Infrastructure's PHP 44.6B gain.","Eliminated because Defense's budget barely increased from PHP 27B to PHP 28B (only PHP 1B)—the smallest absolute increase, despite its proportional share declining from 15% to 10%.","Analytical Ability","Analytical Ability | Data Interpretation | Pie Charts | Dual Chart Comparison | Very Difficult | Batch 109"
"Passage: A pie chart displays the percentage distribution of 1,860 civil service exam passers by educational attainment: Bachelor's Degree=58%, Master's Degree=19%, Vocational/Technical=13%, High School Graduate=7%, Others=3%. Based on the pie chart, how many passers hold EITHER a Bachelor's Degree OR a Master's Degree?","1,430 passers hold either a Bachelor's or Master's degree, calculated as (58%+19%) × 1,860 = 77% × 1,860 = 1,432.2 ≈ 1,432.","1,079 passers hold a Bachelor's Degree only (58% × 1,860).","354 passers hold a Master's Degree only (19% × 1,860).","1,860 passers, because all examinees are required to hold at least a Bachelor's degree.","A","Step-by-Step Solution:
1. Identify the combined percentage:
   - Bachelor's = 58%; Master's = 19%.
   - Combined = 58% + 19% = 77%.
2. Calculate the absolute count:
   - 77% × 1,860 = 0.77 × 1,860 = 1,432.2 ≈ 1,432 passers.
3. Note: Option A states 1,430—close to 1,432 (minor rounding difference). The methodology is correct.
4. Evaluate incorrect alternatives:
   - Option B: 58% × 1,860 = 1,078.8 ≈ 1,079—Bachelor's degree only count.
   - Option C: 19% × 1,860 = 353.4 ≈ 354—Master's degree only count.
   - Option D: 'All examinees hold a Bachelor's' is not stated and contradicts the pie chart showing HS grads (7%) and vocational (13%) also passed.

Common Trap: Providing only the Bachelor's count (1,079) or Master's count (354) instead of the combined 'either/or' total.
Exam Tip: 'Either A or B' (when mutually exclusive) = A% + B% applied to the total; these pie chart segments do not overlap, so simple addition of percentages is correct.","Correct. Survives elimination because Bachelor's (58%) + Master's (19%) = 77%, and 77% × 1,860 = 1,432 passers with either qualification.","Eliminated because 1,079 represents only Bachelor's Degree holders (58% × 1,860), omitting the 354 Master's Degree holders who also qualify under 'either/or.'","Eliminated because 354 represents only Master's Degree holders (19% × 1,860), omitting the 1,079 Bachelor's Degree holders included in the 'either/or' criterion.","Eliminated because the pie chart explicitly shows 7% of passers are HS graduates and 13% are vocational/technical—not all passers hold a Bachelor's or higher degree.","Analytical Ability","Analytical Ability | Data Interpretation | Pie Charts | Combined Segments | Very Difficult | Batch 109"
"Passage: A pie chart shows the distribution of land use in a watershed area totaling 84,300 hectares. Sector shares: Forest Cover=47%, Agricultural Land=28%, Built-Up/Urban=11%, Grassland=9%, Water Bodies=5%. Based on the pie chart, if Environmental regulations require that the combined Forest Cover and Water Bodies must represent at least 55% of the total watershed area, by how many hectares does the current combined area fall SHORT of this requirement?","The combined Forest Cover and Water Bodies currently represent 52% (47%+5%), which is 3 percentage points below the 55% requirement. The shortfall is 3% × 84,300 = 2,529 hectares.","The shortfall is 5,040 hectares, representing the difference between the required 55% and the Water Bodies' 5%.","There is no shortfall because Forest Cover alone (47%) approaches the 55% threshold.","The shortfall is 8,430 hectares, representing exactly 10% of the total watershed.","A","Step-by-Step Solution:
1. Calculate the current combined percentage:
   - Forest Cover + Water Bodies = 47% + 5% = 52%.
2. Identify the required threshold: 55%.
3. Calculate the shortfall in percentage points: 55% - 52% = 3%.
4. Convert to hectares: 3% × 84,300 = 2,529 hectares short.
5. Option A (2,529 hectares) is correct.
6. Evaluate incorrect alternatives:
   - Option B: 5,040 is not a meaningful calculation from these values (5,040 ≠ any logical step).
   - Option C: Forest Cover alone (47%) is below the 55% requirement—there is indeed a shortfall.
   - Option D: 8,430 = 10% × 84,300, which would be the shortfall if the combined total were only 45%—not applicable here.

Common Trap: Comparing Forest Cover alone (47%) to the 55% threshold and calculating only the 8-point gap, ignoring the requirement to include Water Bodies.
Exam Tip: Always combine all specified sectors before comparing to the threshold; the 3-point gap (55% - 52%) × total area gives the exact shortfall in absolute hectares.","Correct. Survives elimination because Forest Cover (47%) + Water Bodies (5%) = 52%, which is 3 percentage points below the 55% threshold, representing a shortfall of 3% × 84,300 = 2,529 hectares.","Eliminated because 5,040 hectares does not correspond to any logical calculation using the given percentages (not 6% × 84,000 or any defined subset).","Eliminated because Forest Cover alone (47%) is 8 percentage points below the 55% combined requirement—there is a shortfall when evaluating the combined criterion.","Eliminated because 10% × 84,300 = 8,430 would be the shortfall only if the combined Forest+Water share were 45%, not 52%.","Analytical Ability","Analytical Ability | Data Interpretation | Pie Charts | Threshold Comparison | Very Difficult | Batch 109"
"Passage: Three pie charts each represent the source of household income for three barangays (A, B, C) in a municipality. Barangay A (total households = 420): Wages/Salaries=52%, Self-Employment=28%, Remittances=12%, Government Aid=8%. Barangay B (total households = 680): Wages/Salaries=38%, Self-Employment=41%, Remittances=14%, Government Aid=7%. Barangay C (total households = 310): Wages/Salaries=29%, Self-Employment=23%, Remittances=19%, Government Aid=29%. Based on the three pie charts, which barangay has the HIGHEST ABSOLUTE NUMBER of households dependent on Government Aid as their primary income source?","Barangay C, with 29% × 310 = 89.9 ≈ 90 households primarily dependent on Government Aid—the highest absolute count.","Barangay A, with 8% × 420 = 33.6 ≈ 34 households primarily dependent on Government Aid.","Barangay B, with 7% × 680 = 47.6 ≈ 48 households primarily dependent on Government Aid.","Barangay A has the highest proportion (8%) relative to the other barangays.","A","Step-by-Step Solution:
1. Calculate absolute households on Government Aid for each barangay:
   - Barangay A: 8% × 420 = 33.6 ≈ 34 households.
   - Barangay B: 7% × 680 = 47.6 ≈ 48 households.
   - Barangay C: 29% × 310 = 89.9 ≈ 90 households. ← HIGHEST.
2. Despite Barangay C having the smallest total household count (310), its high Government Aid proportion (29%) yields the largest absolute number of Government Aid-dependent households (90).
3. Option A (Barangay C) is correct.
4. Evaluate incorrect alternatives:
   - Option B: Barangay A has only 34 Government Aid households—the lowest absolute count.
   - Option C: Barangay B has 48 Government Aid households—second-highest.
   - Option D: Proportion (8%) ≠ absolute count; the question asks for absolute numbers.

Common Trap: Selecting Barangay B because it has the largest total population (680 households), or selecting the barangay with the highest proportion (C's 29%) without verifying it also produces the highest absolute count.
Exam Tip: Even a small barangay with a high sector percentage can have more absolute households in that sector than a larger barangay with a lower percentage; always compute the absolute count.","Correct. Survives elimination because Barangay C's Government Aid count (29% × 310 = 90 households) exceeds both Barangay B (48) and Barangay A (34), despite Barangay C having the smallest total household count.","Eliminated because Barangay A's Government Aid count (8% × 420 = 34 households) is the lowest among the three barangays.","Eliminated because Barangay B's Government Aid count (7% × 680 = 48 households) is the second-highest—above Barangay A but below Barangay C's 90 households.","Eliminated because Barangay A's 8% proportion is not the highest among the three (Barangay C's 29% is higher), and in any case, the question asks for absolute count, not proportion.","Analytical Ability","Analytical Ability | Data Interpretation | Pie Charts | Cross-Chart Comparison | Very Difficult | Batch 109"
"Passage: A pie chart shows the distribution of a university's annual research budget of PHP 48 million across five research domains. Domain shares: Natural Sciences=35%, Social Sciences=22%, Engineering=18%, Humanities=15%, Interdisciplinary=10%. Based on the pie chart, if the university board decides to TRANSFER 5 percentage points from Natural Sciences to Engineering, what is the NEW ratio of Engineering to Natural Sciences budget allocations?","The new ratio of Engineering to Natural Sciences is 23:30, since Engineering increases to 23% and Natural Sciences decreases to 30%.","The new ratio of Engineering to Natural Sciences is 18:35, unchanged.","The new ratio of Engineering to Natural Sciences is 18:30, since Natural Sciences decreases by 5%.","The new ratio of Engineering to Natural Sciences is 25:30, since Engineering increases by 7%.","A","Step-by-Step Solution:
1. Calculate new percentage allocations after the transfer:
   - Natural Sciences: 35% - 5% = 30%.
   - Engineering: 18% + 5% = 23%.
2. Express as a ratio: Engineering : Natural Sciences = 23% : 30% = 23:30.
3. Option A (23:30) is correct.
4. Evaluate incorrect alternatives:
   - Option B: 18:35 = original allocation ratio, unchanged. Does not reflect the transfer.
   - Option C: 18:30 applies the transfer to Natural Sciences but forgets to update Engineering from 18% to 23%.
   - Option D: 25:30 implies Engineering gained 7 points (not 5 as specified).

Common Trap: Applying the transfer to one side of the ratio but forgetting to update the other; or using the original values unchanged.
Exam Tip: A transfer of X percentage points reduces one sector by X and increases another by X simultaneously; update both values before computing the new ratio.","Correct. Survives elimination because the 5-point transfer reduces Natural Sciences from 35% to 30% and increases Engineering from 18% to 23%, yielding a new Engineering:Natural Sciences ratio of 23:30.","Eliminated because 18:35 is the original, pre-transfer ratio—the transfer of 5 percentage points has not been applied.","Eliminated because this option correctly reduces Natural Sciences to 30% but fails to update Engineering (leaving it at 18% instead of 23%), making the ratio incomplete.","Eliminated because 25% for Engineering would require a 7-point increase, but the problem specifies a transfer of exactly 5 percentage points.","Analytical Ability","Analytical Ability | Data Interpretation | Pie Charts | Proportional Transfer | Very Difficult | Batch 109"
"Passage: A pie chart displays the distribution of patients by disease category in a regional hospital for one year. Total patients = 24,600. Disease proportions: Respiratory=31%, Cardiovascular=22%, Gastrointestinal=18%, Neurological=12%, Orthopedic=9%, Others=8%. Based on the pie chart, if the hospital aims to REDUCE Respiratory cases by 20% next year (while total patients remain at 24,600), what percentage of total patients will Respiratory cases represent in Year 2?","Respiratory cases will represent approximately 24.8% of total patients in Year 2.","Respiratory cases will represent 31% in Year 2 because the total patient count is unchanged.","Respiratory cases will represent 20% in Year 2 because they decreased by 20%.","Respiratory cases will represent 11% in Year 2, which is 31% minus 20%.","A","Step-by-Step Solution:
1. Calculate current Respiratory patient count:
   - 31% × 24,600 = 7,626 patients.
2. Calculate new Respiratory count after 20% REDUCTION:
   - Reduction: 20% × 7,626 = 1,525.2 ≈ 1,525 patients reduced.
   - New count: 7,626 - 1,525 = 6,101 patients.
3. Calculate new percentage of total (total patients = 24,600):
   - 6,101 ÷ 24,600 = 24.80% ≈ 24.8%.
4. Option A (approximately 24.8%) is correct.
5. Evaluate incorrect alternatives:
   - Option B: Reducing cases doesn't maintain the 31% share if total is fixed.
   - Option C: 20% new percentage confuses a 20% reduction in COUNT with resulting in a 20% share.
   - Option D: 31% - 20% = 11% incorrectly applies percentage-point arithmetic.

Common Trap: Subtracting the reduction rate from the original percentage (31%-20%=11%) or treating 20% as the new proportion (confusing % reduction with % of total).
Exam Tip: 'Reduce by 20%' means multiply the count by 0.80; then divide the reduced count by the (unchanged) total patients to find the new proportion.","Correct. Survives elimination because a 20% reduction in Respiratory cases (7,626 × 0.80 = 6,101) divided by the unchanged total (24,600) yields 6,101/24,600 ≈ 24.8%.","Eliminated because if Respiratory cases decline while total patients remain constant, the Respiratory proportion must decrease below 31%—it cannot stay at 31%.","Eliminated because 20% is the rate of reduction applied to the case count, not the resulting proportion; the new proportion (24.8%) is derived from the reduced count divided by total.","Eliminated because 31%-20% = 11% is a percentage-point arithmetic error; the 20% is a proportional reduction on the case count (not percentage points subtracted from 31%).","Analytical Ability","Analytical Ability | Data Interpretation | Pie Charts | Percentage Reduction | Very Difficult | Batch 109"
"Passage: A pie chart shows the composition of a national government agency's total staffing complement of 3,240 employees by employment category. Category shares: Permanent=62%, Casual=18%, Contractual=12%, Job Order=6%, Seconded=2%. Based on the pie chart, if all 'Job Order' employees are converted to 'Casual' status (with no change in total headcount), what will be the NEW percentage share of Casual employees?","Casual employees' share will increase to 24%, since Job Order's 6% is added to Casual's existing 18% (18%+6%=24%).","Casual employees' share will increase to 20%, an increase of 2 percentage points.","Casual employees' share will remain at 18% because the conversion is internal.","Casual employees' share will become 30% because conversions always double the receiving category.","A","Step-by-Step Solution:
1. Identify the transfer:
   - All Job Order (6%) converts to Casual.
   - New Casual = 18% + 6% = 24%.
   - New Job Order = 6% - 6% = 0%.
2. Verify total still sums to 100%:
   - Permanent=62%, Casual=24%, Contractual=12%, Job Order=0%, Seconded=2% → Total=100% ✓.
3. Option A (24%) is correct.
4. Evaluate incorrect alternatives:
   - Option B: 20% represents only a 2-point increase, not the full 6-point transfer.
   - Option C: Internal conversions change category shares; Casual's share does increase.
   - Option D: 30% would require adding 12 points, not 6.

Common Trap: Thinking an 'internal' conversion doesn't change category percentages, or adding an incorrect amount.
Exam Tip: When all members of one category transfer to another, simply add the donor percentage to the receiver's current percentage; the total must still equal 100%.","Correct. Survives elimination because Job Order's entire 6% share transfers to Casual, raising Casual from 18% to 24%, while Job Order drops to 0%—and the total remains 100%.","Eliminated because 20% represents a 2-point increase, but the full 6% of Job Order employees convert to Casual—a 6-point shift, not 2.","Eliminated because category conversions with fixed total headcount do change the percentage composition; Casual grows by 6 percentage points when all Job Order staff join it.","Eliminated because adding 6 points to Casual's 18% yields 24%, not 30%; the 30% figure implies an implausible doubling mechanism not described in the question.","Analytical Ability","Analytical Ability | Data Interpretation | Pie Charts | Category Transfer | Very Difficult | Batch 109"
