"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Identify the next number in the linearly expanding difference sequence:

12, 15, 21, 30, 42, 57, ?","75","72","78","74","A","Step-by-Step Solution:
1. Calculate consecutive differences:
 - 15 - 12 = 3
 - 21 - 15 = 6
 - 30 - 21 = 9
 - 42 - 30 = 12
 - 57 - 42 = 15.
2. The differences form an arithmetic sequence with a constant common difference of 3 (3, 6, 9, 12, 15).
3. The next difference is 15 + 3 = 18.
4. Compute the 7th term:
 - T₇ = 57 + 18 = 75.

Common Trap: Adding 15 again (57 + 15 = 72, Option B) or adding 21 (57 + 21 = 78, Option C).
Exam Tip: Second difference is constant (+3), indicating a standard quadratic growth model.","Correct. Survives elimination because the next difference is 18, giving 57 + 18 = 75.","Eliminated because adding 15 yields 72.","Eliminated because adding 21 yields 78.","Eliminated because arithmetic slip gives 74.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Difference patterns | Very Difficult | Batch 028"
"Find the missing number in the exponentially doubling difference sequence:

5, 11, 23, 47, 95, ?","191","190","192","189","A","Step-by-Step Solution:
1. Examine differences between consecutive terms:
 - 11 - 5 = 6 = 6 × 2⁰
 - 23 - 11 = 12 = 6 × 2¹
 - 47 - 23 = 24 = 6 × 2²
 - 95 - 47 = 48 = 6 × 2³.
2. The added differences double at each step (6, 12, 24, 48).
3. The next difference is 48 × 2 = 96.
4. Compute the 6th term:
 - T₆ = 95 + 96 = 191.
 - (Alternatively: Tₙ₊₁ = 2 Tₙ + 1 implies 2(95) + 1 = 190 + 1 = 191).

Common Trap: Doubling 95 without adding 1 (190, Option B).
Exam Tip: When differences double (6, 12, 24, 48, 96), next term is Tₙ + Difference.","Correct. Survives elimination because 95 + 96 = 191 (or 2 * 95 + 1 = 191).","Eliminated because 190 is 2 * 95 without the +1 offset.","Eliminated because adding 97 gives 192.","Eliminated because arithmetic error gives 189.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Difference patterns | Very Difficult | Batch 028"
"What is the 8th term in the sequence where differences are consecutive triangular numbers:

4, 5, 8, 14, 24, 39, 60, ?","88","84","92","81","A","Step-by-Step Solution:
1. Determine consecutive differences:
 - 5 - 4 = 1 (1st triangular number: 1 × 2/2)
 - 8 - 5 = 3 (2nd triangular number: 2 × 3/2)
 - 14 - 8 = 6 (3rd triangular number: 3 × 4/2)
 - 24 - 14 = 10 (4th triangular number: 4 × 5/2)
 - 39 - 24 = 15 (5th triangular number: 5 × 6/2)
 - 60 - 39 = 21 (6th triangular number: 6 × 7/2).
2. The sequence of differences is 1, 3, 6, 10, 15, 21.
3. The 7th triangular number is 7 × 8/2 = 28.
4. Compute the 8th term:
 - T₈ = 60 + 28 = 88.

Common Trap: Adding 24 instead of 28 (60 + 24 = 84, Option B).
Exam Tip: Triangular differences increment by +1, +2, +3, +4, +5, +6, +7.","Correct. Survives elimination because the next triangular difference is 28, giving 60 + 28 = 88.","Eliminated because adding 24 yields 84.","Eliminated because adding 32 yields 92.","Eliminated because repeating the +21 increment yields 81.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Difference patterns | Very Difficult | Batch 028"
"Identify the next number in the sequence with decelerating positive differences:

150, 185, 215, 240, 260, 275, ?","285","290","280","295","A","Step-by-Step Solution:
1. Calculate differences between consecutive terms:
 - 185 - 150 = 35
 - 215 - 185 = 30
 - 240 - 215 = 25
 - 260 - 240 = 20
 - 275 - 260 = 15.
2. The differences decrease by 5 at each step (35, 30, 25, 20, 15).
3. The next difference is 15 - 5 = 10.
4. Compute the 7th term:
 - T₇ = 275 + 10 = 285.

Common Trap: Adding 15 again (275 + 15 = 290, Option B) or adding 5.
Exam Tip: Second difference is constant (-5), indicating a concave quadratic model.","Correct. Survives elimination because the next difference is 10, giving 275 + 10 = 285.","Eliminated because repeating the +15 difference gives 290.","Eliminated because adding 5 yields 280.","Eliminated because adding 20 gives 295.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Difference patterns | Very Difficult | Batch 028"
"Find the missing number in the alternating expanding difference sequence:

20, 27, 22, 31, 24, 35, 26, ?","39","37","41","35","A","Step-by-Step Solution:
1. Calculate the operations between consecutive numbers:
 - 20 + 7 = 27 (+7)
 - 27 - 5 = 22 (-5)
 - 22 + 9 = 31 (+9)
 - 31 - 7 = 24 (-7)
 - 24 + 11 = 35 (+11)
 - 35 - 9 = 26 (-9).
2. Analyze the alternating pattern:
 - Positive additions increment by 2: +7, +9, +11, +13.
 - Negative subtractions increment by 2: -5, -7, -9, -11.
3. The next operation is +13:
 - T₈ = 26 + 13 = 39.

Common Trap: Adding 11 again (26 + 11 = 37, Option B) or subtracting 11.
Exam Tip: Separate odd and even differences: Additions are +7, +9, +11, +13.","Correct. Survives elimination because the next positive increment is +13, giving 26 + 13 = 39.","Eliminated because adding 11 yields 37.","Eliminated because adding 15 yields 41.","Eliminated because adding 9 yields 35.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Difference patterns | Very Difficult | Batch 028"
"What is the 7th term in the sequence where differences are consecutive powers of 3:

2, 5, 14, 41, 122, 365, ?","1,094","1,093","1,095","1,120","A","Step-by-Step Solution:
1. Calculate differences between consecutive terms:
 - 5 - 2 = 3 = 3¹
 - 14 - 5 = 9 = 3²
 - 41 - 14 = 27 = 3³
 - 122 - 41 = 81 = 3⁴
 - 365 - 122 = 243 = 3⁵.
2. The increments are consecutive powers of 3 (3¹, 3², 3³, 3⁴, 3⁵).
3. The next increment is 3⁶ = 729.
4. Compute the 7th term:
 - T₇ = 365 + 729 = 1,094.
 - (Alternatively: Tₙ₊₁ = 3 Tₙ - 1 implies 3(365) - 1 = 1,095 - 1 = 1,094).

Common Trap: Providing 3 × 365 = 1,095 (Option C) without subtracting 1.
Exam Tip: Check: 365 + 729 = 1,094.","Correct. Survives elimination because 365 + 3⁶ = 365 + 729 = 1,094 (or 3 * 365 - 1 = 1,094).","Eliminated because arithmetic slip gives 1,093.","Eliminated because 1,095 is 3 * 365 without the -1 offset.","Eliminated because adding 755 yields 1,120.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Difference patterns | Very Difficult | Batch 028"
"Determine the missing number in the sequence where differences are consecutive factorials:

1, 2, 4, 10, 34, 154, ?","874","864","870","894","A","Step-by-Step Solution:
1. Calculate differences between consecutive terms:
 - 2 - 1 = 1 = 1!
 - 4 - 2 = 2 = 2!
 - 10 - 4 = 6 = 3!
 - 34 - 10 = 24 = 4!
 - 154 - 34 = 120 = 5!.
2. The added differences are consecutive factorials (1!, 2!, 3!, 4!, 5!).
3. The next difference is 6! = 720.
4. Compute the 7th term:
 - T₇ = 154 + 720 = 874.

Common Trap: Adding 6 × 120 = 720 correctly but making an addition error with 154 (864, Option B).
Exam Tip: 154 + 720 = 874.","Correct. Survives elimination because 154 + 6! = 154 + 720 = 874.","Eliminated because addition slip yields 864.","Eliminated because rounding gives 870.","Eliminated because adding 740 yields 894.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Difference patterns | Very Difficult | Batch 028"
"Find the 8th term in the sequence where differences are consecutive odd composite integers:

10, 19, 34, 55, 80, 107, 140, ?","175","173","179","168","A","Step-by-Step Solution:
1. Examine consecutive differences:
 - 19 - 10 = 9 (1st odd composite)
 - 34 - 19 = 15 (2nd odd composite)
 - 55 - 34 = 21 (3rd odd composite)
 - 80 - 55 = 25 (4th odd composite)
 - 107 - 80 = 27 (5th odd composite)
 - 140 - 107 = 33 (6th odd composite).
2. The differences form the sequence of consecutive odd composite numbers (non-prime odds: 9, 15, 21, 25, 27, 33).
3. Identify the next odd composite number after 33:
 - 35 is composite (5 × 7 = 35).
4. Compute the 8th term:
 - T₈ = 140 + 35 = 175.

Common Trap: Adding 33 again (140 + 33 = 173, Option B) or adding 39.
Exam Tip: Odd composites skip prime numbers: 11, 13, 17, 19, 23, 29, 31 are all omitted.","Correct. Survives elimination because the next odd composite difference is 35, giving 140 + 35 = 175.","Eliminated because adding 33 yields 173.","Eliminated because adding 39 yields 179.","Eliminated because adding 28 yields 168.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Difference patterns | Very Difficult | Batch 028"
"Identify the next number in the accelerating negative difference sequence:

50, 48, 44, 36, 20, -12, ?","-76","-72","-80","-64","A","Step-by-Step Solution:
1. Calculate consecutive subtrahends:
 - 50 - 48 = 2 = 2¹
 - 48 - 44 = 4 = 2²
 - 44 - 36 = 8 = 2³
 - 36 - 20 = 16 = 2⁴
 - 20 - (-12) = 32 = 2⁵.
2. The subtrahends are consecutive powers of 2 (2, 4, 8, 16, 32).
3. The next subtrahend is 2⁶ = 64.
4. Compute the 7th term:
 - T₇ = -12 - 64 = -76.

Common Trap: Adding 64 instead of subtracting (-12 + 64 = 52) or subtraction error yielding -72 (Option B).
Exam Tip: Signed arithmetic: -12 - 64 = -(12 + 64) = -76.","Correct. Survives elimination because -12 - 2⁶ = -12 - 64 = -76.","Eliminated because subtraction error gives -72.","Eliminated because subtracting 68 yields -80.","Eliminated because -64 is the subtrahend alone.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Difference patterns | Very Difficult | Batch 028"
"Find the missing term in the sequence where each difference equals twice the preceding term:

2, 6, 18, 54, 162, ?","486","480","512","468","A","Step-by-Step Solution:
1. Examine differences:
 - 6 - 2 = 4 = 2 × 2
 - 18 - 6 = 12 = 2 × 6
 - 54 - 18 = 36 = 2 × 18
 - 162 - 54 = 108 = 2 × 54.
2. Note that Tₙ + 2Tₙ = 3Tₙ.
3. The sequence is an exact geometric progression with common ratio r = 3:
 - 2 × 3 = 6
 - 6 × 3 = 18
 - 18 × 3 = 54
 - 54 × 3 = 162.
4. Compute the 6th term:
 - T₆ = 162 × 3 = 486 (or 162 + 324 = 486).

Common Trap: Multiplying by 2 instead of 3 (162 × 2 = 324) or arithmetic slip yielding 480 (Option B).
Exam Tip: If difference is 2Tₙ, next term is Tₙ + 2Tₙ = 3Tₙ.","Correct. Survives elimination because 162 * 3 = 486 (or 162 + 2 * 162 = 486).","Eliminated because arithmetic error yields 480.","Eliminated because 512 is 2⁹.","Eliminated because 468 is an arithmetic slip.","Numerical Ability","Numerical Ability | Number Sequence | Higher-Order Patterns | Difference patterns | Very Difficult | Batch 028"
