"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Find the missing number in the diminishing divisor sequence:

20,160, 2,520, 360, 60, 12, ?","3","4","2","6","A","Step-by-Step Solution:
1. Determine the consecutive division quotients:
 - 20,160 ÷ 8 = 2,520
 - 2,520 ÷ 7 = 360
 - 360 ÷ 6 = 60
 - 60 ÷ 5 = 12.
2. The consecutive divisors form a strictly decreasing sequence of integers: 8, 7, 6, 5.
3. The next divisor in the sequence is 4.
4. Compute the next term:
 - T₆ = 12 ÷ 4 = 3.

Common Trap: Dividing by 3 (12 ÷ 3 = 4, Option B) by accidentally skipping the divisor 4.
Exam Tip: Track divisor steps carefully: ÷ 8 to ÷ 7 to ÷ 6 to ÷ 5 to ÷ 4.","Correct. Survives elimination because the next divisor in the descending integer sequence is 4, giving 12 / 4 = 3.","Eliminated because 4 is the result of dividing by 3 instead of 4.","Eliminated because 2 is 12 / 6.","Eliminated because 6 is 12 / 2.","Numerical Ability","Numerical Ability | Number Sequence | Pattern Recognition | Division patterns | Very Difficult | Batch 023"
"Identify the next term in the geometric division sequence with fractional terms:

648, 216, 72, 24, 8, 8/3, ?","8/9","8/27","4/9","2/3","A","Step-by-Step Solution:
1. Identify the constant division factor:
 - 648 ÷ 3 = 216
 - 216 ÷ 3 = 72
 - 72 ÷ 3 = 24
 - 24 ÷ 3 = 8
 - 8 ÷ 3 = 8/3.
2. The sequence is a geometric progression with common ratio r = 1/3.
3. Multiply the 6th term by 1/3 to find the 7th term:
 - T₇ = 8/3 × 1/3 = 8/9.

Common Trap: Dividing by 9 at once (8/27, Option B) or taking half of the fraction (4/9, Option C).
Exam Tip: Dividing a fraction by an integer k multiplies the denominator by k (a/b ÷ k = a/b · k).","Correct. Survives elimination because (8/3) / 3 = 8/9.","Eliminated because dividing by 9 yields 8/27.","Eliminated because dividing the numerator by 2 yields 4/9.","Eliminated because 2/3 is (8/3) / 4.","Numerical Ability","Numerical Ability | Number Sequence | Pattern Recognition | Division patterns | Very Difficult | Batch 023"
"What is the 7th term in the prime divisor sequence:

510,510, 30,030, 2,310, 210, 30, 6, ?","2","3","1","0","A","Step-by-Step Solution:
1. Examine the consecutive division factors:
 - 510,510 ÷ 17 = 30,030 (Divisor: 17)
 - 30,030 ÷ 13 = 2,310 (Divisor: 13)
 - 2,310 ÷ 11 = 210 (Divisor: 11)
 - 210 ÷ 7 = 30 (Divisor: 7)
 - 30 ÷ 5 = 6 (Divisor: 5).
2. The divisors are descending prime numbers: 17, 13, 11, 7, 5.
3. The next descending prime number is 3.
4. Compute the 7th term:
 - T₇ = 6 ÷ 3 = 2.

Common Trap: Dividing by 2 (6 ÷ 2 = 3, Option B) or assuming the sequence ends at 1.
Exam Tip: The prime sequence is 17 to 13 to 11 to 7 to 5 to 3 to 2.","Correct. Survives elimination because the next prime divisor is 3, giving 6 / 3 = 2.","Eliminated because 3 is the divisor itself, not the resulting quotient.","Eliminated because 6 / 6 = 1 is invalid.","Eliminated because division never yields 0.","Numerical Ability","Numerical Ability | Number Sequence | Pattern Recognition | Division patterns | Very Difficult | Batch 023"
"Find the next number in the successive square root extraction sequence:

65,536, 256, 16, 4, ?","2","1","√2","0","A","Step-by-Step Solution:
1. Analyze the functional transformation between terms:
 - T₁ = 65,536 = 2¹⁶
 - T₂ = √65,536 = 256 = 2⁸
 - T₃ = √256 = 16 = 2⁴
 - T₄ = √16 = 4 = 2².
2. Formulate recurrence: Tₙ = √Tₙ₋₁ = (Tₙ₋₁)¹/².
3. Compute the 5th term by taking the square root of 4:
 - T₅ = √4 = 2 = 2¹.

Common Trap: Dividing by 4 (4 ÷ 4 = 1, Option B), confusing square root extraction with integer division.
Exam Tip: Powers of 2 halve at each radical step: 2¹⁶ to 2⁸ to 2⁴ to 2² to 2¹ = 2.","Correct. Survives elimination because sqrt(4) = 2.","Eliminated because 1 is the result of dividing 4 by 4, not taking its square root.","Eliminated because sqrt(2) is the subsequent (6th) term.","Eliminated because roots of positive numbers are strictly positive.","Numerical Ability","Numerical Ability | Number Sequence | Pattern Recognition | Division patterns | Very Difficult | Batch 023"
"Find the missing number in the alternating divisor-multiplier sequence:

1,440, 240, 480, 120, 360, 60, ?","240","300","180","120","A","Step-by-Step Solution:
1. Examine operations connecting successive terms:
 - 1,440 to 240: Divide by 6 (1,440 ÷ 6 = 240).
 - 240 to 480: Multiply by 2 (240 × 2 = 480).
 - 480 to 120: Divide by 4 (480 ÷ 4 = 120).
 - 120 to 360: Multiply by 3 (120 × 3 = 360).
 - 360 to 60: Divide by 6 (360 ÷ 6 = 60).
2. Analyze the two alternating operation tracks:
 - Divisors: [÷ 6, ÷ 4, ÷ 6,...] (periodic or decrementing cycle).
 - Multipliers: [× 2, × 3, × 4,...] (incrementing multipliers).
3. Apply the next scheduled operation (× 4):
 - T₇ = 60 × 4 = 240.

Common Trap: Dividing again (60 ÷ 2 = 30) instead of multiplying.
Exam Tip: Alternate operations: ÷ 6 to × 2 to ÷ 4 to × 3 to ÷ 6 to × 4.","Correct. Survives elimination because the next multiplier increments to 4, giving 60 * 4 = 240.","Eliminated because multiplying by 5 yields 300.","Eliminated because multiplying by 3 yields 180.","Eliminated because repeating x2 yields 120.","Numerical Ability","Numerical Ability | Number Sequence | Pattern Recognition | Division patterns | Very Difficult | Batch 023"
"What is the next number in the positional-index division sequence:

720, 720, 360, 120, 30, 6, ?","1","0","2","0.5","A","Step-by-Step Solution:
1. Examine the division factor at each position:
 - Position 1 to 2: 720 ÷ 1 = 720
 - Position 2 to 3: 720 ÷ 2 = 360
 - Position 3 to 4: 360 ÷ 3 = 120
 - Position 4 to 5: 120 ÷ 4 = 30
 - Position 5 to 6: 30 ÷ 5 = 6.
2. The divisors increment by 1 at each transition: ÷ 1, ÷ 2, ÷ 3, ÷ 4, ÷ 5.
3. The next divisor is 6.
4. Compute the 7th term:
 - T₇ = 6 ÷ 6 = 1.

Common Trap: Answering 0 (Option B) by assuming the numbers subtract down to zero.
Exam Tip: Tₙ = 720/(n-1)!. For n = 7, T₇ = 720/6! = 720/720 = 1.","Correct. Survives elimination because the next divisor is 6, giving 6 / 6 = 1.","Eliminated because division by non-zero real numbers never yields 0.","Eliminated because 6 / 3 = 2 fails the divisor increment.","Eliminated because 6 / 12 = 0.5.","Numerical Ability","Numerical Ability | Number Sequence | Pattern Recognition | Division patterns | Very Difficult | Batch 023"
"Determine the missing term in the exponential fraction-decay sequence:

625/16, 125/8, 25/4, 5/2, 1, ?","2/5 (or 0.4)","1/2","4/25","1/5","A","Step-by-Step Solution:
1. Express terms as powers of the rational fraction 5/2:
 - T₁ = (5/2)⁴ = 625/16
 - T₂ = (5/2)³ = 125/8
 - T₃ = (5/2)² = 25/4
 - T₄ = (5/2)¹ = 5/2
 - T₅ = (5/2)⁰ = 1.
2. Formulate general term: Tₙ = (5/2)⁵⁻ⁿ.
3. Compute the 6th term (n = 6):
 - T₆ = (5/2)⁵⁻⁶ = (5/2)⁻¹ = 2/5 = 0.4.

Common Trap: Answering 1/2 (Option B) or 5/2⁻² = 4/25 (Option C) by miscounting exponent steps.
Exam Tip: Multiplying by the reciprocal ratio 2/5 at each step gives 1 × 2/5 = 2/5.","Correct. Survives elimination because 1 * (2/5) = 2/5 = 0.4.","Eliminated because 1/2 ignores the factor of 5 in the ratio.","Eliminated because 4/25 is the 7th term.","Eliminated because 1/5 drops the numerator factor of 2.","Numerical Ability","Numerical Ability | Number Sequence | Pattern Recognition | Division patterns | Very Difficult | Batch 023"
"Find the next number in the recursive halving sequence with constant subtraction:

1,024, 510, 253, 124.5, 60.25, ?","28.125 (or 281/8)","28.25","29.125","27.50","A","Step-by-Step Solution:
1. Examine the recursive operational structure:
 - 1,024/2 - 2 = 512 - 2 = 510
 - 510/2 - 2 = 255 - 2 = 253
 - 253/2 - 2 = 126.5 - 2 = 124.5
 - 124.5/2 - 2 = 62.25 - 2 = 60.25.
2. Apply recurrence Tₙ₊₁ = Tₙ/2 - 2 to find T₆:
 - T₆ = 60.25/2 - 2.
 - 60.25/2 = 30.125.
 - 30.125 - 2 = 28.125 = 281/8.

Common Trap: Arithmetic slips in halving decimals, such as evaluating 60.25/2 as 30.25, yielding 28.25 (Option B).
Exam Tip: Note that 0.25/2 = 0.125 = 1/8. Thus 30.125 - 2 = 28.125.","Correct. Survives elimination because 60.25 / 2 - 2 = 30.125 - 2 = 28.125 = 28 1/8.","Eliminated because miscalculating 60.25 / 2 as 30.25 yields 28.25.","Eliminated because subtracting 1 instead of 2 yields 29.125.","Eliminated because rounding error gives 27.50.","Numerical Ability","Numerical Ability | Number Sequence | Pattern Recognition | Division patterns | Very Difficult | Batch 023"
"What is the 7th term in the harmonic division sequence:

120, 60, 40, 30, 24, 20, ?","120/7 (or 171/7)","15","18","120/8","A","Step-by-Step Solution:
1. Examine the sequence as fractions of a constant numerator (120):
 - T₁ = 120/1 = 120
 - T₂ = 120/2 = 60
 - T₃ = 120/3 = 40
 - T₄ = 120/4 = 30
 - T₅ = 120/5 = 24
 - T₆ = 120/6 = 20.
2. Formulate general term: Tₙ = 120/n.
3. Compute the 7th term (n = 7):
 - T₇ = 120/7 = 171/7 ≈ 17.142857.

Common Trap: Assuming the next term is 15 (Option B), which is actually the 8th term (120/8 = 15).
Exam Tip: The harmonic sequence Tₙ = C/n produces integer values for factors of C and fractions otherwise.","Correct. Survives elimination because T7 = 120 / 7 = 17 1/7.","Eliminated because 15 is T8 = 120 / 8, skipping n = 7.","Eliminated because 18 fails the harmonic formula.","Eliminated because 120/8 = 15 is the 8th term.","Numerical Ability","Numerical Ability | Number Sequence | Pattern Recognition | Division patterns | Very Difficult | Batch 023"
"Identify the next term in the division-of-previous-terms sequence:

4,096, 64, 64, 1, 64, 1/64, ?","4,096","1","1/4,096","64","A","Step-by-Step Solution:
1. Identify the recurrence relation:
 - Each term is the quotient of the term two steps prior divided by the term one step prior:
 - Tₙ = Tₙ₋₂/Tₙ₋₁.
2. Verify with sequence terms:
 - T₃ = 4,096/64 = 64
 - T₄ = 64/64 = 1
 - T₅ = 64/1 = 64
 - T₆ = 1/64.
3. Compute the 7th term (T₇):
 - T₇ = T₅/T₆ = 64/1/64.
4. Simplify division by a fraction:
 - T₇ = 64 × 64 = 4,096.

Common Trap: Multiplying 1 × 1/64 or inverting the division order (1/64/64 = 1/4,096, Option C).
Exam Tip: Dividing by 1/64 is identical to multiplying by 64 (64 × 64 = 4,096).","Correct. Survives elimination because T7 = T5 / T6 = 64 / (1/64) = 64 * 64 = 4,096.","Eliminated because 1 is the 4th term.","Eliminated because inverting the division order gives (1/64)/64 = 1/4,096.","Eliminated because 64 is T5.","Numerical Ability","Numerical Ability | Number Sequence | Pattern Recognition | Division patterns | Very Difficult | Batch 023"
