"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 5(a) of Republic Act No. 6713, what is the mandatory statutory timeframe within which all public officials and employees must ACT PROMPTLY on letters, telegrams, and other written communications sent by the public?","Within FIFTEEN (15) WORKING DAYS from receipt thereof, the reply must contain the action taken on the request.","Within sixty (60) calendar days from receipt.","Within six (6) months from the date of the next general election.","Government offices are not required to reply to written letters from citizens.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 5(a):
 'Duties of Public Officials and Employees. — In the performance of their duties, all public officials and employees are under obligation to:
 (a) Act promptly on letters and other communications. — All public officials and employees shall, within FIFTEEN (15) WORKING DAYS from receipt thereof, respond to letters, telegrams or other communications sent by the public. The reply must contain the action taken on the request.'
2. Key Operational Rules:
 - 1. Computation: 15 WORKING DAYS (excludes Saturdays, Sundays, and official holidays).
 - 2. Content: The reply must NOT be an empty acknowledgment; it must contain the SUBSTANTIVE ACTION TAKEN on the request or explain the legal grounds for any delay.
 - 3. Failure to comply: Constitutes Neglect of Duty / Violation of RA 6713 punishable by administrative sanctions under Section 11.
3. Option A is the verbatim statutory requirement.

Common Trap: Confusing 15 calendar days with 15 WORKING DAYS; the statute explicitly specifies FIFTEEN (15) WORKING DAYS.
Exam Tip: RA 6713, Sec. 5(a) = Reply to letters/communications within 15 WORKING DAYS containing the action taken.","Correct. Survives elimination because Section 5(a) of RA 6713 explicitly mandates that all public officials and employees must respond to letters and communications within 15 working days from receipt, detailing the action taken.","Eliminated because 60 calendar days exceeds the statutory 15-working-day deadline.","Eliminated because the 15-day reply mandate is a continuous annual duty, not tied to election cycles.","Eliminated because ignoring citizen communications is an actionable administrative violation of Section 5(a).","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Responsiveness to the public | Very Difficult | Batch 158"
"Under Republic Act No. 11032 (Ease of Doing Business and Efficient Government Service Delivery Act of 2018), what are the standard STATUTORY PROCESSING PERIODS for (1) Simple, (2) Complex, and (3) Highly Technical government transactions?","(1) Simple Transactions: 3 working days; (2) Complex Transactions: 7 working days; (3) Highly Technical Transactions: 20 working days.","(1) Simple: 1 working day; (2) Complex: 30 working days; (3) Highly Technical: 1 calendar year.","(1) Simple: 15 working days; (2) Complex: 45 working days; (3) Highly Technical: 90 working days.","(1) Simple: 24 hours; (2) Complex: 48 hours; (3) Highly Technical: 72 hours.","A","Step-by-Step Solution:
1. Statutory Basis: Section 9(b), Republic Act No. 11032 (Ease of Doing Business and Efficient Government Service Delivery Act of 2018 amending RA 9485):
2. The 3-7-20 DAY RULE for Government Service Delivery:
 - 1. SIMPLE TRANSACTIONS: Applications/requests submitting complete documents which require only clerical or standard procedural review:
 - Maximum Processing Time: THREE (3) WORKING DAYS.
 - 2. COMPLEX TRANSACTIONS: Applications/requests requiring evaluation in the resolution of complicated issues or involving technical assessments:
 - Maximum Processing Time: SEVEN (7) WORKING DAYS.
 - 3. HIGHLY TECHNICAL TRANSACTIONS / Multi-Stage Activities: Applications requiring multi-party specialized technical assessments, scientific lab tests, or specialized board resolutions:
 - Maximum Processing Time: TWENTY (20) WORKING DAYS.
3. Extension Rule: For highly technical or complex transactions, a SINGLE EXTENSION of up to 20 working days may be granted, provided written notice explaining the reasons is issued to the applicant before the original deadline expires.
4. Option A matches the statutory 3-7-20 day matrix verbatim.

Common Trap: Confusing RA 6713's 15-working-day letter response with RA 11032's 3-7-20 day transaction processing timeline; both are complementary statutory standards.
Exam Tip: RA 11032 (Ease of Doing Business 3-7-20 Rule) = Simple: 3 working days | Complex: 7 working days | Highly Technical: 20 working days.","Correct. Survives elimination because Section 9(b) of RA 11032 explicitly codifies the 3-7-20 rule: 3 working days for simple transactions, 7 working days for complex transactions, and 20 working days for highly technical transactions.","Eliminated because 30 days and 1 year exceed the statutory limits of RA 11032.","Eliminated because 15, 45, and 90 days are not the standard transaction brackets under RA 11032.","Eliminated because 24 to 72 hours are unrealistic for complex and highly technical government certifications.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Responsiveness to the public | Very Difficult | Batch 158"
"What is the 'CITIZEN'S CHARTER' required under Section 6 of Republic Act No. 11032 and civil service regulations, and what is its indispensable function in ensuring Responsiveness to the Public?","An official document posted prominently in every government agency outlining the step-by-step procedures, required documentary checklist, applicable fees, maximum processing ×, and responsible officers for each public service offered, serving as a legally binding performance pledge to the public.","A private internal document locked in the agency vault to prevent the public from discovering transaction procedures.","An election manifesto distributed exclusively by candidates during local campaigns.","A certificate issued to citizens who donate large sums of money to public agencies.","A","Step-by-Step Solution:
1. Statutory Authority: Section 6, Republic Act No. 11032 (Ease of Doing Business Act) & Section 4(A)(e), RA 6713:
2. The Nature and Requirements of the Citizen's Charter:
 - 1. Mandatory Public Display: Every government agency must post its Citizen's Charter prominently at the main entrance, service desks, and official website in clear, understandable language (English, Filipino, or local dialect).
 - 2. Mandatory Content of the Charter:
 (a) Checklist of ALL requirements (No agency can demand documents not listed in the Charter);
 (b) Step-by-step procedure to avail the service;
 (c) Exact fees and charges (No hidden or informal fees);
 (d) Maximum processing time for each stage;
 (e) Name and position of the officer/employee responsible for each step;
 (f) Procedure for filing complaints and redress mechanisms.
 - 3. Legal Status: It is a BINDING PERFORMANCE PLEDGE. Demanding requirements or fees not in the Charter, or exceeding the posted processing time, constitutes an administrative violation under RA 11032.
3. Option A is the comprehensive statutory definition.

Common Trap: Thinking the Citizen's Charter is just an informal poster; it is a STATUTORY LEGAL CONTRACT between the government agency and the Filipino people.
Exam Tip: Citizen's Charter (RA 11032) = Publicly posted binding service standard containing: Requirements checklist, Steps, Fees, Processing ×, and Responsible officers.","Correct. Survives elimination because Section 6 of RA 11032 mandates the Citizen's Charter as a transparent, publicly posted document detailing requirements, steps, fees, processing ×, and responsible personnel for all public services.","Eliminated because keeping transaction rules hidden defeats transparency and is strictly prohibited by anti-red tape laws.","Eliminated because the Citizen's Charter is a permanent statutory administrative instrument, not an election campaign flyer.","Eliminated because the Charter is an agency service guide, not a donor award certificate.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Responsiveness to the public | Very Difficult | Batch 158"
"What is the 'AUTOMATIC APPROVAL' OR 'AUTOMATIC EXTENSION' DOCTRINE under Section 10 of RA 11032 when a government agency fails to act on an application within the prescribed processing timeframe?","If a government office fails to approve or disapprove an application with complete requirements within the prescribed 3, 7, or 20 working days, the application shall be DEEMED AUTOMATICALLY APPROVED, provided all required documents have been submitted and all legal fees paid.","The application is permanently destroyed and the applicant must pay double fees to restart the process.","The applicant is arrested for bothering government workers during office hours.","The government agency is granted an automatic five-year extension to consider the application.","A","Step-by-Step Solution:
1. Statutory Anchor: Section 10, Republic Act No. 11032 (Automatic Approval / Deemed Approved Clause):
 'If a government office or agency fails to approve or disapprove an original application or request for issuance of license, clearance, permit, certification or authorization within the prescribed processing time, said application or request shall be DEEMED APPROVED: Provided, That all required documents have been submitted and all required fees and charges have been paid.'
2. Operational Mechanism:
 - 1. Preconditions: (a) Applicant submitted 100% of requirements listed in Citizen's Charter; (b) Paid all official fees; (c) Possesses the official receipt and acknowledgment slip showing the date of submission.
 - 2. Expiration of 3, 7, or 20 working days without written notice of denial: The permit is DEEMED LEGALLY GRANTED BY OPERATION OF LAW.
 - 3. Issuance of Document: The head of agency must immediately issue the formal certificate, and erring officials face administrative and criminal charges for gross neglect of duty under Section 21.
3. Option A matches the statutory rule verbatim.

Common Trap: Assuming silence means denial; under RA 11032, unacted applications with complete requirements are DEEMED AUTOMATICALLY APPROVED.
Exam Tip: RA 11032, Sec. 10 = AUTOMATIC APPROVAL (Unacted complete applications after 3/7/20 days are deemed approved by operation of law).","Correct. Survives elimination because Section 10 of RA 11032 explicitly establishes that complete applications unacted upon within the prescribed 3, 7, or 20-day timeframe are deemed automatically approved by operation of law upon payment of fees.","Eliminated because destroying applications or demanding double fees violates anti-red tape statutes and constitutes gross administrative abuse.","Eliminated because citizens exercising statutory rights to government service cannot be arrested or harassed.","Eliminated because RA 11032 was designed specifically to eradicate indefinite bureaucratic delays, not grant 5-year extensions.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Responsiveness to the public | Very Difficult | Batch 158"
"Under Section 7 of RA 11032 (Ease of Doing Business Act), what is the 'ZERO-CONTACT POLICY', and how does it advance transparency and prevent corruption in government transactions?","No government officer or employee shall have any direct personal contact with an applicant regarding a pending application, EXCEPT during preliminary document intake or when strictly necessary for technical inspection, directing all follow-ups through electronic portals or designated public service windows to prevent bribery and fixing.","Government employees are prohibited from looking at any citizen's face during office hours.","Public transactions can only be conducted by exchanging handwritten notes thrown over the office fence.","Government agencies must abolish all public telephone lines and email addresses.","A","Step-by-Step Solution:
1. Statutory Text: Section 7, Republic Act No. 11032:
 'Zero-Contact Policy. — Except during the preliminary assessment of the request, submission of documents, or when strictly necessary for technical evaluation, NO GOVERNMENT OFFICER OR EMPLOYEE SHALL HAVE ANY CONTACT, in any manner, unless also provided by law, with an applicant or requesting party regarding an application or request.'
2. Rationale & Implementation:
 - 1. Eradicating Opportunities for Bribery & Extortion: Eliminating informal face-to-face follow-ups and private negotiations where fixers and corrupt personnel solicit bribes.
 - 2. Electronic / Centralized Processing: Directing applications through digital government portals (e.g., Central Business Portal, online registries) or transparent public receiving counters.
 - 3. Tracking Status Online: Applicants check status via automated tracking numbers, eliminating the need to visit private offices of examiners.
3. Option A accurately states the statutory definition and anti-corruption purpose.

Common Trap: Thinking zero-contact means ignoring the public; Zero-Contact Policy means preventing UNAUTHORIZED, PRIVATE, BACKROOM INTERACTIONS to stop extortion, while using transparent, standardized processing channels.
Exam Tip: Zero-Contact Policy (RA 11032, Sec. 7) = Prohibits direct private contact between examiners and applicants regarding pending applications to eliminate corruption/fixing.","Correct. Survives elimination because Section 7 of RA 11032 mandates the Zero-Contact Policy to minimize informal interactions between applicants and evaluators, routing processes through transparent digital systems and standard windows to eliminate bribery and fixers.","Eliminated because the policy regulates official process interactions, not normal interpersonal visual etiquette.","Eliminated because communications are conducted via formal automated digital portals and official service desks.","Eliminated because public contact channels are expanded and digitized under anti-red tape laws.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Responsiveness to the public | Very Difficult | Batch 158"
"What is the statutory prohibition and penalty regarding 'FIXERS' AND 'FIXING' under Republic Act No. 11032 (amending the Anti-Red Tape Act)?","Fixing is any unauthorized activity facilitating or expediting government transactions for financial or other gain; fixers and any government employees colluding with them face criminal imprisonment of up to ONE (1) YEAR, a fine of up to PHP 2,000,000, and perpetual dismissal from public service.","Fixers are recognized as licensed private government facilitators entitled to collect a 30% commission.","Government offices are required to set up designated air-conditioned desks for commercial fixers.","Fixing is considered a minor civil dispute resolved by a warning letter from the local barangay captain.","A","Step-by-Step Solution:
1. Statutory Definition: Section 4(g) & Section 12, Republic Act No. 11032:
 - 'Fixer' refers to any person whether a private individual or a government employee who colludes with government personnel, or who facilitates or expeditiously processes transactions on behalf of an applicant for financial gain or other advantage.
2. Criminal Penalties for Fixing (Section 21 & 22, RA 11032):
 - 1. Criminal Sanction: Imprisonment of not exceeding ONE (1) YEAR, or a fine of not less than PHP 500,000 to PHP 2,000,000, or both, at the discretion of the court.
 - 2. Administrative Sanction (for public employees): MANDATORY DISMISSAL FROM SERVICE, forfeiture of all retirement benefits, and PERPETUAL DISQUALIFICATION from public office.
 - 3. Complete Ban on Fixers: Anti-Red Tape Authority (ARTA) and agencies must display prominent 'NO TO FIXERS' warnings.
3. Option A is the precise statutory definition and penalty.

Common Trap: Believing fixing is merely an informal convenience; FIXING IS A SERIOUS CRIME under RA 11032 carrying massive multi-million peso fines and imprisonment.
Exam Tip: Fixer (RA 11032) = Unauthorized person facilitating transactions for gain; Penalty = Imprisonment up to 1 year + Fine up to PHP 2,000,000 + Dismissal.","Correct. Survives elimination because RA 11032 outlaws fixers and collusive fixing activities, imposing criminal penalties of up to one year imprisonment and fines up to PHP 2,000,000 alongside administrative dismissal and perpetual disqualification.","Eliminated because fixers are illegal criminal operators, not authorized government agents.","Eliminated because government agencies are strictly mandated to eliminate and arrest fixers on sight.","Eliminated because fixing is a statutory crime and grave administrative offense, not a minor barangay conciliation matter.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Responsiveness to the public | Very Difficult | Batch 158"
"Under Section 5(b) of RA 6713, what is the annual reporting obligation imposed on all government heads of agencies, departments, and offices to ensure public responsiveness and transparency?","All heads or other responsible officers of departments, offices, and agencies of the government and of government-owned or controlled corporations shall, within FORTY-FIVE (45) WORKING DAYS from the end of the year, render a full performance report of their agency and make it readily available to the public.","Submit a secret report to foreign intelligence agencies within five calendar days.","Distribute free agency souvenirs to private commercial stockholders.","Publish an annual entertainment brochure featuring celebrity endorsers.","A","Step-by-Step Solution:
1. Statutory Text: Republic Act No. 6713, Section 5(b):
 'Submit annual performance reports. — All heads or other responsible officers of departments, offices and agencies of the government and of government-owned or controlled corporations shall, within FORTY-FIVE (45) WORKING DAYS from the end of the year, render a full report of the performance and accomplishments of their respective offices, which shall include:
 (1) Realistic performance targets;
 (2) Accomplishments against said targets;
 (3) Programs, projects, and activities executed;
 (4) Problems encountered and proposed solutions.
 Such reports shall be widely disseminated and made readily available to the public upon request.'
2. Operational Rule: 45 WORKING DAYS from December 31 (usually falling around early March of the succeeding year).
3. Option A matches the statutory text and timeline verbatim.

Common Trap: Confusing the 15-day communication reply rule with the 45-WORKING-DAY ANNUAL REPORT RULE; annual agency performance reports are due within 45 WORKING DAYS from year-end.
Exam Tip: RA 6713, Sec. 5(b) = Annual Performance Report must be submitted and published within 45 WORKING DAYS from the end of the year.","Correct. Survives elimination because Section 5(b) of RA 6713 explicitly obligates agency heads to render and publicly disseminate a comprehensive annual performance report within 45 working days from the end of each calendar year.","Eliminated because public reporting is intended for the Filipino sovereign people and domestic oversight, not foreign intelligence.","Eliminated because agency performance reports are serious governance accountability records, not commercial souvenir distributions.","Eliminated because the statute mandates realistic accomplishment metrics and problem analysis, not celebrity entertainment brochures.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Responsiveness to the public | Very Difficult | Batch 158"
"Under Section 5(e) of RA 6713 and Executive Order No. 2 (Series of 2016 - Freedom of Information), what is the statutory mandate regarding the ACCESSIBILITY OF PUBLIC DOCUMENTS to transacting citizens?","All public documents must be made accessible to, and be readily available for inspection by, the public within reasonable working hours, EXCEPT for recognized classified exceptions (such as matters affecting national security, ongoing police investigations, trade secrets, and protected personal privacy data).","All government documents are state secrets and can never be viewed by ordinary citizens without a presidential waiver.","Citizens must pay a PHP 100,000 fee per page to inspect standard public municipal resolutions.","Public records may only be inspected by members of the Senate.","A","Step-by-Step Solution:
1. Statutory & Executive Framework:
 - Section 5(e), RA 6713: 'Make documents accessible to the public. — All public documents must be made accessible to, and readily available for inspection by, the public within reasonable working hours.'
 - Executive Order No. 2 (Series of 2016 - Operationalizing in the Executive Branch the People's Constitutional Right to Information).
 - Article III, Section 7 of the Constitution (Right to Information).
2. The Principle of Public Record Openness:
 - General Rule: Public documents (ordinances, budget allocations, public bids, certifications, audit reports) are OPEN TO CITIZEN INSPECTION.
 - Standard Standardized Exceptions: (1) Classified National Security/Defense secrets, (2) Sensitive personal data under the Data Privacy Act, (3) Ongoing confidential criminal investigations, (4) Proprietary trade secrets, (5) Privileged executive/judicial communications.
3. Option A is the comprehensive, accurate legal standard.

Common Trap: Assuming all government files are confidential; in a democracy, the baseline rule is OPENNESS, with exemptions strictly defined by law.
Exam Tip: RA 6713, Sec. 5(e) = Public documents are ACCESSIBLE AND AVAILABLE for public inspection during reasonable working hours (subject to standard statutory exceptions).","Correct. Survives elimination because Section 5(e) of RA 6713 and EO 2 (s. 2016) establish that public documents are accessible for citizen inspection during working hours, subject only to established statutory exceptions like national security and data privacy.","Eliminated because blanket government secrecy contradicts Article III, Section 7 of the Constitution and Section 5(e) of RA 6713.","Eliminated because exorbitant inspection fees operate as unconstitutional barriers to the right to information.","Eliminated because the right to inspect public records belongs to all Filipino citizens, not just senators.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Responsiveness to the public | Very Difficult | Batch 158"
"Under Section 5(d) of RA 6713, what is the duty of public officials regarding personal walk-in transactions with citizens?","All public officials and employees must act IMMEDIATELY on the public's personal transactions, attending to walk-in applicants expeditiously and without unnecessary delays or making them wait without valid justification.","They may force walk-in citizens to wait in outdoor sun for several hours before acknowledging their presence.","They can refuse to attend to walk-in citizens unless the citizen brings expensive food catering for the entire division.","They are authorized to close the public entrance whenever more than five citizens line up.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 5(d):
 'Act immediately on the public's personal transactions. — All public officials and employees must act immediately on the public's personal transactions, and MUST SEE TO IT THAT THE RESPECTIVE SERVICES CAN BE EXPEDITIOUSLY PERFORMED.'
2. Operational Principles:
 - 1. Prompt Frontline Intake: Acknowledging, queueing, and attending to transacting citizens without neglect or arbitrary delay.
 - 2. Human Dignity: Providing proper waiting areas, comfortable seating, prioritized lanes for Senior Citizens, PWDs, and Pregnant Women (under RA 9994, RA 7277, and RA 11032).
 - 3. Zero Tolerance for Deliberate Inaction: Making citizens wait while staff engage in idle chatter, scrolling on phones, or eating is an administrative violation.
3. Option A matches the statutory mandate verbatim.

Common Trap: Thinking walk-in transactions have no legal time protection; Section 5(d) explicitly commands public servants to ACT IMMEDIATELY on personal transactions.
Exam Tip: RA 6713, Sec. 5(d) = Public officials must ACT IMMEDIATELY on the public's personal transactions and perform services expeditiously.","Correct. Survives elimination because Section 5(d) of RA 6713 explicitly commands all public servants to act immediately on the public's personal walk-in transactions to ensure prompt and expeditious public service.","Eliminated because forcing citizens into prolonged, unjustified waits violates civil service ethics and frontline service standards.","Eliminated because demanding food catering is an illegal solicitation of gifts under Section 7(d).","Eliminated because closing public gates to avoid serving lines violates the anti-red tape mandate of RA 11032.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Responsiveness to the public | Very Difficult | Batch 158"
"Which independent government agency was specifically created under Republic Act No. 11032 to oversee, monitor, and enforce compliance with national anti-red tape policies and regulatory management programs across all government agencies?","The Anti-Red Tape Authority (ARTA).","The Commission on Elections (COMELEC).","The Bureau of Internal Revenue (BIR).","The National Economic and Development Authority (NEDA).","A","Step-by-Step Solution:
1. Statutory Creation: Section 17, Republic Act No. 11032 (Ease of Doing Business and Efficient Government Service Delivery Act of 2018):
 - 'Creation of the Anti-Red Tape Authority (ARTA). — To implement and oversee a national policy on anti-red tape and ease of doing business, the ANTI-RED TAPE AUTHORITY (ARTA), hereinafter referred to as the Authority, is hereby created under the Office of the President.'
2. Core Powers and Mandates of ARTA:
 - 1. Implement national anti-red tape policies and streamline government processes.
 - 2. Conduct regulatory impact assessments (RIA) of proposed and existing regulations.
 - 3. Monitor compliance with Citizen's Charters and the 3-7-20 day rule.
 - 4. Investigate complaints against erring government officials for red tape, fixing, and bureaucratic delays, and initiate administrative cases before the Civil Service Commission or Ombudsman.
3. Option A is the verbatim statutory agency.

Common Trap: Confusing ARTA (Anti-Red Tape Authority created under RA 11032) with other economic bodies; ARTA is the primary specialized agency for anti-red tape enforcement.
Exam Tip: RA 11032 (Ease of Doing Business Act) = Enforced and monitored by the ANTI-RED TAPE AUTHORITY (ARTA) under the Office of the President.","Correct. Survives elimination because Section 17 of RA 11032 specifically created the Anti-Red Tape Authority (ARTA) under the Office of the President to implement anti-red tape policies and ensure efficient service delivery.","Eliminated because COMELEC enforces election laws under Article IX-C, not anti-red tape regulations.","Eliminated because the BIR is a tax collection bureau under the Department of Finance.","Eliminated because NEDA is the premier socioeconomic planning agency under Article XII.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Responsiveness to the public | Very Difficult | Batch 158"
