"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Using context clues from the sentence, determine the meaning of the capitalized word: Unlike his predecessor who was notoriously PROFLIGATE with official representation allowances, the new bureau chief instituted strict expenditure ceilings and liquidated every single centavo.","Recklessly extravagant and wasteful","Excessively thrifty and frugal","Legally cautious and meticulous","Indifferent and unconcerned","A","Step-by-Step Solution:
1. Identify the contrast clue: The sentence begins with 'Unlike his predecessor who was notoriously PROFLIGATE... the new bureau chief instituted strict expenditure ceilings and liquidated every centavo.'
2. Contrast relationship: The predecessor's spending behavior is the exact opposite of 'strict ceilings' and 'liquidating every centavo'.
3. Deduce meaning: 'Profligate' means recklessly wasteful, extravagant, or spending without restra∫.
4. Correct match: Option A.

Common Trap: Choosing 'thrifty' because of the current chief's behavior, ignoring the contrast marker 'Unlike'.
Exam Tip: Pay attention to contrast signal words like 'Unlike', 'Whereas', 'However', and 'In contrast to'.","Correct. 'Profligate' means recklessly extravagant or wasteful in the use of financial resources.","Eliminated because 'frugal' describes the new chief, which is contrasted against the profligate predecessor.","Eliminated because the predecessor showed a lack of legal caution.","Eliminated because indifference does not capture the reckless waste of money.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Context clues | Difficult | Batch VA-003"
"Gamitin ang pahiwatig sa pangungusap upang matukoy ang kahulugan ng salitang nakasulat sa MALALAKING TITIK: Dahil sa kanyang KASAPAKATAN sa sindikato, maging ang dating marangal na opisyal ay nahaharap ngayon sa patung-patong na kasong kriminal sa Sandiganbayan.","Pakikipagsabwatan sa masamang balak","Pagtulong sa kapwa nang kusa","Pagsusuplong sa mga tiwali","Pagtupad sa sinumpaang tungkulin","A","Step-by-Step Solution:
1. Suriin ang pahiwatig sa konteksto: 'Dahil sa kanyang KASAPAKATAN sa sindikato... nahaharap ngayon sa patung-patong na kasong kriminal'.
2. Lohikal na ugnayan: Ang pakikipag-ugnayan sa isang sindikato na nagbunga ng kasong kriminal ay nagpapahiwatig ng sabwatan o pakikipagtulungan sa krimen.
3. Kahulugan ng 'kasapakatan': Pakikipagsabwatan, pakikipagkutsaba, o pakikipagkaisa sa masamang gawain.
4. Tugmang sagot: Option A.

Common Trap: Pag-aakalang ang kasapakatan ay simpleng kasunduan sa negosyo.
Exam Tip: Sa legal at pampublikong konteksto, ang 'kasapakatan' ay palaging may negatibong konotasyon ng sabwatan sa katiwalian.","Correct. Ang 'kasapakatan' ay pakikipagsabwatan o pakikipagkutsaba sa masamang gawain.","Eliminated dahil ang pagtulong nang kusa ay kabutihang-asal, hindi kriminal.","Eliminated dahil ang pagsusuplong ay pagtutuwid sa mali (whistleblowing).","Eliminated dahil ang pagtupad sa tungkulin ay sumasalungat sa pagharap sa kaso.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Context clues | Difficult | Batch VA-003"
"Using context clues, determine the meaning of the capitalized word: The agency head's INTRANSIGENT stance during bilateral negotiations ultimately led to an impasse, as neither party was willing to make further concessions.","Uncompromising and refusing to agree","Flexible and open to compromise","Indecisive and wavering","Courteous and polite","A","Step-by-Step Solution:
1. Context clues: 'led to an impasse' (deadlock) and 'neither party was willing to make further concessions'.
2. Cause-and-effect inference: A stance that causes a complete deadlock because of refusal to concede must be stubborn, unyielding, or uncompromising.
3. Meaning of 'intransigent': Refusing to compromise or change one's views.
4. Correct match: Option A.

Common Trap: Confusing 'intransigent' with 'transient' (temporary).
Exam Tip: Look for outcome clues (e.g., 'impasse', 'deadlock', 'gridlock') to infer words describing stubbornness or rigidity.","Correct. 'Intransigent' means completely uncompromising and stubborn in refusing to reach an agreement.","Eliminated because flexibility is the opposite of a stance causing an impasse.","Eliminated because being intransigent is firm and rigid, not indecisive.","Eliminated because politeness does not explain a total deadlock in negotiations.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Context clues | Difficult | Batch VA-003"
"Gamitin ang pahiwatig sa pangungusap upang matukoy ang kahulugan ng salitang nakasulat sa MALALAKING TITIK: Bagamat PANGINGIMI ang naramdaman ng batang kawani sa harap ng mga beteranong direktor, buong tapang pa rin niyang inilatag ang kanyang panukalang reporma.","Hiya o pag-aalinlangan dahil sa paggalang","Galit at poot sa kapwa","Labis na yabang at kapalaluan","Kawalang-galang at pambabastos","A","Step-by-Step Solution:
1. Suriin ang pahiwatig: Ang salitang 'Bagamat' ay nagpapahiwatig ng pagsasalungat sa 'buong tapang pa rin niyang inilatag'.
2. Pagsusuri sa pakiramdam: Ang pakiramdam ng isang bata o bagong kawani sa harap ng mga nakatataas ay hiya, takot, o pagdadalawang-isip na dulot ng paggalang.
3. Kahulugan ng 'pangingimi': Pag-aatubili, pagkaasiwa, o hiya dulot ng paggalang sa nakatataas.
4. Tugmang sagot: Option A.

Common Trap: Pag-aakalang ang pangingimi ay pisikal na panginginig lamang dulot ng lamig.
Exam Tip: Ang 'ngimi' sa kontekstong panlipunan ay pagkaasiwa o hiya sa pakikitungo sa may awtoridad.","Correct. Ang 'pangingimi' ay hiya, pag-aatubili, o pag-aalinlangang dulot ng labis na paggalang sa nakatataas.","Eliminated dahil ang galit ay walang kinalaman sa pagkaasiwa ng bagong kawani.","Eliminated dahil ang yabang ay kabaligtaran ng pangingimi.","Eliminated dahil ang pangingimi ay nagpapakita ng paggalang, hindi pambabastos.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Context clues | Difficult | Batch VA-003"
"Using context clues, determine the meaning of the capitalized word: The witness provided an UNVARNISHED account of the procurement breakdown, detailing every procedural shortcut and accounting omission without attempting to soften the impact on senior leadership.","Plain, direct, and straightforwardly honest","Exaggerated and dramatically embellished","Deceptively altered to protect superiors","Abstract and difficult to comprehend","A","Step-by-Step Solution:
1. Context clues: 'detailing every procedural shortcut... without attempting to soften the impact'.
2. Metaphorical inference: 'Varnish' covers up flaws or adds gloss. An 'unvarnished' account is raw, truthful, unembellished, and plainly stated.
3. Meaning of 'unvarnished': Expressed clearly and without any attempt to disguise or soften its unpleasant nature.
4. Correct match: Option A.

Common Trap: Assuming unvarnished means incomplete or unpolished in terms of grammatical quality.
Exam Tip: 'Unvarnished truth' or 'unvarnished account' is a common idiom meaning frank, unfiltered reality.","Correct. 'Unvarnished' describes a statement that is straightforwardly honest and free from embellishment or disguise.","Eliminated because exaggeration is the opposite of unvarnished truth.","Eliminated because the sentence explicitly notes there was no attempt to protect superiors.","Eliminated because the account was clear and specific, not abstract.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Context clues | Difficult | Batch VA-003"
"Gamitin ang pahiwatig sa pangungusap upang matukoy ang kahulugan ng salitang nakasulat sa MALALAKING TITIK: Naging SANHI NG PAGKABALISA ng buong tanggapan ang biglaang pagdating ng mga tagasuri mula sa Komisyon sa Pagsusuri ng Pananalaπ (COA).","Pag-aalala at labis na kaba","Labis na kagalakan at tuwa","Katahimikan at kapayapaan","Kawalang-pakialam at pagwawalang-bahala","A","Step-by-Step Solution:
1. Suriin ang pahiwatig: Ang biglaang pagdating ng mga auditor mula sa COA ay lumilikha ng tensyon at kaba sa isang opisina ng gobyerno.
2. Kahulugan ng 'pagkabalisa': Ito ay ang estado ng labis na pag-aalala, pagkataranta, o pagkabalisa (anxiety/unease).
3. Tugmang sagot: Option A ('Pag-aalala at labis na kaba').

Common Trap: Pagkakamali sa pag-aakalang ang balisa ay galit sa halip na kaba.
Exam Tip: Ang 'balisa' ay katumbas ng 'anxious' o 'restless' sa Ingles.","Correct. Ang 'pagkabalisa' ay matinding pag-aalala, pagkabalisa, o kaba dulot ng isang nakababahalang pangyayari.","Eliminated dahil ang kagalakan ay hindi normal na reaksyon sa biglaang audit.","Eliminated dahil ang kapayapaan ay kabaligtaran ng pagkabalisa.","Eliminated dahil ang pagkabalisa ay may kasamang matinding emosyon, hindi kawalang-pakialam.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Context clues | Difficult | Batch VA-003"
"Using context clues, determine the meaning of the capitalized word: The environmental lawyer pointed out that the municipal ordinance was SUPERFLUOUS, as its provisions were already covered word-for-word by an existing national republic act.","Unnecessary and exceeding what is required","Critically essential and indispensable","Legally flawed and unconstitutional","Highly progressive and innovative","A","Step-by-Step Solution:
1. Context clues: 'provisions were already covered word-for-word by an existing national republic act'.
2. Logical inference: If an existing law already provides identical rules, the local ordinance is redundant and unnecessary.
3. Meaning of 'superfluous': Unnecessary, especially through being more than enough or repetitive.
4. Correct match: Option A.

Common Trap: Confusing 'superfluous' with 'superficial' (shallow) or 'superior'.
Exam Tip: 'Superfluous' means redundant or non-essential due to pre-existing coverage.","Correct. 'Superfluous' means redundant, unnecessary, or exceeding what is needed.","Eliminated because the pre-existence of a national law makes the ordinance non-essential, not indispensable.","Eliminated because duplication does not automatically render an ordinance unconstitutional.","Eliminated because copying an existing law is the opposite of innovation.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Context clues | Difficult | Batch VA-003"
"Gamitin ang pahiwatig sa pangungusap upang matukoy ang kahulugan ng salitang nakasulat sa MALALAKING TITIK: Hindi dapat MAG-ATUBILI ang sinumang lingkod-bayan na iulat ang anumang gawaing labag sa batas at moralidad.","Mag-alinlangan o magdalawang-isip","Magmadali at magpadalos-dalos","Tumahimik at magtago","Makisama sa masamang balak","A","Step-by-Step Solution:
1. Suriin ang pahiwatig: Ang 'hindi dapat MAG-ATUBILI... na iulat ang gawaing labag sa batas' ay nangangahulugang dapat maging tiyak, mabilis, at buo ang loob.
2. Kahulugan ng 'mag-atubili': Mag-alinlangan, magdalawang-isip, mag-atubili, o magdalawang-isip sa paggawa ng aksyon.
3. Tugmang sagot: Option A ('Mag-alinlangan o magdalawang-isip').

Common Trap: Pag-aakalang ang mag-atubili ay magmadali dahil sa tunog nito.
Exam Tip: Ang 'atubili' ay nangangahulugang 'hesitation' sa Ingles.","Correct. Ang 'mag-atubili' ay mag-alinlangan, mag-atubili, o magdalawang-isip sa pagpapasya.","Eliminated dahil ang magmadali ay kabaligtaran ng pag-aatubili.","Eliminated dahil ang pagtatago ay resulta ng takot, hindi ang mismong pag-aalinlangan.","Eliminated dahil ang pakikisama sa masama ay labag sa batas.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Context clues | Difficult | Batch VA-003"
"Using context clues, determine the meaning of the capitalized word: The mayor's policy announcement served to EXACERBATE existing tensions between informal settlers and zoning enforcement officers, sparking widespread protests across the district.","Make a problem or situation worse","Soothe and de-escalate hostilities","Clarify technical misunderstandings","Postpone scheduled demolitions","A","Step-by-Step Solution:
1. Context clues: 'sparking widespread protests' and 'existing tensions'.
2. Cause-and-effect inference: An announcement that turns existing tension into widespread protests has intensified and worsened the conflict.
3. Meaning of 'exacerbate': To make a problem, bad situation, or negative feeling worse.
4. Correct match: Option A.

Common Trap: Confusing 'exacerbate' (worsen) with 'exasperate' (irritate intensely) or 'exonerate' (absolve).
Exam Tip: 'Exacerbate' relates to worsening a problem or conflict, whereas 'alleviate' or 'mitigate' means lessening it.","Correct. 'Exacerbate' means to worsen, aggravate, or intensify an already volatile situation.","Eliminated because de-escalating hostilities is the direct antonym of exacerbate.","Eliminated because the announcement aggravated the dispute rather than merely clarifying terms.","Eliminated because the sentence notes protests were sparked, not that actions were delayed.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Context clues | Difficult | Batch VA-003"
"Gamitin ang pahiwatig sa pangungusap upang matukoy ang kahulugan ng salitang nakasulat sa MALALAKING TITIK: Ang kanyang mga pananalita ay DUKHA SA KATOTOHANAN, kaya hindi ito pinaniwalaan ng hukom sa paglilitis.","Kulang o salat sa ebidensya at katotohanan","Puno ng matatalinong kaisipan","Mayaman sa patunay at datos","Marangal at kapani-paniwala","A","Step-by-Step Solution:
1. Suriin ang pahiwatig: 'DUKHA SA KATOTOHANAN, kaya hindi ito pinaniwalaan ng hukom'.
2. Metaporikal na gamit: Ang 'dukha' ay salat o mahirap. Ang pagiging 'dukha sa katotohanan' ay nangangahulugang walang laman, walang katotohanan, o salat sa ebidensya.
3. Tugmang sagot: Option A.

Common Trap: Pag-aakalang ang dukha ay tumutukoy lamang sa salaπ at walang kinalaman sa kalidad ng argumento.
Exam Tip: Sa matalinghagang pagpapahayag, ang 'dukha sa [konsepto]' ay nangangahulugang lubhang salat o kapos sa konseptong iyon.","Correct. Ang 'dukha sa katotohanan' ay matalinghagang pagpapahayag na nangangahulugang salat, kulang, o walang katotohanan.","Eliminated dahil ang katalinuhan ay sumasalungat sa pagtanggi ng hukom.","Eliminated dahil ang 'mayaman sa patunay' ang eksaktong kabaligtaran nito.","Eliminated dahil hindi pinaniwalaan ang pahayag ng hukuman.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Context clues | Difficult | Batch VA-003"
