"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Ano ang kahulugan ng sawikain na 'BALAT-SIBUYAS' kapag inilalarawan ang isang kawani sa pampublikong tanggapan?","Masyadong maramdamin o madaling magtampo at umiyak","Matiyaga at masipag magtrabaho kahit overtime","Mahusay magluto ng pagkain sa kantina","Mautak at mapanlinlang sa mga transaksyon","A","Step-by-Step Solution:
1. Suriin ang sawikain: Ang 'balat-sibuyas' ay matalinghagang paglalarawan sa taong sobrang nipis ng damdamin, madaling masaktan sa puna, o mabilis magtampo.
2. Pagtukoy sa tamang kahulugan: Ang 'Masyadong maramdamin o madaling magtampo at umiyak' (A) ang tumpak na kahulugan.

Common Trap: Pag-aakalang may kinalaman ito sa trabaho sa kusina o gulay.
Exam Tip: Sa Civil Service Exam Filipino verbal section, ang mga sawikain tungkol sa katangian ng tao ('balat-sibuyas', 'makapal ang mukha', 'matalim ang dila') ay karaniwang lumalabas.","Correct. Ang 'balat-sibuyas' ay sawikain para sa taong labis na maramdamin o sensitibo sa puna.","Eliminated dahil ang kasipagan ay inilalarawan ng 'may kusa' o 'masipag', hindi balat-sibuyas.","Eliminated dahil ang literal na pagluluto ay maling pagkaunawa sa sawikain.","Eliminated dahil ang katusuhan ay 'tusong ahas' o 'mapanlamang'.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Sawikain at salawikain | Difficult | Batch VA-005"
"Ano ang ibig sabihin ng sawikain na 'NAGBUBUHAT NG SARILING BANGKO'?","Nagmamayabang at nagpupuri sa sariling kakayahan","Nagtatrabaho nang mabigat sa kumpanya","Nagtatayo ng sariling negosyo","Tumutulong sa paglilipat ng mga kagamitan sa opisina","A","Step-by-Step Solution:
1. Suriin ang sawikain: Ang 'nagbubuhat ng sariling bangko' ay talinghaga para sa taong walang tigil sa pagpuri at pagyayabang sa kanyang sarili nang walang nagtatanong.
2. Konteksto: Sa propesyonal na pakikipagkapwa, ito ay pagmamalaki at kawalan ng kababaang-loob.
3. Tugmang sagot: Option A.

Common Trap: Pag-aakalang ito ay pisikal na pagbubuhat ng upuan o kasipagan sa opisina.
Exam Tip: Ang sawikaing ito ay katumbas ng English idiom na 'tooting one's own horn' o 'blowing one's own trumpet'.","Correct. Ang 'nagbubuhat ng sariling bangko' ay sawikain na nangangahulugang pagmamayabang o labis na pagpupuri sa sarili.","Eliminated dahil ang mabigat na trabaho ay hindi ang ibig sabihin ng talinghaga.","Eliminated dahil ang pagnenegosyo ay walang kaugnayan sa sawikain.","Eliminated dahil ang literal na pagbubuhat ng upuan ay maling interpretasyon.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Sawikain at salawikain | Difficult | Batch VA-005"
"Ano ang tamang kahulugan ng sawikain na 'KUSANG-PALO' na inaasahan sa isang huwarang lingkod-bayan?","May sariling pagkukusa at hindi na kailangang utusan pa","Madaling mapagod sa mga gawaing pisikal","Palaging naghihintay ng pabuya bago kumilos","Madaling magalit kapag binabatikos ng publiko","A","Step-by-Step Solution:
1. Suriin ang sawikain: Ang 'kusang-palo' ay nagmula sa talinghaga ng kabayo na tumatakbo nang kusa nang hindi na kailangang paluin o latiguhin ng kutsero.
2. Paglalapat sa lingkod-bayan: Nangangahulugan itong may inisyatiba, kusa, at dedikasyon sa pagtupad ng tungkulin.
3. Tugmang sagot: Option A.

Common Trap: Pag-aakalang ang palo ay pisikal na parusa o karahasan.
Exam Tip: Ang 'kusang-palo' ay katumbas ng 'initiative' at 'proactiveness' sa pamamahala.","Correct. Ang 'kusang-palo' ay pagkakaroon ng likas na pagkukusa at pagkilos nang hindi na inuutusan o pinipilit.","Eliminated dahil ang madaling mapagod ay kapaguran, hindi pagkukusa.","Eliminated dahil ang paghihintay ng pabuya ay kawalan ng kusang-loob.","Eliminated dahil ang pagkagalit sa puna ay kawalan ng propesyonalismo.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Sawikain at salawikain | Difficult | Batch VA-005"
"Ano ang kahulugan ng salawikain na: 'ANG HINDI LUMINGON SA PINANGGALINGAN, HINDI MAKARARATING SA PAROROONAN'?","Ang taong hindi marunong magpasalamat at kumilala sa kanyang pinagmulan ay hindi magtatagumpay sa buhay","Dapat ay palaging nakatingin sa likod habang naglalakbay","Ang pagiging makakalimutin sa mga direksyon ay nagdudulot ng pagkaligaw","Hindi dapat mangibang-bansa upang magtrabaho","A","Step-by-Step Solution:
1. Suriin ang salawikain: Isa itong tradisyunal na aral sa Filipino tungkol sa 'utang na loob', pagpapakumbaba, at pagpapahalaga sa pinagmulang kultura, pamilya, at pamayanan.
2. Mensahe ng salawikain: Ang tagumpay ay nakabatay sa pagkilala at pagpapasalamat sa mga naging gabay at pinagmulan.
3. Tugmang sagot: Option A.

Common Trap: Pagbibigay ng literal na interpretasyon sa pisikal na paglingon o direksyon sa paglalakbay.
Exam Tip: Ang mga salawikain (proverbs) ay naglalaman ng pangkalahatang aral sa buhay at moralidad.","Correct. Ang salawikain ay nagtuturo ng pagtanaw ng utang na loob, pagpapakumbaba, at pagpapahalaga sa pinagmulan bilang susi sa tunay na tagumpay.","Eliminated dahil ang literal na paglingon habang naglalakad ay maling interpretasyon ng aral.","Eliminated dahil ang pagkaligaw sa direksyon ay literal na paglalakbay.","Eliminated dahil ang pagbabawal sa pangingibang-bansa ay maling aplikasyon ng salawikain.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Sawikain at salawikain | Difficult | Batch VA-005"
"Ano ang kahulugan ng sawikain na 'KAPIT-TUKO' kapag tinutukoy ang pananatili sa kapangyarihan?","Mahigpit na humahawak at ayaw bumitiw sa posisyon o tungkulin","Likas na takot sa matataas na gusali","Mabilis kumilos at magpalipat-lipat ng ahensya","Matiyagang nag-aaral ng bagong kaalaman","A","Step-by-Step Solution:
1. Suriin ang sawikain: Ang tuko ay hayop na labis na mahigpit kumapit sa dingding o puno.
2. Talinghaga sa pamahalaan: Ang taong 'kapit-tuko' ay ayaw magbitiw o umalis sa pwesto sa kabila ng panawagan o pagtatapos ng termino.
3. Tugmang sagot: Option A.

Common Trap: Pag-aakalang may kaugnayan ito sa pisikal na takot o biolohikal na katangian ng hayop.
Exam Tip: Ang 'kapit-tuko' ay karaniwang ginagamit sa komentaryong politikal at administratibo para sa labis na pagkapit sa kapangyarihan.","Correct. Ang 'kapit-tuko' ay nangangahulugang mahigpit na paghawak at pagtangging bumitiw sa kapangyarihan o posisyon.","Eliminated dahil ang takot sa matataas na lugar ay acrophobia.","Eliminated dahil ang paglipat-lipat ay 'palipat-lipat' o 'paruparo', hindi kapit-tuko.","Eliminated dahil ang pag-aaral ay kasipagan, hindi pagkapit sa pwesto.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Sawikain at salawikain | Difficult | Batch VA-005"
"Ano ang ipinahihiwatig ng salawikain na: 'PAG HINDI UKOL, HINDI BUBUKOL'?","Ang mga bagay na hindi nakalaan o hindi itinakda para sa iyo ay hindi mo mapapasainyo gaano man pilitin","Ang hindi magandang kalusugan ay nagdudulot ng bukol sa katawan","Dapat iwasan ang labis na pagkain ng matatamis","Ang bawat krimen ay may kaukulang parusa sa batas","A","Step-by-Step Solution:
1. Suriin ang salawikain: 'Ukol' ay nakatadhana o nakalaan; 'bukol' ay pagbunga o paglitaw ng resulta.
2. Pilosopikal na kahulugan: Kung ang isang bagay ay hindi talagang para sa isang tao, hindi ito mangyayari o mapapasakanya kahit pilitin.
3. Tugmang sagot: Option A.

Common Trap: Pag-uugnay ng salitang 'bukol' sa sakit o medikal na kalagayan.
Exam Tip: Ang salawikaing ito ay nagtuturo ng pagtanggap sa kapalaran at pag-iwas sa labis na pamimilit sa mga bagay na hindi nakalaan.","Correct. Ang salawikain ay nangangahulugang kung ang isang bagay ay hindi talaga nakalaan para sa iyo, hindi ito magaganap o mapapasaiyo.","Eliminated dahil ang medikal na bukol ay literal na pagkaunawa sa salita.","Eliminated dahil ang pagkain ng matatamis ay walang kinalaman sa talinghaga.","Eliminated dahil ang parusa sa krimen ay batas, hindi ang diwa ng kapalaran sa salawikain.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Sawikain at salawikain | Difficult | Batch VA-005"
"Ano ang kahulugan ng sawikain na 'NAGBIBILANG NG POSTE'?","Walang trabaho at naghahanap ng mapapasukan","Nagtatrabaho bilang elektrisyan o inhenyero sa kuryente","Nagsusuri ng mga imprastraktura ng pamahalaan","Mabilis maglakad sa mga lansangan ng lungsod","A","Step-by-Step Solution:
1. Suriin ang sawikain: Ang 'nagbibilang ng poste' ay matandang talinghaga para sa taong palakad-lakad sa kalsada dahil walang pinapasukang trabaho o opisina.
2. Kahulugan: Walang hanapbuhay, tambay, o naghahanap ng mapapasukang trabaho.
3. Tugmang sagot: Option A.

Common Trap: Pagpili sa gawaing may kinalaman sa poste ng kuryente o konstruksyon.
Exam Tip: Ito ay isa sa pinakamadalas na lumabas na sawikain sa Civil Service Examinations.","Correct. Ang 'nagbibilang ng poste' ay tradisyunal na sawikain para sa taong walang trabaho o naghahanap ng hanapbuhay.","Eliminated dahil ang trabaho sa kuryente ay literal na propesyon.","Eliminated dahil ang pagsusuri ng imprastraktura ay opisyal na inspeksyon, hindi sawikain ng kawalan ng trabaho.","Eliminated dahil ang paglalakad ay pisikal na kilos lamang.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Sawikain at salawikain | Difficult | Batch VA-005"
"Ano ang aral ng salawikain na: 'AANHIN PA ANG DAMO KUNG PATAY NA ANG KABAYO'?","Walang silbi ang tulong o benepisyo kung huli na ang dating at wala nang mapapakinabangan","Kailangang mag-imbak ng maraming damo para sa mga alagang hayop","Dapat alagaan ang mga hayop bago ang mga pananim","Ang bawat hayop ay nangangailangan ng tamang pagkain","A","Step-by-Step Solution:
1. Suriin ang salawikain: Ang damo ay pagkain ng kabayo. Kung patay na ang kabayo dahil sa gutom, mawawalan ng saysay ang pagdating ng damo.
2. Aral sa pampublikong serbisyo: Ang tulong, relief goods, o subsidiya ay dapat maibigay sa oras ng pangangailangan; ang huling tulong ay walang silbi.
3. Tugmang sagot: Option A.

Common Trap: Pag-aakalang ito ay simpleng paalala sa agrikultura o pag-aalaga ng kabayo.
Exam Tip: Sa Civil Service, ang salawikaing ito ay madalas gamitin upang idiin ang kahalagahan ng 'Responsiveness to the Public' (mabilis na pagtugon sa publiko).","Correct. Ang salawikain ay nagpapahiwatig na nawawalan ng halaga ang tulong kung ito ay huli na at hindi na maiasalba ang nangangailangan.","Eliminated dahil ang pag-iimbak ng damo ay literal na gawaing bukid.","Eliminated dahil ang paghahambing ng hayop at pananim ay maling aral.","Eliminated dahil ang nutrisyon ng hayop ay literal na pagkaunawa.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Sawikain at salawikain | Difficult | Batch VA-005"
"Ano ang kahulugan ng sawikain na 'MAHABANG DULANG'?","Kasal o seremonya ng pag-iisang-dibdib","Mahabang mesa sa pampublikong piging","Mahabang pagpupulong sa tanggapan","Malaking gusali ng pamahalaan","A","Step-by-Step Solution:
1. Suriin ang sawikain: Ang 'dulang' ay tradisyunal na mababang hapag-kainan. Ang 'mahahantong sa mahabang dulang' ay sawikain para sa pagpapakasal o pag-iisang-dibdib ng magkasintahan.
2. Kahulugan: Kasalan o kasal.
3. Tugmang sagot: Option A.

Common Trap: Pagpili sa mahabang mesa o kainan sa opisina.
Exam Tip: Ang mga tradisyunal na sawikaing pangkultura tulad ng 'mahabang dulang' (kasal) at 'lumagay sa tahimik' (mag-asawa) ay bahagi ng pormal na pagsusulit.","Correct. Ang 'mahabang dulang' ay sawikain para sa kasalan o pag-iisang-dibdib.","Eliminated dahil ang literal na mahabang mesa ay hindi ang talinghaga.","Eliminated dahil ang mahabang pagpupulong ay walang kinalaman sa kasal.","Eliminated dahil ang gusali ay pisikal na estruktura.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Sawikain at salawikain | Difficult | Batch VA-005"
"Ano ang kahulugan ng salawikain na: 'UBOS-UBOS BIYAYA, BUKAS NAKATUNGANGA'?","Ang taong nagpapakalustay at hindi nag-iipon ay mawawalan ng makakain at maghihirap sa kinabukasan","Dapat ibahagi ang lahat ng biyaya sa mga kapitbahay","Ang pagtitipid ay nagdudulot ng kahirapan","Ang bawat araw ay may bagong biyayang darating","A","Step-by-Step Solution:
1. Suriin ang salawikain: 'Ubos-ubos biyaya' (labis na paggastos at paglustay ng lahat ng hawak ngayon); 'bukas nakatunganga' (kawalan ng anuman at paghihirap kinabukasan).
2. Aral sa pananalaπ at pamumuhay: Paalala ito sa kahalagahan ng pag-iimpok, matalinong paggasta, at pag-iwas sa labis na karangyaan.
3. Tugmang sagot: Option A.

Common Trap: Pag-aakalang naghihikayat ito ng lubusang paggastos dahil may darating na bagong biyaya.
Exam Tip: Ang salawikaing ito ay sumasalamin sa pamantayan ng 'Simple Living' (Payak na Pamumuhay) sa ilalim ng R.A. 6713.","Correct. Ang salawikain ay nagbabala laban sa pagiging gastador at pagwawalang-bahala sa kinabukasan dahil sa kawalan ng ipon.","Eliminated dahil ang pamimigay ng lahat ng gamit nang walang natitira ay kawalan ng pag-iimpok.","Eliminated dahil ang pagtitipid ay nagdudulot ng kaginhawahan, hindi kahirapan.","Eliminated dahil ang labis na pag-asa nang walang paghahanda ay mismong tinutuligsa ng salawikain.","Verbal Ability","Verbal Ability | Vocabulary | Lexical Knowledge and Word Associations | Sawikain at salawikain | Difficult | Batch VA-005"
