"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 4(A)(b) of Republic Act No. 6713, what is the statutory standard of 'PROFESSIONALISM' required of every public official and employee in the discharge of official functions?","They shall perform and discharge their duties with the highest ° of EXCELLENCE, PROFESSIONALISM, INTELLIGENCE, AND SKILL; enter public service with utmost DEVOTION AND DEDICATION to duty; and endeavor to discourage wrong perceptions of the civil service by avoiding haughty, arrogant, or discourteous behavior.","They shall perform duties only to the bare minimum extent necessary to avoid outright dismissal while spending most office hours on private leisure.","They may delegate their core decision-making functions to political party precinct captains.","They are entitled to treat citizens with open contempt whenever the office experiences high workload volume.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 4(A)(b):
 'Professionalism. — Public officials and employees shall perform and discharge their duties with the HIGHEST DEGREE OF EXCELLENCE, PROFESSIONALISM, INTELLIGENCE AND SKILL. They shall enter public service with utmost DEVOTION AND DEDICATION TO DUTY. They shall endeavor to discourage wrong perceptions of the roles of dispensing justice and delivering public services and avoid haughty or discourteous behavior.'
2. Core Professional Standards:
 - 1. Highest ° of excellence, intelligence, and technical competence.
 - 2. Total devotion and dedication to public service.
 - 3. Exemplary demeanor: Courteous, approachable, humble, and polite behavior towards all clients and transacting citizens.
 - 4. Active eradication of the stereotype of government workers as arrogant, lazy, or dismissive.
3. Option A matches the statutory mandate verbatim.

Common Trap: Viewing professionalism as mere technical qualification; RA 6713 explicitly links professionalism with DEVOTION TO DUTY and AVOIDING ARROGANT OR DISCOURTEOUS BEHAVIOR.
Exam Tip: RA 6713, Sec. 4(A)(b) = PROFESSIONALISM: Highest ° of excellence, intelligence, skill + Utmost devotion + Courteous, humble demeanor (Avoid haughty behavior).","Correct. Survives elimination because Section 4(A)(b) of RA 6713 explicitly defines Professionalism as the duty to discharge functions with highest excellence, intelligence, and skill, exhibiting utmost dedication while avoiding haughty or discourteous conduct.","Eliminated because bare minimum performance and wasting office hours on leisure violates both Professionalism and Commitment to Public Interest.","Eliminated because delegating official public duties to political party operatives violates political neutrality and civil service laws.","Eliminated because discourteous, contemptuous treatment of the transacting public is an administrative offense (Discourtesy in the Course of Official Duties).","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Professionalism | Very Difficult | Batch 155"
"Under Civil Service Commission rules (CSC MC No. 04, s. 1991 & RACCS), how does the norm of 'Professionalism' govern HABITUAL TARDINESS AND ABSENTEEISM in the civil service?","An employee is considered habitually tardy if they incur tardiness regardless of the number of minutes ten (10) × a month for at least two (2) months in a semester, or for two (2) consecutive months, which constitutes an administrative offense punishable by reprimand, suspension, and ultimately dismissal.","Employees are permitted to arrive at work at any time of day provided they stay for at least two hours.","Habitual tardiness is completely ignored in the civil service if the employee holds a master's °.","An employee can be absent without approved official leave for six consecutive months without any administrative liability.","A","Step-by-Step Solution:
1. Civil Service Administrative Rules on Attendance:
 - CSC Memorandum Circular No. 04, Series of 1991 (Policy on Habitual Tardiness).
 - CSC Memorandum Circular No. 17, Series of 2010 (Policy on Half-Day Absence).
 - 2017 Rules on Administrative Cases in the Civil Service (2017 RACCS), Rule 10, Section 50(F).
2. The Statutory Rule on Habitual Tardiness:
 - 'An officer or employee in the civil service shall be considered HABITUALLY TARDY if he incurs tardiness, regardless of the number of minutes, TEN (10) TIMES A MONTH FOR AT LEAST TWO (2) MONTHS IN A SEMESTER or at least TWO (2) CONSECUTIVE MONTHS during the year.'
 - Schedule of Penalties for Habitual Tardiness:
 - 1st Offense: REPRIMAND.
 - 2nd Offense: SUSPENSION for one (1) to thirty (30) days.
 - 3rd Offense: DISMISSAL FROM THE SERVICE.
3. Habitual Absenteeism / AWOL: Unauthorized continuous absence for 30 working days results in being dropped from the rolls (AWOL).
4. Option A is the exact statutory and administrative definition.

Common Trap: Believing tardiness only counts if it exceeds a certain number of minutes; ANY tardiness (even 1 minute) counts towards the '10 × a month' threshold.
Exam Tip: Habitual Tardiness (CSC MC 04, s. 1991) = Tardy 10 TIMES A MONTH for at least 2 MONTHS in a semester (or 2 consecutive months); 3rd Offense = DISMISSAL.","Correct. Survives elimination because CSC Memorandum Circular No. 04 (s. 1991) and the 2017 RACCS define habitual tardiness as incurring tardiness 10 × a month for at least 2 months in a semester or 2 consecutive months, carrying penalties culminating in dismissal.","Eliminated because civil servants are required to render an official 8-hour workday (40 hours per week) under the Administrative Code.","Eliminated because academic credentials provide no exemption from mandatory civil service attendance and punctuality rules.","Eliminated because continuous unauthorized absence of 30 working days results in automatic dropping from the rolls for being on Absence Without Official Leave (AWOL).","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Professionalism | Very Difficult | Batch 155"
"A frontline administrative assistant at a government registry shouts at an elderly citizen who asks for assistance in filling out a birth certificate application form, telling the citizen: 'You are so slow, step aside and stop wasting my time!' What administrative offense under Civil Service rules was committed, violating the norm of 'Professionalism'?","DISCOURTESY IN THE COURSE OF OFFICIAL DUTIES, which is a punishable administrative offense under the Revised Rules on Administrative Cases in the Civil Service.","Simple negligence in office filing.","No administrative offense was committed because public employees have the right to vent workplace stress.","An unavoidable exercise of executive managerial prerogative.","A","Step-by-Step Solution:
1. Legal Analysis under RA 6713 and Civil Service Rules:
 - Section 4(A)(b), RA 6713 (Professionalism): Public servants must 'avoid haughty or discourteous behavior.'
 - Section 4(A)(e), RA 6713 (Responsiveness): Duty to extend prompt, courteous, and adequate service to the public.
2. Administrative Offense under 2017 RACCS:
 - Rule 10, Section 50(F)(1): DISCOURTESY IN THE COURSE OF OFFICIAL DUTIES.
 - Classification: Light Offense.
 - Penalties:
 - 1st Offense: Reprimand.
 - 2nd Offense: Suspension of 1 to 30 days.
 - 3rd Offense: Dismissal from the service.
3. Analysis of the Scenario: Shouting, insulting, or belittling a transacting citizen (especially an elderly person needing guidance) constitutes a clear act of Discourtesy in the Course of Official Duties, directly violating the ethical norm of Professionalism.
4. Option A is the precise legal classification.

Common Trap: Thinking rudeness is only a personal character flaw; in the Philippine Civil Service, DISCOURTESY is an actionable administrative offense that can lead to suspension or dismissal.
Exam Tip: Shouting at or insulting transacting citizens = DISCOURTESY IN THE COURSE OF OFFICIAL DUTIES (Violates Professionalism and Responsiveness).","Correct. Survives elimination because shouting at or insulting a transacting citizen constitutes the administrative offense of Discourtesy in the Course of Official Duties under the 2017 RACCS and breaches the norm of Professionalism under Section 4(A)(b).","Eliminated because verbal abuse of a client is intentional discourtesy, not a clerical filing error.","Eliminated because workplace stress does not excuse unlawful discourtesy and misconduct towards transacting citizens.","Eliminated because managerial prerogative does not authorize abusive or haughty behavior towards the public.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Professionalism | Very Difficult | Batch 155"
"Under Civil Service Commission rules on Continuous Professional Development and Professionalism, what is the mandatory duty of public servants regarding TECHNICAL COMPETENCE AND CONTINUOUS LEARNING?","Public servants must continually update their professional knowledge, enhance their technical skills, participate in mandatory human resource development trainings, and maintain required professional licenses to deliver high-quality public service.","Public servants are legally forbidden from attending any professional development seminars once appointed.","Technical competence is irrelevant because civil service performance is evaluated solely on personal loyalty to the agency head.","Employees are required to surrender their college diplomas to the Civil Service Commission upon retirement.","A","Step-by-Step Solution:
1. Civil Service Policy on Professional Development:
 - Section 4(A)(b), RA 6713: Performing duties with the 'highest ° of excellence, professionalism, intelligence and skill.'
 - Book V, Title I, Subtitle A, Chapter 5 of Executive Order No. 292 (Administrative Code of 1987) — Personnel Development and Training Programs.
 - CSC Resolution No. 04-0001 (Human Resource Development in the Civil Service).
2. Professional Standards of Civil Service Excellence:
 - 1. Lifelong Learning & Capacity Building: Continuously updating technical, legal, and operational knowledge.
 - 2. Mandatory Training Hours: Completion of required managerial, technical, and supervisory training hours for promotion (e.g., Executive Leadership Program, Supervisory Development Courses).
 - 3. Professional Standards: For licensed professionals in government (engineers, accountants, doctors, lawyers, nurses), complying with Continuing Professional Development (CPD) requirements under RA 10912.
3. Option A is the comprehensive, accurate statement of the professional development mandate.

Common Trap: Believing that passing the Civil Service Exam is the end of learning; civil servants are under a continuing legal duty to upgrade their technical competence throughout their careers.
Exam Tip: Professionalism under RA 6713 = Continuing professional development, updating technical skills, and maintaining high excellence in public service delivery.","Correct. Survives elimination because civil service laws and Section 4(A)(b) mandate that public servants must engage in continuous professional development, training, and skill upgrades to deliver competent and excellent public service.","Eliminated because the Civil Service Commission actively mandates and conducts regular professional development and capacity-building programs.","Eliminated because merit, fitness, and technical competence—not personal sycophancy—are the legal standards of civil service evaluation.","Eliminated because diplomas remain the personal property of the employee.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Professionalism | Very Difficult | Batch 155"
"A government revenue officer accepts private consulting fees from a private taxpayer to 'help calculate the taxpayer's taxes correctly' after office hours. Does this act violate 'Professionalism' and civil service ethics under RA 6713?","YES, because providing private tax consultancy to private clients within the regulatory jurisdiction of the revenue officer's agency creates a grave conflict of interest, violates professionalism, and constitutes unauthorized private practice of profession under Section 7(b).","NO, because the consultation took place outside regular office hours.","NO, provided the revenue officer gave the taxpayer a 5% discount on the consulting fee.","NO, because assisting citizens with their tax math is a purely charitable community activity.","A","Step-by-Step Solution:
1. Statutory Analysis under RA 6713:
 - Section 4(A)(b) (Professionalism): High ° of excellence, integrity, and ethical dedication.
 - Section 7(b)(2) (Prohibited Acts / Private Practice of Profession): Public officials and employees shall not:
 'Engage in the private practice of their profession unless authorized by the Constitution or by law, provided, that such practice will not conflict or tend to conflict with their official functions.'
2. Application to Revenue Officers (BIR / Local Assessors):
 - A revenue officer whose official duty is to assess, audit, and collect taxes for the State CANNOT engage in private tax consulting or accounting for taxpayers subject to that agency's jurisdiction.
 - Moonlighting as a private tax adviser creates an inherent conflict of interest: the officer cannot serve two masters (the taxing State and the private taxpayer).
 - The act constitutes GRAVE MISCONDUCT and a criminal violation of Section 7 of RA 6713 and Section 3(e) of RA 3019 (Anti-Graft and Corrupt Practices Act).
3. Option A is the correct, definitive legal conclusion.

Common Trap: Believing after-hours work is automatically legal; if the private work relates to or conflicts with the official regulatory functions of the agency, it is STRICTLY PROHIBITED even after office hours.
Exam Tip: Private consulting in matters within the official regulatory jurisdiction of one's agency violates PROFESSIONALISM and constitutes a PROHIBITED CONFLICT OF INTEREST under Section 7(b).","Correct. Survives elimination because providing private consulting services to clients within the regulatory domain of one's public office creates an intolerable conflict of interest and violates Section 7(b)(2) and the norm of Professionalism.","Eliminated because private practice that conflicts with official duties is strictly prohibited regardless of whether it occurs after office hours.","Eliminated because discounting the consulting fee does not cure the underlying unlawful conflict of interest and unauthorized private practice.","Eliminated because accepting private fees from taxpayers removes the act from charitable community service and converts it into illegal commercial moonlighting.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Professionalism | Very Difficult | Batch 155"
"Under Civil Service Commission rules on Performance Evaluation (Strategic Performance Management System / SPMS), what is the consequence for a civil service employee who receives TWO (2) CONSECUTIVE 'POOR' PERFORMANCE RATINGS?","The employee shall be DROPPED FROM THE ROLLS (separated from the public service) for unsatisfactory/poor performance, after observance of administrative due process.","The employee is automatically promoted to division chief to give them greater managerial responsibility.","The employee is granted a one-year paid overseas vacation to reflect on their performance.","The employee's performance rating is automatically converted to 'Outstanding' by operation of law.","A","Step-by-Step Solution:
1. Civil Service Rules on SPMS and Performance Separation:
 - CSC Memorandum Circular No. 06, Series of 2012 (Guidelines in the Establishment and Implementation of the Strategic Performance Management System / SPMS).
 - Section 106, Rule 20 of the 2017 RACCS (Dropping from the Rolls for Unsatisfactory or Poor Performance).
2. The Specific Statutory Standards:
 - 1. TWO CONSECUTIVE 'UNSATISFACTORY' RATINGS: An officer or employee who receives an 'Unsatisfactory' rating for TWO (2) consecutive rating periods may be dropped from the rolls.
 - 2. ONE 'POOR' RATING: An employee who gets a 'Poor' rating for ONE (1) rating period may be dropped from the rolls if they fail to improve after written notice and technical mentoring.
 - 3. TWO CONSECUTIVE 'POOR' RATINGS: Results in MANDATORY DROPPING FROM THE ROLLS (separation from the civil service) for gross incompetence and failure to meet basic professional standards.
3. Option A is the precise civil service rule.

Common Trap: Assuming permanent civil service status means an employee can never be fired for incompetence; receiving consecutive Unsatisfactory or Poor ratings results in being DROPPED FROM THE ROLLS.
Exam Tip: Dropping from Rolls for Performance = Two consecutive 'Unsatisfactory' ratings OR consecutive 'Poor' ratings under SPMS.","Correct. Survives elimination because CSC rules on SPMS and the 2017 RACCS establish that incurring consecutive poor or unsatisfactory performance ratings leads to being dropped from the rolls for professional incompetence.","Eliminated because poor performance results in administrative separation, not managerial promotion.","Eliminated because paid vacations are earned leave benefits, not rewards for chronic poor performance.","Eliminated because performance ratings must be grounded on actual documented outputs and verified IPCR accomplishments.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Professionalism | Very Difficult | Batch 155"
"Under Section 4(A)(b) of RA 6713, why does 'Professionalism' require public servants to perform duties with 'INTELLIGENCE AND SKILL' rather than relying on unguided routine or blind mechanical adherence?","Because civil servants are entrusted with complex public responsibilities affecting citizen welfare, requiring analytical critical thinking, sound judgment, knowledge of applicable laws, and continuous problem-solving to resolve administrative challenges effectively.","Because the law requires all civil service clerks to memorize the entire Philippine Reports word-for-word.","Because public servants are required to calculate orbital satellite trajectories during routine desk intake.","Because public employees must speak five foreign languages fluently to process simple community tax certificates.","A","Step-by-Step Solution:
1. Statutory Context: RA 6713, Section 4(A)(b):
 - 'Public officials and employees shall perform and discharge their duties with the highest ° of excellence, professionalism, INTELLIGENCE AND SKILL.'
2. Meaning of Intelligence & Skill in Public Administration:
 - 1. Sound Discretion & Critical Thinking: Applying laws and rules intelligently to the unique factual circumstances of each case, avoiding senseless bureaucratic roadblocks.
 - 2. Legal & Procedural Literacy: Understanding the constitutional rights of citizens, administrative due process, and the Citizen's Charter of the agency.
 - 3. Innovation & Efficiency: Developing simplified workflows, digitizing processes, and solving public bottlenecks with competence and intellectual diligence.
3. Option A is the comprehensive, accurate rationale.

Common Trap: Viewing public service as mindless rubber-stamping; the Code of Conduct demands high INTELLIGENCE, CRITICAL THINKING, and SKILL in public problem-solving.
Exam Tip: Professionalism = Discharging duties with INTELLIGENCE AND SKILL (Critical thinking, sound discretion, legal competence, and effective problem-solving).","Correct. Survives elimination because Section 4(A)(b) mandates the exercise of intelligence and skill so that civil servants apply analytical reasoning, sound judgment, and legal competence to solve public problems and advance citizen welfare.","Eliminated because verbatim memorization of thousands of court volumes is not an operational requirement for civil servants.","Eliminated because aerospace calculations are specialized technical tasks, not general civil service requirements.","Eliminated because multilingual fluency is not a prerequisite for processing standard local tax certificates.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Professionalism | Very Difficult | Batch 155"
"Under Civil Service Commission rules, what is the 'DRESS CODE FOR ALL PUBLIC OFFICIALS AND EMPLOYEES' (CSC MC No. 19, s. 2000), and how does it reflect the norm of Professionalism?","Public officials and employees must wear the prescribed official agency uniform during working days, or adhere to appropriate professional business attire when uniforms are not required, avoiding inappropriate, provocative, or ostentatious clothing (such as shorts, slippers, and party attire during office hours).","Public servants are required to wear full tuxedo suits and ball gowns to work every day.","Civil service employees are permitted to wear beach swimwear while manning frontline public desks.","Public employees may dress in ragged, soiled clothing to show solidarity with poverty alleviation programs.","A","Step-by-Step Solution:
1. Administrative Policy: CSC Memorandum Circular No. 19, Series of 2000 (Revised Dress Code for All Officials and Employees in the Government Service):
2. Core Provisions of the Civil Service Dress Code:
 - 1. Mandatory Official Uniform: Prescribed office uniform must be worn Mondays through Thursdays (with casual/wash-day attire on Fridays as determined by the agency).
 - 2. Appropriate Office Attire: When uniforms are not prescribed, employees must wear smart business or semi-formal attire (collared shirts, slacks, formal skirts/dresses).
 - 3. PROHIBITED ATTIRE IN OFFICE:
 - Sleeveless shirts/tank tops, spaghetti straps, plunging necklines.
 - Short-shorts, micro-mini skirts, ripped jeans.
 - Slippers (sandals/flip-flops), rubber beach sandals.
 - Ostentatious, gaudy jewelry or theatrical makeup.
 - 4. Purpose: Upholding the dignity, decorum, and PROFESSIONALISM of public office.
3. Option A is the verbatim civil service standard.

Common Trap: Believing dress code is a minor personal choice; violating the prescribed dress code is an administrative offense (Violation of Office Rules and Regulations) under the 2017 RACCS.
Exam Tip: CSC Dress Code (MC 19, s. 2000) = Official uniform or appropriate business attire; Slippers, shorts, and provocative clothing are PROHIBITED to maintain PROFESSIONALISM.","Correct. Survives elimination because CSC Memorandum Circular No. 19 (s. 2000) prescribes a professional dress code—mandating official agency uniforms or dignified business attire and barring casual/provocative clothes—to maintain professional decorum in public service.","Eliminated because tuxedoes and ball gowns are formal gala attire, not daily office work clothes.","Eliminated because wearing beach attire or slippers in government offices violates civil service dress regulations.","Eliminated because wearing soiled or ragged clothing degrades the dignity of public office and violates professional decorum.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Professionalism | Very Difficult | Batch 155"
"A municipal building inspector discovers that an applicant for a building permit has submitted forged structural engineering calculations that could cause a collapse, but the applicant offers the inspector a PHP 10,000 cash bribe to 'just sign the permit and look the other way.' Guided by the norm of 'Professionalism,' what is the inspector's mandatory legal and ethical course of action?","The inspector must immediately REJECT the permit, REFUSE the bribe, report the bribery attempt, and refer the forged documents to the legal division and public prosecutor for criminal and administrative prosecution.","The inspector should accept the bribe and sign the permit, reasoning that building collapses are rare anyway.","The inspector should negotiate to increase the bribe to PHP 50,000 before signing.","The inspector should quietly throw the forged documents in the trash and approve the permit without structural calculations.","A","Step-by-Step Solution:
1. Ethical and Legal Analysis:
 - Section 4(A)(b), RA 6713 (Professionalism): Highest ° of excellence, dedication, skill, and integrity.
 - Section 4(A)(a), RA 6713 (Public Interest): Protecting public safety over personal financial gain.
 - Section 7(d), RA 6713 (Solicitation or Acceptance of Gifts): Absolute ban on accepting bribes or gifts.
 - Presidential Decree No. 1096 (National Building Code of the Philippines): Absolute duty to ensure structural safety.
 - Article 210 & 212, Revised Penal Code (Direct Bribery & Corruption of Public Officials).
2. Action Required:
 - 1. Absolute refusal of the bribe (accepting constitutes Direct Bribery and Graft).
 - 2. Immediate disapproval/rejection of the unsafe building permit to safeguard public lives.
 - 3. Formal incident report and criminal referral for Falsification of Public Documents and Attempted Bribery.
3. Option A is the only lawful and ethical course of action.

Common Trap: Thinking an officer can just quietly ignore the bribe without reporting; a professional public servant has the affirmative duty to protect public safety and report criminal fraud.
Exam Tip: Professionalism in Regulatory Oversight = Uphold technical safety standards + Absolute refusal of bribes + Formal reporting of forgery/crimes.","Correct. Survives elimination because Section 4(A)(b) of RA 6713 and the National Building Code require the inspector to uphold technical integrity, reject unsafe plans, refuse all bribes, and initiate formal legal action against forged documents.","Eliminated because accepting a bribe and approving structurally unsafe buildings constitutes direct bribery, graft, and reckless endangerment of human lives.","Eliminated because soliciting or negotiating a higher bribe is aggravated direct bribery under Article 210 of the Revised Penal Code.","Eliminated because approving a building permit without valid structural calculations is gross neglect of duty and grave misconduct.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Professionalism | Very Difficult | Batch 155"
"In Philippine public administration, how does the norm of 'Professionalism' interact with the concept of 'SECURITY OF TENURE' under Article IX-B, Section 2(3) of the Constitution?","Security of tenure protects civil servants from arbitrary, politically motivated removal, but DOES NOT shield incompetence, laziness, or misconduct; professional civil servants must maintain satisfactory performance and ethical conduct to retain their positions.","Security of tenure gives public employees absolute lifetime immunity from being dismissed regardless of crimes committed.","Security of tenure allows government workers to refuse to perform assigned tasks without fear of disciplinary action.","Security of tenure means civil servants are evaluated solely on their political campaign contributions.","A","Step-by-Step Solution:
1. Constitutional Text: Article IX-B, Section 2(3):
 'No officer or employee in the civil service shall be removed or suspended except FOR CAUSE PROVIDED BY LAW.'
2. Landmark Jurisprudence (Civil Service Commission v. Magnaye, 619 SCRA 347; De Guzman v. Delos Santos):
 - 1. Nature of Security of Tenure: A constitutional guarantee that career civil servants cannot be terminated at the whim or pleasure of a newly elected political executive.
 - 2. 'For Cause Provided by Law': Security of tenure is NOT an absolute shield for incompetence, dishonesty, grave misconduct, or neglect of duty.
 - 3. Professional Accountability: If a civil servant fails to uphold the standard of Professionalism (e.g., incurs habitual absenteeism, commits graft, exhibits continuous poor performance under SPMS), they CAN AND WILL BE DISMISSED from the service following administrative due process.
3. Option A captures this balanced constitutional and ethical reality accurately.

Common Trap: Assuming security of tenure makes government workers 'unfireable'; civil service law provides clear, rigorous mechanisms to dismiss corrupt, lazy, or incompetent employees for cause.
Exam Tip: Security of Tenure = Removal ONLY FOR CAUSE PROVIDED BY LAW; It does NOT protect incompetence, gross neglect, or ethical misconduct.","Correct. Survives elimination because constitutional security of tenure protects public servants against arbitrary political dismissals while preserving the State's power to discipline and dismiss employees who fail professional performance and ethical standards.","Eliminated because security of tenure is not an absolute shield against administrative dismissal for grave misconduct or crimes.","Eliminated because insubordination and refusal to perform lawful duties constitute ground for disciplinary suspension and removal.","Eliminated because partisan political contributions cannot serve as the basis for civil service tenure or evaluation under Article IX-B.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Professionalism | Very Difficult | Batch 155"
