"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 3(c) of Republic Act No. 6713, how is a 'GIFT' statutorily defined, and what is the EXPLICIT STATUTORY EXCEPTION that is not considered an illegal gift?","A gift refers to a thing or right disposed of gratuitously, including simulated sales or ostensibly unfavorable considerations; it DOES NOT INCLUDE an unsolicited gift of NOMINAL OR INSIGNIFICANT VALUE not given in anticipation of, or in exchange for, a favor from a public official.","A gift refers exclusively to gold bullion bars valued over five million pesos.","Any item given to a public servant is an authorized civil service gift provided it is wrapped in blue ribbon.","A gift is legally defined as a mandatory cash tip paid by every transacting citizen before receiving a birth certificate.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 3(c):
 'Gift. — 'Gift' refers to a thing or a right to dispose of gratuitously, or any act or liberality, in favor of another who accepts it, and SHALL INCLUDE A SIMULATED SALE OR ON OSTENSIBLY UNFAVORABLE CONSIDERATION. It SHALL NOT INCLUDE an unsolicited gift of NOMINAL OR INSIGNIFICANT VALUE NOT GIVEN IN ANTICIPATION OF, OR IN EXCHANGE FOR, A FAVOR from a public official or employee.'
2. Key Statutory Elements:
 - 1. Broad Legal Definition: Any gratuitous transfer of property, cash, rights, discounts, or services.
 - 2. Simulated Sales: Selling a PHP 2,000,000 car to a public official for PHP 10,000 is a 'simulated sale' legally classified as a GIFT.
 - 3. The Nominal Exception: Unsolicited token gifts of nominal or insignificant value (e.g., standard promotional desk calendars, ballpens, or modest cultural tokens) given without any anticipation of official favor.
3. Option A matches the statutory text and exception verbatim.

Common Trap: Thinking discount sales are not gifts; simulated or deeply discounted sales to public officials are explicitly classified as GIFTS under Section 3(c).
Exam Tip: RA 6713, Sec. 3(c) = GIFT includes simulated sales; EXCLUDES unsolicited gifts of NOMINAL OR INSIGNIFICANT VALUE not given for a favor.","Correct. Survives elimination because Section 3(c) of RA 6713 defines a gift to include gratuitous transfers and simulated sales, while explicitly excluding unsolicited gifts of nominal or insignificant value given without expectation of official favors.","Eliminated because the statutory definition covers all things of value, property rights, and simulated sales, not merely gold bullion.","Eliminated because gift wrapping has zero legal bearing on whether an item constitutes an unlawful gift.","Eliminated because mandatory cash tips constitute illegal extortion and direct bribery under the Revised Penal Code.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Gifts and benefits | Very Difficult | Batch 164"
"Under Presidential Decree No. 46 and Section 7(d) of RA 6713, what is the strict rule regarding the giving and receiving of GIFTS DURING THE CHRISTMAS HOLIDAYS between transacting private citizens/contractors and public officials?","It is STRICTLY PUNISHABLE AND UNLAWFUL for private persons to give, and for public officials to receive, gifts, cash envelopes, or gratuities on ANY OCCASION, INCLUDING CHRISTMAS, when given by reason of the official's position or in connection with operations regulated by the office.","Christmas gifts of any cash amount are completely legal and exempt from all anti-corruption laws.","Public officials may demand mandatory Christmas bonuses from private companies bidding on government infrastructure projects.","Receiving Christmas gifts is legal provided the public servant spends the money within forty-eight hours.","A","Step-by-Step Solution:
1. Statutory Authority:
 - Presidential Decree No. 46 (Making it Punishable for Public Officials and Employees to Receive, and for Private Persons to Give, Gifts on Any Occasion, Including Christmas, November 10, 1972).
 - Section 7(d), Republic Act No. 6713.
 - Section 3(b) & (c), Republic Act No. 3019 (Anti-Graft and Corrupt Practices Act).
2. The Anti-Gifting Rule on Holidays:
 - 1. Absolute Prohibition: PD 46 and RA 6713 explicitly state 'ON ANY OCCASION, INCLUDING CHRISTMAS.'
 - 2. Target Relations: Private contractors, suppliers, regulated corporations, or litigants CANNOT send gift baskets, cash 'aguinaldos', electronic gadgets, or holiday hampers to public officials.
 - 3. Criminal Liability: Both the GIVER (private citizen/contractor) and the RECEIVER (public official) are criminally liable for imprisonment of 1 to 5 years and perpetual disqualification from public office.
3. Option A is the precise, complete statutory rule.

Common Trap: Believing Christmas creates a legal holiday exemption for gift-giving in government; PD 46 was enacted SPECIFICALLY to outlaw Christmas gift-giving to public servants.
Exam Tip: PD 46 & RA 6713 = It is UNLAWFUL to give or receive gifts on ANY OCCASION, INCLUDING CHRISTMAS, by reason of official position.","Correct. Survives elimination because Presidential Decree No. 46 and Section 7(d) of RA 6713 explicitly criminalize giving and receiving gifts on any occasion, specifically including Christmas, when connected to official public functions.","Eliminated because Christmas gifts from regulated clients are strictly unlawful under PD 46 and RA 6713.","Eliminated because demanding gifts from government bidders constitutes criminal extortion and graft under RA 3019.","Eliminated because the speed of spending illicit funds does not erase criminal liability for accepting unlawful gifts.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Gifts and benefits | Very Difficult | Batch 164"
"Under Section 7(d) of RA 6713 and Article IX-B, Section 8 of the 1987 Constitution, which of the following GIFTS FROM FOREIGN GOVERNMENTS may be lawfully accepted by a Philippine public official?","(1) A souvenir or mark of courtesy from a foreign government, (2) A scholarship, fellowship, or medical treatment from a foreign government, or (3) Travel grants for actual expenses for official travel abroad, with necessary approval as required by law.","An undeclared briefcase containing USD 1,000,000 in cash delivered by a foreign intelligence agency.","A private luxury yacht granted by a foreign state-owned oil monopoly to secure exclusive offshore drilling rights.","A private residential mansion in Europe registered under a foreign government diplomat's personal trust.","A","Step-by-Step Solution:
1. Constitutional Text: Article IX-B, Section 8:
 'No elective or appointive public officer or employee shall, without the consent of the Congress, accept any present, emolument, office, or title of any kind from any foreign government.'
2. Statutory Exceptions in RA 6713, Section 7(d), 2nd paragraph:
 'As to gifts or grants from foreign governments, the Congress consents to:
 (i) The acceptance and retention by a public official or employee of a gift of nominal value tendered and received as a SOUVENIR OR MARK OF COURTESY;
 (ii) The acceptance by a public official or employee of a gift in the nature of a SCHOLARSHIP OR FELLOWSHIP GRANT or MEDICAL TREATMENT; or
 (iii) The acceptance by a public official or employee of travel grants or expenses for TRAVEL ENTIRELY OUTSIDE THE PHILIPPINES of more than nominal value if such acceptance is appropriate or consistent with the interests of the Philippines, and permitted by the head of office.'
3. Option A is the verbatim statutory enumeration of the 3 authorized foreign gifts.

Common Trap: Thinking all foreign gifts are illegal; Congress has given STATUTORY CONSENT in Section 7(d) for tokens of courtesy, scholarships/medical care, and approved official foreign travel grants.
Exam Tip: The 3 Authorized Foreign Gifts (RA 6713, Sec. 7[d]): (1) Tokens of courtesy/souvenirs, (2) Scholarships/fellowships or medical treatment, (3) Approved official travel grants.","Correct. Survives elimination because Section 7(d) of RA 6713 explicitly embodies congressional consent for public servants to accept foreign tokens of courtesy, scholarships/fellowships, medical treatment, and approved official foreign travel grants.","Eliminated because accepting secret cash briefcases from foreign intelligence constitutes illegal bribery and espionage.","Eliminated because accepting luxury yachts from foreign corporations to grant sovereign resources is criminal graft and plunder.","Eliminated because acquiring undisclosed overseas real estate from foreign entities violates constitutional and anti-graft laws.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Gifts and benefits | Very Difficult | Batch 164"
"A Trial Court Judge presiding over a contested multi-million-peso land inheritance dispute accepts an expensive weekend stay at a five-star luxury golf resort paid for by the lawyer of the plaintiff. How does the Judge's action violate civil service ethics and judicial rules?","It is a grave violation of Section 7(d) of RA 6713, the New Code of Judicial Conduct (Canon 4), and Section 3(b) of RA 3019, as accepting favors or hospitality from a litigant or lawyer with a pending case in the judge's court constitutes corrupt gift acceptance and destroys judicial impartiality.","The Judge acted lawfully because playing golf is a recognized judicial health exercise.","The Judge is exempt from liability provided he rules against the plaintiff in the final decision.","Accepting luxury accommodations is legal if the judge did not bring his family along.","A","Step-by-Step Solution:
1. Legal and Ethical Rules:
 - Section 7(d), RA 6713: Ban on soliciting or accepting gifts, favors, entertainment, or anything of value from persons affected by the functions of their office.
 - Canon 4, Section 13, New Code of Judicial Conduct for the Philippine Judiciary (A.M. No. 03-05-01-SC):
 'Judges and members of their families shall not ask for or accept any gift, bequest, loan or favor in relation to anything done or to be done or omitted to be done by the judge in connection with the performance of judicial duties.'
 - Section 3(b), RA 3019 (Anti-Graft and Corrupt Practices Act).
2. Evaluation of the Scenario:
 - Accepting luxury accommodations and golf hospitality from a lawyer with an active pending case before the judge creates a direct appearance of impropriety, bias, and corrupt influence.
 - Administrative Offense: GRAVE MISCONDUCT and Gross Immorality punishable by DISMISSAL FROM THE JUDICIARY with forfeiture of benefits and disbarment.
 - Criminal Offense: Direct/Indirect Bribery and Violation of RA 3019.
3. Option A is the correct, definitive legal evaluation.

Common Trap: Believing free hotel rooms or entertainment aren't gifts; free entertainment, lodging, and hospitality ARE THINGS OF VALUE covered by Section 7(d).
Exam Tip: Accepting free hotel stays, golf trips, or entertainment from lawyers/litigants with pending cases = GRAVE MISCONDUCT + Criminal Graft (Violates Sec. 7[d] & Code of Judicial Conduct).","Correct. Survives elimination because accepting luxury accommodations and entertainment from a litigant's lawyer directly violates Section 7(d) of RA 6713, Canon 4 of the New Code of Judicial Conduct, and Section 3(b) of RA 3019, undermining judicial impartiality.","Eliminated because recreational activities cannot be funded by active litigants without corrupting judicial integrity.","Eliminated because the offense is consummated upon acceptance of the corrupt favor, regardless of the eventual case judgment.","Eliminated because accepting corrupt personal perks is illegal regardless of whether family members accompanied the judge.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Gifts and benefits | Very Difficult | Batch 164"
"What is the statutory classification and treatment of a 'SIMULATED SALE' under Section 3(c) of Republic Act No. 6713?","A simulated sale (such as a private contractor transferring real property or a motor vehicle to a public official for an ostensibly unfavorable or token consideration of PHP 1.00) is legally CLASSIFIED AS AN ILLEGAL GIFT under the Code.","A simulated sale is classified as a valid tax-free commercial bargain.","A simulated sale is legal provided both parties shake hands in public.","A simulated sale is an authorized fringe benefit under the Salary Standardization Law.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 3(c):
 ''Gift' refers to a thing or a right to dispose of gratuitously, or any act or liberality, in favor of another who accepts it, AND SHALL INCLUDE A SIMULATED SALE OR ON OSTENSIBLY UNFAVORABLE CONSIDERATION.'
2. Legal Doctrine of Simulated Contracts (Article 1345 & 1346, Civil Code):
 - A contract of sale where the price is purely fictitious, simulated, or shockingly token (e.g., selling a prime residential condominium unit worth PHP 15 Million for PHP 5,000 to a government procurement director) is NOT a genuine sale; it is a DISGUISED DONATION / GIFT.
 - RA 6713 explicitly closes this evasive loophole by codifying that simulated or ostensibly unfavorable sales ARE LEGALLY TREATED AS GIFTS.
 - If accepted from a person dealing with the official's office, it is an ILLEGAL PROHIBITED GIFT under Section 7(d).
3. Option A is the precise legal classification.

Common Trap: Trying to disguise a bribe as a 'legal sale' with a token PHP 1 price tag; the statute EXPLICITLY CLASSIFIES simulated sales as GIFTS.
Exam Tip: Simulated Sales / Token Consideration Sales to Public Officials = LEGALLY CLASSIFIED AS GIFTS under RA 6713, Sec. 3(c).","Correct. Survives elimination because Section 3(c) of RA 6713 explicitly defines gifts to include simulated sales and transactions with ostensibly unfavorable consideration to prevent corrupt actors from disguising bribes as sales.","Eliminated because simulated sales designed to conceal bribes are illegal gifts, not valid tax-free transactions.","Eliminated because informal handshakes cannot legalize simulated fraudulent sales under civil service law.","Eliminated because the Salary Standardization Law regulates lawful cash compensation, not simulated property transfers.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Gifts and benefits | Very Difficult | Batch 164"
"Under Civil Service Commission guidelines (CSC Resolution No. 00-0648), what characterizes an allowable 'UNSOLICITED GIFT OF NOMINAL OR INSIGNIFICANT VALUE'?","Token promotional or commemorative items of minimal commercial value (such as agency pens, basic wall calendars, or modest industry seminar notepads) given during public events without any expectation or anticipation of official favors.","An envelope containing PHP 50,000 in cash given before an official license inspection.","A high-end imported luxury designer handbag presented to an executive director on her birthday.","A free all-expenses-paid family vacation package to a European ski resort.","A","Step-by-Step Solution:
1. Administrative & Statutory Rules:
 - Section 3(c), RA 6713: 'It shall not include an unsolicited gift of nominal or insignificant value not given in anticipation of, or in exchange for, a favor from a public official or employee.'
 - CSC Resolution No. 00-0648 (Guidelines on Acceptance of Gifts).
2. Criteria for Permissible Nominal Gifts:
 - 1. Unsolicited: Not requested, demanded, or solicited by the public servant.
 - 2. Nominal/Insignificant Value: Minor promotional or souvenir items (e.g., corporate desk calendars, planners, ballpens, lapel pins, token keychains) distributed widely as standard marketing or conference tokens.
 - 3. No Quid Pro Quo: Given openly without any connection to pending permits, inspections, contract awards, or official decisions.
 - 4. Contrasting with Prohibited Items: Cash envelopes, luxury jewelry, designer bags, and vacation trips (Options B, C, and D) exceed nominal value and constitute illegal gifts.
3. Option A is the accurate, comprehensive description.

Common Trap: Believing cash or designer items can be 'nominal'; cash and luxury items are NEVER nominal and are STRICTLY PROHIBITED.
Exam Tip: Allowable Nominal Gifts = Unsolicited, minimal value items (calendars, pens, conference notepads) with NO expectation of favors.","Correct. Survives elimination because Section 3(c) and CSC Resolution No. 00-0648 restrict allowable nominal gifts strictly to unsolicited, low-value promotional items (pens, calendars, planners) given without expectation of favors.","Eliminated because cash envelopes are direct bribes and cannot be classified as nominal gifts.","Eliminated because expensive designer luxury bags exceed nominal value and constitute prohibited gifts under Section 7(d).","Eliminated because free international vacation packages constitute substantial valuable benefits prohibited by anti-graft laws.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Gifts and benefits | Very Difficult | Batch 164"
"A hospital director at a public government medical center receives an unsolicited high-end diagnostic ultrasound machine donated by a legitimate international humanitarian foundation for the free use of indigent patients in the public ward. How must this donation be legally processed under civil service rules?","The donation must be formally accepted in the name of the GOVERNMENT AGENCY / HOSPITAL through a Deed of Donation, officially recorded in the agency's property inventory, and subjected to standard COA accounting rules, without any personal benefit to the director.","The director should take the ultrasound machine home and install it in his private clinic.","The director may sell the machine to a private hospital and pocket the cash proceeds.","The donation must be rejected because public hospitals are prohibited from ever receiving medical equipment.","A","Step-by-Step Solution:
1. Statutory & COA Rules on Institutional Donations:
 - Section 7(d), RA 6713 & Commission on Audit (COA) Accounting Rules on In-Kind Grants/Donations:
2. Analysis of Institutional vs Personal Gifts:
 - 1. Public Institutional Benefit: The donation is given to the PUBLIC INSTITUTION (the public hospital) for the benefit of indigent patients, not to the director personally.
 - 2. Formal Documentation: Must be executed via an official DEED OF DONATION (Deed of Acceptance) signed by the authorized agency head.
 - 3. Property Recording & Audit: The equipment must be officially tagged, recorded in the government Property, Plant, and Equipment (PPE) ledger, and included in COA inventory audits.
 - 4. Strict Ban on Personal Conversion: Diverting the donated equipment to private clinics or private sale constitutes Malversation of Public Property under Article 217 of the Revised Penal Code.
3. Option A is the correct, lawful administrative protocol.

Common Trap: Confusing institutional donations for public use with personal gifts to officials; public hospitals MAY receive institutional donations provided they are officially recorded as STATE PROPERTY.
Exam Tip: Institutional Medical/Educational Donations = Valid if accepted via formal DEED OF DONATION in the name of the AGENCY + Recorded in official COA inventory for public use.","Correct. Survives elimination because donations for public hospital use must be officially accepted in the name of the government institution via a Deed of Donation and recorded in the state inventory under COA rules, ensuring zero personal enrichment.","Eliminated because converting donated state hospital equipment to a private clinic is criminal malversation and graft.","Eliminated because selling public equipment for personal profit constitutes theft of government property and plunder.","Eliminated because public institutions are legally empowered to receive institutional humanitarian donations for citizen welfare.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Gifts and benefits | Very Difficult | Batch 164"
"Under Section 7(d) of RA 6713, which of the following transactions is classified as an ILLEGAL 'LOAN' when entered into by a public official?","Accepting a substantial personal monetary loan from a private commercial bank or lending company that has a pending regulatory license or tax assessment case before the public official's office.","Securing a standard housing loan from the Pag-IBIG Fund (Home Development Mutual Fund) under regular public member terms.","Applying for a regular salary loan from the Government Service Insurance System (GSIS).","Securing a credit card from a universal bank under standard published public terms without any official connection.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 7(d):
 'Public officials and employees shall not solicit or accept, directly or indirectly, any gift, gratuity, favor, entertainment, LOAN OR ANYTHING OF MONETARY VALUE from any person in the course of their official duties or in connection with ANY OPERATION BEING REGULATED BY, OR ANY TRANSACTION WHICH MAY BE AFFECTED BY THE FUNCTIONS OF THEIR OFFICE.'
2. Meaning of Prohibited Loans:
 - 1. Regulated Entities / Pending Transactions: Borrowing money, accepting interest-free loans, or receiving special financial accommodation from a person or corporation subject to the official's regulatory supervision or tax audit.
 - 2. The Leverage of Debt: An official indebted to a regulated company cannot conduct an independent, strict audit or enforcement action.
 - 3. Lawful Regular Public Loans: Standard statutory loans from government social insurance funds (GSIS, SSS, Pag-IBIG) or standard commercial credit cards available to all citizens are fully lawful.
3. Option A is the clear, prohibited transaction under Section 7(d).

Common Trap: Thinking loans aren't gifts; Section 7(d) EXPLICITLY BARS LOANS from regulated entities or those dealing with the official's agency.
Exam Tip: RA 6713, Sec. 7(d) = Ban on accepting LOANS from persons or businesses regulated by or having pending transactions with one's office.","Correct. Survives elimination because Section 7(d) of RA 6713 expressly prohibits public officials from accepting personal loans from entities regulated by or transacting with their office, as it creates an intolerable debt leverage and conflict of interest.","Eliminated because Pag-IBIG housing loans are standard statutory social benefits available to all government employees.","Eliminated because GSIS salary loans are institutional entitlements established by civil service law.","Eliminated because standard consumer credit cards issued under public universal terms without regulatory connection are lawful personal financial contracts.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Gifts and benefits | Very Difficult | Batch 164"
"What is the statutory obligation of a public official who receives an unsolicited expensive gift delivered to their office that CANNOT be returned to the sender without offending diplomatic etiquette?","The official must immediately SURRENDER AND TURN OVER THE GIFT to the government agency or the National Historical Commission / National Museum for official state recording, inventory, or public display as government property.","The official may quietly give the expensive gift to his spouse.","The official can pawn the gift and donate the money to a private political campaign.","The official is legally entitled to keep the gift in his private home bedroom.","A","Step-by-Step Solution:
1. Statutory & Administrative Protocol (Rule VII, IRR of RA 6713 & Section 7[d]):
 - 1. General Rule: Return unsolicited valuable gifts immediately with a polite official letter citing RA 6713 and PD 46.
 - 2. Diplomatic / State Tokens (When return would cause diplomatic offense or is impossible):
 - The gift DOES NOT become the personal property of the public official.
 - The item must be formally TURNED OVER to the agency's property custodian or appropriate national cultural body (National Museum, NHCP, Malacañang Museum).
 - Recorded as STATE PROPERTY in the official inventory.
 - Displayed in public agency lobbies, visitor lounges, or official museums.
2. Option A is the precise administrative procedure.

Common Trap: Assuming an official gets to keep an expensive gift if they say 'it was awkward to return it'; unreturned gifts MUST BE TURNED OVER AS STATE PROPERTY.
Exam Tip: Unreturnable Diplomatic/Official Gifts = MUST BE TURNED OVER AS GOVERNMENT PROPERTY (Recorded in official inventory, not kept personally).","Correct. Survives elimination because Rule VII of the IRR of RA 6713 mandates that valuable unreturnable gifts received in an official capacity must be surrendered and cataloged as government property for state inventory or museum display.","Eliminated because transferring state gifts to spouses is an illegal conversion of public property.","Eliminated because pawning state gifts and funding political campaigns constitutes theft of public assets and illegal electioneering.","Eliminated because keeping unreturnable official gifts in private homes violates public trust and property accountability.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Gifts and benefits | Very Difficult | Batch 164"
"Why does Section 7(d) of RA 6713 prohibit public officials from accepting 'ENTERTAINMENT' (such as luxury dinners, concert tickets, or nightclub tabs) from regulated clients?","Because accepting lavish entertainment creates a sense of personal obligation and familiarity that compromises the public official's objectivity, independence, and strictness in enforcing regulatory standards.","Because public officials are legally prohibited from eating dinner on weekdays.","Because government employees are only allowed to listen to classical military marches.","Because all private restaurants in the Philippines are owned by the Civil Service Commission.","A","Step-by-Step Solution:
1. Ethical and Behavioral Dynamics under RA 6713, Section 7(d):
 - 'Public officials and employees shall not solicit or accept... any gift, gratuity, favor, ENTERTAINMENT, loan or anything of monetary value...'
2. The Psychology of Corrupt Familiarity:
 - 1. Cultivating Compromise: Corrupt business entities use 'entertainment' (expensive wine dinners, VIP box tickets, private club memberships) to soften up inspectors, auditors, and regulators.
 - 2. Erosion of Professional Distance: Once an official accepts lavish hospitality, it becomes psychologically difficult to issue strict violation notices, shut down substandard operations, or impose heavy tax penalties on their 'host.'
 - 3. Preservation of Public Integrity: By banning all forms of entertainment from regulated entities, RA 6713 maintains an uncompromised, objective regulatory boundary.
3. Option A is the comprehensive, accurate ethical rationale.

Common Trap: Thinking a free dinner is not a bribe; free entertainment IS A STATUTORILY BANNED ITEM OF VALUE under Section 7(d).
Exam Tip: Accepting Entertainment/Hospitality from Regulated Clients = Strictly prohibited by RA 6713, Sec. 7(d) to prevent compromised regulatory independence.","Correct. Survives elimination because Section 7(d) explicitly bans accepting entertainment from regulated clients to preserve regulatory objectivity, preventing the psychological familiarity and compromise that lavish hospitality creates.","Eliminated because public servants may enjoy personal dining at their own expense outside official hours.","Eliminated because musical preference is a personal choice having no statutory connection to civil service ethics.","Eliminated because private restaurants are commercial entities independent of the Civil Service Commission.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Gifts and benefits | Very Difficult | Batch 164"
