"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 10 of Republic Act No. 9003 (The Ecological Solid Waste Management Act of 2000), what is the division of responsibility between BARANGAYS and CITIES/MUNICIPALITIES in solid waste management?","BARANGAYS are legally responsible for the collection and management of BIODEGRADABLE (compostable) and RECYCLABLE wastes and establishing Materials Recovery Facilities (MRFs), while CITIES/MUNICIPALITIES are responsible for the collection and disposal of NON-RECYCLABLE (residual) and SPECIAL (hazardous) wastes.","Barangays handle nuclear waste, while cities handle paper flyers.","Cities collect all waste, while barangays are legally forbidden from touching trash.","All solid waste management is outsourced exclusively to the Philippine Coast Guard.","A","Step-by-Step Solution:
1. Statutory Text: Section 10, Republic Act No. 9003:
 'Role of LGUs in Solid Waste Management. — Pursuant to the relevant provisions of R.A. No. 7160 (Local Government Code), the LGUs shall be primarily responsible for the implementation and enforcement of the provisions of this Act within their respective jurisdictions.
 (1) SEGREGATION AND COLLECTION OF SOLID WASTE SHALL BE CONDUCTED AT THE BARANGAY LEVEL SPECIFICALLY FOR BIODEGRADABLE, COMPOSTABLE AND REUSABLE WASTES: Provided, That the collection of non-recyclable materials and special wastes SHALL BE THE RESPONSIBILITY OF THE MUNICIPALITY OR CITY.'
2. Operational Execution:
 - 1. Barangay Level: Segregation at source + Collection of biodegradable (food/kitchen waste, leaves) and recyclables (bottles, paper, plastics) + Operation of Barangay Materials Recovery Facility (MRF) / Composting.
 - 2. City / Municipal Level: Collection and transport of Residual wastes (sachets, soiled wrappers) and Special wastes (batteries, bulbs) to engineered Sanitary Landfills.
3. Option A matches the statutory division of responsibility verbatim.

Common Trap: Thinking city hall collects everything; BARANGAYS ARE STATUTORILY RESPONSIBLE FOR BIODEGRADABLE AND RECYCLABLE WASTES AND BARANGAY MRFs.
Exam Tip: RA 9003 Waste Responsibility = BARANGAY: Biodegradable & Recyclables + MRF | CITY/MUNICIPALITY: Residual & Special Wastes + Sanitary Landfill.","Correct. Survives elimination because Section 10 of RA 9003 explicitly mandates that barangays are responsible for segregated collection of biodegradable and recyclable wastes and MRF operations, while cities and municipalities handle residual and special waste disposal.","Eliminated because nuclear hazardous materials are governed by specialized atomic energy authorities (PNRI), not barangays.","Eliminated because the statute directly places primary segregation and collection duties at the grassroots barangay level.","Eliminated because solid waste management is a devolved local government unit (LGU) responsibility under RA 7160 and RA 9003.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Ecological Solid Waste Management Act (RA 9003) | Very Difficult | Batch 179"
"Under Section 37 of Republic Act No. 9003, what is the ABSOLUTE STATUTORY PROHIBITION regarding OPEN AND CONTROLLED DUMPSITES in the Philippines?","NO OPEN DUMPSITES OR CONTROLLED DUMPS SHALL BE ESTABLISHED AND OPERATED by any person or local government unit; all open dumpsites were mandated to be permanently closed, and SANITARY LANDFILLS (SLF) are the only lawful final disposal facilities allowed.","Open dumpsites are mandatory in every municipal public town square.","Open dumpsites are legal provided trash is stacked at least fifty meters high.","Controlled dumpsites are authorized to operate permanently next to public elementary schools.","A","Step-by-Step Solution:
1. Statutory Text: Section 37, Republic Act No. 9003:
 'Prohibition Against the Use of Open Dumps for Solid Waste. — NO OPEN DUMPS SHALL BE ESTABLISHED AND OPERATED, NOR ANY PRACTICE OR DISPOSAL OF SOLID WASTE BY ANY PERSON, INCLUDING LGUS, WHICH CONSTITUTES THE USE OF OPEN DUMPS FOR SOLID WASTES, BE ALLOWED...
 Every LGU shall convert its open dumps to controlled dumps, within three (3) years... Provided, That NO CONTROLLED DUMPS SHALL BE ALLOWED FIVE (5) YEARS FOLLOWING THE EFFECTIVITY OF THIS ACT (i.e., by 2006).'
2. Absolute Ban on All Dumpsites:
 - 1. Open Dumpsites: Banned since 2004.
 - 2. Controlled Dumpsites: Banned since 2006.
 - 3. Sole Lawful Disposal Facility: Engineered SANITARY LANDFILLS (SLF) complying with Section 40 & 41 criteria (impermeable clay/geomembrane liners, leachate collection and treatment systems, methane gas venting, daily soil cover, vector control).
3. Option A is the verbatim statutory prohibition and standard.

Common Trap: Believing controlled dumpsites are still permitted; ALL OPEN AND CONTROLLED DUMPSITES ARE ILLEGAL NATIONWIDE; only SANITARY LANDFILLS are lawful.
Exam Tip: RA 9003, Sec. 37 = ABSOLUTE PROHIBITION ON OPEN AND CONTROLLED DUMPSITES (All dumpsites are ILLEGAL; only engineered SANITARY LANDFILLS are permitted).","Correct. Survives elimination because Section 37 of RA 9003 unequivocally prohibits the establishment and operation of open and controlled dumpsites, establishing engineered sanitary landfills as the sole lawful disposal facilities.","Eliminated because open dumping in urban centers is an illegal hazard causing severe environmental contamination.","Eliminated because unengineered high waste mounds cause fatal landfill collapses (such as the Payatas tragedy).","Eliminated because controlled dumpsites were completely phased out by law in 2006.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Ecological Solid Waste Management Act (RA 9003) | Very Difficult | Batch 179"
"Under Section 32 of Republic Act No. 9003, what is a 'MATERIALS RECOVERY FACILITY' (MRF), and where must it be established?","An MRF is a dedicated facility designed for the sorting, segregation, composting of organic biodegradable waste, and temporary storage of recyclable materials, mandated to be established in EVERY BARANGAY OR CLUSTER OF BARANGAYS.","An MRF is a commercial scrapyard that dumps toxic lead batteries into public waterways.","An MRF is an underground missile silo constructed for national defense.","An MRF is a private corporate resort dedicated to manufacturing single-use plastic bags.","A","Step-by-Step Solution:
1. Statutory Text: Section 32, Republic Act No. 9003:
 'Establishment of LGU Materials Recovery Facility. — There shall be established a MATERIALS RECOVERY FACILITY (MRF) IN EVERY BARANGAY OR CLUSTER OF BARANGAYS. The facility shall be established in a barangay-owned or leased land or any suitable open space to be determined by the barangay...
 The MRF shall receive mixed waste for final sorting, segregation, composting, and recycling. The resulting residual wastes shall be transferred to a long-term disposal facility or sanitary landfill.'
2. Core Operational Components of an MRF:
 - 1. Waste Reception & Final Sorting: Separating paper, cardboard, plastics, metals, glass.
 - 2. Composting Unit: Turning kitchen scraps and yard trimmings into rich organic compost for urban gardens and agriculture.
 - 3. Eco-Livelihood: Generating income through the sale of clean, baled recyclables to junk shops and recycling plants.
 - 4. Statutory Density: AT LEAST ONE MRF IN EVERY SINGLE BARANGAY (or cluster of small contiguous barangays).
3. Option A is the verbatim statutory definition and mandate.

Common Trap: Thinking an MRF is only built at the provincial capitol; MRFs MUST BE ESTABLISHED IN EVERY BARANGAY OR CLUSTER OF BARANGAYS.
Exam Tip: MRF (RA 9003, Sec. 32) = Materials Recovery Facility for sorting, composting, and recycling, MANDATORY in EVERY BARANGAY OR CLUSTER OF BARANGAYS.","Correct. Survives elimination because Section 32 of RA 9003 explicitly commands the establishment of a Materials Recovery Facility (MRF) in every barangay or cluster of barangays to receive, sort, compost, and recycle solid waste.","Eliminated because unlined battery dumping is a severe environmental crime contaminating soil and water.","Eliminated because defense missile silos have zero connection to municipal solid waste management.","Eliminated because MRFs are environmental recovery centers, not single-use plastic manufacturing plants.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Ecological Solid Waste Management Act (RA 9003) | Very Difficult | Batch 179"
"Under Section 21 and 22 of RA 9003, what are the FOUR (4) PRIMARY CATEGORIES OF SOLID WASTE required to be segregated at source by every household, establishment, and institution?","(1) COMPOSTABLE / BIODEGRADABLE (food waste, garden clippings), (2) RECYCLABLE (paper, glass, metals, hard plastics), (3) RESIDUAL / NON-RECYCLABLE (sachets, dirty plastics), and (4) SPECIAL / HAZARDOUS (batteries, fluorescent lamps, electronics).","(1) Gold, (2) Silver, (3) Diamonds, and (4) Platinum.","(1) Books, (2) Pens, (3) Pencils, and (4) Erasers.","(1) Ocean water, (2) River water, (3) Rain water, and (4) Tap water.","A","Step-by-Step Solution:
1. Statutory Text & Classification: RA 9003, Section 21 & 22 (Waste Segregation at Source):
 - 1. COMPOSTABLE / BIODEGRADABLE (Section 22[a]):
 - Kitchen waste, food leftovers, fruit peels, vegetable cuttings, leaves, garden trimmings (composted into fertilizer).
 - 2. RECYCLABLE (Section 22[b]):
 - Waste materials that can be retrieved and transformed into new products (PET bottles, aluminum cans, scrap iron, cardboard, white paper, glass bottles).
 - 3. RESIDUAL (Section 22[c]):
 - Solid waste materials with no commercial value that cannot be composted or recycled (single-use multi-layer laminate sachets, soiled wrappers, worn ceramics). Disposed of in engineered Sanitary Landfills.
 - 4. SPECIAL WASTES (Section 22[d]):
 - Household hazardous wastes (busted fluorescent tubes containing mercury, spent lead-acid/lithium batteries, electronic waste / e-waste, expired pharmaceuticals). Managed through DENR hazardous waste treaters.
2. Mandatory Rule: MIXING OF SEGREGATED WASTES during collection or transport is a PUNISHABLE CRIME under Section 48(2).
3. Option A is the verbatim four-fold statutory waste classification.

Common Trap: Forgetting 'Special Wastes'; household electronics, batteries, and bulbs ARE SPECIAL/HAZARDOUS WASTES requiring separate handling from residuals.
Exam Tip: 4 Solid Waste Categories (RA 9003) = (1) Compostable/Biodegradable, (2) Recyclable, (3) Residual, (4) Special/Hazardous.","Correct. Survives elimination because Sections 21 and 22 of RA 9003 establish the four mandatory segregation categories: Compostable (biodegradable), Recyclable, Residual (non-recyclable), and Special (hazardous) wastes.","Eliminated because precious metals are valuable commodities rather than municipal waste segregation categories.","Eliminated because stationery items are office supplies, not the four comprehensive statutory solid waste streams.","Eliminated because water streams are liquid resources governed under the Clean Water Act, not solid waste categories under RA 9003.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Ecological Solid Waste Management Act (RA 9003) | Very Difficult | Batch 179"
"Under Section 20 of Republic Act No. 9003, what is the mandatory baseline 'WASTE DIVERSION GOAL' imposed on all local government units?","LGUs must divert AT LEAST TWENTY-FIVE PERCENT (25%) OF ALL SOLID WASTE from waste disposal facilities through re-use, recycling, and composting activities, with the diversion target increasing by at least 2% every three (3) years thereafter.","LGUs are required to du∓ 100% of all municipal waste directly into open ocean waters.","LGUs must divert 0% of waste to protect the profits of private hauling companies.","The waste diversion target is purely optional and can be ignored without administrative penalty.","A","Step-by-Step Solution:
1. Statutory Text: Section 20, Republic Act No. 9003 (Establishing Mandatory Waste Diversion Goals):
 'Waste Diversion. — Each LGU plan shall include an implementation schedule which shows that within five (5) years after the effectivity of this Act, the LGU SHALL DIVERT AT LEAST TWENTY-FIVE PERCENT (25%) OF ALL SOLID WASTE FROM WASTE DISPOSAL FACILITIES THROUGH RE-USE, RECYCLING, AND COMPOSTING ACTIVITIES AND OTHER RESOURCE RECOVERY ACTIVITIES: Provided, That the waste diversion target SHALL BE INCREASED EVERY THREE (3) YEARS THEREAFTER.'
2. Operational Impact:
 - 1. Waste Reduction Metric: LGUs cannot simply collect and haul all trash to a landfill; they must prove through 10-year Solid Waste Management Plans that at least 25% (and progressively 50% to 80% today) of total generated municipal waste is diverted at source through composting and recycling.
 - 2. Compliance Monitoring: Monitored by the National Solid Waste Management Commission (NSWMC) and the Environmental Ombudsman.
3. Option A is the verbatim statutory mandate.

Common Trap: Forgetting the statutory baseline percentage; the initial statutory baseline waste diversion target under RA 9003 is AT LEAST TWENTY-FIVE PERCENT (25%).
Exam Tip: Waste Diversion Goal (RA 9003, Sec. 20) = AT LEAST 25% of all solid waste diverted via reuse, recycling, and composting (increasing every 3 years).","Correct. Survives elimination because Section 20 of RA 9003 establishes a mandatory statutory baseline requiring all LGUs to divert at least 25% of solid waste from landfills through reuse, recycling, and composting, increasing every three years.","Eliminated because dumping waste into oceans is a severe criminal offense under the Clean Water Act and marine pollution laws.","Eliminated because 0% diversion violates the explicit statutory waste reduction goals of RA 9003.","Eliminated because the waste diversion mandate is an enforceable statutory duty whose neglect triggers administrative sanctions by the Ombudsman.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Ecological Solid Waste Management Act (RA 9003) | Very Difficult | Batch 179"
"Under Section 48 of Republic Act No. 9003, which of the following is a STRICTLY PROHIBITED ACT punishable by administrative fines, community service, or criminal prosecution?","(1) Littering and throwing garbage in public places, (2) Open burning of solid waste, (3) Collection of non-segregated waste, and (4) Squatting in open dumps and landfills.","(1) Establishing a household compost pit in a private backyard garden, and (2) Selling clean scrap cardboard to an accredited junk shop.","(1) Using reusable woven canvas shopping bags in a public grocery market.","(1) Installing a solar photovoltaic panel on a residential rooftop.","A","Step-by-Step Solution:
1. Statutory Text: Section 48, Republic Act No. 9003 (Prohibited Acts):
 'Prohibited Acts. — The following acts are prohibited:
 (1) Littering, throwing, dumping of waste matters in public places, such as roads, sidewalks, canals, esteros or parks, and establishment, or causing or permitting the same;
 (2) Undertaking activities, or operating, collecting or transporting equipment in violation of sanitation standards and other requirements or any permit issued pursuant to this Act;
 (3) The OPEN BURNING OF SOLID WASTE;
 (4) CAUSING OR PERMITTING THE COLLECTION OF NON-SEGREGATED OR UNSORTED WASTE;
 (5) SQUATTING IN OPEN DUMPS AND LANDFILLS;
 (6) Open dumping, burying of biodegradable or non-biodegradable loads in flood-prone areas;
 (7) Unauthorized removal of recyclable materials intended for collection by authorized persons...'
2. Penalties (Section 49):
 - Fines from PHP 300 to PHP 1,000 and 1-15 days community service for littering, escalating to PHP 500,000 fines and 6 years imprisonment for commercial/industrial violations.
3. Option A is the verbatim enumeration of statutory prohibited acts.

Common Trap: Thinking garbage haulers can collect mixed trash; HAULING OR COLLECTING NON-SEGREGATED WASTE IS AN EXPLICIT CRIME under Section 48(4) ('No Segregation, No Collection' policy).
Exam Tip: Prohibited Acts under RA 9003 (Sec. 48) = Littering + Open Burning + Collecting Non-Segregated Waste + Squatting in Landfills + Open Dumping.","Correct. Survives elimination because Section 48 of RA 9003 explicitly criminalizes littering in public spaces, open burning of waste, collecting non-segregated garbage, and squatting in landfills.","Eliminated because backyard composting and selling scrap recyclables are authorized ecological practices encouraged by RA 9003.","Eliminated because using reusable canvas bags reduces plastic pollution and complies with ecological waste minimization policies.","Eliminated because installing solar panels is a clean renewable energy initiative promoted under RA 9513.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Ecological Solid Waste Management Act (RA 9003) | Very Difficult | Batch 179"
"Under Republic Act No. 11898 (The Extended Producer Responsibility Act of 2022 / EPR Law), amending RA 9003, what is the mandatory obligation of LARGE ENTERPRISES (Obliged Enterprises) regarding PLASTIC PACKAGING WASTE?","Large enterprises are legally mandated to establish EXTENDED PRODUCER RESPONSIBILITY (EPR) programs to recover, collect, and divert at least EIGHTY PERCENT (80%) OF THEIR GENERATED PLASTIC PACKAGING FOOTPRINT by 2028 through recycling, upcycling, or plastic waste neutralization.","Large enterprises are granted immunity to du∓ 100% of their plastic packaging into coastal mangroves.","Obliged enterprises must pay an informal cash donation to foreign plastic factories.","Enterprises are prohibited from manufacturing any recyclable packaging materials.","A","Step-by-Step Solution:
1. Landmark Statutory Amendment: Republic Act No. 11898 (Extended Producer Responsibility Act of 2022, lapsed into law July 23, 2022, amending RA 9003):
2. Core Principles of EPR Law:
 - 1. Obliged Enterprises (OEs): Large enterprises with total assets exceeding PHP 100 Million that manufacture or import plastic packaging for consumer goods.
 - 2. Life-Cycle Accountability: Manufacturers are legally responsible for the post-consumer life cycle of their plastic packaging (sachets, pouches, bottles, polystyrene, labels).
 - 3. Progressive Recovery & Diversion Targets (Section 44-F):
 - 2023: 20% plastic footpr∫ recovery;
 - 2024: 40% plastic footpr∫ recovery;
 - 2025: 50% plastic footpr∫ recovery;
 - 2026: 60% plastic footpr∫ recovery;
 - 2027: 70% plastic footpr∫ recovery;
 - 2028 and beyond: EIGHTY PERCENT (80%) ANNUAL PLASTIC RECOVERY / DIVERSION.
 - 4. Stiff Fines: Fines of PHP 5,000,000 to PHP 20,000,000 and revocation of business permits for non-compliance.
3. Option A is the verbatim statutory requirement under the EPR Act.

Common Trap: Believing plastic management is only the consumer's fault; the EPR LAW (RA 11898) MAKES PRODUCERS LEGALLY RESPONSIBLE for recovering their plastic footpr∫ up to 80% by 2028.
Exam Tip: EPR Law (RA 11898 / RA 9003) = Extended Producer Responsibility; Obliged large enterprises must recover and divert 80% of their plastic packaging footpr∫ by 2028.","Correct. Survives elimination because Republic Act No. 11898 (EPR Law) mandates that large obliged enterprises establish Extended Producer Responsibility programs to recover and divert up to 80% of their plastic packaging footpr∫ by 2028.","Eliminated because dumping plastics into mangrove ecosystems is an environmental crime under the Clean Water Act and Fisheries Code.","Eliminated because EPR compliance requires domestic plastic recovery operations within the Philippines.","Eliminated because the EPR Law actively promotes sustainable eco-design and recyclable packaging alternatives.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Ecological Solid Waste Management Act (RA 9003) | Very Difficult | Batch 179"
"What is the statutory requirement under Section 12 of RA 9003 regarding the '10-YEAR SOLID WASTE MANAGEMENT PLAN' of every City and Municipality?","Every city and municipality must develop a comprehensive 10-YEAR SOLID WASTE MANAGEMENT PLAN consistent with the National Solid Waste Framework, approved by the National Solid Waste Management Commission (NSWMC) and reviewed/updated every two (2) years.","Cities must submit a five-minute verbal audio recording every twenty years.","10-year plans are mandatory only for foreign embassies located in Metro Manila.","Local plans must allocate 100% of municipal land to open garbage dumpsites.","A","Step-by-Step Solution:
1. Statutory Text: Section 12 & 16, Republic Act No. 9003:
 'City and Municipal Solid Waste Management Plans. — The province, city or municipality, through its local solid waste management boards, SHALL PREPARE ITS RESPECTIVE 10-YEAR SOLID WASTE MANAGEMENT PLAN CONSISTENT WITH THE NATIONAL SOLID WASTE MANAGEMENT FRAMEWORK: Provided, That the plan shall be reviewed and updated every two (2) years...
 All local government solid waste management plans shall be subjected to the review and APPROVAL OF THE NATIONAL SOLID WASTE MANAGEMENT COMMISSION (NSWMC).'
2. Mandatory Elements of the 10-Year Plan (Section 17):
 - (1) Waste Characterization (WACS - Waste Analysis and Characterization Study);
 - (2) Source Reduction & Segregation Strategy;
 - (3) Collection and Transfer Strategy (Schedule of segregated pickup);
 - (4) Recycling & Composting Program (Barangay MRF inventory);
 - (5) Final Disposal Strategy (Sanitary Landfill site/access);
 - (6) Information, Education, and Communication (IEC) Campaign.
3. Option A is the verbatim statutory requirement.

Common Trap: Thinking local plans last 1 year; solid waste plans are 10-YEAR COMPREHENSIVE STRATEGIC PLANS approved by the NSWMC.
Exam Tip: RA 9003, Sec. 12 = Every LGU must formulate a 10-YEAR SOLID WASTE MANAGEMENT PLAN approved by the NSWMC and updated every 2 years.","Correct. Survives elimination because Section 12 of RA 9003 requires all cities and municipalities to formulate and execute a comprehensive 10-Year Solid Waste Management Plan approved by the National Solid Waste Management Commission.","Eliminated because solid waste plans require extensive technical documentation and scientific waste characterization data.","Eliminated because the 10-year planning mandate applies to all Philippine local government units under the Local Government Code.","Eliminated because open dumpsites are illegal and cannot form part of a lawful solid waste management plan.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Ecological Solid Waste Management Act (RA 9003) | Very Difficult | Batch 179"
"Under Section 40 and 41 of RA 9003, what are the MANDATORY ENGINEERING AND ENVIRONMENTAL CRITERIA for the siting and design of a 'SANITARY LANDFILL' (SLF)?","The site must be situated outside floodplains, fault zones, and sensitive aquifers, equipped with IMPERMEABLE CLAY OR GEOMEMBRANE LINERS (HDPE), a LEACHATE COLLECTION AND TREATMENT SYSTEM to prevent water poisoning, a GAS METHANE VENTING SYSTEM, and daily soil cover.","The landfill must be constructed directly inside an active volcano crater.","The landfill must be built on the shoreline of a public municipal drinking water reservoir.","Sanitary landfills are unlined dirt pits where hazardous medical wastes are dumped openly.","A","Step-by-Step Solution:
1. Statutory Authority: Sections 40 & 41, Republic Act No. 9003 (Minimum Criteria for Siting and Establishment of Sanitary Landfills):
2. The 5 Core Engineering Safeguards of a Compliant Sanitary Landfill (SLF):
 - 1. Siting Criteria: Sited away from active fault lines, airports (bird hazards), floodplains, and high-water-table drinking aquifers.
 - 2. Impermeable Liner System: Minimum 60-centimeter clay liner with hydraulic conductivity <= 10⁻7 cm/sec, overlaid by high-density polyethylene (HDPE) geomembrane to prevent toxic seepage.
 - 3. Leachate Management System: Perforated pipes collecting toxic black liquid ('leachate' / 'dagta ng basura') channeling it into an engineered wastewater treatment pond for biological/chemical purification.
 - 4. Landfill Gas Venting & Flaring: Gas extraction wells venting and burning trapped flammable methane gas (CH4) to prevent explosions and fires.
 - 5. Daily Soil Cover: Daily spreading of 6-inch soil layer over compacted trash to suppress odors, flies, rodents, and scavenging.
3. Option A is the precise, complete scientific and statutory design standard.

Common Trap: Confusing an open dumpsite with a Sanitary Landfill; an SLF is a HIGHLY ENGINEERED FACILITY with geomembrane liners and leachate treatment plants.
Exam Tip: Sanitary Landfill Criteria (RA 9003, Sec. 40-41) = Impermeable clay/geomembrane liners + Leachate treatment system + Gas venting + Daily soil cover + Safe siting away from aquifers/faults.","Correct. Survives elimination because Sections 40 and 41 of RA 9003 mandate rigorous engineering criteria for sanitary landfills, including geomembrane liners, leachate collection/treatment systems, methane venting, daily soil cover, and safe environmental siting.","Eliminated because constructing waste facilities in active volcanoes is physically unfeasible and hazardous.","Eliminated because locating waste landfills adjacent to drinking water reservoirs causes fatal contamination and violates Section 40.","Eliminated because unlined dirt pits constitute illegal open dumpsites strictly outlawed by Section 37.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Ecological Solid Waste Management Act (RA 9003) | Very Difficult | Batch 179"
"What is the statutory policy regarding the 'NO SEGREGATION, NO COLLECTION' RULE enforced under Republic Act No. 9003 across Philippine local government units?","Garbage collectors and hauling trucks are STRICTLY FORBIDDEN from collecting unsegregated or mixed wastes; households and commercial establishments that refuse to segregate trash at source shall not receive waste collection services and shall be penalized with fines.","Garbage haulers must mix all separated plastics, food waste, and batteries into one large open container.","The rule mandates that public garbage collection is conducted only once every five years.","The rule exempts commercial shopping malls from segregating their waste.","A","Step-by-Step Solution:
1. Statutory Authority: RA 9003, Section 21, 24, & Section 48(4):
 - Section 24 (Requirements for the Transport of Solid Waste): 'The collection and transport of solid waste shall be undertaken in a manner that will prevent damage to the environment and public health... COLLECTION VEHICLES SHALL BE DESIGNATED FOR SPECIFIC TYPES OF SOLID WASTE (e.g., separate compartments or separate collection days for biodegradable and recyclable).'
 - Section 48(4) (Prohibited Acts): 'CAUSING OR PERMITTING THE COLLECTION OF NON-SEGREGATED OR UNSORTED WASTE IS PROHIBITED.'
2. The 'No Segregation, No Collection' Principle:
 - 1. Grassroots Enforcement: If a resident puts out a mixed bag of unsegregated trash (food scraps mixed with bottles and dirty wrappers), the barangay/municipal collection truck WILL REFUSE TO PICK IT UP.
 - 2. Violator Notice & Fines: The homeowner receives an official violation citation and fine.
 - 3. Anti-Mixing Mandate: It is an environmental crime for collection crews to take pre-segregated waste from residents and du∓ them together into a single open compaction truck.
3. Option A is the precise, standard administrative rule.

Common Trap: Thinking waste collection is unconditional; under RA 9003, SEGREGATION AT SOURCE IS MANDATORY under the strict 'NO SEGREGATION, NO COLLECTION' policy.
Exam Tip: 'No Segregation, No Collection' Policy (RA 9003) = Unsegregated trash WILL NOT BE COLLECTED + Mixing segregated waste during hauling is an environmental crime.","Correct. Survives elimination because RA 9003 establishes the 'No Segregation, No Collection' policy, legally prohibiting collectors from hauling mixed wastes and penalizing non-compliant households and businesses.","Eliminated because mixing pre-segregated waste during collection is an explicit environmental crime under Section 48(4).","Eliminated because garbage collection follows regular municipal schedules to maintain public sanitation.","Eliminated because commercial shopping malls generate massive waste streams and are strictly bound by source segregation rules under Section 21.","General Information","General Information | Environment Management and Protection | Environmental Management and Protection | Ecological Solid Waste Management Act (RA 9003) | Very Difficult | Batch 179"
